@English@|@Georgian@
@scrutinizes@|@საგულდაგულოდ შეისწავლის, ყურადღებით ათვალიერებს@
@scrutinizing@|@საგულდაგულოდ შეისწავლის@
@scrutiny@|@გამომცდელი მზერა@
@scud@|@სწრაფი მოძრაობა, ქარის ქროლვა, ქროლა@
@scudding@|@მიქრის@
@scuds@|@მიქრის, სწრაფი მოძრაობები, ქარის ქროლვები@
@scuff@|@გახეხვა, ფეხების თრევით სიარული@
@scuffed@|@გაიხეხა, ფეხებს მიათრევდა@
@scuffing@|@იხეხება, ფეხებს მიათრევს@
@scuffle@|@ფლატუნი@
@scuffled@|@მიაფლატუნებდა, ჩხუბობდა@
@scuffles@|@მიაფლატუნებს, ჩხუბობს@
@scuffling@|@მიაფლატუნებს, ჩხუბობს@
@scuffs@|@იხეხება, ფეხებს მიათრევს@
@scull@|@წყვილი ნიჩაბი, წყვილი ნიჩბის მოსმა@
@sculled@|@წყვილ ნიჩაბს უსვამდა@
@sculler@|@წყვილი ნიჩბების მენიჩბე@
@sculleries@|@ჭურჭლის სამრეცხაოები@
@scullers@|@წყვილი ნიჩბების მენიჩბეები@
@scullery@|@ჭურჭლის სამრეცხაო@
@sculling@|@წყვილ ნიჩაბს უსვამს@
@scullion@|@ჭურჭლის მრეცხავი@
@scullions@|@ჭურჭლის მრეცხავები@
@sculls@|@წყვილ ნიჩაბს უსვამს, წყვილი ნიჩბები@
@sculpt@|@გამოქანდაკება@
@sculpted@|@გამოაქანდაკა, გამოქანდაკებული@
@sculpting@|@აქანდაკებს@
@sculptor@|@მოქანდაკე@
@sculptors@|@მოქანდაკეები@
@sculptress@|@მოქანდაკე ქალი@
@sculptresses@|@მოქანდაკე ქალები@
@sculpts@|@აქანდაკებს@
@sculptural@|@სკულპტურული@
@sculpture@|@გამოქანდაკება, ქანდაკება@
@sculptured@|@გამოაქანდაკა, გამოქანდაკებული@
@sculptures@|@აქანდაკებს, ქანდაკებები@
@scum@|@ქაფი@
@scummier@|@უფრო ქაფიანი@
@scummiest@|@ყველაზე ქაფიანი@
@scummy@|@ქაფიანი@
@scupper@|@მწყობრიდან გამოყვანა@
@scuppered@|@მწყობრიდან გამოიყვანა, მწყობრიდან გამოყვანილი@
@scuppering@|@მწყობრიდან გამოყავს@
@scuppers@|@მწყობრიდან გამოყავს@
@scurf@|@ნადები, ქერტლი@
@scurfier@|@უფრო მეტად დაფარული ქერტლით, ნალექით@
@scurfiest@|@ყველაზე მეტად დაფარული ქერტლით, ნალექით@
@scurfy@|@ქერტლით, ნალექით დაფარული@
@scurried@|@მოკლე ნაბიჯებით მირბოდა@
@scurries@|@მოკლე ნაბიჯებით მირბის, სწრაფი მოძრაობები@
@scurrility@|@უხამხობა@
@scurrilous@|@უხამსი@
@scurrilously@|@უხამსოდ@
@scurry@|@მოკლე ნაბიჯებით სირბილი, სწრაფი მოძრაობა@
@scurrying@|@მოკლე ნაბიჯებით მირბის@
@scurvily@|@სულმდაბლად@
@scurvy@|@სულმდაბალი, სურავანდი@
@scut@|@მოკლე კუდი@
@scuts@|@მოკლე კუდები@
@scythe@|@თიბვა, ცელვა, ცელი@
@scythed@|@გათიბა, გათიბული, მოცელა, მოცელილი@
@scythes@|@თიბავს, ცელავს, ცელები@
@scything@|@თიბავს, ცელავს@
@sea@|@ზღვა@
@sea-bathing@|@ზღვაში ბანაობა@
@seabird@|@ზღვის ფრინველი@
@seabirds@|@ზღვის ფრინველები@
@seaboard@|@ზღვის ნაპირი@
@seaboards@|@ზღვის ნაპირები@
@sea-boat@|@ზღვის ნავი@
@sea-boats@|@ზღვის ნავები@
@sea-breeze@|@ზღვის ბრიზი@
@sea-breezes@|@ზღვის ბრიზები@
@sea-cow@|@ლომვეშაპი@
@sea-cows@|@ლომვეშაპები@
@sea-dog@|@გამოცდილი მეზღვაური, ზრვის მგელი, სელაპი@
@sea-dogs@|@გამოცდილი მეზღვაურები, ზღვის მგლები, სელაპები@
@seafarer@|@მეზღვაური@
@seafarers@|@მეზღვაურები@
@seafaring@|@საზღვაო@
@sea-fish@|@ზღვის თევზი@
@sea-fishes@|@ზღვის თევზები@
@seafront@|@ქალაქის ზღვისპირა უბანი ზღვისპირა ბულვარი@
@seafronts@|@ზღვისპირა ბულვარები, ქალაქების ზღვისპირა უბნები@
@sea-girt@|@ზღვებით გარშემორტყმული@
@seagoing@|@შორი ნაოსნობის@
@sea-green@|@ზღვის ტალღის ფერი, ზღვის ტალღისფერი@
@seagull@|@თოლია@
@seagulls@|@თოლიები@
@sea-horse@|@ზღვის ცხენი@
@sea-horses@|@ზღვის ცხენები@
@seal@|@ბეჭდის დასმა, ბეჭედი, დალუქვა@
@sealed@|@ბეჭედდასმული, ბეჭედი დაუსვა, დალუქა, დალუქული@
@sealer@|@სელაპებზე მონადირე@
@sealers@|@სელაპებზე მონადირეები@
@sea-level@|@ზღვის დონე@
@sealing@|@ბეწედს უსვამს, ლუქავს@
@sealing-wax@|@ლუქი@
@sea-lion@|@ზღვის ლომი@
@sea-lions@|@ზღვის ლომები@
@seals@|@ბეწედს უსვამს, ბეჭდები, ლუქავს@
@sealskin@|@ზღვის კატის ბეწვი@
@sealskins@|@ზღვის კატის ბეწვები@
@seam@|@დაღარვა, ნაკერი, ნაოჭი, შეკერვა@
@seaman@|@მეზღვაური@
@seamanship@|@ზღვაოსნობის ხელოვნება@
@seamed@|@დაღარა, დაღარული, შეკერა, შეკერილი@
@seamen@|@მეზღვაურები@
@seamier@|@ნაკერებით უფრო მეტად დაფარული@
@seamiest@|@ნაკერებით ყველაზე მეტად დაფარული@
@seaming@|@კერავს, ღარავს@
@seamless@|@ნაკერის გარეშე@
@seams@|@კერავს, ნაკერები, ნაოჭები, ღარავს@
@seamstress@|@მკერავი@
@seamstresses@|@მკერავები@
@seamy@|@ნაკერებით დაფარული@
@séance@|@სპირიტული სეანსი, სხდომა@
@séances@|@სპირიტული სეანსები, სხდომები@
@seaplane@|@ჰიდროთვითმფრინავი@
@seaplanes@|@ჰიდროთვითმფრინავები@
@seaport@|@საზღვაო პორტი, საპორტო ქალაქი@
@seaports@|@საზღაო პორტები, საპორტო ქალაქები@
@sear@|@გამხმარი@
@search@|@ძებნა, ძებნა@
@searched@|@ეძებდა, ძებნილი@
@searcher@|@მეძებარი@
@searchers@|@მეძებრები@
@searches@|@ეძებს@
@searching@|@საგულდაგულო@
@searchingly@|@საგულდაგულოდ@
@searchlight@|@პროჟექტორი@
@searchlights@|@პროჟექტორები@
@search-parties@|@სამძებრო ჯგუფები@
@search-party@|@სამძებრო ჯგუფი@
@search-warrant@|@ჩხრეკის ორდერი@
@search-warrants@|@ჩხრეკის ორდერები@
@sea-rover@|@მეკობრე@
@sea-rovers@|@მეკობრეები@
@seas@|@ზღვები@
@seascape@|@ზღვის პეიზაჟი@
@seascapes@|@ზღვის პეიზაჟები@
@seashore@|@ზღვის ნაპირი@
@seashores@|@ზღვის ნაპირები@
@seasickness@|@ზღვის ავადმყოფობა@
@seaside@|@ზღვის ნაპირი@
@seasides@|@ზღვის ნაპირები@
@sea-snake@|@ზღვის გველი@
@sea-snakes@|@ზღვის გველები@
@season@|@გამოშრობა, გამოწრთობა, სეზონი, შენელება, წელიწადის დრო@
@seasonable@|@სეზონის მიხედვით@
@seasonal@|@სეზონური@
@seasonally@|@სეზონურად@
@seasoned@|@გამოაშრო, გამოაწრთო, გამომშრალი, გამოწრთვნილი, შეანელა, შენელებული@
@seasoning@|@ანელებს, აწრთობს, სანელებელი@
@seasonings@|@სანელებლები@
@seasons@|@აწრთობს, სეზონები, წელიწადის დროები@
@season-ticket@|@აბონემენტი, სეზონური ბილეთი@
@season-tickets@|@აბონემენტები, სეზონური ბილეთები@
@seat@|@დასაჯდომი ადგილი, დასმა@
@seated@|@დასვა, დასმული@
@seating@|@სვამს@
@seating-room@|@მისაღები ოთახი@
@seats@|@დასაჯდომი ადგილები, სვამს@
@sea-urchin@|@ზღვის ზღარბი@
@sea-urchins@|@ზღვის ზღარბები@
@sea-wall@|@დამბა@
@sea-walls@|@დამბები@
@seaward@|@ზღვისკენ მიმართული@
@seawards@|@ზღვისკენ@
@sea-water@|@ზღვის წყალი@
@seaway@|@ფარვატერი@
@seaways@|@ფარვატერები@
@seaweed@|@ზღვის მცენარე@
@seaweeds@|@ზღვის მვენარეები@
@seaworthy@|@კარგი საზღვაოსნო თვისებების მქონე@
@sec@|@მშრალი ღვინო@
@secateurs@|@სეკატორი@
@seceded@|@გამოეყო@
@secedes@|@გამოეყოფა@
@seceding@|@გამოეყოფა@
@secession@|@გამოსვლა@
@secessionist@|@განდგომილი@
@secessionists@|@განდგომილები@
@secessions@|@გამოსვლა@
@seclude@|@იზოლირება@
@secluded@|@გამოეყო, იზოლირება გაუკეთა, იზოლირებული@
@secludes@|@გამოეყოფა, იზოლირებას უკეთებს@
@secluding@|@იზოლირებას უკეთებს@
@seclusion@|@განმარტოვება@
@second@|@მეორადი, მეორე, მეორე, მეორე მხრივ, წამი@
@secondarily@|@მეორედ@
@secondary@|@გვერდითი, მეორადი@
@second-best@|@მეორე ხარისხი, მეორე ხარისხის@
@second-class@|@მეორეხარისხოვანი@
@seconded@|@დაეხმარა, მხარდაჭერილი, მხარი დაუჭირა@
@seconder@|@მხარდამჭერი@
@seconders@|@მხარდამჭერები@
@second-hand@|@ნახმარი, წამების ისარი@
@second-hands@|@წამების ისრები@
@secondly@|@მეორე მხრივ@
@second-rate@|@მეორეხარისხოვანი@
@second-rater@|@უფერული ადამიანი@
@second-raters@|@უფერული ადამიანები@
@seconds@|@წამები@
@secretarial@|@მდივნის, სამდივნო@
@secretariat@|@სამდივნო@
@secretariats@|@სამდივნოები@
@secretaries@|@მდივნები@
@secretary@|@მდივანი@
@Secretary-General@|@გენერალური მდივანი@
@Secretary-Generals@|@გენერალური მდივნები@
@secreted@|@გამოყო@
@secretion@|@სეკრეცია@
@secretions@|@სეკრეციები@
@secretive@|@ფარული@
@secretively@|@ფარულად@
@secretiveness@|@ფარულობა@
@secretly@|@სხვებისთვის შეუმჩნევლად@
@secrets@|@საიდუმლოებები@
@secs@|@მშრალი ღვინოები@
@sect@|@სექტა@
@sectarian@|@სექტანტი, სექტანტური@
@sectarianism@|@სექტანტობა@
@sectarians@|@სექტანტები@
@section@|@გაკვეთა, კვეთა, სექცია@
@sectional@|@სექციური@
@sectionalism@|@სექტანტობა@
@sections@|@გაკვეთები, კვეთები, სექციები@
@sector@|@სექტორი@
@sectors@|@სექტორები@
@sects@|@სექტები@
@secular@|@საუკუნო@
@secularism@|@სკოლის ეკლესიისაგან გამოყოფისათვის ბრძოლა@
@secularist@|@საერო სკოლის მომხრე@
@secularists@|@საერო სკოლის მომხრეები@
@secure@|@დაზღვევა, მშვიდი, უსაფრთხო@
@secured@|@დაზღვეული@
@securely@|@დარწმუნებულად, უსაფრთხოდ@
@secures@|@აზღვევს@
@securities@|@უსაფრთხოება@
@security@|@უსაფრთხოება@
@sedan@|@სედანი@
@sedan-chair@|@პორტშეზი@
@sedan-chairs@|@პორტშეზები@
@sedans@|@სედანები@
@sedately@|@გაწონასწორებულად@
@sedateness@|@გაწონასწორებულობა@
@sedation@|@დამშვიდება@
@sedative@|@დამამშვიდებელი, დამამშვიდებელი საშუალება, ტკივილგამაყუჩებელი@
@sedatives@|@დამამშვიდებელი საშუალებები@
@sedentary@|@მჯდომარე@
@sedge@|@ისლი@
@sedges@|@ისლი@
@sedgier@|@უფრო ისლიანი@
@sedgiest@|@ყველაზე ისლიანი@
@sedgy@|@ისლიანი, ისლის@
@sediment@|@ნალექი@
@sedimentary@|@ნალექი, ნალექოვანი@
@sedition@|@წაქეზება ამბოხებისაკენ@
@seditious@|@მეამბოხე@
@seduce@|@ცდუნება@
@seduced@|@აცდუნა@
@seducer@|@მაცდური@
@seducers@|@მაცდურები@
@seduces@|@აცდუნებს@
@seducing@|@აცდუნებს@
@seduction@|@ცდუნება@
@seductions@|@ცდუნებები@
@seductive@|@მაცდური@
@seductively@|@მაცდურად@
@sedulous@|@ბეჯითი@
@sedulously@|@ბეჯითად@
@see@|@დანახვა, ეპარქია@
@seed@|@დათესვა, თესლი, თესლის გაკეთება, მარცვალი@
@seedbed@|@კვალი@
@seedbeds@|@კვლები@
@seedcake@|@ნამცხვარი კვლიავით@
@seedcakes@|@ნამცხვრები კვლიავით@
@seed-corn@|@დასათესი მარცვალი@
@seeded@|@დათესა, დათესილი, თესლგაკეთებული, თესლი გაიკეთა@
@seedier@|@უფრო გაცვეთილი, უფრო სავსე თესლებით@
@seediest@|@ყველაზე გაცვეთილი, ყველაზე სავსე თესლებით@
@seeding@|@თესავს, თესლს იკეთებს@
@seedless@|@უთესლო@
@seedling@|@თესლზე ამოსული მცენარე, ჩითილი@
@seedlings@|@თესლზე ამოსული მცენარეები, ჩითილები@
@seed-pearls@|@წვრილი მარგალიტი@
@seeds@|@თესავს, თესლები, თესლს იკეთებს, მარცვლები@
@seedsman@|@თესლებით მოვაჭრე@
@seedsmen@|@თესლებით მოვაჭრეები@
@seedtime@|@თესვის დრო@
@seedtimes@|@თესვის დრო@
@seedy@|@გაცვეთილი, თესლით სავსე@
@seeing@|@ხედავს@
@seem@|@ჩვენება@
@seemed@|@ჩანდა@
@seeming@|@მოჩვენებითი, ჩანს@
@seemingly@|@როგორც ჩანს@
@seemlier@|@უფრო შესაფერი, სათანადო@
@seemliest@|@ყველაზე შესაფერი, სათანადო@
@seemliness@|@შესაფეროსა, სათანადოობა@
@seemly@|@შესაფერი, სათანადო@
@seems@|@ჩანს@
@seen@|@დანახული@
@seep@|@გაჟონვა@
@seepage@|@ჟონვა@
@seeped@|@გაჟონა, გაჟონილი@
@seeping@|@ჟონავს@
@seeps@|@ჟონავს@
@seer@|@წინასწარმეტყველი@
@sees@|@ეპარქიები, ხედავს@
@seesaw@|@ორჭოფობა, საქანელა, საქანელაზე ქანაობა@
@seesawed@|@ორჭოფობდა, საქანელაზე ქანაობდა@
@seesawing@|@ორჭოფობს, საქანელაზე ქანაობს@
@seesaws@|@ორჭოფობს, საქანელაზე ქანაობს, საქანელები@
@seethe@|@დუღილი@
@seethed@|@დუღდა@
@seethes@|@დუღს@
@seething@|@დუღს@
@segment@|@ნაწილი, სეგმენტებად დაყოფა, სეგმენტი@
@segmented@|@სეგმენტებად დაყო, სეგმენტებად დაყოფილი@
@segmenting@|@სეგმენტებად ყოფს@
@segments@|@ნაწილები, სეგმენტებად ყოფს, სეგმენტები@
@segregated@|@გამოეყო@
@segregation@|@სეგრეგაცია@
@seignior@|@სენიორი@
@seigniors@|@სენიორები@
@seine@|@ბადით თევზის ჭერა, თევზსაჭერი ბადე@
@seined@|@ბადით თევზი დაიჭირა@
@seines@|@ბადით თევზს იჭერს, თევზსაჭერი ბადეები@
@seining@|@ბადით თევზს იჭერს@
@seismic@|@სეისმური@
@seismograph@|@სეისმოგრაფი@
@seismographs@|@სეისმოგრაფები@
@seismologist@|@სეისმოლოგი@
@seismologists@|@სეისმოლოგები@
@seismology@|@სეისმოლოგია@
@seize@|@შეპყრობა, ჩაჭიდება@
@seized@|@შეიპყრო, შეპყრობილი, ჩაეჭიდა, ჩაჭიდებული@
@seizure@|@დაპყრობა, კონფისკაცია, შეტევა@
@seizures@|@დაპყრობები, კონფისკაციები, შეტევები@
@seldom@|@იშვიათად@
@select@|@შერჩევა, შერჩეული@
@selected@|@შეარჩია, შერჩეული@
@selection@|@სელექცია, შერჩევა@
@selections@|@სელექციები, შერჩევები@
@selective@|@შესარჩევი@
@selectively@|@შერჩევით@
@selectivity@|@შერჩევითობა@
@selector@|@სელექტორი, შემრჩევი@
@selectors@|@სელექტორები, შემრჩევები@
@selenium@|@სელენი@
@self@|@საკუთარი პიროვნება@
@self-@|@თვითონ@
@self-abasement@|@თავის დამცირება@
@self-abnegation@|@თავგანწირვა@
@self-absorbed@|@ეგოცენტრული@
@self-acting@|@ავტომატური@
@self-assertion@|@საკუთერი უფლებების დაცვა@
@self-assertive@|@შეუპოვარი@
@self-assurance@|@თავდაჯერებულობა@
@selfcollected@|@თავშეკავებული@
@self-coloured@|@ბუნებრივი შეფერილობის, ერთფერი@
@self-command@|@თავდაჭერილობა@
@self-communion@|@საკუთარ თავზე ფიქრი@
@self-complacency@|@თვითკმაყოფილება@
@self-conscious@|@მოკრძალებული@
@selfconsciously@|@მოკრძალებულად@
@self-consciousness@|@მოკრძალება@
@self-contained@|@უკარება@
@self-control@|@თავდაჭერილობა@
@self-defence@|@თავდაცვა@
@self-denial@|@პირად სიკეთეზე უარის თქმა@
@self-determination@|@თვითგამორკვევა@
@self-educated@|@თვითნასწავლი@
@self-esteem@|@ღირსების გრძნობა@
@self-explanatory@|@აშკარა, ცხადი@
@self-help@|@თვითდახმარება@
@self-importance@|@დიდი წარმოდგენა საკუთარ თავზე@
@self-important@|@საკუთარ თავზე დიდი წარმოდგენის@
@self-interest@|@ეგოიზმი@
@selfish@|@ეგოისტი@
@selfishly@|@ეგოისტურად@
@selfishness@|@ეგოიზმი@
@self-opinionated@|@თვითდაჯერებული@
@self-pity@|@საკუთარი თავის შეცოდება@
@self-possessed@|@თავდაჭერილი@
@selfpossession@|@თავდაჭერილობა@
@self-preservation@|@თვითგადარჩენა@
@self-reliance@|@საკუთარი ძალების რწმენა@
@self-reliant@|@საკუთარ თავში დარწმუნებული@
@self-respect@|@ღირსების გრძნობა@
@self-respecting@|@ღირსების გრძნობის მქონე@
@self-righteous@|@თვითკმაყოფილი, საკუთარ სიმართლეში დარწმუნებული@
@self-sacrifice@|@თავგანწირვა@
@self-sacrifices@|@თავგანწირვები@
@self-sacrificing@|@თავგანწირული@
@self-same@|@იგივე@
@self-seeker@|@კარიერისტი@
@self-seekers@|@კარიერისტები@
@self-service@|@თვითმომსახურება@
@self-sown@|@ნაგერალი@
@self-starter@|@სტარტერი@
@self-starters@|@სტარტერები@
@self-styled@|@თვითმარქვია@
@self-sufficiency@|@დამოუკიდებლობა@
@selfsufficient@|@დამოუკიდებელი@
@self-will@|@თვითნებობა@
@selfwilled@|@თავნება@
@sell@|@გაყიდვა, თაღლითობა@
@seller@|@გამყიდველი@
@sellers@|@გამყიდველები@
@selling@|@გაყიდვა, ყიდის@
@sellout@|@გაყიდვა, ღალატი, წარმატების მქონე პიესა, გამოფენა@
@sellouts@|@გაყიდვა, ღალატი, წარმატების მქონე პიესები, გამოფენები@
@sells@|@ყიდის@
@selvage@|@ნაწიბური@
@selvages@|@ნაწიბურები@
@selvedge@|@ნაწიბური@
@selvedges@|@ნაწიბურები@
@selves@|@საკუთარი პიროვნებები@
@semantic@|@სემანტიკური@
@semantics@|@სემანტიკა@
@semaphore@|@სემაფორი, სიგნალის მიცემა@
@semaphored@|@სიგნალი მისცა@
@semaphores@|@სიგნალს აძლევს@
@semaphoring@|@სიგნალს აძლევს@
@semblance@|@სახეობა@
@semblances@|@გარეგნობები, სახეობები@
@semen@|@სპერმა@
@semester@|@სემესტრი@
@semesters@|@სემესტრები@
@semicircle@|@ნახევარწრე@
@semicircles@|@ნახევარწრეები@
@semicircular@|@ნახევრადწრული@
@semicolon@|@წერტილმძიმე@
@semicolons@|@წერტილმძიმეები@
@semiconducting@|@ნახევარგამტარი@
@semiconductor@|@ნახევარგამტარი@
@semiconductors@|@ნახევარგამტარები@
@semidetached@|@საერთო კედის მქონე@
@semifinal@|@ნახევარფინალი@
@semifinalist@|@ნახევარფინალისტი@
@semifinalists@|@ნახევარფინალისტები@
@semifinals@|@ნახევარფინალები@
@seminal@|@სათესლე@
@seminar@|@სემინარი@
@seminaries@|@სასულიერო სემინარიები@
@seminarist@|@სემინარისტი@
@seminarists@|@სემინარისტები@
@seminars@|@სემინარები@
@seminary@|@სასულიერო სემინარია@
@semiofficial@|@ნახევრადოფიციალური@
@semiquaver@|@მეთექვსმეტედი@
@semiquavers@|@მეთექვსმეტედები@
@Semite@|@სემიტი, სემიტური@
@Semites@|@სემიტები@
@Semitic@|@სემიტური@
@semitone@|@ნახევარტონი@
@semitones@|@ნახევარტონები@
@semitropical@|@ნახევრადტროპიკული@
@semivowel@|@ნახევრადხმოვანი ბგერა@
@semivowels@|@ნახევრადხმოვანი ბგერები@
@semolina@|@მანანის ბურღული@
@sempstress@|@მკერავი@
@sempstresses@|@მკერავები@
@senate@|@საბჭო, სენატი@
@senates@|@საბჭოები, სენატები@
@senator@|@სენატორი@
@senatorial@|@სენატორის@
@senators@|@სენატორები@
@sender@|@გამგზავნი@
@senders@|@გამგზავნები@
@sendoff@|@გაცილება, საქებარი რეცენზია@
@sendoffs@|@გაცილებები, საქებარი რეცენზიები@
@Senegal@|@სენეგალი@
@Senegalese@|@სენეგალელი, სენეგალური@
@senescence@|@დაძველება, მოხუცევა@
@senile@|@ბებრული, მოხუცებულობის@
@senility@|@მოხუცებულობა, სიბერე@
@senior@|@ხანდაზმული ადამიანი@
@seniority@|@სამუშაო სტაჟი, უფროსობა@
@seniors@|@უფროსები, ხანდაზმული ადამიანები@
@senora@|@სენიორა@
@senoras@|@სენიორები@
@senorita@|@სენიორიტა@
@senoritas@|@სენიორიტები@
@sensation@|@გრძნობა, სენსაცია, შეგრძნება@
@sensational@|@სენსაციური, სენსუალური@
@sensationalism@|@სენსუალიზმი@
@sensationalist@|@სენსუალისტი@
@sensationalists@|@სენსუალისტები@
@sensationally@|@სენსაციურად, სენსუალურად@
@sensations@|@გრძნობები, სენსაციები, შეგრძნებები@
@sense@|@გაგება, გრძნობა, გრძნობა, შეგრძნება, შეგრძნება@
@sensed@|@გაგებული, გაიგო, იგრძნო, ნაგრძნობი, შეიგრძნო@
@senseless@|@უგრძნობი@
@senselessly@|@უაზროდ, უგრძნობად@
@senselessness@|@უაზრობა, უგრძნობობა@
@sense-organ@|@გრძნობის ორგანო@
@sense-organs@|@გრძნობის ორგანოები@
@senses@|@გრძნობები, გრძნობს, შეგრძნებები, შეიგრძნობს@
@sensibilities@|@მგრძნობელობა@
@sensibility@|@მგრძნობელობა@
@sensible@|@კეთილგონიერი, მგრძნობი@
@sensibly@|@კეთელგონივრულად@
@sensing@|@გრძნობს, შეიგრძნობს@
@sensitive@|@მგრძნობიარე@
@sensitively@|@მგრძნობიარედ@
@sensitivities@|@მგრძნობიარობა@
@sensitivity@|@მგრძნობიარობა@
@sensitize@|@გახადო მგრძნობიარე@
@sensitized@|@მგრძნობიარე გახადა@
@sensitizes@|@მგრძნობიარეს ხდის@
@sensitizing@|@მგრძნობიარეს ხდის@
@sensory@|@მგრძნობიარე, სენსორული@
@sensual@|@გრძნობადი, ვნებიანი, სენსუალური@
@sensualism@|@სენსუალიზმი@
@sensualist@|@სენსუალისტი@
@sensualists@|@ავხორცები, სენსუალისტები@
@sensuality@|@გრძნობადობა@
@sensuous@|@გრძნობადი@
@sensuously@|@გრძნობადად@
@sensuousness@|@გრძნობადობა@
@sent@|@გაგზავნილი@
@sentence@|@განაჩენი, მისჯა, მსჯავრის დადება, წინადადება@
@sentenced@|@მისჯილი, მიუსაჯა, მსჯავრდადებული, მსჯავრი დასდო@
@sentences@|@განაჩენები, მსჯავრს დებს, უსჯის, წინადადებები@
@sentencing@|@მსჯავრს დებს, უსჯის@
@sententious@|@დამრიგებლობითი@
@sententiously@|@დამრიგებლურად@
@sentient@|@შემგრძნობი@
@sentimental@|@სენტიმენტალური@
@sentimentalist@|@სენტიმენტალისტი@
@sentimentalists@|@სენტიმენტალისტები@
@sentimentality@|@სენტიმენტურობა@
@sentimentally@|@სენტიმენტურად@
@sentiments@|@გრძნობები@
@sentinel@|@გუშაგი@
@sentinels@|@გუშაგები@
@sentries@|@გუშაგები@
@sentry@|@გუშაგი@
@sentry-box@|@საგუშაგო ჯიხური@
@sentry-boxes@|@საგუშაგო ჯიხურები@
@Seoul@|@სეული@
@sepal@|@ჯამის ფოთოლი@
@sepals@|@ჯამის ფოთლები@
@separability@|@გამოყოფადობა@
@separable@|@გამოყოფადი@
@separate@|@ცალკეული, ცალკეული ამონაბეჭდი@
@separately@|@განცალკევებით@
@separates@|@ცალკეული ამონაბეჭდები@
@separations@|@გამოყოფები@
@separatist@|@სეპარატისტი@
@separatists@|@სეპარატისტები@
@separator@|@სეპარატორი@
@separators@|@სეპარატორები@
@sepia@|@სეპია@
@sepsis@|@სეფსისი@
@September@|@სექტემბერი@
@Septembers@|@სექტემბრები@
@septet@|@სეპტეტი@
@septets@|@სეპტეტები@
@septic@|@სეპტიკური@
@septicaemia@|@სეფსისი@
@septuagenarian@|@სამოცდაათი წლიდან წლამდე ადამიანი@
@septuagenarians@|@სამოცდაათი წლიდან წლამდე ადამიანები@
@sepulchral@|@სამარის, სამარისებური@
@sepulchre@|@სამარე@
@sepulchres@|@სამარეები@
@sepulture@|@დასაფლავება@
@sequels@|@გაგრძელებები@
@sequence@|@თანამიმდევრობა@
@sequences@|@თანამიმდევრობები@
@sequent@|@მომდევნო@
@sequential@|@თანმიმდევრული, მომდევნო@
@sequentially@|@თანმიმდევრულად@
@sequester@|@განცალკევება, იზოლირება@
@sequestered@|@განაცალკევა, იზოლირება გაუკეთა, იზოლირებული@
@sequestering@|@განაცალკევებს@
@sequestrate@|@კონფისკაცია, სეკვესტრირება@
@sequestrated@|@კონფისკაცია გაუკეთა, კონფისკირებული, სეკვესტრირება გაუკეთა, სეკვესტრირებული@
@sequestrates@|@კონფისკაციას უკეთებს, სეკვესტრირებას უკეთებს@
@sequestrating@|@კონფისკაციას უკეთებს, სეკვესტრირებას უკეთებს@
@sequestration@|@სეკვესტრი@
@sequestrations@|@კონფისკაციები, სეკვესტრები@
@sequin@|@ცეხინი@
@sequins@|@ცეხინები@
@sequoia@|@სექვოია@
@sequoias@|@სექვოიები@
@seraglio@|@სერალი@
@seraglios@|@სერალები@
@seraph@|@სერაფიმი@
@seraphic@|@სერაფიმული@
@seraphim@|@სერაფიმები@
@seraphs@|@სერაფიმები@
@sere@|@მშრალი@
@serenade@|@სერენადა, სერენადის შესრულება@
@serenaded@|@სერენადა შეასრულა@
@serenades@|@სერენადას ასრულებს, სერენადები@
@serenading@|@სერენადას ასრულებს@
@serene@|@ნათელი, უშფოთველი@
@serenely@|@ნათლად, უშფოთვლად@
@serenity@|@უშფოთველობა@
@serf@|@ყმა@
@serfdom@|@ბატონყმობა@
@serfs@|@ყმები@
@serge@|@სარჟა@
@sergeant@|@სერჟანტი@
@sergeant-major@|@ზემდეგი@
@sergeant-majors@|@ზემდეგები@
@sergeants@|@სერჟანტები@
@serial@|@პერიოდული გამოცემა, სერიალი, სერიული@
@serialize@|@სერიებად გამოშვება@
@serialized@|@სერიებად გამოუშვა, სერიებად გამოშვებული@
@serializes@|@სერიებად უშვებს@
@serializing@|@სერიებად@
@serially@|@სერიულად@
@serials@|@პერიოდული გამოცემები, სერიალები@
@seriatim@|@თანმიმდევრულად, პუნქტობრივად@
@sericultural@|@მეაბრესუმეობის@
@sericulture@|@მეაბრეშუმეობა@
@sericultures@|@მეაბრეშუმეობა@
@sericulturist@|@მეაბრეშუმე@
@sericulturists@|@მეაბრეშუმეები@
@series@|@რიგი, სერია@
@seriocomic@|@ტრაგი-კომიკური@
@serious@|@სერიოზული@
@seriously@|@სერიოზულად@
@seriousness@|@სერიოზულობა@
@Serjeant-at-arms@|@პარლამენტის ბოქაული@
@Serjeants-at-arms@|@პარლამენტების ბოქაულები@
@sermon@|@ქადაგება@
@sermonize@|@ქადაგება@
@sermonized@|@ქადაგებდა@
@sermonizes@|@ქადაგებს@
@sermonizing@|@ქადაგებს@
@sermons@|@ქადაგებები@
@serous@|@სეროზული@
@serpent@|@ბოროტი ადამიანი, გველი@
@serpentine@|@გველის, ვერაგი@
@serpents@|@ბოროტი ადამიანები, გველები@
@serrated@|@დაკბილული@
