@Italian (Theology)@|@English@
@notevole@|@noteworthy, remarkable, outstanding, considerable@
@novità@|@(f- la)- newness, originality, novelty, innovation, change, news@
@nozze@|@(f- le)- wedding, marriage@
@nulla@|@nothing, nothingness, anything (niente)@
@nullo@|@null, void, invalid, of no use, of no importance, no, any@
@nuocere@|@to harm, to hurt, to injure, to damage@
@nutrice@|@(f- la)- wetnurse (balia), nourisher@
@obiettivo@|@(m- l')- objective, aim, goal, target, (adj.)- objective@
@obiezione@|@(f- l')- objection@
@oblativo@|@altruistic, disinterested@
@occidentale@|@(m- l')- Westerner, (adj.)- western@
@occorrere@|@to require, to be necessary (comportare- esigere- imporre- richiedere), to occur, to happen (accadere- avvenire- capitare- ricorrere- succedere- verificarsi), to need, to want, to take@
@odierno@|@of today, modern@
@ogni tanto@|@every now and then, every so often@
@ognuno@|@everybody, every one, all, each one@
@oltre@|@besides, beyond, over, farther on@
@oltremisura@|@exceedingly, extremely, beyond measure, overly, very (oltremodo)@
@oltremodo@|@exceedingly, extremely, beyond measure, overly, very (oltramisura)@
@ombra@|@(f- l')- shade, shadow, hint, suggestion@
@omero@|@(m- l')- shoulder@
@omologare@|@to prove, to confirm, to approve, to validate, to ratify, to recognize@
@omologato@|@approved, validated, ratified, recognized (past part. of omologare)@
@onda@|@(f- l')- wave@
@onde@|@so that, in order that, that, therefore, and so, from where, through which, by which@
@onestà@|@(f- l')- honesty, uprightness, integrity, decency@
@onorare@|@to honor@
@opporre@|@to oppose, to object@
@opposto@|@(m- l')- opposite, contrary, (adj.)- opposite, opposing, contrary@
@opprimere@|@to oppress, to burden, to weigh down@
@oppure@|@or, or else, otherwise, alternatively, on the other hand@
@oramai@|@now, by this time, nearly, almost (ormai)@
@orbene@|@so, well, then@
@ordalia@|@(f- la)- ordeal (calvario- prova)@
@ordinamento@|@(m- l')- ordering, arrangement, disposition, code, system, (pl.)- regulations, rules@
@organico@|@(m- l')- personnel, staff, roll, (adj.)- organic, organized, systematic@
@orgoglio@|@(m- l')- pride@
@orgoglioso@|@proud@
@orientale@|@(m- l')- Asian, (adj.)- eastern@
@orientamento@|@(m- l')- orientation, sense of direction, direction, guidance, trend@
@orizzonte@|@(m- l')- horizon@
@orma@|@(f- l')- vestige, trace, impression, trail, footprint, track (passo- pista- traccia- vestigio), (pl.)- remains, traces, vestiges (vestigi or vestigia)@
@ormai@|@now, by this time, nearly, almost (oramai)@
@oro@|@(m- l')- gold, (pl.)- things made of gold, jewels, diamonds@
@oscuro @|@obscure, dark@
@ospitale@|@hospitable@
@ospite@|@(m- l')- host, guest, (adj.)- hosting, visiting@
@ossia@|@that is, or rather (cioè)@
@osso@|@(m- l')- bone, stone, pit@
@ostacolare@|@to obstruct, to hinder, to thwart, to hamper@
@ostensorio@|@(m- l')- monstrance@
@ostinato@|@obstinate, stubborn, persistent@
@ottenere@|@to obtain, to get (attingere- trarre- ricavare)@
@ove@|@where, if, in case@
@ovunque@|@everywhere (dappertutto- dovunque- per ogni canto), anywhere, wherever (dovechessia- dovunque)@
@ovvero@|@or, that is, in other words, or rather@
@pacare@|@to pacify, to appease, to soothe, to calm down@
@pacato@|@calm, calmness, quietness, peacefulness, even-tempered, relaxed (past part. of pacare)@
@padrone@|@(m- il)- master, boss, owner, employer@
@paio@|@(m- il)- pair, couple@
@palazzo@|@(m- il)- palace, building (reggia)@
@palese@|@obvious, evident, manifest, clear, plain, known@
@parabola@|@(f- la)- parable, course, rise and falling@
@paragonabile@|@comparable, that can be compared to or with, on par with@
@paragonare@|@to compare (mettere a riscontro- raffrontare)@
@paranese@|@(f- la)- exhortation, parenesis@
@parecchio@|@quite a lot of, plenty of, several, numerous, quite a long, (adv.)- quite, very, rather, quite a lot@
@parentela@|@(f- la)- relationship, kinship, (pl.)- relatives, kin@
@parere@|@to appear, to seem (apparire)@
@parete@|@(f- la)- wall, barrier, side, face, surface@
@pargolo@|@(m- il)- child, baby, (adj.)- tiny, small@
@pari@|@(m- il)- draw, tie, equal, peer, even number, (adj.)- equal, the same, similar, even, paired, (adv.)- in a draw, in a tie@
@parimenti@|@equally, likewise, in like manner@
@parossismo@|@(m- il)- paroxism, convulsion, fit@
@parrocchia@|@(f- la)- parish, group, set@
@parroco@|@(m- il)- pastor, parish priest@
@parte@|@(f- la)- part, role, share, portion, region, side@
@partecipe@|@participating, sharing, taking part, attentive, intent, engrossed, aware, acquainted@
@partenza@|@(f- la)- departure, sailing, start@
@partorire@|@(isc verb)- to give birth to, to bring forth children @
@pascere@|@to eat, to feed on, to pasture, to feed, to nourish@
@Pasqua@|@(f- la)- Easter, Passover@
@Pasqua delle rose@|@(f- la)- Pentecost@
@Pasqua fiorita@|@(f- la)- Palm Sunday@
@Passio@|@(m- il)- Passion of Jesus (Passione)@
@passo@|@(m- il)- passage (ex:  from the Bible), step, pace, footprint, track, way (orma- pista- traccia- vestigio), passage, decision, (adj.)- dried, withered@
@pasticcio@|@(m- il)- pie, mess, trouble, jam, tight spot@
@pasto@|@(m- il)- meal@
@pastore@|@(m- il)- shepherd, priest, pastor, minister@
@patente@|@(f- la)- licence, (adj.)- evident, manifest, clear, open@
@patetico@|@pathetic, moving@
@patire@|@(isc verb)- to suffer, to bear, to stand (soffrire- subire)@
@patria@|@(f- la)- country, homeland, birth place, home@
@patrimonio@|@(m- il)- property, wealth, fortune, patrimony, heritage, (pl.)- assets@
@patto@|@(m- il)- pact, agreement, understanding, contract, term, condition@
@peccaminoso @|@sinful@
@peccare@|@to sin, to be deficient, to lack@
@pecora@|@(f- la)- sheep@
@pegno@|@(m- il)- pledge, token, pawn, lein, security@
@pellegrinaggio@|@(m- il)- pilgrimmage@
@pena@|@(f- la)- penalty, punishment, pain, suffering, grief, trouble@
@pendere@|@to hang, to lean, to be inclined, to tend, to be pending, to hesitate, to waver@
@pensiero@|@(m- il)- thought, way of thinking, mind, opinion, philosophy, doctrine, theory, trouble, worry, concern, idea, intention@
@Pentecoste@|@(f- la)- Pentecost@
@pentimento@|@(m- il)- repentence, remorse, contrition, regret, change of mind, second thoughts, afterthought@
@pentire@|@to repent, to change one's mind@
@per@|@for, in order to@
@per cui@|@why, so, therefore (allora- cisì- dunque- perciò- pertanto- quindi- sicchè)@
@per forza@|@against one's will, of course, necessarily@
@per incarico di@|@on behalf of@
@per lo meno@|@at least@
@per nulla@|@not at all, not in the least@
@per ogni canto@|@everywhere (dappertutto- dovunque- ovunque- per ogni canto)@
@per quanto@|@however, though, although, no matter how much, but (benchè- comunque- nondimento- peraltro- pure- tuttavia)@
@per quanto concerne@|@with regard to, as regards  (per quanto riguarda- riguardante)@
@per quanto riguarda@|@regarding, as regards, as for, as to (riguardante- per quanto concerne)@
@peraltro@|@however- though, on the other hand (benchè- comunque- nondimento- per quanto- pure- tuttavia)@
@percepire@|@(isc verb)- to perceive, to become aware of, to detect, to notice, to sense, to receive, to be given, to earn @
@perció@|@therefore (allora- così- dunque- per cui- pertanto- quindi- sicchè), accordingly @
@percorrere@|@to cover, to travel@
@percorso@|@(m- il)- route, course, way, path, journey, distance (cammino- tragitto)@
@percuotere@|@to hit, to strike, to beat (colpire- ferire- picchiare)@
@perdere@|@to lose, to miss, to waste, to ruin, to leak@
@perdita@|@(f- la)- loss, waste, deficit, leak@
@perdurare@|@to last, to go on, to continue@
@perenne@|@perpetual, everlasting, perennial @
@perfino@|@even@
@perire@|@(isc verb)- to perish @
@perlomeno@|@at least, to say the least@
@perlopiù@|@mostly, in most cases, generally@
@perno@|@(m- il)- hinge, support@
@persino@|@even@
@pertanto@|@therefore, so (allora- così- dunque- per cui- perciò- quindi- sicchè)@
@pervenire@|@to arrive, to come, to attain, to reach@
@pesante@|@heavy@
@pescare@|@to fish, to fish for, to get hold of, to come across, to catch, to draw, to pick out@
@pescato@|@(m- il)- catch, (adj.)- caught, fished (past part. of pescare)@
@peso@|@(m- il)- weight, importance, load, burden, (adj.)- heavy, boring@
@pezzo@|@(m- il)- piece, parte@
@piaga@|@(f- la)- sore, wound, evil, calamity, plague, sorrow, affliction@
@pianificazione@|@(f- la)- planning, scheduling@
@piano@|@(m- il)- level, plane, layer, surface, plan, design, schedule, (adj.)- flat, level, even, smooth, clear, plain, simple, (adv.)- softly, quietly, gently, carefully, slowly@
@pianta@|@(f- la)- plant, tree, plan, map, plot@
@pianto@|@(m- il)- weeping, tears, suffering, grief, pain, bleeding@
@piato@|@(m- il) - quarrel, dispute@
@piatto @|@(m- il)- plate, dish, (adj.)- flat, dull@
@picchiare@|@to strike, to hit, to beat, to knock, to insist (colpire- ferire- percuotere)@
@piega@|@(f- la) - fold, crease, wrinkle, turn, depths@
@piegare@|@to bend, to bow, to fold, to subdue, to convince@
@pienezza@|@(f- la)- plentitude, fulness, completeness, intensity, height, peak@
@pietà@|@(f- la)- mercy, compassion, piety, devotion@
@pievania@|@(f- la)- rectory (canonica- presbiterio)@
@pigliare@|@to catch, to take, to seize, to get, to take root (prendere)@
@piglio@|@(m- il)- hold, catch, expression, look, way, manner, tone@
@pio@|@pius, devout, charitable, merciful@
@pista@|@(f- la)- footprint, track, path, trail (orma- passo- traccia- vestigio), lead, clue @
@piuttosto@|@rather, somewhat, quite, instead@
@plasmare@|@to mold, to shape, to model@
@poggiare@|@to lean, to rest, to be based, to be founded, to put, to place, to move@
@poggiare su@|@to be based on (basarsi su)@
@poi@|@then, afterwards, besides, but, in the end@
@poichè@|@because, as, since, after, when@
@polemica@|@(f- la)- polemic, controversy, dispute, argument@
@politica@|@(f- la)- politics, political life, policy, diplomacy, shrewdness, tact@
@polivalente@|@multi-purpose, having many uses@
@polvere@|@(f- la)- dust, powder@
@porgere@|@to give, to offer, to hand, to deliver, to present@
@porre@|@to put, to place, to set, to pose, to suppose@
@portare in giro@|@to carry about, to take around, to drive around@
@portata@|@(f- la)- importance, significance, range, reach, scope (ambito- sfera), grasp (ex#1:  a portata di mano = within reach- handy or convenient, ex#2:  la portata dell'indagine = the scope of the investigation or the importance of the investigation)@
@portato@|@(m- il)- result, effect, (adj.)- inclined, disposed, worn, carried (past part. of portare)@
@possedere@|@to possess, to own@
@postazione@|@(f- la)- post, position@
@posticipare@|@to postpone, to defer@
@postumo@|@(m- il)- consequence, after-effect, (adj.)- posthumous (published after the death of an author)@
@potenza@|@(f- la)- power, might, strength, capacity (forza- potere- potestà)@
@potere@|@(m- il)- power (forza- potestà- potenza), authority, domination (balia- potestà), influence, capacity, leverage, clout, (verb)- can, to be able to, could, might, may, to manage or succed (in doing something), to be allowed, to be permitted, to be influential, to have influence or pull@
@potestà@|@power, authority (balia- forza- potenza- potere)@
@pozzo@|@(m- il)- well, shaft, pit@
@prassi@|@(f- la)- praxis, accepted or current practice, standard or usual procedure, routine, general rule (abitudine- consueto- consuetudine- norma- regola- uso), (pl.)- customs@
@precario@|@(m or f- il or la)- temporary employee, (adj.)- precarious, uncertain, unstable, temporary @
@precedente@|@(m- il)- precedent, record, background, past, history (contesto- retroterra), (adj.)- previous, preceeding, prior, earlier@
@precedenza@|@(f- la)- precedence, priority@
@precedere@|@to precede, to come before, to go before, to preface, to beat somebody to something, to anticipate, to have prescidence over@
@precetto@|@(m- il)- precept, rule, order, command@
@precisare@|@to specify, to state precisely, to tell exactly, to clarify, to qualify@
@preciso @|@precise, exact, identical, same, sharp@
@predica@|@(f- la)- homily, sermon, lecture, telling-off@
@predicare@|@to preach@
@predicatore@|@(m- il)- preacher@
@predicazione@|@(f- la)- preaching, predication, affirmation, assertion@
@prediletto@|@(m- il)- favorite, (adj.)- favorite, dearest@
@predilezione@|@(f- la)- predilection, fondness, partiality, favorite@
@prediligere@|@to prefer, to like better@
@predire@|@to predict, to foretell, to prophesy, to forebode@
@prefazio@|@(m- il)- preface@
@prefazione@|@(f- la)- preface, introduction, foreward@
@pregevole@|@valuable, remarkable, excellent, exquisite@
@pregio@|@(m- il)- esteem (stima), regard, value, worth, merit@
@pregiudizio@|@(m- il)- prejudice, bias, damage, detriment@
@pregustazione@|@(f- la)- foretaste, eager anticipation@
@premere@|@to press, to insist, to urge, to matter, to be of interest@
@premessa@|@(f- la)- introduction, premise, (pl.)- preliminary remarks, premises@
@premesso @|@preceeding, previous@
@premesso che@|@since, considering that, whereas@
@premio@|@(m- il)- prize, award, reward@
@premura@|@(f- la)- hurry, haste, care, concern, kindness, attention, consideration@
@premurosamente@|@attentively, with care, kindly, thoughtfully@
@prendere sul serio@|@to take something seriously or in earnest@
@prenotare@|@to reserve, to book@
@preposto@|@(m- il)- provost, person in charge, (adj.)- in charge of, in control of, at the head of@
@prepotente@|@(m & f- il or la)- bully, overbearing person, (adj)- overbearing, domineering, arrogant, pressing, urgent@
@prepotenza@|@(m- il)- overbearingness, domineering attitude, arrogance, arrogant behavior, bullying@
@presa@|@(f- la)- grasp, hold, grip, taking, catching, capture, seizing@
@presagio@|@(m- il)- omen, premonition, prophecy, forecast@
@presbiterio@|@(m- il)- rectory (canonica- pievania)@
@presbitero@|@(m- il)- presbyter@
@prescindere@|@to set aside, to disregard, leave out of consideration@
@presiedere@|@to preside over, to be in charge, to control, to govern@
@pressa@|@(f- la)- pressing, press, crowd, hurry, haste@
@pressione@|@(f- la)- pressure@
@presso@|@near, nearby, close at hand, not far from, with, among, in, at @
@pressochè@|@almost, nearly@
@prestare@|@to lend, to loan, to give@
@prestazione@|@(f- la)- performance, service, work, supply (rendimento)@
@presumere@|@to presume, to claim, to think@
@presunzione@|@(f- la)- presumption, assumption, presumptiousness, conceit@
@presupporre@|@to presuppose, to assume, to suppose, to imply@
@presupposto@|@(m- il)- presupposition, requirement, condition, assumption@
@pretendere@|@to pretend, to claim, to profess, to think oneself capable of doing, to ask for, to want, to expect, to require, to demand, to insist on@
@pretesa@|@(f- la)- claim, demand@
@preteso@|@claimed, demanded, supposed, alleged, so-called, doubious, questionable, debatable@
@prevalentemente@|@prevalently, predominantly, mostly, mainly, principally, for the most part@
@prevalenza@|@(f- la)- prevalence, majority, predominance, supremacy@
@prevalere@|@to prevail against, to outumber, to be in the majority@
@prevedere@|@to forsee, to expect, to anticipate, to provide for, to schedule@
@prevedibile@|@forseeable, predictable@
@prevenire@|@to precede, to arrive before, to anticipate, to prevent, to avoid, to avert, to ward off, to inform in advance, to forewarn@
@previo@|@previous, preceeding, prior, subject to, upon, by, through@
@previsione@|@(f- la)- prediction, forecast, expectation@
@previsto@|@(m- il)- what is expected, (adj.)- forseen, expected@
@prezioso@|@(m- il)- jewel, jewelry, valuables, (adj.)- precious, valuable, invaluable@
@primato@|@(m- il)- primacy, leadership, supremacy, superiority, record@
@primizia@|@(f- la)- firstling, offering of firstlings, hot news@
@primogenito @|@(m- il)- first-born@
@principe@|@(m- il)- prince, (adj.)- original, first, main, principal@
@principiante@|@(m or f- il or la)- beginner, novice, apprentice, (adj.)- inexperienced, new@
@principio@|@(m- il)- beginning, origin, principle, cause (fonte- germe- origine- provenienza- sorgente)@
@privato@|@(m- il)- privacy, (adj.)- private, personal, deprived of, bereft of@
@privilegiare@|@to grant a privilege to, to favor, to prefer@
@procedimento@|@(m- il)- progress, course, process, procedure, method, proceedings@
@procedura@|@(f- la)- procedure, action@
@processo@|@(m- il)- process, course, trial, lawsuit@
@prodigio@|@(m- il)- prodigy, sign, miracle, wonder, omen@
@proemio@|@(m- il)- preamble, introduction, preface@
@proferire@|@(isc verb)- to utter, to pronounce, to announce @
@profilare@|@to profile, to outline, to edge, to border@
@profilarsi@|@to stand out, to loom, to be imminent@
@profitto@|@(m- il)- profit, advantage, benefit, progress, earnings, yield, proceeds@
@profondarsi@|@to sink into, to plunge deeply into, to become immersed in, to become absorbed in@
@profondere@|@to squander, to lavish, to waste@
@profondo@|@(m- il)- depth, depths, bottom, heart, the unconscious, (adj.)- profound, deep, deep-rooted (radicato), (adv.)- deeply, far down@
@profugo@|@(m- il)- refugee, exile, fugitive, (adj.)- fleeing, exiled@
@profumo@|@(m- il)- scent, fragrance, perfume@
@progenie@|@(f- la)- progeny, offspring, tribe, pack, gang, (pl.)- descendents@
@progettare@|@to plan, to design@
@progettazione@|@(f- la)- planning, design@
@progredire@|@(isc verb)- to progress, to make progress @
@proiettare@|@to project, to cast (light), to show@
@prolungare@|@to prolong, to extend, to lengthen, to postpone, to delay, to defer@
@promessa@|@(f- la)- promise, financée@
@promosso@|@(m or f- il or la) - successful student, successful candidate, (adj.)- successful, promoted@
@promulgare@|@to promulgate (a theory- law…), to enact, to publish@
@promuovere@|@to promote, to encourage, to pass, to cause, to induce, to provoke@
@prontezza@|@(f- la)- readiness, quickness@
@propensione@|@(f- la)- propensity, inclination, disposition, liking, preference, readiness, willingness@
@proponibile@|@proposable, admissible@
@proporre@|@to propose, to suggest, to decide, to set, to offer@
@propositivo@|@proposed, of a proposal, about a proposal, containing a proposal, constructive, positive, proactive@
@proposito@|@(m- il)- purpose, intention, plan, aim, object, subject, point@
@proposta@|@(f- la)- proposal, suggestion, offer@
@proposto@|@(m- il)- provost, rector, parish priest, (adj.)- proposed (past part. of proporre)@
@propriamente@|@properly, really, quite, actually, exactly, literally@
@proprietà@|@(f- la)- property, characteristic, ownership, possession, (pl.)- owners@
@proprietario@|@(m- il)- owner, master, proprietor, lanlord, (adj.) - proprietary@
@proprio@|@one's own, appropriate, proper, typical, exactly, literally, really, truly@
@proseguire@|@to continue, to pursue, to keep up, to continue, to carry on@
@prospettare@|@to present, to point out, to set out, to indicate, to show, to propose, to put forward @
@prospettazione@|@(f- la)- presentation, pointing out@
@prospettiva@|@(f- la)- perspective, view, point of view, judgment, prospect, outlook, chance, opening@
@prossimo@|@(m- il)- neighbor, (adj.)- next, near, close, at hand, imminent, recent (vicino- nei dintorni)@
@prosternarsi@|@to prostrate oneself, to bow down@
@proteggere@|@to protect, to defend, to shield, to watch over, to guard, to favor, to encourage@
@prova@|@(f- la)- trial, test, ordeal (calvario- ordalia), proof, evidence@
@provare@|@to prove, to demonstate, to try, to experience@
@provenienza@|@(f- la)- origin, source (fonte- germe- origine- principio- sorgente)@
@provenire@|@to come from, to stem from, to be caused by, to originate from, to be brought about by@
@provvedere@|@to provide, to supply, to furnish, to get ready, to prepare, to take care of, to arrange@
@provvedimento@|@(m- il)- step, measure, action, precaution, regulation@
@provvidenza@|@(f- la)- Providence, heaven, providential event, providing, provision, measure, benefit, allowance@
@provvisto @|@provided, supplied @
@pungere@|@to prick, to sting, to wound, to provoke, to tease, to spur@
@punta@|@(f- la)- point, end, peak, top, trace, hint@
@puntualizzare@|@to make clear, to define precisely, to review in detail@
@può darsi@|@maybe, may, perhaps (ex:  Può darsi che venga domani. = Maybe he will come tomorrow.)@
@puramente@|@purely, merely, simply, only, just@
@purchè@|@provided that, on the condition that, as long as, if only@
@pure@|@also, too, as well, but, still, however (benchè- comunque- nondimento- per quanto- peraltro- tuttavia), even though, even if@
@puro @|@(m- il)- pure person, (adj.)- pure, chaste, innocent, unblemished, clear, theoretical, sheer, meer @
@purtroppo@|@unfortunately @
@quadro @|@(m- il)- square, picture, painting, sight, scene, description, outline, summary, schedule@
@quaggiù@|@down there, in this life, in this world, on earth@
@qualche@|@some, a few@
@qualcheduno@|@some, any, someone, anyone (qualcuno)@
@qualcosa@|@(m- il)- something, (indef. pron.)- something, anything, somebody (alcunchè)@
@qualcuno@|@some, any, someone, anyone (qualcheduno)@
@quale@|@which, what, who, whose, some@
@qualificare@|@to describe, to characterize, to call, to qualify, to train@
@qualitativo@|@(m- il)- quality, (adj.)- qualitative@
@qualmente@|@how@
@qualora@|@if, whenever@
@qualsiasi@|@any, whatever, whichever, common, ordinary (qualunque- qualsivoglia)@
@qualsivoglia@|@any, whatever, whichever, common, ordinary (qualsiasi- qualsivoglia)@
@qualunque@|@whatever, any, ordinary, common (qualsiasi- qualsivoglia)@
@qualvolta@|@whenever, every time@
@quand'anche@|@even if@
@quanto@|@how much, how many, as, what@
@quantomeno@|@at least, to say the least@
@quantunque@|@although, even if@
@Quaresima@|@(f- la)- Lent@
@quasi@|@almost, nearly@
@quassù@|@up here@
@quindi@|@therefore, so (allora- così- dunque- per cui- perciò- pertanto- sicchè), hence, then, afterwards, well @
@quotidiano@|@daily@
@racchiudere@|@to contain, to hold, to include, to imply@
@raccogliere@|@to collect, to gather, to harvest, to pick@
@raccolta@|@(f- la)- harvesting, collection, gathering, assembly@
@raccolto@|@picked, collected, gathered, absorbed (past part. of raccogliere)@
@raccordo@|@(m- il)- connection, link, union (aggancio- collegamento- legame- nesso- rapporto- vincolo)@
@raddoppiare@|@to double, to redouble@
@radicare@|@to take root, to root@
@radicato@|@rooted, deep-rooted, deep-seated (profondo)@
@radice@|@(f- la)- root@
@rado@|@rare, seldom, infrequent, occasional, thin, sparse@
@radunare@|@to assemble, to gather, to gather together (adunare), to collect, to accumulate@
@radunarsi@|@to meet, to assemble, to gather (assembrarsi- convenire)@
@raduno@|@(m- il)- meeting, gathering (accolta- incontro)@
@raffigurare@|@to portray, to depict, to represent, to symbolize, to imagine, to recognize@
@raffinato@|@(m- il)- refined person, (adj.)- refined (past part. of raffinare)@
@rafforzamento@|@(m- il)- reinforecement, strengthing@
@rafforzare@|@to strengthen, to reinforce, to fortify@
@raffrontare@|@to compare (mettere a riscontro- paragonare)@
@raggio@|@(m- il)- ray, beam@
@raggiungere@|@to reach, to arrive at (attingere), to catch up with, to join, to hit, to attain, to achieve @
@ragionevole@|@reasonable, rational, sensible, fair, just@
@rallegrare@|@to gladden, to cheer up@
@rallegrarsi@|@to rejoice in (at- over- etc.), to be glad, to cheer up, to congratulate@
@rame@|@(m- il)- copper@
@ramo@|@branch@
@rancore@|@(m- il)- grudge, grievance, ill will, (pl.)- hard feelings@
@rango@|@(m- il)- rank, standing, status, position, file, line@
@rapporto@|@(m- il)- rapport, relation, relationship, connection (aggancio- collegamento- legame- nesso- raccordo- vincolo), ratio, comparison, report, statement, account@
@rassegna@|@(f- la)- review, inspection, survey@
@rassicurante@|@reassuring, encouraging@
@rassomiglianza@|@(f- la)- resemblance, similarity, likeness (assomiglianza- somiglianza)@
@rassomigliare@|@to resemble, to look like, to be like, to be similar to, to take after (assomigliare- somigliare)@
@rattristamento@|@(m- il)- sadness, saddening@
@rattristare@|@to sadden, to grieve@
@ravvisabile@|@recognizable@
@ravvisare@|@to recognize, to see@
@raziocinio@|@(m- il)- common sense, reason, reasoning @
@razza@|@(f- la)- race, breed, family, kind, sort, ray@
@reagire@|@(isc verb)- to react, to respond, to resist, to show opposition, to protest, to fight back@
@realizazzione@|@(f- la)- achievement, fulfillment, carrying out, realization, production, implementation@
@recare@|@to bring, to take, to carry, to bear, to cause@
@recarsi@|@to go@
@recriminare@|@to regret, to lament, to mourn over, to complain, to reproach, to blame@
@redazionale@|@editorial@
@redazione@|@(f- la)- writing, wording, drafting, compiling, editing, draft, version@
@redigere@|@to write, to compile, to edit@
@redimere@|@to redeem, to ransom, to pay off@
@regalità@|@(f- la)- majesty, kingship, royalty, sovereignty@
@rege@|@(m- il)- king@
@reggente@|@(m- il)- regent, ruler, (adj.)- ruling, governing@
@reggere@|@to support, to bear, to hold up, to stand, to stand up to, to hold out, to rule, to manage, to run@
@reggia@|@(f- la)- palace (palazzo)@
@registro@|@(m- il)- register, book@
@regola@|@(f- la)- rule, law, moderation, order, custom, habit (abitudine- consueto- consuetudine- norma- prassi- uso)@
@rendere@|@to return, to give back, to give thanks, to make known@
@rendersi conto@|@to realize@
@rendimento@|@(m- il)- output, yield, return, performance, rendering (prestazione)@
@rendimento di grazie@|@(m- il)- thanksgiving@
@reprimere@|@to repress, to suppress, to restrain, to check@
@resa@|@(f- la)- surrender, restitution, yield, return, profit@
@respingere@|@to reject, to refuse, to repel, to drive back (bocciare- disprezzare- rigettare- ripudiare)@
@respinto@|@rejected, refused, repelled, driven back, failed (past part. of respingere)@
@respiro@|@(m- il)- breath, sigh, rest, respite, leisure, breadth, range@
@restante@|@(m- il)- remainder, rest, (adj) - remaining, left over@
@restare@|@to remain, to stay@
@resto@|@(m- il)- rest, remainder, balance, (pl.)- ruins, remains@
@rete@|@(f- la)- net, snare, trap, network, system@
@retroterra@|@(m- il)- background (contesto- precedente)@
@retta@|@(f- la)- charge, straight line@
@rettamente@|@honestly, rightly, correctly@
@retto@|@straight (diritto- dritto), honest, upright, right, correct, exact@
@riallacciare@|@to reconnect, to renew, to resume@
@riallacciarsi@|@to refer back to, to be connected to@
@rialzare@|@to raise, to elevate, to add to, to increase@
@rialzo@|@(m- il)- rise, increase, height, elevation@
@riassumere@|@to summarize, to reassume, to take on again@
@riassunto@|@(m- il)- synopsis, summary, recapitulation, abstract@
@ribadire@|@(isc verb)- to reaffirm, to confirm, to repeat, to clinch @
@ribaltare@|@to overturn, to reverse, to tilt (capottare- capovolgere- rovesciare)@
@ribattere@|@to refute an argument, to disprove, to retort, to anwer back, to insist on, to harp on, to clinch, to hit again@
@ricaduta@|@(f- la)- relapse, effect, repercussion@
@ricarsi@|@to go@
@ricavare@|@to deduce, to come to, to get, to obtain (attingere- ottenere- trarre), to extract, to earn@
@ricavato@|@(m- il)- result, profit, (pl.)- proceeds, receipts, takings, (adj.)- drawn, obtained, extracted, gained, earned (past part. of ricavare)@
@ricchezza@|@(f- la)- wealth, abundance, riches@
@ricco @|@(m- il)- rich person, (adj.)- rich, wealthy@
@ricerca@|@(f- la)- research, investigation, inquiry, search, quest, demand@
@ricercare@|@to search for again, to seek, to investigate@
@ricetta@|@(f- la)- prescription, remedy, cure, recipe, formula, key (i.e. to success)@
@ricetto@|@(m- il)- refuge, shelter@
@richiamare@|@to call back, to recall, to call, to rebuke, to reprimand@
@richiamo@|@(m- il)- recall, call, warning, admonition (avvertenza- avvertimento- avviso- ammonimento- monito), voice, cry, attraction, appeal, reference, mention@
@richiedere@|@to request, to demand, to call for, to require, to need (comportare- esigere- imporre- occorrere), to ask for again@
@richiesta@|@(f- la)- request, demand, requirement, claim, application, petition@
@ricomparire@|@to reappear, to show up again@
@ricomporre@|@to recompose, to reconstruct, to reassemble, to rewrite@
@ricondurre@|@to take back, to bring back, to restore, to re-establish@
@riconoscente@|@grateful, thankful@
@riconoscenza@|@(f- la)- gratitude, thankfulness@
@riconoscere@|@to recognize, to acknowledge, to admit, to identify, to reconnoiter@
@riconoscibile@|@recognizable@
@riconoscimento@|@(m- il)- recognition, identification, acknowledgment, admission@
@ricoprire@|@to cover, to hide, to conceal (ascondere- celare- nascondere), to overwhelm, to load, to lavish attention on, to hold, to fill, to occupy@
@ricordare@|@to remember, to recall, to remind, to commemorate@
@ricorrenza@|@(f- la)- recurrence, anniversary, feast, day, occasion@
@ricorrere@|@to recur, to occur, to happen (accadere- avvenire- capitare- occorrere- succedere- svolgersi- verificarsi), to seek the help of, to turn to, to have recourse to, to resort to, to appeal, to run again, to go back, to think back, to fall (on a particular date- etc.)@
@ricorso@|@(m- il)- recourse, resort, petition, claim, appeal, recurrence@
@ricuperare@|@to recover, to get back, to salvage, to rescue, to rehabilitate, to restore, to make up for@
@ricusare@|@to refuse, to reject, to repudiate, to object to, to challenge@
@ridare@|@to give again, to give back, to return, to restore, to reappear, to re-occur@
@ridimensionamento@|@(m- il)- reassessment, putting into perspective, reorganization, downsizing, streamlining, cutback, reduction@
@ridire@|@to repeat, to say again, to express, to object to, to find fault with@
@ridotto @|@reduced, driven, curtailed, small, short, abridged, adapted (past part. of ridurre)@
@ridurre@|@to reduce, to shorten, to convert, to turn into, to change, to adapt, to drive, to bring, to bring back@
@riduttivo@|@restrictive, limited, that limits@
@riemergere@|@to emerge again, to resurface@
@riempire@|@to fill, to fill up, to stuff (colmare)@
@rievocare@|@to recall, to reminisce, to commemorate, to remind someone of something@
@rifare@|@to do again, to redo, to imitate, to repair@
@riferimento@|@(m- il)- reference, datum@
