@Haitian creole@|@English@
@se te yon@|@It was a@
@sè tè youn fwa@|@once upon a time@
@se t'on@|@it was a@
@se toujou konsa@|@it is always like that@
@se va@|@it would be, it will be@
@se vre@|@that is true, it is true, truly, surely@
@se yon bagay@|@It's a sure thing.@
@se yon ka ki ra@|@it is a rare case@
@se yon ri senp@|@it is a one way street@
@se you bon bagay@|@it is a good thing@
@seche@|@to dry, emaciate@
@sechrès@|@drought, dry spell@
@sèd@|@Spanish cedar@
@sèd espayol@|@Spanish cedar@
@sede@|@to cede, yield, give in, give way@
@sede 2@|@to sell for a price though it is not for sale@
@sedui@|@to seduce, charm, allure@
@sèf@|@deer@
@sefre@|@to go away@
@sefwe@|@to go away@
@segon@|@second@
@segonde@|@assist@
@segondè@|@secondary school@
@segonn@|@second (time)@
@sèjèy@|@coffin@
@sèk@|@crisp, rigid, dry, circle@
@sekans@|@sequence@
@sèke@|@to encircle, head off@
@sekirite@|@security@
@sekrè@|@secret@
@sekrite@|@secretary@
@sèks@|@sex@
@sekwe kò@|@to get moving, get going, get a move on@
@sèl@|@lone, salt, only, alone@
@sèl Pitit li fè@|@his only begotten son@
@sele@|@seal@
@selebre@|@celebrate@
@seleksyone@|@select@
@selibatè@|@single, bachelor@
@sèlman@|@mere, only, but, nevertheless, merely, all@
@selon@|@depending on, according to, as far as@
@selon lizaj@|@usual@
@selon voulwa l@|@according to his wish@
@sèman@|@oath@
@semèn@|@week@
@semèn pase@|@last week@
@semèn prochèn@|@next week@
@sen@|@breast, holy@
@Sen an@|@the Holy@
@sena@|@senate@
@sendika@|@union@
@senesòf@|@safe@
@senk@|@five@
@senk an@|@five years@
@senk plis de@|@five plus two@
@senkant@|@fifty@
@senmenn@|@week@
@senp@|@simple@
@sensè@|@sincere@
@senti@|@belt@
@sentiron@|@belt@
@sentiwon@|@sash@
@senyen@|@bleed@
@sepandan@|@however, yet, nevertheless@
@separe@|@apart, share, separately, separate, break, split@
@separe tè@|@parcel@
@sepedan@|@however@
@septanm@|@September@
@sere@|@clench, put, keep, hide, tighten@
@seremoni@|@ritual@
@sereng@|@syringe@
@sereyal@|@cereal@
@seri@|@series, group, a set of, a range of@
@seri a@|@lock@
@seriz@|@cherry@
@serye@|@serious, vital, seriously@
@sèt@|@seven@
@sètadi@|@for example, that is to say, that is@
@sètaprèmidi@|@this afternoon@
@sèten@|@sure, certain, reliable, know, some@
@sètènman@|@certainly@
@sètifye@|@certify@
@setwal@|@star@
@sevè@|@severe@
@sèvi@|@serve, to worship@
@sèvi ak@|@have use for, to deal with, to associate with@
@sèvi avek@|@to deal with, associate with, make use of@
@sèvi pou@|@to serve, to be of use@
@sèvi temwen@|@to witness, to serve as a witness@
@sèvis@|@service, favor, duty, vodou ceremony@
@sèvis la@|@tin containers that fit into each other@
@sèvo@|@brain@
@sèvolan@|@kite@
@sèvyèt@|@towel, napkin@
@seyans@|@hearing, session, performance, seance@
@sezi@|@seize, be suprised@
@shè@|@dear@
@sheri@|@dear@
@shofe@|@brisk@
@si@|@certain, sour, sure, if, whether@
@si Dye ve@|@God willing@
@si ou@|@whether thou, whether you@
@si tèlman@|@so, so much@
@si wi ou@|@whether or@
@si wi ou non nan@|@whether the@
@si wi ou non ou@|@whether your@
@si yon@|@if a@
@sianka@|@if, in case@
@sibi@|@undergo@
@sid@|@south@
@sifizan@|@ample@
@siflèt@|@whistle@
@sigarèt@|@cigarette@
@sijè@|@subject@
@sijere@|@suggest@
@sijesyon@|@suggestion@
@sik@|@sugar@
@sikisal@|@outlet@
@siklòn@|@hurricane@
@sikonstans@|@circumstance@
@sikre@|@sweet@
@siksè@|@success@
@sila@|@this, that, this one, that one, he (who)@
@sila a@|@these@
@sila a yo@|@these, those@
@sila ki@|@he, who@
@sila yo@|@those@
@silab@|@syllable@
@silans@|@hush, silence@
@silèks@|@flint@
@silvouple!@|@please!@
@siman@|@surely, very likely@
@siman an@|@the cement, concrete@
@simen@|@sow@
@simen pitit@|@to sow wild oats, to have children here and there@
@simen pitit 2@|@to overwhelm with money@
@simityè@|@cemetery@
@sinema@|@cinema@
@sinonim@|@byword@
@sioka@|@if, in case@
@siperyè@|@superior@
@sipevize@|@supervise@
@sipliye@|@beseech, beg, yearn@
@sipò@|@aid@
@sipòte@|@support, withstand, shoulder@
@sipoze@|@allude, assume, suppose@
@sipoziyon@|@allusion@
@siprann@|@astonish@
@siprèm@|@supreme@
@sipriz@|@surprise@
@sirèt@|@candy, confetionery@
@sirk@|@circus@
@siro myel@|@honey@
@sirote@|@sip@
@siryen@|@Syrian@
@sis@|@six@
@sisid@|@suicide@
@siside@|@suicide (commit ...)@
@sispann@|@to suspend, cease, quit, stop, discontinue@
@sispèk@|@suspect@
@sispèk@|@suspicous@
@sispekte@|@suspect@
@sistèm@|@system@
@siswafè@|@certain@
@sitadèl@|@citadel@
@sitèlman@|@so, so much@
@sitiyasyon@|@situation@
@sitou@|@especially, mostly, mainly, primarily, particularl@
@sitron@|@lemon@
@sitwayen@|@citizen@
@siveyan an@|@watchman, overseer, foreman, monitor@
@siveye@|@watch for, watch, guard@
@sivik@|@civic@
@sivil@|@civil@
@siviv@|@survive@
@siwo@|@honey@
@siy@|@sign@
@siyati@|@signature@
@siye@|@wipe@
@siyen@|@sign@
@siyifikasyon@|@meaning@
@sizle@|@carve@
@sizo@|@scissors@
@sizoka@|@if, in case@
@skarabe@|@beetle@
@skilte@|@carve@
@skò@|@score@
@sò@|@fate@
@sò a@|@sister@
@sò Yèt@|@plebeian, common, of low lineage@
@sòf@|@except@
@sokoup@|@saucer@
@solajman@|@relief@
@solanèl@|@solemn@
@solda@|@soldier@
@sole@|@sun@
@solèy@|@sunflower, sun@
@solid@|@solid@
@solid@|@firm@
@solisyon@|@solution@
@somè@|@peak@
@somon@|@salmon@
@son@|@sound@
@s'on@|@if a@
@sonje@|@to remember, recollect, think of, remind, miss@
@sonje 2@|@to recall@
@sonm@|@dreary, somber@
@sonnen@|@clang, blow@
@sonnen@|@sound, ring@
@sòs@|@gravy, sauce@
@sosis@|@sausage@
@sosyal@|@social@
@sòsye@|@wizard@
@sòsyè@|@witch@
@sosyete@|@society@
@sot@|@to go out, to get out, to step out, to come from@
@sòt@|@stupid, dummy, foolish, dumb, illiterate, silly@
@sot 2@|@to become, to come out as, to have just@
@sòt 2@|@to go out, get out, step out, come from, become@
@sòt 3@|@to have just, to come out as, comes@
@sote kuit@|@medium cooked meat@
@soti@|@protrude, stroll, outing@
@sòti@|@to go out, to get out, to step out, to come from@
@soti ( ) rive@|@from ( ) to (place, time, etc)@
@soti (place) rive@|@from (place time etc) to@
@soti 2@|@to become, to come out as, to have just@
@sòti 2@|@to become, to come out as, to have just@
@soti a@|@from the@
@soti nan@|@to come out of, out of@
@soti nan vant@|@to be born, to come out of the womb@
@sotu@|@leave@
@sou@|@on, over, above, up, in the presence of, be with@
@sou 2@|@over and over, interested in, under, on the@
@sou 3@|@intoxicated, hobbling, drunk, in the mood for@
@sou bò nò@|@on the North side@
@sou bò sid@|@on the South side@
@sou bò solèy kouche@|@on the West side@
@sou brenzeng@|@drunk, intoxicated@
@sou de chèz@|@thoroughly, in depth, in great detail, quickly@
@sou kiviv@|@alert@
@sou kont@|@under the responsibility of, in the care of@
@sou kote@|@aside, mistress, on the side, next to, sideways@
@sou kote alès@|@on the East side@
@sou la men (adv)@|@handy@
@sou latè beni@|@here on earth@
@sou li@|@to that, on him, over him, at him, of him, on it@
@sou lòt bò a@|@on the other side@
@sou moun@|@too familiar, out of place@
@sou yon@|@a, on a, on, on the, about, about a@
@sou yon moun@|@someone, a person, on a person, about someone@
@souch bwa@|@stump, log@
@soud@|@deaf@
@souf@|@breath, puff@
@soufle@|@blow, puff@
@souflè@|@fan@
@souflete@|@slap@
@soufrans la@|@suffering, misery, abeyance, anguish@
@soufri@|@suffer, ail, to endure@
@soufri 2@|@weakling@
@soufri m@|@I am suffering@
@souke@|@shake@
@souke kò@|@to get moving, to get going, to get a move on@
@souke tèt@|@nod@
@soulaje@|@remedy, allay@
@soulve@|@to raise, to lift@
@soulye@|@shoe@
@soulye pa m@|@my own shoes@
@soulye vèni@|@patent leather shoes@
@soumèt@|@submit@
@sounwa@|@sly@
@soup@|@soup@
@soupe pare@|@supper is ready@
@soupl@|@gentle@
@souple!@|@please!@
@souri@|@smile@
@sourit@|@mouse@
@sous@|@brook, on top of, well@
@sousdlo@|@stream@
@souse@|@suck@
@sousi@|@brow, eyebrow, care, concern, marigold@
@souskri@|@subscribe@
@sousòl@|@basement@
@soutèt@|@up, atop@
@soutni@|@contend, support, collaborate@
@souvan@|@frequent, often@
@souvni@|@memory, souvenir, to remember, recall@
@sovaj@|@brute, wild, savage@
@sove@|@evade, escape, save@
@sovè@|@savior@
@sovyetik@|@soviet@
@sòyèt@|@plebeian, common, of low lineage@
@spektak@|@spectacle@
@spesifik@|@peculiar@
@splandid@|@slendid@
@stasyon@|@station@
@stat@|@start@
@steril@|@barren@
@stoke@|@storage@
@stop@|@stop@
@stòp@|@cease@
@strik@|@strict@
@stropye@|@to cripple, maim, mutilate@
@sue@|@sweat@
@suèl@|@heaven@
@suiv@|@track, follow, attend, imitate@
@suspisyon@|@suspicion@
@suveyans@|@custody@
@swa@|@sleek, evening, silk@
@swadandis@|@seventy@
@swanye@|@care@
@swanye@|@cure@
@sware@|@evening@
@swasant@|@sixty@
@swaye@|@remedy@
@swe@|@sweat@
@swè@|@perspiration@
@swèf@|@thirst, thirsty@
@swen@|@to take care of, to care for, care@
@swen an@|@care@
@swete@|@to wish, hope@
@switch@|@switch@
@swiv@|@to follow, to attend, to imitate@
@swivi swivi@|@in a row@
@syans@|@science@
@syantifik@|@scientific@
@syèk@|@century@
@syèl@|@sky@
@t ap@|@verb marker past tense continual action@
@t ap vini@|@was arriving@
@ta@|@verb marker conditional@
@ta 2@|@would, should@
@ta 3@|@late, lot@
@ta gen@|@would have@
@ta te@|@would be@
@ta vini@|@would arrive@
@ta ye@|@would be@
@tab@|@table@
@tab vèni@|@varnished table, polished table@
@tabli@|@to settle down, establish, cohabit@
@tablo@|@table, painting@
@tablo ki anda@|@table below@
@tablo peryodik@|@periodic table@
@taboure@|@stool@
@tach@|@dot, blot, mark, spot@
@tache@|@append, attach, fasten, pin@
@taks@|@tax, duty@
@taksi@|@cab@
@talan@|@knack, skill@
@talè@|@soon@
@talon@|@heel@
@tan@|@weather, so so much, so much as, as much as@
@tan(general)@|@time@
@tanbourinè a@|@drummer@
@tanbouye a@|@drummer@
@tandans la@|@tendency@
@tandantan@|@yesteryear, a long time ago@
@tande@|@to hear, understand, listen, overhear, obey, heed@
@tande a@|@hearing@
@tande zòrèy la@|@the inner part of the ear@
@tandiske@|@while, whereas@
@tanga a@|@loin cloth, old skirt, waist piece for peasants@
@tange@|@to pitch, rock slowly side to side, to vacillate@
@tank@|@as long as, so, so much, while, in as much as@
@tank   tank@|@the more (of this) the more@
@tank machin mwen te foul@|@my gas tank was full@
@tankantak@|@tit for tat@
@tankou@|@like, as, alike, as if@
@tanmen@|@to begin and continue to do, to initiate, to start@
@tann@|@expect, wait, to expand, to extend, to stretch out@
@tann@|@tender, to wait for, expect, attend@
@tann 2@|@to extend, stretch, display, spread, set, make@
@tannen@|@to tan (hide)@
@tannri@|@tannery@
@tanp@|@temple, church@
@tanperaman@|@temper, temperment, mood, tempermental@
@tanpèt@|@tempest, downpour, storm@
@tanpete@|@rave@
@tanpi@|@too bad, so much the worse@
@tanpon@|@seal@
@tanpon an@|@pad, stamp-pad, wad@
@tanponnen@|@to dab, to dampen, to rubber stamp it@
@tanporè@|@temporary@
@tanpri@|@please@
@tànri a@|@tannery@
@tansèlman@|@but (only)@
@tansmèt@|@convey@
@tansyon@|@stress, tension, hard pressed, pressure (blood)@
@tant@|@tent, aunt, auntie@
@tantant@|@aunt, auntie@
@tantasyon an@|@temptation@
@tantataif@|@attempt@
@tante@|@attempt, tempt, entice@
@tantin@|@a go between (adult female) betwn young ones@
@tantin@|@aunt, auntie@
@tantin nan@|@auntie@
@tanzantan@|@from time to time@
@tanzaòt@|@from time to time, once in a while@
@taode@|@to plane a board, to thread a pipe@
@tap@|@verb marker past tense continual action@
@tap la@|@a tap, slap on the open hand@
@tapaj la@|@row (noise)@
@tapajè@|@loudmouth, roudy, quarrelsome, noisy@
@tapan@|@exactly, sharp@
@tape@|@tap, to slap, beat, hit, type@
@tape 2@|@progressive past tense li tape mange he was eating@
@tapi@|@carpet@
@tapi a@|@rug, carpet@
@tapisri a@|@tapestry@
@tapral@|@was (were) going to, in the throes of@
@taprale@|@was (were) going (to)@
@taptap@|@in a jiffy, fast@
@taptap la@|@bus, jitney, named picturesque pick up busses@
@tapyoka a@|@tapioca@
@tarode@|@to plane a board, to thread a pipe@
@tas la@|@cup@
@taso a@|@dried meat@
@tat@|@pie@
@tata@|@to defecate, to shit@
@tata a@|@stool, excrement, shit@
@tatawèl la@|@great, great grandmother@
@tate@|@to feel, to touch, to finger in order to check@
@tatonnen@|@to grope, to feel your way around@
@tava@|@would, should@
@tava di@|@would tell@
@tavhe@|@bind@
@tay la@|@pencil sharpener@
@taye@|@to cut out, chop, prune, clip, trim, spank, whip@
@tayè@|@tailor@
@taye 2@|@flog, overcome, beat, win, have relations with@
@taye 3@|@to cut (square stones), to sharpen (pencil)@
@tayè a@|@tailor, ladies two piece suit@
@taye banda@|@to walk elegantly, cut capers, show off@
@tayo a@|@type of vegetable, malanga@
@taza a@|@kingfish, cero@
@tchak@|@old fashioned and strict, disagreeable@
@tchak la@|@a disease chickens get@
@tchaka a@|@pounded corn (cooked) mixed into a soup@
@tchakade@|@to assassinate, chop to pieces@
@tchake@|@to pick, stab, cut up, chop up@
@tchaktchak@|@to pierce, chop repeatedly@
@tchanpan an@|@junk, junk food, worthless food@
@tchanse@|@to talk nonsense, babble@
@tchap la@|@cap, forage cap@
@tchatcha@|@to get along, make a living@
@tchatcha a@|@a tree, musical instrument, maraca@
@tchaw@|@good bye@
@tchaw la@|@cheap food, junk food@
@tche a@|@tail@
@tchè a@|@heart, courage, choir, hearts (cards)@
@tchè a@|@heart, courage@
@tchèk la@|@check, control@
@tcheke@|@ascertain, to check@
@tcheke (v)@|@gauge@
@tchèkòp la@|@check up (medical etc)@
@tchèl la@|@small change@
@tchenkon@|@piecemeal, piece by piece, partly@
@tchouloulout la@|@diarrhea@
@tchoulouou a@|@diarrhea@
@tchwe@|@to kill, slay, put out, quench, extinguish@
@tchwe 2@|@to turn out, switch off, put out, refl@
@tchwi@|@leather@
@te@|@verb marker past tense or past perfect tense@
@tè@|@ground, land, earth@
@te 2@|@was, were, has, had been@
@te 3@|@short form of kite, used as imperative only, let@
@te a@|@concoction, tea, infusion@
@tè cho@|@rich soil, hot land@
@te deja@|@previously, has already, have already, was already@
@te dire@|@lasted@
@te fè konnen@|@said, taught, prophesied, confirmed, proclaimed@
@te fè konnen 2@|@indicated@
@te fèt@|@was born, were born@
@tè frèt@|@poor land, cold earth@
@te g on@|@there was a@
@te gen@|@had, was, were, there were, got into, there was@
@te gen yon@|@there was a@
@te gen yon fwa@|@once upon a time@
@tè glèz@|@clay@
@te g'on@|@there was a@
@tè gra@|@clay@
@te konn@|@verb marker habitual past actions@
@te konn vini@|@he used to arrive@
@te nan@|@was in@
@te pase@|@spent@
@te pase yon ti tan@|@spent some time@
@te pral@|@verb marker pluperperfect@
@te pral vini@|@was going to arrive@
@te pran tèt@|@persuaded, tricked, inticed, deceived@
@te rann@|@made@
@te vini@|@arrived, come, became, came about, happened@
@te ye@|@were@
@teat@|@theater@
@tèk@|@nothing, no, none@
@tèk la@|@fillip, snap of the thumb and a finger@
@teke@|@to barely hit, tick@
@teke 2@|@to shoot marbles w thumb, kick slightly soccer bal@
@teknik@|@technical@
@teknoloji@|@technology@
@tèl@|@such@
@teledyòl la@|@word of mouth, bush telegraph@
@telefòn nan@|@telephone, phone@
@telefonn@|@telephone@
@telegram@|@cable@
@tèlman@|@such a way, so, so much, such@
@tèm@|@term@
@temerè@|@bold@
@temwayaj@|@evidence, proof, testimony@
@temwayaje@|@testify, testified@
@temwen@|@witness@
@ten an@|@thyme, tin@
@tenb@|@postage stamp, tax stamp@
@tenbal la@|@drinking cup, kettle drum, timbal@
@tenbre@|@stamp@
@tenèb@|@gloom@
@tenèb la@|@darkness, gloom@
@tenis la@|@lawn tennis, tennis, tennis shoes@
@tenkantenk@|@tit for tat@
@tenm@|@stamp@
@tenm nan@|@postage stamp, tax stamp@
@tenmpla@|@on the same level, in agreement@
@tenmplaw@|@on the same level, in agreement@
@tenn@|@to dye, to stain@
@tenti danika@|@tincture of arnica@
@tenyen@|@to put out, to turn off, switch off, quench@
@tep@|@tape recorder, tape, tip@
@tèp@|@tip@
@tep 2@|@progressive past tense  was working@
@tere@|@to bury@
@teren@|@plot (of land), field, land, ground@
@terib@|@fierce, terrible@
@terifyan@|@appalling, awful@
@terifye@|@appall@
@tèritwa a@|@the territory@
@tès@|@test@
@tèt@|@top, peak, brain, self, head@
@tèt anba@|@upside down@
@tèt kay@|@roof@
@tèt klè@|@lucid@
@tèt li pa drét@|@he is slightly demented@
@tèt li pa drèt@|@he is slightly demented@
@tèt li pati@|@he went crazy@
@tèt li vire@|@head is spinning, dizzy, crazy@
@tèt mwen pati@|@I have lost my mind@
@tet nèg@|@head of man, expensive@
@tètchaje@|@disarray@
@tete@|@breast, bosom@
@ti@|@please or yes in answer to a call, shrt for plètil@
@ti 2@|@before a noun means small, little@
@ti bèf@|@calf@
@ti bèt@|@insect@
@ti bout@|@short amount, small piece, small amount, little@
@ti chat@|@kitten@
@ti chen@|@puppy@
@ti chèz@|@tiny chair@
@ti frè m@|@my younger brother@
@ti galope@|@center@
@ti gason@|@boy, lad@
@ti gout@|@a bit, a little bit@
@ti granmoun@|@child who speaks and acts adult@
@tì non@|@nickname@
@ti pen@|@bread roll@
@ti pitit@|@baby@
@ti rivyè@|@brook@
@ti santi pise@|@kid, small, insignificant person@
@ti soufri@|@weakling, suffering@
@ti vyenvyen@|@unschooled homeless street urchin@
@tif@|@virgin@
@tifi@|@girl, daughter@
@tifi@|@chaste, virgin@
@tifi a@|@girl@
@tifle@|@to eat too much@
@tifoyid la@|@typhoid@
@tig la@|@tiger@
@tigason an@|@boy, lad@
@tigigit@|@penis, birdie (small boys penis)@
@tigout@|@a bit, a little bit@
@tigranmoun@|@child who speaks and acts adult@
@tij la@|@stem@
@tijezi@|@godchild@
@tijezi nan po krab@|@a hypocrite, one who acts saintly but is dishonest@
@tijoudlan an@|@New Year Day garment, any Sunday best suit@
@tik la@|@tick, tic (twitching)@
@tikè@|@ticket@
@tikè a@|@ticket@
@tikoulout@|@tightwad, stingy, penny pincher@
@tikrabè@|@an unimportant, insignificant, very small person@
@tikras@|@some, a little bit of, a small portion of@
@til la@|@metal screen, tulle fabric@
@timid@|@timid, shy, bashful, fearful@
@timoun@|@baby, kid, child@
@timouton an@|@lamb@
@timtim bwa chèch@|@riddler says timtim audience replys bwa chech@
@tinedjè@|@teenager@
@tinen@|@dwarf@
@tinon an@|@nickname, pet name@
@tip la@|@tip, pourboire@
@tipen an@|@roll (bread)@
@tipichout la@|@penis, birdie (small boy)@
@tipitit la@|@child@
@tipoul la@|@baby chicken, chick@
@tiraj la@|@drawing, lottery@
@tiran an@|@tyrant@
@tire@|@shoot, pull, to draw, to shoot, gun down, stretch@
@tirè@|@hyphen@
@tire 2@|@to take, to bilk, to bring, to clarify, to tell@
@tirè a@|@dash (line), sharp shooter@
@tire bagay la@|@to bring something into the open, to clarify it@
@tire bagay la klè@|@to clarify something, bring it out into the open@
@tire bèf@|@to milk a cow@
@tire dlo@|@to draw water, to scoop@
@tire kat@|@to play cards@
@tire kont@|@to tell storiesto tell tales and riddles@
@tire lotri a@|@lottery drawing@
@tire pòtre@|@to take a picture@
@tire prosèvèbal@|@official written report by an officer or magistrat@
@tire pwent@|@to make allusions, insinuate, hint@
@tire pwent 2@|@speak indirectly, in parables, indirectly insult@
@tire pye@|@to kick@
@tire yon rezon@|@to draw lots@
@tirèdkont la@|@storyteller@
@tiri@|@sow@
@tirivyè@|@stream@
@tiròch la@|@pebble@
@tise@|@weave@
@tit@|@title@
@titile@|@chancel@
@tiyatwa@|@exacerbating, killing@
@tìye@|@to kill, slay, put out, quench, extinguish@
@tìye 2@|@to turn out, switch off, put out, refl@
@tiyo@|@pipe@
@tìyo@|@pipe, flue, tube, pipe line@
@tiyo echapman oto@|@the exhaust pipe of a car@
@tìyon@|@headband@
@tìyon an@|@Haitian hairdo made w kerchief w tail in back@
@tizan@|@embers@
@to@|@rate@
@tòch@|@torch@
@tòchonnen@|@trash@
@tòde@|@wring, twist@
@tòdye@|@wring@
@Toma@|@Thomas@
@tomat@|@tomato@
@tonbe@|@to fall (down), falls, fell, is in, has become@
@tonbe 2@|@to fall over, to trip, tumble, collapse, give way@
@tonbe 3@|@to sink, to fall in love, subside (wind), became@
@tonbe 4@|@plus verb after, shows beginning & continuity@
@tonbe 5@|@to start, to begin@
@tonbe danse@|@to start dancing@
@tonbe feblès@|@to fall from weakness, from sickness@
@tonbe nan@|@to take on, fall into (the habit of)@
@tonbe nan debanday@|@to become debauched, to acquire loose morals@
@tonbe nan tyouboum@|@to go down the drain@
@tonbe pou@|@to fall for, to fall in love with@
@tonbe sou@|@to run into, to bump into, to meet unexpectedly@
@tonbe tyouboum@|@splashed (li tonbe tyouboum lan dlo a)@
@tonen@|@thunder@
@tonm@|@tomb@
@tonnèl@|@shelter@
@tonton@|@uncle@
@topsi@|@autopsy@
@toro@|@bull@
@total@|@total, amount@
@tòti@|@tortoise@
@tou@|@too, also, quite, all, tour, walk, turn, trick@
@tou 2@|@once and for all, at the same time, altho, eventho@
@tou dwat@|@straight ahead@
@tou lè maten@|@every morning@
@tou lòt jou@|@recently, a few days ago@
@tou nèf@|@brand new@
@tou patou@|@anywhere (at all)@
@tou piti@|@tiny, all so tiny@
@tou piti piti@|@tiny@
@tou pre@|@quite close, quite near@
@tou sa@|@all that@
@tou sa se mo@|@those are just words, a lot of hot air, no proof@
@toubiyon@|@whirl@
@touche@|@touch, affect, handle@
@toudabò@|@in the first place@
@toudisman an@|@dizziness, vertigo@
@touf@|@clump@
@toufe@|@choke, quash, smother@
@toujou@|@yet, still, always, constantly@
@toulede@|@both@
@toulede se te frè m@|@both were my brothers@
@toulejou@|@daily@
@toulongsayd@|@straight ahead without stopping@
@toulongsayd@|@in its full length, flat on its side@
@touman@|@torment, pain, adversity, misfortune, problems@
@toumante@|@tease, to torment, tormented, fidgety, uneasy@
@toumante 2@|@disturbed, restless@
@tounèf@|@brand new@
@tounen@|@to turn, become, return, come back@
@tounen 2@|@to go back, to get back, to be transformed into@
@tounen 3@|@to become sour, to turn sour@
@touni@|@naked, nude, bare@
@toupatou@|@everywhere@
@Toupisan@|@Almighty, All Powerful@
@toupit@|@slightly@
@toupiti@|@tiny, all so tiny@
@toupizi@|@to pound, to beat, smash, break to pieces, spin@
@toupizi 2@|@run around@
@toupre@|@quite near, close, quite close, very near@
@touris@|@tourist@
@tous@|@cough@
@touse@|@to cough@
@touse ponyèt@|@to roll up one's sleves ready for work@
@tousi a@|@trousers cuff@
@tousuit@|@immediately, right away@
@touswit@|@immediately, right away@
@tout@|@entire, all, whole, every@
@tout ansanm@|@all together@
@tout ayisyen@|@every Haitian@
@tout bagay@|@everything@
@tout bon@|@real@
@tout jan@|@anyway@
@tout kay yo@|@all the houses@
@tout lèzòt@|@all the others@
@tout moun@|@everybody@
@tout tan@|@always, forever, for all seasons, as long as@
@tout vini@|@all came@
@tout vis tout kodisyon@|@anything goes@
@toutafè@|@altogether, completely, quite@
@toutalantou@|@all around@
@toutan@|@forever, constantly, ever, long, as long@
@toutbagay@|@everything@
@toutbon@|@really, for good, truly@
@toutbonvre@|@really, truly@
@toutespre@|@expressly@
@toutispatatis la@|@person who takes undue advantage of everything@
@toutjan@|@anyway@
@toutjan toutmannyè@|@anyway whatever@
@toutmoun@|@everybody@
@toutokontrè@|@on the contrary, just the opposite@
@toutotan@|@as long as@
@toutotou@|@all around@
@toutou@|@small dog, puppy, darling@
@toutou a@|@small dog, puppy, darling@
@toutoun nan@|@tiny girls vagina, also a nickname@
@toutouni@|@bare, naked, nude@
@toutouniste@|@nudity, nakedness@
@toutous la@|@small dog, puppy, darling@
@toutrèl la@|@turtle dove@
@toutsuit@|@immediately, right away@
@touttan@|@always, forever, for all seasons, as long as@
@touve@|@to find, feel, think, meet, it happens that@
@touyatwa@|@exacerbating, killing@
@touye@|@to kill, slay, put out, quench, extinguish@
@touye 2@|@to turn out, switch off, put out, refl@
@touye lanp@|@lamp extinguisher, huge ill-fitting heavy coat@
@touyelanp@|@lamp extinguisher, heavy oversized coat@
@towo@|@bull, important, strong@
@towtow@|@rapidly@
@tradiktè a@|@translator@
@tradui@|@translate@
@tradui (lang)@|@render@
@trafik@|@traffic@
@trajè a@|@length of journey@
@trak la@|@political leaflet, flyer@
@traka@|@worry, bother, difficulty, trouble, anxiety@
@traka a@|@nuisnce, bother, hardship@
@trakase@|@worry, to pester, to bother@
@trakasite a@|@trouble, problem@
@traktè a@|@tractor@
@tralala la@|@scandal@
@tranble@|@tremble, to shudder, shake, quiver, shiver@
@tranble (fredi)@|@shiver@
@tranbleman an@|@trembling, shaking@
@tranbleman tè@|@earthquake@
@tranch@|@slice@
@tranche@|@chop@
@trangle@|@smother, strangle@
@trankil@|@quiet, placid@
@tranpe@|@soak, quench, solution@
@transfè@|@transfer@
@transfere@|@transfer@
@transparan@|@clear@
@transpè@|@transportation@
@trant@|@thirty@
@trape@|@catch@
@tras@|@trace@
@trase@|@trace@
@travay@|@task, job, labor, work@
@travay di@|@toil@
@travayè@|@worker@
@travèse@|@cross@
@trayi@|@betray@
@trè@|@very@
@trè lwen@|@very far, far out@
@tren@|@train@
@trennen@|@lug, drag@
@très@|@plait, tress, lock (of hair)@
@tresayi@|@flinch@
@trese@|@plait@
@Trèsen an@|@The Most Holy@
@trèt@|@traitor@
@trete@|@treat@
@trete an zanmi@|@befriend@
@tretman@|@cure@
@trèz@|@thirteen@
@trèzo@|@treasure, treasury@
@trezò@|@treasure@
@trèzoserye@|@seriously treasure, really take to heart@
@tri@|@sow@
@tribinal@|@court@
@trignometri@|@trigonometry@
@trikote@|@knit@
@trimen@|@toil@
@tripotay@|@gossip@
@tripote@|@finger@
@tris@|@dreary, unhappy, sad@
@tro@|@too@
@trò@|@too@
@trò kuit@|@overcooked@
@trò piti@|@too small@
@tròk@|@barter@
@tròke@|@barter@
@tron an@|@trunk@
@tròn nan@|@throne, (altar in vodou)@
@tronpe@|@beguile, cheat@
@trote@|@center@
@trou@|@cavity@
@troub@|@trouble@
@trouble@|@upset, affect, trouble@
@troup@|@flock@
@trouve@|@to find, feel, think, meet, it happens that@
@trwazyèm@|@third@
@tuiye@|@kill@
@twa@|@three@
@twa jou fran@|@three complete days@
@twa pye@|@yard (3 feet)@
@twakay@|@roof@
@twal@|@cloth, canvas@
@twalèt@|@bathroom@
@twaze@|@to measure woodetc, with a twaz@
@twazyèm@|@third, in third place, thirdly@
@twèt@|@not on straight@
@twi a@|@sow@
@twò@|@too@
@twò piti@|@too small@
@twòk@|@exchange@
@twompe@|@fool@
@twòn@|@throne@
@twonpe@|@to deceive, mislead, misleading@
@twonpe 2@|@to miscalculate, misjudge, make a mistake@
@twonpe tèt nou@|@deceived, mislead@
@twou@|@ditch, hole@
@twou nen@|@nostril@
@twouve@|@to find, to feel, think, meet, it happens that@
@tyanpan@|@junk, junk food, worthless food@
@tyanse@|@to talk nonsense, to babble@
@tyap la@|@soft cap of the military@
@tyas la@|@style of haircut for men@
@tye a@|@tail@
