@English@|@Q'anjob'al@
@suffix that indicates the results of an action that has terminated (kam 'to die' plus naq gives the result 'dead')@|@-naq@
@suffix that indicates the results of the culmination of an action (txon- root meaning 'to sell' - txomb'il means 'sold')@|@-b'il@
@suffix that is always possessed and that indicates the instrument  used to carry out the action (yetoj te te' with the stick' - yetoz ch'en machitej 'with the machete')@|@-etoq@
@suffix that is used if the agent is the first or second person and the verb agrees with the patient but the agent is still the focus of a transitive verb or a derived transitive verb@|@-n, -on@
@suffix that makes an action passive in transitive verbs (Hoq tenchaj ayteq te mansan 'The apples will be picked')@|@-chaj@
@suffix that makes an action passive in transitive verbs and derived transitive verbs (Hoq tenlay ayteq te mansan 'The apples will be picked')@|@-lay@
@sugar@|@askal, asukal@
@sugar cane@|@wale'@
@sugarcane liqour@|@kuxa@
@summit@|@sjolom witz@
@sun@|@k'u@
@sunflower@|@sun@
@sunset@|@max toj k'u@
@support@|@oy@
@swallow@|@an, anej@
@swallowed it@|@maxsb'uq'u@
@swam@|@max sma'a'@
@swamp@|@soq'om@
@sweat house@|@ika@
@sweat soaked@|@b'akan ha'@
@sweet@|@chi'@
@sweet potato@|@kaq is@
@swell@|@mal@
@swelled@|@max malejoq@
@swelling@|@k'ilaj, mal@
@swept it@|@maxsk'isa'@
@swim@|@maq'a, yula'@
@sycamore pole@|@q'an te'@
@tabacco@|@k'utz, sik', tawak@
@table (wooden)@|@chemte'@
@table for grinding nixtamal (corn)@|@aq'in@
@tail@|@ne, ne', nehej@
@take off (a command)@|@elan@
@talk@|@q'anej@
@talk away (Hala' - tzet yetal chi hoche chi witeq txomb'al - 'Tell me - what do you want me to bring from the store')@|@ala'@
@tall@|@jinan yeji, miman stel, txetan yeji@
@tall person@|@tx'eq'an yeji@
@tasted it@|@maxyab'le'@
@teacher@|@kuywajom, kuywajwom@
@teaching@|@kuyoj@
@tears@|@yal satej@
@teat@|@im@
@teenager@|@ach'ej@
@tell (Let me know what you want)@|@alkanoq@
@temporary repair or fix@|@nip@
@ten@|@lajoneb', lajuneb'@
@tenth@|@slajon@
@term used for carrying a baby on your back (chin naq unin ti ka chon toji - Carry the baby boy and lets go)@|@china'@
@terrain@|@q'inal@
@testicles@|@josej@
@Thank you@|@Yujwal a Dios@
@that@|@jun tu', juntu', ka, ti, ti'@
@that's fine@|@inye@
@that's true@|@kaytu@
@that (The girl said that you were hitting her brother)@|@tol@
@that clay whistle (or flute like instrument)@|@tx'otx' wilux tu@
@that horse@|@no chej tu@
@that man@|@naq winaq tu@
@that net@|@tx'an txim tu@
@that one@|@jun tu', juntu', ti, ti'@
@that one horse@|@no chej tu@
@that one man@|@naq winaq tu@
@that way@|@axka@
@the (no tx'i' the dog)@|@no @
@the absence of an article such as jun or jan or juntzan means that a noun is definate or known (no tx'i' 'the dog' or te te' 'the tree')@|@0@
@the act of doing (His hat is very bright)@|@toxak'al, toxal@
@the act of making (Frank makes a lot of noise when he cuts firewood)@|@toxak'al, toxal@
@the act of reseeding the cornfield@|@awnej@
@the act of running@|@anej@
@the act of trying something@|@aq'lej@
@the act of weaving@|@chemlan@
@The animal is a cat@|@mis no'@
@The animal is a dog@|@tx'i' no'@
@the big horse@|@a wal no miman chej@
@the brother of the spouse of the brother of a person (my sister in law's brother)@|@et'alib'alej, etnihejalej@
@the charley horse@|@cham kan@
@the cramp@|@cham kan@
@the day after tomorrow@|@kab'ej@
@the day before yesterday@|@kab'jwi@
@the dog@|@no tx'i'@
@the fire@|@q'aq' q'aq'@
@the grass@|@an ak'un@
@the herb@|@an itaj@
@the hot water@|@ha tz'eka'@
@the illness@|@cham ilya'@
@the inner person@|@k'ul@
@the knife (made of metal)@|@ch'en nawxu@
@the lake@|@ha najab'@
@the large pine@|@te miman taj@
@the little boy@|@naq unin@
@the little girl@|@ix unin@
@the madam (xala 'classifier denoting respect' - ixnam 'old woman')@|@xala ixnam@
@the master (cham 'classifier' - winaq 'man')@|@cham winaq@
@the meat@|@no chib'ej@
@the men@|@heb' naq winaq@
@The milk rose (and spilled)@|@No' leche aj piyiyoq' no'@
@the one that listens to what is said (A listener went to the meeting)@|@ab'xalwom@
@the one with you@|@hetb'i@
@the owner of the daughter@|@ajkutz'in, ajkutz'inej@
@the owner of the house@|@ajna@
@the peach@|@te' tulus, te' turusna@
@the person who severely disciplines or mistreats others@|@b'ajwajwom@
@the pine tree@|@te taj@
@the pole@|@te te'@
@the resin of a tree (the resin smells like incense)@|@pom@
@the same@|@ak'ala', lajan@
@the Señora Angelina@|@xal Axhul@
@the sickness@|@cham ilya'@
@the smart man@|@naq tx'ijan winaq@
@the smell of skunk or urine@|@tzij@
@the spouse of the brother of the spouse of a person (what we would still call a brother-in-law or sister-in-law)@|@et'alib'alej@
@the stick@|@te te'@
@the sweetsop tree@|@te' k'ewex@
@the teen@|@naq ach'ej@
@the tomato@|@te' pahich, te pajich@
@the truth@|@yelk'al eloq, yelwali@
@the two persons (Cheqteq heb' kawanil wetoq Send the two with me)@|@kawanil@
@the water@|@a'@
@the well@|@ha k'wa', ha uk'b'ala'@
@their@|@s- heb', y- heb'@
@their cornfield@|@yawal heb'@
@their land@|@stx'otx' heb@
@theirs@|@y- heb'@
@them@|@a heb'@
@themselves (b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - they did it to themselves)@|@sb'a heb'@
@then (as an intensifier 'then you think we can go?')@|@xin@
@there@|@b'ay tu, b'aytu', kaytu, kaytu'@
@there are@|@ay@
@there are five of you@|@owan hex@
@there exists some@|@ay@
@there is@|@ay@
@there is (hay borrowed from Spanish)@|@hay@
@there is always (There is always milk in the refrigerator)@|@ayk'al@
@There is no man@|@k'am junoq winaq@
@there is only one@|@junch'an@
@there is still some@|@aymi@
@there still is (There is still food left on the table)@|@ayto@
@these (Jun jun k'u chi jil jan no chej ti 'We see these horses every day')@|@jan@
@these (Jun jun k'u chi jil juntzan no chej ti 'We see these horses every day')@|@juntzan@
@they@|@a heb'@
@they (third person plural when used with a stative verb or when it follows a noun or the subject of an intransitive verb that begins with an s or a y)@|@heb'@
@they are good@|@watx' heb'@
@they are hit@|@maq'b'il heb'@
@they are slow@|@k'ojank'ulal heb'@
@they are twenty (there are twenty of them)@|@junk'al heb'@
@they eat@|@chi low heb'@
@they help@|@chi kolwaj heb'@
@they should eat@|@lowaqab' wal heb' @
@thick@|@b'al, sanan yayji, tat@
@thick (said of flat objects like a book)@|@pim@
@thick stick or pole@|@saran yeji@
@thick strong pole used to bar a door@|@yujul@
@thick tortilla@|@pixton@
@thief@|@elq'om@
@thin (beings)@|@b'ajix@
@thin (things)@|@xaxoj, xoxoj@
@thin tortilla@|@xaxoj pat@
@thin unglazed clay or metal disk that is used to cook tortillas etc@|@sam@
@think@|@na'@
@third@|@k'alan, yox@
@third person plural possessive@|@y- heb'@
@third person plural possessor of a noun that begins with a consonant@|@s- heb'@
@third person singular (y) with the relational noun (in) that introduces the patient of a transitive verb to make it intransitive (A jun ix max q oqwaj yin no tx'i' It was a woman who shot the dog)@|@yin@
@third person singular helped or saved third person singular (he helped her or she helped him etc.)@|@max kolo'@
@third person singular possessive@|@y-@
@third person singular possessor of a noun that begins with a consonant@|@s-@
@thirst@|@taqin tihal@
@thirteen@|@oxlajuneb'@
@thirty@|@lajoneb' skawinaq, lajun skawinaq, trenta@
@this@|@jun ti', ti, ti'@
@this directional suffix indicates that the speaker is found opposite the person doing the action@|@-toq@
@this is@|@atoni@
@this is a combination of ch (the incomplete action marker) and in (the first person singular marker in the absolutive set)@|@chin@
@this is the classifier for 'corn' it means 'a' or 'the'@|@ixim@
@this is the classifier for fruit and it means 'the' or 'a'@|@sat@
@this is the classifier for trees and any wooden products and some fruits it means 'the' or 'a'@|@te'@
@this one@|@jun ti, jun ti', ti, ti'@
@this particle indicates that a noun is unknown or indefinate (jun winaq 'a man' - jun chej 'a horse')@|@jun@
@this particle marks plurality of unknown or indefinate nouns (jan winaq 'some men' or jan kok'ixhtaj 'some small pine trees')@|@jan@
@this particle marks plurality of unknown or indefinate nouns (juntzan winaq 'some men' -  juntzan kok'ixhtaj 'some small pine trees')@|@juntzan@
@this relational noun indicates who is the possessor of one of the nouns (Yet naq unin tx'an un The notebook belongs to the child)@|@yet@
@this word indicates the place of birth or where one lives or the place one is from (Aj konob' - I am from the village)@|@aj@
@this word is used to agree with something that has been said it is like saying 'I hope that it turns out that way'@|@yunoqab'i@
@thorax@|@xam k'ulej@
@thorn@|@k'ix@
@those herbs@|@an itaj tu@
@thought it@|@maxsna'@
@threaded it@|@maxstx'alne'@
@three@|@oxeb'@
@three days ago@|@oxji@
@three hundred@|@olajon k'al@
@three hundred and twentieth@|@swaqlajon k'al@
@three rocks that hold up a comal (for cooking)@|@yoqach@
@thresh (He threshed the wheat)@|@maq'il@
@throat@|@awjub', nuq'ej, yul snuq'@
@throw@|@q'oqtoq@
@thrown@|@xaw@
@thunder@|@k'u@
@thunderbolt@|@k'u@
@thus@|@axka@
@tick@|@sip@
@tickle@|@k'ilis@
@tie@|@q'ala'@
@tied it@|@maxsqixayoq@
@tied up@|@pixan@
@tiger (likely a cougar)@|@b'alam@
@time@|@tyempo@
@tired@|@k'umb'inaq@
@to@|@b'ay, tet@
@to accustom or get used to something@|@q'ayi@
@to arrive@|@apni@
@to ask@|@q'an@
@to ask for help (Kolwajan wetoq wuxhtaq My brother help me)@|@kolwajan@
@to attempt@|@aq'le', aq'lej@
@to attempt to do something@|@aq'lejto@
@to bathe@|@achin, axhn@
@to bathe oneself@|@yachinni@
@to be@|@ay@
@to be afraid@|@xhi'w@
@to be ashamed@|@k'ixw@
@to be born@|@alij@
@to be inside@|@ayokoq@
@to be inside (from here to there)@|@ayoktoq@
@to be inside (from there to here)@|@ayokteq@
@to be saved@|@kol@
@to be there@|@ayik'oq@
@to become full@|@noj@
@to bend or twist something into a curve@|@paqan@
@to blow@|@wel@
@to break@|@poj@
@to bring from there to here (B'atxteq te' chemte' kayti Bring the plank here)@|@b'atxteq@
@to buy@|@mana'@
@to call (They called me in to supper)@|@awtejteq@
@to call from here to there@|@awtejtoq@
@to carry@|@iq@
@to carry it hidden@|@ewantaqil@
@to carry something heavy@|@iqb'il@
@to catch a cold@|@yaxchew@
@to change@|@k'ex@
@to chastise@|@b'aja', b'ajeloq@
@to close the eyes@|@mutz'@
@to coi@|@b'ak'lejb'ahil@
@to collaborate in a meal@|@wajloj@
@to come down@|@yajoloq@
@to come to know (Haq' yojtaqnej hamam k'al hatxutx - literally 'Give to know your father and your mother - Let your father and mother know)@|@ojtaqnej@
@to constantly be walking or laying on something so a to mash it down@|@chemob'tanej@
@to constantly spread or smear something on something else@|@b'akob'tanej, b'akotane'@
@to crush or lay on (The dog mashed the flowers when he laid on them)@|@chemejtoq@
@to cure@|@anli, anloq, antelwan, antewan@
@to curl up@|@b'ak'lejb'ahil@
@to cut@|@wajaji@
@to decide something on your own@|@yulyet@
@to decide something on your own without consulting others@|@yakyet@
@to decide without consulting others@|@yulyet@
@to despise or scorn someone@|@syajiloq@
@to die@|@kam@
@to die instantly@|@yax kamich@
@to do@|@ute', utej@
@to do a good job of collecting something@|@wajaji@
@to do harm or cause suffering@|@yatne', yetnej@
@to drink@|@uk'@
@to eat@|@lowi@
@to eat together@|@wajloj@
@to end@|@laj@
@to enter@|@ok@
@to exist@|@ay@
@to expect@|@ech@
@to face@|@akb'a', akb'aj@
@to fall (The old barn fell down)@|@ayk'ayi@
@to fan@|@wel@
@to feel@|@ab'e, ab'i@
@to finish@|@laj@
@to get skinny due to illness@|@ayk'ayi@
@to give@|@a'@
@to go@|@toj@
@to go ahead@|@b'ab'ji@
@to go away (reflexive)@|@b'ey@
@to go first@|@b'ab'ji@
@to go out@|@loq'@
@to go out from a house@|@elanteq@
@to go up (He climbed the tree to pick an apple)@|@aji@
@to grab an animal that is on the ground (such as a rabbit)@|@yatz'ajoq@
@to grind (We will grind the corn)@|@kawni@
@to have@|@ay@
@to heal@|@anli@
@to hear@|@ab'e, ab'i@
@to herself@|@sb'a@
@to himself@|@sb'a@
@to hit@|@maq'@
@to hit (Max smaq' naq Lwin no tx'i' - Peter hit the dog)@|@maq'a'@
@to hope@|@ech@
@to immitate a third person (as when a comedian imitates a famous person)@|@yetz'e', yetz'ej@
@to insult@|@b'ajb'oni@
@to intentionally wallow (The children were wallowing in the mud)@|@b'ak sb'a@
@to kiss@|@tz'ub'@
@to know (Hojtaq maktxel max mulnaj kayti? - Do you know who worked here?)@|@ojtaq@
@to laugh (Don't laugh at those people)@|@tzeyej@
@to laugh (Look at how the child laughs)@|@tzewi@
@to laugh (Pascual laughed with me)@|@tzewan@
@to learn@|@kuyu'@
@to leave@|@loq'@
@to leave (reflexive)@|@b'ey@
@to leave a house (Elanteq yul jun na tu - Get out of that house)@|@elanteq@
@to leave something in something else (Leave the pine needles in the wet adobe)@|@akan oktoq, akantoq@
@to leave something in something else(Leave the pine needles in the wet adobe)@|@akantoq@
@to lick@|@lek'@
@to lift something up@|@ajtoq@
@to listen@|@ab'i, ab'wali@
@to loan@|@majane', majanej@
@to look@|@il@
@to look for@|@say, saya'@
@to lose@|@k'ay@
@to love@|@q'an@
@to lower an object down@|@aytoq@
@to make@|@kawx, ute', utej@
@to make a color less intense@|@saq puminaq'eloq@
@to make a fuss or scandal@|@yaxk'ahi@
@to make faces at someone@|@yetz'e', yetz'ej@
@to make pieces of masa or something similar (The woman separated the masa into pieces in order to make tortillas)@|@b'ala'@
@to marry@|@nup@
@to mash down@|@chemob'tanej@
@to move@|@ten @
@to myself@|@hinb'a@
@to obtain@|@saya'@
@to offer@|@altej@
@to ourselves@|@kob'a, kob'a heq, kob'a hon@
@to participate@|@ayokoq@
@to pass an object to the other extreme (Pass these potatoes to the other side the table)@|@ahek'toq@
@to press@|@chemlab'i@
@to purchase@|@mana'@
@to push@|@ten @
@to put in@|@atoq@
@to put in salt@|@atz'amnej@
@to put on salt@|@atz'amnej@
@to quarrel with a person or to  express anger or disapproval of someones actions or behavior by your tone or words or gestures@|@b'aja', b'ajeloq@
@to rest@|@xewi@
@to roll up@|@b'ak'lejb'ahil@
@to rot@|@q'a'@
@to say@|@al@
@to say (transitive)@|@walon@
@to see@|@il@
@to seed@|@awa', chaj@
@to send@|@atoq@
@to smash or lay on something (The dog crushed the flowers when he laid on them)@|@chemetoq@
@to smear@|@b'aklayi@
@to sneeze@|@at'is@
@to soak@|@b'ak sb'a@
@to sow seed@|@aw, chaj@
@to spread (he spread peanutbutter on the bread)@|@b'aka'@
@to spread (He spread the mayonese on the bread)@|@b'aklayi@
@to study@|@kuyu'@
@to suck@|@tz'ub'@
@to swim@|@achin@
@to take something up (We took the bedding up to the loft)@|@ajtoq@
@to taste@|@ab'le', ab'lej@
@to teach@|@kuyu'@
@to terminate@|@laj@
@to the left@|@b'ay kok'exan@
@to the other side@|@jun xa pak'@
@to the right@|@b'ay kowatx'@
@to themselves@|@sb'a heb'@
@to tie something very tight@|@kawpitinaq@
@to try@|@aq'lejto@
@to try out@|@ab'le', ab'lej@
@to try out or sample something@|@ab'le', ab'lej@
@to try to do@|@aq'le', aq'lej@
@to use an object as a (plank or table or shelf ? not sure which)@|@chemtene'@
@to use for the first time@|@yak'il@
@to use someone to joke or fool around@|@yejmach'ne'@
@to wait@|@ech@
@to walk@|@b'ey@
@to want@|@q'an@
@to want to know@|@tzet-xami@
@to want to know (I wonder why they scolded me)@|@tzetxami@
@to weave@|@chemej, jal@
@to weave sometime in the future (I will weave a new rug when I get time)@|@chemloq@
@to whistle@|@xub'@
@to wonder (I wonder why they charged me so much)@|@tzet-xami@
@to yourself@|@hab'a@
@to yourselves@|@heb'a@
@toad@|@peqey@
@toasted corn flour that people like to mix with cacao and sugar and vanilla and then use it to make a refreshing drink@|@k'aj@
@toasted it@|@maxsq'anb'ene'@
@today@|@anani', axa tinani, nani'@
@toddler@|@yal unin@
@toe@|@yiximal aqanej@
@told it@|@maxyala'@
@tomato@|@pajich@
@tomorrow@|@yekal@
@tongue@|@aq', aq'ej, tihej, yaq'@
@too@|@al, k'apax, k'ax@
@too much@|@yelxal@
@took it@|@maxscha'@
@took it apart@|@maxyetne toq@
@tooth@|@e, e', e'ej, eh, ehej@
@tooth (of)@|@ye'@
@torch@|@q'a'@
@tortilla@|@pat, patej@
@touched it@|@max stena'@
@town@|@konob'@
@trachea@|@yawjub'@
@track@|@yechel yaqan@
@trail@|@yechel yaqan@
@trap@|@yal@
@traveled@|@maxtoji@
@tree@|@te'@
@tree branches used for sweeping@|@k'isb'al@
@tremor@|@kixkab'@
@tricked it (him or her)@|@maxyetne'@
@tried it@|@maxyab'le'@
@trivet@|@yoqech@
@trivet (three rocks that hold up a comal for cooking)@|@yoqech@
@trough@|@aq'in@
@trough (for feeding animals)@|@jukub'@
@true@|@yel, yel wal@
@trunk (of a tree)@|@q'oj@
@try it@|@ab'lej to@
@tumor@|@kisq'aqej@
@tun (a cylindrical percussion instrument that was used as an instrument of war and in magic and religious ceremonies or to transmit messages in the jungle)@|@akte', wajab'@
@turkey@|@ajtzok' ak'atx, ak'atx@
@turkey's wattle@|@wajab'@
@turned over@|@max smeltzene'@
@turtle@|@ak@
@twelve@|@lajkaweb'@
@twentieth@|@sjun k'al@
@twenty@|@bente, junk'al@
@twenty-one@|@jun skawinaq@
@twenty at a time (by twenties)@|@junk'altaq@
@twenty days ago@|@junq'eji@
@twine@|@tx'etx@
@twine (thin)@|@tx'uxub'@
@twisted@|@kotx'an@
@twisted it@|@maxsyatz'el yal@
@two@|@ka, kab'@
@two-headed eagle (appears to have Hittite origins and a symbol of power it is also used by Masons)@|@kotin@
@two at a time@|@kab' kab'taq@
@two by two (They went into the ark two at a time)@|@kab' kab'@
@two days ago@|@kab'ji@
@two hundred (ten times twenty)@|@lajunk'al@
@two people (Max jay kawan winaq Two men came)@|@kawan@
@two times twenty@|@kawinaq@
@two weeks ago@|@kanlajoneji@
@type of planting in a cornfield@|@b'aw@
@uncle (brother of your mother or father)@|@ikanej@
@under@|@alan, yalan, yayti', yaytu'@
@under me@|@walan@
@under the house@|@yalan te na@
@under them@|@yalan heb'@
@under us@|@jalan@
@under water@|@aman aytoq@
@under you@|@halan@
@under you all@|@heyalan@
@underarm@|@yalan q'ab'ej@
@underneath@|@alan, yalan, yaytu'@
@underneath them@|@yalan heb'@
@underneath us@|@jalan@
@underneath you@|@halan@
@underneath you all@|@heyalan @
@undershorts@|@wex@
@understood it@|@maxyab'e'@
@unknown person@|@konb'laq anima@
@unripe@|@yax@
@unripe fruit@|@kawk'olinaq@
@unseen@|@ewantaqil@
@until there@|@tak'al b'aytu'@
@up@|@kan@
@up (There is a house up above)@|@yajti', yajtu'@
@up to there@|@tak'al b'aytu'@
@upright@|@tojol@
@upwards@|@yajti', yajtu'@
@urinate@|@txulj@
@urinated@|@txuljinaq@
@urine@|@chul, txul@
@us@|@ayon@
@us (including the one spoken to)@|@ayoneq@
@us (not including the one spoken to)@|@ayonon@
@used@|@q'amb'il, q'amb'ilxa, q'anb'il@
@used it@|@maxsq'ana'@
@used it up@|@maxslaja'@
@used to ask 'how are you feeling?' when greeting someone@|@janik'@
@useful@|@watx'@
@utilized it@|@maxsq'ana'@
@vagina@|@at, lolis@
@value@|@stojol@
@vegetable@|@tz'unb'al itaj@
@vegetable garden@|@tz'unb'al itaj@
@vein@|@tx'anilej@
@Venus@|@puj@
@verb meaning to stay@|@kan@
@verb root meaning to pay or to go@|@toj@
@very@|@kawal, wal, xiwil@
@very fat person@|@net'an yeji@
@very hard stomach@|@kawsaninaq@
@very little@|@yaneb'il@
@very long@|@mimeqwal stel@
@very short@|@letan yeji stel@
@very skinny person@|@wek'an yeji@
@very slim@|@t'uxan yeji@
@very small and round@|@b'il@
@very stingy@|@b'asil@
@very thin@|@t'uxan yeji@
@very thin object or person@|@jixan yeji@
@very thin person@|@wik'an yeji@
@vessel made of the round woody fruit of the Bignoniaceae tree@|@letxb'al@
@village@|@konob', k'ultaq@
@village (?)@|@tenam@
@villager@|@ajk'ultaq@
@vine@|@tx'an@
@virgen (in reference to a young unmarried woman)@|@q'opoj ix@
@visited it@|@maxb'et yila'@
@voice that designates the masculine gender among people (Cha wuxhtaq hoqmi hach toq konob'? - Will you go to town brother?)@|@cha@
@voice that indicates happiness or anger@|@awal jun@
@volcano@|@witz, yax kanal@
@vomit@|@xab', xab'i, xaw@
@waist@|@nan, nanej@
@waited for it@|@maxyechwene'@
@walk@|@b'eyi@
@walked@|@max b'eyi, maxb'eyi, xb'eyi@
@walked on it@|@maxstek' toq@
@walking stick@|@k'ojotx, q'ojoch@
@walking stick that is taller than a man and has an iron tip@|@q'ojoch@
@wall@|@b'itz'ab', sat xan, xan@
@wallow@|@b'alab'a, b'alb'a@
@want@|@och@
@wanted it@|@maxyoche', maxyoche'ajoq@
@war@|@owal@
@warm@|@q'axan@
@warm (cooking)@|@kaq@
@warm (weather)@|@q'a@
@warrier@|@aq'om owal@
@was aimed at@|@max b'eytzelayi@
@was born@|@max'alji@
@was directed@|@max b'eytzelayi@
@was enough@|@max tzaqayi@
@was found@|@maxq'ayi@
@was glued@|@xma'chajom@
@was moved@|@max b'ili@
@was put in motion@|@max b'eytzelayi@
@was returned@|@maxmeltzaji@
@was stuck@|@xma'chajom@
@was sufficient@|@max tzaqayi@
@was swollen@|@max malejoq@
@was wrong@|@max k'ay toq@
@wash@|@tx'aja'@
@washed it@|@maxstx'aja'@
@washed out@|@saq puminaq'eloq@
@washing machine@|@xojb'al@
@wasp@|@honon@
@wasp's hive (nest)@|@aqan@
@water@|@a'ej, ej, hayej@
@water source@|@snuq' ha'@
@waterfall@|@pajaj@
@we@|@ahon, ayon, ko@
@we (exclusive of one spoken to)@|@ayonon@
@we (including the one spoken to)@|@ayoneq@
@we (including you and others) help@|@chon kolwaj heq@
@we (myself and others but not the one spoken to) help@|@chon kolwaj hon@
@we all eat@|@chon low heq@
@we are big@|@miman hon@
@we are equal@|@lajan hon@
@we are fast@|@yelk'ulal hon@
@we are hit@|@maq'b'il hon@
@we are many@|@miman hon@
@we are men@|@winaq hon@
@we are quick@|@yelk'ulal hon@
@we are the same@|@jun lajan hon, lajan hon@
@we called him (Jawtejteq cham Kuwin jetoq We called Pascual with us)@|@jawtejteq@
@We called him or her@|@jawteteq@
@we eat (him or her and I but not you)@|@chown low hon@
@we eat (you and I)@|@chon lowi@
@we go@|@ton@
@we or us (inclusive)@|@hayon@
@we should eat@|@lowoqon wal@
@weak@|@k'am yip@
@weakness due to an illness@|@uxan@
@weasel@|@kuxin@
@weaved it@|@maxsjala'@
@weaver@|@chemwajom@
@weaving (with a loom)@|@chemwi@
@wedding@|@txinupaiyi@
@weevil@|@ij@
@weighed@|@max yeche'@
@well-known@|@ojtaqb'il@
@well (especialy a water well)@|@k'wa'@
@went@|@maxtoji@
@went down@|@max 'ay teq@
@went in@|@x'oktoj@
@went on hands and knees@|@max k'owi@
@went out@|@max 'el toq@
@wet@|@b'akan ha', ch'akan@
@what@|@tol, tzetal@
@what (What did you do to heal it?)@|@tzet@
@What broke?@|@tzet yetal max q'aji@
@What could have happened?@|@Tzet max uji?@
@What did you say?@|@Tzet max hala', tzetal max hala@
@What do you say? (Tzet-xhi - chim hoche' chach toj konob'? - What do you say - do you want to go to town?)@|@tzet-xhi@
@What do you say? (What do you say@|@tzetxhi@
@What happened?@|@tzet max uji@
@what is@|@tzetal@
@What is it that broke?@|@Tzet yetal max q'aji?@
@What is it? (What is it that you said to me?)@|@tzetyetal@
@what is planted or sown (The cornfield is seeded)@|@awb'il@
@What is your name?@|@Tzet yok a b'i?@
@what is?@|@tzet, tzetyetal@
@What is?@|@tzet yetal@
@What size is it?@|@Jantaq jun stel@
@wheat bread@|@pan@
@when@|@yet@
@when (B'aq'in chach apni? 'when will you arrive?')@|@b'aq'in@
@when ka appears in the phrase 'yet ka' it introduces the adverbial clause of purpose explaining why the primary action took place@|@ka@
@when the classifier for water (ha) is used in place of a noun it is shortened to a' (Max toj naq unin yul a' - The boy fell in the water)@|@a'@
@when this directional suffix is used it is understood that the speaker is in the same place as the person who is doing the action (in other words they are together)@|@-teq@
@when will we be back@|@b'aq'in chon jayi@
@when will we be back?@|@b'aq'in chon jayi@
@When will we return?@|@b'aq'in chon jayi@
@where@|@b'ay, b'aytal@
@Where did you go?@|@b'aytal maxach b'et@
@Where do you live?@|@B'aytal kajan ach?@
@which? (B'aytet chochej - Which one do you want?)@|@b'aytet@
@while@|@yaqb'an@
@whipped it@|@max sjib'tz'umne'@
@whirl (wind)@|@kaq xuchem@
@whistle@|@xhulq'ab', xub', xul@
@white@|@saqyin@
@white-nosed coati@|@tz'utz'@
@white (yin)@|@saq@
@white earth or dirt@|@saq tx'otx'@
@white hair@|@saq xilej@
@white head@|@saq jolom@
@white sapote fruit@|@ajawte'@
@who@|@mak txel, maktxel@
@who (who went to town to get the chickens?)@|@maqtxel@
@Who hit you?@|@Maktxel maxach maq'oni?@
@who knows@|@txekel@
@why@|@tzet@
@Why? (Why did he hit the child?)@|@tzetyuj@
@wide@|@miman sat@
@wide object@|@jenan yeji@
@wife@|@istilej, ixal, ixalej@
@wild dove@|@uch@
@will arrive@|@apnoq@
@will be rolled up or coiled (This is the rope that will be coiled on the pier)@|@b'ak'layoq@
@will get there@|@apnoq@
@will go ahead@|@b'ab'joq@
@will go first@|@b'ab'joq@
@willow@|@b'akmam@
@wind@|@kaq'e', kaq'eq'@
@wing@|@xik', xik'ej, xik'esj@
@winter@|@nab'il@
@winter squash@|@mukun, q'oq'@
@wipe@|@job'al@
@witch@|@ajb'al, nawal@
@witch or sorcerer who casts fire through his eyes and has the power to transform himself into a coyote or dog or another animal@|@nawal@
@witchcraft@|@b'al@
@with@|@yetoq@
@with the head bent forward@|@nojan@
@with us@|@jetoq@
@within@|@xolaq@
@within a week@|@uqub'ix@
@within four days@|@konh, konji@
@within three days@|@oxej@
@within twenty days@|@junq'ej@
@within two days@|@kab'ej@
@within two weeks (fourteen days)@|@kanlajonej@
@woke up@|@max'el swayan@
@wolf@|@oq@
@woman@|@ix@
@woman's blouse@|@kolej@
@woman's blouse (especially an embroidered blouse typical to indigenous women)@|@kolej@
@woman's breast@|@im@
@woman's dress@|@txanej@
@woman's mother or father in law@|@alib'ej@
@woman in labor@|@ak'alwom@
@woman who grinds with a rock (Kawniwom ix Ewul Eulalia is a grinding woman)@|@kawniwom@
@wood@|@te'@
@wood (especially firewood)@|@si'@
@wooden peg@|@tx'ap te'@
@wooden spoon or spoon made of calabash@|@pak'@
@woodpecker@|@tuktuk@
@woods@|@ak'um@
@wool@|@xil@
@word@|@q'anej@
@word used to express the desire to get something done or wish you had done something or the desire to do something in the future (mata chex lowi 'hope you all eat')@|@mata@
@work@|@mulnaj, mulnajil@
@worker@|@majan@
@world@|@yib'an q'inal@
@worm@|@lem, luqum@
@worried@|@wajk'ulal@
@would you like to go to town?)@|@tzetxhi@
@wound@|@yas@
@wove it@|@maxsjala'@
@wrap for babies@|@iqb'al, iqb'alej@
@wrap for babies (used to carry a baby on your back)@|@iqb'alej@
@wrapped in something@|@pichan, xotan@
@wrapped it@|@maxb'ot ayoq@
@wrapped it up@|@maxb'ot ayoq@
@wrath@|@owalej@
@wrist@|@snuq' q'ab'ej@
@wrist (literally neck of the hand)@|@nuq' a q'ab'@
@write@|@tz'ib'@
@writing@|@tz'ib'@
@wrote it@|@maxstz'ib'e@
@yam@|@kaq is@
@yard@|@amaq', yamaq'il@
@year@|@hunab'il@
@year (The new year is just around the corner)@|@ab'il@
@years of a person's age (In just three more years Alberto will be a teenager)@|@yab'ilal@
@years of someones age (In just three more years Alberto will be a teenager)@|@ab'il@
@years old@|@yab'ilal@
@yellow@|@q'an, q'anyin@
