@Laotian@|@English@
@ປົດແອກ@|@liberate@
@ປົດອອກ@|@resign@
@ປົດອອກ@|@untie@
@ປົດອອກ@|@quit@
@ປົດອອກຈາກຣາຊການ@|@dismiss from office@
@ປົດອອກຈາກວຽກ@|@dismiss@
@ປອດ@|@lungs@
@ປອດ@|@intact@
@ປອດ@|@free@
@ປອດໄຂ່@|@pneumonia@
@ປອດສ້ຽງປານໃຂ່@|@have nothing left@
@ປອດສ້ຽງປານໃຂ່@|@cleaned out@
@ປອດຊິດ@|@pure@
@ປອດຊິດ@|@virgin@
@ປອດນາ@|@plant@
@ປອດບວມ@|@pneumonia@
@ປອດປະຣະມານູ@|@nuclear-free@
@ປອດໂປ່ງ@|@free of@
@ປອດໂປ່ງ@|@clear of@
@ປອດແປດ@|@soft@
@ປອດແປດ@|@tender@
@ປອດແປດ@|@sickly@
@ປອດໆ@|@noise of a splash@
@ປອດໄພ@|@safety@
@ປອດໄພ@|@security@
@ປອດໄພໄວ້ກ່ອນ@|@safety first@
@ປອດລອຍ@|@dishearted@
@ປອດແຫ້ງ@|@tuberculosis@
@ເປີດ@|@open@
@ເປີດ@|@disgust@
@ເປີດ@|@distaste@
@ເປີດກອ້ກນ້ຳ@|@turn on the water faucet@
@ເປີດການໂຈມຕີ@|@open an attack@
@ເປີດກວ້າງ@|@widen@
@ເປີດກວ້າງ@|@enlarge@
@ເປີດຂຶ້ນ@|@open up@
@ເປີດຄວາມລັບ@|@divulge a secret@
@ເປີດສະພານ@|@open a bridge@
@ເປີດຊ່ອງທາງ@|@open the way@
@ເປີດດອນແກ້ວ@|@uncork@
@ເປີດຖນົນ@|@open the road@
@ເປີດບັນຊີ@|@open an account@
@ເປີດບັນຊີຝາກເງິນ@|@open a savings account@
@ເປີດປະຊຸມ@|@open a meeting@
@ເປີດປະຕູຄ້າ@|@open the door to trade@
@ເປີດປ້າຍ@|@unveil a sign@
@ເປີດແປນ@|@open@
@ເປີດເຜີຍ@|@reveal@
@ເປີດເຜີຍ@|@disclose@
@ເປີດເຜີຍ@|@known@
@ເປີດພິທີ@|@inaugurate@
@ເປີດພັບ@|@open a book@
@ເປີດໄຟ@|@turn on the light@
@ເປີດຫູ ເປີດຕາ@|@give an eye and earful@
@ເປີດຫົວໃຈ@|@frank@
@ເປີດຫົວໃຈ@|@candid@
@ເປີດຫນ້າກາກ@|@unmask@
@ເປີດຫນ້າກາກ@|@open the way to an attack@
@ເປີດຫມ່າຍ@|@tired of@
@ເປີດຫມ່າຍ@|@fed up@
@ເປີດມວກ@|@doff or tip the hat@
@ເປີດຫນີ@|@take flight@
@ເປີດຫນີ@|@leave rapidly@
@ເປີດອົກ@|@frankly@
@ເປີດອົກເປີດໃຈ@|@frankly@
@ເປີດອົກເປີດໃຈ@|@candidly@
@ເປີດອອກ@|@open up@
@ປຽດ@|@gunnysack@
@ປຽດ@|@sack made of ramie@
@ປວດ@|@ache@
@ປວດ@|@have a throbbing pain@
@ປວດແຂ້ວ@|@toothache@
@ປວດຄີງ@|@ache all over the body@
@ປວດເຈັບ@|@pain@
@ປວດສເນ@|@love sickness@
@ປວດແສບປວດຮ້ອນ@|@feel a burning pain@
@ປວດຕຸກໆ@|@throbbing pain@
@ປວດທ້ອງ@|@sick at the stomach@
@ປວດທ້ອງ@|@belly spasmodic pain@
@ປວດທ້ອງຂີ້@|@have to go defecate@
@ປວດທ້ອງຍ່ຽວ@|@have to go urinate@
@ປວດຖ່າຍເບົາ@|@have to go urinate@
@ປວດຖ່າຍຫນັກ@|@have to go to the toilet urgently@
@ປວດນຳ@|@fascinated by@
@ປວດໄປບຸນ@|@wish ardently to go to the festival@
@ປວດຫູ@|@earache@
@ປວດຫົວ@|@have migraine@
@ປວດຮ້າວ@|@aching@
@ປວດຮ້າວໃຈ@|@be distressed@
@ປວດຮ້າວໃຈ@|@broken-hearted@
@ປັນ@|@divide@
@ປັນ@|@distribute@
@ປັນກັນ@|@divide@
@ປັນກັນ@|@distribute@
@ປັນເຂົ້າຂອງ@|@divide one’s personal effects for distribution@
@ປັນສ່ວນ@|@apportion@
@ປັນສ່ວນ@|@ration@
@ປັນຈະ@|@five@
@ປັນຈະກະ@|@group of five@
@ປັນຈະກະ@|@collecting of pentads@
@ປັນຈະກັມ@|@the five senses@
@ປັນຈະກັມ@|@groups@
@ປັນຈະກັມ@|@collections@
@ປັນຈະຂັນ@|@the five sense@
@ປັນຈະຂັນ@|@elements or attributes@
@ປັນຈະສາຂາ@|@the five extremities@
@ປັນຈະສາຂາ@|@two arms@
@ປັນຈະສິນ@|@five precepts@
@ປັນຈະມະ@|@fifth@
@ປັນຈະວີສະຕິ@|@twenty-five@
@ປັນຈະວັກຄີ@|@group of five persons@
@ປັນຍາ@|@sense@
@ປັນຍາສະ@|@fifty@
@ປັນຍາສະ@|@50@
@ປັນຍາສ້ຽມ@|@perspicacious@
@ປັນຍາສ້ຽມ@|@shrewd@
@ປັນຍາຕັນ@|@dull-witted@
@ປັນຍາຕື້ນ@|@dull-witted@
@ປັນຍາທຶບ@|@dull@
@ປັນຍາວິເສດ@|@genius@
@ປັນຍາວິເສດ@|@talent@
@ປັນຍາວິເສດ@|@brilliance@
@ປັນຍາແຫລມ@|@brilliant@
@ປັນຍັດ@|@promulgate@
@ປັນຍັດ@|@decree@
@ປັນຍັດ@|@enact@
@ປັນດົງຂາວ@|@tree@
@ປັນດົງຫນາມ@|@vine@
@ປັນດິດ@|@pundit@
@ປັນດິດ@|@sage@
@ປັນນະ@|@tree leaves@
@ປັນນະກຸດີ@|@leaf hut thatched with tree leaves@
@ປັນນະສາລາ@|@public rest-house covered with tree leaves@
@ປັນນະສານ@|@official letter@
@ປັນນະຣະສີ@|@the fifteenth day of the lunar month@
@ປັນນາການ@|@gift@
@ປັນນາການ@|@offering@
@ປັນນະໝາດ@|@fifty@
@ປັນຫາ@|@problem@
@ປັນຫາກົດຫມາຍ@|@point of law@
@ປັນຫາທາງວິໄນ@|@question of discipline@
@ປັນຫາເທັດຈິງ@|@point of fact@
@ປັນຫາເລື່ອງທີ່ພັກ@|@housing problem@
@ປັ່ນ@|@spin@
@ປັ່ນຄຳ@|@refine gold from ore@
@ປັ່ນສມອງ@|@brainwashing@
@ປັ່ນດົນ@|@cause to happen@
@ປັ່ນປ່ວນ@|@agitate@
@ປັ່ນປ່ວນ@|@trouble@
@ປັ່ນປ່ວນ@|@disturb@
@ປັ່ນຝ້າຍ@|@spin cotton@
@ປັ່ນຫົວ@|@brainwash@
@ປັ່ນເອົານ້ຳໄວ້@|@irrigate@
@ປັ້ນ@|@model@
@ປັ້ນ@|@mould@
@ປັ້ນເຂົ້າ@|@take breakfast@
@ປັ້ນເຂົ້າເຊົ້າ@|@have breakfast@
@ປັ້ນຂ່າວ@|@spread rumors@
@ປັ້ນສີຫນ້າ@|@tell a lie with a straight face@
@ປັ້ນຍົດ@|@display undue elegance@
@ປັ້ນທ້ອງ@|@contract the abdomen in childbirth@
@ປັ້ນທ້ອງ@|@bellyache@
@ປັ້ນທ້ອງ@|@belly cramp@
@ປັ້ນທຽນ@|@make candles@
@ປັ້ນນ້ຳໃຫ້ເປັນຕ່ອນ@|@lie@
@ປັ້ນບ້າງຄຳ@|@pan gold@
@ປັ້ນລົມ@|@diagonal roof pole used to nail down the thatch@
@ປັ້ນຫມໍ້@|@make pots@
@ປັ້ນຮູບ@|@make clay image@
@ປານ@|@as@
@ປານ@|@like@
@ປານ@|@Mongolian macu@
@ປານກັນ@|@resembling@
@ປານກັນ@|@alike@
@ປານກາງ@|@middle class@
@ປານດຳ@|@black nevus@
@ປານດົງ@|@red spot on the skin@
@ປານດົງ@|@skin disease@
@ປານໃດ@|@when?@
@ປານນັ້ນ@|@like that@
@ປານນີ້@|@like this@
@ປານວ່າ@|@as if@
@ປານມືກຳຕາ@|@ignorant@
@ປານມືກຳຕາ@|@let oneself be cheated@
@ປານຫຍັງ@|@as why@
@ປ່ານ@|@jute@
@ປ່ານ@|@burple@
@ປ່ານ@|@ramie@
@ປ້ານ@|@Irrigate@
@ປ້ານ@|@to bar@
@ປ້ານຄູ@|@dike@
@ປ້ານຄູ@|@to dam@
@ປ້ານຄັນນາ@|@build a dike@
@ປ້ານທ້າຍ@|@at the helm@
@ປ້ານນ້ຳ@|@irrigate@
@ປ້ານລົມ@|@wood to stop roofthatch from failing down@
@ປິນໂຕ@|@tiffin carrier@
@ປິນທະ@|@roll or morsel of glutinous rice@
@ປິ່ນ@|@spin@
@ປິ່ນ@|@turn@
@ປິ່ນຊົ່ນ@|@jeweled hairpin@
@ປິ່ນປາ@|@bake fish@
@ປິ່ນປົວ@|@take care of@
@ປິ່ນປົວ@|@keep watch over@
@ປິ່ນປົວປົວຣະບັດ@|@take care for@
@ປິ່ນປົວປົວຣະບັດ@|@watch over@
@ປິ່ນລົມຊີ້ທິດ@|@weatherrock@
@ປິ່ນລົມຊີ້ທິດ@|@weathervane@
@ປີນ@|@climb@
@ປີນ@|@clamber@
@ປີນກົກໄມ້@|@climb a tree@
@ປີນເຂົ້າທາງຫນ້າຕ່າງ@|@climb in through a window@
@ປີນຂຶ້ນ@|@go up@
@ປີນຂຶ້ນ@|@mount@
@ປີນຂຶ້ນ@|@climb up@
@ປີນຂຶ້ນເຖິງອານ@|@climb into the saddle@
@ປີນຂຶ້ນເຮືອນ@|@go up into the house@
@ປີ້ນ@|@change the mind@
@ປີ້ນ@|@reverse@
@ປີ້ນໄປປີ້ນມາ@|@vacillate@
@ປີ້ນໄປປີ້ນມາ@|@go back and forth@
@ປີ້ນຫງາຍທ້ອງ@|@turn upside down@
@ປີ້ນຄວາມ@|@deceive@
@ປີ້ນຄວາມ@|@swindle@
@ປືນ@|@gun@
@ປືນ@|@rifle@
@ປືນກົນ@|@machine gun@
@ປືນກົນ@|@colt@
@ປືນກົນກາງ@|@medium machine gun@
@ປືນກົນນ້ອຍ@|@submachine gun@
@ປືນກົນເບົາ@|@light machine gun@
@ປືນກົນຫນັກ@|@heavy machine gun@
@ປືນຄົກ@|@mortar@
@ປືນສອງເລົາ@|@double-barreled gun@
@ປືນສັ້ນ@|@pistol@
@ປືນສາມກະເອກ@|@three guns@
@ປືນຍາວ@|@rifle@
@ປືນດ່ຽວ@|@single-barreled shotgun@
@ປືນຕໍ່ສູ້ອາກາດສະຍານ@|@antiaircraft gun@
@ປືນເຖື່ອນ@|@illicit firearms@
@ປືນຖີບ@|@recoil of a gun@
@ປືນນ້ອຍ@|@small arms@
@ປືນນ້ອຍ@|@small gun@
@ປືນນັດ@|@repeating gun@
@ປືນແປດສິບເອັດ@|@81mm mortar@
@ປືນຜາຫນ້າໄມ້@|@firearms@
@ປືນຜາຫນ້າໄມ້@|@weapons@
@ປືນຜາອາວຸດ@|@firearms@
@ປືນຜາອາວຸດ@|@weapons@
@ປືນແຝດ@|@double barrel shotgun@
@ປືນພົກ@|@pistol@
@ປືນເພີງ@|@shotgun@
@ປືນເພີງ@|@flintlock gun@
@ປືນຫົກສິບ@|@60mm mortar@
@ປືນ 6 ນັດ@|@six shotted guns@
@ປືນໃຫຍ່@|@artillery@
@ປືນໃຫຍ່@|@cannon@
@ປືນໃຫຍ່ສນາມ@|@howitzer@
@ປືນໃຫຍ່ສນາມ@|@field artillery@
@ປືນເຫລັກຍາວ@|@rifle@
@ປຸນ@|@measure@
@ປຸນ@|@decorate@
@ປຸນຄຳຕ້ານ@|@draw up a reply@
@ປຸນແຕ່ງ@|@prepare@
@ປຸນແຕ່ງ@|@make@
@ປຸນປອງ@|@desire@
@ປຸນປອງ@|@want@
@ປຸນປອງ@|@decorate@
@ປຸນເປືອງ@|@waste@
@ປຸນທະລິ@|@white lotus@
@ປຸນນະມີ@|@fifteenth day of the lunar month@
@ປຸນນາກ@|@the Indian chestnut or ironwood tree@
@ປຸ້ນ@|@plunder@
@ປຸ້ນ@|@pillage@
@ປຸ້ນ@|@loot@
@ປຸ້ນເຈົ້າເອົາຂອງ@|@plunder@
@ປຸ້ນລັກ@|@pillage@
@ປຸ້ນທ້ອງ@|@feel nauseous@
@ປູນ@|@chalk@
@ປູນ@|@lime@
@ປູນກັດ@|@corroded or irritated by the action of lime@
@ປູນກັດປາກ@|@suffer from the deleterious action of lime in the mouth@
@ປູນຂີ້ແລນ@|@discolored@
@ປູນຂີ້ແລນ@|@impure lime@
@ປູນຂາວ@|@white lime@
@ປູນຊີມັງ@|@cement@
@ປູນຊິເມັນ@|@cement@
@ປູນແດງ@|@red lime@
@ປູນຫິນ@|@powered limestone@
@ປູນຫອຍ@|@shell lime@
@ເປັນ@|@be@
@ເປັນ@|@alive@
@ເປັນ@|@living@
@ເປັນກະບົດ@|@rebel@
@ເປັນກົກ@|@be first@
@ເປັນກັນ@|@be perty to@
@ເປັນກັນເອງ@|@be informal@
@ເປັນກັນເອງ@|@make oneself at home@
@ເປັນກັມ@|@be sinned@
@ເປັນການ@|@be effective@
@ເປັນການ@|@not to be hulled@
@ເປັນກາງ@|@be neutral@
@ເປັນກາງ@|@neutrality@
@ເປັນກິນ@|@comestible@
@ເປັນກິນ@|@eatable@
@ເປັນກິນ@|@edible@
@ເປັນກືກ@|@be dumb@
@ເປັນເກັດ@|@scaleful@
@ເປັນແກ່ນ@|@granular@
@ເປັນກ້ອນ@|@splitted up@
@ເປັນກ້ອນເປັນຫນ່ວຍ@|@be unified@
@ເປັນກ້ອນເປັນຫນ່ວຍ@|@be successful@
@ເປັນກຽວ@|@be threaded@
@ເປັນກຽດ@|@honourable@
@ເປັນກຽດແກ່@|@in honour@
@ເປັນຂະບົດ@|@in rebellion@
@ເປັນຂະບວນ@|@be in groups@
@ເປັນຂີ້ທູດ@|@leprous@
@ເປັນຂີ້ຫິດ@|@affected with scabies@
@ເປັນຂີ້ຝຸ່ນ@|@dusty@
@ເປັນຂີ້ຫມາກເຫລືອງ@|@unhealthy@
@ເປັນຂີ້ຫມາກເຫລືອງ@|@sickable@
@ເປັນຂ້ອຍ@|@be a servant or slave@
@ເປັນຂ້ອຍເປັນທາດ@|@be a slave@
@ເປັນຂົນ@|@be hairy@
@ເປັນຂໍ້@|@knotty@
@ເປັນຂ້ອບ@|@be servant or slave@
@ເປັນໄຂ້@|@have a fever@
@ເປັນຄ່າ@|@valuable@
@ເປັນເຄົ້າ@|@be first@
@ເປັນຄື້ນ@|@be wavy@
@ງປັນຄູ່@|@in pairs@
@ເປັນຄຸນ@|@be useful@
@ງປັນຄວາມ@|@take action against@
@ເປັນງ່າ@|@in branches@
@ເປັນເງົາ@|@be shiny@
@ເປັນເງົາ@|@polished@
@ເປັນເງົາ@|@glossy@
@ເປັນງ່າມ@|@be forked@
@ເປັນໂງ່ນ@|@in bloc@
@ເປັນຈັ່ງໃດ ?@|@How do you do?@
@ເປັນໃຈ@|@be an accomplice@
@ເປັນໃຈກັບ@|@be an accomplice@
@ເປັນໃຈກັນ@|@conniving@
@ເປັນເຈົ້າ@|@chieftain@
@ເປັນເຈົ້າຫົວໃຈ@|@be domineering@
@ເປັນຈຸດໆ@|@be dotted@
@ເປັນຈຸດໆ@|@spotted@
@ເປັນສະດວງດັງ@|@hemorrhoids@
@ເປັນສີ@|@feel slightly@
@ເປັນສີ@|@colorant@
@ເປັນສີເຈັບໆ@|@a little painful@
@ເປັນສີຮ້າຍໆ@|@a little unhappy@
@ເປັນສັງ@|@why?@
@ເປັນສອງ@|@in two@
@ເປັນສອງ@|@double@
@ເປັນສອງແຖວ@|@line up in two@
@ເປັນໂສດ@|@single@
@ເປັນໂສດ@|@bachelor@
@ເປັນສາຍ@|@in line@
@ເປັນສ່ວນ@|@in parts@
@ເປັນສ່ວນມາກຸ@|@mostly@
@ເປັນສ່ວນມາກຸ@|@for the most part@
@ເປັນສ່ວນໃຫຍ່@|@majority@
@ເປັນສ່ວນຫລາຍ@|@for the most part@
@ເປັນສ່ວນຫລາຍ@|@mostly@
@ເປັນສ່ວນສາວ@|@reach young woman-hood@
@ເປັນຊີເປັນສົງ@|@be a bonze or nun@
@ເປັນຊ້ອງໆ@|@in profusion@
@ເປັນຊຸດໆ@|@in bursts (of firing)@
@ເປັນຊັ້ນ@|@stratified@
@ເປັນຊູ້@|@lover@
@ເປັນຊູ້@|@mistress@
@ເປັນຊົງ@|@air@
@ເປັນຊົງ@|@look@
@ເປັນຊົງ@|@appearance@
@ເປັນເຊີຍ@|@conniving@
@ເປັນເຊືອ@|@take Issue from the family@
@ເປັນຍາດ@|@relatives@
@ເປັນພີ່ນ້ອງ@|@relatives@
@ເປັນຍ່ານ@|@at a distance@
@ເປັນຍ່ານ@|@at intervals@
@ເປັນຍ້ອນ@|@thanks to@
@ເປັນຍ້ອນ@|@because of@
@ເປັນຍາມ@|@at fixed times@
@ເປັນຍາມ@|@in any time@
@ເປັນໃດ@|@what’s the matter?@
@ເປັນດອກ@|@in flower@
@ເປັນດີ@|@good@
@ເປັນເດັດຂາດ@|@absolutely@
@ເປັນດ້ວຍ@|@because of@
@ເປັນເດືອນ@|@diseased (of a coconut only)@
@ເປັນດິ້ວ@|@stripped@
@ເປັນຕາ@|@cheeked@
@ເປັນຕາກິນ@|@comestible@
@ເປັນຕາກິນ@|@eatable@
@ເປັນຕາງຶດ@|@amazing@
@ເປັນຕາສໍຣະເສີນ@|@praiseworthy@
@ເປັນຕາເສຍດາຍ@|@it’s a pity@
@ເປັນຕາຊັງ@|@odious@
@ເປັນຕາຊັງ@|@hateful@
@ເປັນຕາຊົມ@|@nice looking@
@ເປັນຕາຊັງ@|@odious@
@ເປັນຕາຊັງ@|@hateful@
@ເປັນຕາຊັງ@|@detestable@
@ເປັນຫນ້າຊັງ@|@odious@
@ເປັນຫນ້າຊັງ@|@hateful@
@ເປັນຫນ້າຊັງ@|@detestable@
@ເປັນຕາເຊື່ອ@|@believe-able@
@ເປັນຕາຕົກໃຈວ່າ@|@it is frightening that@
@ເປັນຕາເບິ່ງ@|@good to look at@
@ເປັນຕາຟັງ@|@believable@
@ເປັນຕາຢາກຫົວ@|@joke@
@ເປັນຕາເຫັນໃຈວ່າ@|@it is pathetic@
@ງປັນຕາຢ້ານ@|@horrifying@
@ເປັນຕາຢາກໄດ້@|@desirable@
@ເປັນຕາຢາກຫົວ@|@laughable@
@ເປັນຕາເມື່ອຍ@|@tiring@
@ເປັນຕາອາຍ@|@shameful@
@ເປັນຕາຮັກ@|@lovable@
@ເປັນຕັບ@|@in tablet@
@ເປັນຕັບ@|@in pack@
@ເປັນຕຸ່ມ@|@pimply@
@ເປັນຕາຍເທົ່າກັນ@|@between life and death@
@ເປັນແຕ່@|@only@
@ເປັນແຕ່ບຸນ@|@happy-go-lucky It@
@ເປັນຕົ້ນ@|@for example@
@ເປັນຕົ້ນ@|@namely@
@ເປັນຕົ້ນມາ@|@from then until now@
@ເປັນຕົ້ນວ່າ@|@example@
@ເປັນຕົ້ນເຫດ@|@influence affect@
@ເປັນຕົມ@|@muddy@
@ເປັນຕົວການ@|@principal one@
@ເປັນຕົວການ@|@ringleader@
@ເປັນຕົວການ@|@the agent in an act of crime or violence@
@ເປັນຕົວຢ່າງ@|@in model@
@ເປັນຕົວຂອງຕົວເອງ@|@self-confident@
@ເປັນຕົວຫນັງສື@|@in writing@
@ເປັນຕົວອັກສອນ@|@in words@
@ເປັນຖ້ອຍເປັນຄວາມ@|@involved in litigation@
@ເປັນຖັນເປັນແຖວ@|@in a row@
@ເປັນຖັນເປັນແຖວ@|@in line@
@ເປັນຖ້ານ@|@in level@
@ເປັນຖ້ານ@|@to stratify@
@ເປັນແຖວ@|@lined up@
@ເປັນເຖົ້າແກ່@|@witness for wedding@
@ເປັນທ່າ@|@in a good position@
@ເປັນທາງ@|@in a good position@
@ເປັນທາງການ@|@official@
@ເປັນທີ່ສັນລະເສີນ@|@in praise of sth@
@ເປັນທີ່ນິຍົມ@|@popular@
@ເປັນທີ່ຫນ້າອະນຸ@|@urged to participate@
@ເປັນທາງສ່ວນຕົວ@|@private@
@ເປັນທາງສ່ວນຕົວ@|@individual@
@ເປັນທາງອ້ອມ@|@indirectly@
@ເປັນໂທດ@|@guilty@
@ເປັນທ້ອງ@|@diarrhea@
@ເປັນເທືອຍ@|@without virility@
@ເປັນນາຍ@|@sterful@
@ເປັນນິດ@|@constantly@
@ເປັນນິດ@|@permanently@
@ເປັນນິດ@|@regularly@
@ເປັນນິດນິຣັນດອນ@|@perpetually@
@ເປັນແນ່@|@surely@
@ເປັນອັນແນ່@|@surely@
@ເປັນແນວ@|@kept for seed@
@ເປັນແນວໃດ@|@why?@
@ເປັນແນວຍ້ານ@|@it is fearful@
@ເປັນແນວທາງ@|@it is the policy@
@ເປັນແນວຫນີ້@|@it is like this@
@ເປັນນ້ອຍ@|@wife in second rank@
@ເປັນເນືອເປັນຫນັງ@|@corporeal@
@ເປັນເນືອເປັນຫນັງ@|@material@
@ເປັນນຳ@|@because of@
@ເປັນນຳ@|@due to@
@ເປັນນຳເຈົ້ານີ້ແລະ@|@it is because of you@
@ເປັນນຳຫຍັງ?@|@For which cause ?@
@ເປັນນ້ຳ@|@liquid@
@ເປັນນ້ຳ@|@fluid@
@ເປັນເນື່ອງນິດ@|@very often@
@ເປັນເນື່ອງນິດ@|@perpetually@
@ເປັນເນີນ@|@sloping@
@ເປັນບ້າ@|@insane@
@ເປັນບ້າ@|@crazy@
@ເປັນບ້ານຳ@|@interest in@
@ເປັນບ້ານຳ@|@get mad for@
@ເປັນບ້າຫມູ@|@epileptic@
@ເປັນບາດ@|@wounded@
@ເປັນບາບ@|@vice@
@ເປັນບາບ@|@sinful@
@ເປັນບາບ@|@sin@
@ເປັນບ່າວ@|@reach manhood@
@ເປັນແບບ@|@as model@
@ເປັນແບບ@|@as pattern@
@ເປັນບົວ@|@in pod@
@ເປັນບໍ່ມີເລີຍ@|@nothing@
@ເປັນບັ້ນເປັນທ່ອນ@|@in pieces@
@ເປັນບັ້ນເປັນທ່ອນ@|@in sections@
@ເປັນເປົ້າ@|@hollow@
@ເປັນປະຈຳ@|@habitually@
@ເປັນປະຈຳ@|@regularly@
@ເປັນປະຈຳເດືອນ@|@in menstrual period@
@ເປັນປະໂຍດ@|@useful@
@ເປັນປະທານ@|@preside over@
@ເປັນປະທານ@|@a president@
@ເປັນປວດການ@|@historymaking@
@ເປັນປວດການ@|@epochal@
@ເປັນປາກສຽງ@|@quarrel@
@ເປັນປາກສຽງໃຫ້@|@speak for@
@ເປັນປາກເປັນສຽງກັນ@|@quarrel@
@ເປັນປານ@|@have a birthmark@
@ເປັນປີ@|@annual@
@ເປັນປີ@|@banana flower@
@ເປັນປົກກະຕິ@|@normal@
@ເປັນປອບ@|@possessed by evil spirit@
@ເປັນໄປ@|@continue being@
@ເປັນໄປຕາມສະໄຫມ@|@changeable@
@ເປັນໄປຕາມສະໄຫມ@|@following the fashion@
@ເປັນໄປບໍ່ໄດ້@|@impossible@
@ເປັນຜີ@|@devil@
@ເປັນຜີ@|@bad@
@ເປັນຜີບ້າ@|@crazy@
@ເປັນຜູ້@|@he who@
@ເປັນຜູ້@|@she who@
@ເປັນຜົນສຳເລັດ@|@successful@
@ເປັນຜຽນ@|@in turn@
@ເປັນພະຍາດ@|@sick@
@ເປັນພະຍານ@|@a witness@
@ເປັນພາກ@|@pestilent@
@ເປັນພິດ@|@venomous@
@ເປັນພິດ@|@toxic@
@ເປັນພີ່ນ້ອງ@|@relative@
@ເປັນພັກ@|@by steps@
@ເປັນພັກ@|@in groups@
@ເປັນພັກເປັນພວກ@|@of or in a groups@
@ເປັນພວກ@|@in or by groups@
@ເປັນພຽງ...ນັ້ນເອງ@|@only@
@ເປັນພວງ@|@in a bunch@
@ເປັນໄຟ@|@like anything@
@ເປັນຟອງ@|@frothing@
@ເປັນຟືນເປັນໄຟ@|@become angry@
@ເປັນຟືນເປັນໄຟ@|@blow up@
@ເປັນມາ@|@have been@
@ເປັນມື@|@good for@
@ເປັນມື@|@efficient@
@ເປັນມື້@|@in days@
@ເປັນມຸງຄຸນ@|@in precious benediction@
@ເປັນມູກ@|@in mucus@
@ເປັນມູກເລືອດ@|@dysentery@
@ເປັນແມ່@|@decayed@
@ເປັນໂມງ@|@in hours@
@ເປັນມອດ@|@weevil-eaten@
@ເປັນຢາ@|@medicinal@
@ເປັນຢາງ@|@resinous@
@ເປັນຢ່າງນີ້@|@by this manner@
@ເປັນໄລຍະ@|@in Interval@
@ເປັນລະດູ@|@menstruate@
@ເປັນລົມ@|@faint@
@ເປັນລົມ@|@swoon@
@ເປັນເລື້ອງທີ່ຄວນສຶກສາ@|@convenient to be Studied@
@ເປັນເລືອດ@|@in menstrual period@
@ເປັນລຳດັບ@|@in series@
@ເປັນລ້ຳເປັນສັນ@|@substantial@
@ເປັນລ່ອຍ@|@be crippled@
@ເປັນລ່ອຍ@|@paralyzed@
@ເປັນເວລາ@|@for(time)@
@ເປັນຍາມ@|@for(time)@
@ເປັນເວລານານມາແລ້ວ@|@for a long time@
@ເປັນວໍ້@|@rabid@
@ເປັນວໍ້@|@mad@
@ເປັນຫ່າ@|@in shower@
@ເປັນຫ່າ@|@downpour@
@ເປັນຫາດ@|@sandbank@
@ເປັນຫືດ@|@asthmatic@
@ເປັນຫືດ@|@asthma@
@ເປັນເຫດ@|@in danger@
@ເປັນຫົວ@|@shaped@
@ເປັນຫົວ@|@in unity@
@ເປັນຫົວ@|@tuberous@
@ເປັນຫົວເປັນຂາ@|@having form@
@ເປັນຫົວຫນ້າ@|@be a boss@
@ເປັນຫ້ອງ@|@compartmented@
@ເປັນຫ້ອງ@|@in rooms@
@ເປັນຫ່ວງ@|@worry@
@ເປັນເຫດ@|@happen@
@ເປັນເຫດໃຫ້@|@cause@
@ເປັນຫຍັງ?@|@what’s the matter ?@
@ເປັນຫຍ່ອມ@|@in heaps@
@ເປັນຫຍ່ອມ@|@in piles@
@ເປັນຫຍ່ອມ@|@in tufts@
@ເປັນຫນີ້ບຸນຄຸນ@|@owe a debt of gratitude@
@ເປັນຫນັກ@|@seriously ill@
@ເປັນຫນັກ@|@excessively@
@ເປັນຫນ້າ@|@having the same meaning of -able@
@ເປັນຫນ້າ@|@ible suffix@
@ເປັນຕາ@|@having the same meaning of -able@
@ເປັນຕາ@|@ible suffix@
@ເປັນຫນ້າຊັງ@|@odious@
@ເປັນຫນ້າຊັງ@|@hateful@
@ເປັນຫນ້າຊັງ@|@detestable@
@ເປັນຕາຊັງ@|@odious@
@ເປັນຕາຊັງ@|@hateful@
@ເປັນຕາຊັງ@|@detestable@
@ເປັນຫນ້າຢາກ@|@desirable@
@ເປັນຫນ້າຢາກຫົວ@|@laughable@
@ເປັນຫນາມ@|@thorny@
@ເປັນຫນີ້@|@in debt@
@ເປັນຫນິ້ວ@|@full of pus@
@ເປັນຫນິ້ວ@|@cystite@
@ເປັນຫນອງ@|@have worms@
@ຫຸ້ມຫນອງ@|@have worms@
@ເປັນຫມອນ@|@to fructify@
@ເປັນຫນ່ວຍ@|@have eruptive spot@
@ເປັນຫມາກໄມ້@|@in groups@
@ເປັນຫມູ່@|@comrade@
@ເປັນຫມູ່ກັນ@|@in stick@
@ເປັນຫມູ່ກັນ@|@In block@
@ເປັນຫລື້ມ@|@in layers@
@ເປັນຫລີ້ມ@|@have a head cold@
@ເປັນຫວັດ@|@space@
@ເປັນຫວັດ@|@In between@
@ເປັນຫວ່າງ@|@absolutely@
@ເປັນຫລ່ຽນ@|@angular@
@ເປັນອາຈີນ@|@habitually@
@ເປັນອີ່ຫຍັງ@|@why?@
@ເປັນເອກກະສັນ@|@unanimously@
@ເປັນອັນຂາດ@|@dangerous@
@ເປັນອັນຕະລາຍ@|@absolutely@
@ເປັນອັນຕະລາຍ@|@positively@
@ເປັນອັນຕະລາຍ@|@very@
