@English@|@Sanskrit@
@supposed followers of the Vedas@|@vedavaadarataaH@
@supreme@|@aatyantikaM, paramaM@
@supreme knowledge@|@bodhi@
@supreme rulership@|@paarameshhTya@
@surpassed@|@atiitaH@
@surpasses@|@atyeti, vyatitarishhyati@
@surpassing@|@abhibhuuya, atyaani@
@surprise@|@aashcharyaM, aashcharyavat.h@
@surprising@|@chitraM@
@surrender@|@prapadyante, prapadye@
@surrendered@|@prapannaM@
@surrendering@|@arpita@
@surrenders@|@prapadyate@
@surrounded by@|@parimita@
@surrounded by aristocratic relatives@|@abhijanavaan.h@
@sustain@|@dhaarayaami@
@sustained effort@|@tapas.h@
@sustainer@|@bhartaa@
@sva + adhyAyAt.h + mA:fromone's learning + don't@|@svaadhyaayaanmaa@
@sva+lIlaya@|@svaliilayaa@
@swan@|@raajaha.nsa@
@sweet@|@madhura, madhuraM, madhusphiitaa, svaadu@
@Sweet@|@madhu@
@sweet letter(s)@|@madhuraaksharam.h@
@sweetness@|@laaghava, madhuratva@
@Sweetness@|@maadhurya@
@swimming or crossing@|@taran.h@
@swing@|@dolaa@
@swinging@|@lola@
@sword@|@karavaala, khaDga@
@syllabus@|@paaThyakrama@
@symptom; indication; aspect; characteristics@|@lakshaNaM@
@symptoms@|@liN^gaiH@
@tail@|@puchchha@
@tainted with@|@pradigdhaan.h@
@take leave of@|@aapR^ichchha@
@take refuge in gold or money@|@kaa.nchanamaashraya.nti@
@take to@|@gamaH@
@taken@|@niita@
@taken down@|@paatita@
@taken to strict vows@|@sa.nshitavrataaH@
@takes place@|@upajaayate@
@takes pleasure@|@hR^ishhyati@
@taking@|@aadaana@
@taking Me@|@matparamaaH@
@taking pleasure in the self@|@aatmaratiH@
@taking refuge@|@aashritaH@
@taking shelter of@|@aashritya, shritaaH, upaashritya, vyapaashrayaH@
@taking up@|@udyamya@
@tales of valour@|@charitraaNi@
@talk@|@sambhaashhaNa, vachana@
@talking@|@kathayantaH, pralapan.h@
@tall@|@uttuN^ga@
@tamed or self-denying like that of a hermit@|@sa.nyaminaH@
@target@|@lakshyam.h@
@tasmin.h+kaye@|@tasminkaaye@
@taste; flavour@|@ruchiH@
@tasteless@|@gatarasaM@
@tasting@|@aasvaada@
@tasty@|@svaadishhTaH@
@tasya + esha(H):His + this@|@tasyaisha@
@tat.h +  me +  manaH: that +  my + mind@|@tanmemanaH@
@tat.h + mukhyaM:that + important@|@tanmukhyaM@
@tat.h+api@|@tadapi@
@tat.h+iha@|@tadiha@
@tataH: then or from there + haMsaH:swan or Brahma@|@tatohaMsaH@
@tAvat.h+nija@|@taavannija@
@teacher; weighty@|@guruH@
@teachers@|@aachaaryaaH, aachaaryaan.h@
@teeth+bereft@|@dashanavihiinaM@
@telephone@|@duuradhvanii@
@television@|@duuradarshana@
@tell@|@bruuhi, kathaM@
@temple@|@ma.ndira@
@Temporal strength of planets used in Shad bala@|@kaalabala@
@temporary@|@adhruvaM, anityaM, ashaashvataM@
@Temporary@|@nashvara@
@temptation@|@moha@
@tendancy@|@vR^ittii@
@terrible@|@bhairava, bheruNDa, bhiima, karaalaani, karalaM, ugraH, ugraM@
@Territory@|@pradesha@
@terror@|@aataN^ka, bhayaanaka@
@test@|@pariikshaa@
@tested or awakened senses@|@chodhitakaraNa@
@tha pair@|@dvandvaM@
@than confidential@|@guhyaat.h@
@than death@|@maraNaat.h@
@than duties mentioned for others@|@paradharmaat.h@
@than fighting@|@yuddhaat.h@
@than fruitive action@|@karmaNaH@
@than knowledge@|@GYaanaat.h@
@than meditation@|@dhyaanaat.h@
@than no work@|@akarmaNaH@
@than practice@|@abhyaasaat.h@
@than the ascetics@|@tapasvibhyaH@
@than the atom@|@aNoH@
@than the fruitive workers@|@karmibhyaH@
@than the wise@|@GYaanibhyaH@
@than you@|@tvat.h@
@that@|@tat.h@
@that abode@|@tad.hdhaama@
@that feminine form@|@saishhaa@
@that gives peace or solace@|@parishaantaa@
@that is@|@saa@
@that location i@|@taat.h@
@that materialisation@|@tatsiddhiH@
@that person to whom@|@yasmai@
@that person who is doing@|@kR^iNva.ntaH@
@that which can be sung@|@geya@
@that which causes fear@|@bhayanaka@
@that which gives boons@|@varadaM@
@that which had been lifted@|@uddhR^itaM@
@that which hears i.e.ears@|@shrutii@
@that which is not visible@|@gopa@
@that which was done@|@kR^ityaiH@
@that+here@|@tadiha@
@that+thro' this@|@tamanena@
@the  (earlier-born)elder of LakshmaNa@|@lakshmaNapuurvajaM@
@the  two feet of rAmachandra@|@shriiraamacha.ndracharaNau@
@The 10th house of Careers and Work@|@karma-bhaava@
@The 3rd@|@aapoklima@
@The 4th house of Mother@|@maatR^i-bhaava@
@the abode of rama (lakshmi)@|@ramaavaasa@
@the abode of Vishnu@|@vaikuNTha@
@the accumulation@|@sa.ngrahaH@
@the act of giving@|@daana@
@the adept's posture@|@siddhaasana@
@the Adityas@|@aadityaH@
@the advocates@|@vaadinaH@
@the aggregate@|@saN^ghaataH@
@the aggregate of all living entities@|@bhuutagraamaH@
@the air going downward@|@apaanaM@
@the air which acts outward@|@praaNaM@
@the anchor posture@|@yogaasana@
@the ancient \&the best of men@|@puraaNapurushhottamaH@
@the ankle-twist posture@|@khaNDapiTaasana, muulabandhaasana@
@the appelation to Garuda?@|@arishhTanemiH@
@the arm posture@|@bhujaasana@
@the army of the night-wanderers(demons)@|@nishaacharachamuu@
@the arrow posture@|@viirabhadraasana@
@The Ascendant or 1st house@|@lagna@
@the assemblies@|@saN^ghaaH@
@the association with the modes of nature@|@guNasaN^gaH@
@the astral body@|@suukshmashariira@
@the auspicious@|@shubhaan.h@
@the auspicious posture@|@bhadraasana@
@the back of the body@|@pashchima@
@the back-stretching posture@|@pashchimottoanaasana@
@the balance posture@|@tolaaN^gulaasana@
@the balancing forward bend posture@|@paadahastaasana@
@the banyan tree@|@ashvatthaH@
@the beautiful form@|@saumyavapuH@
@the bee breath@|@bhramarii@
@the bellows breath@|@bhastrikaa@
@the belly-turning posture@|@jaThara\-parivartanaasana@
@the benefactor@|@suhR^idaM@
@the beneficiary@|@bhoktaaraM@
@the best@|@uttamaH@
@the best (2 persons)@|@shreshhThau@
@the best of the raghus (raghu-descendants)@|@raghuuttamaH@
@the best two of the Raghu race@|@raghuuttamau@
@the big toe@|@aN^gushhTha, paadaaN^gushhTha@
@the birth-seeds@|@bhavabiijaanaaM@
@the boar@|@varaaha@
@the boat posture@|@naavaasana@
@the body@|@kaayaM, kalevaraM@
@the bound hands headstand posture@|@baddhahasta\-shirshhaasana@
@the bound lotus posture@|@bandha\-padmaasana@
@the bow@|@chaapaM@
@the bow of Arjuna@|@gaaNDiivaM@
@the bow posture@|@dhanuraasana@
@the Braahat-sama@|@bR^ihatsaama@
@the brave in the stage of war@|@raNara.ngadhiiram.h@
@the bridge posture@|@setu\-bandhaasana@
@the camel posture@|@ushhTraasana@
@the capable (here)@|@iishvara@
@the carrier of the bow and arrow@|@dhanurdharaH@
@the caste of merchants and professionals@|@vaishya@
@the caste of princes and warriors@|@kshatriya@
@the caste of servants and labourers@|@shudra@
@the cause for begetting children@|@prajanaH@
@the cause of@|@karaM@
@the channel on the left of the spine@|@iDaa@
@the channel on the right of the spine@|@piN^galaa@
@the characater of  a woman@|@striyashcharitraM@
@the chariot@|@rathaM@
@the chariot driver@|@suuta@
@the chastiser of the enemies@|@parantapaH@
@the cheek@|@gaNDa@
@the chief@|@mukhyaM@
@the chieftain of the monkey brigade@|@vaanarayuuthamukhyam.h@
@the chin@|@piJNcha@
@the chosen Raghu@|@raghuvaraM@
@the city of mathura@|@maturaa@
@the cobra posture@|@bhujan.gaasana@
@the cockerel (rooster) posture@|@kukuTaasana@
@the compiler of the Vedanta@|@vedaantakR^it.h@
@the complete@|@puurNaH@
@the conch named Ananta-vijaya@|@anantavijayaM@
@the conch named Paundra@|@pau.nDraM@
@the conches named Sughosa and Manipuspaka@|@sughoshhamaNipushhpakau@
@the conchshell named Devadatta@|@devadattaM@
@the conchshell named Pancajanya@|@paaJNchajanyaM@
@the conditioned living entity@|@jiivabhuutaH@
@the conqueror of senses@|@jitendriyaM@
@the controller@|@anushaasitaaraM@
@the controller of death@|@yamaH@
@the corpse posture@|@mR^itaasana, shavaasana@
@the cow-faced posture@|@gomukhaasana@
@the cowherd posture@|@gorakshaasana@
@the creator@|@dhaataaram.h, vidhaatR^i@
@the crocodile posture@|@makaraasana@
@the crow posture@|@kaakaasana@
@the cuckoo@|@kokila@
@the curl on Vishnu's breast@|@shrivatsa@
@the current@|@kaliyuga@
@the curved posture@|@vakraasana@
@the dangerous posture@|@saN^kaTaasana@
@the daring warrior@|@paraakramaH@
@the dark-complexioned one@|@shyaamalaM@
@the darling of jAnaki (sItA)@|@jaanakiivallabhaH@
@the daughter of the Earth (siita)@|@avaniitanya@
@the deep lunge posture@|@shirsaN^gushhThaasana@
@the deity of Spring@|@vasanta@
@the delighter of the Raghus@|@raghuna.ndana@
@the deliverer@|@samuddhartaa@
@the delusion@|@mohanaM@
@the demigod controlling the water@|@varuNaH@
@the demigods@|@devataaH, suragaNaaH@
@the demons@|@daanavaH, rakshaa.nsi@
@the desireless person@|@niriiha@
@the destroyer@|@kshayakR^it.h, naashanaM, shiva@
@the Destroying God@|@rudraH@
@the devotees@|@santaH@
@the dialogues between Krishna and Arjuna@|@bhagavad.hgiitaa@
@the differences@|@bhedaM@
@the disciple. the student@|@shishhyam.h@
@the distressed@|@aartaH@
@the distresses@|@duHkhaiH@
@the distressing results of karmas@|@vipaaka@
@the dog stretch posture@|@adhomukhashvaanaasana@
@the donation of land@|@bhudaana@
@the door where kundalini enters the spine@|@brahmadvaara@
@the dove posture@|@kapotaasana@
@the dual@|@dvandvaH@
@the eagle posture@|@garuDaasana@
@the earning or acquiring or acqusition@|@arjanaM@
@the ear-press posture@|@karNapiDaasana@
@the earth@|@bhumiH, brahmabhuH@
@the easy posture@|@sukhaasana@
@the eentire world@|@sarvajagat.h@
@the eight Vasus@|@vasun.h@
@the eighth incarnation of Vishnu i.e. Krishna@|@kR^ishhNa@
@the eleven forms of Rudra@|@rudraan.h@
@the embodied@|@dehabhR^it.h@
@the end@|@praanta@
@the endeavors@|@cheshhTaH@
@the enemy@|@shatruM@
@the enemy of `Muraa' (Lord Krishna)@|@muraari@
@the enemy of rAvaNa@|@raavaNaarim.h@
@the enjoyer@|@bhogii, bhoktaa@
@the entire@|@sakala@
@the envious@|@dveshhya@
@the expanse@|@vistaraH@
@the expansion@|@vistaaraM@
@the experienced@|@vichakshaNaH@
@the eyebrows@|@bhruvoH@
@the family traditions@|@kuladharmaaH@
@the father@|@kartaaraM@
@the father of mankind@|@manuH@
@the faults@|@doshhaaH@
@the fear@|@tarjanaM@
@the feeling of oneness@|@aatmiyataa@
@the feeling that it is impossible to see reality@|@alabdhabhuumikatva@
@the festival of makara sankraant@|@saN^kraanti@
@the field@|@kshetraM@
@The fifteenth nakshatra. Can be spelt Svati@|@svaati@
@the fifth@|@paJNchamaM@
@the finest@|@anuttamaM@
@the finest chariot@|@rathottamaM@
@the finisher(destroyer) of the@|@nakta.ncharaantakam.h@
@the fire of death@|@kaalaanala@
@the fire of knowledge@|@GYaanaagniH@
@the firefly posture@|@tittibhaasana@
@the first letter@|@akaaraH@
@the fish posture@|@matsyaasana@
@the five potentials or senses@|@tanmaatraa@
@the five working sense organs@|@karmendriyaaNi@
@the foetus posture@|@garbhaasana@
@the fool@|@muuDhaH@
@the foot above posture@|@paadaasana@
@the forefathers@|@ushhmapaaH@
@the forehead@|@lalaaTa@
@the foremost@|@varishhTham.h@
@the format's name@|@anushhTup.h@
@the formidable posture@|@bheruNDaasana@
@the fortnight of the dark moon@|@kR^ishhNaH@
@the forty-nine Maruts (demigods of the wind)@|@marutaH@
@the foundation@|@sampratishhThaa@
@the four divisions of human society@|@chaaturvarNyaM@
@the four kinds@|@chaturvidhaM@
@the freehand headstand posture@|@mukta\-hasta\-shirshhaasana@
@the frog posture@|@maNDukaasana@
@the front of the body@|@purvottana@
@the front-stretching posture@|@kaTikaasana, purvottanaasana@
@the fruits of actions@|@karmaaNaM@
@the full set of senses@|@indriyagraamaM@
@the ganges@|@mandaakinii@
@the garland posture@|@maalaasana@
@the Gayatri hymns@|@gaayatrii@
@the giver@|@daataaraM@
@the god Indra@|@indraH@
@the god of death@|@yama@
@the god of this stotra@|@gaNapatirdevataa@
@the god of war@|@kaartikeya@
@the goddess in aGYaa chakra@|@haakiNii@
@the goddess in anaahata chakra@|@kaakiNii@
@the goddess in manipuraka@|@laakiNii@
@the goddess in mulaadhaara chakra@|@daakiNii@
@the goddess in svadhishthana@|@raakiNii@
@the goddess in vishuddha chakra@|@shaakiNii@
@the Golden Embryo of life and form@|@hiraNyagarbhaH@
@the grammatical formula ``DukRi.nkaraNe''@|@DukR^iJNkaraNe@
@the grandfather@|@pitaamahaH@
@the grandsire of the Kuru dynasty (Bhishma)@|@kuruvR^iddhaH@
@the great archer@|@parameshhvaasaH@
@the great elements@|@mahaabhuutaanii@
@the great god - Shiva@|@mahaadeva@
@the great souls@|@mahaatmaanaH, mahaatmanaH@
@the great symbol of sin@|@paapmaanaM@
@the greatest sinner@|@paapakR^ittamaH@
@the greatest yogi@|@yuktatamaH@
@the great-grandfather@|@prapitaamahaH@
@the groups@|@saN^ghaiH@
@the half headstand posture@|@ardhashirshhaasana@
@the half spinal-twist posture@|@ardhamatsyendraasana@
@the half-boat posture@|@ardhanavaasana@
@the half-locust posture@|@ardhasalabhaasana@
@the half-lotus posture@|@ardhapadmaasana@
@the half-moon posture@|@ardhachandraasana@
@the half-shoulderstand posture@|@ardhasarvaaN^gaasana@
@the handsome one@|@su.ndaram.h@
@the hand-to-big-toe posture@|@hasta\-paadaN^gushhThaasana@
@the head@|@shirshha@
@the head-knee posture@|@jaanu\-shirshhaasana@
@the headstand posture@|@paarshva\-shirshhaasana@
@the head-stand posture@|@shirshhaasana@
@the heavenly cow@|@kaamadhenu@
@the heavenly king@|@vaasavaH@
@the hero posture@|@viiraasana@
@the heron posture@|@krauJNchaasana@
@the hidden posture@|@guptaasana@
@the highest@|@adhimaatraatama, anuttamaaM, atyantaM@
@the highest goal of life@|@paramaaH@
@the highest perfection in mysticism@|@yogasa.nsiddhiM@
@the Himalayan mountains@|@himaalayaH@
@the homage to the sun posture@|@suurya\-namaskaara@
@the horseface posture@|@vaataayanaasana@
@the husband or lord of sItA@|@siitaapatiH@
@the hut-builder@|@kuTiichaka@
@the ignorant@|@avidvaa.nsaH@
@the ignorant person@|@aGYa@
@the impetus@|@chodanaa@
@the individual soul@|@jiivaatmaa@
@the inferior man@|@niicha@
@the inner self@|@antaraatmaa@
@the inseparable or the non-dual@|@advitiiyaH@
@the intelligent@|@kavayaH@
@the intelligent person@|@budhaH@
@the jewel of the kings or the king of jewels@|@raajamaNiH@
@the jujube fruit (``bora'' in marathi)@|@badarikaa@
@The junctional point of two consecutive bhaavas@|@sandhi@
@the karma to which one is born@|@sahaja@
@the killer@|@hantaaraM@
@the killer of Madhu@|@madhusuudanaH@
@the kind-hearted@|@dayaaluH@
@the king@|@naraadhipaM@
@the king of confidential knowledge@|@raajaguhyaM@
@the king of education@|@raajavidyaa@
@the King of Kasi (Varanasi)@|@kaashyaH@
@the king of mountains(Himaalayaas)@|@shailaadhiraaja@
@the kingdon of Ravana@|@laN^kaa@
@the knee squeeze posture@|@pavanamuktaasana@
@the knower@|@pariGYaataa, vetta@
@the knower of everything@|@sarvavit.h@
@the knower of the Absolute Truth@|@tattvavit.h@
@the knower of the field@|@kshetraGYaH, kshetraGYaM@
@the knower of the Vedas@|@vedavit.h@
@the knowers of the three Vedas@|@traividyaH@
@the knowledge of gaNeshha@|@gaNeshavidyaa@
@the knowledgeable or wise person@|@visheshhaGYa@
@the Krishna posture@|@kR^ishhNaasana@
@the lateral plough posture@|@paarshva\-halaasana@
@the laudable one of the people@|@lokaabhiraamaM@
@the laudable rAma for all the three worlds@|@abhiraamastrilokaanaaM@
@the learned@|@paNDitaaH@
@the learned man@|@praaGYaH@
@the leaves@|@parNaani@
@the less intelligent@|@alpabuddhayaH, baalaaH@
@the letter `a'@|@akaaro@
@the letter groups or caste groups@|@varNaadii.n@
@the letter or sound `ga.n@|@ga.n@
@the liberated posture@|@muktaasana@
@the liberation@|@mokshaM@
@the lion@|@mR^igendraH@
@the lion posture@|@si.nhaasana@
@the living entities@|@jantavaH@
@the living entity@|@dehiinaM@
@the living force@|@chetanaa@
@the locked gate posture@|@parighaasana@
@the locust posture@|@shalabhaasana@
@the Lord Indra@|@indro@
@the Lord MahaavishhNu@|@vishhNuH@
@the Lord of creatures@|@prajaapatiH@
@the lord of Death@|@yamena@
@the lord of Hanuman@|@hanumatprabhuH@
@the lord of kings@|@raaje.ndraM@
@the lord of ramA(sItA)@|@rameshaM@
@the Lord of the Dance posture@|@nataraajaasana@
@the lord of the Raghu family@|@raghuva.nshanaatham.h@
@the lord of the treasury of the demigods@|@vitteshaH@
@the Lord who shines@|@vibhum.h@
@the lotus feet of the teacher/guru@|@gurucharaNaambuja@
@the lotus posture@|@padmaasana@
@the lotus-eyed@|@raajiivanetraM@
@the loved of the Brahmins@|@viprapriyaM@
@the lowest of mankind@|@naraadhamaan.h@
@the maintainer@|@dhaataaraM@
@the maintainer of all living entities@|@bhuutabhartR^i, bhuutabhR^it.h@
@the maintainer of everyone@|@sarvabhR^it.h@
@the man who broke the bow of Isha(shiva) i.e. rAm@|@bhagneshakaarmukaH@
@the man who gave `shrI' riches etc@|@bibhiishhaNashriidaH@
@the man who speaks or utters@|@vaktaaram.h@
@the man with `shrI' i.e. the endowed man@|@shriimaan.h@
@the man with divine weapons@|@divyaayudhaH@
@the man with good deeds@|@sukR^itii@
@the man-lion@|@narasi.nha@
@the master@|@svaamii@
@the master of curbing ignorance@|@guDaakeshaH@
@the master of mysticism@|@yogeshvaraH@
@the master of the city of the body@|@prabhuH@
@the material manifestation@|@adhibhuutaM@
@the means@|@kaaraNaM, karaNaM@
@the means for doing one's duty@|@dharmasaadhanaM@
@the members of the Kuru dynasty@|@kuruun.h@
@the members of the royal order@|@kshatriyaaH@
@the mercy of the Lord@|@prasaadaM@
@the messenger of rAma@|@shriiraamaduutaM@
@the messengers of the lord of death (yama)@|@yamaduutaanaaM@
@the mind@|@aatmaanaM@
@the mind free from desire@|@aamanaska@
@the mode of goodness@|@sattve@
@the mode of ignorance@|@tamasi@
@the mode of passion@|@rajoguNa@
@the month of November-December@|@maargashiirshhaH@
@the moon@|@shashaaN^kaH, shashii, somaH@
@The Moon@|@soma@
@the Moon god@|@cha.ndramaaH@
@the moon planet@|@chaandramasaM@
@the mortal world@|@jiiva-loka@
@the most auspicious moment@|@abhijin.hmuhuurta@
@the most confidential@|@guhyatamaM@
@the most confidential of all@|@sarvaguhyatamaM@
@the most perfect in his endeavors@|@kR^itakR^ityaH@
@the most perfect in knowledge of yoga@|@yogavittamaaH@
@The most popular Dasha method in use today@|@vi.nshottari@
@the most powerful mystic@|@mahaayogeshvaraH@
@the mother of the gods@|@aditii@
@the mountain posture@|@parvataasana@
@the mouth@|@vaktra@
@the mouths@|@vaktraaNi@
@the movement@|@gati@
@the name of the mother of Hanuman@|@aJNjana@
@the names of rAma@|@naamabhiH@
@the nature of the king of animals@|@mR^ige.ndrataa@
@the nerve-power posture@|@shakti\-chaalinii@
@the nether world(?)@|@svaH@
@the noose posture@|@paashaasana@
@the object of meditation@|@bhumii@
@the objects of the senses@|@indriyagocharaaH@
@the ocean@|@saagaraH, samudraM@
@the ocean of `karuna' (compassion)@|@karuNaarNavaM@
@the ocean of births and deaths@|@bhavasaagaraM@
@the ocean of miseries@|@vR^ijanaM@
@the oldest@|@puraaNaH, puraaNaM@
@the OM posture@|@oN^karaasana@
@the one bound by Truth@|@satyasa.ndhaM@
@the one giving comfort@|@sukhada@
@the one going before Bharata (elder of bharata)@|@bharataagraja@
@the one granting boons@|@varada@
@the one induces compassion@|@karuNaakara.n@
@the one struck by rAma@|@raameNaabhihataa@
@the one syllable@|@ekaaksharaM@
@the one to be worshipped@|@paraayaNaM@
@the one who crosses@|@taariNi@
@the one who knows everything@|@kaviM@
@the one who prevents@|@vaariNi@
@the one whose arms extend upto his knees@|@aajaanubaahuM@
@the one with garlan@|@maalinii@
@the opposite@|@vipariitaM@
@the origin@|@aadiH, aadiM@
@the original Lord@|@aadidevaM@
@the original source@|@aabhaasaM@
@the original Supreme God@|@aadidevaH@
@the paan (betel leaf)@|@naagavalli@
@the pair of night and moon@|@raatrichandrau@
@the peacock posture@|@mayuraasana@
@the people in general@|@lokasa.ngrahaM@
@the perfection of nonreaction@|@naishhkarmyasiddhiM@
@the person budhakaushika@|@budhakaushika@
@the person who has ben protected(by)@|@rakshitaM@
@the Personality of Godhead@|@vaasudevaH@
@the personification of compassion@|@kaaruNyaruupaM@
@the philosophical parts of the Vedas.@|@upanishhad.h@
@the place where the three main nadis join@|@kanda@
@the planets@|@gaaM@
@the pleasant@|@priyaM@
@the pleasures of the gods@|@devabhogaan.h@
@the plough posture@|@halaasana@
@the poetry-branch (of a tree)@|@kavitaashaakhaaM@
@the posterior stretch posture@|@brahmacharyaasana, ugraasana@
@the posture of Matsyendra@|@matsyendraasana@
@the power or might of the kshatriyas or kings@|@kshatriyabalaM@
@the practices of pranayama and pratyahara@|@antaraN^ga@
@the preceptor@|@brahman.h@
@the preserver of life@|@vishhNu@
@the primeval lord@|@aadiishvara@
@the principle of goodness@|@su-vR^it-tattva@
@the principle of objective existence@|@adhibhuta@
@the principle of sacrifice@|@adhiyaGYa@
@the principle of self@|@adhyaatma@
@the principle of subjective existence@|@adhidaiva@
@the prone posture@|@advaasana@
@the prosody form is `nichR\^it.h gAyatrii'@|@nichR^idgaayatriichchha.ndaH@
@the prosperous posture@|@svastikaasana@
@the protection of Lord Rama@|@shriiraamarakshaa@
@the protector@|@makhatraataa@
@the purification of the nadis@|@naaDiishodhana@
@the quality/state of Brahman/god-realisation@|@vishhNutvaM@
@the rAkshasaas@|@rakshaH@
@the red one (raktaM may mean blood also)@|@raktaM@
@the regulations of the scriptures@|@shaastravidhiM@
@the religious one@|@dhaarmikam.h@
@the remover]destroyer@|@apahartaaraM@
@the renouncer@|@tyaagii@
@the repose posture@|@shayanaasana@
@the rest@|@pratishhThaa@
@the result of an action@|@karmaphala@
@the results of all activities@|@karmaphalaM@
@the results of their pious activities@|@puNye@
@the Rg Veda@|@R^ik.h@
@the Rig Veda@|@R^ichaH@
@the rishi of this stotra is gaNaka@|@gaNakaR^ishhiH@
@the River Ganges@|@jaahnavii@
@the royal swan@|@raajaha.nsaH@
@the Sadhyas@|@saadhyaaH@
@the sage@|@R^ishhiH@
@the sage among the demigods@|@devarshhiH@
@the sages@|@munayaH@
@the saintly kings@|@raajarshhayaH@
@the Sama Veda@|@saama, saamavedaH@
@the scales posture@|@tolaasana@
@the scorpion posture@|@vR^ishchikaasana@
@the sea of Ganga (banks of the Ganges)@|@gaN^gaasaagara@
@the seed@|@biijaM@
@the seed-giving@|@biijapradaH@
@the self@|@dehii@
@the self-controlled@|@sa.nyamii@
@the senses@|@indriyaaNi@
@the sentiment of disgust (nauseating@|@biibhatsa@
@the sentiment of fear@|@bhayaanaka@
@the sentiment of happiness@|@shaanta@
@the sentiment of humor@|@haasya@
@the sentiment of love@|@shR^i.ngaara@
@the sentiment of marvel@|@adbhuta@
@the sentiment of sorrow@|@karuNaa@
@the sentiment of valor@|@viira@
@the sentiment of violence@|@raudra@
@the shooting bow posture@|@aakarNa\-dhanuraasana@
@the shoulderstand posture@|@sarvaaN^gaasana@
@the side@|@paarshva@
@the side relaxation posture@|@dR^iDhaasana@
@the sideways bow posture@|@paarshva\-dhanuraasana@
@the sideways crow posture@|@paarshvaakakaasana@
@the sideways leg-splits posture@|@samakonaasana@
@the sideways shoulderstand posture@|@paarshva\-sarvaaN^gaasana@
@the singing (chirping) one@|@kuujat.h@
@the situation@|@vyavasthitiH@
@the six@|@shhashhThaaNi@
@the six months@|@shhaNmaasaaH@
@the sixth house in a Rashi or bhaava chart@|@ari-bhaava@
@the sky@|@aakaashaM, nabhaH@
@the sober@|@dhiiraH@
@the soldiers@|@yodhaaH@
@the soldiers of the Pandavas@|@paaNDavaaniikaM@
@the son of dasharatha@|@dasharathatanayaM@
@the son of Kunti@|@kaunteyaH, kuntiiputraH@
@the son of Somadatta@|@saumadattiH@
@the son of Subhadra@|@saubhadraH@
@the son of the wind-god (`vAta' or `vAyu)@|@vaataatmajaM@
@the sons of Dhritarashtra@|@dhaartaraashhTraaH, dhaartaraashhTraan.h@
@the sons of Draupadi@|@draupadeyaaH@
@the sons of Pandu@|@paaNDavaaH@
@the soul@|@kshetrii@
@The soul within the Divine sphere@|@paramaatman.h@
@the sound@|@naadaH@
@the sound AUM@|@aauuM-kaara@
@the sound sat@|@sachchhabdaH@
@the source of all manifestations@|@bhuutabhaavanaH@
@the source of manifestation@|@prabhavaH@
@the space between the breaths@|@sangiita@
@the spinal column@|@merudaNDa@
@the spinal cord@|@sushumnaa@
@the spirit@|@saakshatkaara@
@the spiritual kingdom of God@|@brahmanirvaaNaM@
@the spiritual sky (the kingdom of God)@|@matsa.nsthaaM@
@the spleen@|@gulma, plihaa@
@the splits@|@aJNjaneyaasana, hanumaanaasana@
@the staff posture@|@daNDaasana@
@the state of the mind in a dream@|@svapnaavasthaa@
@the state of the mind in dreamless sleep@|@sushhuptii\-avasthaa@
@the state/position of Brahma/god-realised state@|@brahmapadaM@
@the step@|@padaM@
@the stick posture@|@yashhTikaasana@
@the stock-pile of good qualities@|@guNanidhiM@
@the stock-pile of knowledge (here rAma)@|@vidyaanidhiH@
@the strength@|@sattvaM@
@the sun@|@ha, raviH, suuryaH@
@the sunshine@|@dyutiM@
@the superiors@|@gurun.h@
@the Supersoul@|@adhiyaGYaH, iishvaraM, paramaatma, parameshvaraM@
@the supine back-stretching posture@|@supta\-paschimottanaasana@
@the supine big toe posture@|@supta\-paadaaN^gushhThaasana@
@the supine bound lotus posture@|@supta\-baddha\-padmaasana@
@the supine head-knee posture@|@supta\-jaanu\-shirshhaasana@
@the supine thunderbolt posture@|@supta\-vajraasana@
@the supported shoulderstand posture@|@saalamba\-sarvaaN^gaasana@
@the supporter of life - Vishnu@|@naaraayaaNa@
@the supreme@|@paramaaM@
@the Supreme Lord@|@iishvaraH, maheshvaraH, maheshvaraM, matparamaaH, vibhuH@
@the supreme one@|@adhimaatraatama@
@the Supreme Personality of Godhead@|@hariH, purushhottamaM@
@the Supreme Personality of Godhead said@|@shriibhagavaanuvaacha@
@the supreme spirit@|@paramaatmaa@
@the swan posture@|@ha.nsaasana@
@the swing posture@|@lolaasana@
@the syllable om@|@OMkaara@
@the teacher@|@aachaaryaM@
@the teacher Drona@|@droNa@
@the ten avataara-s of Vishnu@|@dashaavataara@
@the terrific conchshell@|@mahaashaN^khaM@
@the the hunkering posture@|@utkaTaasana@
@the three letters a-u-m@|@praNavaH@
@the three modes of nature@|@guNaan.h@
@the thunderbolt@|@vajraM@
@the thunderbolt contraction@|@vajrolii@
@the thunderbolt posture@|@vajraasana@
@The title of king@|@nR^ipatva@
@the tortoise (leg-lock) posture@|@kurmaasana@
@the tree posture@|@vR^ikshaasana@
@the triangle posture@|@trikoNaasana@
@The Tropical Zodiac with precession@|@saayana@
@the tusked one@|@da.ntii@
@the twelve sons of Aditi@|@aadityaan.h@
@the twenty-four categories of thatnes@|@tattva@
@the two Asvinis@|@ashvinau@
@the two brothers@|@bhraatarau@
@the two youths@|@yuvaa@
@the umbilical cord?@|@prajaata.ntuM@
@the unborn one@|@ajasraM@
@the understanding of oneself@|@svasa.nvedana@
@The Universal Sound. Vibration@|@nada@
