@English@|@Maliseet@
@stop a childs crying: SB ~s@|@cikonahke (vai)@
@stop bothering him: SB ~s@|@cikihtuwal (vta)@
@stop for a while: SB ~s@|@ankuwakhucu (vai)@
@stop SB from bleeding by closing SB (vein): SB ~s@|@koppiqqahal (vta)@
@stop ST from bleeding by closing ST (wound): SB ~s@|@koppiqqehmon (vti)@
@stop: SB ~ ped running before reaching the finish@|@nuttoqa-qasku (vai)@
@stop: ST ~s completely by hitting ST soft@|@mecimcoktehson (vii)@
@stop: ST hits ST and ~s completely@|@mecimtehson (vii)@
@stopping (process@|@meht- (pv)@
@stopping (process extension)@|@meht- (pv)@
@stopping (process/extension)@|@mehc- (pc), met- (pv)@
@stopping by@|@nimskew (pc)@
@stopping by briefly@|@nimskiy- (pv)@
@storage container@|@tuwahtahsut (-iyil)@
@store@|@makasanikuwam (-ol)(ni)(Ma), malsanikuwam (-ol)(ni)@
@store: convenience ~@|@sapsis (ol)(ni)@
@storekeeper@|@malsan (-ok)(na), nuci-sapsisket (na)@
@store-keeper@|@malsanhok (-ik)(na)@
@storekeeper: SB is a ~@|@malsanhom (vai)@
@storekeepers@|@nuci-sapsiskecik (na-pl)@
@stories: SB makes up ~@|@ksonoqe (vai)@
@stork@|@kasq (na)@
@stork: small ~@|@kasqehsis (na dim)@
@storm at SB (lightning)@|@monomeqalal (vta)@
@storm at ST (lightning)@|@monomeqatomon (vti)@
@storm is coming from there@|@tamoqesson (vii), tamoqessu (vii)@
@storm lasts until dawn@|@cehqonamoqessu (vii)@
@storm with strong wind: there is a severe ~@|@wisokamoqessu (vii)@
@storm: a ~ arrives@|@petamoqessu (vii)@
@storm: a ~ comes@|@petamoqessu (vii)@
@storm: a ~ passes by@|@tutamoqesson (vii)@
@storm: ST is too violent of a ~@|@samamoqesson (vii)@
@storm: there is a severe ~@|@tutamoqessu (vii)@
@storm: there is a severe ~ with strong wind@|@wisokamoqessu (vii)@
@storming: ST is always ~@|@wikkiskot (vii)@
@story@|@acomuwakon (-ol)(ni), akonutomakon (ni), atkuhkakon (-ol)(ni)@
@story: SB tells a ~@|@acomu (vai)@
@story: SB tells old ~@|@atkuhke (vai)@
@story: short ~@|@acomuwakonossis (ni dim)@
@story: tell many or a variety of ~s about SB@|@milakonimal (vta)@
@story: tell SB many ~s@|@milakonutomuwal (vta)@
@stout: SB is ~ (person)@|@kinaqsu (vai)@
@stove@|@papskot (-iyil)(ni)@
@stove pipe@|@tomakonahtoq (na)@
@stove: cooking surface of@|@tehsapskot (-iyil)(ni)@
@stovepipe@|@tomakon (-ok)(na), sqotewonikon (-ok)(na)@
@straight@|@kiyahqiw (pc), tetp- (pv)@
@straight across@|@ksokayahqiw (pc)@
@straight ahead@|@kiyahqiw (pc)@
@straight line: SB goes in a ~@|@kiyahqessu (vai)@
@straight up@|@motkayiw (pc)@
@straight: SB extends in a ~ line@|@sasokatokopu (vai)@
@straight: SB flies ~@|@sasokituwiye (vai)@
@straight: SB is ~@|@tetpeyu (vai)@
@straight: SB is extended ~ (string-like)@|@sasokatokosu (vai)@
@straight: SB moves in a ~ line@|@sasokiye (vai)@
@straight: SB or ST is ~@|@kiyahqakiye (vai/vii)@
@straight: ST extends in a ~ line@|@sasokatokahte (vii)@
@straight: ST is ~@|@tetpeyu (vii)@
@straight: ST is ~ (ST stick-like)@|@tetpahqot (vii)@
@straight: ST is ~ (vertical or horizontal)@|@kiyaqte (vii)@
@straight: ST is a ~ length (string-like)@|@sasokatokot (vii)@
@straight: stretch SB . ~@|@sasokatokehlal (vta)@
@straight: stretch SB ~@|@sasokatokehlal (vta)@
@straighten SB@|@ulatokehlal (vta)@
@strain SB@|@sikuskalal (vta), sikuskanal (vta)@
@strain self: SB ~s (injured muscles)@|@atkikonessu (vai) (-wok)@
@strain ST@|@sikuskanomon (vti)@
@strainer@|@sikuskanikon (-ok)(na)@
@strand: ST has one ~@|@qotatokiye (vii)@
@stranded: SB is well ~@|@wolatokosu (vai)@
@strange looking: ST is ~@|@assokinaqot (vii)@
@strange way of working: SB has a ~@|@assokoluhke (vai)@
@strange ways: SB has ~@|@assokeyu (vai)@
@strange: SB is ~@|@assokomahtu (vai)@
@strange: ST ~@|@assokinaqot (vii)@
@strangely@|@assoki (assok-)(pv)@
@strangle SB: SB ~s@|@koskotunenal (vta)@
@strap: hide ~@|@motekonap (-iyil)(ni)@
@straw: strand of ~@|@pskihq (-ol)(ni)@
@strawberry@|@pskihqimins (-ok)(na)@
@street@|@awt (-iyil)(ni)@
@strength: match SB in ~@|@poqahsonuhtuwal (vta)@
@strenth: equal ST in ~@|@poqahsonuhtomon (vti)@
@stress ST@|@piyemolamuhtomon (vti)@
@stretch SB straight@|@sasokatokehlal (vta), sasokatokehlal (vta)@
@stretch ST@|@siptokehtun (vti)@
@stretch the truth: SB ~s@|@ksonnoqe (vai)@
@stretch: SB ~ es@|@siptoku (vai)@
@stretched out to dry: SB is ~@|@sipekhucin (vai)@
@stretched: SB is ~ out to dry@|@sipekhucin (vai)@
@strict: SB is ~@|@ahqiku (vai)@
@strike closely overlapping marks on SB: SB ~s@|@cihciqapekomehtuwal (vta)@
@strike out (baseball): SB ~s@|@awahsihike (vai)@
@strike overlapping marks on SB: SB ~s (ash log)@|@koskapekomehtuwal (vta)@
@strike SB@|@monomeqalal (vta)@
@strike SB for splints@|@pipuwihtahal (vta)@
@strike SB: SB can ~@|@kistahal (vta)@
@strike sharply against ST: SB ~s@|@ksatokihtehsin (vai)@
@strike ST@|@monomeqatomon (vti)(Ma)@
@strike ST and break in two: ST ~s@|@tomtehson (vii)@
@strike: SB ~s head-first@|@olomomtehsin (vai), olonomtehsin (vai)@
@string@|@-ap (n rt f), ahpapossis (na dim)@
@string ST@|@naphomon (vti)@
@string ST correctly@|@ultokhomon (vti)@
@string: ST is one ~@|@qotatokiye (vii)@
@stringed musical instrument@|@lapektuhusut (ni)@
@stringer (carpentry)@|@kesokayaqopit (na)@
@stringing: SB is ~ beads@|@tolapskihike (vai)@
@strip parts from SB@|@musikonal (vta)@
@strip SB of parts: SB ~s (bicycle)@|@keccehsuwalal (vta)@
@strip splints from SB (ash log)@|@monikpehlal (vta)@
@strip: ST is ~@|@pomtokte (vii)@
@striped fabric@|@amaleksokey (ni)@
@stripping parts or possessions@|@musik- (pv)@
@strong enough to resist SB@|@tepsonuhtuwal (vta)@
@strong enough: ST is ~@|@tepsonuwiw (vii)@
@strong taste: ST has a ~@|@ksihpukot (vii)@
@strong: SB feels@|@sakolomolsu (vai)@
@strong: SB has ~ arms@|@molihkiptine (vai)@
@strong: SB has ~ constitution@|@sakolitehe (vai)@
@strong: SB is ~@|@kinsonu (vai)@
@strong: SB is ~ (physically)@|@molihkikone (vai), moliksonu (vai)@
@strong: SB is ~ willed@|@sakolitehe (vai)@
@strong: SB is barely ~ enough@|@pqahsonu (vai)@
@strong: SB is so ~@|@tutsonu (vai)@
@strong: ST is ~ (liquor)@|@ksahsonuwiw (vii)@
@strong: ST is ~ enough@|@tepsonuwiw (vii)@
@strong: ST is too ~@|@samsonuwiw (vii)@
@struck SB: SB ~@|@kistahal (vta)@
@strung: SB (tennis racket/violin) is ~@|@lapekhasu (vai/vii)@
@strung: SB is ~@|@nashutasu (vai)@
@strung: SB is ~ all over (string-like)@|@sissiyatokopu (vai)@
@strung: ST is ~@|@nashutasu (vii)@
@strutt: SB ~s@|@palessu (vai)@
@stubborn: SB is ~@|@sikiku (vai), sikomtu (vai)@
@stucco@|@akiyahq (na)@
@stucco: SB ~es ST@|@akiyaqhomon (vti)@
@stuccoed: ST is ~@|@akiyaqhasu (vii)@
@stuccoes: SB ~@|@akiyaqhike (vai)@
@stuck on ST sticky: SB or ST is ~@|@kolocoqe (vai or vii)@
@stuck on: SB is ~@|@kolopu (vai)@
@stuck on: ST is ~@|@kolte (vii)@
@stuck: SB gets ~ in it@|@mecimtehsinon (vai+o)@
@stuck: SB/ST is ~@|@kolomu (vai/vii)@
@stuck: ST gets ~ in snow@|@mecimaliye (vii)@
@stuck: ST is ~@|@mecimcokiye (vii)@
@stuck: ST is ~ in a layer@|@sikcokekte (vii)@
@stuck: ST is ~ permanently@|@mecimcoqe (vii)@
@stud@|@maskap (-iyik)(na), nutolusessit (na)@
@stud (architecture)@|@sehkomit (na)@
@stuff SB (e.g.chicken/pipe)@|@pitkomalal (vta)@
@stuff ST@|@pithomon (vti), pithotuhkatomon (vti)@
@stuff: ST is ~ ed@|@pithasu (vii)@
@stumble: SB ~s@|@qastehsin (vai)@
@stump in ground@|@pukconahq (ni)@
@stump of driftwood@|@pukconahq (ni)@
@stump: tree ~@|@cahahq (ni)@
@stumps@|@pukconahkul (ni-pl)@
@stumps of driftwood@|@pukconahkul (ni-pl)@
@sturgeon@|@pasokos (-uwok)(na)@
@stutter: SB ~s@|@nokhoma (vai)@
@style hair@|@uluwahal (vta)@
@style SB's hair@|@uluwenal@
@stymied: SB is ~@|@celessu (vai), cocelessu (vai)@
@subject@|@ankeyuwut (na)@
@submerge SB@|@namoqicehlal (vta)@
@suck and swallow SB whole (piece of food)@|@moscehtamal (vta)@
@suck and swallow ST whole (piece of food)@|@moscehtatomon (vti)@
@suck ST@|@nunatomon (vti)@
@suckle SB@|@nunuwal (vta)@
@sudden: all of a ~@|@kamotu (pc)@
@suddenly@|@kamotu (pc), komotu (pc), sesolahk- (pv), sesolahki-te (pc), sesolahkiw (pc), solahkiw (pc), wikinaq (pc)@
@suddenly and without apparent reason@|@tehpu qeni (pc)@
@suface: on the ~@|@skic- (pv), sqic (pv)@
@suffer: SB ~s@|@sikawsu (vai)@
@suffer: SB ~s hardship@|@sikonoma (vai), sikonoma (vai)@
@suffer: SB ~s physical pain@|@sikomolsu (vai)@
@suffering involved@|@siki ('sik-)(pv)@
@suffering: SB's life is filled with ~@|@sikawsu (vai)@
@suffocate: SB ~s@|@wehqalamuhsuhke (vai)@
@sugar@|@sukol (-ol)(ni)@
@sugar bowl@|@mahqaninut (-iyik)(na), sukolinut (-iyik)(na)@
@sugar bush: in or to ~@|@mahqankatik (nl)@
@suitable: ST is ~@|@wolihkomawiw (vii)@
@sumac berry: staghorn ~@|@solanimin (ni)@
@sumac: staghorn ~@|@solanimus (-iyik)(na)@
@summer: all ~@|@qoci-nipon (pc)@
@summer: all ~ long@|@qoci-nipon (pc)@
@summer: in the ~@|@niponiw (pc)@
@summer: ST is ~@|@nipon (vii)@
@summon@|@wihqimal (vta)@
@sun@|@kisuhs (-ok)(na)@
@sun dog@|@oposenta (-wok)(na)@
@sun: little ~@|@kisuhsis (na dim)@
@sunbathe: SB ~s@|@ksalosuhke (vai)@
@sunburn: SB gets ~@|@pqaqosu (vai)@
@Sunday.: SB spends ~ doing ST@|@sonte (vai)@
@Sunday: on ~@|@sontihiw (pc)@
@Sunday: SB spends ~ doing ST@|@sonte (vai)@
@Sunday: ST is ~@|@sonte (vii)@
@sunfish@|@sikonoss (-ok)(na)@
@sunflower@|@kisuskan (ni)@
@sunflower: little ~@|@kisuskansis (ni dim)@
@sunflower: wild ~@|@minsossimahtek (-il)(ni), minsossuwimahtek (-il)(ni)@
@sunlight: there is direct ~@|@pokotolate (vii)@
@sunny: ST is ~@|@kisuhsuwiw (vii)@
@sunshade@|@akuwahtihikon (ni)@
@sunshine: there is ~@|@kisuhsuwiw (vii)@
@supernatural@|@pisuw- (pv/pn)@
@supernatural being@|@pisuwin (-ok)(na)@
@supper: SB comes to eat@|@peci-wolaqihpu (vai)@
@suppertime@|@wolaqihpuwakon (ni)@
@supplies@|@piyemiye (vii)@
@support@|@cetuwaqhomon (vti), cecononikon (na), cetuwihikon (na)@
@support SB by accompanying SB: SB ~@|@ceconihkuwal (vta)@
@support SB: SB ~s@|@cetuwaqhomuwal (vta)@
@supporting@|@ceconi (cecon-)(pv)@
@surace: ST goes across the ~ of ST@|@sqiciye (vii)@
@sure enough@|@kehtol (pc)@
@sure: for ~@|@pehki (pc), pehkiw (pc)@
@sure: ST is ~@|@pehkitahamqot (vii)@
@surely@|@cu (pc)@
@surely somehow (ST is bound to happen)@|@cu tan (pc)@
@surface of water@|@skitpeq (pc)@
@surface: on the ~@|@skiciw (pc), sqit- (pv)@
@surface: skimmimg the ~@|@sqit- (pv)@
@surface: skimming the ~@|@skic- (pv), sqic (pv)@
@surface: ST goes across the ~@|@skiciye (vii)@
@surpass SB in height@|@siyepkiluhtuwal (vta)@
@surpris ed: SB is ~@|@assokitahasu (vai)@
@surprise: emphatic expression of ~@|@tahk (pc)@
@surprise: SB comes upon SB by ~@|@keskuhtehkuwal (vta)@
@surprisingly@|@assoki (assok-)(pv)@
@survey ST@|@t-olikapuwahmon (vti)@
@surveyor@|@nuci-tpaskutahsit (na)@
@surveyors@|@nuci-tpaskutahsicik (na-pl)@
@survive: SB ~s (while others do not)@|@sqawsu (vai)@
@survive: SB ~s by it@|@utawsin (vai)@
@survive: SB ~s hard times@|@siqonawsu (vai)@
@survive: SB ~s until spring@|@siqonawsu (vai)@
@survived: SB has ~@|@kisawsu (vai)@
@suspect him regardless: SB ~s@|@kapehlal (vta)@
@suspect SB@|@piluwitahamal (vta)@
@suspenders@|@polcisapiyil (ni-pl)@
@swallow SB whole (piece of food)@|@moscehlal (vta)@
@swallow ST whole@|@moscehtun (vti)@
@swallow ST: SB ~s@|@koloqehtun (vti)@
@swallow: SB ~s@|@koloqehtamu (vai)@
@swallow: SB ~s something whole@|@psocehtamu (vai)@
@swallow: SB cannot ~@|@aluwi-koloqehtamu (vai)@
@swamp@|@pkuwahq (ni)@
@swamp dewberry@|@sosoqimins (-ok)(na)@
@swamps@|@pkuwahkul (ni-pl)@
@swear at SB@|@nipskalomimal (vta)@
@swear: SB ~s@|@nipskatuwe (vai), spi-wolame (vai)@
@swear: SB ~s all the time@|@nipskatuwesku (vai)@
@sweat profusely: SB ~s@|@ktanaqalosu (vai)@
@sweat: SB ~s@|@alosu (vai), ksalosuhke (vai)@
@sweat: SB breaks into a ~@|@muskalosu (vai)@
@sweep SB (wood shavings): SB ~s@|@cihkahal (vta)@
@sweep ST together@|@maqekomon (vti)@
@sweep ST: SB ~s (dirt dust floor or sidewalk)@|@cihkehmon (vti)@
@sweep: SB ~s@|@cihkihike (vai)@
@sweet flag (Acorus calamus)@|@kiwhosuwasq (ni)@
@sweet: anything ~@|@mahqan (-ol)(ni)@
@sweet: ST tastes ~@|@mahqanihpukot (vii), sukolihpukot (vii)@
@sweetgrass@|@suwitokolasol (ni), welimahaskil (ni-pl)@
@sweetgrass picker@|@nuci-suwitokolasket (na)@
@sweetgrass pickers@|@nuci-suwitokolaskecik (na-pl)@
@sweetgrass: waste from braiding ~@|@piyatokonikon (ni)@
@sweetheart: SB's ~@|@mahqanomol (na-d)@
@sweetie: SB's ~@|@mahqanomol (na-d)@
@swell: SB ~s@|@moqisu (vai)@
@swell: ST ~s@|@moqin (vii)@
@swift: SB ~ ly arrives@|@pecessu (vai)@
@swiftly: SB goes ~@|@sahsessu (vai)@
@swiftly: ST goes ~@|@sahsessu (vii)@
@swig: SB takes a big ~ of it@|@memhuwossomin (vai+o)@
@swig: SB takes big ~s habitually@|@memhuwossomosku (vai)@
@swim as means of moving from one place to another@|@-hom- (v rt)@
@swim as means of travel@|@-ohom- (v rt)@
@swim to cool off: SB ~s@|@tkahsomu (vai)@
@swim under: SB ~s@|@neqhom (vai)@
@swim underwater near the surface: SB ~s@|@skitoqotehe (vai)@
@swim: SB ~s along@|@pomhom (vai)@
@swim: SB ~s around@|@yalhom (vai)@
@swim: SB ~s around underwater@|@yalamehe (vai)@
@swim: SB ~s backstroke@|@sehtahom (vai)@
@swim: SB ~s backward@|@sehtahom (vai)@
@swim: SB ~s by@|@tuthom (vai)@
@swim: SB ~s here@|@pethom (vai)@
@swim: SB ~s into view@|@sakhohom (vai)@
@swim: SB ~s on top of ST submerged@|@tehsaqhom (vai)@
@swim: SB ~s there@|@olhom (vai)@
@swim: SB ~s to cool off@|@tkahsomu (vai)@
@swim: SB ~s under@|@neqhom (vai)@
@swim: SB ~s underwater in that direction@|@oloqoqotehe (vai)@
@swimming pool: enclosed ~@|@tkahsomuwikuwam (-ol)(ni)@
@swimming: SB is ~ underwater@|@toloqotehe (vai)@
@swimsuit@|@tkahsomuwey (-al)(ni)@
@swindle SB@|@pahculal (vta)@
@swing@|@lapekessut (ni)@
@swing: SB ~s well@|@wolapekiye (vai)@
@swing: ST ~s well@|@wolapekiye (vii)@
@swinging: SB is ~@|@tolapekiye (vai)@
@swinging: ST is ~@|@tolapekiye (vii)@
@switch (from a tree branch)@|@ipis (ni)@
@swollen: SB is ~@|@moqisu (vai)@
@swollen: ST is ~@|@moqin (vii)@
@sword@|@sapaqtuhusut (-iyil)(ni)@
@swordfish@|@pihcossekonat (na)@
@swordfishes@|@pihcossekonacik (na-pl)@
@syringe@|@sahkat (-iyik)(na)@
@syrup@|@-ap (ni rt f)@
@t.v.@|@sakihwewey (-al)(ni)@
@table@|@tuwihput (-iyil)(ni)@
@table: coffee (any furniture with short legs)@|@cinikatahasossok (ni)@
@tablecloth@|@tuwihputiyey (-al)(ni)@
@tackle: fishing ~@|@amakon (ni)@
@tack-welds: SB ~@|@sitaqosike (vai)@
@tag SB out (baseball)@|@samtahal (vta)@
@tail: SB's ~@|@soqon (ni-d)@
@tailor@|@nuci-pqishiket (na), nuciqahsit (na)@
@tailors@|@nuci-pqishikecik (na-pl)@
@take (and hold or carry) SB@|@wihqehlal (vta)@
@take advantage of SB@|@t-uwehkahal (vta), t-uwehkahal (vta)@
@take all of SB@|@nokkanal (vta)@
@take all of SB's things@|@musikonal (vta)@
@take all of ST@|@nokkanomon (vti)@
@take all of ST of SB's@|@pehkonomuwan (vt2o)@
@take all the money from SB's pockets@|@nokka-siqalokonal (vta)@
@take bath: SB ~s@|@kospahlosu (vai)@
@take boy/girl-friend from SB@|@piyemkuwal (vti)@
@take care of SB@|@t-otolankeyuwal (vta)@
@take care of SB thus@|@t-olankeyuwal (vta)@
@take care of SB: SB ~s@|@ankeyuwal (vta)@
@take care of ST: SB ~s@|@ankeyutomon (vti)@
@take good care of SB@|@ulankeyuwal (vta)@
@take good care of ST@|@ulankeyutomon (vti)@
@take hold of SB@|@mosehlal (vta), wihqonal (vta)@
@take hold of ST@|@wihqonomon (vti)@
@take part in ST@|@wiciyawtomon (vti)@
@take part of ST: SB ~s (collection of objects)@|@keccehsuwatomon (vti)@
@take parts from ST: SB ~s@|@keccehsuwatomon (vti)@
@take people into home: SB ~s@|@maqenike (vai)@
@take pity on him: SB ~s@|@kotomakelomal (vta)@
@take pleasure in SB@|@wikuwaculal (vta)@
@take refuge: SB ~s@|@kasuhke (vai)@
@take responsibility for ST: SB ~s@|@ankeyutomon (vti)@
@take SB across by boat: SB ~s@|@kosokahulal (vta)@
@take SB around in a boat: SB ~@|@iyalhulal (vta)@
@take SB away@|@macephal (vta)@
@take SB clothes: SB ~s@|@keccehsuwalal (vta)@
@take SB in: SB ~s@|@kossephal (vta)@
@take SB in: SB ~s (church)@|@kossewsolal (vta)@
@take SB out@|@nutehlal (vta), nutephal (vta)@
@take SB out of pocket@|@muskamhulal (vta)@
@take SB out of way@|@polilehlal (vta)@
@take ST (and hold or carry it)@|@wihqehtun (vti)@
@take ST along by mistake@|@nospiptun (vti)@
@take ST apart: SB ~@|@ceponomon (vti), coceponomon (vti)@
@take ST away from SB@|@wihqehtuwal (vta)@
@take ST away from SB (person ST belongs to)@|@wihqonomuwan (vt2o)@
@take ST by hiding ST: SB ~s@|@kaciptun (vti)@
@take ST in: SB ~s@|@kossiyewotun (vti)@
@take ST off SB: SB ~s@|@kecehtuwan (vt2o)@
@take ST off: SB ~s@|@kehcetun (vti)@
@take ST out@|@nutehtun (vti)@
@take ST out of pocket@|@muskamhutun (vti)@
@take ST to SB@|@maceptuwan (vt2o)@
@take: SB ~s people into home@|@maqenike (vai)@
@take: SB ~s ST along@|@nospiyan (vai+o)@
@taken away: ST is ~@|@maceptasu (vii)@
@taken: ST is ~ away@|@maceptasu (vii)@
@taking along@|@nsp- (pv), sp- (pv)@
@talent: bestow ~ on SB for SB@|@t-olelomal (vta)@
@talented: SB is ~@|@kciqahawiw (vai)@
@talk about SB@|@t-olakonimal (vta), uskuwimal (vta)@
@talk about SB behind their back@|@topolumal (vta)@
@talk about ST@|@uskuhutomon (vti)@
@talk about ST for SB@|@uskuhutomuwan (vt2o)@
@talk constantly: SB ~s@|@costaqsu (vai)@
@talk foolishly: SB ~s@|@koluskewestu (vai)@
@talk idly: SB ~s@|@koluskacomu (vai)@
@talk nonsense: SB ~s@|@koluskewestu (vai)@
@talk SB iinto doing ST wrong@|@mocikesumal (vta)@
@talk to SB about ST@|@uskuhutomuwan (vt2o)@
@talk to SB annoyingly often@|@siktehtaqsuwamal (vta)@
@talk to SB slowly and deliberately@|@menakaci-skuwimal (vta), menakacimal (vta)@
@talk: give SB a good ~ ing to@|@musqelomal (vta)@
@talk: SB ~s@|@akonutome (vai), skuhutoma (vai)@
@talk: SB ~s a lot@|@wikcokewestu (vai)@
@talk: SB ~s about ST@|@skuhutom (vai)@
@talk: SB ~s crazy@|@wiwonasewestu (vai)@
@talk: SB ~s dirty@|@mocatuwe (vai)@
@talk: SB ~s too much@|@samewestu (vai)@
@talk: SB ~s with mouth full@|@psonolutawone (vai)@
@talk: SB ~s without stopping@|@qottokomehtahsu (vai)@
@talk: SB habitually ~s dirty@|@mocatuwesku (vai)@
@talk: SB is a fast ~ er@|@misuwestune (vai)@
@talk: SB knows how to ~ (young child)@|@tawe (vai)@
@talkative: SB is ~@|@wikewestu (vai)@
@talking about SB: SB goes about ~@|@iyalakonimal (vta)@
@talking: SB doesn't know when to stop ~@|@tolcokewestu (vai)@
@talking: SB is ~@|@tolewestu (vai)@
@talks and talks: SB ~@|@costaqsu (vai)@
@talks fast@|@sahsewestu (vai)@
@tall: SB is ~@|@pihtenskosu (vai)@
@tall: SB is ~ and rigid@|@pihtaqsu (vai)@
@tall: SB is so ~@|@qonenskosu (vai)@
@tall: ST is ~@|@spahte (vii), speyu (vii)@
@tall: ST is ~ and rigid@|@pihtahqot (vii)@
@taller: SB is ~@|@piyemenskosu (vai)@
@taller: SB is ~ than one would expect@|@siyepkil (vai)@
@tallest: SB is ~@|@piyemenskosu (vai)@
@talon: SB's ~@|@wokosiyil (ni-d)@
@tamarack tree@|@pqomus (-iyik)(na)@
@tame: SB is ~ (wild animal)@|@wansu (vai)@
@tangle SB up by handling SB: she ~s@|@ciqolatokihpulal (vta)@
@tangle SB with feet: SB (rope rug snake)@|@ciqolatokipilal (vta)@
@tangle SB: SB ~s (rope or string)@|@ciqolatokehlal (vta)@
@tangle ST by handling ST: SB ~s@|@ciqolatokihputun (vti)@
@tangle ST: SB ~s@|@ciqolatokehtun (vti)@
@tangle ST: SB places ST in such a way as to ~@|@ciqolatoki-punomon (vti)@
@tangled by flapping around: SB becomes ~@|@ciqolatokihtehsin (vai)@
@tangled by flapping around: ST becomes ~@|@ciqolatokihtehson (vii)@
@tangled up: SB is ~@|@ciqolatokopu (vai)@
@tangled: SB gets ST ~ around foot@|@t-opatokihtehkoman (vai+o)@
@tangled: SB hair is ~@|@ciqolaltoqepu (vai)@
@tangled: SB/ST becomes ~ (ST string like)@|@ciqolatokessu (vai/vii)@
@tangled: ST becomes ~ (ST string like)@|@ciqolatokesson (vii)@
@tangled: ST is ~ (ST string like)@|@ciqolatokahte (vii)@
@tap SB against ST@|@t-oltehsimal (vta)@
@tap SB lightly on the head@|@samatpehtahal (vta)@
@tap ST against ST@|@t-otolihtestun (vti)@
@tap with SB@|@t-oltehsimal (vta)@
@tap: SB ~s weavers down to tighten (basketmaking)@|@nahkakpehtihike (vai)@
@tape used to wrap something@|@wissaqopolikon (-ok)(na)@
@taper by cutting: SB ~ (basketmaking)@|@sipomosawe (vai)@
@taper SB by cutting@|@sipomosal (vta)@
@tapping tool for tightening basket@|@nahkakpehtihikon (-ol)(ni)@
@tapping: SB is ~ foot@|@tolikonahtehsin (vai)@
@tar@|@poku (-wok)(na), pqaqopos (-iyik)(na)@
@target@|@eqettelikon (-ol)(ni), oqettelikon (-ol)(ni), qettelikon (-ol)(ni)@
@target: SB is on ~@|@wolakhom (vai)@
@target: SB misses ~@|@polhike (vai)@
@tarp@|@sipekhikon (-ol)(ni)@
@tarpaulin@|@sipekhikon (-ol)(ni)@
@taste (of ST): SB has or takes a ~@|@ktahkomessu (vai)@
@taste bitter: ST ~s@|@ksihpukot (vii)@
@taste SB to test temperature or flavor (liquid)@|@t-oqetpekomal (vta)@
@taste ST to test temperature@|@t-oqetpekotomon (vti)@
@taste sweet: ST ~s@|@mahqanihpukot (vii)@
@taste: SB ~s bad@|@mocihpuksu (vai)@
@taste: SB takes a ~@|@qettamu (vai)@
@taste: ST ~s good@|@wolihpukot (vii)@
@taste: ST ~s sweet@|@mahqanihpukot (vii)@
@taste: ST has a strong ~@|@ksihpukot (vii)@
@taste: ST has an acid ~@|@suwahpukot (vii)@
@taste: test the ~ of SB@|@qetomal (vta), t-oqetomal (vta)@
@tasty: ST is ~ soup@|@wolapuwahte (vii)@
@tasty: ST is ~ stew@|@wolapuwahte (vii)@
@tattered: SB is ~@|@siwelsepu (vai)@
@tattered: SB is ~ and torn@|@soqskicin (vai)@
@tattered: ST is ~ and torn@|@soqskicin (vii)@
@tattle on SB along with others being tattled on@|@nospakonimal (vta)@
@tattle: SB ~s@|@psikemu (vai)@
@tattoo@|@athasik (-il)(ni)@
@taut: SB is ~ (string)@|@suwatokopu (vai)@
@tavern@|@pithopewikuwam (-ol)(ni), tapon (-ol)(ni)@
@taxidermist@|@nuci-pithotuhket (na)@
@taxidermists@|@nuci-pithotuhkecik (na-pl)@
@tea@|@ti (-wol)(ni)@
@tea kettle: whistling ~@|@wewilossit (na)@
@tea pot@|@tiwinut (-iyik)(na)@
@teaberry@|@kahkakuhsuwimin (ni), kahkakuhsuwipokuhs (ni), kuwanimin (ni)@
@teach SB@|@t-okehkimal (vta)@
@teach SB for a certain length of time@|@qonokehkimal (vta)@
@teach SB precisely@|@papetokehkimal (vta)@
@teach SB thus@|@t-olokehkimal (vta)@
@teach SB well@|@ulokehkimal (vta)@
@teach SB: start to ~@|@macekehkimal (vta)@
@teach self: SB ~s@|@kehkimsu (vai)@
@teach: come (go)to ~ SB@|@natokehkimal (vta)@
@teach: SB ~s@|@kehkikemu (vai)@
@teach: start to ~ SB@|@macekehkimal (vta)@
@teacher@|@nutokehkikemit (na)@
@team: SB is a ~ of one@|@qotuhkahke (vai)@
@team: they are a ~ of three@|@suhkak (vai)@
@team: they are a ~ of two@|@nisuhkak (vai)@
@tear@|@sopiqon (-ol)(ni)@
@tear SB (cloth/paper)@|@t-olokinehlal (vta)@
@tear SB's clothing to shreds@|@mehcinehlal (vta)@
@tear ST (cloth/paper)@|@t-olokinehtun (vti)@
@tear ST apart@|@paskinehtun (vti)@
@tear ST down@|@suhkehtun (vti)@
@tear ST down or apart with hands@|@musikonomon (vti)@
@tear the ground up noisily and angrily@|@nikcahkehtun (vti)@
@tear: I t ~s well@|@wolinessu (vii)@
@tear: one who ~s@|@nucinehtahsit (na)@
@tear: SB has ~s in eyes@|@spiqoniw (vai)@
@tearing down@|@musik- (pv)@
@tears: SB bursts into ~@|@psqotemu (vai)@
@tears: SB's eyes fill w/ ~@|@psonpekalokiqessu (vai)@
@teary-eyed: SB is ~@|@spiqone (vai)@
@tease SB@|@pahpiyal (vta)@
@tease SB wherever they go: SB ~s@|@iyali-cikawiyal (vta)@
@tease: SB ~s@|@malikolike (vai)@
@teaser: SB is a ~@|@cikawoluhke (vai)@
@teasingly@|@cikawi (cikaw-)(pv)@
