@English@|@Basque@
@rubber stamp@|@zigilu@
@rubela@|@errubeola@
@ruin@|@zuzitu@
@rule@|@arau, erregela@
@rule of calculation@|@kalkulu-erregela@
@rule of inference@|@inferentzi erregela@
@rule of law@|@arau juridiko (B), zuzenbideko estatu@
@rule of substitution@|@ordezpen-erregela@
@rule system@|@erregela-sistema@
@ruler@|@agintari, erregela, gobernari@
@rumor@|@esames, zurrumurru@
@rust@|@herdoiltze, ugertze@
@sacrifice@|@opari@
@saddle@|@zela@
@saddle up@|@txalmatu@
@sadly@|@triste@
@sadness@|@malenkonia, tristura@
@safety net@|@segurtasun-sare@
@sailor@|@belzaontzi@
@saint@|@santu@
@salad@|@entsalada@
@sales pitch@|@saltzailearen erretolika, saltzailearen errotolika@
@saliva@|@istu, txistu@
@salmon@|@izokin@
@salmon colored@|@izokin koloreko@
@salt@|@gatz@
@salve@|@ukendo@
@same@|@berdin@
@same as always@|@beti bezala@
@same to you@|@baita zuri ere@
@sample@|@erakusgarri, eraskusgai, etsenplu@
@San Sebastian@|@Donostia@
@sand shark@|@zezen-marrazo@
@sandal tree (sandalwood)@|@sandalo@
@sandwich@|@bokadilo, ogitarteko@
@Santa Claus@|@Bizar Zuri@
@sap@|@izerdi@
@sardine@|@sardina@
@sarjentu@|@sergeant@
@satellite dish@|@paraboliko@
@satire@|@satira@
@satisfy (hunger)@|@ase@
@Saturday@|@Larunbat@
@sauce@|@saltsa@
@sausage@|@lukainka, saltxitxa, txorizo@
@sausage roll@|@hostorea@
@saw@|@zerra@
@saw fish@|@zerra-arrain@
@sawed@|@zerratu@
@sawfish@|@zerra-arrain@
@say@|@erran@
@scabbard@|@magina@
@scabbard fish@|@sable-arrain arrunt@
@scabbardfish@|@sable-arrain arrunt@
@scalp@|@buru-azal@
@scar@|@orbain, zauri-marka@
@scarce@|@urri@
@scarlet fever@|@eskarlatina@
@scene change@|@mutazio@
@school@|@eskola@
@school age@|@eskola-adin@
@school of Basque@|@euskaltegi@
@school of fish@|@arrain-sarda@
@school year@|@ikasturte@
@school-age child@|@eskola-haur@
@schoolmaster@|@maisu@
@science@|@zientzia@
@science of cooking@|@sukaldaritza@
@scissors@|@guraizeak@
@scorpion@|@luhartz@
@scrap iron@|@txatar@
@scraper@|@karraskailu@
@scratch@|@atzapar@
@scream@|@orroka-tu@
@screen@|@bahe, pantaila, sare@
@screw@|@torloju@
@screw head@|@torloju-buru@
@screw on@|@torlojuz muntatu@
@screwdriver@|@kolpekako bihurkin@
@scythe@|@sega, sega@
@sea@|@itsaso@
@sea lane@|@itsasbide@
@sea worm@|@itsas zizare@
@seal (with)@|@zigilatu@
@seal (Zoo.)@|@foka@
@sealed orders@|@zigilu-peko aginduak@
@season@|@kira@
@seasonal change@|@aldakuntza urtarotar@
@seat@|@jezarleku@
@second@|@bigarren, segundo@
@second-hand@|@segundo-orratz@
@secretary@|@idazkari@
@secretion@|@jario@
@sect@|@sekta@
@security@|@ongizate@
@See you!@|@Ikusi arte!@
@seed@|@ale, hazi@
@seesaw@|@aditzaren ihn@
@sell@|@saldu@
@sell off@|@guztiak saldu@
@seller@|@saltzailea@
@semantic change@|@aldaketa semantiko@
@semester@|@seihileko@
@sensible@|@zuhur@
@September@|@Iraila@
@serious@|@serio@
@set@|@jarri@
@set oneself@|@jarri@
@seven@|@zazpi@
@seventeen@|@hamazazpi@
@seventh@|@zazpigarren@
@seventy@|@hirurogeitahamar@
@severe@|@gogor@
@sewing machine@|@josteko makina@
@sex drive@|@sexu-irrika@
@sexual drive@|@sexu-irrika@
@shade@|@itzalpe@
@shafting@|@transmisio@
@shame@|@lotsa, ondiko@
@shampoo@|@xanpu@
@share out@|@banatu@
@shark@|@garda@
@shark sucker@|@erromero txiki@
@sharp@|@puntu, zorrotz@
@sharp-nosed shark@|@marrazo muturluze@
@shaving@|@bizar egite, bizarra@
@shaving cream@|@bizarra kentzeko xaboia@
@she@|@hon@
@sheep@|@ardi@
@shelf@|@apala@
@shelter@|@babesleku@
@shepherd@|@artzain@
@sherbet@|@sorbete@
@shield@|@ezkutu@
@ship@|@itsasontzi, itsasontzi, ontzi@
@ship's company@|@eskifaia@
@ship's manifest@|@garraio-agiri@
@shirt@|@alkondara, arkondara, atorra@
@shoal@|@arrain-sarda@
@shoe@|@oinetako, zapata@
@shoes@|@oinetakoak@
@shoot@|@kima@
@shoot (Botanical)@|@kimu@
@shoot down (Aeron.)@|@tiroka lurreratu@
@shoot up@|@tiroka ibili@
@shop@|@denda@
@shop assistant@|@dendaria@
@shopping center@|@merkataritza-gune@
@short@|@motz@
@shoulder(s)@|@besaburu@
@shower@|@dutxa@
@shrewd@|@zuhur@
@shroud@|@hil-oihal@
@shrouded in mystery@|@misterioan murgilduta@
@shrub@|@zuhaiska@
@shy@|@lotsati@
@shyly@|@herabeki@
@sibling-share@|@seniparte@
@sickle@|@igitai@
@sickly@|@gaixo@
@side@|@aldean, ertze@
@sieve@|@bahe@
@sign@|@keinu, zeinu@
@sign of equality@|@berdintasun-ikur@
@sign of multiplication@|@biderketa-ikur@
@silent@|@isil@
@silently@|@isilik@
@silk screen@|@serigrafia@
@silly@|@lelo@
@silver@|@zilar@
@silversmith@|@zilargile@
@simple@|@simplea@
@simply@|@xinpleki@
@sin@|@bekatu egin@
@sinew@|@zain@
@singer@|@abeslari, kantari@
@singing@|@kantari@
@sinister@|@donge@
@sink@|@konketa@
@sir@|@jauna@
@sister (of a man)@|@arreba@
@sister (of a woman)@|@ahizpa@
@six@|@sei@
@sixteen@|@hamasei@
@sixth@|@seigarren@
@sixty@|@hirurogei@
@skate@|@patin, patinatu@
@skating@|@patinatu@
@skeleton@|@eskeleto, hezurdura@
@skeleton key@|@giltza nagusi@
@skeleton staff@|@oinarrizko lantalde@
@skeptic@|@eszeptiko@
@skilled@|@trebe@
@skin@|@azal, larru@
@skinny@|@argal@
@skirmish@|@borroka@
@skirt@|@gona@
@skull@|@burezur@
@skunk@|@mofeta@
@sky@|@ortzi, zeru, zerua@
@skylark@|@hegatxabal arrunt@
@slander@|@gezur-beltz@
@slang@|@argot@
@slate@|@harbel@
@slave@|@esklabo@
@slave labor@|@esklaboen arduradun@
@slave trade@|@esklabo-tratul@
@sledge@|@errementari-mailu@
@sledge hammer@|@errementari-mailu@
@sleep (noun)@|@lo@
@sleep (verb)@|@lo egin@
@sleepy@|@logura@
@sleet@|@elurbusti@
@slender@|@lirain@
@slice@|@xerra@
@slowly@|@poliki@
@slug@|@bala, bare@
@slut@|@emagaldu@
@sly@|@maltzur@
@small@|@txiki@
@small Basque flute@|@xirula@
@small bench@|@aulki@
@small briefcase@|@maletatxa, maletaxto@
@small child@|@haurtxo@
@small intestine@|@heste mehar@
@small squid@|@txibia txiki@
@small-scaled scorpion fish@|@krabarroka beltz@
@smell@|@usaindu@
@smell; sense of smell@|@suma@
@smile@|@irribarre@
@smith@|@harotz@
@smoke@|@ke@
@smoked fish@|@arrain ketu@
@smooth@|@leun@
@smooth hammerhead@|@mailu-arrain hirungingil@
@smuggler@|@mugalari@
@snail@|@karakol, marraskilo@
@snail shell@|@marraskilo-oskol@
@snake@|@suge, sugo@
@snipefish@|@arrain tronpetari@
@snob@|@harroputz@
@snow@|@elur@
@snow cover@|@elur-estaldura@
@snow goose@|@elur-antzara@
@snow plow@|@elurra kentzeko makino (B)@
@snow-flake@|@txilintxa@
@snow-storm@|@elur-ekaitz, elurte@
@so@|@ain, hain, olan@
@so much@|@hain@
@soap@|@jaboi, xaboi@
@sock@|@galtzerdi@
@socket wrench@|@tutu-erako giltza@
@soft@|@bigun, bigun-bera, biguna@
@softened@|@guri-tu@
@softly@|@emeki@
@soil@|@lur@
@soiled@|@zikindu@
@soldier@|@gudari@
@some@|@batzuek, batzuk, zenbait@
@somebody@|@norbait, norbaitek@
@somebody else@|@beste norbait@
@someone@|@nor edo nor, norbait@
@someone else@|@beste norbait@
@someone)@|@kiña@
@something@|@zer edo zer, zerbait@
@somewhere@|@non edo non, nonbait@
@son@|@seme@
@sophism@|@sofisma@
@sore@|@mindu, zauri@
@Soule@|@Zuberoa@
@Souletin (dialect)@|@Zuberoera@
@sound of cracking@|@karrask@
@sounds@|@ematen@
@soup@|@salda, zopa@
@source@|@etorki, iturri@
@south@|@hego, hegoalde@
@south wind@|@hego, hegoaldeko haize@
@southeast@|@hego-ekialde@
@southeasterly@|@hego-ekialderantz@
@southwest@|@hego-mendebalde@
@southwesterly@|@hego-mendebalderantz@
@sow@|@ahardi@
@spac@|@arte@
@space@|@leku@
@spark@|@txinpart@
@spark-plug@|@bujia@
@sparrow hawk@|@gabirai@
@spear@|@burtzi@
@special@|@berezi@
@special of the day@|@egunekoa@
@speed ratio@|@transmisio-erlazio@
@spend (time)@|@pasa@
@spider@|@armi-arma, armiarma@
@spider crab@|@txangurro@
@spider's web@|@amaraun@
@spill@|@isuri, jario@
@spilling@|@isuri@
@spinach@|@espinaka@
@spinal column@|@bizkarrezurra@
@spindle@|@ardatz@
@spiny lobster@|@otarrain@
@spiny shark@|@taxtuela@
@spire@|@orratz@
@spirit@|@iratxo@
@spleen@|@bare@
@sponge@|@belaki@
@sponge cake@|@bizkotxo@
@spoon@|@koilara, kutxare@
@sport@|@kirol@
@sports center@|@kiroldegi@
@sports centre@|@polikiroldegi@
@spot@|@orbain, tantta, zikin@
@spotted@|@nabar@
@spring@|@iturri, udaberri@
@spring semester@|@udaberriko ikastaro@
@sprinkle@|@zirimiri@
@sprout@|@kima@
@spun yarn@|@hari bihurritu@
@square@|@karratu@
@square root@|@erro karratu@
@squash@|@kalabaza, kuia, zuzitu@
@squid@|@txibia@
@squirrel@|@katagorri@
@stab@|@labankada, sastada, sastatu@
@stabbing@|@sastatu@
@stage@|@eskenatoki, eszenario@
@stainless steel@|@altzairu herdoilgaitz@
@stairs@|@eskailera@
@stamp@|@keinu, seilu, tinbre@
@stamp album@|@seilu-album@
@stamp collection@|@seilu-bilduma@
@stamp down@|@ostikoka zapaldu@
@staple@|@grapa@
@stapler@|@grapagailu@
@star@|@izar@
@start@|@hasten@
@starve out@|@goseak eduki@
@state@|@estatu@
@station@|@geltoki@
@stay@|@egon, gelditu@
@steal@|@lapurtu@
@steel@|@altzairu@
@steel production@|@altzairugintza@
@steering column@|@endaitz@
@stem@|@erro, zurtoin@
@sterile@|@agor@
@stick-on label@|@eranskin@
@still@|@oraindik@
@stingy@|@zeken, zikoitz@
@stirring up@|@kiña@
@stirrup@|@estribo@
@stochastic variable@|@aldagai estokastiko@
@stock@|@salgaiak, stock@
@stock certificate@|@akzio-agiri@
@stock market@|@burtsa@
@stocks and shares@|@akzioak eta balioak@
@stomach@|@sabel, tripa@
@stomach-ache@|@tripako mina@
@stone@|@harri@
@stone bass@|@mero, mero beltz@
@stonefish@|@harri arrain@
@stoneware clay@|@gres@
@stool@|@aulki@
@stop@|@gelditu@
@store@|@denda, gordetako@
@store up@|@bildu, bilduta gorde@
@stork@|@amiamoko, zikoin@
@storm@|@ekaitz@
@story@|@ipuin@
@stove@|@beroagailu@
@straight@|@lisu, zuzen@
@strainer@|@xukadera@
@strand@|@hari@
@strange@|@arraro, bitxi@
@stranger@|@ezezagun@
@straw@|@lasto@
@strawberry@|@marrubi@
@stream@|@erreka@
@street@|@kale@
@strength@|@indar@
@strike@|@kolpatu@
@strong@|@indartsu, sendo@
@strong intention@|@asmo tinko@
@structural change@|@egitura-aldaketa@
@struggle@|@gudu@
@student@|@ikasle@
@stupid@|@kirten(a), tonto, tuntun@
@sturdy@|@sendo@
@style@|@estilo@
@substitute@|@ordeko, ordezko@
@subtract@|@kendu@
@subtraction sign@|@kenketa-ikur@
@such@|@hain@
@suck@|@esoski@
@sugar@|@azukre@
@sugar cane@|@azukre-kanabera@
@suit@|@trajea@
@suitcase@|@maleta@
@sulphur@|@sufre@
@summer@|@uda@
@summer holidays@|@udako@
@summer house@|@txalet@
@summit@|@egi@
@sun@|@eguzki@
@sun screen@|@eguzki-babes@
@Sunday@|@Igande, Igandea@
@sunflower@|@eguzi-lore@
@sunlight@|@eguzki-argi@
@sunshade@|@eguzki-babes@
@sun-tanned@|@beltz-arran@
@superimpose@|@gainjarri@
@supermarket@|@supermerkatu@
@supplementary rule@|@gehigarrizko erregela@
@supply@|@gordetako@
@Supreme Court@|@apelazio-auzitegi, Auzitegi Goren@
@surely@|@seguraski@
@surgery@|@kirugia, kirurgia@
@surgery hours@|@kontsulta-orduak@
@surname@|@deitura, dietura@
@surrender@|@errendizio, erreskate@
@suspect@|@susmagarri@
@swallow@|@ainhara@
@swamp@|@aintzira@
@swarm@|@elemenia, mordo@
@sweat@|@izerdi@
@sweater@|@elastiko, jertse, jertsea, sueter@
@sweet@|@ezti, goxoki@
@sweet orange tree@|@laranja gozo arbola@
@sweet squash@|@gozokitarako kui@
@sweets@|@goxoki@
@swell@|@handitu, itsaski@
@swelled@|@handitu@
@swim@|@igeri@
@swimming pool@|@igeritegi@
@swollen@|@handitu@
@sword fish@|@ezpata-arrain@
@swordfish@|@ezpata-arrain@
@symbol@|@ikur@
@symbolic@|@sinboliko@
@sympathizer@|@lagunkide@
@system@|@era, sistema@
@tabernacle@|@elkarketa-etxola, tabernakulu@
@table@|@mahai@
@table leg@|@mahai-hanka@
@table napkin@|@dafaila@
@table wine@|@mahairako ardo@
@tail@|@buztan@
@tail wind@|@atze-haize, bizkarreko haize@
@take@|@hartu@
@take this!@|@tori@
@talc@|@talko@
@talk@|@solas@
@talkative@|@berritsu, berritxu@
@tall@|@altu, garai@
@tangent@|@tangente@
@tangible@|@uki daitekeen@
@tangle@|@korapilo@
@tap@|@hariztatzeko ardatz, txorrota, txorrota@
@tap chuck@|@hariztatzeko aparatu@
@tap root@|@ardatz-formako sustrai@
@tape@|@zinta@
@tape deck@|@pletina@
@tape measure@|@neurketa-zinta@
@tape recorder@|@grabagailu@
@tapestry@|@tapiz, tapizgintza@
@tap-nozzle@|@zurrusta-hausteko@
@tapper@|@hariztatzeko aparatu@
@tapping chuck@|@hariztatzeko aparatu@
@tariff@|@tarifa@
@tarnish@|@distira kendu@
@task@|@eginkizun@
@taste@|@dastatu, probatu@
@tattoo@|@tatuaje@
@tea@|@te@
@tea break@|@atsedenaldi@
@tea set@|@te joko@
@teacher@|@irakasle@
@tears@|@nigar@
@tease@|@trufa, trufa, txantxa@
@technology@|@teknologia@
@teenager@|@gatze@
@telegram@|@telegrama@
@telephone@|@telefono@
@television@|@telebista@
@television channel@|@telebista-kanal@
@television screen@|@pantaila txiki@
@tell@|@jakinarazi@
@temper@|@umore@
@temperature change@|@tenperatura aldaketa@
@temperment@|@jenio@
@ten@|@hamar@
@tenant@|@maizter@
@tender@|@bigun-bera@
@tennis court@|@tenis-pista@
@tentacle@|@garro@
@tenth@|@hamargarren@
@term@|@ikastatro@
@term of office@|@agintaldi@
@terminate@|@buka-tu@
@termination@|@buka-era@
@terminology@|@terminologia@
@termite@|@termita@
@terrible@|@ikaragarri, izugarri@
@territory@|@luralde, lurralde@
@terrorism@|@terrorismo@
@test@|@proba@
@testify@|@lekukotza egin, testigatu@
@testimony@|@aitormen, zimpeko baieztapen@
@thank@|@eskerrik@
@thank you@|@eskerriak asko@
@thanks@|@ekerrik asko@
@that@|@hori, hori@
@that (complementizer)@|@ela@
@that (I) have them@|@ditudala@
@that (non-absolutive)@|@har-@
@that (over there)@|@hura@
@that is so@|@halaxe da@
@that kind of@|@olako@
@that which is captured@|@hartutako@
@that's right@|@horixe (ba)@
@The Basque Government@|@Eusko Jaurlaritza@
@the Basque national ball-game@|@pilota@
@the Basque national flag@|@ikurrin@
@the beautiful@|@ederrak@
@the bill@|@kontua@
@the bowl@|@katilua@
@the center of the earth@|@lurraren erdigunea@
@the children@|@umeak@
@the Crown Jewels@|@Koroaren bixiak@
@the dead@|@hildakoak@
@the deaf@|@gorrak@
@the edge@|@lehioertze@
@the extreme right@|@eskuin-hegaleko@
@the fruits of our labors@|@gure nekeen fruitua@
@the good@|@zintzoak@
@The Government of Navarre@|@Nafarroako Gobernua@
@the house@|@etxea@
@the houses@|@etxeak@
@the human factor@|@giza faktorea@
@the Iron Curtain@|@Burdinazko Hesia@
@the legitimate theatre@|@benetako antzerkia@
@the man@|@gizona@
@the masses@|@masak@
@the mob@|@jendaila@
@the mountain@|@mendia@
@the movie@|@filmea@
@the murder weapon@|@hilketan erabilitako arma@
@the new rich@|@aberastue@
@the one the other (rec. pron. var.)@|@bata bestea@
@the other side of the coin@|@txanponaren beste aldea@
@the retail price index@|@kontsumorako prezioen indize@
@the Royal Mint@|@Errege Diruetxea@
@the ruling class@|@agintedun klase@
@the traditional Basque mountain cry@|@irrintzi@
@the Virgin Mary@|@Ama Birjina@
@the wind from the south@|@hegoaizea@
@the young people@|@gazte jentea@
@theatre@|@zinema@
@theme@|@hari@
@themselves (anaph. pron.)@|@bere burua(k)@
@then@|@orduan@
@Then let's go!@|@Goazen ba!@
@therapy@|@terapia@
@there@|@ara, han, hara@
@thermometer@|@termometro@
@thesaurus@|@hiztegia, sinonimoen hiztegia@
@these@|@hauek@
@they came in swarms@|@etorri ziren@
@they have it@|@dute@
@they're flying@|@hegan ari dira@
@thief@|@lapur, ohoin@
@thigh@|@izter@
@thimble@|@titare@
@thin@|@argal, mehe@
@thing@|@gai, gauza@
@third@|@heren, hirugarren@
@third person@|@hirugarren pertsona@
@thirsty@|@egarri, egarriz@
@thirteen@|@hamahiru@
@thirtieth@|@hogeita hamargarren@
@thirty@|@hogeitahamar@
@this@|@hau, hon@
@those@|@hai, hori, horiek@
@those (farther off)@|@haiek@
@thou@|@hi@
@thought@|@gogo, gogoeta, oroi@
@thousand@|@mila@
@thread@|@hari@
@threading tap@|@hariztatzeko ardatz@
@three@|@hirur@
@thresher@|@itsas azeri@
@thresher shark@|@itsas azeri@
@throat@|@eztarri@
@throne@|@tronu@
@throw@|@egotzi, jaurtiketa, tiro@
@throw up@|@okatu@
@thumb@|@erpuru@
@thunder@|@trumoi@
@Thursday@|@Ostegun@
@thus@|@olantxe@
@ticket@|@txartel@
@ticket)@|@joan-etorri@
@tickets@|@txartelak@
@tickle@|@i-i kilimak egin@
@tied@|@lotua@
@tiger@|@tigre@
@tight@|@estu@
@tight-fisted@|@xuhur@
@tightrope@|@orekarien soka@
@tile@|@teila lau@
@timber@|@zura@
@timber (trees)@|@zuhaitzak@
@time@|@aldi, denbora, kira@
@tin@|@eztainu@
@tin soldier@|@berunezko soldadu@
@tin-plate@|@latorri@
@tint@|@margotze@
@tip@|@eskupekoa, punta@
@tire@|@gurpil@
@tired@|@neke@
@tiredly@|@nekatuta@
@tiring@|@nekagarri@
@to'@|@gana@
@to (allative; with animates)@|@-gana@
@to (literally less)@|@gutxitan@
@to abandon ship@|@ontzia hustu@
@to account for@|@kontu(ak) eman@
@to act together@|@batera jardun@
@to act\behave like an idiot@|@ergelarena@
@to adore@|@adoratu@
@to agitate@|@higi-tu@
@to amaze@|@harritu@
@to analyze@|@azter@
@to answer for@|@kontu(ak) eman@
@to appear@|@ageri, agertu@
@to argue@|@aharratu@
@to arm@|@armau@
@to arrive@|@erdu(tu), heldu, iritsi@
@to ascend@|@igo@
@to ask@|@galdetu@
@to ask for@|@eskatu@
@to assassinate@|@asasinatze@
@to assert@|@alegatu@
@to attach@|@itsatsi@
@to attack@|@eraso, kalteak eragin@
@to attempt@|@saiatu@
@to attract customers@|@bezeroak erakarri@
@to baptize@|@bataiatze@
@to bathe@|@bainatu, bainutu@
@to be@|@izan@
@to be a glutton for punishment@|@martiriarena egin@
@to be a turn for the worse@|@okerrera egin@
@to be all ears@|@arreta handiz aditu@
@to be an expert at doing something@|@e-r egiteko trebea izan@
@to be busy with@|@jardun@
@to be crazy about something@|@e-gatik zoratuta egon@
@to be dead@|@hilik egon@
@to be dead tired@|@neka-neka eginda egon@
@to be full@|@ase@
@to be good at something@|@e-tan trebea izan@
@to be hard of hearing@|@entzungorra izan@
@to be ignorant of the facts@|@egitateak es jakin@
@to be in a hurry@|@gose egon@
@to be in a tight corner@|@kinka larrian egon@
@to be in a vicious circle@|@sorgin-gurpilean egon@
@to be in debt@|@zorretan egon@
@to be in operation@|@indarrean izan@
@to be in print@|@inprimaturik egon@
@to be in the lead@|@aurrean (ibili)@
@to be level with something@|@e-en arrasean egon@
@to be lucky@|@zorionekoa izan, zorionekoa izan@
@to be manifest@|@agerian egon@
@to be nobody's fool@|@i-i ziria sartzen ez utzi@
@to be on a diet@|@dieta egin@
@to be on guard@|@zaintzan egon@
@to be on holiday@|@oporretan egon@
@to be on one's knees@|@be-launiko egon@
@to be on the ball@|@nondik norakoa jakin@
@to be out of print@|@ahiturik egon@
@to be over the moon@|@ilargion egon@
@to be pleasing@|@laket@
@to be rough@|@zakartu@
@to be round the corner@|@aurki izan@
@to be satieted@|@ase@
@to be scarce; to dwindle@|@urritu@
@to be short of cash@|@diruz juxtu-juxtu ibili@
@to be similar@|@kidetu@
@to be starved of affection@|@maitasunik gabe bizi@
@to be under an embargo@|@debekaturik egon@
@to be under arrest@|@atxilotuta egon@
@to be under someone's protection@|@i-en babesean egon@
@to bear a strong resemblance to someone@|@i-en antzekoa izan@
@to beat@|@kolpatu@
@to become@|@bihurtu, jarri@
@to become childlike@|@seindu@
@to become lean@|@gihar-tu@
@to become senile@|@seindu@
@to bed@|@ohera@
@to beg@|@eskatu@
@to begin school@|@eskolan hasi@
@to behave@|@portatu@
@to believe@|@sinestu@
@to bite@|@kosk@
@to blame@|@kulpa@
@to bleas@|@bedeinkatu@
@to blend@|@nahastu@
@to block@|@ziritu@
@to board ship@|@ontziratu@
@to boil@|@borborkatu, kabarro, zaldar@
@to boom@|@ozendu@
@to bore@|@asper-tu, aspertu@
@to break@|@apurtu, puskatu@
@to break down@|@hondatu@
@to bring@|@ekarri, eraman@
@to bring in the crops@|@uzta bildu@
@to bring into question@|@zalantzan jarri@
@to bring light@|@argittu@
@to bring to a boil@|@irakinarazi@
@to bring together@|@elkartu@
@to bubble@|@borborkatu@
@to burn@|@erre, izeki@
@to burn up@|@izeki@
@to buy@|@erosi@
@to call@|@dei egin, deitu@
@to call for a vote@|@bozketa bat eskatu@
@to capsize@|@tirabiratu@
@to carry@|@eraman@
@to cast one's vote@|@botoa eman@
@to catch@|@harrapa-tu, harrapatu@
@to cause to understand@|@ulertarazi@
@to cause to wait@|@igurikarazi@
@to charge@|@kobratu@
@to chop down@|@aizkoraz moztu, moztu@
@to chop up@|@txikitu@
@to chop wood@|@egurra@
@to clasp@|@besarkatu@
@to claw@|@atzaparkatu@
@to clean@|@garbitu, xahutu@
@to clear@|@irten@
@to climb@|@igo@
@to cold@|@hoztu@
@to come@|@erdu(tu), etorri, jin@
@to come full circle@|@abiapuntura itzuli@
@to come in second@|@bigarren@
@to come into operation@|@indarrean jarri@
@to come to a boil@|@irakiten hasi@
@to comfort@|@kontsolatu, poza eman@
@to command@|@agindu, agintzen@
@to compete@|@jokatu@
@to complain@|@kejatu@
@to conceal@|@ezkutatu@
@to condemn@|@kondenatu@
@to confess@|@aitortu@
@to congregate@|@biltu@
@to connect (v). wire@|@konektatu@
@to console@|@kontsolatu, poza eman@
@to continue@|@jarraitu@
@to contrive@|@asmatu@
@to cook@|@prestatzeko@
@to cooperate in doing something@|@e-r egiteko laguntza eman@
@to cough up@|@eztul egin@
@to crack jokes@|@txisteak bota@
@to crowd out@|@baztertu@
@to cry@|@negar egin@
@to cry for mercy@|@errukia oihuka eskatu@
@to cry mercy@|@errukia oihuka eskatu@
@to cry out@|@oihu egin@
@to cut@|@ebaki, motzu, moztu, sakitu, segatu@
@to cut corners@|@lasterbidea hartu@
@to cut down on@|@e-kin ekonomiak egin@
@to cut down on smoking@|@gutxiago erre@
@to cut off@|@motzu@
@to cut short@|@bertan behera@
@to cut someone's throat@|@i-i lepoa moztu@
@to damn@|@birao egin, kondenatu@
@to dance@|@dantza egin, dantzatu@
@to debit the account@|@kontua zordundu@
@to debit to balance@|@saldokoa zordundu@
@to decide@|@erabaki@
@to default on a promise@|@agindutakoa ez bete@
@to delay@|@luzamendu@
@to demonstrate@|@erakutsi@
@to depart@|@irten@
@to descend@|@jaitsi@
@to deserve@|@merezi izan@
@to destroy@|@apurtu, zuzitu@
@to die@|@hil@
@to diminish@|@urritu@
@to dine@|@afaldu@
@to dish up (a plate)@|@plater gainean jarri@
@to dismiss@|@bota@
@to disobey@|@(i-en) agindua ez bete@
@to do@|@egin@
@to do business with someone@|@i-ekin tratua egin@
@to do evil@|@gaiztakeriak egin@
@to drain@|@xukatu@
@to draw@|@marraztu@
@to draw a comparison with@|@erkatze bat egin@
@to dream@|@amets egin@
@to drink@|@edan@
@to drive@|@kotxe gidatu, murriztu@
@to drive someone crazy@|@i-r erotu@
@to dry@|@lehortu@
@to duel@|@duelu egin@
@to eat@|@jan@
@to edit@|@argitaratzeko zuzendu@
@to emancipate@|@libratu@
@to embrace@|@besarkatu@
@to emigrate@|@emigratu@
@to encounter@|@aurkitu@
@to end@|@bukatu@
@to endure to the end@|@bururaino iraun@
@to enlist@|@armadan sartu@
@to enrich@|@aberastu@
@to enrich one's self@|@aberastu@
@to enter@|@sartu@
@to exile@|@atzerriratu@
@to explain@|@azaldu@
@to fall@|@erori, jausi@
@to fall asleep@|@lo hartu@
@to feel@|@sentitu, ukimen@
@to feel pain@|@sentitu mina@
@to feel terrible@|@izugarri gaizki sentitu@
@to fight@|@borrokatu@
@to file a petition@|@eskaera aurkeztu@
@to file a suit against someone@|@i-r auzibidean jarri@
@to fill@|@bete@
@to find@|@aurkitu@
@to finish@|@amaitu, buka-tu, bukatu@
@to fish@|@arrantzan ari, arrantzuan ari@
@to flee@|@ihes egin@
@to flow@|@isuri@
@to fly@|@hegan egin@
@to fly at@|@(r)i bat-batean eraso@
@to fly off the handle@|@sutan jarri@
@to follow@|@jarraitu@
@to foot the bill@|@kontua ordaindu@
@to forecast@|@iragarri@
@to forge ahead@|@aurrera jarraitu@
@to forget@|@ahaztu@
@to fortify@|@indartu@
@to free@|@libratu@
@to frighten@|@ikaratu@
@to frown@|@beltzuri egin@
@to frustrate@|@zapuztu@
@to gamble@|@jokaldi@
@to gamble away@|@jokoan galdu@
@to gear to@|@i-rengana e-rako zuzendu@
@to get a bellyful@|@okatu@
@to get angry@|@aharratu@
@to get bored@|@asper-tu@
@to get cold@|@hotzitu, hoztu@
@to get dirty@|@zikindu@
@to get dusty@|@hautsa bildu@
@to get fat@|@gizendu@
@to get one's breath back@|@arnasa berriro hartu@
@to get somebody off the hook@|@i-r larrialditak atera@
@to get someone's goat@|@i-r haserretzea lortu@
@to get sore@|@minberatu@
@to get the feel of something@|@e-kin ohitzea@
@to get up@|@altxatu, jaiki, jeiki@
@to give@|@eman@
@to give an opinion@|@irizpena egin@
@to give notice@|@abisatu@
@to give preliminary rulings@|@epaiketa aurretik ebatzi@
@to give something as a present@|@oparitu@
@to glance@|@begiratu@
@to glance at@|@begiztatu@
@to glance off@|@jo eta errebotean irten@
@to glance over@|@irakurri@
@to gloat over@|@alaitu@
@to gnaw@|@karraskatu@
@to go@|@joan, joatea@
@to go around@|@ibili@
@to go bald@|@(r)i burusoildu@
@to go beyond the pale@|@bazterrean egon@
@to go crazy@|@erotu@
@to go further into the matter@|@arazo bat zehatzago ikertu@
@to go hunting@|@ehizean ibili@
@to go in procession@|@lerroan ibili@
@to go insane@|@erotu@
@to go into decline@|@ahultzen hasi@
@to go into particulars@|@zehatz-mehatz hasi@
@to go off on a tangent@|@bidetik atera@
@to go out@|@atera, irten@
@to go out of business@|@porrot egin@
@to go to church@|@elizaratu@
@to go to court@|@auzitegira jo@
@to go to mass@|@Mezatara joan@
@to go to sleep@|@lo gelditu@
@to go to town@|@hiriratu@
