@English@|@Sami@
@pea@|@hearta@
@peace@|@máššu, ráfi@
@peace of mind@|@máššu@
@peach@|@persihkka@
@pear@|@beron@
@pectin@|@pektiidna@
@pecuniary@|@ruðalaš@
@pedagogical@|@pedagogalaš@
@pedal@|@duolmman, gásaduolmman@
@pedantic@|@rántto@
@peel@|@njuovva@
@peen hammer@|@peannaveažir@
@pen@|@beanna, peanna@
@penal code@|@rihkusláhka@
@pencil@|@leanta, lianta, liánta@
@penis@|@buochcha, puohtja@
@penmanship@|@cháppachállin@
@penny@|@benne@
@pension@|@boarrásiidpenšuvdna, boarrásiidruhta, ealáhatruhta, penšuvdna@
@pensioner@|@ealáhat olmmoš@
@pentagon@|@vihttaçiehka@
@people@|@álbmot@
@pepper@|@bihppor@
@per kilo@|@kiloi@
@per month@|@mánnui@
@percent@|@proseanta@
@perception@|@persepšuvdna@
@perch@|@vuoskku@
@percussion@|@dearppanasat@
@percussion instrument@|@skálanas@
@peregrine falcon@|@bárbmofálli, fálli@
@perfect tense@|@perfeakta@
@perfection@|@dievaslašvuohta@
@permafrost@|@permafrosta@
@permanent@|@fásta@
@permission to do something@|@lohpi@
@person@|@olmmoš@
@person allergic to milk@|@mielkeallergiikkar@
@person from Finnland@|@finnmárkolaš@
@personal income@|@persovdnasisaboahtu@
@personal tax@|@personvearuhus@
@personification@|@personifiseren@
@perspective@|@perspektiiva@
@perspective on something@|@perspektiiva@
@petition@|@ohcámuš@
@petrol@|@bensiidna@
@petroleum@|@álgguviðá olju@
@pharmacist@|@farmaseuta@
@pheasant@|@fasána@
@phenomenon@|@fenomena@
@philology@|@filologiija@
@philosopher@|@filosofi@
@philosophic@|@filosofalaš@
@philosophy@|@filosofiija@
@phobia@|@fobiija@
@phonetic@|@fonetihkalaš@
@phonology@|@fonologiija, jietnadatoahppu@
@physical@|@fysihkalaš, fysikalá@
@physics@|@fysihkka@
@physiological@|@fysiologalaš@
@physiotheraphy@|@fysioterapiija@
@piano@|@piáno@
@picture@|@govva, távval@
@piece@|@moallo@
@pied flycatcher@|@girjelivkkár@
@pig@|@spiidni@
@pigeon@|@gávpotduvvá@
@pig's tail@|@bieža@
@pile of firewood@|@látna@
@pillow@|@guoddá@
@pilot@|@girdi@
@pilot's license@|@girdiduoðáštus, girdilohpi@
@pimple@|@chihkalas@
@pin@|@rievdnu@
@pine@|@beahci@
@pine grosbeak@|@stálobeibboš@
@pineapple@|@anánas@
@pinion@|@pinjongga@
@pink salmon@|@ruotteluossa@
@pintail@|@vuojaš@
@pious@|@oskkolaš@
@Pisces@|@Guolit@
@place@|@luohti@
@place behind something@|@mangeld, mangnge, mangngeela, mangngel@
@place of birth@|@riegádanruovttugielda@
@place on the Norwegian side@|@Rástegáisá Rastegaissa@
@plaice@|@nástefinddár@
@plain@|@lunddolaš@
@plain yoghurt@|@lunddolaš jogurta@
@plait@|@goððe-@
@plan on doing something@|@plánet@
@plane (tool)@|@heavval@
@planet@|@planehta@
@plankton@|@plankton@
@plant@|@šaddu@
@plastic@|@plastihkka@
@plastic tablecloth@|@plastihkkaduvka@
@plate@|@tallearka@
@pledge@|@pánta@
@plenary session@|@dievaschoahkkin@
@plenty@|@sakka@
@plenum decision@|@dievaschoahkkinmearrádus@
@plot@|@viessosadji@
@plum@|@plomme@
@plural@|@mángggaidlohku, plurála@
@pneumococcus@|@pneumokohkka@
@pocket@|@lumma@
@poem@|@dikta@
@poet@|@diktachálli, diktár@
@poetics@|@poetihkka@
@poetry@|@poesiija@
@Poland@|@Polen@
@polemic@|@riidobohciideaddji@
@police@|@poles, poliisa, politiija@
@police authority@|@poliisavirgeoapmahaš@
@police blockade@|@politiijabuoððu@
@police depot@|@poliisarádju@
@police district@|@poliisabire@
@police station@|@poliisastašuvdna@
@policy@|@politihkka@
@polished@|@muoissa@
@political@|@politihkalaš@
@politician@|@politihkkar, politihkkár@
@poll@|@jienastus@
@pollock@|@sáidi@
@pollution@|@nuoskkideapmi@
@Polmak@|@Buolbmát@
@polyvinyl chloride@|@polyvinylklorid@
@pommel@|@culci@
@pond@|@jávrráš@
@poor@|@geafi@
@poor-sighted@|@chalmmeheapme@
@popular@|@bivnnut@
@pork@|@spiinnebiergu@
@pornography@|@pornografiija@
@porridge@|@buvru@
@Porsanger@|@Porsángggu@
@Portugal@|@Portugála@
@Portuguese (language)@|@portugiisa@
@positive forms of the verbs@|@miehtehápmi@
@possibility@|@vejolašvuohta@
@possibility to do@|@vejolašvuohta@
@post@|@boasta, hol'gâ, hol'gâ, stoalpu@
@postal giro@|@poastagiro, poastasirdda@
@postal service@|@boastabálvalus, poastabálvalus@
@postcard@|@boastagoarta@
@post-traumatic stress disorder@|@posttraumáhtalaš streassa@
@pot@|@batte, ruitu@
@potato@|@buðeita, buðet@
@potato masher@|@buðetnjuvddán@
@potato peeler@|@garahanruovdi, gárvvihanruovdi@
@potato starch@|@buðetjáfut@
@potential (grammar)@|@potentiála@
@pouch@|@diellu@
@pound@|@návli@
@poverty@|@geafivuohta@
@powder@|@bulvvar@
@powdered broth@|@liepmabulvarat@
@power station@|@fápmolágádus@
@practical@|@praktihkalaš@
@preface@|@álggahus@
@pregnancy@|@áhpehisvuohta@
@pregnant@|@áhpeheapme, áhpeheapmi@
@prehistory@|@ovdahistorjá@
@prematurely born@|@ovdaláigge riegádan@
@preschool@|@ovdaskuvla@
@present@|@skeangka@
@present tense@|@presideanta@
@preservation area@|@suodjalanguovlu@
@press conference@|@preassakonferánsa@
@press release@|@preassadiedahus, preassadieðáhus@
@prestige@|@rápmi@
@preterit@|@preterihtta@
@prevent from doing something@|@eastadit@
@previous@|@oames@
@price@|@haddi@
@prime minister@|@oaiveministtar@
@principal@|@prinsihpalaš, skuvlahoavda@
@printer@|@chálán@
@printout@|@cháláhus@
@prisoner@|@fánga@
@privy council@|@riikaráðði@
@probation@|@evttolas@
@problem@|@bárti, problema@
@product@|@buvtta@
@professional discretion@|@várrogasgeasku@
@profit margin@|@vuoitumárginála@
@program (computers)@|@prográmma@
@progress@|@ovdáneapmi@
@project@|@prošeakta@
@project manager@|@prošeaktajoðiheaddji@
@prologue@|@álgosátni, ovdasátni@
@promontory@|@njárga@
@prompter@|@cavgileaddji@
@pronation@|@pronašuvdna@
@pronoun@|@pronomen@
@proof@|@duoðaštus@
@proof of something@|@duoðaštus@
@propeller@|@propealla@
@prose@|@prosa@
@prostitution@|@prostitusšuvdna@
@protractor@|@chiehkamihtádas@
@proverb@|@sátnevájas@
@province@|@fylka@
@psychiatric@|@psykiatralaš@
@psychiatric nurse@|@psykiatralaš buohccedikšu@
@psychiatry@|@psykiatriija@
@psycholinguistics@|@psykolingvistihkka@
@psychological@|@psykalaš, psykálaš@
@psychologist@|@psykologa@
@psychology@|@psykologiija@
@Public Register@|@álbmotregisttar, veagadatgirji@
@publication@|@almmuhus, diehtochálus@
@publicly@|@almmolachchat@
@pump@|@bumpa@
@purchaser@|@oasti@
@purple sandpiper@|@fierváviroš@
@purse@|@ruhtabursa@
@push@|@nakketi@
@PVC@|@PVC@
@pyrite@|@kiisi@
@qualifications@|@gelbbolasvuohta, gelbbolašvuohta@
@quality@|@dássu@
@quarrel@|@riidu@
@quarter hour@|@kvárta, njealjádas, várta@
@Quechua@|@kichwa@
@question@|@gažaldat@
@question particle@|@~go@
@quiet waters@|@savvon@
@quietly@|@jaska@
@quite@|@veahá@
@quite a bit@|@arvat@
@racism@|@rasisma@
@radio@|@rádio@
@radioactive@|@radioaktiivvalaš, rádioaktiivvalaš@
@radioactivity@|@radioaktivitehta, rádioaktivitehta@
@radish@|@rettet@
@rain@|@arve, arvi@
@rainbow@|@arvedávgi, bajándávgi@
@rainbow trout@|@girjeluossa@
@raincoat@|@arvemuoddá@
@raindrop@|@arvechalbmi@
@rainforest@|@arvevuovdi@
@raingear@|@arvebiktasat@
@rainy weather@|@arvedálki@
@raisin@|@rusiidna@
@Räkkijärvi@|@Reahkkejávri@
@rapids@|@guoi'ka, kisk, kuoi'hka, kuošk, kuušk@
@rash@|@ihtalupmi, ihttomat@
@raw@|@njuoskas@
@raw material@|@álgoánnas@
@razorbill@|@hálka, ruohkki@
@reaction@|@reakšuvdna@
@readiness@|@gearggusvuohta@
@ready@|@ferot@
@ready to do something@|@ferot@
@real person@|@albmaolmmoš@
@reason@|@miella, sivva, sivva, sudja@
@reason for something@|@sivva@
@reasonable@|@govttolaš@
@recapitulation@|@geardduhus@
@recently@|@easka, easkka ládje@
@reception@|@gullevašvuohta@
@record@|@jietnaskearru, skearru@
@record player@|@grámmofovdna, skearrochuojanas, skearrochuojanas, skierrochuojanas@
@recording@|@báddemus@
@rectum@|@bahtachoalli@
@red@|@rukses, ruoksat@
@red cabbage@|@ruksesgálla@
@red clover@|@ruksesluovvar@
@red currant@|@jieret, jieritmuorji@
@red fox@|@ruksesrieban@
@red knot@|@riddoviroš@
@red onion@|@rukseslávki@
@red raspberry@|@gahpermuorji, gahpermuorji, gáiccamuorji, lávet, váran@
@red-breasted merganser@|@vuoktagoalsi@
@redfish@|@háhka, hávga@
@red-hot@|@ahcagas@
@red-necked phalarope@|@charkkus@
@redskin@|@ruksesliikkat@
@red-throated diver@|@gáhkkor@
@red-throated pipit@|@sieðgacivkkán@
@redwing@|@idjárásttis, ruksessoadjá, ruskessoadji@
@redwing (1)@|@ruksesrásttis@
@reed@|@njuikun@
@reed bunting@|@suovkacihci@
@reflector@|@šelggon@
@refugee@|@báhtareaddji@
@region@|@guovlu@
@Regional Councils@|@Eanangottiid lihtut@
@Regional Environment Centre@|@Birasguovddáš@
@regning@|@rehkenastin@
@regnskapanalyse@|@rehketdoallolaðastallan@
@regret@|@gáhtamuš@
@regular air route@|@fásta girdinlinjjá@
@regulate the flow of water@|@dulvadit@
@reindeer@|@boazu@
@reindeer bull@|@heargi@
@reindeer calf@|@chearpmat@
@reindeer cow@|@áldu@
@reindeer herder@|@badjeolmmoš, boazodoalli@
@reindeer husbandry@|@boazodoallu@
@reindeer husbandry area@|@boazodoalloguovlu@
@reindeer meat@|@bohccobiergu@
@reindeer owners' association@|@chearru@
@reindeer pelt@|@duollji@
@reindeer person@|@boazoolbmoš@
@reindeer Sámi@|@badjesápmelaš, boazosápmelaš@
@reindeer Sámi's house@|@badjedállu@
@rejection@|@hilgun@
@related language@|@fuolkegiella, sohkagiella@
@related through marriage@|@vuntam, vuøttem, vuuntem@
@relative@|@fuolki@
@relative pronoun@|@relatiivapronomen@
@religion@|@oskkoldat, osku@
@remainder@|@bázáhus@
@remarkably X@|@imaš@
@remote@|@al'kö, ol'go, ol'guni-, olgob, olgus, olka, olken@
@reply to@|@buore beaivvi, buore eahket, ipmel atti@
@reply to (1)@|@buore iðit@
@report@|@raporta@
@reporter@|@doaimmaheaddji@
@Repparfjord@|@Riehppovuotna@
@Repparfjorddalen@|@Riehpponávži@
@representative@|@ovddasteaddji@
@republic@|@dásseváldi, republihkka@
@resevoir@|@dulvaduvvon jávri@
@residence@|@ássanviessu@
@resident@|@ássi@
@respect@|@goarguvuohta@
@responsibility@|@geatnegasvuohta@
@responsibility for something@|@vástu@
@restrain@|@goacca@
@restroom@|@hivsset@
@result@|@boaðus@
@reticulum@|@chalmmas@
@retirement@|@ealáhat@
@retirement home@|@boarrásiidsiida@
@Revsbotn@|@Jáhkovuotna@
@Reykjavik@|@Reykjaviikka@
@rheumatism@|@leasmi@
@rhubarb@|@rabárber@
@rhythm@|@ritma, rytma@
@rhythmic@|@rytmmalaš@
@rib@|@erttetdákti@
@rice@|@risenat@
@right of self-assessment@|@vearuhanvuoigatvuohta@
@ring@|@moag'ge, suorpmas@
@ring binder@|@pearbma@
@ring net@|@snoranuohtti@
@ring ousel@|@gierdorásttis@
@ringed plover@|@buvvedat@
@ringed seal@|@gahtti, snaidda@
@ringway@|@gierdoluodda@
@river@|@johka@
@river valley@|@vággi@
@road@|@geaidnu, ratti@
@robin@|@guovssoloddi, ruksesraddi@
@rock@|@gálli@
@rock band@|@rock-joavku@
@rock pipit@|@boaððocivkkán@
@rock ptarmigan@|@giron@
@rock waste@|@ránesbákti@
@rocking chair@|@sugusstuolus@
@roe deer@|@vuovderuoigu@
@role@|@rolla@
@rolling pin@|@fierán@
@Roman@|@romálaš@
@romance@|@romantiihkka@
@romantic@|@romantiihkalaš@
@roof@|@gáhttu@
@rook@|@bealdovuoraš@
@room@|@latnja@
@room temperature@|@latnjaliekkas, latnjatemperatuvra@
@root@|@attes, ruohtas@
@root vegetable@|@ruohtasruonas@
@root word@|@ruohtassátni@
@rope@|@ræš'me@
@rose@|@ruvsu@
@rotten@|@cuöbca, cuöbja, cuöpca, cuovj, mieska, mieskas@
@rough-legged buzzard@|@biehkan, boaimmáš@
@round@|@jorbbas@
@Rovaniemi@|@Roavvenjárga@
@row@|@gurgadas@
@rowan@|@skáhpi@
@rowanberry@|@skáhpemuorji@
@rub@|@fasko-, vasko-@
@rubber@|@gummi@
@rubber bath mat@|@gummirátnu@
@rubberized bitumen@|@gummeasfálta@
@ruble@|@rubel, ruppal@
@rudder@|@mælle@
@ruddy@|@oððavarat, ruksesvarat@
@ruddy-cheeked@|@ruksesmuðot, ruksesnierat@
@ruff@|@rávgoš@
@ruler@|@linjála@
@Rumania@|@Románia@
@runner (person)@|@viehkki@
@running away@|@gar'gadus@
@rusk@|@kávrret, smierrogáhkku@
@Russia@|@Ruošša@
@Russian@|@ruoššalaš@
@Russian person@|@ruošša@
@rust@|@ruosta@
@rusted@|@ruosttas@
@rustic bunting@|@nuortacihci@
@rye@|@rogaš, rohka-@
@rye flour@|@rogat, rohkajáffut@
@Rypefjord@|@Lávželuokta@
@Saami Information Centre@|@Sámi dieðihanguovddás@
@sacral bone@|@gánis, gátnis@
@sad@|@morašlaš@
@safeness@|@sihkkarvuohta@
@safety inspection@|@sihkkarastindárkkisteapmi@
@sage@|@salviija@
@Sagittarius@|@Báhchchi@
@said@|@om, ovdalis máinnašuvvon@
@salad dressing@|@saláhttaálbmi, saláhttabuonjus@
@salary@|@bálká@
@sales price@|@vuovdinhaddi@
@salmon@|@luossa, njoawdnja@
@salmon sandwich@|@luossaláibi@
@salt@|@sálti@
@salt (as a powder)@|@sálttit@
@saltwater@|@sáltecháhci@
@saltwater fish@|@sálteguolli@
@salty@|@sálttis@
@same@|@seammalágán@
@Samefolkets Parti@|@Sámeálbmot Bellodat@
@Sámi "tent"@|@goahti@
@Sámi (language)@|@sámegiella@
@Sámi (person)@|@sápmelaš@
@Sámi unleavened bread@|@gáhkku@
@Sámi who live in the city@|@gávpotsámi@
@San Francisco@|@San Francisco@
@sand@|@sáttu@
@sand martin@|@derpmoš@
@sandblasting@|@sáddobossun@
@sandpaper@|@sáttobábir@
@sandstone@|@sáttogeaðgi@
@sandwich@|@vuodjaláibi@
@Santa Claus@|@juovlastállu@
@sardine@|@sardiidna@
@satellite@|@satelihtta, satelihtta, satellihtta, satellihtta@
@satellite channel@|@satelihttakanála@
@satisfied with s.t@|@duhtavaš@
@saturated@|@gallehuvvon@
@Saturday@|@lávvardat, lávvordat@
@saucer@|@vuoláš@
@sauna@|@sávdni, sávdnji@
@sausage@|@márfi@
@savings account@|@seastinkontu@
@savoy cabbage@|@savoigálla@
@saw@|@saha, sahá@
@sawdust@|@sahájáffut@
@scale@|@mihttomearri@
@scandal@|@skandála@
@Scandinavian@|@skandináva, skandinávalaš@
@scapegoat@|@suddobohkká@
@scapula@|@beaðbi@
@scar@|@árpa@
@scarf@|@šearfa@
@scenery@|@duovdda@
@schedule@|@kaleanddar@
@Schengen Agreement@|@Schengena soahpamuš@
@scholarship@|@stipeandda@
@school@|@skuvla@
@school bureaucrat@|@skuvlabyrokráhta@
@schoolbook@|@oahppogirji@
@schoolchild@|@skuvlamánná@
@science@|@dieða@
@scientific@|@dieðalaš@
@scissors@|@skárrit, skierat@
@Scorpion@|@Skorpiuvdna@
@screen@|@ruvtto@
@screw@|@skruva, skruvva, sruva@
@script (computers)@|@skripta@
@scurvy@|@sangáš@
@sea@|@jaw're, mearra@
@sea buckthorn@|@duordni@
@sea cucumber@|@bodneluomi@
@sea current@|@áhperávdnji@
@sea urchin@|@gáranasruitu@
@seafloor@|@mearrabodni@
@seafowl@|@mearraloddi@
@seal@|@njuorju@
@seam@|@sávdnji@
@seashell@|@skálžu@
@seashore@|@mearragáddi@
@seat@|@beangka@
@seat belt@|@biilaboagán@
@second language@|@nubbigiella@
@second time@|@sekunda@
@secondary school@|@nuoraidskuvla@
@secret@|@chiegusvuohta@
@secretariat@|@chállingoddi@
@Secretary of State@|@Stáhtaçálli@
@Secretary-General@|@váldoçálli@
@section@|@sekšuvdna@
@security@|@dorvvolašvuohta@
@sedentary work@|@chohkkánbargu@
@sedge warbler@|@goalšoruoššehas@
@see also@|@geahcha@
@see you later@|@mana dearvan, manni dearvan@
@sei whale@|@sáidefális@
@Seidajok@|@Sieiddajohka@
@Seiland@|@Sievju@
@self-confidence@|@iešluohttámuš@
@self-control@|@jegolašvuohta@
@self-criticism@|@iešárvvoštallan@
@self-government@|@iešstivrejupmi@
@self-portrait@|@iešgovva@
@self-service parking@|@iešorusteampi@
@self-sufficient@|@sjøleiende@
@sell@|@miehke-, mikke-, mikki-, mikkø-@
@semester@|@lohkanbadji@
@senior citizen@|@boares olmmoš@
@senior in high school@|@rukses ruošša@
@sense of direction@|@meahccemáhttu@
@sentence@|@cealga, cealka, cealkka@
@separate@|@eará@
@September@|@chakchamánnu@
@sepulchre@|@hávdi@
@sequel to something@|@joatkka@
@series@|@ráidu@
@servant girl@|@biika@
@service@|@bálvalus@
@seven@|@chieža, chihchem, kichchem, kíchchim, kietjav@
@seven times@|@chihchchii@
@seventeen@|@chiežanuppelohkái@
@seventh@|@chihchchet@
@seventy@|@chiežalogi@
@sex@|@sohkabealli@
@sexual@|@seksualaš@
@sexually transmitted disease@|@nuoskkesdávda@
@shade@|@ivdni@
@shadow@|@suoggje@
@shaft@|@naðða, nau'ta, navt@
@shag@|@vuoktaskárfa@
@shampoo@|@šámpu@
@shape@|@sjipmo@
@shave@|@fuolla, vuolla, vuolla-, vuulle-@
@she@|@son@
@sheath@|@dohppa@
@sheep@|@sávza@
@sheep's sorrel@|@juopmu@
@sheet asfalt@|@sáttoasfálta@
@sheet music@|@nuohtat, nuohttejielli@
@shelf@|@hildu, ildu@
@ship@|@dámpa@
@shirt@|@báidi@
@shoe@|@gáma@
@shoelace@|@vuotta@
@shoestore@|@gámagávppi@
@shoot@|@ab'bo@
@shop@|@gávpi@
@shore@|@gáddi@
@short@|@oadne, oanehaš@
@short story@|@novealla@
@short-eared owl@|@loaðgu@
@short-legged@|@loaggi@
@shoulder@|@hárdu, oal'ge, oalgi@
@shoulder joint@|@beaðbelaðas@
@shout@|@chuorvvas@
@shower@|@riššu@
@shower (rain)@|@arveoakti@
@Siberia@|@Sibiriija@
@Siberian@|@sibiriijalaš@
@Siberian jay@|@guovssat@
@Siberian tit@|@gaccepaš@
@sick@|@buohccán@
@sick leave@|@buohcanluopma@
@side@|@vïra, vïrra, wära, wärak  vierra, wera, werak@
@sign@|@mearka@
@sign language@|@giehtagiella@
@sign language interpreter@|@giehtagielatdulka@
@silver@|@silba@
@since ~@|@rájes@
@Sincerely@|@dearvvašvuoðaiguin@
@singer@|@lávlu@
@single mother@|@oktoeadni@
@single parent@|@oktováhnen@
@single-family housing@|@bearašásodat@
@singular@|@ovttaidlohku, singulára@
@Sirius@|@Boares Gállá@
@Sirma@|@Sirpmá@
@siskin@|@ruonácizáš@
@sister@|@oabbá@
@six@|@guhtta@
@sixteen@|@guhttanuppelohkái@
@sixth@|@guðát@
@sixty@|@guhttalogi@
@ski@|@Guoude, sabet:h@
@ski jump@|@sabetnjuken@
@Skibotn@|@Ivgobahta@
@skillful@|@cheahppi@
@skin@|@asse@
@Skolt Sami@|@nuortalaš, nuortasápmelaš@
@sky@|@albmi@
@sky lark@|@leivvoš@
@slave@|@oar'je@
@Slavonian grebe@|@cháhppesbuokcha@
@sledge@|@reahka@
@sleeper@|@nohkki@
@sleet@|@gálja, gálljin@
@sleeve@|@sasse@
@sleigh harness@|@vuotta@
@slick@|@njaláhas@
@slippery@|@njalkkas@
@slow@|@njoacce@
@slowly@|@njoazit, njozet@
@small@|@uhca, unni@
@small bell@|@divga@
@small book@|@girjjáš@
@small car@|@biillaš@
@small girl@|@nieiddaš@
@small intestine@|@seakkachoalli@
@small room@|@lanjáš@
@small table@|@beavddáš@
@smaller@|@unnit@
@smallness@|@unnivuohta@
@smell@|@ciwna@
@smew@|@gárggogoalsi@
@smoke@|@suovva@
@smoke hole@|@ræppen@
@smoking@|@duhpáhastim, duhpáhastin@
@snail@|@riifu, riipu@
@snake@|@gearpmaš@
@sneeze@|@nos'ke-@
@snot@|@nett, snuol'ga@
@snout@|@nierra@
@snow@|@muohta@
@snow bunting@|@állat@
@snow squash@|@suossa@
@snowmobile@|@mohtorgielká, skohter@
@snowmobiler@|@skohtervuoddji@
@snowstorm@|@borga@
@snowy owl@|@jievjaskuolfi, skuolfi@
@so@|@~maðe, nu@
@so that@|@dieinna lágiin@
@soaking wet@|@njuoskkasnaga@
@soap@|@sáibbo, sáibu@
@Social democrat@|@Socialdemokráhtta@
@Social Democratic Party@|@Socialdemokráhta bellodat@
@social science@|@sosiologiija@
@socialism@|@sosialisma@
@society@|@servodat@
@sociological@|@sosiologalaš@
@sociologically@|@sosiologalažžat@
@sociologist@|@sosiologa@
@sock@|@suohkku@
@sofa@|@suffá@
@soft@|@nemok@
@solar cell@|@beaivvášsealla@
@soldier@|@soalddát@
@solidarity@|@solidaritehta@
@solitude@|@oktovuohta@
@solution@|@choavddus@
@someone is wrong@|@leat vearrut@
@someone who has time@|@astil@
@something elevated@|@mairre@
@something slippery@|@njalla-, njalle, njallee@
@sometimes@|@muhtumin@
@son@|@bárdni@
@song@|@lávlla@
@song thrush@|@loddejievži@
@soon@|@farga, fargga@
@soprano@|@soprána@
@sorcerer@|@noai'de, noai'do, nojt@
@Sørøya@|@Sállan@
@Sørøyasund@|@Sállannuori@
@Sørvær@|@Márregohppi@
@Sør-Varanger@|@Mátta-Várjjat@
@soul@|@heagga person@
@sound@|@jietna@
@sour milk@|@jiessamielki@
@source@|@gáldu@
@south@|@máddi@
@South Africa@|@Lulli-Afrihkká, Mátta-Afrihkká@
@South America@|@Lulli-Amerihkká@
@South Korea@|@Mátta-Korea@
@southeast@|@máttanuorti@
@Southern Finland@|@Lulli-Suopma@
@southwest@|@máttaoarji@
@souvenir@|@mátkemuitu@
@sovereign@|@iehchanas@
@Soviet@|@sovjetlihttulaš@
@soybean@|@soijabáhpu@
@spade@|@goaivu@
@spade in cards@|@spáððá@
@spaghetti@|@spageahtta@
@Spain@|@Spánia, Spánja@
@span@|@vuok'se, vuoksee, vuopsee@
@spare clothes@|@molssabiktasat, molssachoavdda, skiftenøkkel@
@spark@|@gappa@
@special@|@erenoamaš@
@specialist@|@spesialista@
@speech@|@hupman, sárdni@
@spider@|@heavdni@
@spinach@|@spenáhta@
@spinal column@|@chielgi@
@spine@|@biika@
@spiral@|@spirála@
@spit@|@vuok'se@
@spittle@|@cholga@
@spleen@|@dáðvi, dávdi@
@split@|@laapmee, loabma, loabme, loabmo@
@spoken@|@njálmmálaš@
@sponge cake@|@sohkargáhkku@
@spoon@|@baste@
@sport@|@falástallan, faláštallan@
@spotted dog@|@spártojeagil@
@spotted flycatcher@|@ráneslivkkár@
@spotted redshank@|@cháhppeschiksa, cháhppeschoavžžu@
@spouse@|@beallalaš, beallelaš, náittosguoibmi@
@spread out@|@lávda@
@spring@|@gidda, giðða, njuiken@
@spring semester@|@giððalohkanbáji@
@spring(time)@|@giðða@
@spy@|@spiovdna@
@square kilometer@|@njealjehaskilomehter@
@square meter@|@njealjehasmehter@
@squirrel@|@oar're, oarri@
@stability@|@stáðisvuohta@
@stainless steel@|@ruostameahttun stálli@
@star@|@dasste, daste, násti, taaist, taaiste, taast@
@state@|@riika, stáhda@
@state bureaucracy@|@stáhtabyrokratiija@
@State Printing Office@|@prentenguovddaš@
@State Provincial Offices@|@Leanaráððehusat@
@status@|@árvodássi, stáhtus, státus@
@status report@|@stáhtusraporta@
@steam engine@|@lievlamašiidna@
@Steller's elder@|@goargohangngá@
@stepdaughter@|@nieidabealle@
@stepfather@|@áhchchebealli@
@stepmother@|@eadnebealli@
@stepson@|@bárdnebealli@
@stick@|@soab'be@
@stick in@|@chujoti-@
@stiff@|@doang'ge, doanggat@
@still@|@ain, vel, velá@
@Stockholm@|@Stockholbma@
@stomach@|@choavji@
@stone@|@geaðgi@
@stone bramble@|@veaddemuorji@
@stop@|@duow'go-@
@Storfjord@|@Omasvuotna@
@storm petrel@|@áhpespálfu@
@straight@|@allzu, ila vuoika, vijk, vujk, vuoi'gâ, vuoi'gâd@
@straight (1)@|@rivdnji@
@strait@|@choalbmi@
@stranger@|@guossi@
@strategy@|@strategiija@
@straw@|@vuolGA@
@strawberry@|@bealdomuorji, eanamuorji, eananmuorji@
@stream@|@rávdnji@
@street@|@gáhta, gáhtta@
@street sign@|@gáhtagalba@
@strike@|@streaika@
@string@|@báddi@
@string on an instrument@|@suotna@
@strong@|@gievra, jul'bme, julmas, julmok@
@strong grade@|@gievrras dássi@
@student@|@oahppi, studeanta@
@study@|@dutkamuš@
@stuff@|@gálvu@
@stupid@|@doavki@
@style@|@stiila@
@subject@|@subjeakta@
@submarine@|@cháhcevuolfanas@
@subordinate clause@|@oalgecealkka@
@subservient to someone@|@leat jegolaš@
@subsidy@|@stáhtadoarjja@
@subsistence farmer@|@iešbirgejeaddji@
@subsistence farming@|@iešbirgeneanandoallu@
@substantive@|@substantiiva@
@substitute@|@sadjásaš@
@such@|@dakkár@
@sugar@|@sohkar@
@sugar (as a powder)@|@sohkkarat@
@suggest that something be done@|@evttohit@
@suitable@|@heivvolaš@
@sum@|@submi@
@summer@|@geassi, gœesse@
@sun@|@beaivvaš, beaivváš, beaivváš, päi'vee, peivee, piejv, piejve@
@Sunday@|@sotnabeaivi@
@sunshine@|@beaivvadat@
@support@|@doarjâ, doarjo-, tar'ja, tar'joo-, toorja, tuaarja@
@Supreme Administrative Court@|@Alimus hálddahusriekti@
@Supreme Court@|@alimus riekti@
@surface@|@al, alï, alii, allaas@
@surface area@|@viidodat@
@surplus goods@|@badjebázaávnnas@
@surroundings@|@birrastat@
@swan@|@njukcha@
@sweater@|@ullobáidi@
@swede@|@náppos@
@Swede@|@ruottelaš@
@Sweden@|@Ruotta@
@Swedish language@|@ruoðagielat, ruotagiell@
@sweet@|@amiidi, hamiide@
@sweets@|@njálgat@
@swimmer@|@vuoddji@
@swine@|@spiidni@
@switchboard@|@telefonguovddáš@
@Switzerland@|@Šveica@
@sword@|@miehkki@
@sykepenger@|@buohcanbálka, buohcanruhta@
@syllabic writing@|@stáhpeçála@
@sympathy@|@árkkalmastinvuohta@
@symptom@|@dávdamearka@
@syntax@|@cealkkaoahppa, syntaksa@
@system@|@vuogádat@
@tab key@|@tabuláhtor@
@table@|@beavdi@
@tablecloth@|@duvka@
@tablespoon@|@stuorrabaste@
@tabular@|@tabeallalaš@
@tabulator stop@|@tabuláhtorbisseheaddji@
@tackle@|@táhkkal@
@tactics@|@taktihkka@
@tactile@|@taktilalaš@
@tail@|@(boja@
@take a picture@|@govvet@
@tale@|@máinnas, muitalus@
@tame@|@vuodnjo, vuonjas@
@Tana@|@Deatnu@
@tandem truck@|@sparrobiila@
@tangerine@|@mandariidna@
@tank@|@tánka@
@tanka (poetry)@|@tanka@
@Tanzania@|@Tansania@
@tape@|@jietnabáddi@
@tape recorder@|@jietnabáddemášiidna, kaseahttachuojanas@
@tape recorder (1)@|@káseahttachuojanas@
@tare@|@tara@
