@Koine Greek@|@English@
@πτύσμα -ατος -τό @|@spittle@
@πτύσσω @|@I fold, roll up@
@πτύω @|@I spit@
@πτῶμα -ατος -τό @|@a carcass, corpse@
@πτῶσις -εως -ἡ @|@a falling, a fall@
@πτωχεία -ας -ἡ @|@beggary, poverty@
@πτωχεύω @|@I am in poverty@
@πτωχός -ή -όν @|@poor, destitute@
@πυγμή -ῆς -ἡ @|@the fist@
@Πύθων -ωνος -ὁ @|@a divining spirit@
@πυκνός -ή -όν @|@frequent, often@
@πυκτεύω @|@I box@
@πύλη -ης -ἡ @|@a door, gate@
@πυλών -ῶνος -ὁ @|@a large gate, a gateway, porch@
@πυνθάνομαι @|@I ask, inquire@
@πῦρ -πυρός -τό @|@fire, trials@
@πυρά -ᾶς -ἡ @|@a fire@
@πύργος -ου -ὁ @|@a tower, fortified structure@
@πυρέσσω @|@I am sick with a fever@
@πυρετός -οῦ -ὁ @|@a fever@
@πύρινος -η -ον @|@fiery, glittering@
@πυρόω @|@I burn, am purified by fire@
@πυρράζω @|@I am red@
@πυρός -ά -όν @|@red, fire-colored@
@πύρωσις -εως -ἡ @|@a burning, trial, fiery test@
@πωλέω @|@I sell@
@πῶλος -ου -ὁ @|@a colt, young ass@
@πώποτε @|@at any time, ever@
@πωρόω @|@I harden, render callous@
@πώρωσις -εως -ἡ @|@hardness of heart@
@πῶς @|@how, in what manner@
@Ῥαάβ -ἡ @|@Rahab@
@ῥαββί @|@Rabbi, my master, teacher@
@ῥαββουνί @|@Rabbi, my master@
@ῥαβδίζω @|@I beat with rods, scourge@
@ῥάβδος -ου -ἡ @|@a rod, staff@
@ῥαβδοῦχος -ου -ὁ @|@a lictor, Roman officer@
@Ῥαγαῦ -ὁ @|@Ragau, Reu@
@ῥᾳδιούργημα -ατος -τό @|@an act of villainy@
@ῥᾳδιουργία -ας -ἡ @|@craftiness, villainy@
@ῥακά @|@empty, foolish@
@ῥάκος -ους -τό @|@a piece of cloth@
@Ῥαμά -ἡ @|@Rama@
@ῥαντίζω @|@I sprinkle@
@ῥαντισμός -οῦ -ὁ @|@sprinkling, purification@
@ῥαπίζω @|@I slap, strike@
@ῥάπισμα -ατος -τό @|@a slap@
@ῥαφίς -ίδος -ἡ @|@a needle@
@Ῥαχάβ -ἡ @|@Rahab@
@Ῥαχήλ -ἡ @|@Rachel@
@Ῥεβέκκα -ας -ἡ @|@Rebecca@
@ῥέδα -ης -ἡ @|@a chariot@
@Ῥεμφάν -ὁ @|@Rephan, Saturn@
@ῥέω @|@I flow@
@Ῥήγιον -ου -τό @|@Rhegium@
@ῥῆγμα -ατος -τό @|@a ruin@
@ῥήγνυμι -ῥήσσω @|@I break, break forth@
@ῥῆμα -ατος -τό @|@a thing spoken@
@Ῥησά -ὁ @|@Rhesa@
@ῥήτωρ -ορος -ὁ @|@an orator@
@ῥητῶς @|@in so many words@
@ῥίζα -ης -ἡ @|@a root, that which comes from the root@
@ῥιζόω @|@I root, fix by the root@
@ῥιπή -ῆς -ἡ() @|@a glance, twinkle (of the eye)@
@ῥιπίζω @|@I toss to and fro@
@ῥιπτέω @|@I throw away@
@ῥίπτω @|@I throw, cast, toss@
@Ῥοβοάμ -ὁ @|@Rehoboam@
@Ῥόδη -ης -ἡ @|@Rhoda@
@Ῥόδος -ου -ἡ @|@Rhodes@
@ῥοιζηδόν @|@with a great noise@
@ῥομφαία -ας -ἡ @|@a sword, piercing grief@
@Ῥουβίμ -ὁ @|@Reuben@
@Ῥούθ -ἡ @|@Ruth@
@Ῥοῦφος -ου -ὁ @|@Rufus@
@ῥύμη -ης -ἡ @|@a street, lane@
@ῥύομαι @|@I rescue@
@ῥυπαρία -ας -ἡ @|@filth, pollution@
@ῥυπαρός -ά -όν @|@filthy, defiled@
@ῥύπος -ου -ὁ @|@filth, dirt@
@ῥυπαρεύομαι @|@I am filthy@
@ῥύσις -εως -ἡ @|@a flowing, an issue@
@ῥυτίς -ίδος -ἡ @|@a wrinkle, spiritual defect@
@Ῥωμαϊκός -ή -όν @|@Roman, Latin@
@Ῥωμαῖος -α -ον @|@Roman, a Roman citizen@
@Ῥωμαϊστί @|@in the Latin language@
@Ῥώμη -ης -ἡ @|@Rome@
@ῥώννυμι @|@I strengthen, farewell@
@σαβαχθανί @|@thou hast forsaken me@
@σαβαώθ @|@hosts, armies@
@σαββατισμός -οῦ -ὁ @|@a Sabbath rest@
@σάββατον -ου -τό @|@the Sabbath, a week@
@σαγήνη -ης -ἡ @|@a fishing-net@
@Σαδδουκαῖος -ου -ὁ @|@a Sadducee@
@Σαδώκ -ὁ @|@Zadok@
@σαίνω @|@I move, disturb@
@σάκκος -ου -ὁ @|@sack-cloth@
@Σαλά -ὁ @|@Sala@
@Σαλαθιήλ -ὁ @|@Salathiel@
@Σαλαμίς -ῖνος -ἡ @|@Salamis@
@σαλεύω @|@I shake, excite@
@Σαλήμ -ἡ @|@Salem@
@Σαλμών -ὁ @|@Salmon@
@Σαλμώνη -ης -ἡ @|@Salmone@
@σάλος -ου -ὁ @|@the tossing of the sea in a tempest@
@σάλπιγξ -ιγγος -ἡ @|@a trumpet@
@σαλπίζω @|@I sound a trumpet@
@σαλπιστής -οῦ -ὁ @|@a trumpeter@
@Σαλώμη -ης -ἡ @|@Salome@
@Σαμάρεια -ας -ἡ @|@Samaria@
@Σαμαρείτης -ου -ὁ @|@a Samaritan@
@Σαμαρεῖτις -ιδος -ἡ @|@a Samaritan woman@
@Σαμοθρᾴκη -ης -ἡ @|@Samothrace@
@Σάμος -ου -ἡ @|@Samos@
@Σαμουήλ -ὁ @|@Samuel@
@Σαμψών -ὁ @|@Samson@
@σανδάλιον -ου -τό @|@a sandal@
@σανίς -ίδος -ἡ @|@a plank, board@
@Σαούλ -ὁ @|@Saul@
@σαπρός -ά -όν @|@rotten, useless, corrupt@
@Σαπφείρη -ης -ἡ @|@Sapphira@
@σάπφειρος -ου -ἡ @|@a sapphire@
@σαργάνη -ης -ἡ @|@a basket@
@Σάρδεις -εων -αἱ @|@Sardis@
@σάρδιον -ου -τό @|@carnelian@
@σαρδόνυξ -υχος -ὁ @|@sardonyx@
@Σάρεπτα -ων -τά @|@Zarephath@
@σαρκικός -ή -όν @|@fleshly, carnal@
@σάρκινος -η -ον @|@consisting of flesh@
@σάρξ -σαρκός -ἡ @|@flesh, body@
@Σερούχ -ὁ @|@Serug@
@σαρόω @|@I sweep@
@Σάρρα -ας -ἡ @|@Sarah@
@Ασσαρών -ῶνος -ὁ @|@Sharon@
@Σατᾶν -ὁ @|@Satan@
@Σατανᾶς -ᾶ -ὁ @|@an adversary, Satan@
@σάτον -ου -τό @|@nearly three English gallons@
@Σαῦλος -ου -ὁ @|@Saul, the apostle@
@σβέννυμι @|@I extinguish, suppress@
@σεαυτοῦ -ῆς -οῦ @|@of yourself@
@σεβάζομαι @|@I worship@
@σέβασμα -ατος -τό @|@an object of worship@
@Σεβαστός -ή -όν @|@august, venerated@
@σέβομαι @|@I reverence, worship@
@σειρά -ᾶς -ἡ @|@a chain@
@σεισμός -οῦ -ὁ @|@an earthquake, storm@
@σείω @|@I shake@
@Σεκοῦνδος -ου -ὁ @|@Secundus@
@Σελεύκεια -ας -ἡ @|@Seleucia@
@σελήνη -ης -ἡ @|@the moon@
@σεληνιάζομαι @|@I am a lunatic@
@Σεμεΐ -ὁ @|@Semein@
@σεμίδαλις -εως -ἡ @|@the finest wheaten flour@
@σεμνός -ή -όν @|@honorable@
@σεμνότης -τητος -ἡ @|@dignity, honor@
@Σέργιος -ου -ὁ @|@Sergius@
@Σήθ -ὁ @|@Seth@
@Σήμ -ὁ @|@Shem@
@σημαίνω @|@I signify, indicate@
@σημεῖον -ου -τό @|@a sign, miracle, indication@
@σημειόομαι @|@I note@
@σήμερον @|@today, now@
@σήπω @|@I cause to rot@
@σηρικός -ή -όν @|@silken@
@σής -σητός -ὁ @|@a moth@
@σητόβρωτος -ον @|@moth-eaten@
@σθενόω @|@I strengthen@
@σιαγών -όνος -ἡ @|@the jawbone, cheek@
@σιγάω @|@I keep silent@
@σιγή -ῆς -ἡ @|@silence@
@σιδήρεος -έα -εον @|@made of iron@
@σίδηρος -ου -ὁ @|@iron@
@Σιδών -ῶνος -ἡ @|@Sidon@
@Σιδώνιος -ία -ιον @|@Sidonian@
@σικάριος -ου -ὁ @|@an assassin, murderer@
@σίκερα -τό @|@intoxicating drink@
@Σίλας -ᾶ -ὁ @|@Silas@
@Σιλουανός -οῦ -ὁ @|@Silvanus@
@Σιλωάμ -ὁ @|@Siloam@
@σιμικίνθιον -ου -τό @|@an apron@
@Σίμων -ωνος -ὁ @|@Simon@
@Σινᾶ -τό @|@Sinai@
@σίναπι -εως -ἡ @|@mustard@
@σινδών -όνος -ἡ @|@a linen cloth@
@σινιάζω @|@I sift, prove by trials@
@σιτευτός -ή -όν @|@fattened@
@σιτιστός -ή -όν @|@fattened@
@σιτομέτριον -ου -τό @|@a measured portion of grain or food@
@σῖτος -ου -ὁ @|@wheat, grain@
@Σιών -ἡ @|@Zion@
@σιωπάω @|@I keep silence@
@σκανδαλίζω @|@I cause to stumble@
@σκάνδαλον -ου -τό @|@a snare, stumbling-block@
@σκάπτω @|@I dig@
@σκάφη -ης -ἡ @|@a boat@
@σκέλος -ους -τό @|@the leg@
@σκέπασμα -ατος -τό @|@clothing@
@Σκευᾶς -ᾶ -ὁ @|@Sceva@
@σκευή -ῆς -ἡ @|@tackle, fittings@
@σκεῦος -ους -τό @|@a vessel to contain liquid, utensil, tackle@
@σκηνή -ῆς -ἡ @|@a tent, tabernacle@
@σκηνοπηγία -ας -ἡ @|@the feast of tabernacles@
@σκηνοποιός -οῦ -ὁ @|@a tent-maker@
@σκῆνος -ους -τό @|@a tent@
@σκηνόω @|@I dwell as in a tent, encamp@
@σκήνωμα -ατος -τό @|@a dwelling@
@σκιά -ᾶς -ἡ @|@a shadow, thick darkness, an outline@
@σκιρτάω @|@I leap for joy@
@σκληροκαρδία -ας -ἡ @|@hardness of heart@
@σκληρός -ά -όν @|@hard, violent, harsh, stern@
@σκληρότης -τητος -ἡ @|@hardness of heart@
@σκληροτράχηλος -ον @|@stubborn@
@σκληρύνω @|@I harden@
@σκολιός -ά -όν @|@crooked, perverse, unfair@
@σκόλοψ -οπος -ὁ @|@a stake or thorn@
@σκοπέω @|@regard attentively, take heed@
@σκοπός -οῦ -ὁ @|@a goal@
@σκορπίζω @|@I disperse@
@σκορπίος -ου -ὁ @|@a scorpion@
@σκοτεινός -ή -όν @|@full of darkness, dark@
@σκοτία -ας -ἡ @|@darkness@
@σκοτίζω @|@I darken@
@σκότος -ους -τό @|@darkness@
@σκοτόω @|@I darken@
@σκύβαλον -ου -τό @|@refuse, dregs@
@Σκύθης -ου -ὁ @|@a Scythian@
@σκυθρωπός -ή -όν @|@gloomy, sad-countenanced@
@σκύλλω @|@I flay, trouble, annoy@
@σκῦλον -ου -τό @|@spoil taken from a foe@
@σκωληκόβρωτος -ον @|@eaten by worms@
@σκώληξ -ηκος -ὁ @|@a gnawing worm@
@σμαράγδινος -η -ον @|@made of emerald@
@σμάραγδος -ου -ὁ @|@an emerald@
@σμύρνα -ης -ἡ @|@myrrh@
@Σμύρνα -ης -ἡ @|@Smyrna@
@σμυρνίζω @|@I mingle with myrrh@
@Σόδομα -ων -τά @|@Sodom@
@Σολομών -ῶνος -ὁ @|@Solomon@
@σορός -οῦ -ἡ @|@a bier, an open coffin@
@σός -σή -σόν @|@yours, thy, thine@
@σουδάριον -ου -τό @|@a handkerchief@
@Σουσάννα -ης -ἡ @|@Susannah@
@σοφία -ας -ἡ @|@wisdom@
@σοφίζω @|@I make wise@
@σοφός -ή -όν @|@wise@
@Σπανία -ας -ἡ @|@Spain@
@σπαράσσω @|@I convulse@
@σπαργανόω @|@I wrap in swaddling clothes@
@σπαταλάω @|@I live extravagantly@
@σπάω @|@I draw (as a sword)@
@σπεῖρα -ης -ἡ @|@a cohort@
@σπείρω @|@I sow, spread, scatter@
@σπεκουλάτωρ -ορος -ὁ -@|@a body-guardsman, an executioner@
@σπένδω @|@I pour out as a libation@
@σπέρμα -ατος -τό @|@seed, offspring@
@σπερμολόγος -ου -ὁ @|@a babbler@
@σπεύδω @|@I hasten, desire earnestly@
@σπήλαιον -ου -τό @|@a cave, den@
@σπιλάς -άδος -ἡ @|@a hidden rock, false teacher@
@σπιλόω @|@I defile, spot@
@σπῖλος -ου -ὁ @|@a spot, fault@
@σπλαγχνίζομαι @|@I have pity on@
@σπλάγχνα -ων -τά @|@bowels, compassion, pity@
@σπόγγος -ου -ὁ @|@a sponge@
@σποδός -οῦ -ἡ @|@ashes@
@σπορά -ᾶς -ἡ @|@seed@
@σπόριμος -ον @|@sown, sown fields@
@σπόρος -ου -ὁ @|@seed for sowing@
@σπουδάζω @|@I hasten@
@σπουδαῖος -α -ον @|@diligent, earnest@
@σπουδαιότερον @|@more diligently@
@σπουδαιοτέρως @|@more earnestly, more carefully@
@σπουδαίως @|@diligently, earnestly@
@σπουδή -ῆς -ἡ @|@haste, diligence@
@σπυρίς -ίδος -ἡ @|@a plaited basket@
@στάδιον -ου -τό @|@one eighth of a Roman mile@
@στάμνος -ου -ὁ -ἡ @|@a jar or vase@
@στάσις -εως -ἡ @|@standing, place, dissension@
@στατήρ -ῆρος -ὁ @|@a Jewish shekel@
@σταυρός -οῦ -ὁ @|@a cross@
@σταυρόω @|@I crucify@
@σταφυλή -ῆς -ἡ @|@a grape, cluster of grapes@
@στάχυς -υος -ὁ @|@a head of grain@
@Στάχυς -υος -ὁ @|@Stachys@
@στέγη -ης -ἡ @|@a flat roof of a house@
@στέγω @|@I cover, conceal, bear with@
@στεῖρος -α -ον @|@barren@
@στέλλω @|@I arrange, take care, withdraw from@
@στέμμα -ατος -τό @|@a garland@
@στεναγμός -οῦ -ὁ @|@a groaning@
@στενάζω @|@I groan@
@στενός -ή -όν @|@narrow@
@στενοχωρέω @|@I press upon, cramp, restrain@
@στενοχωρία -ας -ἡ @|@a narrow space, great distress@
@στερεός -ά -όν @|@solid, firm, steadfast@
@στερεόω @|@I strengthen, confirm, establish@
@στερέωμα -ατος -τό @|@firmness, steadfastness@
@Στεφανᾶς -ᾶ -ὁ @|@Stephanas@
@στέφανος -ου -ὁ @|@a crown, garland@
@Στέφανος -ου -ὁ @|@Stephen@
@στεφανόω @|@I crown, adorn@
@στῆθος -ους -τό @|@the breast@
@στήκω @|@I stand fast, persevere@
@στηριγμός -οῦ -ὁ @|@firmness, steadfastness@
@στηρίζω @|@I fix firmly, strengthen@
@στίγμα -ατος -τό @|@a mark or brand@
@στιγμή -ῆς -ἡ @|@a point of time, an instant@
@στίλβω @|@I shine, glisten, flash@
@στοά -ᾶς -ἡ @|@a colonnade, portico@
@στοιβάς -άδος -ἡ @|@a bough, branch of a tree@
@στοιχεῖον -ου -τό @|@a heavenly body, an element@
@στοιχέω @|@I walk@
@στολή -ῆς -ἡ @|@a long robe@
@στόμα -ατος -τό @|@the mouth, speech@
@στόμαχος -ου -ὁ @|@the stomach@
@στρατεία -ας -ἡ @|@warfare, military service@
@στράτευμα -ατος -τό @|@an army@
@στρατεύομαι @|@I wage war, fight@
@στρατηγός -οῦ -ὁ @|@a general, magistrate, captain of the temple@
@στρατιά -ᾶς -ἡ @|@an army, host of angels@
@στρατιώτης -ου -ὁ @|@a soldier@
@στρατολογέω @|@I enlist troops@
@στρατοπεδάρχης -ου -ὁ @|@commander of the Roman emperor’s body-guard@
@στρατόπεδον -ου -τό @|@an encamped army@
@στρεβλόω @|@I rack, pervert, twist@
@στρέφω @|@I turn, am converted, change@
@στρηνιάω @|@I live luxuriously@
@στρῆνος -ους -τό @|@wantonness, luxury@
@στρουθίον -ου -τό @|@a small bird, sparrow@
@στρωννύω @|@I spread, make a bed@
@στυγητός -ή -όν @|@hateful, detestable@
@στυγνάζω @|@I am gloomy@
@στῦλος -ου -ὁ @|@a pillar@
@Στωϊκός -ή -όν @|@Stoic@
@σύ -σοῦ -σοί -σέ @|@you@
@συγγένεια -ας -ἡ @|@kindred, family@
@συγγενής -ές @|@akin, a relative@
@συγγνώμη -ης -ἡ @|@permission, indulgence@
@συγκάθημαι @|@I sit with@
@συγκαθίζω @|@I cause to sit down with, sit down together@
@συγκακοπαθέω @|@I suffer hardships together with@
@συγκακουχέω @|@I suffer ill-treatment with@
@συγκαλέω @|@I call together@
@συγκαλύπτω @|@I conceal closely, cover up wholly@
@συγκάμπτω @|@I oppress, bend together@
@συγκαταβαίνω @|@I go down with@
@συγκατάθεσις -εως -ἡ @|@assent, agreement@
@συγκατατίθημι @|@I give a vote with, assent to@
@συγκαταψηφίζω @|@I am voted or classed with@
@συγκεράννυμι @|@I mix with, unite@
@συγκινέω @|@I move together, stir up@
@συγκλείω @|@I enclose, shut in@
@συγκληρονόμος -ου -ὁ -ἡ @|@a joint heir, participant@
@συγκοινωνέω @|@I have fellowship with@
@συγκοινωνός -ου -ὁ -ἡ @|@a partaker with, co-partner@
@συγκομίζω @|@I bear away together with@
@συγκρίνω @|@I combine, compare@
@συγκύπτω @|@I am bent double@
@συγκυρία -ας -ἡ @|@a coincidence, accident, chance@
@συγχαίρω @|@I rejoice with@
@συγχέω @|@I bewilder, stir up@
@συγχράομαι @|@I have dealings with@
@σύγχυσις -εως -ἡ @|@confusion, disturbance@
@συζάω @|@I live together with@
@συζεύγνυμι @|@I unite@
@συζητέω @|@I seek together, discuss, dispute@
@συζήτησις -εως -ἡ @|@mutual questioning, disputation@
@συζητητής -οῦ -ὁ @|@a disputer@
@σύζυγος -ου -ὁ -@|@a yoke-fellow, colleague@
@συζωοποιέω @|@I make alive together with@
@συκάμινος -ου -ἡ @|@a sycamore tree@
@συκῆ -ῆς -ἡ @|@a fig-tree@
@συκομωραία -ας -ἡ @|@a sycamore tree@
@σῦκον -ου -τό @|@a fig@
@συκοφαντέω @|@I accuse falsely, defraud@
@συλαγωγέω @|@I plunder@
@συλάω @|@I rob, plunder@
@συλλαλέω @|@I talk with@
@συλλαμβάνω @|@I seize, apprehend, become pregnant@
@συλλέγω @|@I collect, gather@
@συλλογίζομαι @|@I reason@
@συλλυπέομαι @|@I am grieved@
@συμβαίνω @|@I happen, occur@
@συμβάλλω @|@I ponder, encounter, confer or dispute with@
@συμβασιλεύω @|@I reign together with@
@συμβιβάζω @|@I unite, prove, instruct@
@συμβουλεύω @|@I give advice@
@συμβούλιον -ου -τό @|@a council, advice@
@σύμβουλος -ου -ὁ @|@an adviser, counselor@
@Συμεών -ὁ @|@Simeon or Simon@
@συμμαθητής -οῦ -ὁ @|@a fellow-disciple@
@συμμαρτυρέω @|@I bear witness together with@
@συμμερίζομαι @|@I partake with@
@συμμέτοχος -ον @|@jointly partaking@
@συμμιμητής -οῦ -ὁ @|@a joint imitator@
@σύμμορφος -ον @|@similar, conformed to@
@συμμορφόω @|@I bring to the same form with, conform@
@συμπαθέω @|@I sympathize with, have compassion on@
@συμπαθής -ές @|@sympathizing, compassionate@
@συμπαραγίνομαι @|@I come together with, help@
@συμπαρακαλέω @|@I invite, encourage along with others@
@συμπαραλαμβάνω @|@I take along as a companion@
@συμπαραμένω @|@I remain or continue together with@
@συμπάρειμι @|@I am present together with@
@συμπάσχω @|@I suffer together with@
@συμπέμπω @|@I send together with@
@συμπεριλαμβάνω @|@I embrace completely@
@συμπίνω @|@I drink together with@
@συμπληρόω @|@I fill completely@
@συμπνίγω @|@I choke utterly, crowd upon@
@συμπολίτης -ου -ὁ @|@a fellow citizen@
@συμπορεύομαι @|@I journey together with, assemble@
@συμπόσιον -ου -τό @|@a drinking party, festive company@
@συμπρεσβύτερος -ου -ὁ @|@a fellow elder@
@συμφέρω @|@I collect, am profitable to@
@σύμφημι @|@I assent to@
@συμφυλέτης -ου -ὁ @|@a fellow country-man@
@σύμφυτος -ον @|@grown together, united with@
@συμφύω @|@I grow at the same time@
@συμφωνέω @|@I agree with@
@συμφώνησις -εως -ἡ @|@harmony, agreement@
@συμφωνία -ας -ἡ @|@harmony of instruments, music@
@σύμφωνος -ον @|@harmonious, agreeing with@
@συμψηφίζω @|@I compute, reckon up@
@σύμψυχος -ον @|@of one accord@
@σύν @|@with@
@συνάγω @|@I gather together@
@συναγωγή -ῆς -ἡ @|@an assembly, congregation, synagogue@
@συναγωνίζομαι @|@I struggle in company with@
@συναθλέω @|@I compete together with others@
@συναθροίζω @|@I gather together, assemble@
@συναίρω @|@I make a reckoning, settle accounts@
@συναιχμάλωτος -ου -ὁ @|@a fellow captive@
@συνακολουθέω @|@I accompany@
@συναλίζομαι @|@I am assembled together with@
@συναναβαίνω @|@I go up with@
@συνανάκειμαι @|@I recline at table with@
@συναναμίγνυμι @|@I keep company with@
@συναναπαύομαι @|@I rest along with@
@συναντάω @|@I meet, encounter@
@συνάντησις -εως -ἡ @|@a meeting with@
@συναντιλαμβάνομαι @|@I assist, help@
@συναπάγω @|@I lead away with, condescend to@
@συναποθνῄσκω @|@I die together with@
@συναπόλλυμι @|@I perish along with@
@συναποστέλλω @|@I send together with@
@συναρμολογέω @|@I fit together@
@συναρπάζω @|@I seize, drag by force@
@συναυξάνομαι @|@I grow together@
@σύνδεσμος -ου -ὁ @|@a band, bond@
@συνδέω @|@I bind together@
@συνδοξάζω @|@I glorify together with@
@σύνδουλος -ου -ὁ @|@a fellow servant, colleague@
@συνδρομή -ῆς -ἡ @|@a running together@
@συνεγείρω @|@I raise along with@
@συνέδριον -ου -τό @|@a council, the Sanhedrin@
@συνείδησις -εως -ἡ @|@the conscience@
@σύνοιδα @|@I know, consider, am privy to@
@σύνειμι @|@I am with@
@σύν εἶμι @|@I come together@
@συνεισέρχομαι @|@I enter together with@
@συνέκδημος -ου -ὁ -ἡ @|@a fellow traveler@
@συνεκλεκτός -ή -όν @|@fellow-elect@
@συνελαύνω @|@I compel, urge@
@συνεπιμαρτυρέω @|@I unite in bearing witness@
@συνέπομαι @|@I accompany@
@συνεργέω @|@I work together@
@συνεργός -οῦ -ὁ @|@a fellow worker@
@συνέρχομαι @|@I come or go with, accompany, assemble@
@συνεσθίω @|@I eat with@
@σύνεσις -εως -ἡ @|@understanding@
@συνετός -ή -όν @|@intelligent, prudent, wise@
@συνευδοκέω @|@I consent, agree, am of one mind with@
@συνευωχέομαι @|@I feast sumptuously with@
@συνεπίστημι @|@I rise up together against@
@συνέχω @|@I press together, confine, compel, am afflicted with@
@συνήδομαι @|@I delight inwardly in@
@συνήθεια -ας -ἡ @|@a custom, habit@
@συνηλικιώτης -ου -ὁ @|@one of the same age@
@συνθάπτω @|@I bury along with@
@συνθλάω @|@I break, break in pieces@
@συνθλίβω @|@I crowd upon@
@συνθρύπτω @|@I break in pieces, crush, thoroughly weaken@
@συνίημι @|@I consider, understand@
@συνίστημι -συνιστάνω @|@I commend, prove, am composed of, cohere@
@συνοδεύω @|@I journey with, accompany@
@συνοδία -ας -ἡ @|@a company traveling together, a caravan@
@συνοικέω @|@I dwell with, live in wedlock with@
@συνοικοδομέω @|@I build together with@
@συνομιλέω @|@I talk with@
@συνομορέω @|@I am contiguous with@
@συνοχή -ῆς -ἡ @|@distress, anguish@
@συντάσσω @|@I arrange with, direct, appoint@
@συντέλεια -ας -ἡ @|@a completion, consummation, end@
@συντελέω @|@I fulfill, accomplish@
@συντέμνω @|@I cut short, bring to swift accomplishment@
@συντηρέω @|@I preserve, keep safe, keep in mind@
@συντίθημι @|@I make an agreement, agree@
@συντόμως @|@concisely, briefly@
@συντρέχω @|@I run with@
@συντρίβω @|@I break by crushing@
@σύντριμμα -ατος -τό @|@crushing, destruction@
@σύντροφος -ου -ὁ @|@a foster brother@
@συντυγχάνω @|@I meet with, come to@
@Συντύχη -ῆς -ἡ @|@Syntyche@
@συνυποκρίνομαι @|@I dissemble with@
@συνυπουργέω @|@I help together@
@συνωδίνω @|@I am in travail together@
@συνωμοσία -ας -ἡ @|@a conspiracy, plot@
@Συράκουσαι -ῶν -αἱ @|@Syracuse@
@Συρία -ας -ἡ @|@Syria@
@Σύρος -ου -ὁ @|@Syrian@
@Συροφοινίκισσα -ης -ἡ @|@Syrophoenician@
@Σύρτις -εως -ἡ @|@Syrtis, quicksand@
@σύρω @|@I draw, drag@
@συσπαράσσω @|@I throw violently on the ground@
@σύσσημον -ου -τό @|@a signal agreed upon@
@σύσσωμος -ον @|@belonging to the same body@
@συστασιαστής -οῦ -ὁ @|@a fellow insurgent@
@συστατικός -ή -όν @|@commendatory@
@συσταυρόω @|@I crucify together with@
@συστέλλω @|@I shorten, swathe@
@συστενάζω @|@I groan together@
@συστοιχέω @|@I correspond to@
@συστρατιώτης -ου -ὁ @|@a fellow soldier@
@συστρέφω @|@I roll or gather together@
@συστροφή -ῆς -ἡ @|@a gathering together, riotous concourse@
@συσχηματίζω @|@I conform to@
@Συχάρ -ἡ @|@Sychar@
@Συχέμ -ἡ @|@Shechem@
@σφαγή -ῆς -ἡ @|@slaughter, sacrifice@
@σφάγιον -ου -τό @|@a slaughtered victim@
@σφάζω @|@I slay@
@σφόδρα @|@exceedingly, greatly@
@σφοδρῶς @|@exceedingly@
@σφραγίζω @|@I set a seal upon@
@σφραγίς -ῖδος -ἡ -@|@a signet-ring, impression of a seal, the proof@
@σφυρόν -οῦ -τό @|@the ankle bone@
@σχεδόν @|@nearly, almost@
@σχῆμα -ατος -τό @|@fashion, habit, form, appearance@
@σχίζω @|@I rend, divide asunder@
@σχίσμα -ατος -τό @|@a rent, division@
@σχοινίον -ου -τό @|@a cord, rope@
@σχολάζω @|@I have leisure, stand empty@
@σχολή -ῆς -ἡ @|@leisure, a school@
@σῴζω @|@I save, heal@
@σῶμα -ατος -τό @|@body, flesh@
@σωματικός -ή -όν @|@bodily, corporeal@
@σωματικῶς @|@bodily@
@Σώπατρος -ου -ὁ @|@Sopater@
@σωρεύω @|@I heap up, load@
@Σωσθένης -ου -ὁ @|@Sosthenes@
@Σωσίπατρος -ου -ὁ @|@Sosipater@
@σωτήρ -ῆρος -ὁ @|@a savior, deliverer, preserver@
@σωτηρία -ας -ἡ @|@deliverance, salvation@
@σωτήριος -ον @|@saving, bringing salvation, salvation@
@σωφρονέω -@|@I am sober-minded, exercise self-control@
@σωφρονίζω @|@I admonish@
@σωφρονισμός -οῦ -ὁ -@|@self-control, self-discipline@
@σωφρόνως @|@soberly, with moderation@
@σωφροσύνη -ης -ἡ @|@sanity, sobriety@
@σώφρων -ον -@|@self-controlled, temperate@
@ταβέρναι -ῶν -αἱ @|@taverns@
@Ταβηθά -ἡ @|@Tabitha, antelope@
@τάγμα -ατος -τό @|@rank, division@
@τακτός -ή -όν @|@appointed, arranged, fixed@
@ταλαιπωρέω @|@I am miserable, distressed@
@ταλαιπωρία -ας -ἡ @|@hardship, misery@
@ταλαίπωρος -ον @|@wretched, afflicted, miserable@
@ταλαντιαῖος -αία -αῖον @|@a talent in weight@
@τάλαντον -ου -τό @|@a talent of silver or gold@
@ταλιθά @|@little girl@
@ταμεῖον -ου -τό @|@a secret chamber@
@τάξις -εως -ἡ @|@order, position, rank@
@ταπεινός -ή -όν @|@humble, lowly@
@ταπεινοφροσύνη -ης -ἡ @|@humility@
@ταπεινόω @|@I humble, humiliate@
@ταπείνωσις -εως -ἡ @|@abasement, low condition@
@ταράσσω @|@I agitate, stir up, trouble@
@ταραχή -ῆς -ἡ @|@a disturbance, tumult, sedition@
@τάραχος -ου -ὁ @|@a disturbance, commotion@
@Ταρσεύς -έως -ὁ @|@belonging to Tarsus@
@Ταρσός -οῦ -ἡ @|@Tarsus@
@ταρταρόω @|@I thrust down to Tartarus@
@τάσσω @|@I assign, arrange@
@ταῦρος -ου -ὁ @|@a bull, an ox@
@ταφή -ῆς -ἡ @|@a burial@
