@English@|@Mam Todos Santos@
@vine called amol in Guatemala that belongs to the Sapindaceae (or soapberry) family whose roots were used to make soap in the past@|@xmasin@
@vine that belongs to the family of lobeliaceas whose fruits are orange colored@|@smurijaq'@
@vine that belongs to the lobliaceae family and has an orange-colored fruit@|@salpich'@
@vine that climbs trees and has white flowers and  an orange stem (it's name in Guatemala is Barba de Leon)@|@eky'eky', xhq'an ich', xhq'an wi'@
@vine that climbs trees and has white flowers and an orange stem (it's name in Guatemala is Barba de Leon)@|@aq'@
@vine with a thin stem and leaves in the form of a cross which produces a small berry@|@xmu'tx@
@vinegar@|@tx'anin@
@vining bean plant (called piloy in Guatemala) with heart shaped leaves whose grains are large and black@|@xma'k@
@violet (colored)@|@samaymaj, xmor@
@violin@|@chqitz'@
@viper@|@txukan@
@virgen (refering to a young unmarried woman)@|@q'apoj@
@vise@|@b'etz'b'il, yiq'ob'il@
@visible@|@kib'b'ajal@
@vision@|@witziky'@
@visit (not the trip but the talking)@|@la'j@
@visitor@|@b'etzal, nojni txol, q'olb'il, ula@
@visitor (in a zoo or a park)@|@b'etan@
@visor that extends out over some protective hats (like on a fireman's hat)@|@ka'yb'il@
@vitamin@|@tipaxmilal@
@vocabulary@|@pujb'il yol@
@voice@|@q'eyn, twi', wi'@
@void@|@tzkaj@
@volcanic eruption@|@poq'li, xkyaqan witz@
@volcano@|@chman, nimaq witz, ninwitz, witz@
@volleyball@|@xtulaxpo'tz@
@vomit@|@xa'aw, xa'p, xaw@
@vomit (the product of vomitting)@|@xab', xab't@
@vomiting@|@xa'aw@
@vote@|@sk'ol@
@vowel@|@q'ajtzi@
@vulgar term for the testicles@|@jos@
@vulgar way to refer to a woman with whom you have previously had sexual relations@|@tosb'e'tz@
@vulgar way to refer to sexual relations@|@tosil@
@vulgar way to refer to the vagina@|@jil@
@vulture@|@k'utz@
@vulture with a black head@|@k'utz@
@wading pool@|@panb'ila'@
@waist@|@k'itzb'aj, tk'itz@
@waist (of the body)@|@k'atzb'aj, ky'itzb'aj@
@waist (She had her hands on her waist)@|@k'u'jb'aj@
@waist (She wore a belt around her waist)@|@k'u'j@
@waist (We stood with our hands on our waists and elbows bent backward)@|@k'ujb'aj@
@waistband@|@twi'yal@
@wait@|@neja@
@Wait a moment (for me)@|@Ayoma jun kmuj@
@wait for him her or it@|@ayonjtz@
@wait for it him or her@|@ayoma@
@Wait for me@|@Chin tyoma@
@wait for the people@|@ayoma xjal@
@wait!@|@ayoma, ne'j@
@Wait!@|@Yoma!@
@waiter (at a restaurant)@|@chik'ol laq@
@waiting@|@ayon@
@waiting place@|@ayob'il@
@wake (for the dead)@|@utz'le'n@
@walk@|@b'eta, b'eta-@
@walk slowly in gravel without shoes@|@lanka-@
@walked@|@b'eta@
@walker@|@ajb'etel, ajb'etil, b'etal, b'etan@
@walking of insects (The fleas walk under Maria's baby)@|@kalilil@
@walking stick@|@ky'aqo'ch, xky'aqo'ch, xtok@
@walking without speaking (the action of doing this)@|@txululu@
@wall@|@loq', tapa, tapi@
@wall (made of adobe or block)@|@tapi@
@wall (made of adobe)@|@t-witz loq'@
@wall (outer wall of a building)@|@loq'in@
@wall meter (for measuring height perhaps)@|@echb'il loq'@
@wallet@|@b'o't, pak'ub'il@
@wallow@|@xb'ayil@
@wallow or roll in something@|@xtolajsal@
@wander@|@b'rok'etil, b'ruk'util, tnaj@
@wander about in your sleep making noise@|@xhokokon@
@want@|@aj, aj-, ajb'e-@
@war@|@jyoj q'oj, q'oj@
@warm@|@metmaj, q'ulan@
@warmth@|@tq'ulanil@
@warning of something tragic that will happen (The owl we saw this morning was an omen of something bad that will happen)@|@lab'@
@warp thread that someone has put together@|@q'inb'en@
@warper (for weaving)@|@q'inb'il@
@warrier@|@ajq'oj, yajol q'oj@
@wart@|@xpit@
@was@|@ten@
@was cut (cut with the passive marker -at)@|@tx'emat@
@was having@|@otaq@
@was hit@|@tzeq'at@
@was lamented@|@oq'set@
@was looked for@|@jyonjtz@
@was lost@|@ma txi naj@
@was wrong@|@ma tz'el naj@
@wash@|@tx'aj-@
@wash basin@|@tx'ajb'il q'ob'aj@
@wash clothes@|@yuch@
@wash hands@|@xb'iq'a-@
@wash the head@|@ch'upchi, ch'upchi-@
@wash the nixtamal@|@lik'ol@
@washed@|@tx'ajo'n, tx'jo'n@
@washing machine@|@tx'ajb'il@
@wasn't able to@|@mixtaqti' nb'ant@
@wasp@|@txu aq@
@waste@|@polil, poqj@
@waste matter excreted from the bowels@|@txa'j@
@waste of time@|@ko'kj@
@waste scraps from having eaten cooked green corn (husks cobs etc)@|@kxu'b'en@
@wastebasket@|@kub'itz'is@
@wasted it@|@ma' b'aj tsiji'yan@
@watching over or taking care of something@|@ka'yin@
@water@|@a', b'ilil, chitj@
@water a plant or a garden@|@a'yil@
@water bird@|@pixhixhi'@
@water creature@|@al a'@
@water faucet@|@chor@
@water for rinsing or utensil used for water@|@sq'unb'il@
@water fountain (for drinking)@|@k'wab'il@
@water in its natural state@|@a'@
@water repository@|@tkub'ila'@
@water that comes from excessive rain@|@xlok' a'@
@water that is used for washing or bathing@|@tx'ajb'il@
@water that is used to rinse the mouth@|@sq'umb'il@
@water to be wasted (The water that is there is going to serve me to be wasted)@|@chulb'il@
@water used for washing the head only (because water is cold in most Mam communities it is warmed for washing the head only)@|@ch'upich@
@watercress@|@b'er@
@watered@|@ak'set@
@watered down@|@t'ut'in@
@waterfall@|@ch'ajan a', tlipb'il a'@
@watering@|@a'lin, chitj, chitle@
@watering can (made of plastic or whatever)@|@chitob'ila'@
@watermelon@|@kyaq'oq'@
@watery@|@ak', ak'naj, t'ut'an, t'ut'in@
@watery (especially masa or bread dough)@|@ch'ul@
@watery (especially masa that has had too much water added)@|@xhe'n@
@watery stool due to diarrea@|@b'ilil@
@wave (of the sea)@|@tma'lal a'@
@wax@|@litz', t'u'x, xlitz'@
@wax the color of coffee that is obtained from honeybee combs@|@chmek@
@way@|@ik, tza'n tten@
@way in which farmers punish disobedient sheep (by putting a pole in their neck or tying their front feet together)@|@tmanil@
@way of@|@tb'eyil@
@way of thinking@|@nab'il, nab'l@
@way of walking little by little and with the head ducked down (like a cat stalking its prey)@|@nak nak@
@we@|@aqo', awo', awo'ya@
@we'll see@|@q'ancha'lxi'@
@We (all of us) were in town@|@O ten tuj tnam@
@We (all) went out to preach@|@Ma qo exe pakb'al@
@we (are) winning@|@nqokamb'an@
@we (excluding the speaker) are lying on our sides@|@txalchiqo'ye@
@we (exclusive)@|@alpaqo'ya, a'o', aqo'ya, aqoye, aqo'ye, awo, o'yoye', qi'ja, qo'ya@
@We (exclusive) are talking@|@In qo yoline@
@we (exclusive) hit it@|@ma qtzeq'aya@
@we (exclusive) spoke@|@o yoline@
@we (exclusive) suffered@|@ma qaq'e'@
@we (exclusive) talked@|@o yoline@
@we (exclusive) walked@|@ma qo b'eta@
@We (exclusive) went to work.@|@Ma qo xajale aq'unal@
@We (exclusive) were at the meeting@|@Ma qo tene tuj chmab'il@
@We (exclusive) will talk@|@ok qo yolile, qo yolile@
@we (in the distant past)@|@o@
@we (including the one spoken to) are diligent@|@sak'qo'@
@we (including the one spoken to) are sitting@|@q'uqlqo'@
@we (including the one spoken to) are standing@|@wa'lqo'@
@we (including the one spoken to) are thin@|@jitx'jojqo'@
@we (including the speaker) are lying on our sides@|@txalchiqo'@
@we (including you) walked@|@ob'et@
@we (including) you have made it@|@ma kb'incha@
@we (inclusive)@|@alpaqo', aqo, qo@
@We (inclusive) are talking@|@In qo yolin@
@we (inclusive) suffered@|@ma qak'@
@We (inclusive) were at the meeting@|@Ma qo ten tuj chmab'il@
@we (inclusive) will talk@|@ok qo yolil, qo yolil@
@We (inclusive) will talk@|@Ok qo yolil@
@we (not including the one spoken to) are diligent@|@sak'qoye'@
@we (not including the one spoken to) are sitting@|@q'uqlqoye'@
@we (not including the one spoken to) are thin@|@jitx'jojqoye'@
@we (not including the person spoken to) are standing@|@wa'lqoye'@
@we (not you) walked@|@ob'ete@
@we (others and I) are not going to go@|@minti' qo'xqeye@
@we all are people@|@xjal qo'@
@we all are tired@|@sikynaj qo'@
@we all have@|@at qey@
@we all hit it@|@ma qtzeq'a@
@we all walked@|@ma qo b'et@
@we are@|@aqo'ya, awo, qo'ya, to'@
@we are (exclusive)@|@oto'ya, -qoye'@
@we are (in a place - this is we exclusive)@|@ato'ya, to'ya@
@we are (inclusive)@|@aqo', ato', oto', -qo'@
@we are (myself and others are but you are not included)@|@qo'ye@
@we are (you and I and others are)@|@qo'@
@we are all sick (inclusive)@|@yab' qo'@
@we are all sitting (inclusive)@|@q'uqli qo'@
@We are at home@|@Ato'ye qjaye@
@We are at the meeting@|@Ato'ye toj chmab'il@
@We are called Yok@|@Yok qb'ilye@
@we are conversing@|@in qo yoline@
@we are drinking atol de elote (a thick drink made with young corn diluted with water or milk)@|@nqo sqa'yine'@
@we are dying@|@nqo kyim@
@we are eating@|@in qo wa'ne@
@we are fat (Ntzaj cho'n qanma qa q'e'sqo Our heart hurts if we are fat)@|@q'e'sqo@
@We are fine@|@B'a'n oto' qe'@
@we are getting sick@|@nqo yab'te@
@we are glad you all came@|@B'a'n kyulene qo tzalaj ma che ule@
@we are going to@|@kqo-okel ten@
@we are going to eat@|@Qo' wa'l@
@we are going to go@|@ma qo'xe, o qo xe'le, qo xe'le, qo'xe'@
@We are going to go eat@|@Ma qo'xe wa'l@
@We are going to go preach@|@Ma qo'xe pakb'al@
@We are going to go study@|@Ma qo'xe xnaq'tzal@
@We are going to go to the meeting@|@Ma qo'xe toj chmab'il@
@We are going to go to work@|@Ma qo'xe aq'unal@
@We are going to go with our family.@|@Ma qo'xe kyuk'e toj qjaye@
@We are good people@|@B'a'n xjal qo'ye@
@we are growing old@|@nqo tijen@
@We are in class@|@Ato'ye toj xnaq'tzb'il@
@We are in our house@|@Ato'ye qjaye@
@We are Jehovah's witnesses@|@Aqo'ye testigos de Jehova@
@we are looking for@|@qjyontz@
@We are not going to study (Not we study)@|@Mi'n qo xnaq'tzal@
@we are people@|@xjal qo'ya@
@We are people (exclusive)@|@xjal qo'ye@
@we are people (this we does not include the person being spoken to)@|@winaqqoye@
@We are people (this we includes the one spoken to and others)@|@winaqqo@
@we are preaching@|@in qo pakb'ane@
@we are reading@|@in qo u'jine@
@we are seated@|@q'uqli qo'ye@
@we are seated (inclusive)@|@q'uqli qo'@
@we are sick (exclusive)@|@yab' qo'ye@
@we are singing@|@in qo b'itzene@
@we are sitting (exclusive)@|@q'uqli qo'ye@
@we are students (this we does not include the person being spoken to)@|@xnaq'tzalqoye@
@we are students (this we includes the one being spoken to)@|@xnaq'tzalqo@
@we are studying@|@in qo xnaq'tzane@
@we are talking@|@in qo yoline@
@we are thinking (exclusive)@|@nqo ximen@
@we are tired@|@sikynaj qo'ya@
@we are working@|@in qo aq'unane@
@we are writing@|@in qo tz'ib'ene, qtz'ib'ine@
@We aren't going to go to work@|@Minti' qo'xqeye aq'unal@
@we beg@|@qtanam@
@We believers (Christians) shouldn't fight@|@aqo' okslal miti' tu'n qq'ojen@
@we came (n is a progressive tense marker - q is the first person plural ergative marker - ul means 'come' or 'arrive here')@|@nqul@
@We can't go@|@Mlay qo'xe@
@We can be God's friends@|@Jaku qo ok te tamiw qMan Dios@
@we can endure (exclusive)@|@jaku tzik'x qu'ne@
@We can find (inclusive)@|@jaku jyet qu'n@
@We can go@|@Jaku qo'xe@
@We can go with him@|@Jaku qo'xe tuk'e@
@We can go with them@|@Jaku qo'x kyuk'e@
@We can go with you all@|@Jaku qo'xe kyuk'ile@
@we change)@|@ch'expul@
@we could@|@xkye@
@We did a lot@|@Nim ma b'ant qu'n@
@we dig up@|@katan, xhkatan@
@we don't to go@|@nya qaj qo'xe@
@we don't want@|@nya qaje@
@We don't want (we don't want to do it)@|@qky'e' qe'@
@we encounter@|@qwitz, qwitze@
@we enter (the 'a' makes this exclusive)@|@qoka@
@we entered (qo is we from the absolutive set and ok means 'to go in' or 'to enter')@|@ma qoka@
@we find@|@qwitz, qwitze@
@we finish bathing@|@qtx'ajb'il@
@we gave@|@qq'o'na@
@we gave salt@|@atz'aminjs, atz'mij@
@we get old@|@qosb'ikyix@
@we give@|@qq'o'na@
@we go@|@qoxe'le@
@we go (exclusive)@|@qoxe'liye@
@we go (in)@|@qoka@
@we have (exclusive)@|@at qeya@
@We have time now@|@At amlil qi'ja ja'la@
@We have two feet (literally - There are two our feet)@|@At kab'e qqan@
@we it (a verb goes between 'we' and 'it' - we will do it or we did it or we know it etc)@|@qu'n, qu'na@
@We know that person@|@a xjal txix qojtzqi'ne' twitz@
@we laughed@|@qo tze'ne@
@we learn@|@qnik'@
@we look for@|@katan, xhkatan@
@We made food at my house.@|@O b'inchene wab'j njaye.@
@we not including you@|@aqoye'@
@we or us (Kyaqil qo' kqoxe'l b'aj tuj tnam All of us will go down to town)@|@qo'@
@we or us (q 'marks the first person plural inclusive we or us' i'j is a relational noun that marks the recipient of the action so this is like saying 'it happened to us')@|@qi'j@
@we ourselves@|@aqo'@
@we plead@|@qtanam@
@we pray@|@qtanam@
@We preached with our brothers.@|@O pakb'ane kyuk'e qerman.@
@we read@|@qo u'jin@
@we request@|@qtanam@
@we run cj)@|@ch'akajlab'il@
@we scratch@|@katan, xhkatan@
@we spoke@|@qyolin@
@we spoke (exclusive)@|@o qo yoline@
@we spoke (inclusive)@|@o yolin@
@We spoke (inclusive)@|@O qo yolin@
@we talked (exclusive)@|@o qo yoline@
@we talked (inclusive)@|@o yolin@
@We talked (inclusive)@|@O qo yolin@
@we understand@|@qnik'@
@we use the words@|@che ajb'en yol qu'n@
@we want@|@qaje@
@we want to go@|@qaj qo'xe@
@we wanted to (but for some reason didn't carry it out)@|@qajtaq, qajtaqe@
@we went@|@alpaqo', alpaqo'ya, awoqo, ma qox, ma qo'x, qxi'ye@
@we went (and came back)@|@qo xyaja@
@We went to preach.@|@Ma qo xaje pakb'al.@
@We went to teach.@|@Ma qo xaje xnaq'tzal.@
@We went to the meeting.@|@Xqo xaje toj chmab'il.@
@we were@|@alpaqo'ya, ato'taqa, awoqo, oto'taqa@
@we were (exclusive - recent past)@|@ma qo tene@
@we were (exclusive)@|@o qo tene, o tene@
@we were (inclusive - recent past)@|@ma qo ten@
@we were (inclusive)@|@o qo ten, o ten@
@we were (will be etc)@|@alpaqo'@
@We were at George's house@|@Ma qo tene tja George@
@We were at the Assembly in Quetzaltenango@|@O tene toj nimaq chmab'il Quetzaltenango@
@We were going to go to see you@|@oktoq qo xele ka'yil teya@
@We were happy to visit a little@|@In qo tzalaje ma qo yoline ch'in@
@We were happy to visit with you (literally We are glad we were speaking a little)@|@In qo tzalaje ma qo yolin ch'in@
@We were in town@|@O tene tuj tnam@
@we were laughing@|@nqo tze'ne@
@we were preaching@|@ma qo pakb'ane@
@we were resting@|@ma qo ajlane, ma qo ojlane@
@we were studying@|@ma qo xnaq'tzane@
@We were with our brothers@|@Ma che tene kyuk'e qerman@
@we were working@|@ma qo aq'unane@
@we will@|@kqo-okel ten@
@we will be@|@alpaqo'ya@
@We will be (exclusive)@|@ok qo tele @
@we will be (inclusive)@|@ok qo tel@
@We will be at home@|@Ok qo tele qjaye@
@We will be with our friends@|@Ok qo tele kyuk'e qamiwe@
@We will be with the brothers@|@Ok qo tele kyuk'e qerman@
@we will begin@|@kqo-okel ten@
@we will go (if preceded by ok)@|@qoxe'le@
@we will go (the k is a potential action marker)@|@kqoxe'l@
@we will leave it as it is@|@kukxjo, kyja'xjo@
@we will preach@|@ok qo pakb'ale@
@we will rest@|@ok qo ajlale@
@we will see (we will see if it is possible)@|@k'a'@
@we will start to@|@kqo-okel ten@
@we will study@|@ok qo xnaq'tzale@
@We will talk again@|@Qo yolinxitl@
@We will talk again next week@|@Toj juntl seman qo yolin@
@we will talk later@|@b'a'n qyolinx@
@We will talk later@|@Qo yolinxitl@
@We will talk tomorrow (N - continuing action marker chi'j - tomorrow xi - future marker qo - we yolin - talking)@|@Nchi'jxi qo yolin@
@we will work@|@ok qo aq'unale@
@we worked@|@ma qaq'naya@
@we wrote@|@qtz'ib'ine@
@weak@|@nya' kuj@
@weapon@|@ub'l@
@weary@|@numj@
@weasel@|@saqb'in@
@weave@|@chemaj@
@weaver@|@ajchmol@
@weaving (noun)@|@chemenj@
@weaving of string that is used to tie the diaper of infants or the pants of older men@|@k'alb'il@
@weaving that is used to tie the diaper de infants or the skirt of women or the pants of older persons@|@k'alk'itz@
@wedding@|@mejeb'lin, mjeb'le'n, mujeb'il@
@wedge@|@tx'a', xwetx'@
@wedge (Put a wedge under the table leg so the table won't wobble)@|@ttx'a'@
@Wednesday@|@oq'ij@
@weed@|@loq@
@weed that produces white flowers and often covers land that has been left fallow for a time@|@pop k'ul@
@week@|@k'loq'ij, sman, taq ajan, wuqb'il q'ij@
@weep screaming (The family is crying and wailing (weqil) for the loss of their mother)@|@weqil, xjeq'il@
@weeping@|@oq'il@
@weevil@|@mut, pok'@
@weigh@|@sasb'e@
@weighed@|@alax@
@weighing potatoes@|@nmilonsqal@
@weight@|@quk'osib'il@
@weight of@|@alil@
@welcome@|@b'a'nkyulena, b'a'ntulena@
@Welcome@|@B'a'n kyulene qo tzalaj ma che ule@
@Welcome we are glad you came@|@B'a'n tulena qo tzalaje ma tzula@
@well@|@pwes, -tzan, tzen, -tzen@
@well (a well for bringing up water from under the ground)@|@xoch@
@well (as in Well I don't know)@|@atzen@
@well (emphatic statement Well I don't think so)@|@o'tzan@
@well (expression as in Well I don't know)@|@tzan@
@well (expression)@|@maj@
@well done@|@teq'x@
@well he@|@attzan@
@well it's not much (nim means much pa means even and tzan means well)@|@nimpatzan@
@well made@|@tz'umin@
@well she@|@attzan@
@well up to (max means up to tzan means well)@|@maxtzan@
@well where (Well where is it)@|@jattzan@
@well wrapped package put somewhere@|@b'otz'li@
@went@|@e'x, pon, ponil, xa'ya@
@went back@|@ajtz, anjtz@
@went down@|@ma kub'@
@went out@|@el, ma tz'ex, sex@
@went up@|@japun, tjax@
@went up it@|@ma jax tq'o'n@
@were looked for@|@jyonjtz@
@weren't@|@mixtaqti'@
@weren't able to@|@mixtaqti' nb'ant@
@west@|@elna@
@West@|@elana, elni@
@West (directional adverb)@|@elnax@
@West (I am going in a westerly direction)@|@oknix@
@West (the direction)@|@telexq'ij@
@westward@|@el@
@Westward@|@okni@
@wet@|@ak', ak'anaj, ak'j, ak'naj, ak'r, ak'set, lokch, t'eb', t'oqli@
@wet human or animal@|@shul@
@whale@|@wu'j@
@what@|@ti' tqal, titzan, tqal@
@what's up (sp)@|@dyay@
@what (?)@|@ti til, ti tqal@
@what a mess (sp)@|@jodida@
@What are they doing?@|@Ti' in b'aj kye?@
@what are we going to do?@|@ti qse'@
@What are you all doing?@|@Ti' in b'aj kyeye?@
@What are you doing?@|@ti b'inchana?, Ti' in b'aj teya?@
@what belongs to someone else (not mine or not his or not hers or not yours etc)@|@miya' te@
@What did (you or someone else) say?@|@chitok@
@What did he (she) do in the morning?@|@Ti' xb'aj te prim?, Ti' xb'aj te qlax?@
@What did he (she) do the day before yesterday?@|@Ti' b'aj te kab'aje?@
@What did they do last year?@|@Ti' b'aj kye toj ab'q'i' sik'?@
@What did they do this morning?@|@Ti' xb'aj kye qonik'an?@
@What did you all do last week?@|@Ti b'aj kyeye toj seman sik'?@
@What did you do today?@|@Ti' xb'aj teya ja'le?@
@What did you do yesterday?@|@Ti' b'aj teya ew?@
@What did you do?@|@titi' xb'ajteya@
@what did you use?@|@al u'n@
@What did you want to do?@|@Ti'taq taja tu'n tb'ant tu'na?@
@What did you want?@|@Ti'taq taja?@
@what different uses (something has)@|@ti'xix chaq najb'ena@
@What do you want?@|@Titi' tajb'ila?@
@what do you want? (literally 'What to give'?)@|@ti' kyxe'l@
@What does God ask of us?@|@Ti in tzaj tqanin Dios qe?@
@what does it say@|@chi'yix, timechi@
@what has been invented by someone (gossip)@|@nik'b'en@
@what has been vomited@|@xa'wb'en@
@what has been written (this can be recent writing)@|@tz'ib'b'en@
@what he or she has done@|@tb'inchb'en@
@what he or she has made@|@tb'inchb'en@
@what is gathered or collected@|@siky'aj@
@What is he (she) doing@|@Ti' in b'aj te?@
@what is its cost?@|@jte twi'@
@what is left over after having chosen the best (At the end of the day the produce that is left isn't the best)@|@sik'b'en@
@What is your language?@|@Tjele tyole?@
@what is your name?@|@ti' tb'iya?@
@What is your name?@|@Ti' teya tb'i?, tqal tb'iya@
@What is your opinion?@|@Ti' taq tunel?@
@What is your work? (What do you do for a job)@|@alkye taq'ana@
@what others say@|@nik'b'en@
@what pain (What pain I felt when the door slammed on my finger)@|@kye ta'w@
@what poultry are called when they have feathers of different colors (especially black and white)@|@k'och@
@What size is your house?@|@jnik' tjaya@
@what size?@|@niky'pun@
@what someone has bent (A corn crop)@|@paqtz'ub'en@
@what someone has taught (Our ancestors taught us many important things)@|@yek'b'en@
@what someone robbed (He stole my purse)@|@telaq'@
@what someone says@|@tyol, yol@
@What the Bible teaches (literally what it teaching toward us His Word God)@|@Aju in tzaj t-xnaq'tza'n Tyol Dios@
@what they call land at higher altitudes such as the peak of mountains and hills where the climate is cold@|@che'w tx'otx'@
@what they call people who faint easily@|@xhkimnaq@
@what they call people who originate from Nahuala Guatemala@|@maxhti'j@
@what they call the white threads that go between the black on belts that women use to tie their skirts with@|@tsqal@
@what they call the white threads that go between the black sashes that women use to tie their skirts on with@|@sqal@
@what they call those men who ride horses in the race on November 1 in Todos Santos@|@chejil@
@what time?@|@jniky'@
@what well@|@titzan, titzen@
@What were you all doing this morning?@|@Ti' xb'aj kyeye qale?@
@What will he (she) do the day after tomorow?@|@Ti' kb'ajel te kab'j?@
@What will they do next year?@|@Ti' kb'ajel kye toj juntl abq'i?@
@What will you all do next week?@|@Ti' kb'ajel kyeye toj juntl seman?@
@What will you do tomorrow?@|@Ti' kb'ajel teya nchi'j?@
@What your work? (What do you do for a job)@|@ti taq'ana?@
@what?@|@ti, ti', titi'@
@whatever@|@a'lchaqxtz, tichaq, ti'chaq, ti'chaqku, ti'xti@
@whatever type of food that accompanies tortillas@|@chi'b'aj@
@whatever type of recipient used for drinking@|@k'wab'il@
@wheat@|@k'lo'x, triy@
@wheat stalks@|@le'ch@
@wheat stalks or ears of wheat@|@le'ch@
@wheel@|@se'wan, tul, tulin@
@wheel chair@|@tq'uqb'il kox@
@wheelbarrow@|@iqb'itx'otx'@
@when@|@atzan, atzanj, atzanjo, el, ela, ela', intaq, intoq, kwanto, tij, tze'n@
@when (axtaq b'o'tz qoye means 'when we were small')@|@axtaq@
@when (future)@|@ok@
@when (in the future)@|@taj@
@when (in the past)@|@tej@
@when (nonpotential)@|@aj@
@when (when speaking of the future)@|@oj@
@when a person knows something (The people knew that they had lost their money)@|@kanli@
@when accompanied by a cardinal number this word functions as a measurement@|@jitz'@
@when ch occurs first in a word it is most likely a prefix if it precedes another consonant (k'ayil means 'the bitterness of something' while chk'ayil means 'to provoke misfortune' and juk means 'short and fat' while 'chjuk' means 'short and big bellied' or 'potbellied')@|@ch-@
@when combined with taq ma can be in addition to other aspects and does not really indicate time@|@mataq@
@When did you arive? (ul means to arrive)@|@jtoja ula?@
@when dividing a porous fruit (Pum I cut the apple with a knife)@|@jaxh@
@when el follows jun it means 'one time' (One time they told me this story)@|@el@
@when he came@|@tulihu@
@when I came@|@wuli@
@when I was a little girl@|@txinqinxe@
@when I went@|@atzanj nxi@
@when in the future?@|@jtoj?@
@when in the past?@|@jto@
@when it appears after tu'n (tu'nj) it restricts the meaning of tu'n to 'because'@|@-j@
@when it dries@|@aj ttzqij@
@when it is used as a noun this word means protection but when used as a transitive verb it means to abandon@|@kolb'il@
@when ka'yil appears with the direcional xi it takes on the meaning of to see or observe (Ma txi nka'yine tej saj ti'witz I observed when he came down the mountain)@|@ka'yil@
@when ka'yil appears with the directional ok it takes on the sense of taking care of@|@ka'yil@
@When Moses came down@|@Tej tk'upen Moíses@
@when placed at the beginning of the sentence this is an interrogative meaning where? (Ja k'okila b'uyjtib'il najchi'j? Where is the meeting going to be tomorrow?)@|@ja@
@when preceded by a number or the interrogative particle jte' this means glassful@|@bas@
@when preceded by a number or the interrogative particle jte' this word means plateful bowlful cupful etc@|@laq@
@when preceded by ok this word takes on the meaning of taking good care of something (tok ka'yitxix b'aq'witzb'aj 'take good care of eyes'@|@ka'yitxix@
@when s occurs first in a word it is most likely a prefix if it precedes another consonant (we'j means 'grandfather' or 'elderly person' and swe'j means 'more than 50 years old' - che'w means 'cold' while sche'w means 'shivering')@|@s-@
@when someone feel grief or sorrow (I missed my children when I saw two boys playing)@|@jaxh@
@when someone feels alone or sad@|@jaxh@
@When the Israelites passed (crossed) to the other side of the river Jordan@|@Tej kyik'x aj Israel jlajxi nima' Jordán@
@when the water comes up out of the ground@|@tx'ultx'ul@
@when they went out of (or left) Babylon@|@tej kyetz toj Babilonia@
@when used as a noun this word means defender or advocate but when it is used as a transitive verb it can mean to abandon or to defend or protect@|@kolil@
@when used in the plural can denote an action performed by its subjects on each other@|@lib'@
@when xh occurs first in a word it is most likely a prefix if it precedes another consonant (q'an meaning 'ripe' or 'yellow' becomes xhq'an meaning 'yellow')@|@xh-@
@when you came@|@tulia@
@when?@|@jtoja?, kwanto@
@when? (in the future)@|@jtoj@
@when? (in the past)@|@jtoje@
@where@|@jalojalo, jattzan@
@Where are you all going to go?@|@Jatumel ma chexeye?@
@Where are you all?@|@Jatumel ate'ye?@
@Where are you from?@|@Te jatumel teya?@
@Where are you going to go?@|@Jatumel kxeleya nchi'j?@
@Where are you going today?@|@Jatumel ma che'xe ja'le?@
@Where are you going?@|@Ja ma txa'yiya?@
@Where are you?@|@Jatumel ta'ya?@
@Where are your older brothers?@|@Jatumel ate' ttzika?@
@where at@|@ja@
@Where did you all go?@|@Jatumel xhe xajeye?@
@Where did you go?@|@Jatumel xajeya?, jatzun txajiya@
@where go@|@ja xa'ya@
@where going@|@ja xa'ya@
@Where is he (or she)?@|@Jatumel ta'?@
@Where is your house located?@|@Ja' ta' tjaya?@
@where is?@|@jat@
@where is? (Ja' ta'ya tjaya? - Where is your house?)@|@ja'@
@where someone has lain down@|@qejb'an@
@where something has slipped once@|@sjilb'an@
@where to?@|@jatum@
@where went@|@ja xa'ya@
@where?@|@ja, ja tu'mal?, jatum, jatuma, jatu'mel, jatumel?, jatumil@
@wherever@|@ja'chaqx, ja'chaqxtz, jaxja, jaxku tumel, ja'yix@
@which@|@aj@
@Which am I going to take?@|@Alkyetzan ok kyb'el ntzyu'ne?@
@which one (out of a group)@|@alkyetzunju@
@Which one do you want? (Alkye 'which' - taja 'you want')@|@Alkye taja?@
@which ones (We knew which ones to select)@|@alkyeqechaq@
@which ones?@|@a'lkyechaq@
@Which?@|@alkye@
@whichever@|@alkye, alkyexku@
@whiff@|@siqil, siqol, sqol@
@while@|@elka, tejtzen@
@while ka'msil implies a careful and proportional division of something kub' pax implies something less proportional and perhaps accidental@|@kub' pax@
@while ka'msil implies a careful and proportional division of something liky'pil implies something less proportional and perhaps accidental@|@liky'pil@
@while pjul implies untie something pajul implies a little more effort to loosen or untie something@|@pajul@
@while pjul implies untie something po'q'il implies a little more effort to loosen or untie something@|@po'q'il@
@whimper@|@oq'il, wa'b'il, xht'i'nil@
@whine@|@oq'il, wa'b'il, xht'i'nil@
@whip@|@asyal, lantz'b'il, t'uqpil@
@whip (used to round up cattle or other stock)@|@chikot@
@whirl (wind)@|@xkyaqan paxh@
@whirlpool@|@b'ochaj@
@whirlwind@|@xkyaqan pach, xky'eqchunpach@
@whisk brush@|@tal tz'isb'il@
@whiskers (of a person or an animal)@|@xmatz@
@whisper@|@jas jas@
@whistle@|@lux, xub'@
