@English@|@Greenlandic@
@star fish@|@eqaatsoq@
@stares at it@|@ukkippaa@
@stares before him@|@ukkissivoq@
@starling (Sturnus vulgaris)@|@oqalloriusaq@
@starvation@|@kaanneq@
@starvation.@|@kaanneq@
@starves before his eyes@|@perleraa@
@starves himself to death@|@imminut perleraaq@
@stays away for that reason@|@mullutigaa@
@stays away long@|@mullortuvoq@
@stays away with it@|@mulluppaa@
@stays with him@|@najugaraa@
@stays with him or in that place@|@najorpaa@
@steals upon it or him@|@taqissorpaa@
@steel pen@|@allaasiut@
@steel spring@|@ajorinngujuitsoq@
@steelyard@|@oqimaalutaavik@
@step daughter@|@panissaq@
@steps close to someone@|@palliguppoq@
@stepson@|@ernissaq@
@stern boat@|@kalikattaq@
@stickleback@|@kakilisak@
@sticks (in something)@|@qaappoq@
@sticks in mud@|@marrippoq@
@sticks into it@|@kakivaa@
@sticks it in@|@magguppaa@
@sticks to it@|@najoqqutaraa@
@stiffens gradually@|@issorarpoq@
@stikcks into it@|@ajassarpaa@
@stiletto@|@sanerarmiu@
@stimulant@|@eqeersaatissaq@
@sting@|@iguut@
@stinging pain@|@kaportoq@
@stings him (an insect)@|@iguppaa@
@stings himself@|@kapivoq@
@stitch@|@mersorneq@
@stitches a book@|@mappersikkat, kakkersorpai@
@stitches it together@|@kakkersorpaa@
@stitches it up@|@kakiarpaa, kakkersarpaa@
@stock of such blubber@|@iginnerut@
@stomach@|@aqajaroq@
@stomachs@|@aqajaqqut@
@stone@|@ujarak@
@stone axe@|@ulimaat ujarak@
@stone to prepare skins with@|@ersorsit, ersorsisissaq@
@stoops@|@nakappoq@
@store-room@|@pequusivik@
@stores@|@peqqumaasiaq, peqqumaat, pequut@
@stores gathered@|@pequusiaq@
@storm@|@anorersuaq, perlussuaq@
@straight ahead@|@narlumut@
@strains his sight in order to see something@|@tappiorappoq@
@strains to get loose@|@sakivoq@
@straps@|@allunassat@
@street@|@aqqusineq@
@strength@|@tangeq, ujaluit@
@strengthens him@|@nakussassarpaa, nakussatsippaa@
@strengthens himself@|@nakussassarpoq@
@stretches himself@|@ujappoq@
@strikes@|@sanerarmippaa@
@strikes against@|@ajaqqippoq@
@strikes against it@|@ajakattarpaa, ajaqqiffigaa, ajaqqisaarpoq, kalippaa (kappaa), kalluarpaa, kasuppaa (kaappaa), naaffigaa@
@strikes against it with the paddle mounting@|@kallormippaa@
@strikes against something@|@ajakkaarpoq@
@strikes him with a sword@|@panarpaa, panavaa@
@strikes his@|@sanerarmippoq@
@strikes it against something@|@kalluppaa@
@strikes on it a single time@|@assappaa@
@strikes on it several times@|@assattorpaa@
@strikes the water several times@|@taqammisaarpoq@
@strikes the water with the flat side of the paddle@|@taqammivoq@
@string@|@allunaasaq@
@string of beads@|@sapanngat@
@string on which something is strung@|@nuffit@
@stripe@|@allak@
@strips him or it of something@|@peeruppaa@
@strips it off whole@|@ilullivaa@
@strips off the skin of an umiak by cutting it up at the side@|@amissaq illuarpaa@
@strong high water@|@ulinnersuaq@
@strong in colours@|@qalipanngerissaarpoq, qalipaatigissaarpoq@
@student@|@ilinniarnertooq@
@stumbles@|@persalivoq@
@stumbles over it@|@orlussutigaa@
@stumbling block@|@naaffik@
@stupid@|@taqajak@
@subjects it to his rule@|@naalatsigitippaa@
@subjects someone@|@nakuuserpoq@
@subordinates himself to him@|@naalagarsiorfigaa@
@successor@|@maleruarti@
@such (people) cannot be called poor@|@taamattut piitsunik taasariaqanngillat@
@sudden gust of wind@|@aggiasoorneq@
@suddenly bursts out crying@|@ueruluppoq@
@suddenly feels cold@|@ujunnguartorpoq, uujungujortorpoq@
@sudorific@|@kiagussaat@
@suffers from cataract@|@qalerusserpoq@
@suffers from constipation@|@manngertitsivoq@
@suffers from hernia@|@nakkartitsivoq@
@suffers from that illness@|@nappaatiga@
@suffers from varicose veins@|@taqqattorpoq@
@suffers want@|@ajorsarpoq@
@suffers with heat@|@salavoq@
@sufficiently@|@naammattumik@
@suitable for a sinker@|@ujarassaq@
@summer@|@assaq@
@sun@|@seqineq@
@Sunday@|@sapaat, sapaati@
@Sunday clothes@|@sapaatisiutit@
@sunning it@|@seqinermut manillugu@
@superficially@|@qallikkut, qalliinnakkut@
@superior@|@ajugaq@
@superstition@|@uppernerlunneq@
@supplement what is lacking@|@naammaqutissaq, naammaatissaq@
@supplementing@|@naammaqut, naammaat@
@supplies him with provisions for his journey@|@taqusserpaa, taqussippaa@
@supplies himself with travelling provisions@|@taqusserpoq@
@support@|@ajagutaq, ajâgutaq@
@support for the back@|@iigarfik, iigartarfik@
@support for the elbow@|@ornavaffik@
@support of wood or stone@|@napasuliaq@
@supports bim or it@|@najummivaa@
@supports himself against his elbow@|@ikusimmiarpoq, ikusimiarpoq@
@supports himself against it@|@ajappattorpaa@
@supports himself by thrusting@|@kappussivoq@
@supports his elbow against it@|@ikusimmiarpaa, ikusimiarpaa@
@supports the arm against  something@|@ornavappoq (uneq)@
@supports the hand against it@|@ajaperpaa@
@supports the hand against something@|@ajaperpoq@
@supports the roof with an auxiliary pole@|@qanaguarpaa, qanagusserpaa@
@suppresses him@|@nalakkisaartippaa@
@surface@|@qaa qak@
@surname@|@uigukumiaq, uiguloquttaq, uikumiaq@
@surprising@|@kakagaa, kakkaaq, kakappoq, kakammik@
@surroundings@|@eqqaq@
@surrounds it@|@kaajaluivaa@
@surrounds something@|@kaajaluipoq@
@suspects him of being guilty@|@pasitsaappaa@
@swaggers@|@perrortuvoq@
@swallows it@|@taqammuuppaa@
@swamp@|@marulluk, marujuk@
@swamp; morass@|@maggorluk (maavoq)@
@sways backwards and forwards@|@sakavoq, ukamarpoq, ukumarpoq@
@swears@|@uppernarsaavoq, uppernarsaarivoq@
@sweat@|@aalaq@
@sweats@|@aalarpoq, aallerpoq@
@sweeps it@|@sannit, sanngit@
@swims@|@naluppoq@
@swing@|@issakajaat, issakatsiaarut@
@swings@|@issajaarpoq, issakatsiaarpoq, issarpoq (illuk)@
@sword-fish@|@panaasalik@
@syllable@|@taajortariaq@
@table@|@allattarfik@
@table cloth@|@nerriviup qalia@
@tablete@|@lisartagaq@
@taboo@|@alligaq (aki)@
@tail@|@pamioq@
@tail (of a lizard or the like)@|@paperuusaq@
@tail (of seal or walrus)@|@pamialluk@
@tailor bird@|@mersorniannguaq@
@take care@|@aatsaalli@
@take care!@|@uaa@
@takes a bite@|@oqummersivoq, oqummisserpoq, oqummissivoq@
@takes a concubine@|@panerfarserpoq@
@takes a deep breath after having lost one's breath@|@pakasaarpoq@
@takes a downward direction@|@nakassarpoq@
@takes a fancy to something@|@kajumissivoq@
@takes a long time over something for him@|@paamaaruppaa@
@takes a morsel@|@tamusserpoq@
@takes a run@|@kajummissaarpoq@
@takes away his sin@|@ajortaajarpaa@
@takes ballast into it@|@ujaqqiuserpaa@
@takes blubber for dry food@|@illulerpaa@
@takes care of him@|@paaqqivaa@
@takes care of him or it@|@paaraa (paavoq)@
@takes care of his boots@|@kammeraa@
@takes courage@|@sapiiserpoq@
@takes effect with his words@|@oqaatsi eqquuppaa@
@takes good care@|@mianisaarpoq@
@takes heed@|@mianivoq@
@takes her for a concubine@|@panerfiuppaa@
@takes him as a housemate@|@illoqasiuppaa@
@takes his courage in both hands is courageous@|@ittoorunnaarpoq, ittuujuerpoq@
@takes his sewing needle@|@meqquserpoq@
@takes it away@|@peerpaa @
@takes it by mistake@|@manussaapaa@
@takes it home with him@|@oqquppaa (uterpoq)@
@takes it into his mouth@|@oqummiuppaa@
@takes it into shelter@|@oqquippaa, oqqippaa@
@takes it on his back@|@nammakkiuppaa, nammiuppaa@
@takes it with both hands@|@illutoruuppaa, illuttuuppaa, illuttorpai@
@takes it with him@|@nassarpaa@
@takes off the lashings@|@parnaarussaarpaa@
@takes or makes too few of them@|@ikinaarpai@
@takes out his or its bowels@|@erlaveerpaa@
@takes promiscuously@|@nalinginnarsiorpoq@
@takes something@|@nassataqarpoq@
@takes something away from him@|@piiarpaa@
@takes something on his shoulder@|@ersukkerpoq@
@takes the chill off it@|@manngusserpaa@
@takes the cover off@|@matuerpaa@
@takes the cover off it@|@uleerpaa@
@takes the place beside him@|@saningerpaa@
@takes the weight oft it@|@peruerpaa, peruiarpaa@
@takes them all@|@tamakkerpai@
@takes them two and two at a time@|@marlukkuutaarpai@
@takes what he sees for something else@|@takkorliorpaa@
@talakkappoq@|@talakkappoq@
@talks much@|@qaneqaqaaq@
@taps it gradually@|@maqiterpaa@
@tar brush@|@orsuutiterutit@
@target@|@ooqattaavik, uuttaavik@
@target (in archery)@|@nasseraq@
@tarnished@|@manngertornerpoq@
@tastes well@|@mamarpoq@
@tatooes himself@|@kakiorpoq, kakiorarpoq@
@tatooing@|@kakiornerit, kakiorarnerit@
@tawny@|@kajuarpoq, kajoravoq@
@taxi@|@taxa@
@tea@|@tii@
@teacher@|@ajoqersorti, ajoqersuisoq, ajoqiit (S.G.), atuartoq, ilinniartitssoq@
@teaches@|@ajoqersuivoq@
@teaches him@|@ajoqerpaa, ajoqersorpaa@
@teaches him badly@|@ajoqersornerluppaa@
@teaching@|@ajoqersuineq, ajoqersuut@
@tears it off@|@massorpaa@
@tears it to pieces@|@uiartorpaa@
@tears something loose with the teeth@|@mangiarpoq (makipoq)@
@tears the crust oft it@|@qallingerpaa, qallingerpoq@
@telegraph@|@nalunaarasuartaat@
@telephone@|@oqarasuartaat@
@telephones@|@oqaraluarpoq@
@tells@|@oqalungusiarpoq@
@tells (for entertainment)@|@oqalualaarpoq@
@tells a falsehood@|@salluvoq@
@tells a legend@|@oqaluttuarpoq@
@tells him how to express himself@|@oqaasissiorpaa@
@tells him something@|@oqaluttuuppaa@
@tells him the way@|@aqqutissaanik ajoqersuuppaa@
@tells him what to do@|@oqaappaa@
@tells of him or it@|@oqaluttuaraa@
@tells of visions@|@takorluukkersaapoq@
@tells something@|@oqaluasaarpoq@
@temple@|@naalaffik@
@temptation@|@aatsorluut@
@ten@|@qulit@
@ten thousend@|@ti tuisend (from 13 and on it's used Danish numbers)@
@tent (of the shape of a house)@|@illuusaq@
@tent door@|@toqqup paa, paava@
@tent pole@|@qanak@
@tents@|@tammaarpoq@
@term@|@taaneq@
@terminal peg of harpoon@|@pamiaq@
@terrified@|@ersivoq@
@testicle@|@issuk, mannequsaaq (mimik)@
@text-book@|@ajoqersuutit@
@thank you@|@qujan, qujanaq, qujanarsuaq, qujanaq@
@thank you very much@|@qujanarujussuaq@
@that by which or because of which he shows grace@|@saammassutaa@
@that by which something is made to rise@|@makittaq@
@that by which something is reduced@|@millilerut@
@that is pleasant@|@saagissisimaanarpoq@
@that one does not know@|@nalunarpoq (nalu)@
@that to which one does something for the first time@|@pernaat@
@that to which something is lashed@|@parnaarsimaffik, parnaarsimmavik@
@that towards which my eyes are directed@|@sammivaa@
@that was a dog worth having@|@aatsaalli qimmissaq@
@that which comes out first@|@naaqqaartoq@
@that which has been sent to him@|@nassiussarsiaa@
@that which has been spit out@|@oriarneq@
@that which has been taken with him@|@nassataq@
@that which has been worked@|@sanaaq@
@that which he has made himself@|@namminiliaa@
@that which he has taken with him@|@nassagaa@
@that which is below@|@sama@
@that which is the matter with him@|@ajuutaa@
@that which is thrown for scrambling@|@ujunngujoorut@
@that which is to be believed@|@upperisassaq@
@that which is towed@|@kaligaq, kalitaq@
@that which keeps one busy@|@ulapissut, ulapput@
@that which lies in front of the dwelling place@|@nunaqarfiup sallia@
@that which one must pass by@|@uiariaq@
@that with which something is filled@|@ulikkaarut@
@that with which something must@|@ulikkaarutissaq@
@that word we do not use@|@tamanna oqaaserinngilarput@
@That's alright@|@Ajunngilaq@
@the African tribes@|@afrikamiut naggueqatigiissortaat@
@the air has dried it to some-thing@|@parnuppaa@
@the air has dried it up so that it shrinks@|@parnivaa@
@the air or the sun has dried the surface@|@saluarpaa, salummarpaa@
@the Almighty@|@ajugaqanngitsoq@
@the antlers of the reindeer@|@tuttup aagiai@
@the appearance of the clay@|@marraap isikkua@
@the appendage farthest out@|@uiorleq@
@the appurtenances of the kayak@|@qaannap pequtai@
@the arm) in a bandage@|@ujamippaa@
@the arms of a star fish@|@avaleqqoq@
@the best@|@ajunnginneq@
@the bird dart has lateral points@|@aarnertuvoq@
@the black points on the wings of a kittiwake@|@taateraap aaqqatai@
@the blood is staunched@|@kigaarpoq, kigippoq@
@the boom of the ocean@|@ittuppaluk@
@the bowl@|@aqajaruusaa@
@the breech pin of gun@|@aallaasip kangia@
@the call of God@|@Guutip qaaqqusinera@
@the camping place of the reindeer hunters@|@aavartut ikorsimaffii@
@the cargo of the boat@|@umiat assaat@
@the cephalopod the animal@|@patuguppaa@
@the charred part of something@|@palersineq@
@the children can only say ê@|@meeqqat eertuinnarput@
@the Christian faith@|@kristumiut upperisaat@
@the clouds gather morJ a@|@nuissat qaffatsikkiartorput@
@the cold goes from it@|@manngorpaa, mannguppaa@
@the cold goes from something@|@mannguppoq, manngorpoq@
@the colour of the house@|@illup qalipaataa@
@the cork fits it the bottle@|@simini naammagaa@
@the country to the east@|@kangilineq@
@the country to the east of it@|@kangilerna@
@the cross-trees of the kayak@|@qaannap ajai@
@the crust has been torn oft or fallen off@|@nerriviup qaaniippoq, qaarsoq@
@the cud-chewing animals@|@tamugartortut@
@the dark period@|@kaperlak@
@the day after@|@aqagukkut@
@the day before the day before yesterday@|@ippassaanissaani@
@the day before yesterday.@|@ippassaani@
@the day is breaking@|@ulloq uippoq@
@the day will come when we are to be brought to judgment@|@eqqartuutiffissarput nalliukkumaarpoq@
@the days of our life are a time of grace@|@ullut inuuffivut saammaaffiupput@
@the deluge@|@ulersuaq@
@the direction in which I am looking@|@isima nalaat@
@the door pinched my fingers@|@assakka matup kiggippai@
@the earth cracked@|@nuna aatsarpoq@
@the end of the line@|@issaq (ikivaa)@
@the ends of the rail of the umiak@|@umiap kannai@
@the eternal life@|@inuuneq naassaanngitsoq@
@the evening star@|@seqernup maleruartaa@
@the fire is extinguished@|@inneq qamippoq@
@the fire is out in the stove@|@kissarsuut qamippoq@
@the first animal he has killed@|@pernartaa@
@the first sound made by a child@|@ee, eeq@
@the fisherman by the fish jerking at the line@|@nassikaarpoq@
@the flower of a plant@|@naasup kaavequtaa@
@the following day@|@aqaguani, aqagussaq@
@the foremost islands@|@sallerannguit@
@the fox barks@|@kakkakkaartorpoq@
@the future is full of riddles@|@siunissaq nalunartorsuuvoq@
@the gale surprised him@|@natsissuppaa@
@the glass in it@|@igalaartaa@
@the gods you have are faIse gods@|@Guutiunngitsunik Guutigisaqarpusi@
@the grace of God@|@Guutip saammaanera@
@the grain of the skin@|@ammip eqartaa@
@The Greenlanders@|@Kalaallit@
@the Greenlandic language@|@kalaallit oqaasii@
@the guards of the sealing bladder@|@avattap paaguai@
@the guests surprised us@|@tikeraat pakasarpaatigut@
@the hairs rise on the skin@|@ameq malivoq@
@the harpoon line having be-come entangled)@|@nassivoq@
@the high lords@|@naalagarsuit@
@the holes for them@|@aalerfii@
@the Holy Scripture@|@allakkat iluartut@
@the hooks of a sea-scorpion jig@|@kanajorsiutit eqeqqui@
@the horny-sheathed@|@kaagussanik nassullit@
@the hot countries@|@nunat kiattut@
@the ice cracks and goes adrift@|@siku uippoq@
@the ice edge fell down with me@|@qaanngup uukkaappaanga@
@the iceblink calves@|@sermeq iigarpoq@
@the inner end of a Greenland house passage@|@katak@
@the inner muscle of the upper arm@|@katsuaq@
@the interest on my saved-up capital@|@toqqortama erniai@
@the inventory of the school@|@atuarfiup pii@
@the islands which are situated east of Umanak@|@kangileq, Uummannap kangilii@
@the jacket I generally wear when paddling in a kayak@|@tujooruk qajartuuserisartagara@
@the joint is not visible@|@katinnera ersinngilaq@
@the kayak@|@killalaarpoq@
@the kind of sealing described above@|@maanneq@
@The Land of Great Length@|@Nuna asiilasooq@
@the last (judgment) day@|@ullut naggatissaat@
@the lateral pionts do not project very much@|@aarnikippoq@
@the lee side@|@oqqua@
@the lernean of the cod@|@uukkap masimmiua@
@the letter he received@|@allagarsiaa@
@the like in which the clay is kneaded@|@marriorfik@
@the line catches at the bottom@|@nassippoq@
@the little finger@|@eqeqqoq@
@the little toe.@|@eqeqqoq@
@the loose piece of bone between the shaft and the head of the harpoon@|@igimaq, igalaasaq, siutip@
@the lorf of the house@|@illup qalia@
@the lower part of the chin@|@qaqerluk@
@the lowest part of the country@|@nunap naqinnera@
@the man down there or to the west@|@kanuunaqquppaa@
@the manner of government of the country@|@nunap naalakkersornera, runap naalakkersorneqarnera@
@the man's house@|@angutip illua@
@the man's houses@|@angutip illui@
@the marrow in it@|@paqqa@
@the men's house@|@angutit illuat@
@the men's houses@|@angutit illui@
@the moon is in its first quarter@|@qaammat illoqalerpoq@
@the moon is in its last quarter@|@qaammat illueruppoq@
@the most easterly@|@kangilleq@
@the most easterly of them@|@kangillersaat@
@the mountains begin to drift@|@qaqqat persulerput@
@the needy should be helped@|@ajorsartut ikioriaqarput@
@the object (of our journey)@|@ornigassarput@
@the omniscience of God@|@Guutip nalusaqanngissusia@
@the one for whom the opening is closed@|@massussaq@
@the one in front@|@salleq (sak)@
@the one who sits in front@|@saamiu@
@the only true God@|@kisimi ilumut Guutiusoq@
@the opening in a lamp through which it is filled with oil@|@orserfia@
@the opposite of that@|@paarlattua@
@the orders of the Government@|@naalakkersuisut naalakkiutaat@
@the other (of two)@|@aappaq@
@the pegs in it@|@paagutai, paagusai@
@the people living in this place.@|@maanimiut, tamaanimiut@
@the people of the neighbourhood@|@eqqaamiut@
@the person he is angry with@|@kamaassaa@
@the person or the thing which he treats@|@paasutaa@
@the piece of wood behind the@|@isserfik@
@the piled-up planks reach the roof of the house@|@sallilikkat qaleriit illup qaa nallerpaat@
@the place between neck@|@manu@
@the place from which something springs@|@nagguik@
@the poles of the earth@|@nunap kaaviffii@
@the projecting woodwork of the sides of the umiak@|@umiap napasui@
@the Protestants@|@naaggaartut@
@the ptarmigan cackles@|@qaqeqqaqaalaarpoq@
@the region to the east of us@|@kangerput@
@the remainder of fat@|@tangerit@
@the rheum loosens@|@palanngarpoq@
@the right side of the material@|@annorassap eqartaa@
@the road there across land has several steep hills@|@nunakkut aqqutaa arlalinnik nakkariaqarpoq@
@the roar of the sea@|@immap ittunnera@
@the rock slides@|@qaqqaq nakkaavoq@
@the roof of this house@|@illup matuma qalia@
@the room beside it@|@sania@
@the sacrament of the Lord@|@Naalakkap sakramantia@
@the saddleback smelt us@|@aataaq naallerparput@
@the same to you@|@illillu@
@the sea breaks against the shore@|@tassaarpoq@
@the sea has risen@|@mallerpoq (malik)@
@the sea is against him@|@kaaputarnaqaaq@
@the sea mammal hunted and killed by him@|@maleritaa@
@the sea strikes the boat against the shore@|@mallit umiatsiaq kasuussaappaat@
@the sea subsides@|@manissivoq@
@the seal belly he uses@|@aqajaruutaa@
@the seal oil spat out@|@oriorneq, oriugaq@
@the second time@|@aappassaanik@
@the sediments of it (seal oil)@|@mararna@
@the sewing on it@|@mersorneri@
@the ship is coming in@|@umiarsuit erruteqaat@
@the ship turns the broad side@|@umiarsuit sannerput@
@the ships which bring pro-visions for the settlements@|@umiarsuit pajuttut@
@the side facing the current@|@sammeqqaq@
@the side which turns upwards@|@qallineq, qallerna@
@the skin of a whale@|@maassak@
@the skin under the nail@|@assagiusaq@
@the sky is clear@|@Allaaqqippoq@
@The sky is overcast@|@Qulisimavoq@
@the sledge runners go zigzag@|@ajalupput@
@the sound of it@|@kalerraa@
@the soup of it@|@qajua@
@the Southlanders have a peculiar accent or dialect@|@kujataamiut immikkut erinaqarput@
@the space below the sleeping platform@|@qaaneq@
@the splint side of wood@|@qisuup eqartaa@
@the stone with which the frozen blubber is beaten@|@kaavarsivik@
@the stones of our country@|@nunatta ujarai@
@the stretch where the Nugssuak Peninsula joins the continent@|@nuussuup manngua@
@the stripped-off skin of an umiak@|@amissaq illuartaq@
@the Sukkertoppen settlement@|@maniitsoq@
@the sun has made the skin shrink@|@seqernup ameq eqippaa@
@the sun is shinning@|@seqinnerpoq@
@the sun shines through the clouds@|@seqineq allikaappoq@
@the surviving father of deceased wife@|@sakikua@
@the teeth of the rake@|@eqiterutit assaasaat@
@the tide is rising@|@ulimukarpoq@
@the tongue fails@|@oqqarliorpoq@
@the top of the house@|@illorsuup kaarfa@
@the under trousers of a Greenland woman@|@naatsut@
@the usual hour for church is ten o'clock@|@nalunaaqutaq qulinngortoq naalagiarfiusarpoq@
@the vessel is right off the large iceberg@|@umiarsuit iluliarsuup nalaaniipput@
@the washing has shrunk@|@errortat eqipput@
@the water has begun to rise@|@ulikkiartorpoq@
@the water is shiny with spilled blubber@|@orsuarleqivoq@
@the water is smooth and shiny with blubber@|@orsualikarpoq, orsuarnisaarpoq@
@the waves e of the sea@|@immap qaffiai@
@the way he came by@|@aggerfia@
@the weather@|@sila@
@the weather begins to clear in the east@|@kangia allarpoq@
@the weather is bad@|@silarluppoq@
@The weather is good@|@Silagippoq@
@the western wind has carried the seals farther in towards land@|@kanannap aataat kangujaassimavai@
@the white shines through@|@qaqorsiuppoq@
@the whole day@|@ulloq tamaat@
@the wind does not increase@|@anoraa piartunngilaq@
@the wind is getting stronger@|@natsippoq (nakerpoq)@
@the wind is on the point of turning@|@anori nakakkiartorpoq@
@the wind is scant@|@assoralinarpoq@
@the windows are dim@|@igalaat aallerput@
@the winter came upon him@|@ukiuuppaa@
@the worst@|@ajorneq@
@the wounded@|@ikilersimasut@
@the writing is visible when held against the light@|@allaneri ullup nalaanut ersipput@
@theater@|@isiginnaartitsisarfik@
@their banns have been published@|@kateruserput@
@their belly is their God@|@nassatik Guutigaat@
@their catechist@|@ajoqiat, ajoqiitaat@
@their clergyman@|@palasiat@
@their houses@|@illui@
@their own house@|@illortik@
@their own houses@|@illutik@
@there about the south@|@kiguuna@
@there are breakers@|@tassaamisaarpoq@
@there are many@|@paarisassakka amerlaqaat@
@there are many things which I lack@|@ajorsaatikka amerlaqaat@
@there are no fires in the houses@|@illut tamarmik qamipput@
@there are rather many@|@peqasaarpoq@
@there are so many that one cannot@|@ulerunnarput@
@there are two kayak men who come paddling@|@qaannat marluk aggerput@
@there in a southern direction@|@kigunga@
@there in the east@|@paffa@
@there in the north@|@ika@
@there is a draught@|@ussarnerpoq@
@there is a frost smoke@|@ujumippoq@
@there is a gale@|@natsimavoq@
@there is a little sea@|@malialaarpoq@
@there is a sea drift@|@persorivoq@
@there is a strong east wind@|@assarnaarpoq@
@there is an east wind@|@assarnerpoq@
@there is nothing at all@|@naamerluinnaq@
@there is nothing to prevent it@|@ajoquteqanngilaq@
@there is prosperity@|@ajorsarnaappoq@
@there is rather a strong sea@|@maliallerpoq@
@there is some sea@|@malialuppoq@
@there must be one more@|@una aappissavoq@
@there! he is handy with his fingers@|@ilaali sanatugaluassusia!@
@these@|@makku, makkua@
@they@|@uku@
@they abuse each other@|@oqqapput@
@they all@|@tamaasa@
@they all do something@|@tamkkerput@
@they all go up@|@majuffapput@
@they an sit down@|@issaapput@
@they are a pair@|@illugiipput@
@they are all busily at work@|@ulappupput@
@they are all coming@|@tamakkerlutik aggerput@
@they are assembled@|@kaitisimapput@
@they are complete@|@tamariupput@
@they are eating@|@neripput@
@they are engaged@|@aappassiariipput@
@they are few.@|@ikipput@
@they are friends@|@ikinngutigiipput@
@they are gathered in a cluster@|@katimapput@
@they are gathered together@|@katersorput@
@they are happy to see each other once more@|@takorniuupput@
@they are his subjects@|@naalatsigai@
@they are joined together@|@katissimapput@
@they are lying@|@sanileriikkuutaarput@
@they are lying in a row@|@naleqqatigiipput@
@they are passing an oral examination@|@qanersugassanik soraarummeerput@
@they are pursuing (an animal)@|@malersorput@
@they are reconciled@|@naleripput@
@they are related to each other@|@eqqarleriipput@
@they are right off each other@|@naligiipput@
@they are scattered@|@tamallarput, tamasipput@
@they are situated in a row towards the land@|@kangileriipput@
@they are tangled up with each other@|@paarlagaapput@
@they are two@|@marluupput@
@they are two about it@|@marluuppaat, marluussipput@
@they are walking towards it@|@ornigarpaat@
@they assemble@|@katersuupput@
@they belong together@|@ilagiipput@
@they butt each other@|@nassummigarput@
@they carry weapons against each other@|@sakkuaapput@
@they catch sea mammals at a hole in the ice@|@sassipput@
@they come out@|@naararput@
@they conclude peace with each other@|@eqqissivissioqatigiipput@
@they contradict each other@|@nangartaapput, nangartuupput@
@they crossed from the ship@|@umiarsuarnit ikaartiterput@
@they crowd about him or it@|@ussappaat@
@they crowd together@|@eqeripput@
@they crowd to-gether in one place@|@ussapput (ukivoq)@
@they crowd together round him@|@ussagarpaat@
@they face the same way@|@sammisippaa@
@they fall@|@orlorarput@
@they fall (one after the other)@|@orloorarput@
@they fence with each other@|@panaattaqattaarput@
@they fight@|@pattorput@
@they fight for the leadership@|@makunniupput@
@they fight with each other@|@assortuupput, paggipput (paavaa)@
@they fight with swords@|@panaapput@
@they follow after each other@|@malittariipput@
@they form shoals (fishes)@|@ikaapput@
@they gambol@|@ikapput@
@they get ill@|@nappararput@
@they get ill in great numbers@|@nappaalapput@
@they hangtogether@|@katinngapput@
@they have@|@peqatigiipput @
@they have a meal together@|@qassimiuaarput@
@they have become good friends@|@saammarput@
@they have become two@|@marlunngorput@
@they have settled@|@merarput, miaapput (mipput)@
@they heap blows or abuse upon each other@|@persuttaapput@
@they help each other@|@ikiortigiipput@
@they in there (or out there)@|@qakku, qakkua@
@they jest with or make fun of each other@|@takutsuupput@
@they join about something@|@kattupput, katupput, katussipput@
@they jostle each other@|@sakattaapput@
@they lack a school@|@atuarfissamik ajorsarput@
@they lack fuel@|@qisussanik ajorsarput@
@they lay wagers against each other@|@eqqoriarniupput@
@they left long ago@|@qanganngorpoq aallaramik@
@they lie above cach othcr@|@qaleriipput@
@they lie above each other@|@qaliariipput@
@they lie in a heap@|@eqimapput, qalleraapput qallerpaa qaatigut@
@they lie with the ends above each other@|@pakinipput@
@they live at peace with each other@|@eqqiveqatigiipput@
@They live in separate rooms@|@affarleriipput@
@they meet@|@naapippput, naapeqatigiipput@
@they move out@|@assarput (anivoq)@
@they pass each other@|@paarlapput@
@they passed through the middle of the fjord@|@ikerpasissukkut ingerlapput@
@they play@|@paannipput@
@they play billiards@|@nakataapput@
@they play rounders@|@iaatsiaarput, jaajatsiaarput@
@they pull at hooks@|@assammipput, qiterlermipput@
@they put props@|@umiaq ajagutarpaat@
@they quarrel@|@oqarput@
@they quarrel with each other@|@saqitsaapput@
@they rhyme@|@naggateqatigiipput@
@they run about among each other gambolling@|@uiverput, uiversorput@
@they scramble for or fight over it@|@paggatigaat@
@they scramble for something@|@paggapput (paavaa)@
@they see each other again@|@takuummaapput@
@they seesaw@|@nappallattaarput@
@they settle a matter between them@|@eqqartuupput@
@they shoot at it@|@issorsuuppaat@
@they sing in chorus@|@erinarsoqattaarput@
@they speak at the same time@|@oqallipput@
@they speak with each other@|@oqaloqatigiipput@
@they strike against each other@|@kasuussaapput@
@they surround it@|@qaluarpaat (qaa)@
@they swarm@|@ujameriapput@
@they themselves@|@taakku nammineq, taakku namminneq @
@they together@|@katinngarmik@
@they touch glasses@|@kasuussutigaa@
@they touch glasses with each other@|@kasuuput@
@they transport umiak and luggage from the fiord up across land@|@qaqipput@
@they turn their hinder parts against each other@|@eqqormipput@
@they turn towards each other@|@saapput@
@they upbraid each other@|@eqqartuuteqatigiipput@
@they walk arm in arm@|@eqisimaarput@
@they went away long ago@|@qangali aallarput@
@they went to him together@|@katinngarmik ornippaat@
@they wrestle@|@assoruupput, paapput@
@thier house@|@illuat@
@thigh@|@uppat@
@thin-haired skin@|@saggaq@
@thing@|@pi@
@thinks he is better@|@ajunnginaarpaa@
@thinks it dull@|@eqiagaa, eqeersaatissaq, eqianarpoq, eqeersoorpoq@
@thinks it has a bad taste@|@mamaagaa@
