@English@|@Turkish@
@rusty@|@paslı@
@rut@|@cinsel azgınlık@
@sack@|@torba çuval yağma@
@sacred@|@kutsal@
@sacrifice@|@kurban fedakarlık@
@settle@|@oturmak yerleşmek@
@sever@|@ayırmak koparmak@
@sew@|@(dikiş)dikmek@
@shade@|@gölge siper@
@shake@|@silkmek sallamak@
@shank@|@incik baldır@
@shape@|@şekil biçim@
@sharp@|@keskin sivri sert zeki@
@shatter@|@kırmak parçalamak@
@shave@|@tıraş@
@sheer@|@halis saf@
@shield@|@kalkan siper@
@shift@|@değiştirme nöbet çare hile@
@shipyard@|@tersane@
@shirt@|@gömlek@
@shock@|@sarsma sarsıntı@
@shoot@|@ateş öldürme@
@shore@|@kıyı sahil@
@shortage@|@yokluk kıtlık@
@shortcoming@|@kusur noksan@
@shot@|@atış gülle@
@shoulder@|@omuz@
@shout@|@bağırma@
@shower@|@sağanak duş@
@shred@|@dilim(lemek)@
@shrewd@|@kurnaz becerikli@
@shrink@|@ürkmek çekinmek@
@shrug@|@omuz silkme@
@shudder@|@titreme ürperme@
@shuffle@|@karıştırmak ayak sürtmek@
@shut@|@kapatmak@
@shuttle@|@mekik@
@shy@|@çekingen utangaç@
@sick@|@hasta bıkkın@
@side@|@yan taraf kenar@
@sight@|@görme manzara@
@silence@|@sessizlik@
@silk@|@ipek@
@silver@|@gümüş@
@similar@|@benzer@
@simple@|@basit sade@
@sin@|@günah@
@sincere@|@samimi içten@
@sinister@|@uğursuz@
@sink@|@lavabo musluk batmak@
@sister@|@kızkardeş@
@site@|@yer mahal@
@situated@|@bulunmak konum@
@size@|@hacim büyüklük@
@skate@|@paten@
@skeleton@|@iskelet çatı@
@sketch@|@taslak kroki@
@skilful@|@hünerli@
@skin@|@deri post kabuk@
@skip@|@sekme zıplama@
@skirt@|@etek kenar@
@skull@|@kafatası@
@slam@|@çarpıp kapamak@
@slander@|@iftira etmek@
@slap@|@şamar tokat@
@slash@|@uzun yara yarık@
@slattern@|@pasaklı@
@slave@|@köle esir@
@slice@|@dilim parça@
@slide@|@kaymak slayt@
@slim@|@ince zayıf@
@slip@|@kayma kaçırma@
@slippery@|@kaygan@
@slit@|@kesik yarık@
@slot@|@delik kertik@
@slow@|@yavaş@
@slumber@|@uyku uyuklamak@
@small@|@küçük ufak parça@
@smart@|@şık zarif@
@smash@|@ezmek parçalamak@
@smear@|@leke bulanık@
@smell@|@koku@
@smelt@|@eritmek@
@smile@|@gülümseme tebessüm@
@smith@|@demirci nalbant@
@smog@|@duman sis@
@smoke@|@duman tütmek@
@smooth@|@düzgün pürüzsüz@
@smut@|@pis laf@
@snack@|@çerez hafif yemek@
@snake@|@yılan@
@sneak@|@sinsi sinsi dolaşmak@
@sniff@|@koklamak@
@snoop@|@burnunu sokan meraklı@
@snore@|@horlama@
@snub@|@küçümsemek@
@snug@|@rahat konforlu@
@soak@|@ıslan(t)mak@
@soap@|@sabun@
@sob@|@hıçkırmak@
@sober@|@ayık ağırbaşlı@
@sociable@|@girgin sempatik@
@sock@|@kısa çorap@
@soft@|@yumuşak uysal@
@solar@|@güneşe ait@
@sole@|@yalnız biricik@
@solicit@|@istemek rica etmek@
@solid@|@sağlam katı@
@solidarity@|@dayanışma birlik@
@solitary@|@tek yalnız tenha@
@solve@|@halletmek çözmek@
@some@|@bazı biraz@
@somehow@|@nasılsa@
@son@|@oğul@
@sophisticate@|@görmüş geçirmiş@
@sorcery@|@büyücülük@
@sorrow@|@acı keder@
@sort@|@çeşit nevi sınıf@
@soul@|@ruh can@
@soup@|@çorba@
@sour@|@ekşi@
@source@|@kaynak@
@sovereign@|@hükümdar@
@spare@|@yetersiz boş@
@sphere@|@küre@
@sporadic@|@arasıra düzensiz@
@spy@|@casus@
@squash@|@ezmek@
@squeeze@|@sıkmak@
@staff@|@değnek asa personel@
@stain@|@leke boya@
@statue@|@heykel@
@steal@|@çalmak@
@stiff@|@katı sert bükülmez@
@straw@|@saman@
@stream@|@çay dere akıntı@
@stubborn@|@inatçı@
@sublime@|@yüce ulu@
@substitute@|@vekil yerine koyma@
@surrender@|@teslim feragat@
@susceptible@|@hassas alıngan@
@swirl@|@girdap@
@tag@|@etiket@
@tail@|@kuyruk@
@talon@|@pençe@
@tattoo@|@dövme@
@tease@|@tedirgin etmek@
@temper@|@tabiat huy@
@temple@|@mabet@
@territorial@|@karaya ait@
@testament@|@vasiyet@
@testify@|@tanık kanıt@
@thick@|@kalın sık keşif@
@thief@|@hırsız@
@timber@|@kereste@
@tomb@|@kabir türbe@
@tow@|@çekmek@
@trail@|@kuyruk iz@
@tranquil@|@sakin asude@
@tremble@|@titremek@
@triumph@|@zafer@
@tulip@|@lale@
@turmoil@|@kargaşa gürültü@
@twirl@|@kıvrım@
@ultimate@|@son esas temel@
@unique@|@tek biricik@
@unjust@|@haksız@
@up to date@|@modern@
@urban@|@şehre ait@
@usher@|@kapıcı mübaşir@
@usury@|@tefeci@
@vacancy@|@boşluk boşyer@
@vagary@|@kapris@
@valiant@|@yiğit cesur@
@vast@|@engin geniş pekçok@
@veil@|@peçe yaşmak@
@vicious@|@kötü ahlaksız@
@virtual@|@asıl gerçek@
@vital@|@yaşamsal@
@voluntary@|@gönüllü@
@wail@|@çığlık@
@warfare@|@savaşla ilgili@
@wean@|@sütten kesmek@
@whale@|@balina@
@wharf@|@rıhtım@
@wheat@|@buğday@
@whisper@|@fısıltı@
@widow@|@dul kadın@
@wing@|@kanat kol@
@yawn@|@esneme@
@yield@|@mahsul ürün@
@zipcode@|@postakodu@
@zone@|@bölge@

