@Greenlandic@|@English@
@qapasagaraa@|@has appropriated@
@qapasappoq@|@appropriates@
@qapasattaraa@|@catches it @
@qapatsisimavoq@|@is not quite well@
@qapeqarppoq@|@lies obliquely in the water @
@qaperaaq@|@shaving@
@qaperangavoq@|@is oblique@
@qaperfeerpoq@|@is unwilling to learn@
@qaperpaa@|@shaves him@
@qaperpaa (qaa)@|@scrapes it @
@qapiarfik@|@scraping bench @
@qapiarnikut, qaperrakut@|@shavings@
@qapiarpaa@|@planes it@
@qapiarpoq@|@scrapes@
@qapinnguppoq@|@disappears behind something@
@qapippaa@|@loses sight of it@
@qapippoq@|@disappears behind a wave @
@qapittaarpoq@|@goes up and down in the water at short intervals @
@qapittarpoq@|@disappears frequently behind the waves@
@qapiut@|@plane@
@qapivaa@|@loses sight of it@
@qappangavoq@|@stands with his back curved@
@qapperpoq, qapuppoq@|@foams@
@qappik@|@legendary animal@
@qappiorpoq@|@ frothes@
@qappivoq@|@disappears below the water@
@qappuppaa@|@makes it disappear below the water@
@qapuk@|@foam@
@qapuusaq@|@rusk@
@qaqajaraa@|@mocks him@
@qaqavoq@|@wags its head @
@qaqeq@|@extension@
@qaqeqqaqaalaarpoq@|@the ptarmigan cackles@
@qaqerluk@|@the lower part of the chin @
@qaqerluut@|@bodkin@
@qaqernippoq@|@initates the throat@
@qaqersaq, qaqersartoq@|@one who is able to think of something new@
@qaqersarpaa@|@scrapes it out@
@qaqersivoq@|@his eyes become wet@
@qaqiffiliaq@|@tower@
@qaqilerpaa@|@scrapes out something which is choked up @
@qaqilerpoq@|@rakes up something@
@qaqilerut, qaqersaat@|@scraper@
@qaqilipaaqineq-aa@|@how prettily it is made!@
@qaqippaa@|@pulls it up@
@qaqipput@|@they transport umiak and luggage from the fiord up across land @
@qaqitaq@|@middle piece of strap @
@qaqivaa@|@gets upon it @
@qaqivoq (qaa)@|@ascends something (-mut)@
@qaqoriarpaa@|@hits it from behind@
@qaqornappoq@|@is covered with rime@
@qaqornaq, qaqornak@|@hoar frost (on something)@
@qaqorpoq@|@is white@
@qaqorsaat@|@soap@
@qaqorsarpaa@|@makes it white@
@qaqorsiuppoq@|@the white shines through@
@qaqorsivoq@|@has become white@
@qaqorsoqut@|@white over-clothing @
@qaqortaq, terianniaq qaqortaq@|@white fox (Canis lagopus)@
@qaqorteqqasut@|@rice@
@qaqortualuk@|@dandriff@
@qaqortuliaq@|@white bread@
@qaqqaarik@|@shining white@
@qaqqaliarpoq@|@goes into the mountains@
@qaqqannguaq@|@hill@
@qaqqannguup qaanit nipeqarpaluppoq@|@voices sound from the small voices sound from the small@
@qaqqap kangia@|@landwards@
@qaqqaq (qaa)@|@mountain@
@qaqqaq nakkaavoq@|@the rock slides@
@qaqqaqqalaarpoq@|@is in a hurry to tell others what he has heard@
@qaqqasippoq@|@lies up in the mountains@
@qaqqasunnaq@|@small mountain@
@qaqqat persulerput@|@the mountains begin to drift@
@qaqqippoq@|@ascends a mountain@
@qaqqisaarpoq@|@hums@
@qaqqorpaa@|@cracks it with his teeth@
@qaqqortariaq@|@almond@
@qaqquaasaq@|@brown bean@
@qaqquaq@|@boned and dried liver @
@qaqquarpaa@|@cracks it@
@qaqquarpoq@|@creaksi cracks@
@qaqqulaarpaa@|@cracks it entirely with his teeth@
@qaqqut@|@seaweed@
@qaqu@|@in garment@
@qaqua@|@its rear part@
@qaquaa@|@puts a gore into it@
@qaquaq (qaqu)@|@hind part of a bird or bladder dart@
@qaqugoorpoq@|@delays something@
@qaqugorsuaq@|@in the distant future@
@qaqugu@|@some time @
@qaqugu naapikkukku oqarfigiumaarpara@|@when I meet him some day@
@qaqugu utissavit?@|@when are you coming back?@
@qaquisaa@|@its bone knob.@
@qaquisaasaq@|@clove@
@qaquit, qaquiseq@|@bone knob at the hind part of the bird@
@qaqulluk@|@mallemoke@
@qaqullunnaq@|@large species of gull @
@qaqunnak@|@dew@
@qaqunnappoq@|@dews. vb.@
@qaqutigoorluni takkuttarpoq@|@he is rarely to be seen@
@qaqutigoorpoq@|@happens rarely@
@qaqutigorsuaq@|@rarely@
@qaqutigorsuarujussuaq@|@extremely rarely@
@qaqutigu, qaqutigut@|@now and then@
@qaqutigut ilaanni@|@once in a while@
@qaqutippoq@|@hurts himself in the fork@
@qaraarpoq, qaraalavoq@|@breaks time after time @
@qarajallak@|@hollow@
@qarajaq@|@compartment @
@qarasagippoq, qarasarippoq@|@is intelligent@
@qarasaq, qarasak@|@brain@
@qarasarsorpoq@|@speculates@
@qaratserfik@|@nape@
@qaratsi pujoriinnarpaa@|@he is rather stupid@
@qarliit@|@trousers@
@qarlik@|@trousers@
@qarlikka naagaakka@|@my trousers are too short for me@
@qarlikka, qarliikka@|@my trousers@
@qarlisit qarliitit@|@your trousers@
@qarmaanut iigartippaa@|@places it against the wall@
@qarna@|@his mouth@
@qarriit, qaallutit@|@come hither!@
@qarriitsi, qaagitsi, qaallusi@|@come here, you!@
@qarsakippoq@|@is unintelligent@
@qassarpoq@|@gets up from the deep into shallow water @
@qasserpaa@|@arranges a rug for him on the sleeping platform@
@qassi@|@a dome-shaped elevation @
@qassimasoq@|@a seal basking in the sun@
@qassimavoq@|@has crept up on to ice or the shore@
@qassimiuaarput@|@they have a meal together@
@qassimiuaartippai@|@feasts with them@
@qassinik ukioqarpit@|@how old are you?@
@qassinngorpa@|@what time is it?@
@qassinut@|@what time@
@qassit@|@how much@
@qassiuppaa@|@makes it into a rug for the sleeping platform@
@qassivoq@|@puts something on the shore@
@qassorarpai@|@piles them up@
@qassuaat@|@for an amaut@
@qassuarpaa@|@unties it @
@qassumaak@|@listen you (sing.) in there! @
@qassuppaa@|@extinguishes something @
@qassuserpoq@|@sets out nets@
@qassusiorpaa, qassusivaa@|@knits nets for him@
@qassusiorpoq, qassusivoq@|@knits nets@
@qassutaasiorpoq@|@makes net work@
@qassutaasiukkat@|@net work@
@qassutit@|@fishing net@
@qassutit eqalunniutit@|@salmon net@
@qassutit imarsiutit@|@net for open water @
@qassutit qilaluarniutit@|@net for white whale@
@qassutit sikusiutit@|@ice net@
@Qatserisarfik@|@Fire station@
@qatserisoq@|@fireman@
@qatserut, qatserutit@|@fire engine@
@qattaarpaa@|@comes quite close to it@
@qattuneq@|@hill@
@qattusivoq@|@becomes higher@
@qattutsippoq@|@forms a ridge @
@qattuvoq@|@highly situated@
@qeqertaq@|@isle@
@qeqertaq marluk@|@two islands@
@qernertaq illugiilik@|@a narwhale with two horns@
@qiiarluppoq@|@is chilly@
@qilaluaq qaqortaq@|@white whale@
@qillerut assassoriaq@|@gimlet@
@qillerut sakiammigiaq@|@wimble@
@qimmeq@|@dog@
@qimmii@|@dogs@
@qimmii ersinaqaat@|@his dogs are dangerous@
@qimmikka uisaasimapput@|@my dogs have gone adrift with the ice@
@qimmit@|@dogs@
@qimmit ilarpassui toqorarput@|@many of the dogs died@
@qinnilinnik piiaat@|@screw driver@
@qissassanut illaajaatit@|@card@
@qisuk aqitsoq@|@soft wood@
@qisussanik ajorsarput@|@they lack fuel@
@qisuup eqartaa@|@the splint side of wood@
@qiteqatigerusuppingaa?@|@would you like to dance with me?@
@qiterlermipput@|@they pull at hooks@
@qitermigut kaneqarpoq@|@it is joined in the middle@
@quersornera sakkukilleriarami@|@as soon as my cough abates@
@Qujan@|@Yes please@
@qujan, qujanaq, qujanarsuaq@|@thank you@
@qujanaq@|@thank you@
@qujanarujussuaq@|@thank you very much@
@qulingiluat@|@nine@
@Qulisimavoq@|@The sky is overcast@
@qulit@|@ten@
@qulit eqqaasiorlugit@|@some ten@
@qulit missiliorlugit, qulit missigissaat@|@about ten@
@qulleq qamillugu@|@put out the lamp!@
@qullini sapangiinnarpai@|@gives free vent to his tears@
@qulliup ikinnera@|@lamp smoke@
@qulliup ikinneranit qangali iseriannguarsi@|@what a smoke from the lamp@
@qulliup kanaartaa@|@lamp rod@
@qungasiagut eqippaa@|@falls upon his neck@
@ritsi, ritsi-una@|@why, I never! Is that true? @
@ruusi@|@rose@
@saa, saava@|@his knees@
@saaginnaq (sak)@|@shirt front.@
@saagissisimaanarpoq@|@that is pleasant@
@saagoq (sak)@|@hanging@
@saaguaa@|@puts a hanging before it@
@saagulerfik@|@curtain rod@
@saaguliuppaa@|@curtain rod@
@saalaavoq@|@is excellent@
@saaliaqut@|@apron@
@saalilerpaa@|@makes it thinner@
@saaliorpoq@|@becomes thinner @
@saalivaa@|@scrapes the hair off it @
@saalivoq@|@is at home @
@saallorpoq (sak), saarlorpoq, saallorsarpoq@|@thrusts his finger down his throat in order to vomit@
@saaluallak@|@bed bug@
@saamaavoq@|@is gracious (God)@
@saamavoq@|@is kind@
@saamerlequtiga@|@my left hand leader dog@
@saamiata tungaa@|@his or its left side@
@saamik@|@left-handed@
@saamilleq, saamerleq@|@left@
@saamimmut@|@to the left@
@saamissorpoq@|@uses his left hand@
@saamiu@|@the one who sits in front@
@saamiuliuppaa@|@places him in front of himself@
@saamiup tungaa@|@left side@
@saamiuvoq@|@is left-handed@
@saammaaffik@|@place of grace@
@saammaanermit tunissut@|@gift of grace@
@saammaanneq@|@grace@
@saammaapaa@|@is gracious towards him@
@saammaassineq@|@act of grace@
@saammaassisippaa@|@reconciles him (the enemy) @
@saammaassivoq@|@is gracious towards someone @
@saammaassuseq@|@grace@
@saammaasusia@|@his gracious mood@
@saammaatitippaa@|@obtains grace for him with someone@
@saammaavarnarsivoq@|@has become agree-able to one@
@saammaavarpoq@|@he is agreeable to one@
@saammaavartippaa@|@reconciles him @
@saammarpoq@|@gets kind@
@saammarput@|@they have become good friends@
@saammarsaasoq@|@intermediator@
@saammarsarpaa@|@conciliates him@
@saammarsarpai@|@reconciles them to each other@
@saammassutaa@|@that by which or because of which he shows grace@
@saangerpaa@|@keeps in front of something with it@
@saangiupaa@|@keeps in front of something @
@saangiuppoq@|@is jealous @
@saani@|@in front@
@saani qeqarpoq@|@stands in front of him@
@saanniarpoq@|@converts himself.@
@saannit aallarpoq@|@he went away in front of me@
@saanut ingippoq@|@sits down in front of him@
@saappaa@|@turns towards him@
@saappaa@|@turns towards him or it.@
@saappoq@|@is thin@
@saappoq (sak)@|@turns@
@saapput@|@they turn towards each other@
@saaq@|@fine earth or snow strewn on something@
@saaq (sak)@|@front part (of dress)@
@saassaq@|@something for a front part@
@saatipaa@|@turns him or it towards someone@
@saatippaa@|@converts him@
@saatoralaaq allalik@|@calico@
@saatorsiorpoq@|@looks for thin@
@saattoq@|@flat stone@
@saattoralaa, saanneralaaq@|@shirting@
@saattuaasaq@|@coat of mail@
@saattuaq (sak)@|@crab.@
@saattuliorpoq@|@roasts@
@saattunnguit@|@Luther's small catechism@
@saggaavoq@|@is thinhaired (a skin)@
@saggaq@|@thin-haired skin@
@saggarpaa@|@pushes it aside@
@saggarpai@|@scatters@
@sajaappoq@|@is diligent and orderly@
@sajavoq@|@has no strength for his work@
@sajuppillappoq@|@something gives a start.@
@sajuppiluppoq@|@sits loosely@
@sajuppoq@|@trembles@
@sak, saaq@|@front@
@sakaluuvoq@|@lies around @
@sakamappaa@|@plaits it together @
@sakamattaq@|@knob@
@sakappaa@|@pushes him@
@sakaqinanga@|@do not jostle me!@
@sakattaapput@|@they jostle each other@
@sakavoq@|@sways backwards and forwards@
@saki@|@mother-in-law@
@sakia@|@her father-in-law@
@sakiaajarpoq@|@breaks a rib@
@sakiagippoq@|@has a good chest@
@sakiagissaat@|@chest medicine@
@sakiagissaatit@|@chest tea@
@sakiai@|@his chest@
@sakiak@|@rib@
@sakialluppoq@|@has a bad chest@
@sakiammippoq@|@puts the breast against something@
@sakiannappoq, sakissappoq@|@gets the breast as his share @
@sakiaqut@|@breast cloth @
@sakiatsiaa@|@his wife's brother @
@sakiatsiaq@|@sister-in-law@
@sakigigalua@|@her deceased father-in-law@
@sakikua@|@the surviving father of deceased wife @
@sakimmeraa@|@is so pleased with him @
@sakimminaqaasi@|@you will be missed @
@sakimminarpoq@|@is so charming@
@sakissamigut ippigisaqarpoq@|@has a pain in his chest@
@sakissat@|@chest@
@sakisseraaq, sakisserivoq@|@has a pain in his chest, has a pain in his chest.@
@sakivoq@|@strains to get loose @
@sakkoqqortooq@|@one who has many or large tools@
@sakkortusoq, sakkortooq@|@one who has great strength@
@sakkortuvoq@|@is strong@
@sakku@|@weapon@
@sakkuaapput@|@they carry weapons against each other@
@sakkuaaqatigaa@|@fights with him@
@sakkuarpaa@|@carries weapons against him@
@sakkugippoq, sakkugissaarpoq@|@has acquires good weapons @
@sakkuiarpaa@|@disarms him@
@sakkukillivoq@|@is weakened@
@sakkukippoq@|@is feeble@
@sakkulerpaa, sakkulersorpaa@|@provides him with weapons@
@sakkulersorpoq@|@arms himself@
@sakkulisarpoq@|@has weapons or tools with him@
@sakkunerlaaq@|@one who has recently got weapons@
@sakkunipoq, sakkutaarpoq@|@has got weapons @
@sakkunnerarpoq@|@hits right and left in anger@
@sakkussaa@|@weapon or tool for him or it@
@sakkussamaasivik@|@arsenal@
@sakkussaq@|@something for a weapon @
@sakkussaqartippiuk@|@have you the ne-cessary tools for it?@
@sakkutooq@|@powerfully armed@
@sakkutuussut@|@uniform@
@sakkutuussutit@|@coat of mail@
@sakkutuut marluiit@|@two detachments of soldiers@
@sakkutuut naalagaaneraat@|@general@
@sakkutuut naalagaat@|@officer@
@sakkutuut qamutillit@|@gunners@
@sakramantiliarpoq@|@goes to the Lord's table @
@sakramente@|@sacrament@
@salavoq@|@suffers with heat@
@saligaappoq@|@is cleanly@
@saligarpaa, saligartorpaa@|@wipes it off@
@saligartaat@|@wiper @
@saligut@|@cleaning instrument@
@saligutit@|@broom@
@salippaa@|@cleans it @
@salippai@|@picks them clean @
@salissimavoq@|@is cleaned@
@salivoq@|@has become thinner @
@sallaappoq@|@is slow of movement@
@sallavoq@|@is quick of movement@
@salleq (sak)@|@the one in front@
@salleqippaa, salleqisippaa@|@turns it inside out @
@sallerannguit@|@the foremost islands@
@salliartaq@|@ledge (in rock)@
@salliaruseq@|@common place-name@
@Salliit@|@common place-name@
@sallilerpaa@|@makes it narrow or thin@
@salliligaq@|@board@
@salliligarsuaq@|@plank@
@sallilikkat qaleriit illup qaa nallerpaat@|@the piled-up planks reach the roof of the house@
@sallilikkiorpoq@|@saws wood for boards@
@salliuvoq@|@is foremost@
@sallivaa@|@makes it thinner @
@sallivoq (sak)@|@becomes thin@
@salloq (sak, saluppoq)@|@lean@
@salloqittaajuippoq@|@is reliable@
@salloqittarpaa@|@lies to him@
@sallu@|@falsehood@
@sallugajuppoq@|@is apt to tell falsehoods@
@salluiorpaa@|@contradicts him@
@sallunaveerut@|@pledge@
@sallunaveerutaa@|@his pledge@
@sallunaveerutigaa@|@has given it as a pledge@
@sallusuippoq@|@never tells falsehoods@
@sallusuissuseq@|@truthfulness@
@sallusuissusia@|@his truthfulness@
@sallusuissut@|@truth@
@sallutigaa@|@lies with regard to him@
@sallutippaa@|@makes him tell a falsehood@
@sallutooq@|@liar@
@salluttorpoq@|@has got into the habit of telling falsehoods@
@sallutuuvoq@|@is a liar@
@salluuvoq@|@is lean@
@salluvoq@|@tells a falsehood@
@saloqqutit@|@water-proof clothes @
@saluarpaa, salummarpaa@|@the air or the sun has dried the surface @
@saluarpoq, salummarpoq@|@is dried@
@saluarsarpaa, salummarsarpaa@|@scrapes or wipes it dry@
@saluni@|@evil smell@
@salunippoq@|@smells with excrements@
@saluppoq@|@is lean@
@sama@|@that which is below@
@samani@|@down there@
@samaniippoq@|@is down there@
@samannga@|@from down there@
@samanngaq@|@west wind@
@samanngarpoq@|@it blows from the west@
@sammaassut@|@means of grace@
@sammeqatigiipput@|@bluff or bay@
@sammeqqaq@|@the side facing the current @
@sammersorneq@|@move towards the west @
@sammisippaa@|@they face the same way@
@sammivaa@|@that towards which my eyes are directed@
@sammivoq@|@turns towards him or it@
@sammukarpoq@|@makes it dirty @
@sammut@|@towards the west@
@samunga@|@down there@
@samungarsuaq allaat imaqanngilaq@|@even when they beat him@
@samunnarpoq@|@goes down there@
@samuuna@|@through down there@
@samuunaqquppaa@|@goes down or to the west of it@
@samuunaqquppoq@|@goes down there@
@sanaa, sanavaa@|@his work@
@sanaappaa, sannappaa@|@whittles@
@sanaaq@|@that which has been worked@
@sanaassaq@|@material for manufacturing something@
@sanaassaqanngilaq@|@he has nothing to make it of@
@sanarfit@|@long knife @
@sanarfivaa@|@shapes it@
@sanarfivoq@|@works something@
@sanaroorpoq@|@has visions@
@sanarsorpaa@|@dresses him@
@sanarsorpoq@|@gets himself ready@
@sanarsuiarpaa@|@undresses him@
@sanarsuiarpoq@|@undresses@
@sanasoq@|@carpenter@
@sanavaa@|@makes@
@sanavoq@|@makes something@
@saneqqamigut ikeqarpoq@|@has a wound in his side@
@saneqqiarpoq@|@has a side wind@
@saneqqiartaat@|@gaff sail@
@saneqquppaa@|@passes beside it@
@saneraa@|@his side@
@saneraq@|@side@
@sanerarluppoq@|@has a pain in his side@
@sanerarmioraa@|@has it at his side@
@sanerarmippaa@|@strikes@
@sanerarmippoq@|@strikes his @
@sanerarmiu@|@stiletto@
@sanerarut@|@placed at the side of or beside something else@
@sanerpaa, saniiarpaa, sanik@|@grain of dust@
@sangiappoq@|@is jealous of him@
@sangiussineq@|@brushes the dust off it@
@sangiussivoq@|@jealousy@
@sangoorpoq@|@twists@
@sangujaaq@|@chetopod@
@sangujaarpoq, sangujoraarpoq, sangujoqisaarpoq, sangujoqilaarpoq@|@meanders@
@sangujaat@|@placename@
@sangungavoq@|@is crooked@
@sangusarpoq@|@wriggles@
@sangussarippoq@|@is easily turned to the side @
@sanguvoq@|@turns to the side@
@sani@|@side@
@sania@|@the room beside it@
@saniani illoqarpugut@|@we live beside him or it@
@sanianut tuppoq@|@it fell beside him or it@
@saniatigut@|@besides@
@sanigoriartuinnarpoq@|@he is getting thinner and thinner@
@sanigorpoq@|@is getting thin@
@sanigut ingerlassaase@|@you must walk beside it@
@sanik@|@dust@
@sanileq@|@neighbour@
@sanilequt@|@husband or wife @
@sanileraa@|@has him as a neighbour@
@sanileriikkuutaarput@|@they are lying@
@sanileriippugut@|@we are neighbours@
@saniliaa@|@his (her) wife or husband@
@saniliaq@|@husband or wife@
@sanimoorpoq@|@goes to the side@
@sanimorsorpoq@|@goes sideways@
@sanimukaarpoq@|@is cross-striped@
@sanimukarpoq@|@goes to the side@
@sanimut@|@to the side@
@sanimut saappoq@|@turns aside@
@saningerpaa@|@takes the place beside him @
@saninnut inginniarit@|@sit down beside me@
@sanipippoq@|@to attract attention @
@sannarippoq@|@is good at working in wood @
@sannarlukut@|@shaivings@
@sannat@|@whittling knife@
@sannavik@|@carpenter's@
@sanneriaq@|@back of bow@
@sannerpaa (sanik)@|@cleans it@
@sannerpoq@|@turns crosswise of something@
@sannersartoq@|@door latch@
@sannersippaa@|@turns it crosswise@
@sannerut@|@top stone@
@sannerutserpaa@|@passes something through it from the side@
@sanngiaat@|@louses him @
@sanngiarpaa@|@implementfor cleaning down@
@sanngiillisippaa@|@turns towards someone @
@sanngiillivoq@|@makes him weak@
@sanngiippoq@|@cause of weakness@
@sanngiissut@|@frail for that reason@
@sanngiissutigaa@|@gets weak@
@sanngippaa@|@is strong@
@sanngippoq, sanngivoq@|@powerful@
@sanngisooq@|@is feeble@
@sanngorippoq@|@turns easily @
@sanningasoq@|@rib@
@sanningasulik@|@cross@
@sanningasulimmut paaguppaa@|@crucifies him@
@sanningavoq@|@is crosswise of something else@
@sanninngarmik@|@crosswise@
@sannit, sanngit@|@sweeps it@
@sapaat, sapaati@|@Sunday@
@sapaatip akunnera@|@week@
@sapaatisiorpoq@|@keeps Sunday@
@sapaatisiutit@|@Sunday clothes@
@sapaatit kaajallannerat@|@ecclesiastical year@
@sapaatiummat@|@last Sunday@
@sapaatiuppat@|@on Sunday @
@sapangaaqqaat@|@beads@
@sapangaasaq@|@species of green seaweed@
@sapangaq, sapangaaraq@|@bead@
@sapangippaa@|@drops it@
@sapangissat@|@feather stalks tied round the end of the sling which is let go@
@sapanngat@|@string of beads@
@sapassippaa@|@drops it@
@sapassisippaa@|@makes him drop something @
@sapassivaa@|@lets it go@
@sapernivoq, sapernuvoq@|@cannot get farther @
@sapernussutigaa@|@cannot get farther for that reason@
@saperpaa@|@cannot manage him @
@saperpoq@|@cannot@
@sapersaatigaa@|@is in want of it@
@sapersarpoq@|@cannot do anything@
@sapersippoq@|@cannot get any farther@
@saperuttaappoq@|@is bold@
@sapiippoq@|@is unafraid@
@sapiiserpoq@|@takes courage@
@sapinngavaa@|@does not believe that he will be able to manage it @
@sapinngilaa@|@manages it@
@sapinngilaq@|@is able to manage@
@sapinngisannik sanassavara@|@I shall do it as well as I can@
@sapinngisaq@|@as much as possible@
@sapissangatippaa@|@does not believe that he can@
@sapissangavoq@|@thinks that he will not be able@
@sapiuffigaa@|@does not believe that he will be able to manage him @
@sapiuppaa@|@dare not expose him @
@sapiuppoq@|@fears not to be able to manage@
@sapivaa@|@blocks its way@
@sapivai@|@blocks their way@
@sapuserpaa@|@makes a dike across it @
@sapusiorpoq@|@builds a dike@
@saputit@|@dike@
@saqiallappoq@|@turns in another direction@
@saqiallattarpoq@|@shoots unsteadily @
@saqippaa@|@moves him or it aside@
@saqippoq@|@moves@
@saqisaappaa@|@walks backwards and forwards@
@saqisaarpoq@|@walks backwards and forwards@
@saqisoq@|@cabin boy@
@saqissaanngilaq@|@is not to be moved@
@saqissuppaa, saqqippaa@|@walks about working for him@
@saqitippaa@|@moves him or it aside@
@saqitsaapput@|@they quarrel with each other@
@saqitsarpaa@|@quarrels with him@
@saqitseriarpoq@|@is easily moved@
@saqitseriippoq@|@is unwilling to be moved@
@saqivaa@|@wanders in that place@
@saqivoq@|@wanders about@
@sarfaq qaqillugu ingelavoq@|@advances by working against the current@
@sarpernarpoq@|@is difficult@
@sassipput@|@they catch sea mammals at a hole in the ice@
@sassivoq@|@finds a crowd of sea mammals at a hole in the ice@
@savanik paarsisoq@|@shepherd@
@saviga peqanngilaq@|@my knife is not there@
@saviga taamak@|@now my knife is gone@
@saviit kajungerisaat@|@loadstone@
@savik ajuuppaa akissaanik@|@he could not get payment for the knife@
@savik salissut@|@razor@
@savik ukusartoq@|@clasp-knife@
@savik ukutippaa@|@folds the knife together@
@savimmik ajuuppaanga@|@he could not get me a knife@
@savissuaq sanerarmioraa@|@he carries a large knife at his side@
@seksten(from 13 and on it's used Danish numbers)@|@sisteen@
@seqernup ameq eqippaa@|@the sun has made the skin shrink@
@seqernup maleruartaa@|@the evening star @
@seqineq@|@sun@
@seqineq allikaappoq@|@the sun shines through the clouds@
@seqinermut manillugu@|@sunning it@
@seqinnerpoq@|@the sun is shinning@
@sermeq iigarpoq@|@the iceblink calves@
@sermersuaq uukkarpaluppoq@|@one can hear that the inland ice calves@
@sermip killingani@|@at the edge of the iceblink@
@siallerpoq@|@it's raining@
@sialuk@|@rain@
@siarnip kasuttaataa@|@tongue of a bell@
@sikorsuit appakarpai@|@penetrates the pack ice@
@siku uippoq@|@the ice cracks and goes adrift@
@sila@|@the weather@
@sila qanorippa@|@how is the weather?@
@sila taqqama iaaminaqaaq@|@it is glorious weather out there@
@silaga ujuvittorsuuvoq@|@I see everything as if through a fog@
@silagik@|@What lovely weather@
@Silagippoq@|@The weather is good@
@silamut manivaa@|@spreads it out to be dried@
@silap perusii@|@wind and weather@
@silap ullumi qaalertanassusia@|@how wet the weather is to-day@
@silarluppoq@|@the weather is bad@
@simini naammagaa@|@the cork fits it the bottle@
@siniffiga oqorpoq@|@my bed is warm@
@siniffiup saagua@|@bed curtain@
@sinigit@|@sleep!@
@sinillanga@|@let me sleep@
@sinilluarit (sg), sinilluaritsi (pl)@|@good night, sleep well@
@sininnak@|@don't sleep@
@sininneq ajornaqaaq@|@it is impossible to sleep@
@sioqqat issoqqat@|@clod of sand@
@siorna@|@last year@
@siornagut@|@earlier@
@sisamat@|@four@
@sisulluni aqajannguumminarpoq@|@gets sick with rushing downhill@
@siulivut Guutimik nalusuugallaramik@|@when our forefathers were still heathens@
@siunissaq nalunartorsuuvoq@|@the future is full of riddles@
@siunni manivaa@|@bends his ear forwards@
@siuteqqup qaleruaa@|@snail-shell@
@sooq@|@why@
@soorlu ersitsoq@|@which is obvious@
@suaasat uujasut@|@grits which are easily boiled@
@sulian uannut nangitippaa@|@he let me continue his work@
@suluni ikersippai@|@it lifts its wings a little@
@suluni mamilitsippai@|@folds its wings (a bird)@
@sumi@|@wherein@
@sumik@|@with which@
@Sumik nassataqassaanga@|@What should I bring?@
@Suminngaaneerpit@|@Where are you from?@
@suminngaaneerpit?@|@where are you?@
@sumit@|@from where@
@sumut@|@where@
@suna@|@what@
@suna erinaqatigaa@|@to what tune is it sung?@
@suna naattalerpara@|@what is it I smell@
@Sunaana@|@What is that?@
@sunaq@|@what@
@susut tasakku ussattorsuit@|@what is it people down there crowd about?@
@sutorniafik@|@Cafe@
@suu@|@yes@
@suut tamaasa tassumunnga naalatsigitippai@|@he has subjected everything to him@
@sytten (from 13 and on it's used Danish numbers)@|@seventeen@
@ta-ta-ta-ta--@|@exclamation uttered in excitement@
@ta, taa@|@listen, what can that be?@
@taajorarpai@|@mentions them in succession@
@taajorpaa, taagorpaa@|@mentions it @
@taajortariaq@|@syllable@
@taajuut, taaguut@|@title@
@taakku nammineq, taakku namminneq@|@they themselves@
@taallai@|@his poem@
@taallak@|@words for a tune@
@taallerpaa@|@stands in his light@
@taalliaq@|@poem@
@taalliorpoq@|@writes a song@
@taalluartaat@|@accent@
@taalutaarpoq@|@stands out of the light@
@taalutaavoq@|@stands in the light@
@taalutaq@|@a piece of white calico put up on the kayak @
@taalutserpaa@|@stands in his light@
@taamani, taamanikkut@|@at that time@
@taamanimit, taamanngarnit, taamangaanit@|@from that time@
@taamataaq iliussaagut@|@thus also we will do.@
@taamattaaq@|@likewise@
@taamattut piitsunik taasariaqanngillat@|@such (people) cannot be called poor@
@taamatut@|@likewise@
@taamatut atsigaaq@|@it is as great @
@taamungaannaq@|@at random@
@taaneq@|@term@
@taanerluppaa@|@pronounces it the wrong way@
@taanertunarpoq@|@makes it large to look at@
@taanertuvoq@|@has a large circumference @
@taaniaraluarpakkit@|@I should like to ask you to do me a favour@
@taanikippoq@|@has a small circumference @
@taappaa, taappaa@|@turns it inside out@
@taappoq, taappoq@|@is turned inside out@
@taaq@|@darkness@
@taaqutaavoq@|@stands in the light of something@
@taasineq@|@vote taking@
@taasinnannaga@|@only tell me@
@taassaanngilaq@|@cannot be mentioned@
@taassaavoq@|@can be mentioned@
@taateraap aaqqatai@|@the black points on the wings of a kittiwake@
@taatserpoq@|@pulls of his waterproof clothes@
@taavaa@|@names him @
@taggaatsut@|@kamiks taken off without turning them inside out@
@taggarippoq@|@it is pitch dark@
@taggarluppaa, taggerluppaa@|@gives it a wrong name@
@taggit@|@name@
@tagiarpaa, tangiarpaa@|@rubs it@
@tagiuppaa@|@rubs it against something @
@tagiuppoq@|@rubs against something @
@tagiut@|@violin bow@
@tajak@|@bracelet@
@tajarnaq@|@centronotusgunellus@
@tajarneq@|@fore arm @
@tajarut, tajaqut@|@wristlet@
@takananga@|@is down here@
@takigaa@|@thinks that it is long or too long@
@takinersaavoq@|@is the longest@
@takineruvoq@|@is longer@
@takisooq@|@long@
@takisorpoq@|@puts on her trousers@
@takissuseq@|@length@
@takisut@|@women's trousers@
@takivoq@|@is long@
@takkajaarpoq@|@is oblong@
@takkorliorpaa@|@takes what he sees for something else@
@takkorluppaa@|@mistakes it for something else@
@takku@|@eyesight@
@takkuanni@|@before his eyes@
@takkunni@|@in my presence@
@takkuppoq@|@lets himself be seen@
@takkussinni@|@in your presence@
@takkutigaa@|@sees it for the first time@
