@English@|@Macedonian@
@outright (adj)@|@celosen, iskren, otvoren, potpoln, prav@
@outright 1@|@celosno, potpolno@
@outrival@|@sovladuva@
@outrun (pt pp outran)@|@nattr~uva, pre~ekoruva, pretr~uva@
@outsail@|@preminuva (vo edrewe), prestignuva@
@outset@|@po~etok, poa|awe@
@outshine@|@nadminuva, potemnuva, zatemnuva@
@outside@|@krajna granica, nadvore{na strana, nadvore{nost@
@outside (adj)@|@kraen, nadvore{en, najgolem@
@outside (adv)@|@na otvoreno, nadvor, odnadvor@
@outside (prep)@|@osven, pokraj, pred (vrata), von (od gradot)@
@outside left@|@levo krilo (fudbal)@
@outsider 1@|@autsajder, laik, nestru~wak, neupaten ~ovek@
@outsize@|@pregolem (broj)@
@outskirts@|@granici (fig), okolina, periferija, predgradie@
@outsleep@|@prespiva@
@outsmart@|@naditruva, nadmudruva@
@outspan@|@otpregnuva@
@outspoken@|@iskren, prostodu{en@
@outspread@|@ra{iren, rasprostranet, razgranet@
@outstanding@|@glaven, istaknat, izvonreden@
@outstanding 1@|@nenaplaten, nepokrien, nere{en@
@outstandings@|@nenaplateni dolgovi@
@outstay@|@ostanuva podolgo (od drugite)@
@outstretch@|@ispregnuva, ispru`uva@
@outstretched@|@ispru`en, istegnat, ra{iren@
@outstrip@|@nadminuva (fig), nadtr~uva, nadvi{uva, pretr~uva@
@outtop@|@nadminuva (fig), nadvisuva@
@outturn@|@produkt, proizvod, rezultat@
@outvote@|@nadglasuva@
@outward@|@nadvore{en, vidliv@
@outward bound@|@{to isplovuva (brod), {to zaminuva@
@outwards@|@kon nadvor, nadvor, nanadvor@
@outwear@|@iznosuva (obleka)@
@outwear outwore outworn@|@istro{uva, izli`uva, nad`ivuva, podolgo trae od@
@outweigh@|@pote`ok e od, preminuva@
@outwork (v)@|@nadminuva vo rabota, raboti pove}e od@
@ouzel ousel@|@drozd@
@ova@|@jajce, ovula (plural od ovum)@
@oval@|@jaj~est, ovalen, zaoblen@
@ovary@|@jajnik@
@ovation@|@ovacija@
@oven@|@{poret, pe~ka, rerna@
@over (adv)@|@nad, odozgora@
@over (adv1)@|@napreku, onamu, ovde, ovdeka, tamu (preku)@
@over (n)@|@frlawe (vo kriket)@
@over (prep)@|@nad, niz, po, preku, za vreme@
@over a barrel@|@vo nevoqa, vo tesno@
@over again@|@odnovo@
@over against@|@nasprema, nasproti, vo sporedba so@
@over and above@|@isto taka, osven, osven toa, pokraj toa@
@over and over@|@odnovo, povtorno, u{te edna{@
@over here@|@na ovaa strana, ovde, vamu@
@over the way@|@kar{ija, na drugata strana@
@over there@|@kar{ija, na drugata strana, onamu, tamu@
@overabundance@|@prekumernost, preobilnost@
@overact@|@preteruva vo igraweto@
@overage@|@prestar@
@overall@|@celosen, sevkupen, vkupen@
@overall (n)@|@kombinezon, nametka, pelerina, rabotna obleka@
@overalls@|@rabotni~ki pantaloni@
@overawe@|@prepla{uva, zapla{uva@
@overbalance@|@neizedna~enost, neramnomernost, nevramnote`enost@
@overbalance (v)@|@pretegnuva, prevrtuva@
@overbear overbore overborn@|@pobeduva@
@overbearing@|@aroganten, drzok, zapovedni~ki@
@overbid (pt pp overbid)@|@naddava, nudi pove}e na licitacija@
@overblow overblew overblown@|@naduva, rasteruva oblaci, razduvuva@
@overblown (fig)@|@bombasti~en, pregolem, pretenciozen@
@overboard@|@vo more@
@overbusy@|@prezafaten@
@overcareful@|@premnogu vnimatelen@
@overcast@|@naobla~en@
@overcast (fig)@|@mra~en, nata`en@
@overcast (n)@|@naobla~uvawe@
@overcharge@|@naplatuva pove}e, presmetuva pove}e, pretovaruva@
@overcharge (n)@|@preoptovaruvawe, previsoka cena@
@overcloud@|@pomatuva, prekriva so oblaci, zamra~uva (fig)@
@overcoat@|@palto@
@overcooked@|@prepe~en, prevaren@
@overcrowd@|@prenatrupuva, prepolnuva@
@overcrowed@|@prenatrpan, prepoln (so lu|e)@
@overdo overdid overdone@|@prenapregnuva@
@overdose@|@dava pregolema doza, pregolema doza (lekovi droga)@
@overdraft@|@crveno saldo@
@overdraw overdrew overdrawn@|@preuveli~uva@
@overdress@|@nametlivo se oblekuva, se kiti@
@overdrive@|@petta brzina (kaj avtomobil)@
@overdue@|@{to go pre~ekoril rokot, zadocnet, zaostanat@
@overestimate@|@precenuva@
@overflow@|@(n), ispolnuva, iste~uva, izleva, prepolnuva, prete~uva, se preleva@
@overflow (n)@|@izlevawe, izliv, poplav, priliv@
@overflowing@|@preobilen, prepoln@
@overgrown@|@obrasnat, premnogu izrasnat@
@overgrowth@|@obrasnatost, porast, prebujno (prebrzo) rastewe, prirast@
@overhang (pt pp overhung)@|@nadvisnuva (nad), se izdava (od)@
@overhaul@|@analizira, istra`uva, obnovuva, poprava, rasklopuva, reorganizira, temelno ispituva@
@overhaul (fig)@|@obnova, reorganizacija@
@overhaul (n)@|@generalen remont, kopa~ewe, pregled, raskopuvawe@
@overhead@|@gore, nad glava, nad zemja, odozgora@
@overhead (n)@|@re`ija, sevkupni tro{oci@
@overhear (pt pp overheard)@|@naslu{uva, prislu{kuva@
@overheat@|@pregrejuva@
@overjoy@|@razveseluva, voodu{evuva@
@overjoyed@|@presre}en, voodu{even, voshiten, zanesen@
@overkind@|@predobar, prequbezen@
@overladen@|@prenatrupan, pretovaren@
@overland@|@kopnen, preku kopno, suvozemen@
@overlap@|@nalegnuva na, preklopuva@
@overlap (n)@|@preklop@
@overlap 1@|@se prekrstuva so, se se~e (so), se vkrstuva so@
@overlay (n)@|@oblo`uvawe, prekrivawe, prestilka@
@overlay (pt pp overlaid)@|@pokriva, prekriva@
@overleaf@|@na slednata stranica@
@overleap (pt pp overlept)@|@preskoknuva preku@
@overload overloaded overladen@|@preoptovaruva, pretovaruva@
@overlook@|@gleda na, ima pogled na, nadgleduva@
@overlook 1@|@ne zabele`uva, preskoknuva (gre{ka), propu{ta@
@overmaster@|@nadvladuva, sovladuva (~uvstva)@
@overmuch@|@otpove}e, premnogu@
@overnight@|@no}en, preku no}@
@overpass@|@pre~ekoruva, preminuva preku@
@overpass (Br n)@|@nadvoznik@
@overpass (fig)@|@izdr`uva, stignuva do kraj na@
@overpay (pt pp overpaid)@|@natplatuva, preplatuva@
@overpower@|@pobeduva, sovladuva@
@overpowering@|@jak, mo}en, te`ok@
@overpowering 1@|@nametliv (~ovek)@
@overprize@|@precenuva@
@overrate@|@precenuva@
@overreach@|@naditruva, prela`uva@
@overreach oneself@|@premnogu si dozvoluva, preteruva, se izla`uva@
@override overrode overridden@|@ne prifa}a, odbiva, otfrla, preminuva preku@
@overriding@|@najva`en, prelomen, presuden@
@overrule@|@nadglasuva, otfrla, poni{tuva (odluka)@
@overrun@|@obrasnuva, pre~ekoruva (vreme), se preleva@
@overrun overran overrun@|@osvojuva, pregazuva, preplavuva@
@oversea(s)@|@prekumorski, prekuokeanski@
@oversee oversaw overseen@|@kontrolira, nadgleduva, nadyira@
@overseer@|@kontrolor, nadzornik@
@oversexed@|@opsednat so seks@
@overshadow@|@nadminuva, zamra~uva, zasolnuva, zatemnuva@
@overshoe@|@kalo{a@
@overshoot (fig)@|@odi predaleku, preteruva, se zaletuva@
@overshoot (pt pp overshot)@|@proma{uva (meta)@
@oversight@|@gre{ka, nadzor, nevnimanie, previd, propust@
@oversleep@|@prespiva, se uspiva@
@overspill@|@prelivawe, vi{ok (fig)@
@overstate@|@prenaglasuva, preuveli~uva@
@overstatement@|@prenaglasuvawe, preteruvawe@
@overstay@|@predolgo ostanuva, zloupotrebuva (gostomprimstvo)@
@overstep@|@pre~ekoruva, pre~ekoruva@
@overstock@|@prepolnuva so rezervi@
@overstrung@|@pre~uvstvitelen, prenapregnat@
@overt@|@jasen, javen, o~ebien, o~igleden, otvoren@
@overtake@|@iznenaduva, obzema (strav)@
@overtake overtook overtaken@|@dostignuva, prestignuva, stignuva, zateknuva@
@overtax@|@prenapregnuva, preoptovaruva, previsoko odano~uva@
@overthrow (n)@|@pad, poraz, prevrat, propast, ru{ewe, urivawe@
@overthrow (n1)@|@lo{o vratena topka (vo kriket)@
@overthrow overthrew overthrown@|@porazuva, soboruva, sru{uva@
@overtime@|@prekuvremena rabota@
@overtire@|@premoruva@
@overtone@|@prizvuk@
@overtop@|@nadvisuva@
@overture@|@uvertira@
@overtures@|@obid (za zapo~nuvawe razgovor)@
@overturn@|@presvrt, prevrat, se prevrtuva@
@overvalue@|@precenuva@
@overweening@|@drzok, naduen, samobendisan, voobrazen@
@overweight@|@prenatovaruva, preoptovaruva@
@overweight (adj)@|@predebel, prete`ok@
@overweight (n)@|@pregolema te`ina@
@overwhelm@|@obzema, pokriva, porazuva, prekriva, preplavuva@
@overwhelming@|@golem, nadmo}en, ogromen, superioren, ubedliv@
@overwork@|@se premoruva, se prenapregnuva, se prerabotuva@
@overwork (n)@|@prekumeren napor (zamor), prenaporna rabota@
@overwrought@|@isto{ten, iznemo{ten, premoren, prenapregnat@
@overwrought 1@|@rastrevo`en, vozbuden, voznemiren@
@oviduct@|@jajcevod@
@ovoid@|@jaj~est@
@ovulate@|@ovulira@
@ovum (pl ova)@|@jajce, ovula@
@owe@|@dol`en e, ima obvrska kon@
@owing@|@nenaplaten, nepokrien@
@owing to@|@blagodarej}i na, kako posledica od, poradi@
@owl@|@buf, ut, utka@
@owlet@|@buv~e@
@owlish@|@koj{to e kako buv (ut utka)@
@own@|@roden (brat sestra), sopstven, vistinski@
@own (det pron)@|@naro~en, poseben@
@own 1@|@poseduva, potvrduva (sopstveni{tvo)@
@own 2@|@priznava deka (zgre{il videl)@
@own sb body and soul@|@ima nad nekogo golema vlast@
@own up@|@priznava (zlo~in gre{ka)@
@owner@|@gazda, imatel, sopstvenik, stopan@
@ownerless@|@bez sopstvenik, ni~ij@
@ownership@|@sopstveni{tvo@
@ox (pl oxen)@|@govedo, vol@
@ox cart@|@volovska zaprega@
@ox hide@|@volovska ko`a@
@Oxan@|@oksfordski (student)@
@Oxbridge@|@elitni univerziteti (fig), Oksford i Kembrix@
@oxeye@|@volovsko oko@
@oxtail@|@opa{ka od vol@
@oxygen@|@kislorod@
@oxygen mask@|@oksigenska maska@
@oxygen tent@|@aparat za davawe kislorod@
@oxygenate (oxygenize)@|@oksidira@
@oyster@|@ostriga@
@oyster bar@|@mesto kade se slu`at ostrigi@
@oyster bed@|@nasad na ostrigi@
@ozone@|@ozon@
@ozonic@|@ozonski@
@ozoniferous@|@{to sozdava ozon@
@paillasse@|@slamarica@
@pair of bellows@|@me{ina@
@pajama@|@pi`amen@
@paleographer@|@paleograf@
@paleographic@|@paleografski@
@paleography@|@paleografija@
@paleolithic@|@paleolitski@
@paleontologist@|@paleontolog@
@paleontology@|@paleontologija@
@Palestinian@|@Palestinec, palestinski@
@palette@|@paleta@
@palette knife@|@slikarski no`@
@palfrey@|@paraden kow@
@palisade@|@ograda (od kolja), ograduva so kolja, palisada@
@pall@|@dosaduva, se za~epuva, se zapu{uva, zasituva@
@pall (n)@|@pla{t, pokrov, sandak so mrtovec (Am)@
@pall (v)@|@pokriva so pla{t, zaviva vo pokrov@
@pallbearer@|@po~esna stra`a na mrtovec@
@pallet@|@graverska igla, grn~arsko kolce, kutija za pe~atarski bukvi, paleta (slikarska), slamarica, tesno leglo, zlatarska pinceta@
@palliasse@|@slamarica@
@palliate@|@izvinuva, prikriva@
@palliation@|@izvinuvawe, prikrivawe@
@palliative@|@ubla`uva~ki@
@palliative (n)@|@paliativ, ubla`uva~ko sredstvo@
@pallid@|@bled (lice), izbleden (tkaenina)@
@pallidness@|@bledost, izbledenost@
@pallor@|@bledilo@
@palm@|@dlanka, palma, palmova granka@
@palm (v)@|@krie v raka@
@palm off@|@pottura@
@palm oil@|@palmovo maslo@
@Palm Sunday@|@Cvetnici@
@palm tree@|@palma, palmovo drvo@
@palmer@|@axija@
@palmist@|@~ovek {to ~ita od dlanka, gata~, hiromant@
@palmistry@|@~itawe dlanka, gatawe@
@palmy@|@kako palma, mnogu uspe{en (period), vo procut@
@palomino@|@palomino (kow)@
@palpability@|@dopirlivost, o~ebijnost@
@palpable@|@dopirliv, o~ebien@
@palpably@|@jasno, o~ebijno@
@palpate@|@ispituva so dopir@
@palpation@|@ispituvawe so dopir, palpacija@
@palpitate@|@~uka (srceto), bie@
@palpitation@|@~ukawe na srceto, palpitacija@
@palsied@|@faten, odzemen, paraliziran, vko~anet, zdrven@
@palsy@|@fatenost, nemo} (fig), odzemenost, paraliza, vko~anetost, zdrvenost@
@palter@|@se poigruva so@
@paltry@|@bezvreden, kusurxija, neva`en@
@pamper@|@gali, ugoduva@
@pamphlet@|@letok, pamflet@
@pamphleteer@|@pi{uva~ na letci (pamfleti)@
@pan (n)@|@{olja (klozet), re{eto (za ruda), tas, tava, tigan@
@pan (v)@|@ostro kritikuva@
@pan off@|@ispira (ruda)@
@pan out@|@izdvojuva (zlato)@
@panacea@|@lek protiv site bolesti, panasea@
@panache@|@lesnotija, odewe od raka@
@panama@|@slamena {apka@
@pan-American@|@s#-amerikanski@
@pancake@|@pala~inka@
@pancake landing@|@naglo spu{tawe na avion@
@pandemonium@|@demonski dvorec, pandemonium, xumbus@
@pander (arch)@|@odi na raka (na), podveduva, podvodnik@
@pane@|@staklo (na prozorec)@
@panhandle@|@jazik (zemja), ra~ka od tigan@
@Panpipes@|@Panova sviralka@
@pans@|@prosi@
@pantheism@|@panteizam@
@pantheist@|@panteist@
@pantheistic(ally)@|@panteisti~ki@
@pantheon@|@panteon@
@panther@|@panter@
@panties@|@`enski ga}i~ki@
@pantile@|@}eramida, crep@
@pantograph@|@aparat za zgolemuvawe sliki, pantograf@
@pantry@|@~ajna kujna, ostava@
@panty@|@pa~a (od ga}i~ki)@
@panty hose@|@hula-hopki@
@pap@|@bradavica (na `enska dojka), lapa, papi~ka@
@pap (Am)@|@limonada@
@papacy@|@papstvo, papuvawe@
@papal@|@papski@
@papaya@|@papaja@
@paper@|@hartija, kniga, napis, spisanie, trud, vesnik@
@paper 1@|@dokumenti (mno`), izvestie, pismena zada~a@
@paper clip@|@spojnica (za hartija)@
@paper knife@|@no` za hartija@
@paper over@|@maskira (fig), oblo`uva so hartija@
@paperback@|@kniga so meki korici@
@paperboy@|@raznesuva~ na vesnici@
@paperhanger@|@onoj {to lepi tapeti@
@paperweight@|@te`alo@
@paperwork@|@dokumentacija, pi{uvawe (pisma izve{tai)@
@papery@|@kako kniga ili hartija@
@papist@|@papist@
@papoose@|@indijan~e, naramnica za nosewe bebe@
@pappy@|@tate@
@paprika@|@piper, piperka@
@parabole@|@parabola@
@parabolic(ally)@|@figurativen, paraboli~en@
@parachute@|@frla padobrani, padobran, skoka so padobran@
@parachutist@|@padobranec@
@paradigm@|@paradigma, tipi~en primer@
@paradigmatic@|@paradigmatski@
@paradisaical paradisiacal@|@rajski@
@paradise@|@Nebo, raj@
@paraffin@|@gas (Brit), parafin@
@parakeet@|@mal papagal@
@parallel bars@|@razboj (gimnasti~ki)@
@parallelogram@|@pravoagolnik@
@paralysis@|@paraliza@
@parameter@|@parametar@
@paramilitary@|@poluvojni~ki@
@paramount@|@najvisok, vrhoven@
@paramountcy@|@nadmo}@
@paramour (arch)@|@prequbnik@
@paranoia@|@paranoja@
@paranoiac (n)@|@paranoik@
@paranoiac.ally@|@paranoi~en@
@paranoid@|@paranoid, paranoiden@
@parapet@|@boqme, ograda (yidna), parapet@
@paraphernalia@|@nepotrebni raboti (razg), pribor@
@paraphrase@|@parafraza, parafrazira@
@parasite@|@lega~, parazit@
@parasitic.al.ly@|@gotovanski, parazitski@
@parasol@|@~ador za sonce@
@paratroop@|@padobranski odred@
@paratrooper@|@vojnik vo padobranski odred@
@paratyphoid@|@paratifus@
@parboil@|@delumno vari, svaruva (od `e{tina)@
@parcel@|@banda (sl), paket, parcela, pratka@
@parcel (v)@|@raspredeluva na delovi@
@parcel out@|@parcelisuva, raspredeluva na delovi@
@parcel post@|@paketna slu`ba (vo po{ta)@
@parcel up@|@pravi paket@
@parch@|@pe~e, se isu{uva (na sonce), se spr`uva@
@parched@|@spr`en@
@parchedness@|@spr`uvawe@
@parchment@|@pergament@
@pardon@|@izvinuvawe, pardon, pomiluvawe, prostuvawe@
@pardonable@|@prostliv@
@pardonably@|@{to mo`e da se prosti@
@pare@|@lupi, obre`uva, podre`uva, smaluva (fig), stru`e@
@pare away (pare down)@|@izlupuva, izre`uva, sostru`uva@
@pare down@|@smaluva, sni`uva (cena tro{oci)@
@parent@|@izvor (fig), majka, roditel, tatko@
@parentage@|@loza, poteklo, roditelstvo@
@parental.ly@|@roditelski@
@parenthesis@|@interval, me|uvreme@
@parenthesis (parentheses)@|@dodatna misla, golema zagrada, vmetnata re~enica@
@parenthetic.al.ly@|@dodaten, sporeden (fig), vmetnat, vo zagradi@
@parenthood@|@roditelstvo@
@parentless@|@bez roditeli@
@parer@|@no` za lupewe (stru`ewe)@
@pariah@|@prezren (otfrlen) ~ovek@
@paring@|@lu{pa, otpadok, struganica@
@parish@|@eparhija, kvart (Br), op{tina, specijalnost (fig)@
@parishioner@|@eparhijanin@
@parity@|@ednakvost, paritet, ramnopravnost@
@park@|@park, parkirali{te, stovari{te@
@park (v)@|@instalira (razg), se parkira, se smestuva@
@parka@|@kusa bunda (so ka~ulka), parka@
@parking@|@mesto za parkirawe, parkirawe@
@parking lot@|@parkirali{te@
@parky (Br coll)@|@studenikav@
@parlance@|@govor, na~in na izrazuvawe@
@parley@|@pregovara, pregovori@
@parliament@|@parlament, sobranie@
@parliamentarian@|@parlamentarec@
@parliamentarily@|@parlamentarno@
@parliamentary@|@parlamentaren@
@parlour (Am parlor)@|@gostinska soba, kafule (Am), salon@
@parlour car@|@salonska kola@
@parlour maid@|@kelnerka@
@parochial@|@eparhiski, malogra|anski, tesnograd@
@parrot@|@Papagal@
@Parroth@|@Papagal@
@part and parcel@|@nerazdvoen del@
@pass muster@|@zadovoluva@
@pay a call@|@vr{i mala nu`da@
@pay attention@|@obrnuva vnimanie, pazi, vnimatelen e@
@pay homage@|@uka`uva ~est@
@pay one's shot@|@pla}a tura (pijalok)@
@peach@|@praska@
@peachick@|@paun~e@
@peacock@|@paun@
@peacock butterfly@|@peperutka paunovo oko@
@peafowl@|@paun, paunica@
@peahen@|@paunica@
@pear@|@kru{a@
@peasant@|@prostak, selanin@
@peasantry@|@selani, selska populacija@
@peat@|@treset@
@peat bog@|@treseti{te, tresetno mo~uri{te@
@peaty (adj)@|@treseten@
@pebble@|@gorski kristal (za le}i), kam~e (na pla`a)@
@pebbledash@|@beton so kam~iwa@
@pebbly@|@poslan so kam~iwa@
@pecan@|@kaliforniski orev@
@peccability@|@gre{nost@
@peccable@|@gre{en, podlo`en na grev@
@peccary@|@pekari ko`a@
@peck@|@~epka, iskolvuva, kolve@
@peck (n)@|@~epkawe, kolvewe@
@pecker (sl)@|@kur (sl), petel@
@peckish@|@gladen, so potreba da jade@
@pectic@|@pekti~en@
@pectin@|@pektin@
@pectoral@|@graden, pektoralen@
@peculate@|@proneveruva@
@peculation@|@pronevera@
@peculator@|@proneveritel@
@pecuniary@|@pari~en@
@pedagogic@|@pedago{ki@
@pedagogue@|@pedagog@
@pedagogy@|@pedagogija@
@pedant@|@pedant@
@pedantic@|@drebni~av@
@pedantry@|@drebni~avost, pedanterija@
@pedicel@|@mi{ka (cve}e)@
@pedicle@|@mi{ka (cve}e)@
@pedicure@|@pedikir@
@pedigree@|@pedigre@
@pediment@|@ornament (troagolen nad vrata)@
@pee (n)@|@mo~awe@
@pee (sl)@|@mo~a@
@peek@|@yirka@
@peek (n)@|@yirkawe@
@peekaboo@|@bu bu ye@
@peel@|@lupi, se lupi, slekuva, soblekuva@
@peel (n)@|@kora (na ovo{je), lu{pa@
@peel off@|@izlupuva, soblekuva@
@peeler@|@no` za lupewe@
@peelings@|@lu{pi@
@peeve@|@drazni, luti@
@peevish@|@razdrazliv, razdraznet@
@peevishness@|@razdrazlivost@
@peewit pewit@|@vrap~e stra`ar@
@penultimate@|@pretposleden@
@penumbra@|@polusenka@
@penumbral@|@nejasen, polumra~en, poluzamra~en, poluzasen~en@
@penurious@|@beden, siroma{en@
@penury@|@beda, siroma{tija@
@peon@|@glasnik, nadni~ar (vo Meksiko), sluga (vo Indija)@
@peon 1@|@pe{ak (vo {ah), pion (vo {ah)@
@people@|@nacija, narod, pleme@
@people pl@|@`iteli, lu|e, podanici, rodnini, svet (prost)@
@people say@|@velat@
@people v@|@se naseluva, se nastanuva@
@Peoples Republic@|@Narodna Republika@
@pep@|@"pile", polet@
@pep pill@|@stimulator@
@pep up@|@potkreva, razveseluva@
@pepper@|@piper, piperka@
@pepper pot pepper box@|@pipernik@
@peppercorn@|@piper (crn) vo zrno@
@peppermint@|@nane@
@peppery@|@lut (~ovek) {to plamnuva@
@pepsin@|@pepsin@
@peptic@|@pepti~en, pomaga varewe@
@perform a vow@|@ispolnuva zavet@
@performing arts@|@reproduktivna umetnost@
@periwig@|@perika@
@periwinkle@|@zelenika@
@perjure oneself@|@krivo se zakolnuva@
@perjurer@|@krivokletnik@
@perjury@|@krivokletstvo@
@perk@|@dodaten prihod, prednost@
@perk 1@|@filtrira@
@perk up@|@doa|a na sebe, prknuva, se pribira, se razdvi`uva@
@perk up 1@|@diga glava, diga nos@
@perkiness@|@drskost, oskoklivost@
@perky@|@`iv, drzok, oskokliv@
@perm@|@dvojka (vo sportska prognoza)@
@perm 1@|@trajna (ondulacija)@
@perm 2@|@stava trajna (na kosa)@
@permanence@|@postojanost, trajnost@
@permanency@|@pomo{ na neodredeno, postojanost, rabota, rabotnik@
@permanent@|@neprekinat, postojanen, traen@
@permanent wave@|@trajna ondulacija@
@permanent way@|@`elezni~ka trasa@
@permanganate@|@hipermangan@
@permeability@|@propu{tawe (voda)@
@permeable@|@{to propu{ta (voda)@
@permeate@|@ispolnuva, natopuva, probiva@
@permeation@|@natopuvawe, probivawe@
@permissible permissibly@|@dopustiv, dozvoliv@
@permission@|@dopu{tawe, dozvola, odobruvawe, soglasnost@
@permissive@|@bez seksualni ograni~uvawa, slobodoumen@
@permissiveness@|@seksualna sloboda@
@permit@|@dava mo`nost, dopu{ta, dozvoluva@
@permit n@|@dozvola (pismena), odobrenie, propusnica@
@permutation@|@permutacija@
@permute@|@permutira@
@pernicious@|@mnogu {teten, opasen, poguben, smrtonosen@
@perniciousness@|@golema opasnost, pogubnost@
@pernickety@|@drobni~av@
@peroration@|@prazen govor (razg.), zavr{nica@
@perpendicular@|@vertikala, vertikalen@
@perpendicularity@|@vertikalnost@
@personal estate@|@podvi`en imot@
@personal organizer@|@organizator (elektronski)@
@personal pronoun@|@li~na zamenka@
@personal space@|@li~en prostor, li~na sloboda@
@personal stereo@|@vokmen@
@personal trainer@|@li~en trener@
@personal tuition@|@privatna nastava@
@personality cult@|@kult na li~nosta@
@perspicacious@|@mudar (~ovek), ostroumen, pronikliv@
@perspicacity@|@mudrost, proniklivost@
@perspicuity@|@razbirlivost (na izjava)@
@perspiration@|@pot, potewe, prepotuvawe@
@perspire@|@poti, se poti@
@pesky@|@nezgoden (~ovek)@
@pesticide@|@pesticid@
@pestiferous@|@prava napast@
@pestilence@|@~uma@
@pestilent pestilential@|@{teten, nepodnosliv, poguben, zarazen (od ~uma)@
@pestle@|@tol~i, tol~nik (za avan)@
@pet@|@favorit, galen~e, miwon, najmnogu sakan@
@pet 2@|@fras@
@pet v@|@gali, miluva@
@petal@|@list (od cvet)@
@petalled Am@|@so listovi (cvet)@
@petard@|@petarda@
@petition@|@molba (pismena), peticija, pretstavka@
@petition in bankruptcy@|@najavuvawe na bankrotstvo@
@petition v@|@dava peticija, moli@
@petitioner@|@molitel, potpisnik na peticija@
@petrel@|@burnica@
@petrifaction@|@pretvorawe vo kamen, smramoruvawe@
@petrify@|@pretvora vo kamen, skamenuva (od strav, skamenuva (od strav)@
@petrol@|@benzin@
@petrol station@|@benziska pumpa@
@petroleum@|@nafta@
@petroleum jelly@|@mazut, vazelin@
@petting@|@fa}awe", miluvawe@
@pharmacopoeia@|@farmakopeja, spisok na lekovi@
@pharos@|@svetilnik, svetlosen signal (na more)@
@pheasant@|@fazan@
@phoenix@|@feniks@
@phonetic@|@fonetski@
@phonetician@|@foneti~ar@
@phonetics@|@fonetika@
@phoney phony@|@fal{, kriv, la`en, mamelexija@
@phonograph Am@|@gramofon@
@phosphoric phosphorous@|@fosforen@
@phosphorus@|@fosfor@
@pick holes in sth@|@kritikuva, nao|a maani@
@piece of cake@|@lesno e@
@piece of goods@|@`ensko (sl), devoj~i{te@
@Pierian Spring 1@|@izvor na inspiracija@
@pigmy@|@xuxe@
@pillage@|@grabe`, ograbuva, ograbuvawe@
@pillock@|@neranimajko@
@pillory@|@sramen stolb@
@pipit@|@~u~uliga mala@
@pippete@|@pipeta@
@pique@|@gnev, pobuduva interes, razgnevuva@
@piquet@|@piket@
@Pisces@|@Riba vo (zodijak)@
@pish@|@pih!@
@piss@|@izmo~uva, mo~a, mo~ka (sleng), pomo~uva@
@Piss off!@|@^isti se!, Bri{i! Otka~i se!@
@piss oneself@|@si se pomo~uva od smeewe@
@pistil@|@tol~nik (vo cve}e)@
@pistol@|@pi{tol@
@piston@|@klip@
@piston ring@|@klipna alka@
@piston rod@|@klipnica@
@piton@|@klin (alpinisti~ki)@
@pittance@|@milostina@
@pivot@|@centrira, osovina, se vrti (okolu ne{to), sredi{te, sto`er, zavisi od ne{to@
@pivotal@|@sto`eren, zna~aen@
@pizza@|@pica@
@pizzicato@|@picikato@
@placate@|@smiruva, ubla`uva@
@placatory@|@pomiruva~ki@
@place to sb's account@|@stava na ne~ija smetka@
@placenta placentae@|@placenta@
@placid@|@blag, miren, spokoen@
@placidity@|@blagost, tihost@
@plague@|@~uma, dave`, dosaden tip, pomor, surija@
@plaguey@|@dosaden@
@plaice@|@list (riba)@
@plaid@|@{al, }ebe (za na skut)@
@plaint@|@`alba, obvinenie, taga@
@plaintiff@|@obvinitel@
@plaintive@|@`alen, ta`en@
@plaintiveness@|@`alovnost, taga@
@plait@|@plete kosa ili ko{nica, pletenka, prcale@
@platform@|@govornica, peron, platforma, podium, terasa@
@platform 1@|@ortopedska {tikla@
@platinum@|@platina@
@platitude@|@izvetveana fraza@
@platitudinous@|@plitok (~ovek), vetov (ideja misla)@
@platitudinousness@|@izvetvenost (na misla), plitkost (na ~ovek)@
@platonic@|@platonski@
@platoon@|@vod@
@platypus@|@platipus@
@plaudit@|@aplauz@
@plausibility@|@prifatlivost, prividna vistinitost, uverlivost@
@plausible@|@ostvarliv, prifatliv, ubedliv@
@plausible 1@|@dvoli~en, navidum vistinit@
@play@|@{ega, igra, igrarija, igrawe, zabava@
@play (v)@|@glumi, igra, poigruva, sviri, treperi, zabavuva@
@play 1@|@drama, gluma, prepravawe, razigranost, trepet@
@play 1 (v)@|@leta, odi, raboti, se dvi`i, se vrti, viori@
@play 10 (v)@|@rizikuva (pari), se pretstavuva kako@
@play 2@|@prelivawe (na boi)@
@play 2 (v)@|@{prica, pu{ta zvuk, puka, se lizga, se pletka@
@play 3@|@prostor, rastojanie, sloboda (na dvi`ewe), zamav@
@play 3 (v)@|@ni{ani, se kocka, se preprava, sportuva@
@play 4@|@vozmo`nost@
@play 4 (v)@|@slu{a, stava vo pogon, upotrebuva, upravuva so@
@play 5@|@kocka(we), red (vo igra)@
@play 5 (v)@|@ispolnuva (sonata), pali (radio), pu{ta gramofon@
@play 6 (v)@|@frla (topka), ispaluva (|ule), izmoruva, zamoruva@
@play 7 (v)@|@iskoristuva (karta), mrda ({ah figura)@
@play 8 (v)@|@se natprevaruva so, vklu~uva vo tim@
@play 9 (v)@|@se podbiva, se poigruva so (ne~ii ~uvstva)@
@play a trick@|@se poigruva@
