@English@|@Kiribati@
@jerboa@|@tioboa@
@Jerusalem@|@ierutarem@
@jest@|@bai ni kangare@
@Jesus@|@ietu@
@John@|@laone, loane, Tiaon@
@join@|@tomai@
@join together@|@reireiti@
@joke@|@bangare@
@joke or insult@|@te bina kiki@
@Joseph@|@loteba@
@jostle each other@|@ibutubutu@
@joyous@|@bwebwere@
@judgement seat@|@te bao ni motiki-taeka@
@Juliana@|@Iuriana@
@Julius@|@luriuti@
@July@|@Tuurai@
@jumbled@|@bebeo@
@jump@|@ewe, kiba@
@jump from a height@|@ewewenako@
@junction@|@tuta ni kawai@
@June@|@Tuun@
@just@|@tib'a@
@just appearing in the distance@|@bainiman@
@just be quiet@|@bün karôgo@
@just begun@|@babatu@
@just now@|@ikainapa@
@just visible@|@buraniri@
@kaaomata@|@to wait for development@
@ka-aomata@|@to put on airs@
@kakaaomata@|@to try to be important@
@kapok@|@baubau@
@keel@|@kabi@
@keen to eat@|@kaakang@
@keep@|@nano@
@keep me from slander@|@tautauai in te ui-buók@
@keep sickness from us@|@taua te ôrak e maírûr@
@keep standing@|@teei@
@keep the peace@|@tau e te rô@
@keep us from sin@|@tautauir in buirar@
@keep waiting@|@tataninga@
@kept longer@|@kamaanaki@
@kerosene@|@karatiin@
@kid@|@teei@
@kill@|@kamatea@
@kilometer@|@kiromiita@
@kind of fish@|@amori, binaing, buari@
@kind of gymnastic@|@tine n taura@
@kind of Kiribati song sung in a talking manner@|@katake@
@kind of perfumed oil@|@tio n raurau@
@kind of shellfish@|@koikoi@
@kind of tunny@|@atine@
@kind treatment@|@akoi@
@king@|@karout, mô, mô, môn te apa@
@kingfish@|@barebue@
@Kiribati dance@|@waanibanga@
@Kiribati dancing@|@ruoia@
@Kiribati stick dancing@|@karanga@
@kiss@|@inga, te kaboria@
@kite-flying@|@utua@
@knee@|@bubua ni wae, bubuôniwai, poupou onoue@
@knife@|@biti, naaibi@
@knife for cutting toddy@|@katati@
@knife of iron@|@bitibiti@
@knife of shell@|@ákadi, katiti@
@know@|@ataa, atai@
@know him@|@ataia@
@know not how@|@papaña@
@knowledge@|@ataibai, atataibai@
@lake@|@nama, reeke@
@lame@|@tibitibi@
@lamentation@|@baebaeti@
@lamp@|@pahia, taura@
@lancet fish@|@babakoinawa@
@land@|@aba, ap, ap, apa, apa, benua, bïnu, penoua, penoua@
@land adjoining@|@aontia@
@land crab@|@m'anai@
@lands@|@aaba@
@land's end@|@muri-benua@
@language@|@taetae@
@large@|@abakaei, bûbura, buubura@
@large baneaua@|@buki mangai@
@large bivalve@|@aubuna@
@large extent of beach@|@akato@
@large flat stone@|@atirababa@
@large rock in a lagoon@|@atimotu@
@large sail for fair weather@|@ientaeaba@
@large tiger shark@|@babatababa@
@larva of dragon fly@|@Nei Bokaboka@
@larva of mosquito@|@binobino ni kai@
@last@|@ae e nako@
@last born child@|@bina@
@last night@|@iñêbo, íñiaboñ, ñêbo, ñgêboñ, ngke bong, ngke e tairiki@
@late@|@mweere, rimwi@
@lately@|@ikainapa@
@later on@|@kiriaria@
@latrine@|@kainnakotinaniku@
@laugh@|@ngare@
@laughable@|@bainingare@
@launch@|@raanti@
@lavalava of@|@been@
@lavatory@|@te uma ni beka@
@laxative@|@ae kabeka@
@lay or place the hand upon a person@|@aebai@
@layers of canoe planks@|@rai@
@lead@|@buange@
@lead whales ashore@|@binera te kua@
@leaf@|@ba@
@leaf of@|@baan@
@leaf of arum@|@pâ ni pópoi@
@leaf of plants@|@baa@
@leaf red through age@|@ambo@
@leafy part of babai@|@baku@
@lean@|@bakitaia@
@leap upon@|@eweka@
@leave alone!@|@tai bea!@
@leave behind@|@katuka@
@leaves of uri@|@ba n uri@
@leaving in great offence@|@burera@
@ledge of coral rock in the lagoon@|@atimane@
@left@|@bái, máing@
@left handed@|@angamaing@
@leg@|@wáe@
@length@|@ananau, anau@
@length of arm@|@te muluku ni kai@
@Lesson One@|@Reirei Teuana@
@let alone!@|@ka-akonga@
@let it drink from your breast@|@e kamóia in memam@
@let me see@|@nanaoria@
@let us drink@|@ina nima@
@let us sit down by the house@|@tia tekatek erigin te bat@
@letter@|@reta@
@liable to be killed@|@anganimate@
@liable to calm streaks@|@angitanaboabo@
@liable to hurt@|@buramate@
@lie@|@kewe@
@lie butt to butt@|@angabuki@
@lie down@|@wene@
@lie on the back@|@ematou@
@life giving@|@kamaiu@
@lift@|@tabeka@
@lift it@|@tabekia@
@lift up as a curtain@|@ieieta@
@light@|@bebete, kaoura, oota@
@light in weight@|@baitoito, betebete@
@light-colored@|@îru@
@lighter@|@tib'aake@
@lightning@|@ît, iti, íti, îtît, tehiti, tiç, tit@
@like@|@aiûri, gañga@
@like blouse@|@tiibuta@
@like him@|@tangiria@
@like itai but harder and heavier@|@ibi@
@like the poeo shell@|@gañga te poêo@
@like you@|@tangiriko@
@likelyihood@|@abua@
@likeness@|@burabura@
@lip@|@ria@
@listen to@|@ongoraa@
@little@|@tekinini, titaoutana@
@liver@|@at, áto@
@living bait pulled along the surface@|@te kabirinako@
@lizard@|@bïr@
@loam@|@buînai@
@lobster@|@ûr@
@lodged up in a tree@|@neeti, newe@
@loft of a house@|@buîa@
@loft or garret of a house@|@pura@
@long@|@anánau, anáu, m'arairai, maan@
@long ago@|@iákaman, iákaman, ngkoa, uñgwâ@
@long as the hair@|@bungibung@
@long hair (man)@|@atubungibung@
@long time@|@bungata@
@look above you@|@taratara ietam@
@look after them@|@kawakiniia@
@look at@|@tara tara@
@look at it@|@taraia@
@look at them@|@taraiia@
@look back@|@atubitaki@
@look calmly at@|@tirobabaea@
@looking for thee@|@e gugûrago@
@looking glass@|@tirotam@
@looking with longing eyes@|@bauarake@
@looks like an honest man@|@burabura n aomata@
@lop branches@|@ere@
@loss@|@buanta@
@lost@|@bua@
@Louis@|@Rui@
@Louisa@|@Ruitia, Ruta@
@louse@|@touti, úti@
@low@|@íninan@
@low tide@|@ora@
@low voice@|@anibana@
@low water@|@ôra@
@lower abdomen@|@tinou@
@lower abdomen more prominent@|@te birotokou@
@lower set of teeth@|@areinano@
@lucky@|@rake@
@Lucy@|@Ruti, Rutia@
@luscious@|@nini@
@madam@|@atae@
@made@|@karaoaki@
@made from thin slices@|@boroa@
@made of a cocoa-nut shell@|@rau@
@madly in love@|@ika n rang@
@Magdalen@|@Matarena@
@magic garland hung on kiaromatua after use@|@arematoa@
@magnifying glass@|@aitai@
@make@|@karaoa@
@make a contribution@|@angabai@
@make angry@|@itaou@
@make firm your speech@|@kametóto aru taitai@
@make it crowded@|@katenaa@
@make me angry@|@kaunai@
@make me feel light@|@kawanaai@
@make much leeway@|@aunako@
@make preparation for a journey@|@ientau@
@make ready a departure@|@ientaua@
@make them (things)@|@karaoi@
@make them strong@|@kamatoai@
@make you angry@|@kauniko@
@make your speech short@|@kaëkimôtata am taitai@
@making faces@|@bukongkong@
@male@|@umâne, umâre@
@mallet@|@igik, ikeike, tip@
@man@|@aomata, m'aáne, mane, umâne, umâre@
@man having ways of a woman@|@bina aine@
@man-child@|@atai n' umâne@
@manner@|@aro@
@manner of@|@aron, aroni@
@manners@|@buaiaka@
@mannish as a woman@|@binamane@
@man's daughter-in-law@|@tinaba@
@man's sister-in-law@|@eiriki@
@manta@|@awanei@
@manta ray@|@awnei, baimanuteitei (teitei)@
@many@|@akikanteaba, auáta, banao, bati, bäti, bëte, bëti, m'aiti@
@many are his slain@|@e bët' ana mate teua@
@many are the women@|@e baibete te aiine@
@March@|@Maati@
@Margaret@|@Marekerita@
@marine training school@|@reirei ni kaimoa@
@Mark@|@Mareko@
@marked places in the m'aneaba@|@boti@
@marriage@|@iein, ocean@
@marry@|@iein@
@Martha@|@Mareta@
@Mary@|@Maria, Mere, Meri@
@mask@|@bobonu@
@Mass@|@Tutia@
@mast@|@aneang@
@mast of vessel@|@ánea@
@masturbation@|@tirimota@
@mat@|@inaai@
@mat made of pandanus leaves@|@kie@
@mat of cocoa-nut leaves@|@înai@
@mat worn for dress@|@kaburairai@
@matches@|@maatiati@
@mats made of pandanus leaves@|@kiie@
@matter in the eye@|@bekabeka@
@Matthew@|@Mataio@
@mattress@|@bera@
@May@|@Meei@
@may I drink?@|@ina nima@
@me@|@ai, ngai@
@meal taken at noon@|@katawanou@
@meal taken in the evening@|@katairiki@
@meaning of@|@nanon@
@measure@|@batau@
@meat@|@írigo, iriko, íriko, tirigo@
@meddlesomeness@|@baitabare@
@medium sized ones@|@auaririki@
@meet@|@boo@
@meet.@|@kaaitiboo@
@menorrhagia@|@baranga@
@men's clothes@|@bai ni mane@
@merely@|@tiri@
@meter@|@miita@
@Michael@|@Maikare, Mikaere@
@mid-day@|@amaraken te tawanou@
@middle@|@nûk@
@middle of@|@nuukan@
@middle of sky covered with clouds@|@timunnang@
@middle of them@|@nuukaia@
@midnight@|@nukanibong@
@migrate@|@eweati@
@mile@|@maire@
@milk@|@miriki, ran i te mama@
@milkfish@|@bukimanai@
@minister@|@minita@
@minutes@|@miniti@
@mischievous@|@benoinoi@
@mislaid in disorder@|@bakarua@
@misleading@|@birikewe@
@missionary@|@mitinare@
@mist@|@bubuteiakaka@
@mistake@|@kaairua@
@mitre shell@|@kupine@
@mix scraped coconut with other food@|@aongia@
@mix the toddy with water@|@kaborerei am karewe@
@mix up one's words@|@bitaraea@
@mixed@|@rereaki, rîak@
@mixture of kabubu and coconut milk@|@iaokiri@
@moderate haste@|@ie n tau@
@moderate size of amount@|@barongai@
@molar tooth@|@awai@
@molasses@|@kam'aim'ai@
@molasses made from cocoa-nut@|@kamoimoi, kamuimui, takamoi@
@momentary and successive@|@bakatokitokin te nao@
@Monday@|@Moanibong, te moanibong@
@money@|@m'aane, m'ane@
@month@|@aman@
@moon@|@nam'akaina, namaka hina, namakáina@
@moonless tide@|@ianoro@
@moonlightt tide@|@ianimama@
@moonlit@|@ianimaama@
@moral support@|@bakuaku@
@more@|@riki@
@more than lukewarm@|@abue@
@Morinda cirtifolia@|@nön@
@Mormon Church@|@Aro ni Momon@
@Mormon religion@|@Moomon@
@morning@|@ingaabong@
@Morning Star@|@baimoa@
@mortal sin@|@te bure ae kamamate ae rawawa@
@Moses@|@Mote@
@mosquito@|@mæ, maninnara, ninara@
@mosquito net@|@b'anga@
@mosquitoes're biting severely@|@e kadinadina te maninar@
@mother@|@atsina, tína@
@mother of@|@tinan@
@motorbike@|@rebwerebwe@
@mouth@|@bua, poua, wi, wi, wii@
@mouth of@|@wiin@
@move about restlessly@|@aiwa@
@move about restlessly as a crowd@|@ibekuri@
@move away@|@tanginako@
@move rapidly like@|@enarinai, enatinai@
@moving very slowly@|@bunitoro@
@much@|@baíbäti, baíbete, bati ni, noui noui@
@much in quantity@|@burinako@
@much softened with water as food@|@butikeke@
@much soiled@|@barekareka@
@muddy@|@bokaboka@
@mullet@|@auakurere, auamaran, auataba, béniaka@
@mullet-pond@|@te nî ni béniaka@
@must@|@riai@
@mutual agreement@|@te bo n nano@
@mutual changing of places@|@i-bibiti@
@mutual relationship of butika@|@ibutika@
@mutually become butikas@|@ibubutika@
@my@|@au@
@my axe is stolen@|@irêak au áñara@
@my body@|@rab'atau@
@my child@|@natiu@
@my cloth@|@kunnikaiu@
@my cousin@|@ai m'aneu, ai tariu@
@my daughter-in-law@|@tinûpu@
@my dress@|@b'aiu@
@my eyes@|@matau@
@my father@|@tamau@
@my foot's pierced with a coral@|@e tiki waiu in t'in@
@my friend@|@raou@
@my grandparent@|@tibuu@
@my hair is gray@|@iia n'atû@
@my hand@|@baiu@
@my hand is full@|@ôn e baiu@
@my home@|@mweengau@
@my island@|@abau@
@my knowledge@|@rabakauu@
@my last child@|@au bina@
@my leg is lame@|@e tibitibi waiu@
@my mind@|@nanou@
@my mind is distracted@|@e buók a nanu@
@my mother@|@tinau@
@my name@|@arau@
@My name is..@|@Arau bon...@
@my nephew or niece@|@ai natiu@
@my place in the town@|@au tap' in te kawa@
@my relation@|@au kara@
@my return@|@oki@
@my right hand side@|@angaataiu@
@my salary@|@boou@
@my sibling of same sex.@|@tariu@
@my side is painful@|@e márak erígu@
@my sister/brother (opp. sex sibling)@|@m'aaneu@
@my skin@|@guínu@
@my son@|@natiû@
@my soul is inundated with sadness@|@e iekana nanou te nanokawaki@
@my stomach@|@birotou@
@my thought@|@am iango@
@my time is come@|@e roko au boñ@
@my tooth@|@uîu@
@my way@|@arou@
@my work is done@|@e pani au mogur@
@my work is finished@|@e pani au mogur@
@my wound is dreadful@|@ia kamag e kaiu@
@my wound is great@|@i a bâbak a kaiu@
@nâar (used only in salutation)@|@nâar@
@nail@|@neera@
@nails@|@touki@
@name@|@entai ingoa@
@name of@|@aran@
@name of a fish@|@morikoi@
@name of a male god@|@beiamatekai@
@name of a star in Pegasus@|@baibuobuoki@
@name of an island@|@Banaba@
@name of giant ray@|@bakaua n iku@
@name of one of the first created beings@|@atibu@
@name of spirit (anti)@|@bungea@
@name of twin ancestors often taken for one person@|@beia ma te kai@
@name or call them@|@araniia@
@nape of the neck@|@bukin-atu@
@napkin@|@betaki@
@narrow@|@réme, rerek, wáriki@
@narrow neck of land@|@aoraereke@
@nasal@|@bangubangu@
@native doctor@|@ibonga@
@native of@|@kâën, kai@
@native of another country@|@ianena@
@Nauru (name of a nearby Micronesian country)@|@Nauru@
@navel@|@buta, pouto@
@navigate@|@eie eie@
@neap tide@|@iakamate, iara@
@near@|@aikan, ekan, kaan, káën, kan, rarikin@
@nearly fully ripe as a coconut@|@benimai@
@nearly low tide@|@aora@
@nearly one hundred@|@e ra bubua@
@neck@|@roroa@
@necklace@|@karoro-pouretou-nikapenga, m'ae, m'aenroroa@
@needle@|@ïdu, ïtu, néiran, néiro, wi@
@neiko (word used to call a female's attention)@|@Neiko@
@new@|@boou, bou, menaái, ngkáinaba@
@new in appearance as a new sail@|@ieai@
@new moon@|@toaika@
@news@|@rongorongo@
@news beginning to spread@|@te amoa n rongorongo@
@news of@|@rongorongoni@
@newspaper@|@nutibeeba@
@next@|@ae e na roko@
@nice beard@|@buai kanikan@
@nice mangrove tree@|@tongo buangi@
@Nicolas@|@Nikora@
@night@|@pong@
@Nikunau (third island from the south)@|@Nikunau@
@nine@|@louachoua, rua, rua, ruaiua, ruáiua, ua, uai@
@ninety@|@houaoupoui, ruabwi@
@nnaki@|@buanna@
@no@|@akea, kákea@
@no longer tight@|@akonga@
@Noah's Ark@|@Ana Ake Noa@
@noddy@|@jo@
@nodosity@|@tinan ika@
@noise@|@kâkâ, karongoaa, karongoaa@
@none@|@akea@
@none came before me@|@akî roko môn@
@Nonouti (island in the Gilberts)@|@Nonouti@
@noon@|@taimaru, taouanouk, tawanou, tonu@
@north@|@iang, meang@
@north of@|@meangin@
@North Pole@|@te bore meang@
@nose@|@b'aini, b'áiri, bairi, boini, pa‹ri, pari@
@not@|@akêa, aki, iak, kákea, tiaki@
@not calm@|@buaka@
@not coming@|@aki nako mai@
@not courtesy@|@matauninga@
@not dense@|@babaitoto@
@not enough to eat@|@amarake buaka@
@not even@|@toabuaka@
@not heavy@|@bakekete, bebete@
@not in earnest about@|@barakaraka@
@not know@|@papanga ahinkour@
@not long@|@kimototo@
@not mature as pandanus fruit@|@boibingibing@
@not persisting@|@botumara@
@not ridgy or rough@|@aoraoi@
@not setting well as a sail@|@bato@
@not skilled in catching@|@baikomkom, baimaran@
@not sociable@|@buraburanrang@
@not steep as a roof@|@baobao@
@not sufficiently cooked@|@amata@
@not supple@|@bwiangeangea@
@not to know@|@banga@
@not true@|@boboto@
@not very shrewd@|@aretau@
@not well finished@|@bobuaka@
@not yet@|@eduai, iduai, tuai@
@note@|@beba@
@nothing at all@|@akea ae akea@
@nothing so astonishing@|@akea n te kamimi@
@nothing to eat@|@akea te amarake@
@nothingness@|@ae akea@
@November@|@Nobemba@
@now@|@ngkai@
@numerous@|@burimataotao@
@nut@|@akota@
@obese@|@ae kau-biroto@
@obligation@|@te kabaebae@
@obscurity@|@bongiro@
@obtaining as in fishing@|@butare@
@ocean@|@marawa@
@ocean near the land@|@bukinaweawe@
@ocean side of a coral island.@|@ainiku@
@ocean side or eastern side or shore@|@tanrake@
@October@|@Okitoba@
@octopus@|@kiika@
@odorous as frying fish or pork@|@bukuakua@
@odorous as the arm pits@|@bumaniman@
@odour of roasted nut@|@boimanoa@
@odour of shark@|@bubakoakoa@
@odour of soiled@|@burakuraku@
@of@|@in, iroun, j, n, ni@
@of a fishy odor@|@buoraora@
@of a humane character@|@aboabonaomata@
@of certain oil@|@boi aka@
@of consequence@|@bongana@
@of dark complexion@|@beroro@
@of royal origin@|@banuea@
@of skirt@|@tio n riri@
@offensive in odor@|@butangatanga@
@offensive in smell@|@boiratuatua@
@offensive smell@|@binobinoti@
@offensive smell on hands@|@baibingao@
@offering@|@angakarea@
@offering of food to a god@|@taramaur@
@offerings made to idols@|@te kare boua@
@office@|@aobiti@
@often submerged@|@abatao@
@oh!@|@akea ngai!, akea ngaira!, akea!@
@oil phial with wide base@|@banikoniko@
@oily@|@e aka@
@oily pool@|@Nei Aka@
@oily skin@|@maninaaka@
@old@|@kara, mm'aane@
@old as Naka@|@tinanaka@
@old man@|@tu-ni-umâne, unimm'aane@
@old oil@|@ba rongorongo@
@old shrivelled-up mother@|@tinan na bawe@
@old woman@|@kara, tû-ni-aiine@
@olive shell@|@poure panga@
@on the earth@|@ión te ap@
@on the ground@|@ión tan@
@one@|@te, temanna, teuana, teuána, tewaana, touhana@
@one day@|@te bongina@
@one hundred@|@búbua, te bubua, tebubua, tebúbua, tenga houn@
@one long resident in a place@|@ianna@
@one slightly insane@|@burarang@
@one stick@|@teaina@
@one thousand@|@nga, ténga@
@one who dirties things with hands@|@baibakara@
@one who fights@|@teiti buók, teiti ûnûn@
@one who ignores his fellow men@|@bangaaomata@
@one who is afraid@|@inaberuberu@
@one who is always abusing@|@banga n taeka@
@one who keeps the peace@|@teiti tan e te rô@
@one who possesses but will not share@|@ba ni koko@
@one who spills liquids through awkwardness of hand@|@baibaro@
@one-eyed@|@toko keini mata@
@one's portion designated@|@atonga@
@onion@|@anian@
@only@|@ti@
@only a common person@|@bün umân@
@only child@|@rikitemanna@
@open door@|@anaia@
@opening@|@bukaneane@
@opposite of@|@kaaitaraan@
@oppress@|@aonikaia@
@orange@|@aoranti@
@orange money@|@burerewa@
@orbit of eye@|@atiniwere@
@order (things)@|@kaoi@
@orders@|@kaoaki@
@ordinary coconut oil@|@bakanutao@
@ornament of shell@|@ntapó@
@osprey@|@aotibure@
@ostrich@|@aotireti@
@ounce@|@aonti@
@our@|@ara@
@our child@|@atira, natira@
@our fireplace@|@ara mai@
@our god is against us@|@e díriñir antir@
@our house is burnt@|@e buê bätar@
@our names@|@arara@
@our weariness@|@botura@
@outer half of a pan bunch@|@ikabi@
@outrigger of a canoe@|@kiaro@
@outrigger side of a canoe@|@raama@
@outrigger to a canoe@|@rama@
@outside@|@tinaniku@
@outside of@|@tinanikun@
@over@|@iaon, iô@
@over there@|@ikekei@
@overgrown@|@buakoako@
@overheated@|@borara@
@overturn@|@ranga@
@owl@|@aure@
@Pacific@|@Betebeke@
@packed hard@|@ibe@
@paddle@|@poenatma@
@paddle this way@|@ô mai@
@paddler@|@too@
@pail of or for@|@kaikan@
@pail water out of@|@kaika@
@painful@|@áoraki@
@painful sneezing@|@titirou@
@paint@|@been@
@painted@|@beeniaki@
@pair of shoes@|@kauu@
@pale white@|@maii@
@paltry@|@tiro@
@pampas@|@bambati@
@pandanus@|@arabakea, arabana, arabanikeang, arabaoti, tou@
@pandanus (1)@|@arabaraki, arabarara, arabareaka, arabauntai@
@pandanus (10)@|@arakatokinano, arakieura, arakimangu, aramaiaki@
@pandanus (11)@|@arataborio, aratabu, aratamaroanimakin, aratati@
@pandanus (12)@|@arataoroba, aratauanro, aratawatawa, arateaitara@
@pandanus (13)@|@arateang, aratebeau, arateberu, arateitibong@
@pandanus (14)@|@arateitibong, aratekauake, aratekena, aratekukune@
@pandanus (15)@|@aratekura, aratemai, aratemam, aratenao, aratenga@
@pandanus (2)@|@arabikeruru, arabiketibu, arabino, arabitia@
@pandanus (3)@|@arabobanimakin, araboianabanaba, arabongana@
@pandanus (4)@|@arabotariki, arabouru, arabuantinti, arabuatoro@
@pandanus (5)@|@arabuatua, arabubura, arabukirababa, arabukitaba@
@pandanus (6)@|@arabureka, arabutanongonana, arabuti, araiobure@
@pandanus (7)@|@arairua, arakaewe, arakainikatonga, arakakaia@
@pandanus (8)@|@arakakaraki, arakanewe, arakangkang, arakatangkun@
@pandanus (9)@|@arakateke, arakateketeke, arakatena, arakeang@
@pandanus dried pulp@|@tuae@
@pandanus fruit@|@airoro, anabanaba, aneibati, anibanakoi, anibebete, anibongibong, anikaboka@
@pandanus fruit (1)@|@anabanabanuotaea, aneirika, aneitoka, animanoia, animatari, animoantai@
@pandanus fruit (10)@|@aramarieta, aramaru, aramatang, aramatoa@
@pandanus fruit (11)@|@aramboia, aramonamona, aramoroia, aramumun@
@pandanus fruit (12)@|@aranakarara, aranau, arangaba, arangaonio, aranteb@
@pandanus fruit (13)@|@arangareimoa, arangaua, aranonoa, aranorauea@
@pandanus fruit (14)@|@arantebwe, araoningea, ararainimae, ararawanon@
@pandanus fruit (15)@|@ararei, ararinikua, aratabokarawa, aratabonteba@
@pandanus fruit (2)@|@aniwaentan, aniwaentonga@
@pandanus fruit (3)@|@aneitoka, anikabai, antabakia, antabitia, antakare@
@pandanus fruit (4)@|@antabwearake, antauman, antauororo, antebongina@
@pandanus fruit (5)@|@anterua, antinanikarawa, antirima, antorobubua@
@pandanus fruit (6)@|@anturua, arabaikarawa, arabaikawa, arabaikiaro@
@pandanus fruit (7)@|@arakuarawete, aramaerennang, aramai, aramaioio@
@pandanus fruit (8)@|@aramakuanrara, aramangang, aramanikewe@
@pandanus fruit (9)@|@aramanunu, aramaonrimai, aramarata, aramarena@
@pandanus fruit.@|@anabai, anikabai@
@pandanus grown from beti@|@te riki ni beti@
@pandanus leaf@|@baanikaina@
@pandanus leaves@|@ba ni kaina@
@pandanus tree@|@araterube, arateuti, aratewaeanina, kaina@
@pandanus tree (1)@|@aratike, aratina, aratoka, aratokotoko, aratonaro@
@pandanus tree (2)@|@aratongarua, aratota, aratububura, arauakitonga@
@pandanus tree (3)@|@arauarea, arauea, araumakai, araumauma, aretemane@
@pandanus tree (4)@|@araurabono, arauranea, arauriamaere, arauriaria, arauruaki, arautaono, arautongau, arawaentonga@
@pandanus tree (5)@|@arawaibwebwe, arawiaki@
@pannag@|@bannaka@
@panther@|@banta@
@pants@|@kawaerake@
@panty@|@tiriwae@
@papaw@|@babaia@
@papaya@|@b'aab'aiaa@
@paper@|@beeba@
@Papua@|@babua@
@Paradise@|@baretaiti@
@paragraph@|@b'arakarabe@
@parent@|@auma, karo@
@parrot fish@|@iakamawa@
@part@|@mtakoro@
@part of@|@m'akoron@
@part of a coconut@|@bukiri@
@part of abdomen around pelvis@|@babau@
@part of the face very near to the corner of eye@|@bukinimata@
@particularity@|@berino@
@Paschal time@|@bakate@
@pass@|@ri@
@pass a load from hand to hand@|@angabaia@
@pass another without meeting directly@|@ibibiti@
@pass quickly@|@birikaiuenei@
@pass time@|@kakaaki botu@
@passage obstructed@|@bonorawa@
@passing compact feces@|@butaio@
@past@|@rimoa@
@Patrick@|@Baterika, Bateriki@
@pattern@|@bai ni katoto@
@Paul@|@Bauro@
@pauper@|@rarikin@
@pause@|@toki@
@pawn@|@te wa ni borau@
@payment@|@bakabai@
@peace@|@raoi@
@peaches@|@bititi@
@peacock@|@bikaki@
@pearl fishing@|@tebo baeao@
@peas@|@bariti@
@peg@|@bin@
@pen@|@been@
@penance@|@benetenia@
@pencil@|@bentira@
@penis@|@kapanga@
@pentecost@|@benetekota, bentekota@
@penurious@|@taut@
@people@|@aomata, kân@
@people of@|@kaain@
@people that fight@|@tane buok@
@people that seek my death@|@teiti bérigi matu@
@perfumed oil@|@ba ni kamaimai@
@perhaps@|@tao@
@persevering@|@botumaka@
@persisting@|@botunaba@
@person@|@aomata, Nang@
@person article for females@|@Nei@
@person easily angered@|@batuaun@
@person tattooed skillfully@|@bonu@
@person. article for males@|@Nan@
@perspiration running@|@te barara ni maono@
@Peter@|@Betero, Bita@
@Phillip@|@Biribo@
@photographer@|@te tia koro banna@
@physical exercises@|@boren@
@pickaxe@|@bikati@
@picture@|@taamnei@
@picture of@|@taamnein@
@piece for a patch@|@bonotanibai@
@pierce@|@ewara@
@pierced@|@tiki@
@piercing voice@|@banataketake@
@pig@|@beki, moto moto@
@pigeon@|@betin, bitian@
@piled up@|@ibetaotao@
@pinch@|@kinikini@
@pipe@|@b'aibi@
@place@|@tap, tapa, ui@
@place a small piece of turtle shell@|@katoka borana@
@place abounding in stones@|@atibaba@
@place of fire@|@uin t'ai@
@places@|@taabo@
@plait@|@bira@
@plane (tool)@|@bureen@
@plank@|@rai@
@plankton@|@butaen te ana@
@plankton and phosphorescence@|@buaton@
@plant@|@aroka, unika@
@planted@|@unikaki@
@platform for fishing@|@te bao n akawa@
@play cricket@|@kirikiti@
@play football@|@butibooro@
@play music on any musical instrument@|@katangitang@
@play so that loser wins@|@te borau n anganga@
@playing card@|@kaati@
@playing card game@|@raami@
@pleasant@|@kamaiu@
@please@|@taiaoka@
@pleasing@|@kakukurei@
@plentiful@|@kakauben@
@plural verb form of taua@|@tauu@
@point@|@tabona, wi@
@point at@|@kotouia@
@point of@|@tabon@
@point or end@|@tabo@
@pointed@|@tahina@
@points lost in game@|@kaiia@
@poison@|@boitin@
@Pole Star@|@bakarateaba@
@policeman@|@boreitiman, bureitiman@
@pond@|@nî@
@ponytail@|@pouki natou@
@poor@|@burangirangi@
@poor in quality@|@buakaka@
@Pope@|@bobe@
@poplar@|@babera@
@porcelain shell@|@kaupoui@
@porous stone@|@atibana@
@porpoise@|@eirioui@
@port town on Tarawa@|@Betio@
@possess and use a knife@|@bitina@
@possess as land@|@abana@
@possess coconut@|@aroaroka@
@post of@|@bouan@
@post of a house@|@bou, pou@
@post of the fence@|@kain t'o, pou a te ô@
@postpone@|@taonna@
@pot@|@b'ata@
@pot bellied@|@te biroto n rongo@
@potato@|@boteto, buteeta@
@pound@|@bakabaun@
@pound (weight)@|@bauna@
@pound the karapepa@|@póia te karapepa@
@pour out@|@kab'aroi@
@pour out (water)@|@kab'aroa@
@pour out through a small aperture@|@atoa@
@power@|@m'aaka, te kona@
@powerful@|@aintoa, batikora, m'aaka@
@praetorium@|@beritorium@
@prayer book@|@boki n tataro@
@precise@|@akaka@
@prefixed to a word@|@ka (1)@
@pregnant@|@bigúgu, bikoukou@
@pregnant woman@|@kou, pikou@
@preparation@|@katauraoi@
@preparation of babai mixed with coconut milk@|@ibunroro@
@preparation of taro@|@bekei@
@preparation of taro and cocoa@|@papu@
@prepare and erect the frame of a house@|@aiwaea@
@prepare babai with coconut milk@|@ibunroroa@
@prepare for a fire in an oven@|@aerona@
@prepared@|@babane@
@preparee food in haste for a departure@|@ienikuri@
@presentiment@|@bukinanganga@
@presently@|@taitai@
@preserve made of the pandanus@|@kâkâ@
@preserved taro@|@kabuîbuî@
@president@|@beretitenti@
@press@|@bwereeti@
@press (print)@|@bwereeti@
@pressing down@|@taotaona@
@previously@|@kamani@
@pricked@|@teke@
@priest@|@berebitero, iboña, tîboña@
@primary@|@moanrinan@
@printing@|@bwereti@
@private signal of feathers on the mast of a canoe@|@beriki@
@probably@|@ananga@
@producing good babai@|@bukimakana@
@professional@|@akaniman@
@progress@|@waaki@
@prolonged in time@|@bongata@
@prominence of the skull@|@atinimata@
@promotion@|@karikirake@
@property@|@banga ni bai, boi@
@Protestant Church@|@Kamatuu@
@proud@|@igagi@
@provisions exhausted@|@taebekebeke@
@psalm@|@areru@
@pull away@|@aibai@
