@English@|@French@
@refrigerated lorry@|@camion frigorifique@
@refrigeration@|@réfrigération@
@refrigerator@|@réfrigérateur@
@refuel@|@refaire le plein, se ravitailler en carburant@
@refuelling@|@ravitaillement@
@refuelling stop@|@escale technique@
@refuge@|@refuge@
@refugee@|@réfugié@
@refund@|@restituer@
@refurbish@|@rénover@
@refusal@|@refus@
@refuse@|@refuser, rejeter@
@refuse {n}@|@déchets {mpl}, détritus {mpl}, immondices {mpl}, ordures {fpl}@
@refuse collector {n}@|@éboueur {m}@
@refuse dump {n}@|@décharge {f} publique@
@refuse point blank@|@refuser net@
@refuse to make@|@se refuser à@
@refutation@|@réfutation@
@refute [v tr]@|@réfuter [v tr], rejeter [v tr]@
@regain@|@regagner@
@regain [v tr]@|@retrouver [v tr]@
@regain consciousness@|@reprendre connaissance, revenir à soi@
@regal@|@royal@
@regale@|@régaler@
@regard@|@considérer, estime, regard@
@regard; in this  ~ [adv phr]@|@égard; à cet ~ [loc adv]@
@regard; with ~ to@|@concerne; en ce qui ~, quant à [loc prép]@
@regarded as@|@considéré comme@
@regarding@|@concernant@
@regardless [adj]@|@inattentif (-ive) [adj]@
@regardless of danger [adv phr]@|@mépris; au ~ du danger@
@regards; as ~@|@quant à@
@regards; as ~ [prep phr]@|@concernant [prép]@
@regatta@|@régate@
@regency@|@régence@
@regenerate@|@reconstituer, régénérer@
@regenerator@|@régénérateur@
@regent@|@régent@
@regicide@|@régicide@
@régime (péj)@|@régime (POL)@
@regime {n}@|@régime {m}@
@régime {n}@|@régime {m}@
@regimen@|@régime@
@regiment@|@régiment@
@regimental sergeant-major {n}@|@adjudant-chef {m} [MIL]@
@region {n}@|@contrée {f}, région {f}@
@regional@|@local@
@register (a trademark)@|@déposer (une marque)@
@register (mil@|@recenser@
@register (verb)@|@enregistrer, inscrire, s'inscrire@
@register [v tr]@|@enregistrer [v tr]@
@register {n} [COMPUT]@|@registre {m} [INFORM]@
@register {n} [in elec. device]@|@index {m}@
@register {n} [MUS]@|@registre {m} [MUS]@
@register {n} [PHYS]@|@enregistreur {m} [PHYS]@
@register {n}[an official list]@|@registre {m}@
@register {n}[SCHOOL]@|@cahier {m}@
@register one's luggage@|@enregistrer ses bagages@
@register with the police@|@se déclarer à la police@
@register; cash ~ {n}@|@enregistreuse; caisse {f} ~@
@registered@|@recommandé@
@registered design@|@modèle déposé@
@registered letter@|@lettre recommandée@
@registered share@|@action nominative@
@registered trademark {n}@|@marque {f} déposée@
@registrar {n} [ADMIN]@|@officier {m} de l'état civil@
@registrar {n} [JUR]@|@greffier {m}@
@registrar {n} [MED]@|@interne {m} (des hôpitaux)@
@registrar {n} [SCHOOL]@|@archiviste {m} documentaliste@
@registration@|@matricule@
@registration (mil)@|@recensement@
@registration fee@|@frais d'inscription@
@registration number@|@numéro d'immatriculation@
@registry@|@registre@
@registry office@|@bureau de l'état civil@
@regress@|@régresser, rétrograder@
@regression@|@régression@
@regressive [adj]@|@rétrograde [adj]@
@regret@|@regret@
@regret; much to my ~ [adv phr]@|@regret; à mon grand ~[loc adv]@
@regret; with ~ [adv phr]@|@regret; à ~ [loc adv]@
@regretfully [adv]@|@regret; à ~ [loc adv], regret; avec ~ [loc adv]@
@regrettable [adj]@|@regrettable [adj]@
@regrettably [adv]@|@malheureusement [adv]@
@regroup@|@regrouper@
@regroup (farm land)@|@remembrer@
@regular@|@régulier@
@regular visitor@|@habitué (pers)@
@regularity@|@régularité@
@regularize@|@régulariser@
@regularly@|@fréquemment, souvent@
@regulate@|@régler, régulariser@
@regulation@|@règle@
@regulations@|@règlement@
@regulator@|@régulateur@
@regulatory gene@|@gène de régulation, gène régulateur@
@rehabilitate@|@réhabiliter@
@rehabilitation@|@rééducation, réhabilitation, réinsertion@
@rehash@|@remanier@
@rehearsal@|@répétition (théâtre)@
@rehearse@|@répéter@
@reheat@|@réchauffer@
@reheater@|@réchauffeur@
@reheating@|@réchauffement@
@rehouse@|@reloger@
@reign@|@commandement, gouvernement, règne@
@reign of terror@|@terreur@
@reigning@|@dominant@
@reimburse@|@rembourser@
@reimbursement {n}@|@remboursement {m}@
@rein@|@rêne@
@reincarnation@|@réincarnation@
@reincorporation@|@réincorporation@
@reindeer@|@renne@
@reinforce@|@blinder, renforcer@
@reinforced concrete@|@béton armé@
@reinforcement@|@renforcement, renfort@
@reinforcing@|@blindage@
@reinstate@|@réintégrer@
@reinstatement@|@réinstallation@
@reinsurance@|@réassurance@
@reintroduction@|@réintroduction@
@reiterate@|@réitérer@
@reject@|@rejeter@
@reject shop@|@magasin de deuxième choix@
@rejection@|@refus, rejet (greffe)@
@rejoice@|@être joyeux@
@rejoice in@|@jouir de@
@rejoicing@|@réjouissances, réjouissant@
@rejoin@|@rejoindre, répliquer@
@rejoin ship@|@rallier le bord@
@rejoinder@|@répliquer, rétorquer@
@rejuvenate@|@rajeunir@
@rejuvenation@|@rajeunissement@
@rekindle (to)@|@ranimer@
@relapse [v intr‚ PATHOL]@|@rechuter [v intr‚ PATHOL]@
@relapse {n} [PATHOL]@|@rechute {f} [PATHOL], récidive {f} [PATHOL]@
@relapse; to have a ~ [MED]@|@rechute; avoir une ~ [MÉD], rechuter [v tr‚ MÉD]@
@relapse-free cure@|@guérison sans rechute@
@relate@|@conter, raconter, relater@
@relate to@|@se rapporter à@
@related@|@apparenté, lié, parent, se rapportant@
@related by marriage@|@par alliance@
@related to@|@lié à@
@relatedness@|@parenté@
@relating to@|@relatif à@
@relation {n}@|@abord {m}, relation {f}@
@relation; to bear no ~ to@|@rapport; être sans ~ avec@
@relations@|@proches@
@relationship {n}@|@relation {f}@
@relationship; it has little ~@|@rapport; ça a peu de ~@
@relative@|@parente@
@relative; female ~ {n}@|@parente {f}@
@relatively@|@relativement@
@relatively speaking@|@toutes proportions gardées@
@relatives@|@proches@
@relativity@|@relativité@
@relax@|@décontracter, se relâcher@
@relax for an hour@|@prendre une heure de détente@
@relaxation@|@délassement, détente, mitigation, relâchement@
@relaxation class@|@séance de relaxation@
@relaxed; to feel ~@|@détendu; être ~@
@relaxing@|@décontractant, relaxant@
@relaxing (pej)@|@débilitant (climat)@
@relay@|@relayer, retransmettre@
@relay race@|@course de relais@
@release@|@dégager, émission, répandre@
@release (to)@|@émettre, libérer@
@release {n}@|@délivrance {f}, libération {f}, mise {f} en liberté@
@release of balloons@|@lâcher de ballons@
@release sb from@|@relever qqn de@
@released on the market@|@mis sur le marché@
@relegate@|@reléguer@
@relegation@|@relégation@
@relent@|@se laisser attendrir, se laisser fléchir@
@relentless [adj]@|@inlassable [adj]@
@relentlessly [adv]@|@répit; sans ~ [loc adv]@
@relentlessness {n}@|@acharnement {m}, inflexibilité {f}@
@relevance feedback@|@contrôle de pertinence@
@relevant [adj]@|@intéressant(e) [adj], utile [adj]@
@reliability@|@fiabilité@
@reliable [adj]@|@fiable [adj], sûr(e) [adj]@
@reliable source {n}@|@source {f} sûre@
@reliably [adv]@|@fiable; de manière ~ [loc adv]@
@reliance@|@confiance@
@reliant@|@confiant, qui dépend de, tributaire@
@relic@|@relique@
@relics of the past@|@vestiges du passé@
@relief@|@allégement, de secours, secours, soulagement@
@relief (geo)@|@relief@
@relief {n} [MIL]@|@relève {f} [MIL]@
@relief committee@|@bureau de bienfaisance@
@relief road@|@route de délestage@
@relief; to my ~ [adv phr]@|@soulagement; à mon grand ~@
@relieve@|@alléger, dissiper (fig), secourir, soulager@
@relieve oneself [v refl]@|@besoins; faire ses ~@
@relieve sb of@|@décharger qqn de@
@relieve; to ~ one's feelings@|@décharger [v tr] sa colère@
@relieved@|@soulagé@
@relieved of his post@|@relevé de ses fonctions@
@relight@|@rallumer@
@religion@|@religion@
@religious@|@religieux@
@religious persuasion@|@obédience religieuse@
@religiously [adv]@|@religieusement [adv]@
@reline (am.)@|@régler (réglage)@
@relinquish [v tr‚ give up]@|@abdiquer [v intr], reculer [v intr‚ renoncer à]@
@reliquary@|@reliquaire@
@relish@|@savourer, se délecter@
@relive@|@revivre@
@reload@|@réarmer, recharger@
@relocate@|@déplacer@
@reluctance@|@répugnance, réticence@
@reluctance {n}@|@répugnance {f}@
@reluctant [adj]@|@disposé(e); peu ~ à [loc adj], enthousiasme; sans ~ [loc adj], réticent(e) [adj]@
@reluctant; to be ~to@|@envie; ne pas avoir ~ de, hésiter à [v intr]@
@reluctant; to feel ~ to@|@répugner à [v tr ind]@
@reluctantly [adv]@|@malgré soi [loc adv]@
@rely on@|@compter sur, s'appuyer sur (fig), se fier à@
@rely on (depend)@|@dépendre de@
@relying@|@fiant@
@remain@|@demeurer, rester@
@remain anonymous@|@garder l'anonymat@
@remain faithful@|@demeurer fidèle@
@remain impassive@|@rester de marbre@
@remain seated@|@rester assis@
@remain silent@|@rester muet@
@remain unmoved@|@rester de bois@
@remainder@|@reste@
@remainders@|@invendus soldés, solde d'édition@
@remaining@|@autre, qui reste@
@remains@|@restes, vestiges@
@remake@|@refaire@
@remand home@|@maison d'arrêt@
@remand in custody@|@mettre en détention préventive@
@remark@|@remarque@
@remarkable [adj]@|@remarquable [adj], saillant(e) [adj]@
@remarriage@|@remariage@
@remarry@|@remarier, se remarier@
@remedial [adj]@|@rattrapage; de ~ [loc adj], redressement; de ~ [loc adj]@
@remedy@|@guérir@
@remember@|@se rappeler, se souvenir@
@remember doing@|@se rappeler avoir fait@
@remember to do@|@penser à faire@
@remember; I seem to ~ that@|@rappeler; je crois me ~ que@
@remembrance@|@mémoire, souvenir@
@Remembrance Day@|@Armistice@
@Remic Rapids@|@rapides Remic@
@remind@|@se rappeler@
@remind sb of sth@|@rappeler qqch à qqn@
@reminder@|@rappel, souvenir@
@reminds; that ~ me! [interj]@|@propos; à ~ ! [interj]@
@reminisce@|@raconter ses souvenirs@
@reminiscence@|@réminiscence, souvenirs@
@reminiscent@|@qui se souvient@
@reminiscent of sth@|@qui rappelle qqch@
@remiss@|@négligent@
@remission {n}@|@rémission {f}@
@remissness {n}@|@négligence {f}@
@remittance@|@envoi de fonds, remise d'argent, versement@
@remnant@|@restant, reste@
@remnants@|@vestiges@
@remodel@|@rénover@
@remodel (to)@|@rénover@
@remonstrance@|@remontrance@
@remonstrate@|@faire des remontrances, protester@
@remorse@|@remord(s)@
@remorse; to feel ~@|@remord; avoir du ~, remords; avoir des ~@
@remorseful@|@plein de remords, repentant@
@remorseless [adj]@|@implacable [adj]@
@remote@|@loin@
@remote control@|@télécommande@
@remote control; operate by ~@|@radioguider [v tr]@
@remote radio control {n}@|@radioguidage {m}, téléguidage {m}@
@remote-controlled@|@télécommandé@
@remotely [adv]@|@loin; de ~ [loc adv], vaguement [adv]@
@remotely possible@|@tout juste possible@
@remoteness@|@isolement@
@remould@|@pneu rechapé@
@remount@|@remonter@
@removable [adj]@|@destituable [adj]@
@removal@|@déménagement@
@removal van@|@camion de déménagement@
@remove@|@ôter, supprimer@
@remove (to)@|@ôter@
@remove from the mould@|@démouler@
@remove one's make-up@|@se démaquiller@
@remove the hair from@|@épiler@
@remover@|@démaquillant, détachant, dissolvant, solvant@
@remover {n}@|@déménageur {m}, déménageuse {f}@
@Remprouix Island@|@île Remprouix@
@remunerate@|@rémunérer@
@remuneration@|@rémunération@
@remunerative [adj]@|@rémunérateur (-trice) [adj]@
@renaissance@|@renaissance@
@renal [adj‚ ANAT]@|@rénal(e) [adj‚ ANAT]@
@renal transplant recipient@|@transplanté rénal@
@rename@|@renommer@
@render commonplace@|@banaliser@
@rendering@|@transformation@
@rendezvous [v intr]@|@rencontrer; se ~ [v pr], réunir; se ~ [v pr]@
@rendezvous {n} [meeting]@|@rendez-vous {m} [rencontre]@
@rendezvous {n} [meeting-place]@|@rendez-vous {m} [lieu]@
@rendezvous; to ~ with sb@|@retrouver qqn [v tr]@
@rendition@|@version@
@renegade@|@renégat, transfuge@
@renew@|@ranimer, reconduire, renouveler@
@renewal@|@reconduction, renouveau, renouvellement, reprise@
@renewal of@|@regain de@
@renewed [adj]@|@accru(e) [adj]@
@rennet {n}@|@présure {f}@
@rennet-stomach {n} [ANAT‚ZOOL]@|@caillette {f} [ANAT‚ ZOOL]@
@renounce [v tr‚ decliner]@|@renoncer à [v tr ind‚ cesser]@
@renounce [v tr‚ repudiate]@|@répudier [v tr]@
@renounce [v tr‚ surrender]@|@abjurer [v tr], renoncer à [v tr ind‚ abjurer]@
@renouncement@|@renoncement@
@renovate@|@remettre à neuf, rénover@
@renovation@|@rénovation@
@renown@|@renom, renommée@
@renowned@|@célèbre, fameux, illustre, renommé@
@rent@|@louer, loyer@
@rent in arrears@|@loyer arriéré@
@rent money@|@loyer@
@rent out@|@louer@
@rental@|@location@
@rental charge (telephone)@|@redevance@
@rental service@|@service de location@
@renter@|@locataire@
@renting@|@location@
@renting out@|@location (offre)@
@renunciation@|@dénonciation, renonciation, répudiation@
@reopen@|@rouvrir@
@reopening@|@réouverture@
@reorganization@|@réorganisation@
@reorganize@|@réorganiser, se réorganiser@
@repaint@|@repeindre@
@repair@|@dépanner, remettre en état, réparation, réparer@
@repair kit@|@trousse de réparation@
@repair ramp (auto)@|@pont de graissage, pont élévateur, ponton de visite@
@repair(ing)@|@dépannage@
@repair; in a good state of ~@|@entretenu(e); bien ~@
@repaired@|@réparé@
@repairer@|@réparateur@
@repairing@|@réfection@
@repartee@|@repartie@
@repatriate@|@rapatrié, rapatrier@
@repatriation@|@rapatriement@
@repay@|@rembourser, reprendre@
@repay (fig)@|@payer de retour (fig), récompenser@
@repay; I'll ~ you some day@|@revaudrais; je te ~ ça [gré]@
@repayment {n}@|@remboursement {m}@
@repeal [v tr]@|@réprimer [v tr], révoquer [v tr]@
@repeal {n}@|@abrogation {f}, révocation {f}@
@repeat@|@redire, répéter, répétition@
@repeat (class)@|@redoubler (classe)@
@repeat [v tr‚ MUS]@|@reprendre [v tr‚ MUS]@
@repeat ad nauseam@|@répéter à satiété@
@repeat oneself@|@se répéter@
@repeat unit@|@unité de répétition@
@repeat; a ~performance (fig)@|@même; exactement la ~ chose@
@repeated@|@répété@
@repeatedly@|@plusieurs fois@
@repel@|@inspirer de la répulsion@
@repellent@|@affreux, épouvantable@
@repelling@|@affreux, épouvantable@
@repent@|@se repentir@
@repent of@|@regretter@
@repentance@|@repentir@
@repentant@|@repentant, repenti@
@repercussion@|@répercussion@
@repercussions {npl}@|@contrecoup {m}, prolongements {mpl}@
@repertoire@|@répertoire (art)@
@repertory@|@répertoire@
@repetition@|@répétition@
@repetitive@|@monotone (travail), plein de redites@
@replace@|@mettre en place de, remplacer, substituer@
@replacement {n}@|@remplaçant {m}, remplaçante {f}@
@replacement engine@|@moteur de rechange@
@replay@|@rejouer@
@replenish@|@réapprovisionner, renouveler le stock@
@replenish (stock)@|@réassortir@
@replenish (to)@|@réapprovisionner, réassortir@
@replenishment@|@réapprovisionnement, réassortiment@
@replete@|@rassasié@
@replica@|@réplique@
@replication {f} [GEN]@|@réplication {f} [GÉN]@
@replication {n}@|@réplique {f} [copie]@
@replication fork@|@fourche de réplication@
@replicon {n} [GEN]@|@réplicon {m} [GÉN]@
@reply@|@répondre@
@reply {n} [act of replying]@|@réponse {f} [acte de répondre]@
@reply coupon {n}@|@coupon-réponse {m (~s~s)}@
@reply form {n}@|@bulletin-réponse {m (~s~)}@
@repoint@|@rejointoyer@
@repopulate@|@repeupler@
@report@|@apprendre à, informer, renseigner@
@report (to)@|@informer, renseigner@
@report (verb)@|@faire le compte rendu, rapporter, signaler@
@report {n}@|@compte rendu, exposé, rapport, rumeur@
@report a benefit of@|@annoncer un bénéfice de@
@report back@|@présenter son rapport@
@report book (SCHOOL)@|@bulletin scolaire, livret scolaire@
@report for duty@|@se présenter au travail@
@report on@|@faire un rapport sur, faire un reportage sur@
@report sick@|@se faire porter malade@
@report(ing) (press)@|@reportage@
@report; to make a ~@|@procès-verbal; dresser un ~@
@reported missing@|@porté disparu@
@reported speech@|@discours indirect@
@reporter@|@journaliste, rapporteur, reporteur@
@reporting@|@comptes rendus@
@reports@|@comptes rendus@
@repose@|@se reposer@
@repository@|@dépôt@
@reprehensible [adj]@|@condamnable [adj], répréhensible [adj]@
@represent@|@représenter@
@representation@|@figure@
@representative@|@député@
@Representative (us)@|@député (POL US)@
@repress@|@refouler (fig), réprimer@
@repress (fig)@|@refouler (fig)@
@repression@|@refoulement (fig), répression@
@repressive [adj]@|@répressif (-ive) [adj]@
@repressiveness {n}@|@force {f} de répression@
@repressor@|@répresseur@
@reprieve@|@gracier, répit, sursis@
@reprimand@|@remontrance, réprimande, réprimander, semonce@
@reprint@|@réimpression, réimprimer@
@reprinting@|@réimpression@
@reprisal; as ~ for@|@représailles; en ~ de@
@reprisals@|@représailles@
@reproach@|@reprendre, réprimander, reprocher@
@reproachful@|@réprobateur@
@reproachfully@|@avec reproche@
@reprobate@|@vaurien@
@reprobation@|@réprobation@
@reproduce@|@reproduire@
@reproduction@|@reproduction@
@reproduction furniture@|@imitations de meubles anciens@
@reproductive [adj]@|@reproducteur (-trice) [adj]@
@reproof@|@réprimande@
@reprove@|@gronder, réprimander, reprocher@
@reproving@|@réprobateur@
@reptile@|@reptile@
@republic {n}@|@république {f}@
@republican [adj]@|@républicain(e) [adj]@
@Republican {n} [Am.‚ POL]@|@Républicain {m}[POL‚aux É.-U.], Républicaine{f}[POL‚aux É.-U.]@
@republicanism {n}@|@républicanisme {m}@
@republish@|@rééditer@
@repudiate@|@répudier@
@repudiation@|@répudiation@
@repugnance@|@répugnance@
@repugnance; to feel ~@|@répugner à [v tr ind]@
@repugnant@|@répugnant@
@repulse@|@rejeter@
@repulsion@|@répulsion@
@repulsive [adj]@|@affreux (-euse) [adj]@
@repurchase@|@rachat@
@reputable [adj]@|@estimé(e) [adj], réputation; de bonne ~@
@reputation@|@réputation@
@repute@|@renommée, réputation@
@reputedly [adv]@|@paraît-il@
@request@|@demander, prier@
@request stop@|@arrêt facultatif@
@requiem {n} [MUS]@|@requiem {m} [MUS]@
@require@|@avoir besoin de, réclamer, requérir@
@required@|@requis@
@required time@|@délai prescrit@
@required; if ~@|@besoin; au ~@
@requirement@|@condition requise, exigence@
@requirements@|@besoins, exigences@
@requisite@|@requis@
@requisition@|@réquisition, réquisitionner@
@re-read@|@relire@
@reredos {n} [REL]@|@retable {m} [REL]@
@reroute@|@dérouter (avion)@
@rerun@|@rediffusion, réémission@
@resale@|@revente@
@rescind [v tr]@|@abolir [v tr], annuler [v tr]@
@rescue@|@sauver, venir à l'aide, venir à la rescousse@
@rescue operation@|@opération de sauvetage@
@rescue party@|@colonne de secours, équipe de secours@
@rescuer@|@sauveteur@
@research [v intr; on ‚ into]@|@recherches; faire des ~ sur@
@research {n}@|@recherche {f} (scientifique)@
@research {n} [usu. in pl.]@|@étude {f} [analyse]@
@research {n} describing …@|@recherches {fpl} portant sur …@
@research and development {n}@|@recherche {f} et développement@
@research department {n}@|@service {m} de recherche@
@research establishment {n}@|@recherche; centre {m} de ~@
@research methods {npl}@|@recherche; méthodes {fpl} de ~@
@research team {n}@|@recherche; équipe {f} de ~@
@research work {n}@|@travaux {mpl} de recherche@
@research work; a piece of ~@|@travail {m} de recherche@
@research worker {n}@|@chercheur {m}, scientifique {m/f}@
@research worker {n}[Am.‚LITER]@|@documentaliste {m}@
@research worker {n}[scientist]@|@chercheuse {f} [CAN]@
@research; anthropological ~@|@études {fpl} anthropologiques@
@research; fundamental ~ {n}@|@recherche {f} fondamentale@
@research; medical ~@|@recherche {f} médicale@
@research; recent ~{n}@|@recherches {fpl} récentes@
@research; some ~@|@recherche; de la ~@
@research; to do ~@|@recherche; faire de la ~@
@research; to do ~ (on)@|@recherche; faire de la ~ (sur)@
@researcher {n}@|@chercheur {m}, chercheuse {f} [CAN], savant {m}, savante {f}, scientifique {m/f}@
@researches; extensive ~ {npl}@|@travaux {mpl} approfondis@
@resect [v tr]@|@exciser [v tr‚ MÉD], réséquer [v tr‚ MÉD]@
@reselect [v tr‚ differently]@|@sélectionner [v tr] à nouveau@
@reselect [v tr‚ select again]@|@sélectionner [v tr] de nouveau@
@reselection {n}@|@sélection {f}; nouvelle ~@
@resell [v tr]@|@revendre [v tr]@
@resemblance {n}@|@ressemblance {f}@
@resemble@|@rejoindre, ressembler@
@resemble each other [v intr]@|@ressembler; se ~[v pr]@
@resent [v tr]@|@ombrage; prendre ~ de@
@resent; I ~ that! [interj]@|@proteste; je ~ ! [interj]@
@resentful [adj]@|@ressentiment; plein(e) de ~@
@resentfully [adj]@|@ressentiment; avec ~ [loc adv]@
@resentment {n}@|@rancœur {f}, rancune {f}, ressentiment {m}@
@reservation {n} [a booking]@|@réservation {f}, restriction@
@reservation {n} [a doubt]@|@réserve {f} [circonspection]@
@reservation {n} [ECOLO]@|@réserve {f} naturelle@
@reservation {n} [ETHNO]@|@réserve {f} [ETHNO]@
@reservation; to have ~s about@|@doute; avoir des ~s sur@
@reservation; to have a ~@|@place; avoir une ~ réservée@
@reserve@|@commander, réserver@
@reserve (player)@|@remplaçant (jeu)@
@reserve (sort)@|@revers@
@reserve team {n}@|@équipe {f}; deuxième ~@
@reserve the right to@|@se réserver le droit de@
@reserved@|@réservé, retenu@
@reservist@|@réserviste@
@reservoir@|@bol, réservoir@
@reset@|@réinitialisation@
@reshuffle@|@remaniement, remanier@
@reside [v intr]@|@demeurer [v intr], résider [v intr]@
@residence {n}@|@domicile {m}@
@residence permit {n}@|@permis {m} de séjour@
@residence; take up ~@|@installer; s'~ [v pr]@
@resident [adj]@|@résident(e) [adj]@
@resident {n} [HIST]@|@Résident {m} général [HIST]@
@resident {n} [MED‚ Am.]@|@interne {m} (des hôpitaux)@
@resident {n} [MEDIA]@|@correspondant {m} permanent@
@resident {n}[in a hotel]@|@pensionnaire {m} [ds 1 hôtel]@
@resident {n}[perm. inhabitant]@|@habitant {m}, habitante {f}, résidant {m}, résidante {f}@
@resident; to be ~@|@résider [v intr]@
@residential [adj]@|@résidentiel(le) [adj]@
@residential area {n}@|@quartier {m} résidentiel@
@residential hotel {n}@|@pension {f} de famille@
@residing@|@demeurant@
@residual [adj]@|@résiduel(le) [adj]@
@residual income@|@revenu net@
@residuary@|@qui reste, résiduel@
@residuary legatee {n}@|@héritier {m}, héritière {f}, légataire {f} universelle, légataire {m} universel@
@residue@|@résidu@
@resign@|@démissionner, re retirer@
@resign (from) one's duties@|@se démettre de ses fonctions@
@resign oneself@|@se résigner@
@resign oneself to@|@se résigner à@
@resignation {n} [acceptance]@|@abandon {m} [résignation], résignation {f}@
@resignation {n}[from 1's job]@|@démission {f}@
@resigned@|@résigné@
@resignedness@|@soumission@
@resilience@|@entrain, ressort@
@resin@|@résine@
@resinous@|@résineux@
@resist@|@résister@
@resistance@|@résistance@
@resistance plasmid@|@facteur de résistance, plasmide de résistance@
@resistant@|@résistant@
@resistant fighter {n}@|@résistant {m}, résistante {f}@
@resistivity@|@résistivité@
@resistor@|@résistance (élec)@
@resit@|@se représenter à@
@resole@|@ressemeler@
@resolute@|@résolu@
@resolutely@|@de pied ferme, résolument@
@resolution@|@motion, résolution@
@resolution; to make a ~@|@résolution; prendre une ~@
@resolve@|@résoudre, se résoudre à@
@resolve to do@|@se promettre de faire@
@resolved@|@résolu@
@resonance@|@résonance@
@resonance chamber@|@caisse de résonance@
@resonance-box@|@boite à écho@
@resonant@|@sonore@
@resonate@|@résonner@
@resorb [v tr‚ MED]@|@résorber [v tr‚ MÉD]@
@resorption {n}@|@résorption {f}@
@resort@|@avoir recourt, recours@
@resort {n} [holiday resort]@|@lieu {m} de vacances@
@resort {n} [place of great ~]@|@lieu {m} très fréquenté@
@resort {n} [recourse]@|@recours {m}@
@resort to [v intr]@|@recourir à [v tr ind], recours; avoir ~ à@
@resort; as a last ~@|@recours; en dernier ~@
@resort; as a last ~ [adv phr]@|@recours; en dernier ~, ressort; en dernier ~@
@resorter {n}@|@requérant {m}, requérante {f}@
@resound@|@résonner@
@resounding@|@qui fait du bruit, qui fait sensation@
@resource@|@ressource@
@resource (fin)@|@avoirs (fin)@
@resourceful@|@débrouillard, plein de ressources@
@resourcefulness@|@débrouillardise@
@resources@|@moyen, remède, ressource@
@respect@|@respecter@
@respect; with ~ to [prep phr]@|@en ce qui concerne@
@respectability@|@respectabilité@
@respectable [adj]@|@respectable [adj]@
@respectful@|@respectueux@
@respecting@|@concernant@
@respective [adj]@|@respectif (-ive) [adj]@
@respectively@|@respectivement@
@respects; in many ~@|@égards; à bien des ~@
@respects; in some ~@|@égard; à certains ~s@
@respiration@|@haleine, respiration@
@respirator@|@respirateur@
@respiratory@|@respiratoire@
@respite@|@répit@
@respond@|@correspondre à, répondre@
@respondent@|@personne interrogée@
@response@|@réplique, réponse@
@response rate {n}@|@taux {m} de réponse@
@responsibility@|@concordance, correspondance@
@responsible [adj]@|@responsable [adj]@
@responsibly [adv]@|@sérieux; avec ~ [loc adv]@
@responsiveness {n}@|@sensibilité {f}@
@rest@|@pause, repos, reste, se reposer@
@rest {n} [MUS]@|@pause {f} [MUS], silence {m} [MUS]@
@rest assured that@|@soyez assuré que@
@rest cure@|@cure de repos@
@rest easy@|@dormir tranquille (fig)@
@rest home@|@maison de repos@
@rest on one's laurels@|@se reposer sur ses lauriers@
@rest room {n} [Am.]@|@lieux {mpl} d'aisances, toilettes {fpl} [sanitaires], W.-C. {m} [BEL]@
@rest; as for the ~@|@puis; et ~@
@rest; at ~@|@repos; au ~@
@rest; to have a ~@|@reposer; se ~ [v pr]@
@restart the engine@|@relancer le moteur@
@restate@|@reformuler@
@restaurant@|@restaurant@
@restaurant car {n} [RAIL]@|@wagon-restaurant {m (~s~s)}@
@restaurant owner@|@restaurateur@
@restful@|@reposant@
@Restigouche River {n} [Canada]@|@Ristigouche [fleuve canadien]@
@resting-place@|@maison de repos@
@restitution@|@restitution@
@restive [adj]@|@rétif (-ive) [adj]@
@restiveness {n}@|@scepticisme {n}@
@restless [adj]@|@agité(e) [adj], remuant(e) [adj]@
@restless; to get ~@|@agiter; s'~ [v pr]@
@restless; to have a ~ night@|@dormir; mal ~ [v intr]@
@restlessness {n}@|@agitation {f} [nervosité], nervosité {f}@
@restoration@|@restauration (ARCH & art)@
@restore@|@restaurer (ARCH & art), restituer, rétablir@
@restore hope@|@redonner confiance@
@restore order@|@ramener le calme (POL)@
@restored to health@|@rétabli (pers)@
@restrain@|@borner, contraindre@
@restrain oneself@|@se contraindre, se modérer, se retenir@
@restrained@|@contenu (pers), maître de soi@
@restraint@|@contrainte, réserve@
@restraints@|@bride@
@restrict@|@limiter@
@restrict oneself to doing@|@se borner à faire@
@restrict sth to@|@limiter qqch à@
@restricted@|@étroit (fig), restreint@
@restricted area@|@zone à vitesse limitée@
@restricting@|@contraignant@
@restriction@|@restriction@
@restriction fragment@|@fragment de restriction@
@restriction map@|@carte de restriction, carte physique@
@restriction mapping@|@cartographie de restriction@
@restriction site@|@site de restriction@
@restrictive [adj]@|@limitatif (-ive) [adj], restrictif (-ive) [adj]@
@restructure@|@restructurer@
@result@|@conséquence, découler, provenir, résultat@
@result [v tr]@|@aboutir [v tr], provenir [v tr], résulter [v tr]@
@result in@|@en résulter@
@result; as a ~ of@|@conséquence; en ~ de, suite; par ~ de@
@resume [v tr]@|@recommencer [v tr]@
@résumé {n}@|@réduction {f} de texte@
@resumption@|@reprise@
@resurface@|@faire surface@
@resurface (to)@|@ressurgir@
@resurgent@|@renaissant@
@resurrect@|@ressusciter@
@resurrection@|@résurrection@
@resuscitate@|@ranimer, réanimer, ressusciter@
@resuscitation@|@réanimation@
@retail@|@détailler@
@retail dealer@|@débitant (COMM)@
@retail price@|@prix de détail@
@retail sales@|@vente au détail@
@retail trade@|@commerce de détail@
@retailer@|@détaillant@
@retain@|@garder, réserver@
@retaking {n}@|@reprise {f}@
@retaliate@|@se venger@
