@English@|@Naskapi@
@sheet-like) is a ~@|@pipaakwaachisuw (vai-i r)@
@sheet-like): he/she ~s@|@kichiihchaayaachipitaaw (vta), pistaakaahaaw (vta), saahtwaachinaaw (vta), tuumaachinaaw (vta)@
@sheet-like): it is ~@|@chispichaachisuw (vai-i), maaskaachisuw (vai-i), michaachisuw (vai-i), miihchaachisuw (vai-i), nuutimaachisuw (vai-i), suwiihkwaachisuw (vai-i), ustuuwaachisuw (vai-i), wiisaawaachisuw (vai-i)@
@sheet-like): it's ~@|@piimaachisuw (vai-i)@
@shelf: he/she makes a ~@|@kaahtipiihtaaw (vai)@
@shelter (a general term)@|@miichiwaahp (ni)@
@sheltered: it is ~@|@tipinuwaaw (vii)@
@shine brightly (an. ex moon): it ~s@|@chiihkaayaastuwaaw (vai)@
@shine: it ~s@|@chiihkaayaastaaw (vii)@
@ship: a large sailing ~@|@iskutaauut (ni)@
@shirt@|@pichuwiyaan (ni)@
@shiver from the cold: he/she ~s@|@ninimichuw (vai-i r)@
@shoe@|@mischin (ni)@
@shoe-lace@|@chiischaahkunaayaapiiy (ni)@
@shoe-lace (for hard soled shoe)@|@mistikuschinaayaapiiy (ni)@
@shoemaker@|@mischiniihchaaw (na)@
@shooting is heard in the distance: his/her ~@|@mitwaaschaaw (vai)@
@shooting): he/she ~s@|@miiskwaahwaaw (vta)@
@shore: it is a sandy ~@|@yaakaausuw (vii-i d)@
@shore: it is very near the ~@|@chiihchikaam (p)@
@short of@|@nuuht (p)@
@short of breath: he/she is ~@|@nuuhtaataahtim (vti)@
@shortly@|@pitimaa (p)@
@shot (for shotgun)@|@muususiniiy (ni)@
@shotgun@|@kaanaatwaanikinuuch (nip)@
@shotgun: double-barrel ~@|@aaniswaapiskimuch (nip)@
@shoulder blade: his/her ~@|@utiniikina (nad)@
@shovel for ice or slush@|@akwaaskupaan (na)@
@show affection to him/her: he/she ~s@|@chiswaawaatuutuwaaw (vta)@
@shriek: he/she ~s@|@aasiihkwaaw  (vai)@
@shut one eye: he/she ~s@|@siiwiikaapuw (vai-i)@
@shut someone's mouth with his/her hand: he/she ~s@|@chiputunaanaaw (vta)@
@shy: he/s/it is ~@|@chiimutisiiw (vai)@
@sibling: younger ~@|@usiima (nad)@
@sick: he/she is ~@|@aahkusuw (vai-i)@
@side rail on the top@|@aspaaskwaaikin (na)@
@sight on a rifle: rear ~@|@chistinuwaachiihtaakin (ni)@
@sight: he/she is in clear ~@|@chiihkaanaakusuw (vai-i)@
@sight: it is in full ~@|@chiihkaanaakun (vii)@
@sign his/her name: he/she ~s@|@misinaawiisuw (vai-u)@
@silent@|@chiiyaam (p), chiiyaamaaw (p)@
@simply@|@pisikw (p)@
@sin@|@michituutimuun (ni)@
@since at least@|@chaasuwaat (p)@
@sing a lullaby to him/her: he/she ~s@|@maamaahaatuwaaw (vta r)@
@single)@|@paaikuwiich (p)@
@sink in mud: he/she/it (an.) ~s@|@chiihtaauschuuwaapiyuw (vai-i)@
@sister@|@usiima (nad)@
@sister-in-law: his/h ~@|@wiitimwa (nad)@
@sit comfortably: he/she ~s@|@miyupuw (vai-i)@
@sit facing in a certain direction: he/she ~s@|@isuutaastimipuw (vai-i)@
@sit here and there: they (an.) ~@|@mimaanipuuch (vai-i pl)@
@sit it up (an.): he/she ~s@|@simitipiyaaw (vta)@
@sit leaning on a slant: he/she ~s@|@iyipuw (vai-i)@
@sit near a tree@|@chiihkaaskupuw (vai-i)@
@sit near a wall: he/she ~s@|@chiihkaaskupuw (vai-i)@
@sit quiety: he/she ~s@|@chiiyaamipuw (vai-i)@
@sit up: he/she ~s@|@simitipuw (vai-i)@
@size@|@paaikuwiich (p)@
@sizes)@|@miihchaatuwiich (p)@
@skim off fat: he/she ~s@|@minaaipimaaw (vai)@
@skim the fat off it: he/she ~s@|@minaaipimaatim (vti)@
@skin@|@aapuukuchaanaaw (vta)@
@skin a fox: he/she ~s@|@paahkunaachaaswaaw (vai)@
@sky@|@chiisikw (ni)@
@slack: it is ~@|@misaapiyuw (vai/ii-i)@
@slap-dash@|@maamaas (p)@
@sled: heavily loaded ~@|@kusikutaapaan (ni)@
@sleep a little: he/she ~s@|@nipaasuw (vai-i)@
@sleep in late: he/she ~s@|@chiiwaasaamiihkwaamuw (vai-u)@
@sleep off and on: he/she ~s@|@saasiipaahkusuw (vai-i)@
@sleep well: he/she ~s@|@miyuuhkwaamuw (vai-u)@
@slip accidentally on the ground: he/she ~s@|@chiiyiiskimichipitim (vti)@
@slip and falls: he/she ~s@|@chiiyisin (vai)@
@slip on the mud: he/she ~s@|@chiiyiischuuchin (vai)@
@slippery floor: it is a ~@|@chiiyiihtikaaw (vii)@
@slippery ground: it is ~@|@chiiyiiskimikaaw (vii)@
@slope down: it ~s@|@niihtichiwaaw (vii)@
@slow him/her: he/she ~s@|@naaniihkaanaaw (vta)@
@slowly@|@paahkaach (p)@
@small person@|@apisiiyiis (na d), kaapisiisit (nap)@
@smart: it is ~@|@iipwaahkaaw (vii)@
@smell like someone passed gas: he/she/it (an.) ~s@|@pwaastumaakusuw (vai-i)@
@smell like someone passed gas: it ~s@|@pwaastumaakun (vii)@
@smell of burning tobacco (an.): he/she/it ~s@|@wiichistaamaaumaasaahwaaw(vta)@
@smell of burning tobacco: it ~s@|@wiichistaamaaumaastaaw (vii)@
@smell of fat@|@pimiiumaakusuw (vai-i)@
@smell of fat: it ~s@|@pimiiumaakun (vii)@
@smell of oil: it ~s@|@pimiiumaakun (vii)@
@smell of tobacco (an.):he/she it ~s@|@wiichistaamaaumaakusuw (vai-i)@
@smell of tobacco: it ~s@|@wiichistaamaaumaakun (vii)@
@smell: he/she/it (an.) ~s@|@miyaahkusuw (vai-i)@
@smell: it ~s@|@miyaahkun (vii)@
@smoke around him/h to keep mosquitoes off: he/s ~s@|@akwaapaataamuwaaw (vta)@
@smoke around it to keep mosquitoes off: he/she ~s@|@akwaapaataaham (vti)@
@smoke goes straight up: the ~@|@kuiiskwaapaahtaaw (vii)@
@smoke to keep mosquitoes off himself/h: he/she ~s@|@akwaapaataahamaasuw (vai-u)@
@smooth it flat (an.): he/she ~s@|@saahtwaahwaaw (vta)@
@smooth it flat (sheet-like): he/she ~s@|@saahtwaakaaham (vti)@
@smooth it with smth: he/she ~s@|@suusuwaaham (vti)@
@smth tied@|@maakupichikin (ni)@
@snare): he/she ~s@|@pinaapiichaaskim (vti)@
@snobbish: he/she is ~@|@chistaaimuw (vai-u)@
@snore loudly: he/she ~s@|@chiswaauhkwaamuw (vai-u)@
@snow (an.): it is damp ~@|@iyimuwaakuunichuw (vai-i)@
@snow bunting (Plectro phenax)@|@waapinikusiis (na d)@
@snow drift blowing: it is a ~@|@akwaapitaastin (vii)@
@snow enters: the ~@|@piihtaakuunaaw (vii)@
@snow goes inside: the ~@|@piihtaakuunaaw (vii)@
@snow house@|@kuunichiwaahp (ni)@
@snow is dense: the ~@|@piikuwaayaakuunikaaw (vii)@
@snow) ~s@|@chiipaakusuw (vai-u)@
@snow: it is damp ~@|@iyimuwaakuunikaaw (vii)@
@snow: the ground is covered with ~@|@kuunuskimikaaw (vii)@
@snowing: it stops ~@|@aastaapiiun (vii)@
@snowmobile gas@|@skiituupimiiy (ni)@
@snowmobile helmet@|@skiituukuniskwaaun (ni)@
@snowmobile): it ~s@|@maahchipimaakisuw (vai-u)@
@snowshoe frame@|@asaamaaskw (na)@
@snowstorm@|@piiputaastin (vii)@
@so@|@aaku (p), maak (p)@
@so many pieces of firewood@|@taahtuuhtich (p)@
@soak it (an) until it (an) falls apart: he/she ~s@|@pichiskaapuukuchimaaw (vta)@
@soak it until it falls apart: he/she ~s@|@pichiskaapukuuhtaaw (vai+o)@
@soak: it ~s@|@akuuhtin (vii)@
@soapsuds): it is ~@|@piistaaw (vii)@
@soccer ball@|@kaawaapistaamaakinut-tuuwaan@
@soda pop@|@kaaminaanuusch (nip)@
@sofa@|@uchimaaw-taahtipuwaakin (ni)@
@soft drink@|@kaaminaanuusch (nip)@
@soft: it is ~@|@yuuschisiiw (vai), yuuskaaw (vii)@
@soft-hearted person@|@kaasaakutaayaat (nap)@
@solar plexus@|@aaskwaaschipaat (vai cj)@
@sole piece of moccasin@|@mischin (ni)@
@someone who gets drunk@|@kaamiyuuhkust (nap)@
@somersaults@|@kwaaskwaanichipiiyuw (vai-u)@
@something@|@chaakwaan (p-conj), chaakwaan (p)@
@sometimes@|@naaikutiniiy (p), yaaikutiniiy (p)@
@song book@|@nikimusinaaikin (ni)@
@sorry for himself/herself: he/she is ~@|@chistimaachaaimuw (vai-u)@
@sound clear (an.): he/she/it ~s@|@chiihkaahtaakusuw (vai-i)@
@sound clear: it ~s@|@chiihkaahtaakun (vii)@
@sound from afar by hitting: he/she makes a ~@|@mitwaaham (vti)@
@sound good: he/she ~s@|@miyuuhtaakusuw (vai-i)@
@sound nice: he/she ~s@|@miyuuhtaakusuw (vai-i)@
@sound nice: it ~s@|@miyuuhtaakun (vii)@
@sound: it produces a ~@|@chistuumikin (vii)@
@soup (made of blood)@|@miihkwaapuy (ni)@
@soup bowl@|@suupaapuwiyaakin (ni), suupuyaakin (ni)@
@south@|@piisimuuhch (p), saaunuuhch (p)@
@south (from English)@|@saaun (p)@
@south wind@|@saaunuuhch (p)@
@spawn: the fish ~@|@aamiiw (vai)@
@speak capably: he/she ~s@|@niihtaawaaw (vai)@
@speak evil of it: he/she ~s@|@michaaimutim (vti)@
@speak in tongues: he/she ~s@|@kwaaschiyimuw (vai-i)@
@speak Indian (Naskapi): he/she ~s@|@iiyuw-iyimuw (vai-i)@
@speak Inuktitut: he/she ~s@|@iischimaaw-iyimuw (vai-i)@
@speak loudly: he/she ~s@|@chiswaawaaw (vai)@
@speak secretly: he/she ~s@|@chiimut-iyimuwaaw (vai)@
@speak the truth: it ~s@|@taapwaamikin (vii)@
@speak well: he/she ~s@|@niihtaawaaw (vai)@
@spear@|@asimaakin (ni)@
@spend the night away from camp: he/she ~s@|@kutikuniiw (vai)@
@sphagnum moss@|@awaasischiiy (ni)@
@spine@|@waaukinaachaakin (ni)@
@spirit of the north wind@|@chiiwaatinisuw (na)@
@spirit who appears in myths (lit.@|@mistaapaaw (na)@
@spiritual power: he/she exercises ~@|@minituusiiw  (vai)@
@spit up blood: he/she ~s@|@suwiihkutaamuw (vai+u)@
@spoil things for him/her: he/she ~s@|@nisunaachiihtimuwaaw (vta)@
@spoon: baby ~@|@awaas-aamiihkwaan (na)@
@spouse: his/her ~@|@uwiichimaakina (nad)@
@spring before last@|@usisiikunuuhch (p)@
@sprinkle it: he/she ~s@|@pinipiihtaaw (vai+o)@
@spruce bough: white ~@|@minaaikwaasiiht (na)@
@spruce grouse@|@mistikuyaaw (na)@
@spy: he/she ~s@|@chiimusaapuw (vai-i)@
@stable@|@awaasiisichiwaahp (ni)@
@stairs@|@taataahkuuskaanaan (ni)@
@stamp it (an.@|@aastuwaasimaaw (vta)@
@stamp it (fire) out: he/she ~s@|@aastuwaaskim (vti)@
@stand beside: he/she ~s@|@maataamaakaapuuw (vai-uu)@
@stand him/her/it (an.) upside-down: he/she ~s@|@achikaapuwaahaaw (vta)@
@stand idle: he/she ~s@|@chiihtimikaapuuw (vai-uu)@
@stand in its place: he/she ~s@|@niipuustim (vti)@
@stand it firmly: he/she ~s@|@aaichikaapuuhtaaw (vai+o)@
@stand it firmly: he/she/it ~s@|@aaichikaapuuw (vai/ii-uu)@
@stand it upright: he/she ~s@|@tipiskuchikaapuwiihtaaw(vai+o)@
@stand it upside-down: he/she ~s@|@achikaapuwiihtaaw (vai+o)@
@stand near a tree@|@chiihkaaskukaapuuw (vai-uu)@
@stand near a wall: he/she ~s@|@chiihkaaskukaapuuw (vai-uu)@
@stand out of the way: he/she ~s@|@aayaahchikaapuuw (vai-uu)@
@stand quietly: he/she ~s@|@chiiyaamikaapuuw (vai-uu)@
@stand them here and there: he/she ~s@|@mimaanikaapuwiihtaaw (vai r)@
@stand upright: he/she/it ~s@|@tipiskuchikaapuuw (vai/ii-uu)@
@stand upside-down: he/she ~s@|@achikaapuuw (vai-uu)@
@stand: he/she ~s@|@niipuuw (vai-uu)@
@standing@|@chimisuw (vai-u)@
@standing on top of him/her/it (an.): he/she is ~@|@taahkusikaapuustuwaaw (vta)@
@standing on top of it: he/she is ~@|@taahkusikaapuustim (vti)@
@standing on top of smth: he/she is ~@|@taahkusikaapuuw (vai-uu)@
@star: day ~@|@chiisikaauchaakitaahkw (na)@
@start doing it: he/she ~s@|@chiihchiihtaaw (vai+o)@
@start doing smth: he/she ~s@|@chiihchiiw (vai)@
@start it up (an.): he/she ~s@|@chiihchipiyaahaaw (vta)@
@start it up (engine): he/she ~s@|@chiihchipiihtaaw (vai+o)@
@start to get sick: he/she ~s@|@maataaspinaaw (vai)@
@start to walk on ice: he/she ~s@|@chiihtiskusin (vai)@
@stay in the shade: he/she ~s@|@achikaastaasimun (vai)@
@stay out many nights: he/she ~s@|@miihchaatutipiskwaaw (vai)@
@steal drinks: he/she ~s@|@chiimutipaaw (vai)@
@steam@|@piihtaastaaw (vii)@
@steam (from hot water): it is ~@|@piichisaayaakimitaaw (vii)@
@steam: it creates ~@|@piichisaapiyuw (vai/ii-i)@
@steamy: it is ~@|@piichisaapiyuw (vai/ii-i)@
@steering wheel@|@maamiinwaaikin (ni)@
@step-daughter: his/her ~@|@utuusimiskwaama (nad)@
@step-son: his/her ~@|@utuusima (nad)@
@sternum: his/her ~@|@uskaaschikaanaakaan (nid)@
@stick@|@mistikw (ni)@
@stick his/her tongue out: he/she ~s@|@saachuw (vai-i)@
@stick to make a paddle@|@apuyaahtikw (ni)@
@stick to pull back net@|@chiiwaaikaanaaskw (ni)@
@stick up (an.): it ~s@|@chimisuw (vai-u)@
@stick up: it ~s@|@chimitaaw (vii)@
@stick-like) has ~@|@pichuwaaskusuw (vai-i)@
@stick-like) long: he/she ~s@|@chinwaaskwaahaaw (vta)@
@stick-like): it has a large ~@|@miihchaaskusuw (vai-i)@
@stick-like): it is ~@|@chinwaaskusuw (vai-i), ustuuwaaskusuw (vai-i)@
@stick-like): it is a snowshoe ~@|@asaamaaskuw (vai-u)@
@sticks his/her head out through a doorway: he/she@|@saachiskwaaw (vai)@
@sticky (glue@|@pisikwaaw (vii)@
@stiff muscles loosen as he/she works: her/his ~@|@saasaawiiw (vai)@
@still@|@iyaapich (p)@
@stingy: he is ~@|@minaastaaw (vai)@
@stingy: he/she is ~@|@chaatisiiw (vai)@
@stitching becomes undone: the ~@|@aapistichipiyuw (vai/ii-i)@
@stone@|@asiniiy (ni), chiinaapischipuyaaw (vta), iyaahkaapischisuw (vai-i), kaahtipaapischisuw (vai-i), kaahtipaasuw (vai-i d), maaskaapischisuw (vai-i), miihchaapischisuw (vai-i), niiswaapischisuuch (vai-i pl), nuutimaapischisuw (vai-i), ustuuwaapischisuw (vai-i)@
@stop him/her (an.): he/she ~s@|@chimipiyaahaaw (vta)@
@stop it: he/she ~s@|@chimipiihtaaw (vai+o), puuniihtaaw (vai+o)@
@stop living: he/she ~s@|@puunipimaatisiiw (vai)@
@stop: he/she ~s@|@chimiiw (vai)@
@stopper@|@chipaaikin (ni)@
@stops and starts: he/she/it ~@|@chipichipiyuw (vai/ii-i)@
@storage: he/she puts things in ~@|@naaustaasuw (vai-u)@
@story (a): he/she ~s@|@aayaahchimuw (vai-u)@
@storybook@|@tipaachimusinaaikin (ni)@
@stove@|@chisaapischaawaan (na)@
@stove for cooking (na)@|@piminuwaaw-chisaapischaawaan@
@straight lines on it: it (an.) has ~@|@kuiiskusinaasuw (vai+u)@
@straight lines on it: it has ~@|@kuiiskusinaataaw (vii)@
@straight: it is ~@|@kuiiskusinaasuw  (vai-u)@
@strange: he/she is ~@|@maanitaawaaihtaakusuw (vai-i)@
@strange: it is ~@|@maanitaawaaihtaakun (vii)@
@strangle: he/she ~s@|@chiputaamaapiihkaasuw (vai-u)@
@strangled: he/she is ~@|@chiputaamaapiihkaasuw (vai-u)@
@strength@|@miskuusiiun (ni)@
@stretch a fox skin: he/she ~s@|@siipaahaachaasuwaaw (vai)@
@stretch his/her own neck: he/she ~s@|@saahtwaakuiwaapiyuw (vai-i)@
@strike: he/s ~s@|@utaamaaichaaw (vai)@
@string figures:  he/she makes ~@|@maahtaawaapaakaaichaaw (vai)@
@string tied to poles on the sides of a tent@|@chiistaapaachikinaayaapiiy(ni)@
@string: hide ~@|@piisaakinaayaapiiy (ni)@
@string: leather ~@|@piisaakinaayaapiiy (ni)@
@string-like) by the handle: he/she ~s@|@sikaapaachinaaw (vta)@
@string-like) caught on smth: he/s ~s@|@piswaapaachisimaaw (vta)@
@string-like) into a ball: he/she ~s@|@titipinaapiihchaasimaaw (vta)@
@string-like) straight across: he/s ~s@|@tiskimaapaakimwaahaaw (vta)@
@string-like): he/she ~s@|@apiihkaapiihchaanaaw  (vta), apiihkaapiihchaanaaw (vta), miywaapiihchaanaaw (vta), naahaawaapiihchaanaaw (vta), niiswaapaachinaaw (vta), tuumaapaachinaaw (vta)@
@string-like): it gets ~@|@piswaapaachisin (vai)@
@string-like): it is ~@|@maaskaapaachisuw (vai-i), miihchaapaachisuw (vai-i), nuutimaapaachisuw (vai-i), puutuwaapaachisuw (vai-i), ustuuwaapaachisuw (vai-i)@
@string-like): it's ~@|@piimaapaachisuw (vai-i)@
@strip tease artist@|@kaamusaaskitaasimuut (nap)@
@strong@|@suuhch (p)@
@strong: he/she is ~@|@saapiiw (vai)@
@strong: it is ~@|@siipin (vii)@
@strong: it looks ~@|@miskuunaakun (vii), miskuunaakusuw (vai-i)@
@stubborn about him/her: he/she is ~@|@aaitaaimaaw (vta)@
@stubborn about it: he/she is ~@|@aaitaaihtim (vti), siipiihtim (vti)@
@stubborn to him/her: he/she is ~@|@siipiihtuwaaw (vta)@
@stubs it@|@aastuwaasimaaw (vta)@
@stuck in position: he/she/it stays ~@|@michimipiyuw (vai/ii-i)@
@stuck in the mud: he/she/it (an.) is ~@|@chikimuschuuwaaw (vai)@
@stump@|@chimaaiskaan (ni)@
@subsequently@|@taapaakaa (p)@
@sudden@|@chiistip (p)@
@suddenly@|@chiistipaaw (p)@
@sugar bag@|@kaasiiwaasiiut (nip)@
@sugar bowl@|@kaasiiwaasiwiyaakin (ni)@
@sugar box@|@kaasiiwaasiiut (nip)@
@suicide: he/she commits ~@|@nipaaitiisuw  (vai-u)@
@suitcase@|@miiut (ni)@
@summer before last@|@usiniipinuuhch (p)@
@sun@|@chiisikaaw-piisim (na-w)@
@sun goes down behind smth: the ~@|@aakuwaaschaaw (vii)@
@sun is shining: the ~@|@chisaastaaw (vii)@
@sun shines: the ~@|@chiihkaayaastaaw (vii)@
@Sunday (lit on the praying day)@|@iyimiyaauchiisikaach (vii cj)@
@sunk by the waves (an.)@|@kusaapaayaaukuw (vai-u)@
@sunk by the waves (an.): he/she is ~@|@kusaapaayaaukuw (vai-u)@
@sunk by the waves (an.): he/she/it is ~@|@kusaapaayaaukuw (vai-u)@
@sunk by the waves: it is ~@|@kusaapaayaautaaw (vii)@
@sunrise: it is a red ~@|@miihkwaapin (vii)@
@superficially@|@maamaas (p)@
@superficially: he/she does it ~@|@maamaasiihkim (vti), maamaasinaakuuhtaaw (vai+o)@
@superficially: he/she does things ~@|@maamaasiiw (vai)@
@supper (vii-uu imp)@|@utaakusiiumiichisunaanuuw@
@support pole for a clothes-line@|@uuhpaaskaaikin (ni)@
@surface (an.): he/she makes him/her/it ~@|@muschipiyaahaaw (vta)@
@surface: he/she ~s@|@paakupaaw (vai)@
@surface: he/she makes it ~@|@muschipiihtaaw (vai+o)@
@surface: he/she/it ~s@|@muschipiyuw (vai/ii-i)@
@surprising: he/she is ~@|@mimiskaataayaaihtaakusuw (vai)@
@surrender his/her will: he/she ~s@|@pistaaimaaw (vai)@
@surveyor@|@kaatipaaihchaat (nap)@
@swallow a hook: the fish ~s@|@kuyaaw (vai+o)@
@swallow it: he/she ~s@|@kuuhtim (vti), kuyaaw (vai+o)@
@swallow smth. whole: he/she ~s@|@nuutimaakutim (vti)@
@swamp@|@mischaakw (ni)@
@swampy ground: it is ~@|@mischaakuskimikaaw (vii)@
@swampy: it is ~@|@mischaakuw (vii-u)@
@sweat lodge@|@mitisaan (ni), mitisaanichiwaahp (ni)@
@sweat lodge frame pole@|@mitisaanaaskw (na)@
@sweep it forward: he/she ~s@|@niikaaniwaapaaham (vti)@
@sweep it in order: he/she ~s@|@naaiwaapaaham (vti)@
@sweet: it (an) is ~@|@siiusiiw (vai)@
@sweet: it (an) tastes ~@|@siiuspikusuw (vai-i)@
@sweet: it tastes ~@|@siiuspikun (vii)@
@sweets@|@siiutiis (ni d)@
@swelling goes down: the ~@|@yuupiyuw (vii-i)@
@swimming: he/she is ~@|@pikaasimuw (vai+u)@
@swing@|@waawaapisuun (ni)@
@swing him/her/it (an.) in a hammock: he/she ~s@|@waawaapitaaw (vta)@
@swing it in a hammock: he/she ~s@|@waawaapitim (vti)@
@switch languages@|@kwaaschiyimuw (vai-i)@
@table@|@miichisuwaakin (ni), miichisuwaakinaahtikw (ni)@
@tablespoonful: one ~@|@paaikwaamiihkwaan (p)@
@tablespoonfuls: four ~@|@naawaamiihkwaan (p)@
@tablespoonfuls: many ~@|@miihchaatwaamiihkwaan (p)@
@tablespoonfuls: three ~@|@nistwaamiihkwaan (p)@
@tablespoonfuls: two ~@|@niiswaamiihkwaan (p)@
@tail (an.): it has a long ~@|@chinwaaihtaaw (vai)@
@tail (an.): it has a short ~@|@taahkwaaihtaaw (vai)@
@tail (an.): it has a shortened ~@|@chimaaihtaawaaw (vai)@
@tail (an.): its ~@|@usuy (nid)@
@tail fin (fish)@|@usikuniiy (ni)@
@tail of sled runner@|@usikunitaapaanaaskw (ni)@
@tailbone (of an animal): its ~@|@usuukin (nid)@
@tailbone: his/her ~@|@usuwaaichaakin (nid)@
@tail-end of toboggan@|@usikunitaapaanaaskw (ni)@
@take another downhill (an.): he/she ~s@|@niihtichiwaahtaahaaw (vta)@
@take branches off a tree: he/she ~s@|@chiikaatwaaichaaw (vai+o)@
@take care of his/her needs: he/she ~s@|@naahaawiikuwaaw (vta)@
@take him/her across (in a vehicle): he/she ~s@|@aasuukaamaapiyaahaaw (vta)@
@take him/her back home: he/she ~s@|@chiiwaahtaahaaw (vta)@
@take him/her for a walk: he/she ~s@|@pimuuhtaahaaw (vta)@
@take him/her/it (an.) out on the ice: he/she ~s@|@musaaskuuhtaahaaw (vta)@
@take him/her/it (an.) outside: he/she ~s@|@wiiwiiyaahaaw (vta)@
@take him/her/it (an.) up (ex.@|@saakichiwaataaw (vta)@
@take him/her/it (an.) up from shore to inland@|@kuspiitaahaaw (vta)@
@take him/her/it (an.) upriver in a canoe: he/s ~s@|@kuspiihuyaaw (vta)@
@take him/her/it downriver driving: he/she ~s@|@maaipiyaahaaw (vta)@
@take him/her/it downstairs (an.): he/she ~s@|@niisaahtuwaataahaaw (vta)@
@take it across diagonally (by boat/canoe): he/s ~s@|@piimikaamaapiihtaaw (vai+o)@
@take it along the edge of the shore: he/she ~s@|@yaayaawaapiihtaaw (vai+o)@
@take it as an example@|@chistinuwaapaahtim (vti)@
@take it back: he/she ~s@|@chiiwaahtaaw (vai+o)@
@take it by mistake: he/she ~s@|@pistinim (vti)@
@take it down (an.): he/she ~s@|@kuunaaw (vta), kuunaaw (vta)@
@take it down: he/she ~s@|@kuunim (vti), kuunim (vti)@
@take it downriver on the ice walking: he/she ~s@|@maaiskuuhtaaw (vai+o)@
@take it home: he/she ~s@|@chiiwaahtaaw (vai+o)@
@take it off or down: he/she ~s@|@aamistaaw (vai+o)@
@take it off using his/her hands: he/she ~s@|@aaminim (vti)@
@take it out on the ice: he/she ~s@|@musaaskuuhtaaw (vai+o)@
@take it outside: he/she ~s@|@wiiwiihtaaw (vai+o)@
@take it to the shore: he/she ~s@|@naasipaasiihtaaw (vai+o)@
@take it up (ex.@|@saakaachuwaahtaaw (vai+o)@
@take it up from the shore to the inland: he/she ~s@|@kuspiitiihtaaw (vai+o)@
@take it upriver: he/she ~s@|@kuspaautaaw (vai+o)@
@take smth of someone else's by mistake: he/she ~s@|@pistinimuwaaw  (vta)@
@take the hook: it (an.) ~s@|@kuuhtim (vti)@
@take things ahead by canoe: he/she ~s@|@pistwaautaasuw (vai+u)@
@take things ahead: he/she ~s@|@pistwaaw (vai)@
@taken ahead by canoe: things that were ~@|@pistwaautaasuun (ni)@
@taken ahead: things that were ~@|@pistwaaun (ni)@
@talk a lot: he/she ~s@|@piichiskwaaw (vai)@
@talk about him/her in a bad way: he/she ~s@|@michaaimumaaw (vta)@
@talk about him/her: he/she ~s@|@aaimuumaaw (vta r)@
@talk angrily: he/she ~s@|@chisiimuw (vai-u)@
@talk loudly: he/she ~s@|@chiswaawaaw (vai)@
@tall (an.): it is@|@chinwaaskusuw (vai-i)@
@tall: he/she is ~@|@chinukaapuuw (vai-uu)@
@tall: it is ~@|@chinwaaskun (vii)@
@tamarack@|@waachinaakin (na)@
@tamarack trees: it is an area of ~@|@waachinaakiniskaaw (vii)@
@tamarack: dry wood from a ~@|@waachinaakinaahtikw (ni)@
@tame it (an.): he/she ~s@|@iipwaahkaawaahaaw (vta)@
@tan a hide: he/she ~s@|@chiisinichaaw (vai)@
@tan it (an.@|@chiisinaaw (vta)@
@tan it: he/she ~s@|@chiisinim (vti)@
@tan smth. soft: he/she ~s@|@yuuschiihtaaw (vai), yuuschinichaaw (vai)@
@tangled (string-like): it gets ~@|@piswaapaachiihtin (vii)@
@tangled on it (an.@|@piswaapaachisin (vai)@
@tangled on the line (an.): it gets ~@|@piswaapaachiskwaaw (vai)@
@tangled on the line: he/she gets ~@|@piswaapaachiskim (vti)@
@tangled up in it: he/she gets ~@|@piswaaham (vti)@
@tank (fuel container)@|@atuuchipaan (ni)@
@tanned hide@|@piisaakin (na)@
@tap his/her foot on smth.: he/she ~s@|@utitaamiihtaaw (vai)@
@tape@|@pisikuschuwaataaikin (ni)@
@tape for a recorder@|@kaapiihtaapiyaakinuut (nap)@
@tape measure@|@tipaaskwaaikinaayaapiiy (ni)@
@tape recorder@|@kaapiihtaapiihtaakinuuch (nip)@
@tape recorder (8-track)@|@kaasaakusaamaakinuut (nap)@
@tarpaulin@|@akuniihiiutaan (ni)@
@tassel on snowshoe frame@|@waasikusiiun (ni)@
@taste (an.): it has a bad ~@|@michispikusuw (vai-i)@
@taste good (an.): it ~s@|@miyuspikusuw (vai-i)@
@taste good: it ~s@|@miyuspikun (vii)@
@taste it (an.): he/she ~s@|@kuchipuwaaw (vta)@
@taste it: he/she ~s@|@kuchistim (vti)@
@taste of oil: it has the ~@|@pimiiuspikun (vii)@
@taste rich: it ~s@|@nistuspikusuw (vai-i)@
@taste: it has a bad ~@|@michispikun (vii)@
@tattle on him/her: he/she ~s@|@maayaachimaaw (vta)@
@tattle on someone: he/she ~s@|@maayaachiimuw (vai-u)@
@tattle to him/her: he/she ~s@|@maayaachimustuwaaw (vta)@
@taxi@|@taakisiiy (ni)@
@tea@|@tiiy (ni)@
@teach it to him/her: he/she ~s@|@chiskutimuwaaw (vta)@
@teach: he/she ~s@|@chiskutimaachaaw (vai)@
@teacher@|@kaachiskutimaachaat (nap)@
@teaching@|@kaachiskutimaachaaun (ni)@
@teakettle@|@kaataapwaast (nap)@
@teapot@|@kaataapwaast (nap)@
@tear a piece of it (an. sheet-like): he/she ~s@|@chimaachipitaaw (vta), chimaachipitaaw (vta)@
@tear a piece of it (sheet-like): he/she ~s@|@chimaachipitim (vti), chimaachipitim (vti)@
@tear a piece of it quickly (an.): he/she ~s@|@paahkwaapitaaw (vta)@
@tear a piece off of it quickly: he/she ~s@|@paahkwaapitim (vti)@
