@English@|@Danish@
@traditionalist(ic)@|@traditionsbunden@
@traduce@|@trække i sølet, vanære@
@traffic@|@færdsel(-en), kørsel, rend, samfærdsel, samkvem, trafik@
@traffic accident@|@færdselsulykke(-en), trafikulykke@
@traffic block@|@færdselsstandsning, færdselsstandsning(-en), trafikprop@
@traffic breakdown@|@trafiksammenbrud@
@traffic calming (~measures)@|@trafikdæmpende foranstaltning@
@traffic cencus@|@færdselstælling(-en)@
@traffic census@|@trafiktælling@
@traffic circle@|@rundkørsel@
@traffic hold-up@|@trafikstandsning@
@traffic indicator@|@afviser(-en), afviservinge@
@traffic indicator (as example@|@semafor (binær)@
@traffic island@|@en helle@
@traffic jam@|@færdselsstandsning(-en), trafikprop@
@traffic lane@|@vognbane@
@traffic laws@|@færdselsloven@
@traffic light@|@færdselsfyr(-et)@
@traffic lights@|@lyskurv(-en), lyssignal(-et), trafikfyr/lys, trafiklys@
@traffic line@|@færdselsstreg(-en)@
@traffic manager@|@traikchef@
@traffic marking@|@færdselsafmærkning(-en)@
@traffic on the right@|@højrekørsel@
@traffic ordinance@|@overskridelse af fartgrænsen@
@traffic police@|@færdselspoliti(-et)@
@traffic problems@|@trafikale problemer@
@traffic regulations@|@færdselsregler@
@traffic sign@|@færdselsskilt(-et), færdselstegn(-et)@
@traffic signal@|@færdselssignal(-et)@
@traffic stud@|@færdselssøm(-et)@
@traffic warden@|@parkeringsvagt, parkeringsvagt@
@trafficing (practice(s))@|@trafik@
@tragacanth (~gum)@|@tragant (fortykningsmiddel)@
@tragedian@|@tragediedigter, tragiker@
@tragedienne (in tragic role)@|@tragedienne (skuespilleinde)@
@tragedy@|@tragedie, ulykke@
@tragedy (theater play)@|@sørgespil@
@tragic@|@tragisk@
@tragi-comic@|@tragikomisk@
@tragicomical@|@sørgmunter@
@trail@|@sti, stribe@
@trail behind@|@følge efter, komme bagud, slæbe efter@
@trail of blood@|@blodspor(-et)@
@trail rope@|@slæbetov@
@trailblazer@|@foregangsmand(-en), stifinder@
@trailer@|@anhænger(-en), bivogn(-en), påhængsvogn, trailer (film)@
@trailer (film)@|@forfilm(-en)@
@trailing plant@|@slyngplante@
@train@|@afrette, dressere, indøve, jernbanetog(-et), kolonne(-en), oplære, tog, træne, uddanne, uddanne sig@
@train (~of weddingdress)@|@brudeslæb, slæb (brudekjole)@
@train (army baggage)@|@tros (bagage-oftes hærens), træn@
@train (develop)@|@optræne@
@train (gown)@|@slæb (kjole)@
@train (on usually wedding dress)@|@slæb@
@train (practice)@|@øve sig@
@train (practise)@|@opøve@
@train (to~)@|@skole (at~)@
@train at@|@sigte på, øve sig på@
@train carriage@|@togvogn@
@train collision@|@togsammenstød@
@train compartment@|@togkupé@
@train crash@|@togsammenstød@
@train journey@|@togrejse@
@train of thought@|@tankebane, tankegang, tankerække@
@train oil@|@tran@
@train service@|@togforbindelse, toggang@
@train set@|@legetøjstog (sæt)@
@train staff@|@togpersonale@
@train wagon@|@togvogn@
@train-bearer@|@brudepige(r), brudeslæbsbærer@
@trained@|@dresseret, faglært, uddannet, øvet@
@trainee@|@praktikant@
@trainee nurse@|@sygeplejeelev@
@trainer@|@dressør(-en), træner@
@trainers@|@træningssko@
@training@|@afretning(-en), dressur(-en), oplæring, opøvelse, skoling, træning, uddannelse@
@training college@|@seminarium (lærer)@
@training period@|@praktik@
@training ship (naval cadets)@|@kadetskib(-et)@
@training-ship@|@skoleskib@
@train-oil factory@|@trankogeri@
@train-oil lamp@|@tranlampe@
@train-oil lantern@|@tranlygte@
@traipse@|@omflakken, traske@
@trait@|@ansigtstræk(-et), karakteregenskab(-en), karaktertræk(-et)@
@traitor@|@forrædder(-en), forræder(-en), landsforræder(-en), landssviger(-en), usling@
@traits@|@kendetegn (træk), træk (egenskaber)@
@trajectory@|@bane(-en), kuglebane(-en), kurs(-en), projektilbane, skudlinje@
@tram@|@sporvogn@
@tram conductor@|@sporvognskonduktør@
@tram depot@|@sporvognsremise@
@tram fare@|@sporvognspenge@
@tram rail@|@sporvognsskinne@
@tram stop@|@sporvognsstandsning, sporvognsstoppested@
@tram ticket@|@sporvognsbillet@
@tramcar@|@sporvogn@
@tramline@|@sporvejslinje@
@tramline seven@|@syver@
@tramline ticket@|@sporvognsbillet@
@tramp@|@landstryger(-en), luder (menneske), omstrejfer, stodder, stykgodsskib, traske, travetur, vagabond@
@tramp (fx. of horses)@|@trampen@
@tramp (steamer)@|@fragtskib, trampdamper@
@tramp of horses@|@hestetrampen@
@tramp trade@|@trampfart@
@tramping@|@trampen@
@trample@|@stampe, trampe, trampe ned, trampe på@
@trample down@|@nedtrampe, nedtræde@
@trample underfoot@|@træde under fode@
@trampled down@|@nedtrådt@
@trampoline@|@trampolin@
@tramway@|@sporvognsskinner (bane)@
@tramway (line)@|@sporvej@
@tramway company@|@sporvejsselskab@
@tramway employee@|@sporvejsfunktionær@
@trance@|@dvale(-en), trance, trancetilstand@
@trancelike state@|@trancetilstand@
@tranference@|@overførelse@
@tranquil@|@fredfyldt, rolig@
@tranquil night@|@nattero(-en)@
@tranquil sea@|@havblik@
@tranquillity@|@stilhed@
@tranquillizer@|@beroligende middel(-et), nervemedicin@
@transaction@|@forretning(-en), transaktion, udførelse@
@transalpine (seen from Rome)@|@transalpinsk(nord for alperne)@
@transatlantic@|@transatlantisk@
@transcend@|@overgå, overskride@
@transcendental@|@metafysisk, oversanselig, transcendental@
@transcribe@|@afskrive, omskrive, skrive af, transkribere, transskribere (omforme)@
@transcript@|@afskrift(-en), genpart(-en), udskrift@
@transcription@|@afskrivning(-en), omskrivning, transkription@
@transducer@|@omformer@
@transection@|@skæringspunkt@
@transept@|@tværskib, tværskib (kirke)@
@transfer@|@forflytte, forflyttelse(-en), forsætte, forsættelse(-en), omflytning, omplacere, ompostere, omstigning, overdrage, overdragelse, overflytning, overflytte, overføre, overførselsbillede@
@transfer (by endorsement)@|@girere@
@transfer charges@|@modtageren betaler (telf.), omstillingsgebyr@
@transfer form@|@girokort(-et)@
@transfer of property@|@ejendomsoverdragelse(-en)@
@transfer ticket@|@omstigning@
@transferable@|@omsættelig, transportabel@
@transference@|@henlæggelse, overflytning, overgivelse@
@transferred@|@overført@
@transfiguration@|@forklarelse@
@transfigured@|@forklaret@
@transfix@|@nagle fast, spidde@
@transform@|@forandre, forvandle, omdanne, omforme, omlave, omskabe, omsætte, transformere@
@transformation@|@forandring(-en), forvandling(-en), omkalfatre, omskabelse@
@transformed by Holy Sacrament@|@transsubstantiation@
@transformer@|@omformer, transformator, transformer (el)@
@transfusion@|@overførelse, overføring, overføring, transfusion@
@transgress@|@overskride, overtræde, synde@
@transgression@|@overskridelse, overtrædelse, overtrædelse, synd, udskejelse@
@transgressor@|@overtræder@
@transient@|@forbigående, forgængelig@
@transilluminate@|@gennemlyse@
@transistor@|@transistor@
@transistor radio@|@transistorradio@
@transit@|@gennem-, transit@
@transit duty@|@transittold@
@transit goods@|@transitgods@
@transit trade@|@transithandel@
@transit visa@|@gennemrejsevisum(-et)@
@transition@|@overgang@
@transitional@|@overgangs-(mæssig)@
@transitional form@|@overgangsform@
@transitional period@|@overgangsperiode@
@transitional stage@|@overgangsstadium@
@transitive (subject to object)@|@transitiv (indvirkende udsagn)@
@transitoriness@|@flygtighed(-en)@
@transitory@|@forgængelig, kursorisk@
@translate@|@fortolke, overføre, oversætte@
@translate into Danish@|@fordanske, oversætte til dansk@
@translation@|@gengivelse(-en), oversættelse@
@translator@|@oversætter, tolk, translatør@
@translators@|@tolke, oversættere@
@translucent@|@gennemsigtig, gennemskinnelig@
@transmarine@|@oversøisk@
@transmission@|@forplantning(-en), overførelse, overføring, sending, transmission, udsendelse@
@transmission of power@|@kraftoverføring(-en)@
@transmission speed@|@baud (transmissionshastighed), overførselshastighed@
@transmit@|@afsende, fremsende, overføre, rundkaste, sende, transmittere@
@transmitted@|@forplantet (fx. sygdom), overført@
@transmitted by heredity@|@nedarvet@
@transmitted by inheritance@|@nedarves@
@transmitter@|@sender@
@transoceanic@|@oversøisk@
@trans-oceanic flight@|@oceanflyvning@
@transparency@|@gennemsigtighed(-en), transparent@
@transparent@|@gennemsigtig, gennemskuelig, transparent@
@transpire@|@hænde, komme frem, sive ud, svede, transpirere@
@transplant@|@omplante, omplantning, transplantat, transplantation, transplantere@
@transplant (a plant)@|@udplante@
@transplant (plants)@|@prikle@
@transplantation@|@omplantning@
@transplanting@|@prikke (planter)@
@transpond@|@omsætte, sende (fx. fra radio)@
@transport@|@forsendelse(-en), henrykkelse, transport, transportere@
@transport (army)@|@træn@
@transport (f.x. into wonder)@|@hensætte (i anden tilstand)@
@transport of joy@|@glædesrus(-en)@
@transport of mail@|@postbefordring@
@transport of prisoners@|@fangetransport(-en)@
@transport plane@|@transportflyvemaskine@
@transport vessel@|@transportskib@
@transport worker@|@transportarbejder@
@transportation@|@deportation(-en), transport, transportmiddel@
@transportation corps@|@forsyningstropper@
@transportation of forces@|@troppetransport@
@transportation of troops@|@troppetransport@
@transporter@|@blokvogn(-en), transportør@
@transpose@|@ombryde, transponere@
@transposition@|@transponering@
@transscribe@|@transskribere (omskrive)@
@transscription@|@udskrivning, omskrivning@
@trans-ship@|@omlade@
@trans-shipment@|@omladning@
@trans-shipment charges@|@omladeomkostninger@
@transsubstantiation (religious rite)@|@transsubstantiation, omdannelse (fx. brød til Jesu legeme)@
@transversal@|@transversal (tværgående)@
@transversal line@|@tværlinje@
@transverse@|@transversal (tværgående), tvær-(mæssig), tværgående@
@transverse (ship)@|@tværskibs@
@transverse crossing@|@skæringspunkt@
@transverse flute@|@tværfløjte@
@transverse line@|@tværlinje@
@transverse partition@|@tværdeling@
@transverse stripe@|@tværstribe@
@trap@|@fange i fælde, fælde(-en), snare, vandlås, vandlås@
@trap (fish)@|@ruse@
@trap (fx. bear trap)@|@saks@
@trap (siphon)@|@vandlås@
@trap door@|@faldlem(-en), lem (lemme)(-en), luge (lem)(-en)@
@trap drummer@|@janitshar@
@trap-door@|@falddør(-en), faldlem(-en)@
@trapez artist@|@trapezkunstner@
@trapeze@|@trapez@
@trapezium@|@trapez@
@trapper@|@pelsjæger@
@trappings@|@pynt, skaberak, staffage, ydre tegn@
@trappist (vow of silence)@|@trappist (cistercienser munk)@
@trash@|@bras, hø, juks, kram, makulatur, møg, skarn, skidteri, skrab, skrabsammen, skrald, stads (noget værre~), tampe@
@trash fish@|@skidtfisk@
@trauma@|@trauma@
@traumatic@|@traumatisk@
@travail@|@arbejdsbyrde@
@travel@|@berejse, fare, fare (bevæge sig), gå på valsen, rejse, rundrejse@
@travel about@|@ture (rundt)@
@travel agency@|@rejsebureau@
@travel bag@|@rejsetaske@
@travel document@|@rejsehjemmel@
@travel expences reimbursement@|@rejsegodgørelse@
@travel folder@|@turistbrochure@
@travel nerves@|@rejsefeber@
@travel poster@|@turistplakat@
@travel sickness@|@transportsyge@
@travel the lenght and breath@|@gennemkrydse@
@travel through@|@gennemrejse(-en)@
@travel voucher@|@rejsehjemmel@
@travelator@|@rullende fortov@
@traveller@|@vejfarende@
@traveller's checque@|@rejsecheck@
@traveller'stale@|@skipperhistorie@
@travelling@|@det at rejse, omrejsende, omvandrende, være på rejse@
@travelling by rail@|@jernbanekørsel@
@travelling companion@|@rejsefælle, rejsekammerat@
@travelling crane@|@løbekran(-en)@
@travelling exhibition@|@vandreudstilling@
@travelling expences@|@befordringsgodtgørelse(-en)@
@travelling library@|@vandrebibliotek@
@travelling permit@|@rejsepas@
@travelling refund@|@rejsegodgørelse@
@travelling rug@|@rejsetæppe@
@travelling speed@|@kørehastighed(-en)@
@travelling-companion@|@medrejsende@
@travelling-companions@|@rejseselskab@
@travelling-expenses@|@rejseomkostninger, rejseudgifter@
@travelling-rug@|@plaid@
@travelling-scholarship@|@rejsestipendium@
@traverse@|@gennemflyve, gennemløbe, gennemrejse(-en)@
@travertine@|@frådsten (porøs kalksten)@
@travertine (limestone)@|@frådsten (kalksten)@
@travesty@|@ironi, latterliggørelse(-en), satire, travesti@
@travestying@|@travestere (parodiere)@
@travois@|@slæde@
@trawl@|@slæbevod, trawl, trawle@
@trawl fishing@|@trawlfiskeri@
@trawling@|@trawlfiskeri@
@tray@|@bakke (f.x. tebakke), bakke(-en), plade, præsenterbakke@
@tray (letters)@|@brevbakke(-en)@
@tray for visiting-cards@|@visitskål@
@treacherous@|@forrædderisk, lumsk, perfid, troløs, træsk, uberegnelig@
@treacherous ground@|@morads@
@treacherousness@|@perfidi, træskhed@
@treachery@|@forrædderi(-et), lumskhed, troløshed, troskabsbrud@
@treacle@|@sirup@
@tread@|@gang(-en), skridt, slidbane, trin, træde, tråd (trin)@
@tread (~into a room)@|@trine@
@tread down@|@nedtræde@
@treadbare@|@luvslidt, tyndslidt@
@treadle@|@trædebræt, trædemaskine@
@treadmill@|@trædemølle, løbebånd@
@treason@|@forrædderi(-et), forræderi(-et), landsforrædderi(-et), landsforræderi(-et)@
@treasonable@|@forrædderisk, landsforræderisk@
@treasure@|@gemme på, klenodie(-et), kostbarhed(-en), perle, skat, sætte stor pris på@
@treasure hunt@|@skattejagt@
@treasure hunter@|@skattegraver@
@treasure trove@|@guldgrube(-en)@
@treasurer@|@kvæstor(-en), skatmester@
@treasury@|@finansministeriet, kasse (valuta), skatkammer@
@Treasury (the~)@|@statskassen@
@Treasury bond@|@statsobligation@
@treat@|@behandle, beværte, beværtning(-en), forplejning(-en), gave(-en), smovs, traktement@
@treat cotton chemically@|@mercerisere (natriumhydroxid)@
@treat like a dog@|@hundse@
@treat royally@|@behandle kongeligt@
@treat shabbily@|@sjofle@
@treat unfairly@|@forfordele@
@treat with reserve@|@tage med et gran salt@
@treatise@|@afhandling(-en)@
@treatment@|@behandling, kur(-en), medfart@
@treatment of wounds@|@sårbehandling@
@treatment pond@|@renseanlæg@
@treatment with drugs@|@farmakoterapi@
@treaty@|@pagt, traktat@
@treaty obligation@|@traktatlig forpligtelse@
@Treaty of Versailles@|@Versaillestraktaten@
@treble@|@diskant(-en), skinger, sopran, tredobbelt, tredoble@
@treble clef@|@diskant nøgle(-en), G-nøgle@
@treble shift@|@treholdsdrift@
@trebuchet@|@katapult(-en)@
@tree@|@træ@
@tree (~a shoe)@|@udblokke@
@tree (genus/species of tree)@|@træsort@
@tree frog@|@løvfrø(-en)@
@tree growth@|@trævækst@
@tree line@|@trægrænse@
@tree lined@|@kantet af træer, omgivet af træer@
@tree of life@|@livstræ(-et)@
@tree root@|@trærod@
@tree sparrow@|@skovspurv@
@tree suitable for a mast@|@mastetræ(-et)@
@tree top@|@trækrone@
@tree trunk@|@træstamme@
@treecreeper (bird)@|@træløber (fugl)@
@treeless@|@skovløs, træløs@
@treepipit@|@skovpiper@
@tree-sparrow@|@skovspurv@
@treeswifts@|@træsejler (fugle)@
@treetop@|@trætop@
@trefoil@|@kløver, kløverblad(-et), trekløver@
@trek@|@tage på vandretur, tur, vandring@
@trellis@|@espalier(-et), gitter(-et), gitterværk(-et), tremme, tremmer, tremmeværk@
@trelliswork@|@espalier(-et)@
@trellis-work@|@gitterværk(-et)@
@tremble@|@bæve, ryste, sitre, skælve, skælve, vibrere@
@tremble (small movement)@|@rok (bevægelse)@
@trembled@|@skjalv@
@trembles@|@bæver(-en)@
@trembling@|@bævende, dirren, rysten, sitren, skælven, skælvende@
@trembling with rage@|@harmdirrende@
@trembly@|@bævende, dirrende, rysternde@
@tremendous@|@forrygende, frygtelig, gebommerlig, gevaldig, kollosal, umådelig@
@tremolo@|@tremulant (vibrerende9@
@tremolous@|@frygtsom, rystende, vibrerende@
@tremor@|@rystelse, rysten, rysten, skælven@
@tremor (in the earth)@|@jordrystelse(-en)@
@trench@|@grav(-en), grøft(-en), kulegrave, løbegrav(-en), skyttegrav, udgravning@
@trench warfare@|@skyttegravskrig, stillingskrig@
@trenchant@|@'præcist', skærende, udskærende@
@trenchant wit@|@bidende vid@
@trencher@|@skærebræt, smørebræt, spækkebræt@
@trencher (cap)@|@studenterhue (US/UK)@
@trenches@|@skyttegrave@
@trend@|@fremherskende retning, mode, retning, trend@
@trendy@|@følger moden, hip, in (moderne), med på noderne@
@trephine@|@trepan (fræser), trepanere (udføre operationen)@
@trephining(borehole in skull)@|@trepanation (bore hul i hjerneskal)@
@trepidation@|@frygt og bæven@
@trespass@|@opholde sig uden tilladelse, overtræde (fx. normale vedtægter)@
@trespass on@|@gøre indgreb i, trænge ind på@
@tressle@|@bænk(-en)@
@trestle@|@buk (til at lægge noget på), buk(-en)@
@trestle ladder@|@wienerstige(-en)@
@trestle trees@|@saling@
@trestles@|@bukke@
@trestletree@|@salingshorn@
@tri@|@forsøg(-et)@
@tria@|@prøve@
@triad (major)@|@treklang@
@triad (minor)@|@treklang@
@triage@|@sortering (frasortering), triage (sortering af patienter), triage (sortering)@
@trial@|@afprøvning(-en), domsforhandling(-en), retssag@
@trial (~game)@|@udtagelseskamp@
@trial boring@|@prøveboring@
@trial consignment@|@prøvesendig@
@trial cruise@|@prøvetogt, prøvetur@
@trial drive/run@|@prøvekøre@
@trial flight@|@prøveflyvning@
@trial lot@|@prøvesendig@
@trial marriage@|@prøveægteskab@
@trial of strenght@|@kraftprøve(-en)@
@trial offer@|@introduktionstilbud, prøvetilbud@
@trial run@|@prøvefart, prøvekørsel, prøvesejlads, prøvetur@
@trial shot@|@prøveskud@
@trial trip@|@prøvefart, prøvetur@
@trial weighing@|@prøvevejning@
@triangel@|@triangel@
@triangle@|@trekant, triangel (musik)@
@triangular@|@trekantet, triangulær (trekantet)@
@triangulate@|@triangulere@
@triangulation@|@triangulation(opmålingsteknik)@
@Trias@|@trias (245-208 mill. år siden)@
@Triassic@|@trias (245-208 mill. år siden)@
@tribal@|@stamme-(mæssig)@
@tribal chief@|@stammehøvding@
@tribe@|@stamme (bande)@
@tribe's man@|@stammemedlem@
@tribulations@|@genvordigheder@
@tribunal@|@domstol(-en), nævn, tribunal, tribunal (domstol-enkelt sag)@
@tribune@|@tribun (gl.romersk embedsmand)@
@tributary@|@skatskyldig, tilløb@
@tributary (river)@|@biflod(-en)@
@tribute@|@afgift(-en), hyldest, tribut (bidrag)@
@tribute-payer (fx. tax-payer)@|@skatskyldig@
@trice@|@hejse@
@trice the sail@|@hejse sejlet@
@trichinosis@|@trikinsyge@
@trichinous@|@trikinholdig@
@trick@|@fidus(-en), fif(-et), finte(-en), kneb(-et), kunst(-en), kunstgreb(-et), kunststykke(-et), lure, snyde, stik (kort), streg, trick@
@trick into@|@forlede@
@trick out@|@dekorere, maje ud, udstaffere@
@trickery@|@kneb (fup), kneb(-et), lumskeri, lurendrejeri(-et), svindel, svindel@
@trickiness@|@lumpenhed@
@trickle@|@dryppe, pible, risle, sive, tynd strøm@
@trickle away@|@hensvinde@
@trickle in@|@sive ind@
@tricks@|@løjer, narreri, rævestreger@
@trickster@|@fidusmager(-en), snydepels (især i spil), svindler@
@tricky@|@ikke til at stole på, kilden, ømtålelig@
@tricky situation@|@kattepine(-en)@
@Tricolor (French flag)@|@trikolore (det franske flag)@
@tricolour@|@tricolore@
@tricycle@|@trehjulet (cykel m.m.), trehjulet cykel, tricykel@
@trident (Neptune)@|@trefork@
@tried@|@prøvet@
@triennial@|@som sker hvert tredje år, treårig@
@trifle@|@bagatel(-en), en smule, klat(-en), klatskilling(-en), petitesse@
@trifle (dessert)@|@trifli (dessert)@
@trifle (pewter)@|@ret hård tinblanding, tinskåle f.x.@
@trifle with@|@lege med@
@trifles@|@pilleri, småting, småtterier@
@trig@|@kile(-en)@
@trig (be~)@|@tjekket (virke~)@
@trig (brake block)@|@bremseklods@
@trigger@|@aftrækker(-en) (gevær), sætte i gang, udløse@
@trigger finger(tendon ailment)@|@springfinger~seneskede lidelse@
@trigger guard@|@aftrækkerbøjle(-en)@
@trigger-happy@|@skydegal@
@trigonometrical@|@trigonometrisk@
@trigonometry@|@trigonometri@
@trike@|@trehjulet (cykel m.m.)@
@trilateral@|@treparts-(f.x. forhandling), tresidet, tresidig@
@trilby@|@filthat (herre)@
@trill@|@rulle, trille@
@trillion (US and others)@|@billion (10^12)@
@trillion(US)@|@tera- (10^12)@
@trilogy@|@trilogi (værk i tre dele)@
@trim@|@beskære, form, form, garnere, orden, ordne, pynteliste, sirlig, skære ned, soignere, stand, studse, studsning, tresse, trimme, velplejet@
@trim down@|@skære ned på, slanke sig@
@trim the nails@|@klippe negle@
@trimmed@|@soigneret@
@trimmed with ribbons@|@båndbesætning(-en)@
@trimmer@|@klippemaskine(-en)@
@trimming@|@beskæring, bort, pynt@
@trimming maker@|@possementmager@
@trimmings@|@besætning(-en), garnering(-en), småkød, tilbehør, udsmykning@
@trimmings (passementeric)@|@possement (kvaster/bånd/pynt)@
@TriNitroToluene@|@trotyl (sprængstof)@
@Trinity@|@treenighed@
@Trinity (Sunday)@|@trinitatis(søndag efter pinse)@
@Trinity. three-fold@|@trefoldighed@
@trinket@|@billigt smykke, nipsting, tant@
@trio@|@terzet (trio), trekløver, trio@
@trip@|@rejse, smuttur, snuble, svip, sviptur, trip, trippen, tur, udflugt@
@trip (jaunt)@|@trip@
@trip up@|@falde, kludre i det, spænde ben for@
@tripartite@|@tredelt, tremagtspagt, treparts-(f.x.talk-drøftelser, tresidet, tresidig@
@tripartition@|@tredeling@
@tripe@|@biks(-en), bras, gøgemøg(-et), kallun@
@triphthong@|@triftong (trelyd)@
@triple@|@tredobbelt@
@triple alliance@|@tremagtsforbund@
@Triple Alliance@|@tripelalliance@
@triple jump@|@trespring@
@triple time@|@tretakt@
@triplets@|@trillinger@
@triplicate@|@i tre eksemplarer@
@tripod@|@stativ, treben, trefod@
@Tripoli@|@Tripolis@
@Tripolitania@|@Tripolis@
@tripwire@|@snubletråd@
@trisect (geometry)@|@tredele@
@trisection(ing)@|@tredeling@
@trisyllabic@|@trestavelses (ord)@
@trite@|@banal, fortærsket, triviel, udtrådt, vandet@
@trite expression@|@kliché(-en)@
@Triton (Greek god)@|@Triton@
@triton (hydrogen isotope)@|@triton (fysik)@
@Triton (moon of Neptune)@|@Triton@
@triumph@|@hovere, sejr, sejre, triumf, triumfere@
@triumphal@|@sejrrig@
@triumphal arch@|@triumfbue@
@triumphal procession@|@triumftog@
@triumphal progress@|@sejrsgang@
@triumphant@|@hoverende, sejrende, triumferende@
@triumphator@|@triumfator@
@triumvir@|@triumvir@
@triumvirate@|@triumvirat (trojka), trojka@
@triune (trinity)@|@Brahma/Vishnu/Shiva, fader/søn/helligånd, treenighed@
@trivet@|@treben, trefod@
@trivia@|@bagateller, paratviden@
@trivial@|@banal, triviel@
@triviality@|@bagatel(-en), ubetydelighed@
@trochaic@|@trokæisk (versefod)@
@trochee (metrical foot/prosody)@|@trokæ (trykstærk+tryksvag)@
@trod@|@trådte@
@trodden@|@nedtrådt@
@troglodyte@|@hulebeboer@
@troika@|@triumvirat (trojka), trojka@
@troika (group of three)@|@trojka (gruppe på tre)@
@troika (wagon/threespan)@|@trojka (gruppe på tre), trojka (vogn/trespand)@
@troika(group of three@|@troika (gruppe på tre)@
@Trojan horse@|@trojansk hest, virustype (computer)@
@troll@|@bjergtrold(-en), tralle (synge), trold@
@trolley@|@indkøbsvogn(-en), rullebord, sækkevogn, trolje/trolley, trækvogn@
@trolley bus@|@trolley (~bus/omnibus/vogn)@
@trolley line@|@sporvej, sporvejslinje@
@trolley pole@|@kontaktstang (trolleybus)@
@trollop@|@tøjte@
@trombone@|@basun(-en), trækbasun@
@tromme@|@tambur@
@trommeslager@|@tambur@
@troop@|@flok(-en), i flok, myldre, skare, trop@
@troop carrier@|@transportskib, troppetransport (maskine/skib)@
@troop ship@|@troppetransport (maskine/skib)@
@trooper@|@kavalerist@
@trooping@|@marchere@
@trooping the colour@|@fanemarch(-en)@
@troops@|@mandskab, militær, tropper@
@troops of the line@|@linietropper@
@trope@|@talefigur@
@trophy@|@jagttrofæ(-et), trofæ@
@tropic@|@vendekreds@
@Tropic of Capricorn (the~)@|@Stenbukkens vendekreds@
@tropical@|@tropisk@
@tropical climate@|@tropeklima@
@tropical diease@|@tropesygdom@
@Tropical Fresh water mark@|@TF@
@tropical load line (TF/T)@|@tropelastelinje@
@tropical rain@|@troperegn@
@tropical region@|@tropeegn@
@Tropical seawater mark@|@T@
@tropical suit@|@tropedragt@
@tropical year@|@solår (365:05:48:45.51)@
@tropics (the~)@|@tropelandene, troperne@
@troposphere@|@troposfære (0-10 km luftlaget)@
@trot@|@ride i trav, traske, trav, trave, travetur, tulle@
@trot off (as if in slippers)@|@tøfle@
@trotter@|@traver, travhest@
@trotting@|@travsport@
@trotting course@|@travbane@
@trotting harness race (sulkies)@|@travbaneløb@
@trotting horse@|@travhest@
@trotting race@|@travløb@
@troubadour@|@troubadour/trubadur(visesanger, visesanger@
@trouble@|@bebyrde, bekymre, bekymring(-en), besvær(-et), bryderi(-et), bøvl, forstyrre, fortrædelighed(-en), hovedbrud, kvaler, kvide(-en), mas, møje, problem@
@trouble (~somebody)@|@ulejlige@
@trouble spot@|@urocenter@
@trouble(s)@|@trængsel@
@troubled@|@bekymret, oprørt, urolig@
@trouble-free@|@problemfri@
@troublemaker@|@ballademager(-en), urostifter@
@trouble-maker@|@uromager@
@troublemakers@|@spektakelmagere@
@troubles@|@genvordigheder, trængsel (modgang), uroligheder, viderværdigheder@
@troubleshooter@|@fejlfinder, fejlfinder(-en), problemknuser@
@troublesome@|@brydsom, byrdefuld@
@troublesome toil@|@- med møje og besvær, besværligt slid@
@trough@|@rende, trug@
@trough of low pressure@|@lavtryksområde(-et)@
@trough of the sea@|@bølgedal(-en)@
@trounce@|@slå løs på@
@troupe@|@trup@
@trouser button@|@bukseknap(-en)@
@trouser clips@|@cykelklemmer, cykelspænder@
@trouser leg@|@bukseben(-et)@
@trouser pocket@|@bukselomme(-en)@
@trouser seat@|@buksebag(-en)@
@trouser suit@|@buksedragt(-en)@
@trousers@|@bukser (et par bukser)@
@trousseau@|@brudeudstyr(-et)@
@trout@|@bækørred(-en), forel, ørred(-en)@
@trowel@|@murske, planteske, planteske@
@Troy - Trojan@|@Troja - trojaner -trojansk@
@truancy@|@skulkeri@
@truant@|@en der pjækker, fraværende uden gyldig grund, pjækker@
@truce@|@borgfred(-en), våbenhvile, våbenstilstand@
@truck@|@bagagevogn(-en), lastbil(-en), lastvogn(-en), transportvogn, trækvogn@
@truck (on flagpole)@|@masteknap(-en)@
@truck bed@|@lad (vogn)(-en)@
@truck body@|@lad (vogn)(-en)@
@truck driver@|@lastbilchauffør(-en)@
@truck garden@|@gartneri(-et), handelsgartneri(-et)@
@truck gardener@|@handelsgartner(-en)@
@truck scale(s)@|@brovægt(-en)@
@truckle bed@|@rulleseng@
@truckload@|@vognlæs@
@truculence@|@surhed, ufordragelighed@
@truculent@|@aggressiv, ufordragelig@
@trudge@|@jokke, traske, trave, vade@
@trudgeon(crawl with frog-kick)@|@crawl med frøspark (trudgen)@
@true@|@nøjagtig, sand, troende (stå til~), trofast, ægte@
@true (course-fx. north)@|@retvisende@
@true (still holds~)@|@holder stadig vand, sandt (er stadig~)@
@true as steel@|@tro som guld@
@true grit@|@mod og mandshjerte@
@True lovers knot letter@|@bindebrev@
@true to his word@|@han holdt ord, ordholdende@
@true to life@|@livagtig, vellignende, virkelighedstro@
@true to nature@|@naturtro@
@truffle@|@trøffel@
@truism (banality)@|@selvfølgelighed@
@truly@|@sandt, visselig@
@trump@|@overtrumfe, trumf, trumfe@
@trump suit@|@trumffarve@
@trump trick@|@trumfstik@
@trumped up@|@opdigtet@
@trumpet@|@basun(-en), trompet, trompetere@
@trumpet blast@|@trompetstød@
@trumpeter@|@trompetist@
@Trumpet-Major (military)@|@Trompeter@
