@English@|@Wolof@
@what@|@lan, noo@
@What is this?@|@lee lan la?@
@What is your name?@|@naka nga tuda, Naka nga tudd(a)?, Noo tudd(a)*?@
@What is your name? (1)@|@lan moy sa turr, Nakaga Tuda?@
@what is?@|@luy@
@What time is it?@|@Ba waxtu o jot?, Ban Waatu?@
@what you@|@loo@
@what?@|@lan@
@What's new?@|@Lu bees ?@
@What's up?@|@Naka mu ?@
@wheel barrow@|@buruwet, puus-puus@
@when@|@kañ, su@
@When do we meet again?@|@Kanyi Lango Tase Waat?@
@When do we see you again?@|@Kanyi Lanyo Gise Waat?@
@where@|@ana, fan, foo, foo, fu@
@Where are you going?@|@fan ngaa dem?, Foy-Dem?@
@Where do you live?@|@fan nga daika@
@Where is ...?@|@fan la.....?@
@where is it@|@anam@
@Where is my room?@|@Ana sama nek?, Ana suma neeg bi?@
@Where is the bar?@|@Ana juyukai naan/saangara bi?, Fou "bar" bi nek?@
@Where is the bathroom?@|@ana wonak bi, fan la wonak bi neka@
@Where is the beach?@|@Ana taati perreh bi?, Fou teifess bi nek?@
@where is?@|@ana?, fuy@
@where?@|@fu@
@which@|@ban, gu, jumaa@
@which is@|@bu@
@which one?@|@yan?@
@while ago@|@sanxa@
@whip@|@kaacciri@
@whiskers@|@mustaas@
@white@|@weeh, weex@
@white wash@|@balanse@
@who@|@kan, ku@
@who is@|@kuy@
@who?@|@kooku@
@whooping@|@njambataan, xuréet@
@whooping cough@|@njaambataan@
@why?@|@lutax@
@wife@|@jabar, jabarr, soxna@
@wild cat@|@siiru@
@will@|@Sunnu Buga Buga@
@window@|@palanteer@
@wine@|@sanggara@
@Wine@|@sangara@
@wine of palm@|@sëng@
@wing@|@laaf, ngelaw@
@winnowing basket@|@tenteng@
@wire gauze@|@giriyaa@
@witch@|@dëma, dóma, xulaan@
@with@|@Ak@
@witness@|@seede, sernde@
@wizard@|@nooxoor@
@wolof@|@jolof-jolof, olof, wolof@
@Wolof alphabet@|@liifantu wolof@
@wolof dish@|@benacin@
@woman@|@jigeen, jigéen@
@wood@|@Bant@
@woodworker@|@lawbe@
@word for calling a cat@|@muus@
@work@|@ligeey@
@work early in the morning@|@xéy@
@work end@|@takkusaan@
@worker@|@ligeeykat@
@workshop@|@ataliye@
@world@|@Adduna@
@worm@|@marmaraan, saan@
@worn-out@|@rapp@
@worry@|@fitna@
@wound@|@gaañu gaañu@
@wraper@|@mallam, monaam@
@wrapper@|@lomosuwaay@
@wrestler@|@mbor@
@wrestling@|@laamba@
@writer@|@bindakat@
@writing@|@mbind@
@yam@|@ñambi@
@yard@|@yaar@
@Year@|@at@
@year before last@|@daaw jéeg@
@yellow@|@nete@
@yes@|@naam, waaw@
@yesterday@|@déemba, demb, demba@
@Yesterday@|@daimba@
@yo cross@|@jaala@
@you@|@danga, i, i, i, ite, ite, nga, yaa, yaw, yow@
@you (pl)@|@dangeen, yen@
@you (plural)@|@ngeen@
@you are@|@danga, yangi@
@you will@|@dinga@
@you will (plural)@|@dingeen@
@you'll not@|@doo@
@young man@|@woxambaane@
@young shoot@|@gancax@
@younger brother@|@rakk@
@younger sibling@|@rakk, rakka@
@your@|@sa, seen@
@yours@|@Sa-bos@
@zero@|@dara (nothing), neen, sero, tus, zéro (French)@
@zero (1)@|@daara@

