@English@|@Tamil@
@To Fill (transitive)@|@Niŗaikka@
@To Fill Up@|@Naraiyya@
@To Find@|@Kańdu Pidikka@
@To Finish@|@Mudikka@
@To Fire (A Gun)@|@Chuda@
@To Flow@|@Vałiya@
@To Flower@|@Pūkka@
@To fly@|@Paŗa@
@To Fly@|@Paŗakka@
@To Fondle@|@Konja@
@To Forget@|@Maŗakka, Marakka@
@To Forgive@|@Mannikka@
@To Found@|@Padaikka@
@To Frown@|@Muraikka@
@To Fructify@|@Pūkka@
@To Gather@|@Aļļa@
@To Germinate@|@Muļaya@
@To Germinate (Transitive)@|@Muļaikka@
@To Get@|@Peŗa@
@To Get Crushed@|@Norunga@
@To Get Done@|@Āga@
@To Get Mixed@|@Karaya@
@To Give@|@Kodukka@
@To Give Affection@|@Chellam Kodukka@
@To Give Alms@|@Pichchai Pōda@
@To Give Birth To@|@Peŗŗa@
@To Go@|@Pōga@
@To Go Sightseeing@|@Chuŗŗi Pārkka@
@To Gossip@|@Vambu Pēsa@
@To Grow@|@Vaļara@
@To Grow (transitive)@|@Vaļakka@
@To Grow Tall@|@Osara@
@To Habituate@|@Pałaga@
@To Habituate (Transitive)@|@Pałakka@
@To Halt@|@Nirukka@
@To Hang@|@Thonga@
@To Hang (On A Peg)@|@Mātta@
@To Hear@|@Kētka@
@To Heat@|@Chuda Vaikka@
@To Heat On A Flame@|@Chuda@
@To Help@|@Udhavākka, Udhavikka@
@To Her@|@Avaļukku@
@To Herd (Cattle)@|@Mēykka@
@To Herd (transitive)@|@Mēkka@
@To Him@|@Avanukku@
@To Him/Her (Respectful)@|@Avarukku@
@To Hit@|@Adikka@
@To Hurt@|@Pada@
@To Immerse@|@Mukka@
@To Imprison@|@Chirayil Adaikka@
@To Improve@|@Kasadara@
@To Invent@|@Kańdu Pidikka@
@To Irritate@|@Arikka@
@To It@|@Adhukku@
@To Itch@|@Arikka, Choriya, Uŗuththa@
@To Jail@|@Chirayil Adaikka@
@To Join@|@Chēra@
@To Jump@|@Kudhikka@
@To Keep@|@Vaikka@
@To Keep (For Oneself)@|@Vechchukka@
@To Kill@|@Kolla@
@To Kiss@|@Muththam Ida@
@To Knead@|@Pisikka@
@To Know@|@Theriya@
@To Laugh@|@Chirikka@
@To Laugh (informal)@|@Sirikka@
@To Lay (An Egg)@|@Ida@
@To Leap@|@Kudhikka@
@To Learn@|@Karkka@
@To Let@|@Vida@
@To Lick@|@Naŗkka@
@To Lie Down@|@Padukka@
@To Lift@|@Thūkka@
@To Light@|@Koļuththa@
@To Like@|@Pidikka, Virumba@
@To Listen@|@Kētka, Puriya@
@To Live@|@Vāłā@
@To Load@|@Ēŗŗa@
@To Long For@|@Ēnga@
@To Lose@|@Thulaikka@
@To Love@|@Kādhalikka, Nēsikka, Virumba@
@To Make@|@Ākka, Ida, Thayārikka@
@To Make A Mistake@|@Thavara@
@To Make A Noise@|@Chaththam Pōda@
@To Make a Purchase@|@Vilai Koduththu Vānga@
@To Maul@|@Kodhara@
@To Me@|@Enakku@
@To Measure@|@Aļakka@
@To Meet@|@Sandhikka@
@To Milk@|@Pāl Karaikka@
@To Mingle@|@Kalandhuvida@
@To Miss@|@Thavara@
@To Mix@|@Kalanga, Karaikka@
@To Mix (transitive)@|@Kalakka@
@To Mop@|@Thudaikka@
@To Move Away@|@Vilaga@
@To Murder@|@Kolla@
@To Near@|@Nerunga@
@To Negotiate@|@Pēsi Vaikka@
@To Observe@|@Kańda@
@To Obtain@|@Adaya@
@To Oneself@|@Thanakku@
@To Open@|@Thirakka@
@To Oppose@|@Edhirkka@
@To Organise@|@Nadaththa@
@To Originate@|@Padaiya@
@To Pain@|@Valikka@
@To Paint (A Wall@|@Peyint Adikka (E)@
@To Paint a Picture@|@Ōviyam Ełudha@
@To Pale@|@Veļunga@
@To Pardon@|@Mannikka@
@To Participate@|@Kalandhukka@
@To Pass (Time)@|@Kałikka@
@To Pass Away@|@Kālam Āga@
@To Pass Time@|@Połudhup Pōga@
@To Paste@|@Otta@
@To Pat@|@Thatta@
@To Perish@|@Oługa@
@To Petrify@|@Kallāga@
@To Pierce@|@Kuththa@
@To Pinch@|@Chuļļa, Kiļļa@
@To Plant@|@Nada@
@To Play@|@Ōdipidikka, Vilayāda@
@To Play (an instrument)@|@Vāsika@
@To Play (Music)@|@Vāsikka@
@To Plead@|@Kenja@
@To Pluck@|@Parikka@
@To Pounce@|@Pāya@
@To Powder@|@Podikka@
@To Praise@|@Pugała, Vāłkka@
@To Pray@|@Vēńdikka@
@To Prepare@|@Thayārikka@
@To Pressurise@|@Ałuththa@
@To Prevent@|@Thadukka@
@To Prick@|@Kuththa@
@To Pull@|@Iłukka@
@To Push@|@Thaļļa, Thaļļivida@
@To Put@|@Pōda, Vaikka@
@To Put in Prison@|@Sirai Idaya@
@To Put Inside@|@Adaikka@
@To Raise@|@Ēŗŗa@
@To raise (A Hand)@|@Ōnga@
@To Reach Out@|@Etta@
@To Read@|@Padikka, Vāsikka@
@To Rear@|@Vaļakka@
@To Receive@|@Peŗa, Vānga@
@To Reduce@|@Kuŗaikka@
@To Release@|@Vida@
@To Remove@|@Edukka@
@To Render Into Tamil@|@Thamiłākka@
@To Repeat@|@Thiruppi Cholla@
@To Reside@|@Kūdi Irukka, Thanga@
@To Revolve (formal)@|@Suŗŗa@
@To Revolve (Formal)@|@Chuŗŗa@
@To Revolve (informal)@|@Chuththa@
@To Rinse@|@Alasa@
@To Roam@|@Thiriya@
@To Rob@|@Kaļļa@
@To Rot@|@Aługa, Vāda@
@To Rotate (formal)@|@Suŗŗa@
@To Rotate (Formal)@|@Chuŗŗa@
@To Rotate (informal)@|@Chuththa@
@To Rub@|@Thēkka@
@To Rub Off@|@Ałikka@
@To Ruin@|@Nāsam Ākka@
@To run@|@Ōda@
@To Run (A Government etc.)@|@Nadaththa@
@To Run Away@|@Ōdi Pōga@
@To Run Out Of@|@Thīra@
@To Saw@|@Arukka@
@To Say@|@Cholla@
@To Scold@|@Chaththam Pōda@
@To Scratch@|@Choriya@
@To Screw@|@Churuga, Thiruga@
@To Scribble@|@Kirukka@
@To Search@|@Thēda@
@To Seduce@|@Mayakka@
@To See@|@Kāńa, Kańda@
@To Sell@|@Virkka@
@To Send@|@Anuppa@
@To Separate@|@Pirikka@
@To Separate (From A Spouse)@|@Thaļļi Vaikka@
@To Set Aside@|@Thaļļi Vaikka@
@To Shake@|@Āda, Asaththa@
@To Shimmer@|@Minminikka, Minmińikka@
@To Shine@|@Joļikka@
@To Shiver@|@Nadunga@
@To Shout@|@Kaththa@
@To Show@|@Kāmikka, Kātta@
@To Shudder@|@Thudikka@
@To Sing@|@Pāda@
@To Sit@|@Utkāra@
@To Sleep@|@Thūnga@
@To Slip@|@Vałukka@
@To Snatch@|@Pudunga@
@To Snore@|@Kuŗattai Vida@
@To Soak@|@Ūra@
@To Sow@|@Nada@
@To Speak@|@Pēsa@
@To Spear@|@Kuththa@
@To Spend@|@Chelavākka@
@To Spill@|@Kotta@
@To Spit@|@Thuppa@
@To Spoil@|@Kedukka@
@To Sprain@|@Chuļukka@
@To Squeeze@|@Pisukka@
@To Stab@|@Kuththa@
@To Stand@|@Nikka@
@To Stand (Formal)@|@Niŗkka@
@To Stand To Attention@|@Nimirndhu Nirkka@
@To Stare@|@Mułikka@
@To Start@|@Āramikka@
@To Steal@|@Thiruda@
@To Stick@|@Otta@
@To Sting@|@Kotta@
@To Stink@|@Nāra@
@To Stitch@|@Theykka@
@To Stop@|@Nikka, Nirukka@
@To Stop (Transitive)@|@Niruththa@
@To Straighten@|@Nimirkka@
@To Straighten (Transitive)@|@Nimiththa@
@To Study@|@Padikka@
@To Stuff@|@Adaikka@
@To Stumble@|@Thadamāra@
@To Submit@|@Adanga@
@To Subtract@|@Kuŗaikka@
@To Suffice@|@Pōra@
@To Surrender@|@Sarań Adaya@
@To swim@|@Nīnja@
@To Switch Off@|@Ańaikka@
@To Take Leave Of@|@Uththiram Vānga@
@To Take Out@|@Edukka@
@To taste Bitter@|@Kasakka@
@To Taste Sweet@|@Inikka@
@To Taste Very Sweet Like Honey@|@Thegatta@
@To Tear@|@Kiłiya@
@To Tear (transitive)@|@Kiłikka@
@To Tell@|@Cholla@
@To Thee@|@Unakku@
@To Them@|@Avargaļukku@
@To Think@|@Nińaikka, Yōsikka (Colloq.)@
@To Threaten@|@Bayam Puduththa@
@To Throw@|@Vīsa@
@To Throw Away@|@Vīsi Erikka@
@To Thunder@|@Idikka@
@To Tie@|@Katta@
@To Tie Up@|@Katti Vaikka@
@To Tolerate@|@Porukka, Thānga@
@To Touch@|@Thuda@
@To Trouble@|@Paduththa@
@To Turn@|@Thirumba, Thiruppa@
@To Turn Back@|@Thirumba@
@To Turn Upside Down@|@Kavuththa@
@To Twinkle@|@Minminikka, Minmińikka@
@To Twist@|@Chuļukka, Churukka@
@To Upload@|@Ēŗŗa@
@To Us@|@Engaļukku@
@To Vanish@|@Maŗaiya@
@To Wait@|@Kārkka@
@To Walk@|@Nadakka@
@To Wander@|@Thiriya@
@To Wash@|@Alamba, Kałuva@
@To Wash (Hands) Off@|@Thalaimmuługa@
@To Wear@|@Oththikka, Pōttukka@
@To Wear Out@|@Thēya@
@To Weigh@|@Genakka@
@To Welcome@|@Varavērkka@
@To Wet@|@Nińaikka@
@To Wet Grind@|@Araikka@
@To Whiten@|@Veļukka@
@To Win@|@Jayikka (S)@
@To Wipe@|@Thudaikka@
@To Wonder@|@Magałchchi Peŗa@
@To Worry@|@Kavalaippada@
@To Wrap@|@Katti Vaikka@
@To Wreck@|@Nāsam Ākka@
@To Wrest@|@Pudunga@
@To Wriggle@|@Nełuva@
@To Wring@|@Pułiya@
@To Write@|@Ełudha@
@To Yearn@|@Ēnga@
@To Yell@|@Kadhara, Kaththa@
@To You@|@Ungaļukku@
@To You (Respectful)@|@Thangaļukku@
@Toda Tribesman@|@Thōdan@
@Today@|@Inŗu@
@Today (Informal)@|@Innikki@
@Toe@|@Kālviral@
@Together@|@Chērndhu@
@Tolerance@|@Poramai, Porumai@
@Tomato@|@Thakkāļi@
@Tomb@|@Samādhi (S)@
@Tomorrow@|@Nāļai@
@Tondli Vegetable@|@Kōvakkāy@
@Tongs@|@Idukki@
@Tongue@|@Nākku@
@Tooth@|@Pal@
@Total (Informal)@|@Moththam@
@Towel@|@Thuńdu@
@Town@|@Puram (S)@
@Trade@|@Thołiļ@
@Trader@|@Viyābāri (S)@
@Trader Caste of Central Tamil Nadu@|@Chettiyār@
@Tradesman@|@Thołiļaļi@
@Tradesman (Informal)@|@Vivasāyī@
@Trading Caste in Central Tamil Nadu@|@Nādār@
@Tradition@|@Paramparai (S)@
@Train@|@Rayilvańdi (E)@
@Transport@|@Pērundhu, Pōkuvaraththu@
@Trash@|@Kuppai@
@Treasury@|@Gajāna (S)@
@Tree Pie@|@Vāl Kākkai@
@Tribe@|@Jādhi@
@Trident@|@Thirusūlam (S)@
@Trilled R as Italian A'rr'ivederci@|@Ŗ@
@Trincomalee@|@Thirukōńamalī@
@Trio@|@Mūvar@
@Trouble@|@Thoļļai, Vambu@
@Trunk@|@Petti@
@Truth@|@Unmai@
@Tuesday@|@Chevvāy@
@Tufted Pochard@|@Kurungaliyan@
@Tumbler@|@Lōta@
@Tunnel@|@Gugai, Sūrangam (S)@
@Turmeric@|@Manjaļ@
@Twelfth Tamil Month@|@Panguni, Panguńi@
@Twenty@|@Irupadhu@
@Twig@|@Kuchchi@
@Twins@|@Irettai Piŗavi@
@Two (casual)@|@Reńdu@
@Two (formal)@|@Ireńdu@
@Type@|@Vagai@
@Ultimate@|@Kadēsi@
@Umbrella@|@Kudai@
@Underwear@|@Jetti@
@Uni-@|@Oththa-@
@Unique@|@Abūrva (S)@
@United@|@Aikiya@
@United Nations@|@Ai Nā Sabai@
@University@|@Palkalai@
@Unnecessarily@|@Vēńdādhaikku, Vēńdāmal@
@Unnecessary Talk@|@Vīńpētchu@
@Unusual@|@Vichithram (S)@
@Unwanted@|@Vēńdādha@
@Upper@|@Mēl@
@Upper Caste@|@Mēljādhi@
@Upper-caste part of a Village@|@Naththam@
@Urine@|@Sirunīr@
@Ursa Major@|@Sabdharishi (S)@
@Us (Accusative)@|@Engaļai@
@usually to an elder@|@Mudhal Mariyādhai@
@Utensil@|@Pāththiram (S)@
@Uttarashadha@|@Kadaikuļamīn@
@V as in 'V'alley@|@V@
@Vada@|@Vadai@
@Vaishakha@|@Vaikasi@
@Vaishnavite Brahmin Caste@|@Aiyangār@
@Vaishnavite Poet-saint@|@Āłavār@
@Valley@|@Vēli@
@Value@|@Vilai@
@Varanasi@|@Kāsī (S)@
@Vega@|@Abhijīdham (S)@
@Vegetable@|@Kāy@
@Vegetable (Colloquial)@|@Karigāy@
@Vegetables@|@Kāygiri@
@Vehicle@|@Vāganam (S), Vańdi@
@Vein@|@Neŗumbu@
@Velar N as in A'ng'le@|@Ng@
@Venus@|@Veļļi, Veļļimīn, Veńmīn, Vidimīn@
@Vernal Equinox@|@Visu@
@Verse of Seven Words@|@Kuŗaļ@
@Very@|@Miga@
@Very Hot@|@Chudachchuda@
@Very Long Period of Time@|@Yugam (S)@
@Vessel With Handle@|@Thūkku@
@Victory@|@Veŗŗi@
@View@|@Pārvai@
@Virgin@|@Kańńi@
@Virginity@|@Karppu@
@Virgo@|@Kanniyārāsi@
@Vishnu@|@Perumāļ@
@Visit@|@Vijayam@
@Vitamin@|@Vitāmin (E)@
@Vow@|@Sabadham (S)@
@Vow Of Silence@|@Mauna Viradham (S)@
@Vowel@|@Uiyrełuththu@
@Vox Populi Vox Dei@|@Makkaļ Thīrppē Mahēsan Thīrppu@
@Wagtail@|@Kodikāl Valathi@
@Waist@|@Iduppu@
@Wakefulness@|@Mułippu@
@Wall@|@Chevaru@
@Wandering@|@Thundhanā@
@Wanted@|@Vēńdiya@
@War@|@Chańdai@
@Warrior@|@Vīran (S)@
@Wasp@|@Koļavi@
@Waste@|@Kuppai@
@Water@|@Nīr@
@Waterfall@|@Aŗuvi@
@Waterhen/Moorhen@|@Tańńīr Kōłi@
@Wave@|@Alai@
@Wax@|@Meługu@
@Way@|@Pādhai, Vałi@
@We@|@Nāngaļ@
@We (Formal)@|@Nām@
@We Also@|@Nāngaļum@
@We by Ourselves@|@Nāngaļē@
@We Will Not@|@Māttōm@
@Wealth@|@Selvam@
@Weaving Loom@|@Tharī@
@Wedding@|@Kalyāńam (S), Thirumańam@
@Wednesday@|@Budhan (S), Budhankiłamai@
@Weight@|@Genam@
@Welcome@|@Vańakkam@
@Welcome!@|@Varuga!@
@Well@|@Kińaru, Nanŗa, Nanŗāga@
@Well Done!@|@Balē!, Shabāsh! (S)@
@Well-behaved@|@Nāgariga (S)@
@Well-being@|@Kshēmam (S), Nalam, Subam (S)@
@West@|@Mērkku@
@Wet Mud@|@Chagadhi@
@Whale@|@Thimingiļam@
@What@|@Edhu@
@What?@|@Enna@
@Whatever@|@Edhuvum@
@Whatever Happens@|@Edhānalum@
@Wheat@|@Gōdhumai@
@Wheat Flour@|@Gōdhumāvu@
@Wheel@|@Chakkaram (S?)@
@When (Colloquial)@|@Eppō@
@When (Fomal)@|@Eppołudhu@
@When (formal)@|@Eppołudu@
@Whence@|@Engirandhu@
@Where@|@Engu@
@Which@|@Endha@
@Which Day@|@Enŗu@
@Which Day (Informal)@|@Ennikki@
@While X-ing@|@X-um Połudhu@
@Whimbrel/Curlew@|@Kudhirai Malai Kottan@
@White@|@Veļļai, Veļļaikkāran@
@White Dhoti@|@Vēshti@
@White Fish@|@Veļļaimmīn@
@White Ibis@|@Thalaikkaththi Chondan@
@White Prawn@|@Neymmīn@
@White Scavenger Vulture@|@Manjaļ Thirudi@
@Whitebellied Sea Eagle@|@Kadal Āli@
@Whitebellied Tree Pie@|@Nīla Vāl Kātkāy@
@Whitebrowed Bulbul@|@Manjaļ Końdai Kuruvi@
@White-Eye@|@Pūkuruvi@
@Whiteheaded Babbler@|@Pandrikuruvi, Thavittu Kuruvi@
@Whitenecked Stork@|@Vańńathi Narai@
@Who@|@Evan, Yār@
@Why@|@Ēn@
@Why?@|@Ēdhu@
@Wick@|@Thiri@
@Width@|@Agalam@
@Wife@|@Manaivi@
@Wife (Colloquial)@|@Pońdātti, Samsāram (S)@
@Wild Dog@|@Chennāy, Kāttunāy@
@Willpower@|@Manabalam (S)@
@Wind@|@Kāŗŗu@
@Window@|@Jennal@
@Wing@|@Chiŗagu@
@Winter@|@Pańikkālam@
@Wire@|@Kambi, Thandhi@
@Wish@|@Āsai, Āsai (S), Viruppam@
@With@|@Kūda@
@With Her@|@Avaļkūda@
@With Him@|@Avankūda@
@With Him/Her (Respectful)@|@Avarkūda@
@With It@|@Adhukkūda@
@With Me@|@Enkūda@
@With Oneself@|@Thankūda@
@With Thee@|@Unkūda@
@With Them@|@Avargaļkūda@
@With Us@|@Engaļkūda@
@With You@|@Ungaļkūda@
@With You (Respectful)@|@Thangaļkūda@
@Without@|@Illāmal@
@Wolf@|@Ōńāy@
@Woman@|@Mangai@
@Womanhood@|@Peńmai@
@Women@|@Magaļir, Mangayar@
@Women Only@|@Magaļir Mattum@
@Wonder@|@Magałchchi@
@Wonderful@|@Magaļchchiyāna@
@Wood@|@Kattai, Maram@
@Woodpecker@|@Maramkoththi, Thachchan Kuruvi@
@Woof@|@Vaļ@
@Word@|@Sol, Vārththai@
@Word-For-Word@|@Vārththaikkuv vārththai@
@Work@|@Thoyiļ, Vēlai@
@Worker@|@Thoyiļāļi@
@World@|@Ulagam@
@World-wide@|@Anaiththulaga@
@Worm@|@Pułu@
@Worn-outÍ@|@Thēyntha@
@Worry@|@Kavalai@
@Worship@|@Pūjai (S)@
@Worth@|@Vilai@
@Worthy@|@Layak (S)@
@Wound@|@Kāyam, Puń@
@Wow!@|@Āhā!@
@Wrestler@|@Mallan (S)@
@Wristwatch@|@Kai-gadigāram@
@Writer@|@Ełuthāļar, Ełuththāļar@
@Writing@|@Ełuththu@
@Written@|@Ełudhina@
@Written By@|@Ełudhiya@
@Wrong@|@Thappu, Thavar, Thavarāna@
@Wrong Note in Music@|@Apasvaram (S)@
@Y as in 'Y'oung@|@Y@
@Yajna@|@Yāgam (S)@
@Yam@|@Chēnai@
@Yama@|@Yaman (S)@
@Yamuna@|@Yamunai (S)@
@Yarn@|@Nār@
@Ye Will Not@|@Māttīr, Māttīrgaļ@
@Year@|@Āńdu@
@Yearly@|@Āńdukku@
@Yellow@|@Manjaļ@
@Yellow Bittern@|@Mańal Narai@
@Yellow-banded Seafish (Chaetodon octofasciatus)@|@Manjatkōłimīn@
@Yellowbrowed Bulbul@|@Kopi Kuruvi@
@Yes@|@Ām, Ām@
@Yesterday@|@Nēŗŗu@
@Yesterday (Informal)@|@Nēththi@
@Yokel@|@Pattikādan@
@You (Accusative)@|@Ungaļai@
@You (Emphatic Respectful)@|@Thangaļdhān@
@You (Plural/Respectful)@|@Nīngaļ@
@You (Respectful)@|@Nīŗ@
@You Also@|@Nīngaļum@
@You Also (Respectful)@|@Thangaļum@
@You by Yourself (Respectful)@|@Thangaļē@
@You by Yourselves@|@Nīngałē@
@You May Go!@|@Pōgalām!@
@You/He/She (Accusative) (Respectful)@|@Thangaļai@
@You/He/She (Respectful)@|@Thangaļ@
@You'll pay Dearly For It!@|@Nārīduvai!@
@Young@|@Iļaigna@
@Young Man (Tirunelveli Dialect)@|@Ambi@
@Young Woman@|@Iļampeń@
@Younger Aunt@|@Chinnamma, Chiththi@
@Younger Brother@|@Thambī@
@Younger Sister@|@Thangachchi (casual), Thangai@
@Younger Uncle@|@Chiththappā@
@Youngster@|@Iļaignan@
@Your@|@Ungaļ@
@Yours@|@Ungaļudaya@
@Yours (Respectful)@|@Thangaļudaya@
@Youth@|@Iļamai@
@Youthful@|@Iļaigna@
@Youthfulness@|@Iļamai@
@Zamindar@|@Jamīn (S)@
@Zaree@|@Jarigai (S)@
@Zero@|@Pūjyam (S)@
@Zest@|@Vēgam (S)@
@Zh as in Russian Zaporo'zh'ye@|@Ł@
@Zillions@|@Kōdikańakku@
@Zodiac Astrology@|@Rāsipalan@
@Zoo (Colonial Colloquial)@|@Uyir Kālēj@

