@English@|@Persian@
@scald-head@|@kacal@
@scale@|@tadrij@
@scarce@|@kamyâb@
@scarcity@|@gerâni, ghalâ, kamyâbi, qahti@
@scared@|@motavahhesh@
@scatter [to]@|@parâkandan, pâshidan@
@scattered@|@mansur, motafarreq, târ o mâr@
@scattering [subs]@|@nasr@
@scene@|@manzare@
@scented@|@mo'attar@
@scholastic theology@|@elme kalâm@
@school@|@âmuzeshgâh, madrase, madrese@
@school clinic@|@shefâkhâne@
@sciatic nerve@|@erq on-nesâ@
@sciatica@|@erq on-nesâ@
@science@|@elm, fann, ma'refat@
@sciences@|@fonun (pl. of fann), olum (pl. of elm)@
@scientific@|@elmi@
@scorn@|@heqârat@
@scorpion@|@aqrab, kajdom@
@scout troop@|@rasade pishâhangi@
@scouting@|@pishâhangi@
@scoutmaster@|@sarrasad@
@scrape [to]@|@tarâshidan@
@scratch [to]@|@kharâshidan@
@screw@|@pic@
@screwdriver@|@âcâr@
@scribe@|@kâteb@
@sea@|@bahr, daryâ@
@seal@|@mohr, sagmâhi@
@seam@|@darz@
@seaman@|@mallâh@
@search@|@jostoju@
@searcher@|@tâleb@
@searchlight@|@nurafkan@
@season@|@hengâm, mousem, zamân@
@season (of the year)@|@fasl@
@seat@|@korsi, takht@
@seclusion@|@enferâd@
@second@|@sâni@
@second lieutenant (naval)@|@nâvbân@
@secondary@|@far'i@
@secondary school@|@dabirestân@
@secondary school teacher@|@dabir@
@second-hand@|@mosta'mal@
@secondly@|@sânian@
@secret@|@mahramâne, râz, serr@
@secret (adj and noun)@|@nehâni@
@secret [adj]@|@serri@
@secret police@|@âgâhi@
@secretariat@|@dabirkhâne@
@secretary@|@dabir, monshi@
@secretary (diplomatic service)@|@nâeb@
@secretly@|@mahramâne, nehâni@
@sect@|@ferqe, mazhab@
@section@|@band, fasl, jukhe@
@section (of a book)@|@joz'@
@secular@|@madani@
@secure@|@motma'enn@
@securing@|@ta'min@
@security@|@amniyat, kafil, ta'min@
@security forces@|@qovâye ta'miniye, ta'miniye@
@sediment@|@lâi@
@sedition@|@fetne@
@seditious person@|@mofsed@
@see [to]@|@didan@
@see to [to]@|@rasidegi kardan@
@seed@|@dân, dâne, tokhm@
@seeing@|@nazar@
@seek [to]@|@jostan@
@seeking for an augury (Hafez)@|@estekhâre@
@seem [to]@|@namudan@
@seen@|@dide, manzur@
@segment@|@pârce, qet'e@
@seize [to]@|@gereftan, robudan@
@seized@|@mazbut@
@seizing@|@gir, salb@
@select@|@momtâz@
@select [to]@|@bar gozidan, gozidan@
@selected@|@montakhab@
@selection@|@entekhâb, montakhab@
@self@|@khish, khishtan, khod, zât@
@self-reliance@|@e'temâd be nafs@
@self-sacrifice@|@az khod gozashtegi, fadâkâri@
@sell [to]@|@forukhtan@
@send [to]@|@ersâl dâshtan, ferestâdan@
@sending@|@eblâgh, ersâl@
@sending back@|@radd@
@sense@|@ehsâs, fahvâ, mafhum, mazmun, mofâd@
@sensible@|@ma'qul@
@sensitive@|@hassâs@
@sentence@|@ebârat@
@sentence [gramm]@|@jomle@
@sentenced@|@mahkum@
@sentry@|@kashik@
@sentry-go [to]@|@noubat dâshtan@
@separate@|@jodâ, jodâgâne, motafâvet@
@separate [trans] [to]@|@jodâ kardan@
@separated@|@mahjur@
@separating@|@tamiz, tamyiz@
@separation@|@duri, farq@
@sequel@|@dombâle@
@sergeant@|@goruhbân@
@sergeant [obs]@|@vakil@
@sergeant-major@|@ostovâr@
@series@|@dorui, nasaq, qetâr, reshte, selsele@
@serious@|@jeddi@
@sermon@|@va'z@
@serpent@|@mâr@
@serpentine@|@mârpic@
@servant@|@gholâm, khedmatgâr, khedmatgozâr, molâzem, noukar@
@service@|@khedmat, khedmatgozâri, noukari@
@serving@|@khedmatgozâri@
@set@|@seft@
@set about (doing sthg.) [to]@|@qiâm kardan@
@set about [to]@|@pardâkhtan@
@set alight [to]@|@afrukhtan@
@set fire to [to]@|@âtesh zadan@
@set in operation [to]@|@be râh andâkhtan@
@set out [to]@|@harakat kardan, râh oftâdan, ravâne shodan@
@set over [to]@|@gomâshtan@
@set up@|@bar qarâr@
@set up [to]@|@tashkil kardan@
@setting (of the sun)@|@ghorub@
@setting in order@|@tadbir@
@setting out (on a journey)@|@âzem@
@settled@|@mo'ayyan, moqarrar@
@settling (the price of sthg.)@|@tei@
@seven@|@haft@
@seventeen@|@hefde@
@seventy@|@haftâd@
@several@|@candin@
@severe@|@akid, sakht, shadid@
@severity@|@sakhti, sheddat@
@sew [to]@|@âjidan, dukhtan@
@sewing machine@|@carkh@
@shade@|@sâye@
@shadow@|@sâye@
@shake [intrans] [to]@|@tekan khordan@
@shake [to]@|@larzidan@
@shake hands [to]@|@dast dâdan@
@shaken@|@motazalzel@
@shaking@|@motazalzel@
@shame@|@sharm@
@shameful@|@qabih@
@shameful act@|@qabâhat@
@shank@|@sâq@
@shape@|@rikht, shekl, tarkib@
@share@|@qesmat, sahm@
@share out [to]@|@qesmat kardan@
@shared@|@moshtarak@
@shark@|@sagmâhi@
@sharp@|@tiz@
@sharp (of the ear)@|@shenavâ@
@shave [to]@|@eslâh kardan, tarâshidan@
@she@|@u@
@she-@|@mâde@
@shears@|@meqrâz@
@sheep@|@gusfand@
@sheep and goats@|@aghnâm (pl. of ghanarn), gusfand@
@sheep's tail@|@dombe@
@sheepskin coat@|@pustin@
@sheet (bedding)@|@malâfe, malhafe@
@sheet (of paper)@|@varaq@
@sheet of glass@|@shishe@
@sheikh@|@sheikh@
@shelf@|@qafase@
@shell@|@qeshr, sadaf@
@shelter@|@panâh, panâhgâh@
@shepherd@|@shabân@
@sherbet@|@sharbat@
@Shi'i sect (partisans of Ali)@|@shi'e@
@Shi'ism@|@tashayyo'@
@shine [to]@|@tâbidan, tâftan@
@shining@|@darakhshân, tâbesh@
@shining (of the sun)@|@tâbân@
@ship@|@jahâz, kashti@
@shirt@|@pirâhan@
@shiver [to]@|@larzidan@
@shivering@|@larze@
@shock@|@tekân@
@shoe@|@kafsh@
@shoe with a cotton upper@|@give@
@shoemaker@|@kaffâsh@
@shoot@|@nehâl@
@shooter@|@shekârci@
@shop@|@dokkân, maghaze@
@shopkeeper@|@dokkândâr@
@shore@|@kenâr, lab, sâhel@
@short@|@kutâh@
@short jacket@|@nimtane@
@short of stature@|@kutâhqadd@
@short while@|@andaki@
@shortcoming@|@taqsir@
@shortcomings@|@navâqes@
@shortly@|@an qarib@
@shot@|@tir@
@shoulder@|@dush, kul, shâne@
@show@|@namâyesh, tamâshâ, tamâshi@
@show [to]@|@namudan, neshân dâdan@
@show kindness (to s.o.) [to]@|@eltefât kardan@
@show negligence [to]@|@taghâfol varzidan@
@showing partiality@|@e'mâle nazar@
@showing regard to (sthg.)@|@morâ'ât@
@shroud@|@kafan@
@shun [to]@|@duri jostan (az)@
@shunning@|@hazar@
@shut@|@baste, masdud@
@shut (a book) [to]@|@be ham zadan@
@shut [to]@|@bastan@
@shy (of a horse) [to]@|@ramidan@
@sick@|@bimâr, mariz, ranjur@
@sick person@|@mariz@
@sickle@|@dâs@
@sickness@|@bimâri, maraz@
@side@|@jâneb, jehat, kenâr, pahlu, safhe, su, taraf@
@side (direction)@|@samt@
@side (quarter)@|@sâmân@
@sides@|@atrâf (pl. of taraf)@
@sift [to]@|@bikhtan@
@sigh@|@âh@
@sigh [to]@|@âh kashidan@
@sight@|@didâr, nazar, tamâshâ, tamâshi@
@sign@|@alâmat, asar, eshâre, neshân, neshâni, she'âr@
@sign (signal)@|@eshârat@
@sign of the zodiac@|@borj@
@signal@|@alâmat, eshârat, neshân@
@signs@|@âsâr (pl. of asar)@
@silence@|@sokut@
@silent@|@sâket@
@silently@|@âheste@
@silk@|@abrishom@
@silken@|@abrishomi@
@silkworm's cocoon@|@pile@
@silt@|@lâi@
@silver@|@noqre, sim@
@similarly@|@hamconân, hamconin@
@similitude@|@masal@
@simple@|@mahz, mofrad, sâde@
@sin@|@bezeh, gonâh, jorm@
@since@|@cun, cunke, tâ@
@since (from the time that)@|@az mouqe'ike@
@sincere@|@mokhles, sâde, sadiq, sadq, samimi@
@sincere friend@|@sadiq@
@sincerity@|@erâdat, sadâqat, samimiyat@
@sinful@|@bezehkâr, nâsavâb@
@sing [to]@|@sorudan@
@singer@|@motreb@
@single@|@mofrad, monfared, tak, vâhed, yagâne@
@singular [gramm]@|@mofrad@
@singularity@|@yagânegi@
@sink [to]@|@foru raftan, foru shodan@
@sink in [to]@|@foru raftan@
@sinking@|@gharg@
@sinner@|@gonâhkâr@
@sir@|@âqâ@
@siren@|@sute khatar@
@sister@|@bâji, hamshire, khâhar@
@sit [to]@|@neshastan@
@sit cross-legged [to]@|@cahâr zânu neshastan@
@sit down [to]@|@foru neshastan, neshastan@
@sit idle [to]@|@bar dast nehâdan@
@site@|@mouqe'iyat@
@sitting [subs]@|@jolus@
@sitting down (noun)@|@qo'ud@
@sitting up all night [subs]@|@shabneshini@
@situation@|@makân, mouqe', mouqe'iyat, vaz'@
@six@|@shesh@
@sixteen@|@shânzdah@
@sixty@|@shast@
@size@|@andâze, qadr@
@skein@|@kalâfe@
@skeleton@|@ostokhânbandi@
@skewer@|@sikh@
@skiff@|@zouraq@
@skilful@|@mâher, modabber, zabardasht@
@skilful manager@|@modabber@
@skill@|@honar@
@skimmer@|@kafgir@
@skin@|@pust@
@skin (for carrying water)@|@mashk@
@skirt@|@dâman@
@sky@|@âsmân, gardun, jav@
@sky (poet)@|@carkh@
@slander@|@doshnâm, sa'âyat, tohmat@
@slander [to]@|@tohmat zadan@
@slap in the face@|@sili@
@slave@|@abd, bande, gholâm@
@slaying@|@qatl@
@sleep@|@khâb@
@sleep [to]@|@khâbidan, khoftan@
@sleight of hand@|@tardasti@
@slender@|@nâzok@
@slice@|@qâc@
@slide@|@laghzesh@
@slime@|@lajan@
@slip@|@laghzesh@
@slip [to]@|@laghzidan@
@slip away [to]@|@jim shodan@
@slipper@|@kafshe râhati@
@slippery (of ground)@|@liz@
@slipshod@|@shalakhte@
@slipway@|@sorsore@
@sloop@|@nâvce@
@sloth@|@kâheli@
@sloven@|@shalakhte@
@slovenly@|@shalakhte@
@slow (of a watch)@|@aqab@
@slowly@|@âheste, yavâsh@
@slow-witted@|@kond@
@small@|@andak, khord, khorde, kucek, riz, rize, saghir@
@small ballista@|@arrâde@
@small box@|@quti@
@small carpet@|@qâliche@
@small child@|@kudak@
@small irrigation channel@|@jub, jui, jui@
@small shell@|@mohre@
@small tin@|@quti@
@small town@|@qasabe@
@smallpox@|@âbele@
@smear [to]@|@andudan@
@smell@|@bu, bui@
@smell [trans] [to]@|@bu kardan@
@smelt [to]@|@godâkhtan@
@smile@|@tabassom@
@smoke@|@dud@
@smoke (a cigarette) [to]@|@dud kashidan@
@smoke (of a fire) [to]@|@dud kardan@
@smoke a hubble-bubble [to]@|@qaliân kashidan@
@smuggled@|@qâcâq@
@smuggler@|@qâcâqci@
@smuggling@|@qâcâq@
@snake@|@mâr@
@snap asunder [to]@|@gosestan, gosikhtan@
@snare@|@dâm, tale@
@snatch [to]@|@robudan@
@sneeze@|@atse@
@snow@|@barf@
@snow [to]@|@barf âmadan, barf bâridan@
@so@|@conân, conin@
@so many@|@candin@
@so much@|@candân, candin@
@so that@|@conânce, ke, tâ@
@soaked in water@|@khis@
@so-and-so@|@folâni@
@soap@|@sâbun@
@sobriety@|@parhzigâri@
@social@|@ejtemâ'i@
@social intercourse@|@mo'âsharat, mo'âsherat@
@social life@|@ejtemâ'@
@society@|@anjoman, ejtemâ', eshrat, jâme'e@
@society (club)@|@jam'iyat@
@sock@|@jurâb@
@sofa@|@nimkat, takht@
@soft@|@narm, shol, sost@
@soft wool@|@kork@
@softness@|@sosti@
@sojourn@|@eqâmat@
@solar@|@shamsi@
@solder@|@lahim@
@soldier@|@sepâhi@
@sole@|@yagâne@
@solid@|@seft, vâseq@
@solitude@|@enferâdi@
@solution@|@hall@
@solving@|@hall@
@some@|@barkhi, ba'zi, cand@
@someone@|@shakhsi, yaki, yeki@
@sometimes@|@gâh be gâh, gâhi@
@son@|@ebn, pesar@
@son of a paternal aunt@|@pesaramme@
@son of a paternal uncle@|@pesaramu@
@song@|@sorud, tasnif@
@songs@|@tasânif (pl. of tasnif)@
@son-in-law@|@dâmâd@
@sons (used in compounds)@|@bani (oblique pl. of ebn)@
@soon@|@an qarib, zud@
@soothe [to]@|@navâkhtan@
@sordid@|@past@
@sore@|@khâresh@
@sore throat@|@galudard@
@sorrow@|@ghosse@
@sorrowful@|@tire@
@sorry@|@mota'assef, pashimân@
@sort@|@gune, jens, jur, nou', qabil, qesm@
@sorts@|@ajnâs, anvâ (pl. of nou'), aqsâm (pl. of qesm)@
@soul@|@jân, nafs, ruh, zât@
@souls@|@nofus (pl. of nafs)@
@sound@|@dorost, mosallam@
@soundness@|@dorosti, sehhat@
@sour@|@torsh@
@sour buttermilk@|@dugh@
@source@|@cashme, mabda', ma'khaz, mamba', mansha', masdar@
@sources@|@ma'âkhez@
@south@|@jonub@
@southern@|@jonubi@
@souvenir@|@yâdgâr@
@sovereign@|@farmânravâ, pâdeshâh, shâh@
@sovereign government@|@doulate matbu@
@sovereignty@|@farmânravâi, pâdeshâhi, qalamrou@
@Soviet@|@shouravi@
@sow [to]@|@kâshtan, keshtan, pâshidan@
@sow discord [to]@|@tafreqe andâkhtan@
@sown field@|@kesht@
@space@|@fâsele@
@spacious@|@vasi'@
@spaciousness@|@vos'at@
@spade@|@bil@
@Spain@|@espaniâ@
@spare@|@yadak, yadaki@
@spare [to]@|@darigh dâshtan@
@spare parts@|@asbâbe yadaki@
@sparing [subs]@|@mozâyeqe@
@spasm@|@tashannoj@
@speak [to]@|@goftan, harf zadan, sohbat kardan, sokhan rândan@
@speaker@|@nâteq, sokhanvar@
@speakers of truth@|@sodoq (pl. of sadq), sodq@
@speaking [adj]@|@nâteq@
@speaking evil of s.o.@|@gheibat@
@spear@|@neize@
@spearhead@|@sarneize@
@special@|@khâss, khosus, khosusi, makhsus, mokhtass, vize@
@special kind of veil (house)@|@câdorshab@
@specialist@|@motakhasses@
@speciality@|@ekhtesâs@
@specially@|@khâsse@
@specially ordered (of goods)@|@sefâreshi@
@species@|@ajnâs, jens, nou'@
@specific@|@makhsus@
@specified@|@moshakhkhas@
@specified day@|@mou'ed@
@spectacle@|@tamâshâ, tamâshi@
@spectacles@|@einak@
@spectator@|@tamâshâci@
@speculation@|@softebâzi@
@speculative@|@nazari@
@speculator@|@softebâz@
@speech@|@goftâr, kalâm, loghat, notq, sokhan, sokhanrâni@
@speed@|@shetâb, shetâbzadegi@
@speedometer@|@shetâbnamâ@
@spell@|@afsun, jâdu@
@spend (money) [to]@|@kharj kardan@
@spend [to]@|@sarf kardan@
@spending@|@sarf@
@sphere@|@korre@
@spice@|@advie (pl. of davâ; medicine)@
@spider@|@ankabut@
@spill [to]@|@rikhtan@
@spin [to]@|@reshtan, rishtan, ristan@
@spindle@|@kalâfe@
@spiral@|@mârpic@
@spirit@|@nafs@
@spirited@|@ziruh@
@spirits@|@araq@
@spiritual@|@ma'navi, rouhâni, ruhâni, ziruh@
@spiritual adviser@|@morshed@
@spiritual guide@|@morshed@
@spite@|@gharaz@
@splendour@|@jalâl, jelve, sho'â'@
@split@|@shekâf@
@split [trans; intrans] [to]@|@shekâftan@
@split peas@|@lappe@
@spoiling@|@salb@
@spoilt@|@tabâh, zaye'@
@spoilt (of a child)@|@lus@
@spool@|@qerqere@
@spoon@|@qâshoq@
@sport@|@bâzice, dastkhosh@
@spot@|@lak, lake@
@spotted@|@lakedar@
@spouse@|@zouj@
@spread@|@montasher@
@spread abroad@|@fâsh@
@spread out [to]@|@pahn kardan@
@spread out the tablecloth [to]@|@sofre andâkhtan@
@spreading out@|@tamhid@
@spreading out [subs]@|@sath@
@spring@|@cashme, mamba', mansha'@
@spring (of the year)@|@bahâr@
@spring onion@|@piâzce@
@spur@|@mehmiz@
@squadron@|@fouj, goruh@
@squadron (naval)@|@bakhsh@
@square (of a town)@|@meidân@
@squared@|@morabba'@
@squashed@|@leh@
@squeeze [to]@|@afshordan, feshordan@
@squib@|@mushak@
@stability@|@qarâr, sabât@
@stable@|@mohkam, ostovâr@
@stable [subs]@|@tavile@
@staff@|@asâ, setâd@
@stag@|@kal@
@stage (in a journey)@|@manzel@
@stage (of a journey)@|@marhale@
@stagnant@|@jâmed@
@stagnant water@|@mordâb@
@staid@|@matin@
@stain@|@lak, lake@
@stain [to]@|@âludan@
@stained@|@lakedar@
@stair@|@pelle@
@stake@|@mikh@
@stalk of a plant@|@sâq@
@stand [to]@|@istâdan@
@standard@|@alam, beiraq, parcam@
@standard-bearer@|@alamdâr@
@standing orders@|@nezâmnâme@
@standing up@|@qiâm@
@star@|@setâre@
@starling@|@sâr@
@stars@|@nojum (pl. of najm)@
@start@|@mobâderat@
@starting [subs]@|@azimat@
@state@|@doulat, hâl, hâlâ, mamlakat, vaz'@
@state of affairs@|@keifiyat, ouzâ' (pl. of vaz')@
@statement@|@ezhâr, gozâresh@
@states@|@ouzâ' (pl. of vaz')@
@statesman@|@siâsatmadâr@
@station@|@istgâh, mahall, manzele@
@statistics@|@âmâr@
@statue@|@mojassame@
@stature@|@andâm, heikal, qadd, tan@
@stave@|@asâ@
@stay@|@eqâmat@
@stay [to]@|@manzel kardan@
@steal [colloq] [to]@|@boland kardan@
@steal [to]@|@dozdidan@
@steam@|@bokhâr@
@steel@|@pulâd@
@steely@|@pulâdin@
@steep in blood [to]@|@âgheshtan@
@stem of a tree@|@sâq@
@step@|@eqdâm, gâm, pelle, qadam@
@step of a stair@|@pâye@
@steppe@|@dasht@
@steps@|@marâteb (pl. of martabe)@
@sterile@|@aqim@
@stern@|@dorosht, sakht@
@sternness@|@doroshti, sakhti@
@stew@|@âsh, khoresht@
@stew [kind of]@|@khoresht@
@steward@|@pishkâr@
@sthg. derogatory to a position@|@kasr osh-sha'n@
@stick [to]@|@caspidan@
@stiff@|@kufte, seft@
@stifling@|@khafe@
@still@|@bâz, hanuz, laken@
@stimulating@|@mohaiyej@
@sting@|@nish@
@sting [to]@|@gazidan@
@stingy@|@momsek@
@stipulated@|@mashrut, moqaiyad@
@stipulated period@|@mou'ed@
@stipulation@|@shart@
@stipulations@|@moqarrarât@
@stir up [to]@|@angikhtan, bar angikhtan, bar âshoftan@
@stitch [to]@|@âjidan@
@stock@|@mâye, nasab, rag@
@stocking@|@jurâb@
@stomach@|@del, me'de@
@stone@|@sang@
@stone (a person) [to]@|@sangsâr kardan@
@stone roller to roll mud roofs@|@bâmghaltân@
@stone-cutting@|@sangtarâshi@
@stonemason@|@sangtarâsh@
@stone-mason@|@hajjâr@
@stony place@|@sanglakh, sangsâr@
@stony-hearted@|@sangdel@
@stop@|@tavaqqof@
@stop (of a watch) [to]@|@khâbidan@
@stop [intrans] [to]@|@istâdan@
@stoppage@|@tavaqqof@
@stopped@|@mouquf@
@stopping@|@tavaqqof@
@store@|@ambâr, ganj, khazine, maghaze@
@store-keeper@|@ambârdâr@
@stores department@|@kârpardâzi@
@storey@|@oshkube, tabaqe@
@stories@|@qesas (pl. of qesse)@
@storing up@|@ezzekhâr@
@stork@|@laqlaq@
@storm@|@tufân@
@storm-lantern@|@fânus@
@story@|@dâstân, hekâyat, qesse@
@stout@|@câq@
@stout (in build)@|@qavi@
@straight@|@mostaqim, mostaqiman, râst@
@straight on@|@mostaqiman@
@straightforward@|@rok@
@straightness@|@râsti@
@strain [to]@|@pâludan@
@strainer@|@âbkash, sâfkon@
@straitened circumstances@|@maziqe@
@straits mountain pass@|@tange@
@strange@|@ajab, ajib, badi', gharib@
@stranger@|@gharib@
@stratagem@|@dasise, hile, makide@
@strategic@|@souq ol-jeishi@
@stratum@|@cine@
@straw@|@kâh@
@straw (for a hat)@|@hasir@
@strawberry@|@tute farangi@
@stream@|@ju, jub, jui, jui, nahr@
@street@|@kuce@
@strength@|@estehkâm, niru, qodrat, qovvat, tâb, tâqat, tir@
@strengthening@|@taqviat@
@stress@|@ta'kid@
@stretch out the hand [to]@|@dast daraz kardan@
@stretching out@|@bast@
@strict@|@akid@
@strictly@|@akidan@
@strike@|@e'tesâb@
@strike [to]@|@kotak zadan, zadan@
@strike with the fist [to]@|@mosht zadan@
@striking@|@zanande@
@striking camp@|@kuc@
@string@|@rismân@
@strip [to]@|@lokht kardan@
@strive [to]@|@kushidan@
@striving@|@kushesh@
@stroking@|@mâlesh@
@stroll@|@gardesh@
@strong@|@cire, qavi, qors, shadid, tanumand, tavângar@
@strong (stable)@|@mohkam@
@strong athletic man@|@pahlavân@
@strongbox@|@sanduq@
@struggle@|@gir o dâr, keshmakesh, zad o khord@
@struggle [to]@|@koshti gereftan@
@stubborn@|@gardankash@
@student@|@dâneshâmuz, mohassel, tâleb@
@studio@|@akkâskhâne@
@study@|@motâle'e, tahsil@
@study [to]@|@dars khândan@
@stuff [to]@|@âgandan@
@stupefied@|@mabhut, motahaiyer@
@stupid@|@ahmaq, bifahm@
@stupidity@|@khariyat@
@sturdy@|@tanumand@
@sturgeon@|@sagmâhi@
@style@|@nasaq, sabk, shive@
@style (literary)@|@oslub@
@style of handwriting@|@naskh@
@style of writing@|@enshâ@
@subdivision@|@far'@
@subdivisions@|@foru' (pl. of far'), sho'ab (pl. of sho'be)@
@subject@|@matlab, mouzu', raiyat, ra'iyat, reshte, tâbe'@
@subjection@|@tab'iyat@
@subjects@|@atbâ' (pl. of tâbe'), matâleb@
@sublime@|@âli@
@submarine@|@zirdaryâi@
@submerge [to]@|@foru bordan@
@submersion@|@gharg@
@submission@|@taslim@
@submit [to]@|@tan dar dâdan@
@submitted@|@ma'ruz@
@subside [to]@|@foru neshastan@
@substance@|@ein, mâdde, mâye@
@substitute@|@badal, nâeb, vakil@
@substitution@|@badal@
@subterranean@|@zirzamini@
@subterranean canal@|@qanât@
@subtle@|@daqiq, zarif@
@subtleties@|@nokât (pl. of nokte)@
@subtlety@|@nokte@
@succeed [intrans] [to]@|@pish bordan@
@success@|@kâmyâbi, movaffaqiyat@
@successful@|@kâmrân, kâmyâb, movaffaq@
@succession@|@mirâs@
@successive@|@mosalsal@
@successor@|@jâneshin@
@succour@|@madad@
@such@|@kazâ@
@such a one@|@folân@
@such and such@|@kazâ@
@such like@|@kazâ@
@suck [to]@|@makidan@
@suckling@|@shirkhâr@
@suddenly@|@baghtatan, daf'atan, nâgâh@
@suffer damage [to]@|@âsib didân@
@suffer defeat [to]@|@shekast khordan@
@suffer distress [to]@|@ranj bordan@
@suffer injury [to]@|@sadame didan@
@suffer loss [to]@|@âsib didân, sadame didan@
@sufficiency@|@kefâyat@
@sufficient@|@kâfi@
@suffix denoting place of abode@|@âbâd@
@suffocate [trans] [to]@|@khafe kardan@
@suffocated@|@khafe@
@Sufi@|@sufi@
@sugar bowl@|@qanddân@
@suicide@|@khodkoshi@
@suit [to]@|@shâyestan (defective)@
@suitability@|@monâsebat, shâyestegi@
@suitable@|@darkhor, monâseb, motanâseb, sazâ, shâyeste@
@suitable (proper)@|@farâkhor@
@sulphur@|@gugerd@
@sultan@|@soltân@
@sultana@|@keshmesh@
@sultanas@|@keshmesh@
@sultans@|@salâtin (pl. of soltân)@
@sum@|@jomle, majmu'@
@sum (of money)@|@mablagh@
@sum of anything@|@mahsul@
@sum total@|@jam'@
@sumach@|@somâq@
@summarizing@|@talkhis@
@summer@|@tâbestân@
@summer (May and June)@|@seif@
@summer crop@|@seifi@
@summer quarters@|@yeilâq@
@summit@|@kalle, sar@
@summit of a mountain@|@qolle@
@sums (of money)@|@vojuh (pl. of vajh)@
@sun@|@âftâb, khorshid, mehr, shams@
@sun-baked brick@|@khesht@
@Sunday@|@yak shambe@
@Sunnism@|@tasannon@
@superabundance@|@maziyat@
@superfluity@|@kesrat@
@superintendent of a mosque@|@motavalli@
@superior@|@bartar, fâeq, fâyeq@
@superior (in rank)@|@zabardasht@
@superiority@|@bartari@
@supernatural@|@ma varâ ot-tab'iyat@
@superscription@|@envân@
@superstition@|@khorafât (pl. of khorâfe)@
@superstitions@|@mouhumât@
@supervision@|@barrasi, nezârat@
@supervisor@|@mobâsher@
@supervisor of villages@|@pâkâr@
@supper@|@shâm@
@supplicating [adj]@|@mostad'i@
@supplication@|@ested'â@
@support@|@ettekâ, poshti, poshtibâni, taqviat, tarafdâri@
@supporter@|@poshtibân, tarafdâr@
@supporting@|@taqviat, tarafdâri@
@suppose [to]@|@gamân bordan, khiâl kardan, tasavvor kardan@
@supposing that@|@bel-farz@
@supposition@|@farz, tasavvor@
@suppressing@|@hazf, qal'@
@suppressing [subs]@|@qam'@
@sure@|@mosallam, yaqin@
@surety@|@zamânat, zâmen@
@surety (person)@|@kafil@
@surface@|@safhe@
@surface of anything@|@sath@
@surgeon@|@larrah@
@surgery@|@matabb@
@surgical@|@jarrahi@
@surmise@|@gamân@
@surplus@|@mâ zâd@
@surplus [subs]@|@fozuni@
@surprise@|@ta'ajjob@
@surrender [trans] [to]@|@taslim kardan@
@surrounded@|@monhaser@
@surrounding district@|@houme@
@susceptible of@|@qâbel(e)@
@suspected@|@mottahem@
@suspended@|@mouquf@
@suspension@|@ta'til@
@suspicion@|@shakk, shobhe, su'e zann@
@suspicious@|@zanin@
@suture@|@darz@
@swaddling clothes@|@qondâq@
@swallow (bird)@|@parastuk@
@swallow [to]@|@foru bordan@
@swamp@|@batlâq, bâtlâq, botlâq@
@sweat@|@araq, khui@
@sweep [to]@|@roftan@
@sweeping [subs]@|@roft o rub@
@sweet@|@shirin@
@sweet (of water)@|@gavâr@
@sweet chestnut@|@shâhbalut@
@sweetmeat@|@shirini@
@sweetmeat [kind of]@|@halvâ@
@sweetness@|@shirini@
@swell [to]@|@bar âmadan, var âmadan@
@swell [trans; intrans] [to]@|@bâd kardan@
@swelling@|@bâd, domal, tavarrom@
@swelling [subs]@|@varam@
@swift@|@tond@
@swiftness@|@tondi@
@swimming@|@shenâ, shenou@
@swindle [to]@|@kolâh sar kasi gozâshtan, kolâhe kasi bar dâshtan@
@swing-bridge@|@pole motaharrek@
@switch@|@tarke@
@swooning [subs]@|@ghash@
@sword@|@shamshir, tigh@
@symmetry@|@andâm@
@sympathy@|@âtefe, hamdardi, reqqat@
@synagogue@|@kenesht@
@syntax@|@nahv@
@Syria@|@shâm@
@syrup@|@sharbat@
@syrup made of fruit juice@|@shire@
@systematic arrangement@|@enzebât@
@table@|@miz, takhte@
@table covered by a quilt@|@korsi@
@table of contents@|@fehrest@
@tablecloth@|@sofre@
@tail@|@dom, domb, dombâle@
@take (s.o.'s) pulse [to]@|@natze (kasirâ) gereftan@
@take [to]@|@akhz kardan, bordan, gereftan, setâdan@
@take a decision [to]@|@tasmim gereftan@
@take a photograph [to]@|@aks andâkhtan@
@take a step forward [to]@|@qadam bar dâshtan@
@take action [to]@|@eqdâm kardan@
@take an omen [to]@|@fâl gereftan@
@take away [to]@|@bar dâshtan, var dâshtan@
@take bribes [to]@|@reshve khordan@
@take captive [to]@|@asir gereftân (kardan)@
@take hold of [to]@|@gereftan@
@take measurement from i@|@qes alâ hâzâ@
@take oath [to]@|@sougand khordan@
@take off (a coat) [to]@|@bar kandan@
@take off [to]@|@bar dâshtan, var dâshtan@
@take off the hat [to]@|@kolâh bar dâshtan@
@take over [to]@|@tahvil gereftan@
@take pains [to]@|@zahmat kashidan@
@take refuge [to]@|@panâh bordan@
@take responsibility for [to]@|@bar ohde gereftan@
@take shelter [to]@|@panâh bordan@
@take the lead [to]@|@pish oftâdan, sebqat jostan@
@take time [to]@|@tul kashidan@
@take to pasture [to]@|@carânidan@
@take trouble [to]@|@zahmat kashidan@
@take unawares [to]@|@ghâfelgir kardan@
@take up [to]@|@var dâshtan@
@taken into accoun@|@malhuz@
