@English@|@Nahuatl@
@there was fighting@|@necalihuac@
@there was flight; there was running@|@motlalohuaya, netlaloloc@
@there was going forth@|@ohualhuiloac, quixohuaya@
@there was going on the part of each one@|@huihuiloac, ohuihuiloac, onhuihuiloac@
@there was going out@|@quixoaya@
@there was leaving@|@quixoaya@
@there was loading into a boat@|@ontlaccaltemaloc@
@there was offering; people made offerings@|@tlamanaloya@
@there was paying of te debt@|@onnextlahualoya@
@there was paying of the debt@|@nextlahualoya@
@there was piercing of ear (lobes)@|@tenacazxapotlaloya@
@there was piercing of ear lobes@|@ontenacazxapotlaloc@
@there was plundering of people@|@ontenamoyeloz@
@there was shouting@|@otzatzihuac, tlacahuacaya@
@there was singing; people sang@|@cuicoya@
@there was slaying of captives@|@malmicoaya@
@there was suffering@|@tlatoliniaya@
@there was sweeping@|@tlachpanoya@
@there was teaching@|@nemachtiloya@
@there was the passing of sticks (through tongues)@|@tlacoquixtiloya@
@there was the setting out of offerings to him@|@tlamanililoya@
@there was wearing@|@nequentiloya@
@there will be@|@onyezque@
@there will be coming; people will come@|@hualhuiloaz@
@there will be dancing; people are to dance@|@netotiloz@
@there will be death; there will be dying@|@micoaz@
@there will be destruction@|@ompolihuaz@
@there will be dying@|@onmicoaz@
@there will be eating@|@tlacualoz@
@there will be entering; people will enter@|@calacoaz@
@there will be famine; people will be hungry@|@mayanaloz@
@there will be going@|@ohuiloaz, onhuiloaz@
@there will be guarding@|@tlapialoz@
@there will be harvesting@|@pixcoz@
@there will be hunting@|@amihuaz@
@there will be planting of beans@|@etlaxoz, etlazaloz@
@there will be sowing; there will be planting@|@tocoz@
@there will be tooth cleaning@|@netlancuicuihuaz@
@there will be vomiting; there is to be vomiting@|@nezotlaloz@
@there will be; they will be; they will exist@|@yezque@
@there; there is@|@onca@
@there; there there; at that time; then; where;@|@ompa@
@there; yonder@|@nepa@
@therefore@|@anca@
@these@|@inique, yeyehuan@
@they@|@yeehuan, yehua, yehuantzitzin, yeyehuan@
@they (did) cut it@|@quixotlaya@
@they (h.) died@|@omomiquilique@
@they (h.) do their labor@|@motlacotiliqui@
@they abandoned her@|@quixiccahuaya@
@they abandoned it there@|@conmocahuili@
@they abrade it; they scrape it@|@quichiqui@
@they abstained@|@motlacahualtiaya@
@they abstained from chili@|@chilcahuaya@
@they abstained from it@|@quimocahualtiaya@
@they accompanied him; they carried him@|@quihuicaya@
@they addressed them@|@quinhualnahuatique@
@they adorn it@|@quicecencahua@
@they adorn something@|@tlachichihua@
@they adorn them@|@quincenahua@
@they adorned it for him@|@quichichihuiliaya@
@they adorned it; they arrayed her@|@quichichihuaya@
@they adorned them@|@quinchichihuaya@
@they allowed them to go down@|@quinhualtemohuique@
@they animate themselves; they dare@|@mochicahua@
@they annihilated them@|@quimixtlatique@
@they announce war; they proclaim war@|@yaotlatoa@
@they anoint him@|@coza@
@they anoint it@|@conalahua@
@they answered him@|@quinanquilique@
@they answered them@|@quinhualnanquilique, quinnanquiliaya, quinnanquilique@
@they appear@|@tlachia@
@they appeared@|@onixnecia@
@they apply maize dough@|@tlatexhuia@
@they apply pine pitch to it@|@cocotzohuia@
@they apply pine resin to each one@|@conoocotzohuia@
@they are@|@ca, cate@
@they are accustomed to doing it@|@quichihuani@
@they are benevolent@|@tetlazotlani@
@they are breathless@|@tlacica@
@they are called@|@notzaloque, quimotocayotia@
@they are captured; they arehunted@|@ano@
@they are cared for with awe@|@momahuizpia@
@they are caught@|@ano@
@they are chosen@|@analoya@
@they are city dwellers@|@altepeonoque@
@they are clever@|@mimati@
@they are conquered@|@pehualo@
@they are content@|@moyollalia@
@they are crimson; they glisten; they glow@|@xoxotla@
@they are crushed with a stone@|@motepapatlachoa@
@they are crushed; shattered@|@xamani@
@they are cured@|@mopatia@
@they are cut up@|@motetequi@
@they are dancing@|@quitotitimani@
@they are desired@|@neco@
@they are dug out@|@motataca@
@they are eaten@|@mocua@
@they are experienced@|@ixtlamati@
@they are formed; they live@|@yoli@
@they are given@|@maco@
@they are happy; they rejoice@|@paqui@
@they are house dwellers@|@chanonoque@
@they are in charge of him@|@itlan onoque@
@they are incited; they are stirred; they wish@|@moyolehua@
@they are killed; they are slain@|@mictilo@
@they are leaping about@|@chocholotimani@
@they are left@|@onmocahua@
@they are left; they remain@|@ommocahua@
@they are men; they become men@|@oquichti@
@they are obedient@|@huellacaqui@
@they are raises@|@huapahualo@
@they are respectful; they are fearful@|@teimacacini@
@they are satisfied@|@huellamati@
@they are seen; they are encountered@|@itto@
@they are set in order@|@mohuipana@
@they are shattered@|@teini@
@they are skilled@|@mimatia@
@they are strong; they become strong@|@chicahua@
@they are struck repeatedly@|@mohuihuitequi@
@they are summoned@|@notzalo@
@they are tamed@|@tlacacihuitilo@
@they are thankful@|@mocnelilmati@
@they are to eat it@|@quicuazque@
@they are told of@|@itolo@
@they are twisted together@|@momamalina@
@they arm themselves for war@|@moyaochichihua@
@they armed themselves for war@|@moyaochichiuhque@
@they arose; they got up@|@meuhque@
@they arose; they stood up; they departed@|@moquetzque@
@they arrange it in rows@|@quicuecuentilia@
@they arrange it well@|@quiyectlalia@
@they arrange it; they place it; they set it@|@quimamana@
@they arrange themselves in order@|@motecpana@
@they arrange themselves in rows@|@mocuecuentilia@
@they arranged him on a carrying frame@|@quicacaxchichihuaya@
@they arranged it; they gathered it@|@quicenquixtiaya@
@they array them; they dress them@|@quintlaquentia@
@they arrayed him; they adorned him@|@quicencahuaya@
@they arrayed him; they adorned him; they made it@|@quichichihuaya@
@they arrayed themselves@|@mochichiuhque@
@they arrive@|@aci, huallaci@
@they arrived@|@acique, ohecoque@
@they arrived (here)@|@hualahcia@
@they arrived; they reached@|@oacique, onacique@
@they ascend@|@ontleco, tleco, tlehco@
@they ascended@|@otlecoque@
@they ascended; they climbed up; they climbed@|@tlecoque@
@they asked her@|@quitlatlauhtiaya@
@they asked them@|@quintlatlanique@
@they assembled them@|@oquincentlalique@
@they assembled; they congregated@|@mocenquixtiaya@
@they assembled; they established themselves@|@omotecaque@
@they assembled; they gathered@|@omocenquixtiqueh@
@they ate@|@tlacuacuaya@
@they ate earth;they performed earth-eatingceremony@|@ontlalcuaque@
@they ate it@|@oquicuaque@
@they ate them@|@quincuaya@
@they attire themselves; they arrange themselves@|@mocecencahua@
@they awaited his word@|@quitlatolchiaya@
@they bathe@|@maaltia, mahaltia@
@they bathe her; they bathe him@|@caaltia@
@they bathe his feet@|@quicxipaca@
@they bathe them@|@quintema@
@they bathed@|@ommaltiaya, ommaltique@
@they bathed him@|@oconaaltique@
@they bathed them@|@quimaltiaya@
@they bathed themselves@|@omaltique@
@they bear him; they take him; they bear it@|@quihuica@
@they bear it here; they bring it@|@quihualitqui@
@they bear them on their backs@|@quinmama@
@they beat (i.e.@|@motzetzeloa@
@they beat it@|@quitzotzonaya@
@they beat the drums for them@|@quinhuehuetzotzonilia, quintlatzotzonilia@
@they beat their backs repeatedly@|@quincuitlahuihuitequi@
@they beat them@|@quinhuihuitequi@
@they beat them with stones@|@quintetzotzona@
@they became@|@mochiuh@
@they became angry@|@cualania, omocualanique@
@they became angry; they were wrathful@|@cualanque@
@they became besotted; they got drunk@|@ihuintia@
@they became four@|@onnauhtetix@
@they became wine@|@oocti@
@they became; they were turned into@|@mocuepaya@
@they become courageous@|@yolchicahua@
@they become curved@|@nolihui@
@they become old women@|@ilamati@
@they become pointed at the end@|@yacapitzahua@
@they began it@|@conpehaltique, oquipehualtique, quipehualtiaya, quitzintique@
@they began things@|@tlapehualtileque@
@they began; they had their beginning@|@tzintique@
@they begin in fun@|@onahuilpehua@
@they begin to roast@|@mocinixquia@
@they begin; they started@|@hualpeuhque@
@they behead quail for her@|@quitlacotonilia@
@they beheaded it@|@oconquechcotonque@
@they beheld it; they looked at it@|@quittaque@
@they believe it@|@quineltoca@
@they believed him@|@quineltocaque, quineltocaya@
@they betrayed them@|@quintlahxinque@
@they bewitch him@|@quixoxa@
@they bind him thoroughly@|@quiteteuhilpia@
@they bind it tightly; they tie it tightly@|@quicacatzilpia@
@they bind it; they tie it; they string it together@|@quiilpia@
@they bind somethig; they tie something@|@ontlalpia@
@they blocked it@|@oquitzatzacque@
@they blocked them@|@quintzacuiliaya@
@they bloom; they blossom@|@cueponi@
@they blow (e.g.@|@tlapitza@
@they boil it@|@quiphuaci@
@they boil it together@|@quicenpozonia@
@they bore it@|@quimamali, quitquique@
@they bought him@|@quimoncohuaya@
@they bound it; they tied it up@|@quipiaya@
@they break apart@|@xitini@
@they bring it down@|@quitemohuia@
@they bring it forth; they draw it forth@|@quihualquixtia@
@they brought it@|@conhuicaque, conhuicaya, quihualcuique, quihuicaque@
@they brought it down@|@quihualtemohuia@
@they brought it together@|@oquicentlalique@
@they brought them out@|@quinhualquixtiaya@
@they brought them; they carried them here@|@quinhualhuicaya@
@they built it; they placed it; they prepared it@|@quitlalique@
@they buried him@|@oquitocaque@
@they buried them@|@quintocaya@
@they burn@|@tlatla@
@they burn it@|@contlatia@
@they burned it@|@quitlatiaya, quitlatique@
@they burned them@|@quintlatique@
@they buy it@|@quicohua@
@they buy people@|@tecoa@
@they buy people for themselves@|@motlacacohuia@
@they call it; they call upon it@|@quitenehua@
@they call it; they say it; they say it to her@|@quilhuia@
@they call out to him@|@connotza@
@they call them by trickery@|@tenanahualnotza@
@they call to it@|@quihualnotza@
@they called him@|@oquitocayotique, quitocayotique@
@they called it; they said it to him@|@quiluiaya@
@they called out to them@|@quinhualnotzque@
@they called them@|@quintocayotia, quintocayotique@
@they called to him@|@connotzque@
@they came@|@ohuallaque@
@they came down; they descended; they descend@|@hualtemoa@
@they came forth; they went forth@|@hualquizque@
@they came hastening to arrive@|@acitihuetzico@
@they came into view@|@onixnecia@
@they came out; they left; they set forth@|@oquizque@
@they came poling it@|@quitlanelhuitihuitze@
@they came to arrive; they came to reach@|@onacico@
@they came to be called@|@omitoco@
@they came to behold@|@tlachiaco@
@they came to capture him; they came to take her@|@canaco@
@they came to conquer@|@tepehuaco@
@they came to consult with him@|@quinonotzaco@
@they came to cut them off@|@quinyacatzacuilico@
@they came to die@|@ommiquico@
@they came to eat him@|@quicuaquihui@
@they came to enter@|@calaquico@
@they came to extend it; they came to lay it out@|@contecaco@
@they came to govern it@|@oquipachoco@
@they came to kill people@|@ontemictico@
@they came to know it@|@oquimatico@
@they came to notify him@|@quicaquitico@
@they came to notify him; they came to warn him@|@quinonotzaco@
@they came to say it to them@|@quimilhuico@
@they came to scatter them@|@quintepehuaco@
@they came to see@|@tlachiaco@
@they came to serve@|@otlacotico@
@they came to settle themselves@|@ommotlalico@
@they came to stand@|@ommoquetzaco@
@they came to tell it to him@|@quilhuico@
@they came to their end; they finished@|@ontlanque@
@they came together@|@monamicque@
@they came upon them@|@oquinnamicque@
@they came; they arrived; they came back@|@huallaque@
@they cannot walk@|@ahuelnenemi@
@they capture them@|@quimaci@
@they captured him; they seized him@|@ocacique@
@they captured it; they caught it; they hunted it@|@cacique@
@they captured them; they seized them@|@quimacique@
@they card it; they shred it@|@quipochina@
@they carried it in; they put it in;they took it in@|@quicalaquiaya@
@they carried it; they took it@|@quitquique@
@they carried them@|@quimonhuicaque, quinhuicaque@
@they carry each of them@|@quihualhuihuica@
@they carry her; they carry him; they bear him away@|@quihuica@
@they carry it on their back or on their backs@|@quimama@
@they carry it on their backs@|@conmama@
@they carry them@|@quinhuihuica@
@they carry them on their backs@|@quinmamaltia, quinmamama@
@they carry water@|@azazaca@
@they carved them@|@quinxinque@
@they cast (past) gold@|@teocuitlapitzaya@
@they cast it@|@quipitzaya, quitepehua@
@they cast it; they scattered it; they strewed it@|@contepehuaya@
@they cast it; they throw it; they throw him@|@quihuallaza@
@they catch him; they capture him@|@caci@
@they celebrated a feast day for him@|@quilhuixquixtiliaya@
@they celebrated the feast day@|@onilhuitlaque@
@they change it@|@quipatla@
@they char@|@tecoltia@
@they chase it@|@quitotoca@
@they choose them@|@quinpepena@
@they circled about it@|@ocolohuique@
@they clad him in a sleeveless jacket@|@conxicoltique@
@they clap each other on the back@|@moquequetzontzona@
@they climb@|@ontleco@
@they climb up@|@otlecoque@
@they climb; they climb up@|@tleco@
@they climbed down; they descended@|@ohualtemoque@
@they climbed up@|@ontlecoque@
@they clothe themselves; they are clothed@|@motlaquentia@
@they clothed them@|@quintlaquentiaya@
@they clutch@|@tlamomotzoa@
@they come arrayed for war@|@moyaochichiuhtihuitze@
@they come converted (into it)@|@mochiuhtihuitze@
@they come dancing@|@mitotitihuitze@
@they come directly@|@tlamelauhtihuitze@
@they come doing it@|@quichihuaquihui@
@they come emerging@|@onquizaquihui@
@they come firing guns@|@tlatlequiquizhuitihuitze@
@they come first@|@yacattihuitze@
@they come following him@|@quihualtoquilitihui@
@they come gleaming@|@pepetlacatihuitze@
@they come in@|@callaqui@
@they come leading people@|@teyacantihuitze@
@they come out; they emerge; they go forth@|@quiza@
@they come sniffing@|@tlatlaneuctihuitze@
@they come to arrive@|@aciquihui@
@they come to emerge; they come to land@|@quizanquihui@
@they come together; they assemble@|@monechicoa@
@they come; they come back@|@huitze@
@they come; they go@|@hualhui@
@they commanded@|@tlanahuatique@
@they composed it; they invented it or produced it@|@quipiquia@
@they confer; they consult one another@|@mononotza@
@they consider it@|@quinemilia@
@they consider it big@|@quihueicatenehua@
@they considered it@|@oquinemilique, quinemilique@
@they considered it an evil omen@|@quitetzauhmatia@
@they considered it favorable; they made it good@|@quicualittaya@
@they consulted among each other@|@mononotzque@
@they consulted among themselves@|@omoyolnonotzque@
@they contend against them@|@quinhualnamiqui@
@they contend with it@|@quixnamiqui@
@they contended with him; they set upon him@|@ipan oquizque@
@they continue croaking; they keep croaking@|@cotalotica@
@they continue taking it@|@concuitimani@
@they cooked@|@oiuccique@
@they cough@|@tlatlaci@
@they cover it@|@quitzacua@
@they cover it with grass@|@quizacatlapachoa@
@they covered themselves with mud@|@mozoquineloque@
@they crackle@|@cuecuetlaca@
@they croak@|@cotaloa@
@they crushed them to death@|@quinpatzmictiaya@
@they cry out; they howl@|@coyohuia@
@they customarily eat it@|@quicani@
@they cut him with a knife@|@quicochiloa@
@they cut his ears@|@connacaztequi, quinacaztequi@
@they cut it@|@quitequi@
@they cut it off of her@|@quitequilia@
@they cut it; they did cut it@|@contequia@
@they cut maguey spines@|@huitztequi@
@they cut open his breast@|@teeltetequi@
@they cut something for her@|@quitlacotonilia@
@they cut their chests@|@quimeltequia@
@they cut their chests open@|@quimeltetequi@
@they cut them@|@quinncotona@
@they damaged it@|@quitlacoaya@
@they dance in the fashion of women@|@mocihuaittotia@
@they danced@|@mihtotiaya@
@they decapitate quail@|@tlacotona@
@they decapitate them@|@quinncotona@
@they decreed@|@otlatoque@
@they deliberated about it@|@oquinemilique@
@they delivered it; they left it@|@concauhque@
@they demanded it of them; they commanded them@|@quimonnahuatique@
@they departed@|@hualehuaque, onehuaqueh, oyaque@
@they descended@|@hualtemoya@
@they descended; they went down@|@temoya@
@they destroy something@|@tlatepoloa@
@they destroyed it; they lost it; they moistened it@|@quipoloaya@
@they destroyed them@|@quimixpoloque@
@they devised it; they created it; they invented it@|@quiyocoxque@
@they did cut their ears@|@quinnacaztequia@
@they did it@|@oquichiuhque@
@they did it; they celebrated it@|@quichiuhqueh@
@they did it; they made it@|@quichiuhque@
@they did put it in; they intruded it@|@quicalaquique@
@they did put it on him@|@contlatlalilique@
@they did put it on them@|@quintlalilique@
@they did put them in@|@quincalaquiaya@
@they die@|@mimiqui@
@they die on earth@|@tlalmiqui@
@they died@|@micque, miquiya, omicque, omicqueh, ommicque, onmicque@
@they died crushed@|@patzmiquia@
@they died in war@|@yaomicque, yaomiquia@
@they died of hunger; they starved@|@apizmicque@
@they died of the cold@|@cecmicque@
@they dig@|@tlatataca@
@they dig her up; they dig it@|@quitataca@
@they discovered it@|@quinextique@
@they disguised themselves@|@mixpoloaya@
@they dispatched him; they sent him out@|@contlazque@
@they display their devices or insignia@|@tlahuiznextia@
@they dispose themselves@|@motetecpana@
@they disputd among themselves@|@mixnamicque@
@they divide into groups@|@moxexeloa@
@they do@|@chihua@
@they do not know it@|@aquimati@
@they drank it@|@conia, oquique, quia, quique, quiya@
@they drank pulque@|@otlahuanque@
@they drank; they drank water@|@atlia@
@they draw away; they withdraw@|@motzinquixtia@
@they draw blood from him@|@quizozo@
@they draw it; they paint it@|@quicuiloa@
@they draw water@|@atlatlacui@
@they dread his words@|@quitlatolimacaci@
@they dreaded it; they feared it; they feared him@|@quimacacia@
@they dream@|@temiqui@
@they dress themselves in blouses@|@mohuipiltia@
@they dress themselves in skirts@|@mocuetia@
@they drew him forth; they pulled him out@|@quihualanque@
@they drink@|@atli@
@they drink pulque@|@tlahtlahuana, tlatlahuana@
@they drink wine@|@tlahuana@
@they drove them out@|@quinquixtique@
@they dry it up@|@quihuatza@
@they dug it@|@oquitatacaque@
@they dwell together@|@cemonoque@
@they dwell; they live; they walk@|@nemi@
@they each carried it@|@quitmamama@
@they each carry out the feast@|@hiilhichihua@
@they each celebrate the feast@|@hiilhuitlamati@
@they each crackle@|@oncuecuepoca@
@they each entered; they entered; they got in@|@cacalacque@
@they each explode@|@oncuecueponi@
@they each go carrying it in their arms@|@quinanapalotihui@
@they each go; they disperse@|@huihui@
@they each one fell@|@huehuetzque@
@they each one get drunk@|@motlatlahuantia@
@they each proceeded on their way@|@ohuallotlatocac@
@they each sing; they sing@|@cuicuica@
@they each sleep@|@oncocochi@
@they eat@|@ontlacua@
@they embarked@|@macalaquique@
@they embraced them@|@quinnahuaya@
@they encircle it; they surround it@|@quiyahualoa@
@they encircled it@|@quiyahualotimomanque@
@they end up@|@tlami@
@they ended it; they left it@|@quihualcahuaya@
@they enjoy it@|@quimocuiltonoa@
@they enter@|@callaqui, mocalaquia@
@they enter from house to house@|@tepancacalaqui@
@they entered@|@calacque, callacque, hualcalacque@
@they entered by night@|@hualyoalcalacque@
@they entered during war@|@hualyaocalaquia@
@they entered in disguise@|@nahualcalaquia@
@they entered secretly@|@ichtacacalaquia@
@they entered swiftly@|@hualcalactihuetzia@
@they entered the boats@|@ommacalaquique@
@they entered; they went in; they submitted@|@oncalacque@
@they erected it@|@quiquequetzaya@
@they erred in it@|@quitlacoaya@
@they escape@|@maquiza@
@they escaped@|@ommaquizque@
@they escaped; they went out; they set forth@|@quizque@
@they escorted it; they carried it;they took him/it@|@quihuicaya@
@they esteemed her; they paid honor to her@|@quimahuiztiliaya@
@they esteemed it; they paid honor to it@|@quimahuiztiliaya@
@they exalt their manhood@|@moquichquetza@
@they exerted themselves@|@mochicahuaya, mochicauhque@
@they exhorted her@|@quitlatlauhtiaya@
@they faced people@|@teittaque@
@they fainted@|@yolmicque@
@they fall@|@huetzi@
@they fall; they sprinkle; they shower down@|@pixahui@
@they fast@|@mozahua@
@they fasted@|@mozauhque, tlacatlacuaya@
@they fasted twenty days@|@mocempoalzauhque@
@they fatten it@|@conchamahua@
@they fear his words@|@quitlatolimacaci@
@they fear it@|@quimacaci@
@they feasted others; they fed people@|@tetlacualtia@
@they fed it to them@|@quincualtiaya@
@they fed them@|@quintlacualtique@
@they feed it to them; they make them eat it@|@quincualtia@
@they fell@|@onhuetzque@
@they ferried them across@|@quimonpanahuique@
@they filed their teeth@|@motlantzicuatiliaya@
@they filled their boats with them@|@quimacaltenque@
@they find it; they come upon it@|@quipantilia@
@they finished@|@tlamia@
@they fitted it; they inserted it@|@conaquiaya@
@they flash; they shine@|@pepepetlaca@
@they flatten it@|@qupatlahua@
@they flattened it@|@quicanahuaya@
@they flay her; they flay him@|@quixipehua@
@they flayed her@|@oquixipeuhque@
@they flayed her; they flayed him@|@quixipehuaya@
@they flayed them@|@quinxipehuaya@
@they fled@|@choloque@
@they flee@|@choloa@
@they flee; they run@|@hualmotlaloa@
@they fly@|@patlani@
@they follow a road; they follow along@|@otlatoca@
@they follow them@|@quimontoquilia@
@they followed pursuing them@|@quinhuallalochtocaque@
@they fool themselves; they deceive themselves@|@moztlacahuiaya@
@they formed it@|@quitlacatiliaya@
@they formed it; they placed it; they laid it@|@quitlaliaya@
@they formed them@|@oquinpicque, quinpiquia, quinpiquiya@
@they found it@|@oquinextique@
@they found it; they encountered it@|@quihualnamiquia@
@they found it; they saw it; they saw him@|@quittaque@
@they found them@|@oquinnamicque@
@they founded it@|@quitzintique@
@they founded things@|@tlapehualtileque@
@they free themselves; they escape@|@momaquixtia@
@they fulfilled; they made it@|@oquichiuhque@
@they gather them@|@quincenquixtia@
@they gathered it@|@quinenechicoaya@
@they gathered together@|@mocentlalique@
@they gave aunts to them@|@quinmahuitiaya@
@they gave him a name@|@quitocamacaya@
@they gave him offerings; they laid offerings@|@quitlamaniliaya@
@they gave it form@|@quitlacatiliaya@
@they gave it to him@|@conmacaque, quimamacaque@
@they gave it to him; they offered it to him@|@quimacaque@
@they gave it to them@|@quimonmaca, quimonmacaque, quinhualmacaque@
@they gave it to them; they offered it to them@|@quinmacaque@
@they gave it to us@|@techmacaque@
@they gave uncles to them@|@quintlatiaya@
@they gaze@|@tlachia@
@they get drunk@|@tlahuana@
@they get water@|@atlacui@
@they gird themselves@|@moolpia@
@they give birth@|@tlacachihuazque@
@they give flowers to people@|@texochimaca@
@they give him a name@|@quitocamaca@
@they give him a neck band@|@quicozcatia@
@they give it a metallic luster@|@quitemetzhuia@
@they give it a mouth@|@quicamatia@
@they give it a neck@|@quiquechtia@
@they give it a tongue@|@quinenepiltia@
@they give it to him@|@conmaca, quimaca@
@they give it to him (repeatedly)@|@qumamaca@
@they give it to him; they give it to them@|@quihualmaca@
@they give it to me@|@nechmaca@
@they give it to them@|@quinmamaca@
@they give it to them; they offer it to them@|@quinmaca@
@they give something to them@|@quintlamamaca@
@they give them (food); they serve (food) to them@|@quintlamaca@
@they give them pulque@|@quintlahuantia, quintlahuantiaya@
@they give themselves a name@|@quimotocayotia@
@they glisten; they radiate; they spread out@|@cuecueyahua@
@they glue it@|@quizaloa@
@they glued it@|@quizaloaya@
@they go@|@huih@
@they go about singing@|@melcicihuititinemi@
@they go along crying out@|@tzatzitinemi@
@they go along disguising themselves@|@mixpolotinemi@
@they go along entering@|@calactinemi@
@they go along looking up@|@onacotlachixtihui@
@they go bearing it@|@quitquitihui@
@they go before him; they go in front of him@|@quiyacana@
@they go calling it@|@quitocayotitihui@
@they go catching rabbits@|@tochantinemi@
@they go dancing@|@mihtotihtinemi, mitotitihui, quittotitihui@
@they go displaying it@|@quinextitiuh@
@they go encountering it@|@quinamictinemi@
@they go fearing it@|@quimacaztihui@
@they go forth@|@onquiza@
@they go gathering it@|@quinechticotihui@
@they go grasping it@|@caantinemi@
@they go hanging people@|@temecanitihui@
@they go in glory; they go in honor@|@mahuizotihui@
@they go lancing them@|@quinxixiltihui@
@they go leading people@|@teyacantihuia@
@they go leaving it@|@concauhtihui@
@they go naming it@|@quitocayotitihui@
@they go saying it@|@conitotihui, quitotihui@
@they go saying it to him@|@quilhuitihui@
@they go shouting at him@|@quitzatzilitihui@
@they go singing@|@cuicatihui, cuicatinemi@
@they go singing for them@|@quincuicatitihui@
@they go spearing rabbits@|@tochtzopinitinemi@
@they go taking it@|@concuitihui@
@they go to bury her@|@quitocatihui@
@they go to give him gifts@|@quitlamamacatihui@
@they go to meet him@|@quinamiquitihui@
@they go whirling@|@momamalacachotihui@
@they go; they depart; they migrate@|@hui@
@they got drunk@|@otlahuanque@
@they govern@|@tlapchohua@
@they governed@|@tlatocatque@
@they governed it@|@quipachoaya@
@they grasp@|@tlamotzoloa@
@they grasp it at the corner@|@quihualnacazhuitzana@
@they grasped it; they picked it; they took it@|@quicuique@
@they greet her; they greet him@|@contlapaloa@
@they greet him with tears@|@quichoquiztlapaloa@
@they greet them@|@quimontlapaloa@
@they grew large@|@ohuehueixque@
@they ground it up@|@oquitezque@
@they grow like dense hair@|@tlacuauhtzonquiza@
@they growl@|@huahualaca@
@they guard it with honor@|@quimahuizpia@
@they guard it; they watch it; they keep it@|@quipia@
@they guard the hill@|@tepepia@
@they guard the water@|@apia@
@they guard them@|@quinpia@
@they guarded it for him@|@quipialiaya@
@they guarded them; they kept them@|@quinpiaya@
@they guided them@|@quinhualyacantiaque@
@they gulp@|@tlatlaltequi@
@they had ascended@|@tlecoca@
@they had blocked it with a wall of maguey plants@|@quimetepantzacca@
@they had brought it@|@oquihuicaca@
@they had climbed up@|@tlecoca@
@they had faith in him@|@quineltocaque, quineltocaya@
@they had gone entering; they had gone penetrating@|@calactinenca@
@they had gone following him@|@oquitocatinenca@
@they had good knowledge@|@huellaizimatia@
@they had him drink it; they made him drink it@|@conitiaya@
@they had them dance; they made them dance@|@quimitotiaya@
@they hammered it@|@quitzotzonaya@
@they hang each of them; they hang them@|@quinpipiloa@
@they hang it@|@quipipiloa@
@they harass it@|@quitlinia@
@they harried him@|@cahuiltiaya@
@they harvest it@|@quipixca@
@they hasten@|@paina@
@they hasten along@|@hualmehualtia@
@they hatch@|@motlapana@
@they have antennae@|@cuacuacuahue@
@they have diarrhea@|@mapitza@
@they have him drink it@|@conitia@
@they have knowledge of green stones@|@chalchiuhiximati@
@they heap it up; they pile it up@|@contepeuhtitlalia@
@they hear it@|@quicaqui, quihualcaqui, quihualcaqui@
@they hear it from him@|@quicaquilia@
@they heard it@|@oquicacque@
@they heat them@|@quintotonia@
@they hiss@|@tlanquiquici@
@they honored her; they honored it@|@quimahuiztiliaya@
@they honored him@|@quimahuiztilique@
@they hooked it in the prow@|@quihualyacatzopinique@
@they hum@|@tlacacahuia@
@they hungered@|@apizmiquia@
@they hunt@|@tlatlama@
@they hunt them@|@quimonaci@
@they hunted; they were hunting@|@tlatlamaya@
@they hurl themselves@|@onmotepehua@
@they hurled them from a temple@|@quinteocalhuique@
@they hurriedly came to inform him@|@quinonotztihuetzico@
@they imagine it@|@quimopictia@
@they imagine it; they think it; they remember it@|@quilnamiqui@
@they impose tribute on us@|@techtequitia@
@they incite people@|@teyolehua@
@they incur sins; they do wrong@|@motlatlacolnamictia@
@they insert it into him@|@conaquilia@
@they insert maguey spines in themselves@|@mohuitztlalia@
@they inserted it@|@caquiaya@
@they interviewed them@|@quintlatoltique@
@they intoned it (i.e.@|@quehuilia@
@they introduced it; they began it@|@oquitzintique@
@they invented it@|@quinextique@
@they join together@|@monenepanoa@
@they keep casting it@|@contlaztimani@
@they keep changing it@|@quipatla@
@they keep circling about@|@tlatlayahualoa@
@they keep guard@|@ontlapia@
@they keep opening@|@cocoyontiuh@
@they keep packing it down@|@quixixiltinemi@
@they keep turning around@|@momalacachotinemi@
@they keep watch@|@ontlapia@
@they keep wetting him@|@capapachoa@
@they kept guard; they kept watch@|@ontlapiaya@
@they kept on binding it; they kept on tying it@|@quihilpiaya@
@they kicked it (each one)@|@conxoxopeuhque@
@they kill him@|@quinmictia@
@they kill him; they slay him; they kill it@|@conmictia@
@they kill people; they mistreat people@|@temictia@
@they killed people@|@temictique@
@they killed them@|@quinmictique@
@they killed them; they slayed them@|@oquimonmictique@
@they knew it@|@quiximatia, quiximatque@
@they knew it; they realized it@|@quimatque@
@they knew it; they understood it@|@quimiximatia@
@they knew; they realized@|@oquiximatque, oquiximatque@
@they knock it down@|@quimayahui@
@they know about it; they are familiar with it@|@quiximati@
@they know you@|@mitziximati@
@they laid a fire@|@tletlaliaya@
@they laid an offering down@|@ontlamanaya@
@they laid an offering down; they laid things@|@tlamanaya@
@they laid it down@|@contecaque@
@they laid it on him@|@conmanilique@
@they laid it out; they placed it@|@quitecaque@
@they laid offerings; they made offerings@|@tlamanaya@
@they laid them out@|@quinhualmanaya@
@they lay down their cares@|@intequiuh huetzi@
@they lay it; they lay it down; they lay it out@|@conmana@
@they lay out offerings for them@|@quintlmanilia@
