@English@|@Uyghur@
@Where is the airport?@|@Ayrudurum nede?@
@Where is the bar?@|@kavakh'hana nerde?@
@Where is the bathroom?@|@Hajatkhana Qayarda?@
@Where is the beach?@|@Dengiz boyi nerde?@
@Where is the pharmacy?@|@Hajatkhana Qayarda?@
@Where is the toilet?@|@Hajethana nede?@
@Where is the White House?@|@Akh Saray nerde?@
@where the post office is?@|@poxtihana nerde?@
@Where's the company?@|@Xirket nerde?@
@which@|@qaj@
@Which is the right size?@|@Khaysi olqem toghrisi bolar?@
@Which is your bag?@|@Sizning somkingiz khaysi?@
@Which would you prefer?@|@Siz khaysini tallaysiz?@
@white@|@akh, aq@
@white blaze@|@qašqa@
@white lead@|@upa@
@who@|@kem, kim@
@Who are you writing to?@|@Siz kimge het yezivatisiz?@
@Who are you?@|@Siz kim bolisiz?@
@Who do you think you are?@|@Ozengni kim dep kharaysen?@
@Who is the lady in white?@|@Akh kiyim kiygen khiz kim?@
@Who says?@|@Kim didi?@
@Who told you that?@|@Kim sizge depkhoydi?@
@Who told you?@|@Sizge kim didi?@
@Who's calling?@|@Kimning telefoni?@
@Who's kicking off?@|@Kimge novet keldi?@
@Whose pen is this?@|@Bu kimning khelimi?@
@Why did you go there?@|@U yerge nime uqun bardingiz?@
@Why did you stay at home?@|@Siz nime uqun oyde turisiz@
@Why don't you agree?@|@Siz nime uqun khoxulmaysiz?@
@Why not tomorrow?@|@Ete khilsakh khandakh?@
@Why not?@|@Nime uqun bolmaydu?@
@wick@|@pilik@
@wide@|@käng@
@widower@|@tul@
@wife@|@ayal, Hotun@
@wild animal@|@kijik@
@wild game@|@ang@
@wild horse@|@khulan@
@wild turkey@|@ular@
@will@|@kuse-@
@Will it rain tomorrow?@|@Ete yamghur yaghamdu?@
@willow@|@säwät, tal@
@win@|@oz-@
@wind@|@buran, jäl, shamal, xamal@
@wind round@|@bur-@
@window@|@dérize, tünglük@
@windpipe@|@önggäch@
@windy@|@boranlikh@
@wine@|@üzüm hariqi@
@wing@|@qanat@
@winter@|@qiš, qish@
@Winter@|@khix@
@Winter is a cold season@|@Khix pesil soghokh bolidu.@
@Witch pleasure@|@Bek hoxal boldum@
@With pleasure@|@Elbette bolidu@
@without saddle@|@jawdaq@
@wolf@|@böre, böri@
@woman@|@Hotun, xotun@
@wonder@|@tang@
@wood@|@orman@
@wooden nail in camel's@|@bujla@
@wooden plough@|@boqusa, buqusa@
@wool@|@jung, yung, žung@
@word@|@söz@
@world@|@dunya@
@worm@|@khurut, qurt, qurut@
@worse@|@yamanrakh@
@worship@|@tev-in-@
@Would 2 o'clock be all right?@|@Saet 2 de vakhtingiz qikhamdu?@
@Would you call back tomorrow?@|@Ete telefon bersingiz bolamdu?@
@would you give me a hand?@|@manga bir yardem beringe?@
@Would you like a cup of tea?@|@Bir qine qay iqemsiz?@
@Would you like s.th. to drink?@|@Azrakh uslukh iqemsiz?@
@Would you like some help?@|@Sizge yardem kerekma?@
@wound@|@jara@
@Wrap it with plenty of paper@|@Jikh kheghez bilen orang@
@wrestle@|@küräš-@
@wrist@|@bilek@
@wrong@|@hata@
@yak@|@khotaz, qotaz@
@year@|@jaš, jaš, jil@
@Year@|@Yil@
@yellow@|@sariq, serikh, sériq@
@yellow of a horse@|@žirän@
@yellow rat@|@serikh qaxkhan@
@yellow weasel@|@aghmighan@
@yes@|@He'e@
@Yes; I am@|@He'e; xundakh@
@Yes; I suppose So@|@He'e; men xundakh kharaymen@
@Yes; it is@|@He'e; u mening@
@yesterday@|@tünögün, tünügün@
@yesterday night@|@tünögün keqte@
@you@|@sen@
@you (formal)@|@siz@
@you (pl)@|@siler@
@you (pl.) took@|@aldinglar@
@you (pl.) will go@|@barisiler@
@you (polite) took@|@aldingiz@
@you (polite) will go@|@barisiz@
@you (sg.) took@|@alding@
@you (sg.) will go@|@barisen@
@You are a chicken@|@Sen bir toho yurekkensen@
@You are about to be there@|@Az khaldingiz@
@You are just in time@|@Del vakhtida keldingiz@
@You are out of your mind@|@Kallangdin ajridingmu nime?@
@You are the man of my dreams@|@Sen meing yurugimdiki kixi@
@You are very beautiful@|@Bek güzelsen@
@You asked for it@|@Uni ozeng tapkhan@
@You asked for it!@|@U ozeng tapkhan balaghu!@
@You bastard!@|@Yitim khalghan oghri!@
@You can get what you want@|@Ozingiz halighanni eling@
@You can make it!@|@Sen khilalaysen!@
@You can't miss it@|@Qokhum tapalaysiz@
@You did fairly well!@|@Siz yaman emes khildingiz!@
@You did right@|@Siz toghra khildingiz@
@you don't have to take it@|@anglimisingiz oz meylingiz@
@You drink too much coffee@|@Siz bek jikh koffe iqisizken@
@You have a lot of nerve@|@Yuzung khilin birnime kensen@
@You have my word@|@Men khesem berey@
@You have the final say@|@Sizning diginingiz rast@
@You have to take a taxi@|@Taksi bilen berix lazim@
@You look elegant in that dress@|@Bu yupka sizge bek yarixiptu@
@You look guilty@|@Hatalaxkhandek turisen@
@You make me sick!@|@Iqimni ilixturveting jumu!@
@You may go in now@|@Siz kirsingiz bolidu@
@You name the time@|@Vakhitni siz belguleng@
@You need an injection@|@Sizge okul selex lazim@
@You need to workout@|@Siz qenikhixingiz lazim@
@You never know@|@Belkim xundakhtu@
@You owe me one@|@Meng uninggha kherizdar@
@You piss me off@|@Taza aqikhimni kelturdung@
@You really look sharp today@|@Bugun bek yasinivapsiz@
@You set me up!@|@Sen meni aldap salding, Sen meni setiveting@
@You shouldn't have done that!@|@Uni khilmisang boluptiken!@
@You stupid jerk!@|@Sendek ahmakhni!@
@You'd better hurry up@|@Qapsanrakh mangsang bolamdikin@
@You'll be sorry@|@Puxayman khilisen@
@young@|@jaš, yax@
@young animal@|@bala@
@young lamb@|@bojdaq@
@young of camel@|@bota@
@younger brother@|@ini@
@younger sister@|@singil@
@younger wife@|@toqal@
@your (pl.) child@|@balanglar@
@your (pl.) name@|@isminglar@
@your (polite) child@|@balingiz@
@your (polite) name@|@ismingiz@
@your (sg.) child@|@balang@
@your (sg.) name@|@isming@
@Your hand feels cold@|@Kholingiz muzdek tuyulidu@
@You're a disgrace@|@Yuzung yokh birnimekensen@
@You're a good dancer@|@Siz tansini yahxi oynaysizken?@
@You're a jerk!@|@Tayini yokh birnimikensen!@
@You're a joke!@|@Yarimas birnimekensen@
@You're a pain in the ass@|@Ademni zirikturvetting@
@You're an asshole@|@Huy; imansiz juvaynimek@
@You're away too far@|@Bek axurvetting@
@You're crazy!@|@Sarang boldungmu!@
@You're impossible@|@Sen ongxalmaysenken@
@You're so careless@|@Tazimu khopal birnimekensen@
@You're such a bitch!@|@Jalap!@
@You're Very Kind!@|@siz bak aQ kOngul ikansiz !@
@You're welcome@|@Hiqkhisi yokh@
@You're Welcome!@|@Tuzut Qilmang !@
@Youth and hope@|@Yaxlikh ve ümid@
@You've changed little@|@Siz heqkhandakh ozgermepsiz@
@You've gone too far!@|@Emdi axuruvetting!@
@You've got a point there@|@Gepingning mezmuni bar jumu@
@You've ruined everything@|@Hemme ixni sen buzdung@
@zebra@|@zebra@

