@English@|@Ojibwe@
@too much!@|@ozaam igo! (pc)@
@too much: be ~@|@aniwise (vai), aniwise (vii)@
@too much: put ~ of SO@|@aniwishim (vta)@
@too much: put ~ of ST@|@aniwisidoon (vti2)@
@too much: put ~ of TH@|@aniwisaachige (vai)@
@too much: sleep ~@|@ozaamingwaam (vai)(SE/NE/CS), ozaamingwaamo (vai)(NE)@
@too much: talk about SO ~@|@nibaazom (vta)@
@too much: talk about ST ~@|@nibaazondan (vti)@
@too much: talk to SO ~@|@nibaazom (vta)@
@too much: talk to ST ~@|@nibaazondan (vti)@
@too much: this is  ~!@|@onzaamakamig! (pc)@
@too much: warm (food) ~@|@ozaamizekwe (vai)(SE/NE)@
@too often __@|@nibaaji- (pv4)@
@too slow@|@medas (pc)@
@too: fast ~ long@|@ozaamanaandam (vai2)@
@too: he/she ~@|@ge-wiin (pc)@
@too: me ~@|@ge-nii (pc)(SE), ge-niin (pc)@
@too: talk ~ much@|@nibaadwewetoo (vai)(NW/WO)@
@too: they ~@|@ge-wiinawaa (pc)@
@tool@|@aabajichigan+ag, aabajichigan+an, aabajitoowin+an, ayoojigan+an (AL), anokaazowin+an (SE), biiwaabik+oon (NW/WO)@
@tool for making holes@|@bagwane'igan+an, bagone'igan+an@
@tool for making mortise@|@bagwane'igan+an, bagone'igan+an@
@tool: buy ~s@|@manaabajichigane (vai)(NW)@
@tool: cooking ~@|@jiibaakwe-anokaazowin+an@
@toolbox@|@biiwaabikowazh+an (NW/WO)@
@toolshed@|@anokaazowinigamig+oon (SE)@
@tooth@|@miibid+an (NW/WO), wiibidaamaa+n, wiibid+an (NW/SE/PO), wiibidaang (loc)(NW/SE/PO)@
@tooth decay@|@banaadaabidewin+an, bigishkanaabidewin+an@
@tooth decay: have ~@|@banaadaabide (vai), bigishkanaabide (vai)@
@tooth: back ~@|@ishkweyaabid+an (NW)@
@tooth: be ~ed@|@inaabide-ayaa (vii)(CN/NW)@
@tooth: be ~less@|@mitaashkanige (vai)@
@tooth: be gap-~ed@|@dawaabide (vai), dawaskono (vai)@
@tooth: be hollow/concave ~-shaped@|@waanabide (vii)@
@tooth: beark OS ~ falling@|@bookwaabideshin (vai)@
@tooth: beaver ~@|@amikwaabid+an (CN/NW)@
@tooth: break OS ~@|@bookwaabide (vai)@
@tooth: break SO’s ~@|@bookwaabiden (vta)@
@tooth: canine ~@|@oshkiinzhigwaabid+an@
@tooth: eye-~@|@oshkiinzhigwaabid+an@
@tooth: false ~@|@wiibidikaan+an@
@tooth: get ~ filled@|@bagowaabide (vai)@
@tooth: get ~ fixed@|@bagowaabide (vai)@
@tooth: have a ~ extraction@|@zaagaabide (vai)@
@tooth: have a ~ fall out@|@binaabide (vai)@
@tooth: have a bad ~@|@maanaadaabide (vai)@
@tooth: have a broken ~@|@bookwaabideshkaa (vai)@
@tooth: have a canine ~@|@oshkiinzhigwaabide (vai)@
@tooth: have a flat ~@|@nabagaabide (vai)@
@tooth: have a forked ~@|@nasawaabide (vai)@
@tooth: have a gap from lost ~@|@dawaabide (vai), dawaskono (vai)@
@tooth: have a long ~@|@ginwaabide (vai)@
@tooth: have a loose ~@|@geshawaabide (vai)(NW)@
@tooth: have a replacement ~@|@aandaabide (vai)@
@tooth: have a rotten ~@|@banaadaabide (vai), wanaadaabide (vai)@
@tooth: have a sharp ~@|@giinibide (vai)@
@tooth: have a sore ~@|@gaagiidaabide (vai)@
@tooth: have a very long ~@|@gagaanwaabide (vai), gagaanwaakwaabide (NW/WO)@
@tooth: have an abscessed ~@|@miniiwaabide (vai)@
@tooth: have an eye-~@|@oshkiinzhigwaabide (vai)@
@tooth: have OS ~ come out@|@zaagaabide (vai)@
@tooth: have OS ~ erupt@|@zaagaabide (vai)@
@tooth: large ~@|@gitaabid+an, mangaabid+an@
@tooth: lose a ~@|@bakwadaabidese (vai)(NW/WO)@
@tooth: lose OS ~@|@binaabide (vai)@
@tooth: missing ~@|@dawaabide (vai), dawaskono (vai)@
@tooth: my ~@|@niibid+an, niwiibid+an(SE), niwiibidaang(SE)(loc)@
@tooth: my bad rotten ~@|@niibidaash+an (n0D)@
@tooth: new ~ coming in pushing out old teeth@|@zaagiji-aandaabide (vai)(CN)@
@tooth: pull ~ out@|@bakwadaabide (vai)(NW), bakodaabide (vai)@
@tooth: pull SO's ~ out@|@bakwaabidebizh (vta)@
@tooth: saw ~ straightener@|@minwaabide'igan+an@
@toothache@|@dewaabidewin+an@
@toothache medicine@|@aakwaabidaanjigan+an@
@tooth-ache medicine@|@wiibidaa-mashkiki+wan@
@toothache: have a ~@|@dewaabide (vai), dewibide (vai)@
@toothbrush@|@gizhiibiigabide'igan+an (WO), gizii'aabide'on+an (NW), giziiyaabide'on+an@
@toothless: be ~@|@bashwanige (vai)@
@toothpaste@|@gizii'aabidebimide+n (NW), giziiyaabidebimide+n, giziiyaabide'o-giziibiiga'igan+ag (NW)@
@toothpick@|@zhegwaabidehonaatig+oon, zhegwaabide'onaatig+oon (NW), zhegwaabide'on+an (NW/WO), nesegwaabide'on+an, zesegwaabide'on+an@
@toothpicker@|@nesegwaabide'on+an@
@tooth-pincers@|@bakwaabidebijigan+an@
@toothwort [plant]@|@makopin+iig@
@top@|@mayaawa'ii (pc)(AL), wanakong (pc)(loc), wanakowin+an@
@top (toy)@|@babaamigaajigan+an (SE), baamigaajigan+an (SE)@
@top [lid]@|@giba'igan+an@
@top [toy]@|@doowe'igan+ag, doowe'igan+an, ishkwesa'igan+ag@
@top [toy](CS)@|@biimigaajigan+an@
@top [toy](NE)@|@ishkwe'igan+ag@
@top back fin@|@oziidwa'igan+an (NW)@
@top of a crag@|@mayaawaabik (pc)(AL)@
@top of a rock@|@mayaawaabik (pc)(AL)@
@top of a tree@|@wanakwaatig+oog@
@top of hand@|@ogijininj (pc)@
@top of the head@|@mayaawoshtigwaan (pc)(AL)@
@top of the tipi: on ~@|@onakong (pc)(loc)(NW)@
@top of the water@|@desibiig (pc)@
@top: at the ~@|@ishpiming (pc)(loc)@
@top: at the tree~@|@onakong (pc)(loc)(NW)@
@top: be a hill ~@|@ogidaamadinaa (vii)(NW)@
@top: be fully a~ a mountain/hill@|@giizhaamajiwe (vai)@
@top: be the ~@|@wanakowiwan (vii)@
@top: bob on ~ of the water@|@deteba'angode (vii)(NW/WO), deteba'angojin (vai)(NW/WO)@
@top: climb to the ~@|@ogidaandawe (vai)(NW)@
@top: drag on ~@|@ogidaabii (vai)@
@top: drive on ~ of the sand@|@ogidaawangwebizo (vai)(CN)@
@top: float on ~ of the water@|@aabooshka'angode (vii)(NW/WO), aabooshka'angojin (vai)(NW/WO), ogijibiisin (vii)@
@top: float on ~ of the water suddenly@|@aabooshkanjise (vai)(NW/WO), aabooshkanjise (vii)(NW/WO)@
@top: fly and land on ~@|@ogijise (vai)@
@top: fly on ~@|@ogijibizo (vai)@
@top: fly to the ~@|@ogijibizo (vai)@
@top: have tracks seen on ~ of snow crust@|@wagidadewekawe (vai), ogidadewekawe (vai)@
@top: moccasin ~@|@makizin-agwiidaagan+an@
@top: on (~)@|@ogijayi'ii (pc), ogijiya'ii (pc)(NW)@
@top: on ~@|@agid- (pv3), agij-[y] (pv4), agiji- (pv4), wagid- (pv3)@
@top: on ~ of@|@agid- (pv3), agij-[y] (pv4), agiji- (pv4), wagid= (pv4), wagiji- (pv4), ogiji- (pv4)@
@top: on ~ of a mountain@|@ogidajiw (pc)@
@top: on ~ of it@|@wagijayi'ii (pc), ogijayi'ii (pc), ogijiya'ii (pc)(NW)@
@top: on ~ of ST@|@agijayi'ii (pc)@
@top: on ~ of the ground@|@ogidaki (pc)@
@top: on ~ of the hill@|@ogidadin (pc)(NW)@
@top: on ~ of the ice@|@ogidikwam (pc)(CN), ogijikwam (pc)(CN)@
@top: on a mountain ~@|@ogidaabik (pc)(NE)@
@top: on boat/canoe ~@|@wagidoonag (pc), ogidoonag (pc)@
@top: on the ~@|@wagij (pc)@
@top: on the tree ~@|@onakong (pc)(NW)@
@top: play with a ~@|@doowe'ige (vai)@
@top: quickly move to the ~@|@ogijibani'o (vai)@
@top: run on ~ of the sand@|@wagidaawangibatoo (vai), ogidaawangibatoo (vai)(NW)@
@top: scramble to the ~@|@ogijibani'o (vai)@
@top: sit on ~@|@ogidabi (vai)@
@top: skim on ~ of the water@|@ogijibiise (vai)@
@top: tree ~@|@wanak+ag (NW)@
@topple@|@gwanib= (pv4)(AL), gwenib= (pv4), gonib= (pv4)(AL)@
@topple over@|@bimagoode (vii), bimagoojin (vai)@
@topple TH@|@gwenibise (vai)@
@toque@|@wiiyakwaan+an (NW)@
@torch@|@waaswaagan+an@
@Torch Lake (MI)@|@Waaswewin"iganiing@
@torch stick@|@waaswaaganaak+oon@
@torment@|@gagwaadagitoowin+an, godagi'iwe (vai), godagi'iwemagad (vai)>(vii), godagi'iwewin+an, niisaanendaagozi (vai)(NW)@
@torment OS@|@godagi'idizo (vai)@
@torment SO@|@aanimi' (vta), gagwaadagi' (vta), godagi' (vta), godagim (vta)@
@torment ST@|@godagitoon (vti2)@
@torment: be ~ed@|@ojaaniminezi (vai)@
@torment: feel greatly ~ed@|@ojaaniminezi (vai)@
@torn -@|@biigo- (pv4)@
@torn (in thought)@|@gwiinawi- (pv4)@
@torn off: be ~@|@giishkibijigaade (vii), giishkibijigaazo (vai)@
@torn: be ~@|@biigobijigaade (vii), biigobijigaazo (vai), biigoshkaa (vai), biigoshkaamagad (vai)>(vii), giishkibijigaazo (vai), niigoshkaa (vai), niigoshkaa (vii)@
@torn: be ~ to pieces@|@niigoshkaa (vii)@
@torn: be ~ to small pieces@|@biisibijigaade (vii)@
@tornado@|@aashi-bishidoosh+iig (CN), Bezhibayaash (nom)(CS), bisiibisidoo+g (AL/NE), bisipisidoosh+iig, gaa-gizhibaabizod+jig (SW), zhabishajooshi+wag (NW), mizhakii-noodin (nom)(CS), wese (vii), zibisidooshi+wag (NW/WO), zibisidoosi+wag (WO)@
@Tornado@|@Wese'an (nom)@
@tornado spirit@|@bisipisido'aash+iig, bisipisidoosh+iig@
@Tornado Spirit@|@Misi-bidoosi (nom)(SW)@
@tornado: be ~@|@wese'an (vii)@
@tornado: be a ~@|@gizhibaayaanimad (vii)@
@Toronto (ON)@|@Biidaaboojigewaajig-agoojin@
@Toronto Island (ON)@|@Minising@
@Toronto Portage (ON)@|@Gichi-giiwengong@
@torpid: be ~@|@bekaadizi (vai)(AL/NE)@
@torpid: be very ~@|@babekaadizi (vai)(RD)(AL/NE)@
@torrent (rain)@|@ziiginibiisaa (vii)@
@torso: my ~@|@niiyaw@
@tortilla@|@bibine-bakwezhiganiigin+ag (NW)@
@tortoise@|@gichi-mishiikenh+yag@
@torture@|@godagi'iwe (vai), godagi'iwewin+an@
@torture SO@|@gagwaadagi' (vta), godagi' (vta)@
@toss game@|@babasikawaan+ag, babasikawewin+an (CS)@
@toss game stick@|@basikawaan+ag, basikawaanaak+oon@
@toss game: play ~ [(f) game]@|@babasikawe (vai)@
@toss SO@|@apagizh (vta)@
@toss SO (water) out@|@ziigiwebin (vta)@
@toss SO aside@|@ikowebin (vta)@
@toss SO on a rack/shelf@|@desaakowebin (vta)(NW)@
@toss SO upwards@|@ombiwebin (vta)@
@toss ST@|@apagidoon (vti2)@
@toss ST (water) out@|@ziigiwebinan (vti)@
@toss ST aside@|@ikowebinan (vti)@
@toss ST on a rack/shelf@|@desaakowebinan (vti)@
@toss: be ~ed out (of the water/fire)@|@agwaaweba'o (vai)@
@Totagatic Lake (WI)@|@Dootoogaatigo-zaaga'igan, Dootooganowan-zaaga'igan@
@Totagatic River (WI)@|@Dootoogaatigo-ziibi, Dootooganowan-ziibi@
@total@|@bizhishig (pc)(NE), maamawiginjigan+an (NO/NW/WO), maawandoogindaasowin+an, maawigindaasowin+an (NW/WO)@
@total -@|@gigi- (pv4)@
@total SO@|@maawandoogim (vta)@
@total ST up [with an account]@|@maawandoogindan (vti)@
@total up@|@asigagindaaso (vai)@
@total up [with an account]@|@maawandoogindaaso (vai), maawigindaaso (vai)(NW/WO)@
@total up ST@|@dibagindan (vti)(AL/NW/WO)@
@total: be the ~ number@|@izhiini (vai)(NE)@
@tote bag@|@mashkimod+an@
@totem: have a ~@|@odoodemi (vai+o)@
@totem: have the same ~ as OA@|@odoodemindi+wag (vaip)@
@totem: my ~@|@indoodem+ag (n3D), nindoodem+ag (n3D)@
@totter@|@goshkwese (vai)@
@touble SO@|@ojaanima' (vta)@
@touch@|@dookibii'ige (vai), dookiniwe (vai), gagwedinige (vai), zaaminiwe (vai)@
@touch [lying together]@|@zagishin (vai)(SE), zagisin (vii)(SE)@
@touch bottom: stand and ~@|@debakiishkige (vai)(CN)@
@Touch Downing Bird@|@Omizhakiiwibines (nom)(voc)@
@touch OA@|@daanginidi+wag (vaip)@
@touch OS@|@daanginamaadizo (vai), daanginidizo (vai)@
@touch pad@|@jaka'igan+an, inoo'igan+an (NW)@
@touch SO@|@dookin (vta), zaamin (vta)@
@touch SO [body part] using tongue@|@zaamam (vta)(NW/WO)@
@touch SO using body@|@zaamishkaw (vta)@
@touch SO with hand@|@daangin (vta)@
@touch SO wrong@|@wanin (vta)@
@touch SO’s finger@|@zaamininjiin (vta)@
@touch SO’s foot@|@zaamiziden (vta)@
@touch SO’s hand@|@zaamininjiin (vta)@
@touch SO’s head@|@zaamitigwaanen (vta)@
@touch SO’s leg@|@zaamigaaden (vta)@
@touch SO’s stomach@|@zaamimisaden (vta), zaamisaden (vta)(NW)@
@touch ST@|@dookinan (vti), zaaminan (vti)@
@touch ST (using hand)@|@daanginan (vti)@
@touch ST [body part] using tongue@|@zaamandan (vti)(NW/WO)@
@touch ST using body@|@zaamishkan (vti)@
@touch ST wrong@|@waninan (vti)²@
@touch TH accidently@|@bitaakoshin (vai), bitaakosin (vii)@
@touch TH belonging to SO@|@daanginamaw (vta)@
@touch TH in relation to SO@|@zaaminamaw (vta)@
@touch TH relating to SO@|@daanginamaw (vta)@
@touch the water with SO@|@daangagwinjim (vta)(CS/CN/NE), daangagwiinjim (vta)(SE), daangagonjim (vta)(SW/NW)@
@touch the wrong SO@|@wanin (vta)@
@touch the wrong ST@|@waninan (vti)²@
@touch: don't dare to ~ SO@|@manaajibizh (vta)@
@touch: don't dare to ~ ST@|@manaajibidoon (vti2)@
@touch: feel ST by ~@|@biiyiijimanjitoon (vti)(CN)@
@touch: lie ~ing@|@daangishin (vai), daangisin (vii)@
@touch: make ST ~ TH@|@daangisidoon (vti2)@
@touch: recognize SO [by feel/~]@|@nisidomiikon (vta)@
@touch: recognize ST [by feel/~]@|@nisidomiikonan (vti)@
@touch: test SO by ~@|@gagwedin (vta)@
@touch: test ST by ~@|@gagwedinan (vti)@
@touching: put SO ~@|@daangishim (vta)@
@touching: put ST ~@|@daangisidoon (vti2)@
@touch-me-not@|@omakikii-ziiwaakwaan+an (NE)@
@touch-me-not [plant]@|@omakakiibag+oon, ozaawashkojiibik+ag@
@touch-me-not: spotted ~@|@wiimbashk+oon (NW), omakikiibag+oon (CS)@
@touch-me-not: spotted ~ [plant]@|@ozaawashkojiibik+ag@
@tough: be ~@|@zhiiban (vii), zhiibizi (vai), zhiibisin (vii), zoongizi (vai)@
@tough: be ~ened [by heat]@|@mashkawide (vai)@
@tough: be made ~ [by heat]@|@mashkawizo (vai)@
@Toughkenamon (PA)@|@binesiiwadinaang@
@toupée@|@wiinizisikaan+an@
@tourist@|@bebaamaadizid+jig, biiwide+g, omawadishiwe+g (NW/WO)@
@tourist: be a ~@|@biiwidewi (vai)(NW)@
@tourniquet@|@ziindapijigan+an, ziinda'igan+an@
@tourtière@|@wiiyaas-debaate+g@
@tow@|@wiikodaabii (vai)@
@tow line@|@zagapijigan+an, zagapizoneyaab+iin (NW)@
@tow SO@|@zagapizh (vta)@
@tow ST@|@zagapidoon (vti2), zagaa'oodoon (vti2)@
@tow TH@|@zagapijige (vai)@
@tow: be ~ed@|@zagapide (vii), zagapizo (vai)@
@tow: unable to ~ SO [too burdensome]@|@bwaawibizh (vta)@
@tow: unable to ~ ST [too burdensome]@|@bwaawibidoon (vti2), bwaawinan (vti)@
@Towanda (PA)@|@Odaawandemong@
@Towanda Lake (WI)@|@Nandawendan-zaaga'igan@
@toward@|@inagakeyaa (pc), inakakeyaa (pc), nakakeyaa (pc)@
@toward the speaker@|@ba- (pv2), bi- (pv2), bya- (pv2)(PO)@
@toward: turn ~s while sitting@|@bi-gwekabi (vai)@
@toward: turn ~s while standing@|@bi-gwekigaabawi (vai)@
@towards@|@ani- (pv2), inakaag (pc), inakake (pc)(CS), inakake'aa (pc)@
@towards a destination@|@apiisikaa (vii)@
@towards night@|@eni-dibikak (pc)@
@towards the inside@|@biindig inagakeyaa (pc)@
@towards the south@|@zhaawanong inagakeyaa (pc)@
@towel@|@gaasiingwaan+ag (NW), gaasiingwaan+an (NW), gaasiingwe'oniigin+oog (WO), giziingwaan+ag, giziingwe'on+an@
@towel: dish ~@|@baangwaabika'iganiigin+oon, gaasii'igan+an (CS), gaasiingwaaniigin+oon, giziiyaabika'igan+an, giziiyaabika'iganiigin+oon, giziinaaganaaniigin+oon (NW)@
@towel: dish~@|@gaasiinaaganaan+an (NW), gaasiinaaganiigin+oon@
@towel: hand ~@|@gaasiingwaagan+an (NW/WO), giziininjaagan+an@
@towel: paper ~@|@giziininjii'on+an@
@tower mustard@|@misajidamoowaanow+ag@
@tower: watch-~@|@onzaabiwin+an (NW)@
@towing rope@|@zagapizoneyaab+iin (NW)@
@town@|@dazhiikewin+an (NW), danakiiwin+an, daawin+an, oodena+wan, oodenaw+an (SE), oodewin+an (SE)@
@town: at/from/in/to ~@|@oodenaang (loc)@
@town: be a ~@|@oodetoo+wag (vaip), oodenaawan (vii), oodenawi (vai)@
@town: go to ~@|@oodetoo (vai)@
@town: in our nation’s ~@|@nii'inawizi oodenaang (pc)@
@town: in our people’s ~@|@nii'inawizi oodenaang (pc)@
@town: live in a ~@|@oodenawaadizi (vai)@
@town: out(side) of ~@|@agwaji-oodena (pc), agwaj-oodenaw (pc)@
@toxic@|@bichibowin+an@
@toxicodendron rydbergii@|@animikiibag+oon@
@toy@|@odaminwaagan+an (NW), odaminwaagan+an (SW), odaminwaaganens+an (CN/NW), odaminwaaganensikaan+an (CN/NW), odaminwaanzhis+an (NE), odaminoowaagan+an (CS)@
@toy: plastic ~@|@gaaskiigino-odaminwaaganensikaan+an@
@toy: use TH as a ~@|@odaminwaage (vai)@
@Tozier Camp (MN)[Pine]{Historical village}@|@Gibaakwa'iganing@
@trace@|@okawiwin+an@
@Trace Figures in the Sky Woman@|@Mazini'igiizhigok (nom)(voc)@
@trace ST@|@naabibii'an (vti)@
@Trace the Sky Woman@|@Mazini-giizhigok (nom)(voc)@
@trace: find/see ST’s ~s@|@okawitoon (vti2)@
@trace: leave a ~@|@nametoo (vai), nameshin (vai), namesin (vii)@
@trace: sled ~s@|@odaabaaneyaab+iin (NO/NW)@
@tracer@|@biminizha'igan+an@
@track@|@bimikawaan+an, bimikawewin+an, noosone'ige (vai)@
@track -@|@name- (pv4)@
@track game@|@nawazwe (vai)(AL)@
@track game with dogs@|@mikonigii (vai)(AL)@
@track SO@|@bima'azh (vta), noopinazh (vta), nooswa'azh (vta), nooswane' (vta), noosone' (vta), okawi' (vta)@
@track SO to water@|@bakobii'azh (vta)@
@track ST@|@noosone'an (vti), okawitoon (vti2)@
@track: act of ~ing@|@noosone'igewin+an@
@track: be ~ed@|@biminizha'igaade (vii)@
@track: be ~s@|@okawinaade (vii)@
@track: be a ~ of certain width@|@inigokwadeyezhisin (vii)@
@track: be many ~s visible@|@minjikawe+wag (vaip)@
@track: begin ~ing@|@maada'ookawe (vai)@
@track: begin ~ing SO@|@maada'azh (vta)@
@track: come leaving ~s@|@biijikawe (vai)@
@track: find/see SO’s ~s@|@okawi' (vta)@
@track: find/see ST’s ~s@|@okawitoon (vti2)@
@track: go about making ~s@|@babaamikawe (vai)@
@track: have ~s seen on a road@|@okawamon (vii)@
@track: have ~s seen on a trail@|@okawamon (vii)@
@track: have ~s seen on top of snow crust@|@wagidadewekawe (vai), ogidadewekawe (vai)@
@track: have a visible ~@|@okawi (vai)@
@track: have two ~s@|@niizhokanawe+g (vaip)@
@track: leave ~s@|@namenam (vai2)@
@track: leave ~s going along@|@bimikawe (vai)@
@track: leave ~s going away@|@animikawe (vai)@
@track: leave ~s going there@|@izhikawe (vai)@
@track: leave ~s in deep snow@|@bimaagonagiikawe (vai)(NW/WO)@
@track: leave a ~@|@okawi (vai)@
@track: leave footprint ~s@|@ezhizidekawe (vai)@
@track: leave large ~s behind@|@mangishkam (vai2)@
@track: leave making ~s@|@maajiikwe (vai)@
@track: leave small ~s behind@|@biiwishkam (vai2), biiwishkam (vai2)(CS)@
@track: leave very large ~s behind@|@mamaangishkam (vai2)(RD)@
@track: leave very small ~s behind@|@baapiiwishkam (vai2)(RD)@
@track: look for ~s@|@andookawe (vai), nandookawe (vai), nandookawechige (vai)@
@track: look for SO’s ~s@|@nandookawe' (vta)@
@track: make ~s@|@bimikawe (vai)@
@track: make very large ~s@|@mamaangikawe+wag (vaip)(RD)(SE)@
@track: railroad ~@|@odaabaanikana+n (SE/CS/SW), odaabaanikana+wan (NW/WO)@
@track: railroad ~s@|@biiwaabikomiikana+wan (NW/WO)@
@track: see ~s of SO@|@ogikawi' (vta)(NE)@
@track: skidoo ~@|@ozideyaab+iin@
@track: snowmobile ~@|@ozideyaab+iin@
@track: start to make ~s@|@maajiikwe (vai)@
@track: step in the same ~s@|@naaba'anidizo (vai)@
@track: there are ~s@|@bimikawaade (vii)@
@tracker@|@biminizha'igan+an@
@tracking dog@|@mikomaanjigewasim+oog@
@tracks begin/go on@|@maajiikawe (vai)@
@trackway@|@odaabaanikana+n (SE/CS/SW), odaabaanikana+wan (NW/WO)@
@tract: be ~@|@na'inaashizi (vai)@
@tractor train driver@|@odaabiiwinini+wag@
@trade@|@adaamidiwin+an (NW), adaandiwin+an, adaawe (vai), adaawewin+an, inanokiiwin+an, meshkwadoonigewin+an@
@trade [occupation]@|@anokiiwin+an@
@trade for TH@|@meshkwadoonige (vai)@
@Trade Lake (WI): Big ~@|@Odaawaa-zaaga'igan@
@Trade Lake (WI): Little ~@|@Odaawaa-zaaga'igan@
@Trade Lake (WI)[lake]@|@Adaawe-zaaga'igan@
@Trade Lake (WI)[village]@|@Adaawe-zaaga'iganiing@
@trade OA TH@|@adaamidi+wag (vaip)(NW), adaandi+wag (vaip)@
@Trade Quillfeather@|@Adaawegwanebi (nom)@
@Trade River (WI)(river)@|@Odaawaa-ziibi@
@Trade River (WI)(village)@|@Odaawaa-ziibiing@
@Trade River (WI)[river]@|@Adaawan-ziibi@
@Trade River (WI)[village]@|@Adaawan-ziibiing@
@trade SO@|@meshkwadoozh (vta)@
@trade SO/ST@|@adaawe (vai+o)@
@trade ST@|@meshkwadoon (vti2), meshkwadoonan (vti)@
@trade TH with OT@|@meshkwadoonamaage (vai)@
@trade TH with SO@|@adaam (vta), meshkwadoonamaw (vta)@
@trade with SO@|@adaawam (vta), adaawezh (vta)@
@trade: SO ~d for goods@|@adaawaagan+ag@
@trade: ST ~d for goods@|@adaawaagan+an@
@trader@|@adaawewininii+g (AL), adaawewinini+wag, babaamadaawewinini+wag@
@trader: be many ~s@|@adaawewininiikaa (vii)@
@trader: store ~@|@adaawewinini+wag@
@trader’s business@|@adaawewin+an@
@tradesman@|@anokiiwinini+wag@
@tradesperson (f)@|@adaawewikwe+g, adaawewininiikwe+g@
@trading license@|@adaawe-mazina'igan+an@
@trading post@|@adaawewigamig+oon@
@trading: go about ~@|@babaamadaawe (vai)@
@tradition@|@ayaanike-dibaajimowin+an (RD), azhe-dibaajimowin+an, aanike-bimaadiziwin+an, gete-izhichigewin+an (NW), izhitwaawin+an@
@tradition of teaching@|@aanike-gikinoo'amaadiwin+an@
@tradition: Christian ~@|@anami'e-ayaanike-dibaajimowin+an@
@tradition: Indian ~@|@anishinaabe-izhitwaawin+an@
@tradition: old ~@|@gete-izhichigewin+an@
@traditional ecological knowledge@|@mewizha akiiwi-naanaagajichigewin+an (NW)@
@Traditional Ecological Knowledge@|@gayaazhi-akiiwi-gikendamowin+an@
@traditional faith: practice ~@|@manidooke (vai)@
@traditional feast@|@wiikwandiwin+an@
@traditional healer@|@nenaandawi'iwed+jig@
@traditional knowledge@|@gete-gikendaasowin+an (CN/WO)@
@traditional practice@|@anishinaabe izhichigewin+an@
@traditional story@|@aadizookaan+an@
@traditional story: protagonist of a ~@|@aadizookaan+ag (SW)@
@traditional teaching@|@aanike-gikinoo'amaadiwin+an@
@traditional: be a ~ non-Mide@|@zaagimaw (vai)@
@traffic [trade]@|@adaawe (vai)@
@traffic: produce ~@|@minjibizo+wag (vaip)@
@tragedy@|@maanzhisewin+an (NW)@
@tragedy: have a ~@|@maanzhise (vii)(NW)@
@trail@|@bimikawewin+an, gabadaagan+an, miikan+an (AL/CN/NE/SE), miikana+n (SE/CS/SW), miikanaans+an, miikana+wan (NW/WO), miikanens+an, miikaans+an@
@trail (track game)@|@nawazwe (vai)(AL)@
@trail along [flock/school]@|@bimaawadaaso+wag (vaip)@
@trail blaze in the bush@|@waabiskaakoga'igan+an, waasaakoga'igan+an@
@trail denova@|@giitwaam naanaagaji'igowin+an, miinawaa naanaagaji'igowin+an@
@trail goes by@|@bimamon (vii)@
@trail leads along@|@bimamon (vii)@
@trail leads SP@|@inamon (vii)@
@trail: across the road/~@|@agaamikana (pc)@
@trail: be a ~@|@miikanaawan (vii), miikanawan (vii)(NW/WO)@
@trail: be a side ~@|@bakemon (vii)@
@trail: be on SO’s ~@|@nandookawe' (vta)@
@trail: bear ~@|@makomii+n (NW/WO)@
@trail: blaze a ~@|@giiwekwaakwa'ige (vai)@
@trail: blaze trees on a ~@|@gikinawaadaakwa'ige (vai)@
@trail: crooked ~@|@washkamon (vii)@
@trail: dirt (sand) ~@|@mitaawango-miikanens+an (CN/NW)@
@trail: follow a ~ here@|@biida'adoo (vai)@
@trail: forest ~@|@dawaakwa'igan+an@
@trail: go to the woods on a ~@|@zhekaakwa'am (vai)@
@trail: grassy portage ~@|@gakiiweshkodaabaan+an (NW)@
@trail: have such a ~ to follow@|@inamochige (vai)@
@trail: have tracks seen on a ~@|@okawamon (vii)@
@trail: in the ~@|@mayaawikana (pc)@
@trail: join one ~ to another@|@nabwesadoo (vai)@
@trail: make a ~@|@miikanaake (vai)@
@trail: make a ~ for SO@|@miikanaakaw (vta)@
@trail: make such a ~ for SO to follow@|@inamotaw (vta)@
@trail: moose ~@|@moozomii+n (NW/WO)@
@trail: on the ~@|@mayaawikana (pc)@
@trail: other side of the ~@|@agaamikana (pc)@
@trail: portage ~@|@aazhawewesadaagan+an@
@trail: portage along a ~@|@gakiiwesadoo (vai)@
@trail: prepare a ~ for SO@|@miikanaakaw (vta)@
@trail: rabbit ~@|@waaboozoo-miikanens+an@
@trail: side ~@|@opime-miikana+n@
@trail: start to follow SO’s ~@|@maada'azh (vta)@
@trail: summer ~@|@niibinishi-miikana+wan (NW)@
@trail: the ~ divides/splits@|@bakemon (vii)@
@trail: the ~ forks/separates@|@bakemon (vii)@
@trail: the end of the ~@|@gabekana (pc)@
@trail: walking ~@|@bimose-miikan+an (AL/CN/NE/SE)@
@trail: water-carrying ~@|@nibinaadookana (n0)@
@trail: winter ~@|@biboonishi-miikana+wan (NW), bibooni-miikana+wan (WO), biboon-miikana+n@
@trailer@|@zagapijigan+an@
@trailer dwelling@|@zagapijigani-waakaa'igan+an@
@trailer house@|@zagapijigani-waakaa'igan+an@
@trailer: truck ~@|@odaabaan+an@
