@English@|@Laotian (romanized)@
@small elephant but has tusk@|@xang dor@
@small flying squirrel@|@tua bang noy@
@small green tree-frog@|@khiat khik@
@small gun@|@peun noy@
@small house for a guardian spirit@|@să:n chao, să:n pha phoum@
@small household pannier@|@ká tae@
@small intestine@|@lám sai noy@
@small knife@|@mit noy, pha i kom@
@small lenghthy vista@|@chong phong@
@small long bamboo trap for fish and small animals@|@xai@
@small lotus with a fine edible stem@|@bua bae@
@small man short man@|@khon tam@
@small marsh turtle with a rough red shell@|@tua hin@
@small member of the cat family@|@seua khiew@
@small mountain@|@phu noy@
@small palm tree whose pitch is edible@|@tao deng, tao noy@
@small part@|@sūa:n noy@
@small piece@|@nyoy@
@small pimple@|@si:v sien@
@small plate@|@chan noy@
@small pond fish@|@khaw kung@
@small pox@|@Mak suk mak sai@
@small red ant@|@deng xay, mot deng say, mot deng say@
@small roof@|@ngaep@
@small round bells on the collar of an animal@|@khor loy@
@small scar@|@paev@
@small short white mushroom shaped like a ball@|@tor por@
@small size@|@kha nat noy@
@small spade@|@sĭa:m@
@small spear@|@do mon@
@small species@|@naew noy@
@small spittoon@|@sú phan na si:@
@small spoon@|@buang noy@
@small storehouse for paddy rice@|@xom@
@small suspended bells@|@ka ding hao@
@small swamp or lake turtle@|@tua sa kon@
@small tree@|@kuay mu si, sá mek@
@small tree growing along watercourese@|@khai noun@
@small tree used for counterfeit@|@tang tun@
@small tree with long leaves which are used in salt water to make a sauce@|@sá thon@
@small type@|@ten xua@
@small unidentified bird@|@nork xay@
@small water containers made of pottery@|@me phat@
@small water-course@|@chan lao@
@small wild eggplant@|@Mak kheua khun@
@small woven pannier of bamboo with round holes at the bottom@|@ka pum@
@small yellow-green bird@|@chi chaep@
@smaller kingfisher@|@nork ten xiew@
@smaller than@|@noy kua, noy kua ni:@
@small-flowered blue lotus@|@bua baeng@
@small-mouted earthenware pot@|@ka phuk@
@smallpox@|@fi dat, khai thor la pit, pha yat mak suk@
@smaple for taste@|@chip berng@
@smart@|@bor kha bor khang, chim lim, ko, sá lard, sá lard@
@smash@|@thap, thup@
@smear@|@khian yang pheun pher, ta, vi lei pa na@
@smeared face@|@na vay@
@smell@|@dai kin, dom, dom ua, dum, kin, mi kin, seup kin, sōng kin, tha lung@
@smell bad@|@sá euan@
@smell fishy@|@mi kin khao@
@smell odor@|@dom kin@
@smell of@|@mi kin@
@smell of alcohol@|@mi kin lao@
@smell of fish@|@mi kin khao@
@smell strongly of@|@mi kin heng@
@smile@|@nyaem, nyim@
@smile back@|@nyim top@
@smile cheerful@|@nyim nyaem@
@smile drily@|@nyim haeng@
@smiling@|@nyim nyaem chaem sai@
@smirk@|@tham hay kheun@
@smithy@|@hong ti lek@
@smock@|@seua lom, seua lom@
@smock tobacco@|@dut ya@
@smoke@|@hom, khuan, lón khuan, nā phar lay, sû:p, thu ma, thun@
@smoke a pipe@|@dut kon, sû:p kong, sû:p kork@
@smoke opium@|@sû:p fin@
@smoke rising into the air@|@thuan thuan@
@smoke shell@|@lù:k kua@
@smoke signal@|@săn nharn khaum@
@smoke stain@|@xi@
@smoke tobacco@|@sû:p yar, thun ya@
@smoked fish@|@pa: yang@
@smoked meat@|@neua yang, xeen-yang@
@smoker@|@nāk soub@
@smokstack@|@pong khvan@
@smolder@|@sum@
@smolder in one's heart@|@sum you nay okl@
@smolder in one's mind@|@sum you nay chay@
@smooth@|@baen, hap, hap phiang, kieng, lia:ng, meun, nim mua:n, paen, ria:p, sá lear, thu sa bay@
@smooth off@|@sian@
@smooth the hair back by hand@|@seui, seui hua, seui phom@
@smooth with a plance@|@say kop@
@smooth with a plane@|@săy khorp@
@smoothly@|@hap meun@
@smoothly black@|@dam am tham@
@smsll container fo mseamed sticky rice@|@tip khao@
@smuggle@|@lorp nam, mor@
@smuggle in@|@lāk lorp ma@
@smuggled goods@|@sin khar ni: phar si:, sin khar ni: phar si:@
@snack@|@kin bai@
@snack served with alcohol@|@kheuang kaem@
@snack served with liquor@|@khong vang@
@snag@|@tor may@
@snake@|@ka ba sa, kan tao, kan tao, lork xeuak, ngiav, ngu, phu song, sáp pa, tam tan@
@snake bones@|@ka duk ngu@
@snake stripes@|@lá:y ngu@
@snake venom@|@phit ngu@
@snake zoo@|@sŭa:n sard ngou@
@snall shell@|@por hoy par@
@snap at@|@sûa:p@
@snap the fingers at@|@nyery nyan@
@snap up (in the teeth)@|@ngap or@
@snapper@|@ka phong deng@
@snare@|@buang bat, buang hua@
@snare for small game@|@hev@
@snare for small gane@|@buang@
@snatch@|@khup, nyeng, nyeng zerng, sá moay, xang nyard, xuang xing@
@snatch at food@|@sûa:p kin@
@snatch away@|@xing ao@
@snatch up@|@ká sark@
@sneak a glance at@|@seuad tar beung@
@sneak a look at@|@seuak tar@
@sneak away@|@lāk ni:@
@sneak off@|@phok ni@
@sneeze@|@cham@
@sniff@|@dom, dom kin, dom ua, dum, seup kin@
@sniff or dip snuff@|@nāt yar nāt@
@snipe@|@nork khi: ka deuan, nork sab deua noy@
@snood@|@pha mat hua@
@snot@|@khi dang@
@snow storm@|@pha yu hi ma, pha yu thi ma@
@Snow-clad@|@pok khom pay deuy hi ma, pok khom pay deuy hi ma@
@snowflake@|@ket hi ma@
@snub@|@kan du min du khaen@
@snub-nosed@|@dang maep@
@so@|@chang, cheung, dang ni, sá ni:, sŏm phor@
@so good@|@dee pan yang@
@so long as@|@tap dai@
@so much difficult@|@nyak kor bor va@
@so much the better@|@nying dee nyai, xam di@
@so much the worse@|@kor zang@
@so nothing is visible@|@dam pik@
@so so@|@khoy yu khoy kin@
@so that@|@dang nan, diav va, pheu va@
@so then@|@phoy va@
@so what@|@bor pen yang@
@soak@|@chum nam, chup, xae, xeum xeum, xó@
@soak in (a liquid@|@fum@
@soak into@|@xeum@
@soak raw silk in potash to bleach it@|@dong mai, dong mai@
@soak up@|@xeum sap@
@soaked@|@piak@
@soaked and powdered rice@|@khao beua@
@soaked sticky rice@|@khai na@
@soaking@|@heum@
@soaking wet@|@piak xok@
@soap@|@sá bu:@
@soap bubble@|@fong sa bu@
@soap suds@|@nàm sa bou@
@soapy water@|@nàm sa bou@
@soar up@|@pha yong kheun@
@soaring@|@nā phar kha ti@
@sob@|@horng hay sa euk sa eun, sá euk sá eun, sá eun, sĭa:ng sa eun@
@sober up@|@ka mua, sā:ng mao@
@soccer@|@sá nă:m te barn, sá nă:m te barn, te ban@
@soccer field@|@sá narm tae barn, sá narm tae barn@
@soccer football@|@fut ban@
@soccer football match@|@kheng khan tae ban@
@social circle@|@vóng sa mar khom@
@social circle society@|@vóng sung khom@
@social class@|@xon xan@
@social democratic@|@pá xar sung khom@
@social function reception@|@sá mo son san ni bard@
@social intercourse@|@sá mar khom@
@social life@|@sĕ: va nar@
@social science@|@săng khom sard@
@social welfare@|@pá xar song khor, săng khom song khor@
@social worker@|@ná:ng song khor@
@socialish@|@săng khom ni nhom@
@socialism@|@lāt thi sang khom ni nyom@
@socially@|@thang sang khom@
@socialogy@|@săng khom vi tha nhar@
@society@|@sá mar khom, săn ni bard, sūa:n huam@
@Society@|@săng khom@
@Society news@|@khao sang khom@
@sociology@|@pá xar khom vi tha nhar@
@socks@|@long thao san, thong tin son@
@sod@|@thot ya@
@soda@|@nàm so dar, xo da@
@sodanum verbascifolium@|@xang mou, xang mou@
@sodium@|@xo diem@
@sodomy@|@xam lao phit tham ma da ma nut@
@sofa@|@kao i non, kao i yao, tang@
@soft@|@bem, bon lom, chuang, meuk mua, nim, nim mua:n, noum, nuan, num, phuy, port paet, sú khoum, thia@
@soft body@|@khing aon@
@soft boiled egg@|@khai luak@
@soft cake is made from sticky rice pastel wrapped by banana leaf and cooked by steam@|@khao nam naem@
@soft down or fluff@|@puy@
@soft drink@|@nàm varn, xo da@
@soft meal@|@neua noum@
@soft palate@|@bai lin kay@
@soft rice@|@khao on@
@soft satisfying@|@Num jai@
@soft-boiled eggs@|@lùa:k khai@
@soft-boll an egg@|@luak khai@
@soften@|@het hay thu lao long@
@softly@|@sá ni ka, seuaw@
@soft-spoken@|@phu cha on van, vào char on varn@
@soil@|@din, khi din, mat ti ka, paet peun, thi din phor phuk@
@soil mixed with sand and clay@|@din khi mot@
@solace@|@lāo ló:m@
@Solanum sp@|@kheng nam@
@solar@|@să: vid@
@solar eclipse@|@ra hu soun ta ven@
@sold@|@khay leow, xeu leow@
@solder@|@chot lak@
@soldier@|@phi ra, phon, phon dap, phon tha han, sĕ: nar, tha han@
@sole@|@diav, thork@
@sole (foot)@|@fa tin@
@sole survivor@|@sá lord sá lor@
@solemn@|@sá ngar phar pheui, yang me phi thi@
@solemn vow@|@sát ta nhar thi tharn@
@solicitation@|@kham xern xuan@
@solicited@|@pha nit@
@solicitous@|@să: thon@
@solicitous devotion@|@hak a say@
@solid@|@kheng ken, kheun kheng, man kaen, naen, sá thă: phon, sá thi ra, thi ra, tib tan@
@solidarity@|@chit neung chay diav, chit neung chay diav, khuem theuk tong pong dong, kiav, să: mack khi:@
@solidified@|@kheng ka dang@
@solitary@|@nī ra khod, piav, piav phoy, sá ngard khon@
@Solitary@|@Ha@
@solitary and secluded@|@sork lek, sork lek@
@solitary monkey@|@li:ng tork@
@solitary person@|@khon piav@
@solitude@|@vi vek@
@solld@|@naen na@
@soluble material@|@să:n la lai@
@solution@|@kan tob lak chod, khor kae, ma ti, vi sard xa nar@
@solve@|@kae, kae khai, sá leui, xam la khuam@
@solve a problem@|@kae ban ha, sá leui ban har@
@solve mistake@|@kae phit@
@solvent financially@|@bor me ni me sin@
@somber@|@fang, kheum, kim@
@some@|@bang, lá:ng, lá:ng an, phong, song sarm an@
@some all (sentence final element of request)@|@dae@
@some day@|@bor me day kor meu neung, sák meu neung@
@some days@|@bang muea@
@some groups@|@bang phuak, lá:ng puak@
@some kind@|@lá:ng neo@
@some kinds@|@bang jang@
@some of us@|@phuak hua bang khon@
@some out@|@yang phai@
@some people@|@bang khon, bang phuak, dam khon, lá:ng khon, lá:ng phong@
@some place or places@|@lá:ng bon, lá:ng haeng, lá:ng haeng lang bon@
@some points@|@bang chut@
@some time or another@|@bor vae la dia kor vae la neung@
@some what@|@phor lang@
@some what as if it seems that@|@khay khay kap va@
@some what past freshness (for fruit)@|@xam la@
@some what recalcitrant@|@sá lork kork@
@some years@|@bang pi@
@somebody@|@buk khon dai buk khon neung, lá:ng khon@
@someday@|@meu day meu neung@
@someone@|@bang khon, buk khon dai buk khon neung@
@someplace@|@bang bon@
@something@|@an sung, bang jang, bang sing, bang yang, lá:ng nharng, sīng day, sīng day sing neung, sīng day sing neung@
@something foreign@|@khong nok@
@Something happened@|@mi nao phen pay@
@something protruding@|@ke de@
@something soft which hardens@|@keu deu@
@something which hangs down@|@nyoy@
@sometime@|@bang vae la@
@sometimes@|@bang khang bang khao, bang khao, bang khaung, bang theu, dam theu, lá:ng teua@
@somewhere@|@bang hang, thi day thi neung@
@somewhere here@|@thaep ni, thaep ni@
@somewhere there@|@thaep nan@
@son@|@but, but ta, da nut, lù:k ká chae, lù:k xai, sú ta@
@son of the king@|@pha ra sa but, pha ra sa o rom@
@son of the soil@|@lù:k sao hai sao na@
@son of the sun@|@kho but@
@son of victory@|@xai ya vong@
@song@|@bot peng, bot pheng, kon lam, pheng@
@son-in-law@|@lù:k kheui, xa da, xa don@
@sonorous@|@sĭa:ng thong, váng veng@
@sonorous sound@|@paeng paeng@
@sons of the same mother@|@sŏ: thon@
@soon@|@này bor xar ni:, này mor mor ni:, noy bor xar@
@Soon@|@mork@
@soon after@|@xa bor nan, yu bor nan, yu ma bor nan@
@sooner or later@|@bor van dia kor van neung, bor xa kor vai@
@soot@|@din mor, din mor, kha mao, khi kha mao, ma si@
@soot on a pot@|@min mor@
@soot; strings of soot@|@ngong ngaeng hing@
@soothe@|@kan kom chay, kom chay, kom khun, pá laow pa lom, pop chit pop chay, pop yon@
@soprano@|@sĭa:ng soung nhing@
@soprano violin string@|@să:y ek@
@sopu@|@kaeng@
@sorage charge@|@khā: fao du lae sa@
@sorcerer@|@pong khay@
@sorceress@|@me mon, me mot@
@sorghum@|@khao phang, leuay@
@sorrow@|@khuem sia chai, lā kam, pá ri thei va, sŏ: kar doun, sŏ: kar lay, tho ma nat, vi bark, vi bark nhark khaen@
@sorrow at the realization of the degeneracy of the age@|@tham ma sang vaet@
@sorrowful@|@sâo chay@
@sort@|@naew, pá karn, pá pheid khong narm, sīng, ván na, ván na, vi kard, xa nit, xerng, yang@
@sort of chinaroot or sarsaparilla vine whose rhizome is use medicinally@|@ya hua@
@sort of click beetle@|@tot sut@
@soul@|@át ta, chit, duang vin yan, khuan, phi khvuan, vin nharn@
@Soul@|@ming khuan@
@soulles@|@á nard tar@
@soulless@|@á vin nharn@
@sound@|@á phi thar, ák kha ra, ák son, sát tha, sĭa:ng, sú ti@
@sound (as of footsteps)@|@thuam thuam@
@sound a horn@|@bip kae@
@sound as of an object dropping into the water@|@sūa:m@
@sound depth of water@|@yang nam@
@sound expressing amazement@|@yov@
@sound like a child trying to talk or a bird twittering@|@chot chot@
@sound like that of rain falling on the roof@|@thom thom@
@sound made by a hen calling chicks@|@kuk@
@sound of a dog gulping food@|@kop@
@sound of a firing gun@|@pong@
@sound of a giggle@|@khik khik@
@sound of a gong@|@huy, mong@
@sound of a gong sound@|@sĭa:ng khong@
@sound of a horse swishing his tail or sound of constant light rain@|@xaé xaé@
@sound of a large metal object dropping@|@ping@
@sound of a motorbike@|@paet@
@sound of a puff of air@|@put put@
@Sound of a small gong@|@mong@
@sound of a wooden clapper@|@pung pung@
@sound of along drum@|@theung@
@sound of beating a two-faced drum@|@peut peung@
@sound of breathing during sleep@|@sord sord@
@sound of crying@|@sĭa:ng hong hai@
@sound of cutting@|@chua@
@sound of distant thunder@|@huen heun@
@sound of dropping water@|@chok@
@sound of firing@|@sĭa:ng pheun@
@sound of fish hitting the surface of water for food@|@bua@
@sound of food being munched@|@chap chap@
@Sound of laughter@|@Ha@
@sound of low voice@|@xap xap@
@sound of music@|@sĭa:ng don ti:@
@sound of rage or surprise@|@kak@
@sound of snapping (as of breaking a twig)@|@kor@
@sound of snoring@|@thot thot@
@sound of sobbing@|@xeuk, xeuk-xeuk@
@sound of splashing made by walking into water@|@chuam@
@sound of steel on steel: bang!@|@pang pang@
@sound of sucking or breathing@|@xood xard@
@sound of the gasp of a dying creature@|@keuk keuk@
@sound of the wind@|@vó: vó:@
@Sound of thunder grumbling@|@huan@
@sound of water pouring into a bamboo container@|@chok@
@sound of wind blowing@|@xuy@
@sound of wood breaking@|@ko@
@sound out the truth@|@yang berng khuam ching@
@sound suggestive of water falling@|@that tha@
@sound used to call pigs@|@tuy tuy@
@sounded by the wing@|@ka ding hao@
@sounding line@|@lù:k ding@
@sounds such as that made when pulling a post from the mud@|@kot@
@soup@|@nàm kaeng, nàm soup@
@soup made with large Chinese noodles@|@kuay tuay nam@
@soup made with taro leaves@|@kaeng bon@
@soup spoon@|@buang tak keng@
@sour@|@but, piav, sôm@
@sour dish of dried fish@|@sâ:@
@sour leaf@|@ká don@
@sour milk@|@tha thi@
@sour papaya dish@|@tam mak hung@
@sour pork dish@|@naem@
@sour soup made with tamarind@|@kaeng som@
@sour taste in one’s mouth@|@piav pak@
@source@|@bor, sá mou thay@
@source of evil@|@á ku son la moun@
@source of information@|@seu sam phan@
@source of stream@|@nyot huay, nyot nam, ton nam@
@source of wisdom and goodness@|@khua nam kon@
@south@|@thang tai@
@South@|@tay, thit tia@
@South China@|@narn@
@South east@|@thit a ka nea@
@South Vietnam@|@keo tai@
@southeast@|@bup pha thak khin@
@Southeast Asia Treaty Organization@|@sŏn thi san nhar pong kan ei xear ta ven ork sieng tay@
@southerly@|@sĭa:ng tay@
@Southern Cross@|@dao sa mor@
@southern region@|@phak tay@
@southerner@|@xao tay@
@southward@|@thak khi na bot, thak si na thit, thang tai@
@souvenir@|@á nū son, khong thi la leuk, rā leuk, thi la leuk@
@sovereign@|@cheung, cheung, nā ra bor di:, vi phu@
@sovereignty@|@á thi pá tay, á thi pá tay neua phaen din, xa na rat@
@soverign@|@khat ti ya@
@sow@|@hva ka, ka ken@
@sow seed@|@tok ka@
@sow seeds of distrust@|@sor phi loud@
@soy bean@|@thua leung, thua leung@
@soy sauce@|@tua chiav@
@soya@|@thua leung, thua leung@
@Soya milk@|@tua hu@
@space@|@á va kard, kang hao, này la nha, pen vat@
@spacious@|@vi sarn, vid ta tharn@
@spade@|@ka chom phong@
@spakling@|@phay phay@
@spangle@|@thim hia hvay@
@spanning a stream@|@chip@
@spar@|@sŭa:n mard@
@spare part@|@á lay, kheuang a  lai, kheuang a  lai@
@spare someone’s feelings (slang)@|@chong na chong ta, chong na chong ta@
@spark@|@fay ka den ork, lù:k fai, pá kai, saeng pa kai@
@spark as a rocket before take off@|@xu@
@sparkle@|@daet on, map, pá kai, song saeng nhip nhip@
@sparkling@|@mao mao, miang miang, nyap nyap, phao phaev, saeng nhip nhip, vá:o vaew@
@sparks@|@dok phay@
@Sparring partner@|@khu xom muay@
@sparrow@|@kájork, nork chork, nork ka chork@
@sparrow hawk@|@nork laew ka chork@
@sparse@|@bao bang@
@sparse eyebrow@|@khiv bang@
@spatula@|@may dam, may ka dam@
@spawner@|@pa: mae@
@speak@|@á phi pai, á phi pai, chan cha, chery, dam rat, kao vian, kap thun, khan, pa: say, pher va cha, phut, phut cha, phut cha pha sai, tan, xong pa say@
@speak (obsolete)@|@cha@
@speak a foreign language@|@sōng phar sar@
@speak about@|@kao, kao hay, kao theung, lám pharn@
@speak bitingly@|@kor kae@
@speak continuously of something@|@chang ha@
@speak effectively@|@khuy khaeng@
@speak equivocally; make a play on words@|@săm bard săm nuan@
@speak evasively@|@vào om khom@
@speak for@|@pen pak siang hay@
@speak for some (as a lawyer)@|@kae tang@
@speak frankly@|@tork na@
@speak heedlessly@|@pâ:k baow, pâ:k baow@
@speak honestly@|@phut cha sat seu@
@speak ill of@|@kao oang, nin thar, nyup nyop, sáp sor@
@speak ill of behind the back@|@nin thar lab lung@
@speak incoherently or indistinctly@|@lor lae@
@speak indirectly about@|@lìa:p khieng@
@speak ironically or sarcastically@|@thak thang@
@speak magic incantations@|@seik@
@speak nastily@|@pâ:k hai, pâ:k hai@
@speak of@|@thuang, vào thung@
@speak on the subject of@|@khuy kan therng@
@speak out@|@lān vá: ca:, peng@
@speak pleasingly@|@vào ao chai@
@speak sarcastically@|@sied si:@
@speak sharply@|@pâ:k khom, pâ:k khom@
@speak shrewdly@|@phut cha lak laem@
@speak solemly@|@tham ao kan ao ngan@
@speak straightforwardly@|@vào yang tong pai tong mar@
@speak unclearly@|@pâ:k khod, pâ:k khod@
@Speak well but do evil@|@meu theu sak phak theu sin@
@speak with a hundred tongues@|@hoy lin@
@speaker@|@ká thun, pá tharn sa phar, pha ni, pha sok, phu pak, vá: thi, vá: thin, vi tha nya: kon@
@speaking@|@vā ci: kam@
@speaking trumpet@|@ka bok sieng@
@speaking truth@|@sát cha var char@
@speaking unclearly@|@ka nong ka neng@
@speaks@|@vá: cok@
@spear@|@do mon, pa: ni mouk@
@speared apart@|@nya aok@
@special@|@á nan sar tharn, á ti rek, á ti rek, phi saet, phi thi phi than, vi@
@special delivery letter@|@chot mai duan, chot mai duan, chot may duow, chot may duow@
@special grade@|@xan phi set@
@special guest@|@khaek phi set@
@special member@|@sá má: sik phi seid@
@special news@|@khao phi saet@
@special number@|@sá bap phi seid@
@special police@|@tam luat san ti ban@
@special work@|@ngan phidaet@
@specialist instructor (as in art sports science)@|@khu phi saet@
@species@|@phong, xá nit, xard@
@species of ceral grain resembling millet@|@khuang@
@species of toucan@|@nork ka xaeng@
@specific@|@chor, chor chong, pá ti, pá ti, pá ti, sá phor chor chong@
@specifically@|@chor, sá phor, yang chor chong@
@specify@|@bak ben, bong vay, sá phor@
@specimen@|@sá bap, sá bop, tua yang@
@speckled@|@ka dang ka dao, sá pha la@
@spectacle@|@that sa na kan@
@spectacles@|@sá long pha neid@
@speculate about a corpse@|@pong sang khan@
@speech@|@kan phak vao, khá: lom, kham cha, kham kao, lóm par, pa: say, pa: tha ka thar, sát tha, sŭn thon phod, tay vat, tay vat ta, vā ci: kam, vá: cá:, vá: cá: khva:m, vá: ni, vá: tha, vāt cha na, vāt cha nung, vāt xa, vò: harn@
@speech delivery@|@kan kao kham bpa sai@
@speech of a leader@|@kham tha leng, kham tha leng@
@speech or manner indicating discontent@|@ngik ngik@
@speech remark@|@kham pa sai@
@speech worthy of being spoken@|@săo va na ni:@
@speechless@|@át an tan chay, sút sop sút park, vào bor ork@
@speed@|@kheum vai, xa va na@
@speed in racing@|@si: tin@
@speed up@|@khiav khap@
@speed up the work@|@heng viak@
@Speedboat@|@heu hua, heu vay@
@speedometer@|@kheuang vat khuam vai@
@speedy@|@kham khiav, xa va@
@spell@|@fong sai, ká tha, ka tha sot la kor, sá kod kham@
@spell out@|@kha nyay khuam@
@speller@|@me ek kha ra@
@spelling@|@kan sa kot kham, săng nhauk, tua sang yok@
@spelling book@|@me ek kha ra@
@spelling system in Kang@|@mae kang@
@spend@|@chap chay, chay, pho kha, pho kha, xai, xai jai, xai xap, xai xap, xavan@
@spend a day@|@ham meu@
@spend for@|@xam la@
@spend the legs@|@nya kha@
@spend the night@|@bor li vat, haem kheun, khang kheun, pá ri vard@
@spend the tight@|@phak heam@
@spend too much time on@|@thum thae vae la@
@spent@|@seuk lor, seuk lor, vi: tha@
@sperate@|@bang@
@spere@|@thong kom@
@sperm@|@nàm a sou chi, nàm baen, nàm bean, nàm karm@
@sphere@|@dueng, mon@
@spiced@|@là:p@
@spices@|@kheuang thet, phak hom@
@spider@|@meng mum@
@spider thread@|@nyay maeng moum, să:y nhay@
@spilt@|@taek hae@
@spin@|@khem mut, lén, pan, pin@
@spin a web@|@xak yai@
@spin cotton@|@khenphai, pan phay@
@spin thread@|@khaet phai@
@spinal cord@|@khay san lang@
@spindle@|@nai lar@
@spine@|@duk lang, duk lang, duk san lang, duk san lang, ka duk lung, kádouksanlang, săn lung, săn lung@
@spines used to prevent entrance or exit@|@khuak, khuak@
@spining-drum.@|@ák, ák@
@spinning-wheel@|@kieng@
@spinster@|@ná:ng sao kae, să:o nhay@
@spiny bamboo@|@phay pha@
@spiny fruit in clusters@|@koy@
@spiny shrub which grows on the banks of watercourses@|@khi haet nam@
@spiny shrub with a medicinal root@|@khat khao keo@
@spiny vine with edible shoots@|@kheung@
@spiny yellow eggplant@|@kheu kheun@
@spiral@|@khuang kiang, lá:n@
@spirant@|@phiv@
@spirit@|@át thā nhar say, chit, khuan, ma no chit, pet, phi, phi khvuan, să:ng, suang, tay chak, thay, vin nharn, vin nharn@
@spirit bringing bad luck@|@me suay@
@spirit house@|@the va khan@
@spirit of an ancestor@|@dam@
@spirit of one who dies accidently@|@phi tai hung@
@spirit possessing fervent persons@|@pá kam@
@spirit which is unable to be reborn@|@phet@
@spirit world@|@meung phi@
@spirited@|@chay heuk herm@
@spirits@|@vé: tarn@
@spirits of dead criminals@|@á sou ra ka:y@
@spirits of the jungle@|@phi dong@
@spirits who eat excrement@|@ka si@
@spiritual@|@pá cham chay@
@spiritual guide@|@mak kha na yok@
@spiritual sadness@|@chit ta vaet tha na@
@spiritualism@|@vin nharn sard@
@spit@|@buan, khak, khak khi ther, khak nam lay, phon nam lay, seim ha, seim ha, siep, thom, thom nam lay, thuy@
@spit blood@|@khak leut@
@spit out@|@khak, khay sie, phu ork@
@spit out betel cud@|@khay mak, khay mak@
@spit out food vomit@|@khay a han@
@spit out of the mouth@|@khay thim@
@spit out rice@|@khay khao@
@spittle@|@khak khi ther@
@spittoon@|@ká tho, ngiang@
@splash@|@feut, fóng, pum, thuan@
@splash about@|@lúy nam@
@splash in the mud@|@lúy@
@splash water@|@dit nam, sâ:t nam@
@splash with mud@|@het hay khi tom phang say@
@splashing@|@xaed@
@splashing sound@|@tam@
@spleen@|@mam, tap mam@
@splendid@|@hung heung, hung heung leung leum, lerm, pha phery, sá ngar lar si:, sá ngar narm, saum si:, vi lai@
@splendor@|@si: sa ngar@
@splendour@|@á nū pharp@
@splice@|@thap@
@splint@|@khao pheuk, xaek@
@splinter@|@sîa:n narm, sîa:n narm@
@split@|@dor, hao tek, pha, taek hao, vaeng@
@split away@|@taek ork@
@split firewood@|@pha pheun@
@split in half@|@pha phong@
@split into parts@|@pha phong@
@split lengthwise@|@laeng@
@split rattan@|@chak huay@
@split up into groups@|@chat pen mu@
@split up the family among the parents@|@khat ai khat nong@
@split wood@|@pha mai@
@splitted up@|@pen kon@
@splitting of wood@|@kan pha feun@
@spoil@|@peuy@
@spoil a child@|@sĭa: dek noy@
@spoil the beauty of@|@het hay say som@
@spoiled@|@bop, but, khong bot, lè:, nāo, peuy nua, thi sam lut sut som@
@spoiled or ill-smelling vegetable@|@phak nua@
@spoke of a wheel@|@á ra@
@spokesman@|@kho sok@
@sponge@|@fong nam@
@sponge a meal@|@ta lok kin@
@sponger@|@phu a sai kin nam phern@
@spongy@|@buam, phu@
@sponsor@|@phu u pa tham@
@sponsoring a bonze at an ordination@|@kam ma va cha chan@
@spool@|@kum@
@spool of thread@|@day kum, kor kum@
@spoon@|@buang, xon@
@spoon and fork@|@buang som@
@sport jacket@|@seua ki lar@
@sport news@|@khao ki la@
@sport sportsman@|@sá pod@
@sport stadium@|@sá nă:m ki lar, sá narm ki lar, sá narm ki lar@
@sports@|@ki la@
@sports equipment@|@kheuang ki la@
@sportsman@|@nāk ki lar@
@spot@|@chout, fot heu, hoy peun@
@spotless@|@phi mon, phorng, sá kao@
@spotted@|@dang, ka dang ka dao, kan houm, pen chut chut, vae@
@spouse@|@khu khiang, phan ra ya, phan rຮ ya@
@spouse ( legal term )@|@khu som lad@
@sprawled out@|@non phae@
@spray@|@phon, si:t, si:t phon@
@spray gun@|@kheuang sit@
@spray paint@|@phon si@
@spread@|@cham ray, ká jae, lā bard, lā bard, lá:m, là:t, pha ra na, phae, pheng ork, pher phae, phery, pheu, pheun, phi, thim sa say, xa thao, xa van, xeng phay@
@spread (of natural disasters or revolution)@|@kam rep@
@spread a cloth@|@pu: phar@
@spread a mattress@|@pu: seua@
@spread a rumor@|@chan chot@
@spread a table cloth@|@pu: tok@
@spread apart@|@chang, keung, nga@
@spread diffuse@|@pheng phay@
@spread everywhere@|@dat da, pheng thua@
@spread far and wide@|@phae sa phat, pheng phay san@
@spread in the pretentious@|@fung@
@spread news@|@pao khao@
@spread on@|@tha@
@spread one’s power@|@pheng am nat@
@spread out@|@be, be ork, kang ork, keung, kheung pheut, nyok, phay, pheng, pheu, pheu, pheung, phiv ork, phiv phay, pho, phong, taek suak, xá, xa xay, xan, xan, xan, xan, xan, yay phay@
@spread out a mattress@|@pu: sard@
@spread out articles@|@xa khong@
@spread out in line@|@ka chay thaev@
@spread over@|@lūk lá:m, lūk larn@
@spread ranks@|@kha nyay thaev@
@spread rumor@|@pāo khao@
@spread rumors@|@pan khao@
@spread the tail@|@pheng hang@
@spread the wings@|@kang bik, kang phik, pheu phik@
@spread to@|@lūa:ng kan@
@spreading bush@|@tang nay@
@spreading to or involving others@|@lá:m parm@
@sprightly animated@|@kheuk kheun, kheuk kheun@
@spring@|@phat phon, rā du: bai mai lon@
@spring a trap@|@lān haew@
@spring of a clock or watch@|@lá:n na li: ka@
@spring pea@|@thua sian@
@spring water@|@nàm bor@
@sprinkle@|@hoy@
@sprinkle the top@|@hoy na@
@sprinkle with noly water@|@seik@
@sprout@|@chor, ngok, no@
@spur@|@deu@
@spurt@|@ding, fóng@
@spurt blood@|@leuad fong@
@spurt of liquid@|@chuak@
@spurt out@|@phut ork@
@spurt water from the mouth@|@phu nam@
@sputter or crackle@|@chot@
@sputter or hiss@|@chuat@
