@English@|@Cornish@
@whale@|@mórvyl@
@wharf@|@cay@
@wheat@|@gwaneth@
@whence@|@a-ble, a-byla@
@white@|@gwyn, gwynn@
@white thorn@|@spernenn wynn@
@white wine@|@gwin gwynn@
@wife@|@gúrek, gwreg@
@willow tree@|@helygen@
@window@|@fe-nester, fenester@
@windows@|@fenestri@
@wine@|@gwin, gwýn@
@winter@|@gwáf, gwav@
@within@|@a-berth@
@wives@|@gwrageth@
@wolf@|@blýth@
@woman@|@benen, benyn@
@wood@|@prenn@
@worm@|@kenak, prýf@
@wren@|@gwrannen@
@wrist@|@conna-brégh@
@writer@|@scryfer@
@yard@|@lath@
@year@|@bledhen, blydhen@
@years@|@blydhynyow@
@yellow@|@melen, melyn@
@yesterday@|@dé@
@you (pl.) do@|@hwi a wra@
@you do@|@ty a wra@
@zoo@|@mýlva@

