@English@|@Albanian@
@viewer@|@shikues@
@vile@|@faqezi@
@villa@|@vilë@
@village@|@fshat, katund@
@vineyard@|@vreshtë@
@violence@|@dhunë@
@violet@|@vjollcë@
@visit@|@vizitë@
@visitor@|@vizitor@
@voice@|@zë@
@vomit@|@vjell@
@vortex@|@vorbull@
@wage@|@rrogë@
@wail@|@lebetitem@
@wailing@|@kujë@
@waist@|@mes@
@waist coat@|@jelek@
@waistcoat@|@jelek@
@wait@|@pres@
@waiter@|@kamarier@
@waitress@|@kamariere@
@wake@|@zgjoj@
@wake up@|@gëdhin, ngrihem nga gjumi@
@walk@|@eci@
@wall@|@mur@
@walnut@|@arrë@
@wander@|@bredh, endem@
@wanderer@|@shtegtar@
@wane@|@venitem@
@want@|@dua@
@war@|@luftë@
@wardrobe@|@dollap@
@warm@|@vakët (i)@
@warm oneself@|@ngrohem@
@warm up@|@ngroh@
@warmth@|@ngrohtësi@
@warn@|@paralajmëroj@
@wash@|@laj@
@washed@|@larë (i)@
@wasp@|@grenzë@
@waste@|@shpërdorim@
@watch@|@këqyr, orë dore@
@wave@|@dallgë, valë, valëvitet@
@way@|@mënyrë, rrugë@
@wayfarer@|@shtegtar@
@we@|@ne@
@weak@|@dobët (i)@
@weaken@|@dobësohem, dobësoj@
@weakness@|@dobësi@
@wealth@|@pasuri@
@wealthy@|@pasur (i)@
@weary@|@lodh@
@weather@|@kohë, mot@
@wedding@|@dasmë, martesë@
@wedding-guest@|@dasmor@
@Wednesday@|@e mërkurë@
@week@|@javë@
@weekend@|@fundjavë@
@weep@|@qaj@
@welcome@|@mirësevini@
@well@|@bunar, mirë@
@well Formed@|@lidhur (i)@
@well off@|@kamur (i)@
@well turned@|@goditur (i)@
@well-educated@|@formuar (i)@
@west@|@perëndim@
@wet@|@lagësht, njomë (i)@
@what@|@ç', çfarë@
@what is the weather like?@|@si është koha ?@
@What time is it?@|@sa është ora?@
@whatever@|@çfarëdo që@
@What's the time?@|@sa e ke orën?@
@what's your name?@|@si quhesh?@
@wheat@|@grurë@
@wheel@|@rrotë@
@whelp@|@pjell@
@when@|@kur@
@whence@|@nga@
@where@|@ku, nga@
@where as@|@kurse, ndësa@
@whereas@|@kurse, ndërsa@
@wherever@|@kudo (që)@
@whether@|@nëse, ose@
@which@|@cila, cili, cili (i), kujt (i)@
@whichever@|@kushdo@
@while@|@ndërsa@
@whirpool@|@vorbull@
@whistle@|@fishkëllej@
@white@|@bardhë (i)@
@whiteness@|@bardhësi@
@who@|@cili (i), kush@
@whoever@|@kushdo (që)@
@wholesale@|@shitje me shumicë@
@whose@|@i kujt@
@why@|@pse@
@wide@|@gjerë (i)@
@wife@|@grua@
@wild@|@egër (i)@
@wild clematis@|@kulpër@
@wildness@|@egërsi@
@willingness@|@gatishmëri@
@willow@|@shelg@
@wilt@|@vyshkem@
@win@|@fitoj@
@wind@|@erë, gjarpëron@
@window@|@dritare, penxhere@
@wine@|@verë@
@wing@|@fletë, krah@
@winner@|@fitimtar@
@winter@|@dimër@
@wipe@|@fshij@
@wire@|@tel@
@wireless@|@radio@
@wisdom@|@zgjuarsi@
@wish@|@dëshirë, dëshiroj@
@wistfulness@|@mallëngjim@
@with@|@me@
@with caution@|@me kujdes@
@with difficulty@|@mezi@
@withdraw@|@tërheq@
@withdrawal@|@tërheqje@
@wither@|@vyshk, vyshkem@
@within@|@brenda@
@without@|@pa@
@without fail@|@patjetër@
@without reason@|@kot së koti@
@woman@|@grua@
@woman cleaner@|@pastruese@
@womb@|@bark@
@women's watch@|@orë grash@
@wood@|@dru, pyll@
@woodcutter@|@druvar@
@wooden@|@prej druri@
@wool@|@lesh@
@word@|@fjalë@
@word of honour@|@besë@
@work@|@punë, punoj, shërbim, vepër@
@worker@|@punëtor@
@working day@|@ditë pune@
@workshop@|@punishte@
@world@|@botë, njerëzi@
@worm@|@krimb@
@worried@|@shqetësuar (i)@
@worship@|@adhuroj@
@worth@|@vlerë@
@worthless@|@pa vlerë@
@wound@|@plagë@
@wrap@|@mbështjell, mbuloj@
@wreck@|@shkatërroj@
@wrecker@|@dëmtues@
@wretched@|@gjorë (i), ngratë (i), shkretë (i)@
@wring out@|@shtrydh@
@wrinkle@|@rrudhë@
@wrist@|@kyç (i dorës)@
@wrist-watch@|@orë dore@
@write@|@shkruaj@
@writer@|@shkrimtar@
@writing@|@shkrim@
@yard@|@oborr@
@year@|@mot, vit@
@yearning@|@mall, përmallim, përmallshëm (i)@
@yell@|@bërtas@
@yellow@|@verdhë (i)@
@yes@|@po@
@yesterday@|@dje@
@yet@|@ende@
@you@|@ju@
@you (for one person)@|@ti, ty@
@you are welcomed@|@bujrum, mirardhshi@
@you deserve it@|@hallall@
@youghurt@|@kos@
@young@|@ri (i)@
@young boy@|@djalosh@
@young lady@|@zonjushë@
@young of animal@|@këlysh@
@your@|@jote, juaj, të tutë, tu (e), tua (e), yti@
@yours@|@jotja, tënd, tuaja, tuajët@
@youth@|@rini@
@zero@|@zero@

