@Ligurian@|@English@
@salìn@|@saline, salty, salt shaker, saltcellar, saltpeter@
@sàlmo@|@psalm@
@salòtto@|@parlour@
@salòu@|@salty@
@saluâ@|@to salute, to greet, to say hello (to)@
@salûi (nmpl)@|@greetings, regards@
@salumê (nm)@|@cold meat vendor@
@salùmmi (nmpl)@|@cold meats@
@salûo@|@greeting, salutation, regard@
@salûte (nf)@|@health@
@sàn@|@safe, healthy@
@Sàn Çepriàn@|@San Cipriano (GE)@
@Sàn Chîgo@|@San Quirico (GE)@
@Sàn Conbàn@|@San Colombano (GE)@
@Sàn Françésco d'Arbâ@|@San Francesco d'Albaro (GE)@
@Sàn Frutôzo@|@San Fruttuoso (GE)@
@Sàn Giâxo@|@San Biagio (IM)@
@Sàn Marìn@|@San Marino@
@Sàn Pê@|@Saint Peter@
@Sàn Pê d'Ænn-a@|@Sampierdarena (GE)@
@Sàn Poinâ@|@Sant'Apollinare (GE)@
@Sàn Sarvòu@|@San Salvatore dei Fieschi (GE)@
@Sàn Stêva d'Avêto@|@Santo Stefano d'Aveto (GE)@
@Sàn Tiodöo@|@San Teodoro (GE)@
@sanbûgo@|@elder (Botanical)@
@sàngoe (nm)@|@blood@
@sangoétta@|@leech, bloodsucker (fig.)@
@sangoinâ@|@to bleed@
@sangoinôzo@|@bloody@
@sanitæ@|@sanity@
@Sànn-a@|@Savona (SV)@
@sànn-a (ag.f)@|@safe (f), healthy (f)@
@sanpâ@|@kick@
@sànpa@|@leg (animal), paw@
@sanpedænìn@|@from Sampierdarena (GE)@
@sanremàsco@|@from San Remo (IM)@
@Sanrémmo@|@Sanremo (IM)@
@sànta@|@saint (f), holy (f)@
@Sànta Giustìnn-a@|@Santa Giustina (SV)@
@Sànta Margàita@|@Santa Margherita Ligure (GE)@
@Sant'Antiòcco@|@Sant'Antioco (Sardinia)@
@Sant'Ilâio@|@Sant'Ilario Ligure (GE)@
@santitæ@|@santity@
@sànto@|@saint (m), holy (m)@
@Sànto Zéuggio@|@Sant'Eusebio (GE)@
@santoâio@|@sanctuary@
@Saórgio@|@Saorge (now France)@
@sàppa@|@spade@
@Saravàlle@|@Serravalle Scrivia (Piedmont)@
@sarçî@|@to mend@
@Sardégna@|@Sardinia@
@sàrdo@|@Sardinian (from Sardinia)@
@sarmoîa@|@brine@
@sarpâ@|@to set sail, to weigh anchor@
@sàrpa@|@Salema porgy (fish)@
@sarpâ l'àncoa@|@to weigh anchor@
@sàrsa@|@sauce@
@sàrto@|@tailor@
@sarvâ@|@to save@
@sarvægo@|@wild@
@sarvagénte@|@life preserver@
@sarvatàggio@|@rescue@
@sarvatô@|@saviour@
@sàrvia@|@sage (herb)@
@sarviétta@|@napkin@
@Sarzàn@|@Sarzano (hill of Genoa)@
@Sarzànn-a@|@Sarzana (SP)@
@Sascê@|@Sassello (SV)@
@Sascéllo@|@Sassello (SV)@
@sasciâ (nf)@|@blow from a stone, throw of a stone@
@sàscio@|@stone@
@sâsìssa@|@sausage@
@sâtâ@|@to jump@
@sâtâ i scrìpixi@|@to take a fancy, to fancy@
@Sàtana@|@Satan@
@sâto@|@jump@
@Sâto (Zêna)@|@Salto (GE)@
@savatìn@|@shoemaker@
@savàtta@|@flip-flop, thong@
@savéi@|@to know@
@savéi a memöia@|@to know by heart@
@savéila lónga@|@to know a lot@
@savô@|@flavour, taste@
@savoiàrdo (nm)@|@ladyfinger (biscuit)@
@savoîo@|@tasty, salty@
@savón@|@soap@
@savonéize@|@from Savona (SV), Savonese (from Savona)@
@Savónn-a@|@Savona (SV)@
@Savórgio@|@Saorge (now France)@
@sâxo@|@willow@
@sbaràsso@|@sale (cut price), giveaway (sale), bargain@
@sbarcâ@|@to disembark@
@sbavâ@|@to dribble@
@sbavatûa@|@dribble@
@sberlendón@|@slap, backhander@
@sbìggia@|@skittle, tenpin@
@sbîro@|@swift (bird)@
@sbràggio@|@shout@
@sbragiâ@|@to shout@
@sbràzoa@|@little owl@
@sbrigâ@|@to hurry, to rush@
@sbrigâse@|@to hurry up@
@sbrigativitæ@|@hurry@
@sbrîghite!@|@hurry up!@
@sbrìncio@|@cross-eyed@
@sbróggio@|@snot@
@sbrogiôzo@|@snotty@
@sbrùggio (Savona)@|@snot@
@sbrugiôzo (Savona)@|@snotty@
@sbruzî@|@to moo, to bellow@
@scâa@|@stairs@
@scabéccio@|@pickling brine@
@scàbio (pop.)@|@wine@
@scàcchi (mpl)@|@chess@
@scàcco màtto@|@checkmate (chess)@
@scachêa@|@chess set, chessboard@
@scadénsa@|@expiration@
@scâe (fpl)@|@stairs@
@scæn@|@step (stairs), rung@
@scafâle (nm)(it.)@|@shelf@
@scàggia@|@scale (of fish)@
@scàgno@|@office@
@scàia (volg.)@|@whore@
@scamoròu@|@desolate, chipped@
@scanbelétto@|@stool@
@scanbéllo@|@stool@
@scancelâ@|@to cancel, to erase, to delete@
@scàndalo@|@scandal@
@Scandinàvia@|@Scandinavia@
@scandìnavo@|@Scandinavian@
@scangiâ@|@to change, to exchange@
@scangiâ in@|@to turn into, to become@
@scàngio@|@exchange, swap@
@scanpâ@|@to avoid@
@scansîa@|@shelf@
@scapâ@|@to escape@
@scapaménto@|@escape@
@scapìn (nmpl)@|@socks@
@scarabòccio@|@doodle, scribble, scrawl@
@scarabociâ@|@to scribble, to scrawl, to doodle@
@scaregâ@|@to download@
@scaròlla@|@escarole@
@scàrpa@|@shoe@
@scarpâ (nf)@|@blow with a shoe@
@scarpâ (nm)@|@shoemaker@
@scarscitæ@|@shortage@
@scarsezâ@|@to be scarce, to run short@
@scàrso@|@scarce@
@scartâ@|@to discard, to rule out, to dismiss@
@scàrto@|@discarding@
@scasâ@|@to erase, to delete@
@scâso@|@barefoot@
@scàtoa@|@box@
@scavâ@|@to dig@
@scavìsso@|@naughty, cunning, mischievous@
@scâvo@|@excavation@
@scàzze@|@to expire@
@sccetaménte@|@in all truth, truth be told, truthfully@
@sccetéssa@|@sincerity, authenticity, genuineness@
@sccétto@|@genuine, sincere, authentic, plain-spoken@
@sccéuppo@|@shotgun@
@scciafezâ@|@to slap@
@scciàffo@|@slap@
@scciancâ@|@to tear out@
@sccianchétto@|@bunch@
@scciànco@|@bunch@
@scciapâ@|@to tear, to break@
@scciàppa@|@buttock@
@scciàppe (fpl)@|@buttocks@
@scciatâ@|@to burst@
@scciatelâ@|@to divulge@
@scciavitù@|@slavery@
@scciâvo@|@slave@
@scciàzzo@|@dense, compact@
@sccioî@|@to blossom@
@sccioî sàngoe@|@to bleed@
@sccioîo (ag.)@|@in blossom@
@scciumæa@|@crowd@
@scciùmma@|@foam@
@scciupâ@|@to explode, to burst, to blow up@
@scciupâ da-o rîe@|@to dissolve into giggles/laughter@
@scciupétta@|@shotgun@
@scciupón@|@fit, outburst@
@scciupón de fótta@|@fit of rage, outburst of anger@
@scèlta@|@choice@
@scémmo@|@idiot, stupid@
@scêna@|@scene@
@scenâio@|@scenery, scene@
@scénsa@|@science@
@scensiòu@|@scholar@
@scentâ@|@to disappear@
@scerbâ@|@to weed@
@scernîo@|@weak@
@schelêtro@|@skeleton@
@schénn-a@|@back (body part)@
@schénn-a da violìn@|@lazy@
@schénn-a drîta@|@lazy@
@schèrmo@|@screen@
@schersâ@|@to joke@
@schèrso@|@joke@
@schêua@|@school@
@schéuggia@|@serum@
@schéuggio@|@reef@
@schéussa (nf)@|@grazing land@
@schêuve@|@to be paid, to draw (money), to pasture, to graze@
@schîfo@|@disgust, repugnance@
@schifôzo@|@disgusting, filthy@
@schìnfio@|@disgust, repugnance@
@schinfiôzo@|@disgusting, filthy@
@schinfitûa@|@neckline@
@schisâ (nf)@|@whiff@
@schitâ@|@to shoot, to splash, to spatter@
@scì@|@yes@
@scî (nm)@|@ski@
@scia@|@you (sing.)(formal)(particle)@
@scîa@|@trail@
@scia me perdónn-e!@|@forgive me! (polite)@
@scia me scûze!@|@sorry! (formal), excuse me! (formal)@
@sciâ...@|@Mrs@
@sciàbbra@|@saber@
@sciabécco@|@xebec (sailing ship), zebec (sailing ship)@
@sciabordâ@|@to splash around@
@sciabrâ (nf)@|@saber slash@
@sciacâ@|@to press, to steal (fig.)@
@sciacâ de l'éuggio@|@to wink@
@sciacælo@|@idiot@
@sciacanôxe (nm)@|@nutcracker@
@sciacapatàtte (nm)@|@potato masher@
@sciafeur@|@driver, chauffeur@
@scialâ@|@to cheer up@
@sciàlla sciàlla!@|@hurray!@
@sciàlla!@|@hurray!@
@sciàllo@|@scarf@
@sciàmma@|@flame@
@sciàmmo@|@swarm, flock@
@sciàmmo d'öxélli@|@flock of birds@
@sciànco (pop.)@|@side, hip, flank@
@scianpradâ@|@to go out partying@
@scianpràdda@|@binge, fun@
@sciarbelâ@|@to laze around, to loaf around@
@sciarbèlla@|@flip-flop, thong@
@sciardîo@|@cracked@
@sciàrpa@|@scarf@
@sciâtâ@|@to upset somebody, to stir up@
@sciâtâse@|@to get frightened, to get anxious, to get nervous@
@sciâto@|@hubbub, noise@
@sciâtòu@|@excited, distressed, shaken, overwrought@
@Scibêia@|@Siberia@
@scibén che@|@even though, though@
@sciberiàn@|@Siberian@
@scìcche (ag.)@|@chic, stylish@
@scicómme@|@because, since (because)@
@scignificâ@|@to mean@
@scignôa@|@lady@
@scignôi (mpl)@|@Sirs@
@scignorîa!@|@goodbye! (respectful), hello! (respectful)@
@scignôro@|@gentleman, Sir@
@scigoâ@|@to whistle@
@scìgoa@|@whistle@
@scigoelétto@|@whistle@
@scigoêlo@|@whistle@
@scìlaba@|@syllable@
@scilénsio@|@silence@
@scilensiôzo@|@silent@
@scilìn@|@shilling@
@scimetrîa@|@symmetry@
@scìmia@|@monkey@
@scìmile@|@similar@
@scìmio@|@monkey@
@Scimón@|@Simon@
@scimulâ@|@to pretend@
@scìn a@|@until, upto@
@scìn da@|@since (time)@
@scinagôga@|@synagogue@
@scìnbolo@|@symbol@
@scindacâto@|@trade union, labor union@
@scìndaco@|@mayor@
@scìndico@|@mayor@
@scingùlto@|@hiccup@
@scinìstra@|@left@
@scìnn-a@|@upto, until@
@scinpatîa@|@friendliness, liking@
@scinpàtico@|@likable@
@scintàsci@|@syntax@
@scìntexi (nf)@|@synthesis@
@sciô (nf)@|@flower@
@sciô de çetrón@|@orange blossom@
@sciô...@|@Mr@
@scioâ@|@to cool, to dry@
@sciôa (Savona)@|@flower@
@sciòcco@|@soft, springy@
@scioetìnn-a@|@flower (diminutive)@
@scioétta@|@flower (diminutive)@
@scioî@|@to blossom@
@scioî (nfpl)@|@flowers@
@sciolâia@|@stupidity@
@sciòllo@|@stupid@
@scioòu@|@light@
@sciòpero@|@strike@
@sciöpo@|@syrup@
@sciorbî@|@to sip, to suck up@
@sciorbipûa (nm)@|@vacuum cleaner@
@sciórnia@|@squirrel@
@sciortî@|@to exit, to get out, to go out@
@sciortîa@|@exit, way out@
@sciòu@|@breath@
@scipâ@|@to thieve, to snitch@
@scipâio@|@curtain (theater)@
@scipatô@|@thief, snitcher@
@scirénn-a@|@siren@
@sciròcco@|@sirocco (wind)@
@scìsma (nm)@|@earthquake, seism@
@scistemâ@|@to organize@
@scistémma@|@system@
@scîto@|@site@
@scitoâ@|@to situate@
@scitoaçión@|@situation@
@sciù@|@up, above@
@sciù pe zu@|@more or less, approximately@
@sciù!@|@come on!@
@sciugacavélli (nm)@|@hair dryer@
@sciughêa@|@dry climate@
@sciumæa@|@crowd@
@sciùmme (nm)@|@river@
@sciuscétto@|@bellows@
@sciusciâ@|@to blow@
@sciusciâ (fig.)@|@to tattle, to tell on@
@sciusciànta@|@sixty@
@sciùscio@|@breath, puff@
@sciusción@|@blowtorch, blowlamp, whistleblower, telltale, tattletale, snitch, informer@
@sciûto@|@dry@
@scivertòu@|@curve@
@scixèrboa@|@sowthistle@
@scixerboétta@|@promiscuous woman@
@scjâ@|@to ski@
@scjatô@|@skier@
@scoâ@|@to make wet@
@scoçéize@|@Scottish@
@Scòçia@|@Scotland@
@scocozó (nm)@|@round Ligurian pasta in soup@
@Scofæra@|@Scoffera (GE)@
@scófie (nfpl)@|@headphones@
@scolâio@|@pupil, student@
@scolatûa@|@neckline@
@scolegâ@|@to disconnect@
@scòllo@|@neckline@
@scolopéndra@|@centipede@
@scolpî@|@to sculpt@
@scométte@|@to bet@
@scominigâ@|@to excommunicate@
@scomìniga@|@excommunication@
@scomìssa@|@bet@
@scomodâ@|@to inconvenience, to make (somebody) feel unconfortable@
@scòmodo@|@uncomfortable, awkward, inconvenient, troublesome@
@scondilô@|@hide-and-seek@
@sconétte@|@to disconnect@
@sconfesâ@|@to disavow@
@sconfìzze@|@to defeat@
@sconfòrto@|@grief, despair@
@sconosciûo@|@unknown@
@sconparî@|@to pass away, to disappear@
@sconpàrsa@|@disappearance, passing@
@sconpîo@|@incomplete@
@sconpisciâse da-o rîe@|@to dissolve into giggles/laughter@
@sconplêto@|@incomplete@
@sconquasciâ@|@to break up, to shatter@
@sconquàscio@|@destruction, disaster@
@scontentâ@|@to make unhappy@
@sconténto@|@unhappiness@
@scontrâ@|@to crash@
@scóntro@|@crash, collision@
@sconveniénte@|@inconvenient, unbecoming, disadvantageous@
@sconzuâ@|@to ward off, to implore, to beg@
@sconzûo@|@charm, spell (n)@
@scôo@|@wet@
@scöpelìn@|@scalpel@
@scöpéllo@|@scalpel@
@scopelòtto@|@slap on the back of the head@
@scorbûto@|@scurvy@
@scordâ@|@to forget@
@scordâse@|@to forget@
@scorentìnn-a@|@diarrhea, diarrhoea@
@scorétto@|@incorrect@
@scorezâ@|@to fart@
@scorî@|@to pursue, to chase, to persecute@
@scorlùsoa@|@slut, harlot@
@scorlùssa (Savona)@|@slut, harlot@
@scórpena@|@black scorpionfish@
@scorpî@|@to sculpt@
@scòrsa@|@peel, skin, bark (tree), rind@
@scorsaieu@|@shortcut@
@scösâ (nm)@|@apron, smock@
@scösæn@|@apron@
@scöso@|@lap (on thighs)@
@scotâ@|@to burn@
@scotâ da-a frêve@|@to be running a fever@
@scotatûa@|@burn, scald@
@scotónn-a@|@veal@
@scovèrta@|@discovery@
@scracâ@|@to spit@
@scràcou@|@spit@
@scràpoa@|@sleep (in the eyes)@
@scribasâ@|@to scribble, to scrawl, to doodle@
@scrichî@|@to grow up@
@scrîe@|@to write@
@scrìmma@|@fencing@
@scrìpixi (nmpl)@|@whim, caprice@
@scritô@|@writer@
@scrîto@|@text@
@scritûa@|@writing@
@scrivanîa@|@desk@
@scrîve@|@to write@
@scrîve sótta detatûa@|@to write under dictation@
@scrocâ@|@to live off someone@
@scrocón@|@pest, nuisance@
@scrolâ@|@to shake, to wag@
@scroscî@|@to creak@
@scròsoa@|@crutch@
@scrovî@|@to discover@
@scùddo@|@shield@
@scufiêta@|@cap@
@scugêa@|@breakwater, reef@
@scugiâ@|@to slip@
@scugiæla@|@slip, slide@
@scultô@|@sculptor@
@scultûa@|@sculpture@
@scûo (ag.)@|@dark@
@scûo (nm)@|@darkness@
@scuzâ@|@to forgive, to excuse@
@scûza@|@excuse@
@scuzæme!@|@excuse me! (pl.)@
@scûzime!@|@excuse me! (sing.)@
@se@|@if@
@se dónca@|@otherwise@
@se dónque@|@otherwise@
@se mâi@|@eventually@
@se vedémmo!@|@see you!@
@Sebórga@|@Seborga (IM)@
@seborghìn@|@from Seborga (IM)@
@secâ@|@to dry@
@sécco@|@dry, dried, thin@
@sechêa@|@dryness, aridity@
@seçión@|@section@
@seduçión@|@seduction@
@sedûe@|@to seduce@
@sedutô@|@seducer@
@seduxénte@|@attractive, sexy, seductive@
@segâ@|@to saw, to reap@
@ségge (nfpl)@|@eyelashes@
@séggia@|@eyelash@
@seghiaménte@|@surely@
@segnâ@|@to point, to mark@
@segnalâ@|@to point@
@segnâle (nm)@|@signal@
@ségno@|@signal, sign, gesture@
@segoénte@|@following@
@segoî@|@to follow@
@ségoito@|@retinue, entourage, continuation@
@segondâio@|@secondary@
@segóndo@|@second (n), according to@
@segóndo (ag.)@|@second (number)@
@segretâia (f)@|@secretary@
@segretâio@|@secretary@
@segrêto@|@secret@
@seguaménte@|@surely@
@seguéssa@|@safety, security@
@segûo@|@sure, safe, for sure@
@segûo!@|@sure!@
@sêi@|@six@
@séia@|@evening, afternoon, night@
@seiànn-a@|@night, evening@
@seleçión@|@selection@
@seleçionâ@|@to select@
@seletîvo@|@selective@
@sélou@|@celery@
@semenâ@|@to plant@
@semenâio@|@lottery@
@seménsa@|@seed, pip@
@Semorî@|@Semorile (GE)@
@sén (ag.)@|@calm@
@sén (mpl)@|@breast@
@senatô@|@senator@
@séncio@|@simple@
@senegaléize@|@Senegalese@
@sénpre@|@always@
@sénpre ciù@|@more and more@
@sénsa@|@without@
@sénsa de@|@without@
@sénsa spréscia@|@in no rush@
@sensaçión@|@sensation@
@sens'âtro@|@undoubtedly@
@senscìbile@|@sensitive@
@sénso@|@sense@
@sentî@|@to hear, to feel, to listen@
@sentîse a-o teléfono@|@to talk on the phone@
@separâ@|@to separate@
@separaçión@|@separation@
@seportâ@|@to bury@
@seportûa@|@burial, tomb, grave@
@sequestrâ@|@to kidnap@
@serâ@|@to close, to shut@
@Sèrbia@|@Serbia@
@sèrbo@|@Serbian@
@seréuia@|@sawdust@
@seròu@|@closed@
@serpénte (nm)@|@snake@
@servî@|@to serve, to be useful@
@servìçio@|@service@
@servitù@|@servitude@
@servîxo@|@favour@
@Sesægo@|@Sessàrego (GE)@
@sesægo (ag.)@|@from Sessàrego (GE)@
@sésia@|@drought@
@sèsto@|@sixth@
@sestrìn@|@from Sestri (GE)@
@setànta@|@seventy@
@sèteçénto@|@seven hundred@
@setemànn-a@|@week@
@Setemànn-a Sànta@|@Holy Week@
@seténbre@|@September@
@sétimo@|@seventh@
@sètte@|@seven@
@seu (nf)@|@sister@
@sêua@|@sole (of shoe)@
@séucai (mpl)@|@hoofs (horse), hooves (horse)@
@séucou@|@hoof (horse)@
@sêuxoa@|@mother-in-law@
@sêuxoi (mpl)@|@parents-in-law@
@sêuxoo@|@father-in-law@
@sezén@|@sixteenth@
@sézze@|@sixteen@
@sfiarsoâ@|@to fray@
@sfiarsoâse@|@to fray@
@sfilâ (nf)@|@parade@
@sfrouxâ@|@to cheat, to deceive@
@sfròuxo@|@scam, trap, fraud, trick@
@sganzîa@|@shelf@
@sgheuâ@|@to fly@
@sghêuâ@|@to fly@
@sghêuo@|@flight@
@sgoarón@|@nonsense, blunder, gross mistake@
@sgoasón@|@shower (rain), downpour@
@sgobâ@|@to toil, to work hard, to labour@
@sgreiâ@|@to waste, to squander@
@sgreión@|@squanderer, spendthrift@
@sgréuzzo@|@rude, rough, coarse@
@sgrìgoa@|@wall lizard@
@sgrugiâ@|@to slip@
@siâ@|@to hiss, to whistle@
@siâso@|@sieve@
@Sicìlia@|@Sicily@
@siciliàn@|@Sicilian (from Sicily)@
@Silvèstro@|@Sylvester@
@sìngai (mpl)@|@Gypsies@
@singolâre@|@singular@
@sìngou@|@Gypsy@
@sìsma@|@earthquake@
@sìtto@|@quiet@
@slèrfa@|@big quantity@
@slovàcco@|@Slovakian@
@smétte@|@to stop, to quit@
@Smìrna@|@İzmir (Turkey), Smyrna (Turkey)@
@sô@|@sun@
@sobórgo@|@suburb@
@sòccio@|@associate, member@
@sociâle@|@social@
@socjêtæ@|@society@
@sodalìçio@|@association@
@sofà (nm)@|@sofa@
@sofranìn@|@match (for lighting fire)@
@Söi@|@Sori (GE)@
@solaménte@|@only, just@
@solénne@|@solemn@
@soliêvo@|@relief@
@solitâio@|@lonely, lonesome@
@sôlo@|@alone, just, only@
@Somàlia@|@Somalia@
@sòmalo@|@Somali@
@somitæ@|@top@
@són (n)@|@sound@
@són (v)@|@ago@
@sorditæ@|@deafness@
@sórdo@|@deaf@
@sórfo@|@sulfur@
@sorîde@|@to smile@
@sorîzo@|@smile@
@sorpréiza@|@surprise@
@sòrte (nf)@|@luck, destiny@
@sorvenómme (nm)@|@nickname@
@sostantîvo@|@noun@
@sotomisción@|@submission@
@sourâ@|@to ballast@
@sòura@|@ballast@
@Spàgna@|@Spain@
@spàlla@|@shoulder@
@spanpanón@|@boastful@
@sparâ@|@to shoot@
@spâro@|@shot@
@spartîo@|@sheet music, score (music)@
@sparvê@|@sparrowhawk@
@spavénto@|@fright@
@speçiàia@|@pharmacy@
@spedagión@|@squanderer, spendthrift@
@spedî@|@to ship, to send, to despatch@
@spediçión@|@shipment, consignment, despatch, posting, postage, mailing, freight, expedition, campaign@
@spedîo@|@fast, quick@
@spedîo (ag.)@|@quick, fast@
@spedîo (av.)@|@quickly@
@spegàsso@|@ink stain@
@spegétti (mpl)@|@eyeglasses, glasses (eye)@
@spéiza@|@expenditure, shopping@
@spelinsigâ (nf)@|@pinch@
@spelinsigâ (v)@|@to pinch, to squeeze@
@spésse vòtte@|@often@
@spêtâ@|@to wait for, to await@
@spêta!@|@wait!@
@spezìn@|@from La Spezia (SP)@
@Spézza@|@La Spezia (SP)@
@spiâgia@|@beach@
@spiegâ@|@to explain@
@spîgo d'àggio@|@clove of garlic@
@sportigêua@|@fly of trousers, zip, zipper@
@spostâ@|@to move@
@Spötórno@|@Spotorno (SV)@
@spozâ@|@to marry@
@spozalìçio@|@wedding@
@spozòu@|@married@
@spremmilimoìn (nm)@|@lemon squeezer@
@spréscia@|@hurry, rush@
@sprînâ@|@to drizzle@
@sproìn (nm)@|@drizzle@
@sproinâ@|@to splash, to spatter, to drizzle@
@sproporçionòu@|@disproportionate@
@spropòxito@|@nonsense@
@spruzâ@|@to drizzle@
@sprùzzo@|@drizzle@
@spuâ@|@to spit@
@spuêa@|@spittoon@
@spûgna@|@sponge@
@spûo@|@spit, saliva@
@spusâ@|@to stink@
@spusoénto@|@stinky@
@spusolénte (it.)@|@stinky@
@spusolénto@|@stinky@
@spùssa@|@stink, stench, smell, niff@
@squacìn (nm)@|@bow (movement)@
@squàddra@|@team@
@squæo@|@dogfish, shark@
@squæxi@|@almost@
@squarsón (nm)@|@bully, toughie@
@squàscio@|@disaster@
@squizîo@|@delicious, exquisite@
@sta@|@this (f)@
@stâ@|@to be@
@stâ a l'èrta@|@to be alert, to be on the lookout, to be on the watch, to be on the alert@
@stâ a l'éuggio@|@to be alert, to be on the alert, to be on the lookout, to be on the watch@
@stâ a pèrde o ténpo@|@to idle@
@stâ a sentî d'arescôzo@|@to eavesdrop@
@stâ a-a làrga@|@to stay away@
@stâ a-i pàtti@|@to keep one's word@
@stâ aténto@|@to be alert, to be on the alert, to beware, to pay attention@
@sta chi@|@this one (f)@
@stâ de cà@|@to live@
@stâ de câza@|@to live@
@stâ in oegión@|@to listen carefully@
@stâ in sce l'averténsa@|@to be alert@
@stàbile@|@stable (adj.), steady@
@stabilî@|@to establish, to set@
@stabiliménto@|@establishment@
@stabilîo@|@established@
@stacâ@|@to untie, to pull out, to turn off, to stand out@
@stàcca@|@pocket@
@staçión@|@station@
@stacòu@|@off@
@stàdio@|@stadium@
@stæ (nf)@|@summer@
@stafî (nm)@|@stirrup leather@
@Stagén@|@Staglieno (GE)@
@stàggio@|@pigsty@
@stâghe o pöco e l'asæ@|@to fit loosely@
@stagión@|@season@
@stagnìn (nm)@|@plumber@
@stagnón@|@watering can@
@stàlla@|@stable@
@stamatìn@|@this morning@
@stàmme a sentî!@|@listen to me!@
@stancâ@|@to tire@
@stancâse@|@to get tired@
@stanchéssa@|@weariness, tiredness@
@stànco (ag.)@|@tired@
@stànco (nm)@|@tobacconist@
@stanéutte@|@tonight, yesterday night@
@stànni a l'éuggio!@|@beware!@
@stànni sìtto!@|@be quiet!@
@stanpâ@|@to print@
@stanpànte (nf)@|@printer@
@stanpòu (ag.)@|@printed@
@stanpòu (nm)@|@printer, editor@
@stànsa@|@room, bedroom@
@stànsia@|@room, bedroom@
@stansìn@|@small room@
@stantîo@|@rancid@
@stantùffo@|@piston@
@staséia@|@this evening, tonight, this afternoon@
@Stâti Unîi (mpl)@|@United States@
@stâto@|@state@
@stàtoa@|@statue@
@statûa@|@height@
@statûto@|@statute@
@ste@|@these (f)@
@ste chi@|@these ones (f)@
@Stêa@|@Steven@
@Stêia@|@Stella (SV)@
@stélla@|@star@
@stentâ a@|@to find it hard to@
@sténto@|@hardship@
@sterlìnn-a@|@sterling@
@stêua@|@mat@
@stêumago@|@stomach@
@Stêva@|@Steven@
@Stevìn@|@Steven@
@sti@|@these (m)@
@sti chi@|@these ones (m)@
@stiâ@|@to iron@
@stìggio@|@thin@
@stîle (nm)@|@style@
@stimâ@|@to esteem, to appreciate@
@stisìn (nm)@|@bit, little@
@stisinìn (nm)@|@little bit@
@stìssa@|@drop@
@stîva@|@stove@
@stivâ (nm)@|@boot@
@stivæ (nmpl)@|@boots@
@sto@|@this (m)@
@sto chi@|@this one (m)@
@stocâ@|@to break into pieces@
@stochefìsce (nm)@|@stockfish, dried cod@
@stochefìsce acomodòu@|@dried cod in a sauce@
@stonâ@|@to be out of tune@
@stonatûa@|@false note (sound)@
@stondâio@|@lunatic, bad-tempered@
@stonòu@|@off-key, tone-deaf, out of tune@
@stopìn (nm)@|@candlewick@
@stopôzo (o mangiâ)@|@sinewy, fibrous@
@stórbio@|@turbid, dreggy, shady@
@stòrçe@|@to bend, to twist@
@stòrico@|@historical@
@stornéllo@|@popular lyric@
@stórno@|@starling (bird)@
@stòrto@|@twisted, crooked, bent@
@stracâo@|@very dear@
@stracàrego@|@overloaded@
@stràcco@|@tired@
@stràdda@|@street, way@
@stràdda ferâ@|@railway@
@stràdda ferâ (nf)@|@railway@
@stradón@|@wide road@
@stragiâ@|@to waste, to squander@
@stragión@|@squanderer, spendthrift@
@stralabiâ@|@to talk nonsense@
@stralatâ@|@to waste, to squander@
@stralatón@|@squanderer, spendthrift@
@straléuggio@|@cross-eyed@
@stramuâ@|@to move (away)(home)@
@stramûo@|@move (house), removal (house)@
@strànbo@|@cross-eyed, one-eyed@
@stranbòtto@|@nonsense, blunder, gross mistake@
@stranéssa@|@rarity@
@strangoâ@|@to strangle, to throttle@
@strànio@|@stranger, strange@
@strâno@|@strange, weird@
@stranuâ@|@to sneeze@
@stranûo@|@sneeze@
@straparlâ@|@to talk nonsense@
@strapìn@|@packed, overcrowded, crammed@
@strapónta@|@mattress@
@strasón@|@ragged@
@stràsse (nfpl)@|@rags@
@strazétto@|@short cut@
@stréito@|@narrow, strait@
@strénze o cheu@|@to distress@
@strepâ@|@to tear out, to rip off, to pull out@
@strepéllo@|@nonsense@
@strîa@|@witch@
@strilâ@|@to scream, to screech@
@strilæn (nm)@|@dog lead@
@strinâ@|@to singe, to scorch@
@strìnga@|@lace, tie@
@strìnga de scàrpe@|@shoelace, shoestring@
@strofóggio@|@wrinkle@
@strofogiâ@|@to crease, to wrinkle@
@strofogión@|@sloppy, slapdash@
@strónscio@|@trunk, log@
@stropiâ@|@to cripple@
@strosciâ@|@to twist@
@strosciòu@|@twisted@
@struménto@|@instrument@
@Strùppa@|@Struppa (GE)@
@strùsso@|@ostrich@
@stùccio@|@case@
@studénte@|@student (m), pupil (m)@
@studentéssa@|@student (f), pupil (f)@
@studiâ@|@to study@
@stùdio@|@study@
@stufâ@|@to annoy@
@stùffa@|@stove@
@stùffo@|@annoyed@
@stupefæto@|@astonished@
@stupéndo@|@gorgeous@
@stupî@|@to surprise@
@stupîo@|@astonished, amazed@
@stupîse@|@to get surprised@
@stupô@|@astonishment, amazement@
@Stùrla@|@Sturla (GE)@
@suâ@|@to sweat@
@subastâ@|@to auction@
@subàsta@|@auction@
@subî@|@to suffer@
@sùbito@|@soon, immediately@
@sùbito dòppo@|@right after@
@sùbito prìmma@|@right before@
@Sucælo@|@Zuccarello (SV)@
@sùcca@|@pumpkin@
@sucêde@|@to follow, to happen@
@sucesô@|@successor@
@sucèsso@|@success@
