@English@|@Brazilian Portuguese@
@to water down@|@adulterar (bebida), enfraquecer@
@to wave@|@acenar, enrolar, ondular, oscilar@
@to waver@|@balançar-se, tremeluzir, vacilar@
@to wax@|@aumentar, crescer, encerar@
@to wear@|@vestir@
@to wear down@|@cansar@
@to wear off@|@perder o efeito@
@to wear out@|@desgastar, esgotar, fatigar@
@to weather@|@arejar, desviar de tempestade (navio)@
@to weave@|@tecer@
@to wed@|@casar(-se)@
@to wedge@|@atochar, calçar (com cunha), fender@
@to wee@|@urinar@
@to weed@|@arrancar ervas daninhas, extirpar@
@to weep@|@lamentar@
@to weeze (slang)@|@pegar algo sem pedir permissão@
@to weigh@|@pesar, ponderar@
@to weight@|@sobrecarregar, tender a@
@to weightlift@|@levantar pesos@
@to welt@|@açoitar, costurar franja (em roupa), debruar, orlar@
@to wench@|@andar em más companhias, sair com prostitutas@
@to whack@|@dividir (gíria), golpear, remover (gíria médica)@
@to whet@|@aguçar, amolar@
@to whiff@|@farejar, fungar@
@to while away@|@transcorrer@
@to whimper@|@choramingar, lamuriar-se@
@to whine@|@choramingar, lamentar-se, queixar-se@
@to whip@|@açoitar, chicotear, espancar, frustrar-se@
@to whip off@|@arrebatar, despir (com violência)@
@to whir@|@zumbir, zunir@
@to whirl@|@girar, rodopiar, voltear@
@to whisper@|@soprar, sussurrar@
@to whistle@|@apitar, assobiar@
@to whitewash@|@caiar, encobrir erros, justificar@
@to wholesale@|@vender por atacado@
@to whom it may concern@|@a quem possa interessar@
@to whoop@|@bradar, respirar com dificuldade@
@to whoop up@|@fazer algazarra@
@to wield@|@brandir, exercer, manejar@
@to will@|@decretar, dispor, futuridade (verbal), querer@
@to win@|@vencer@
@to wince@|@encolher-se, franzir o cenho, retrair-se@
@to wind up@|@dar corda, dar corda (relógio etc), excitar, finalizar@
@to winnow@|@catar (arroz etc), escolher@
@to wipe@|@enxugar, esfregar@
@to wipe off@|@esfregar@
@to wipe out@|@aniquilar, arrasar, dizimar, erradicar, obliterar@
@to wish@|@desejar, querer@
@to witch@|@enfeitiçar@
@to withdraw@|@afastar, distanciar(-se), retirar, sacar@
@to withhold@|@negar, recusar, reter@
@to withstand@|@desafiar, opor, resistir, suportar@
@to witness@|@assistir, depor, presenciar, testemunhar@
@to wobble@|@bambolear, cambalear, vacilar@
@to wonder@|@imaginar@
@to work@|@operar, trabalhar@
@to work out@|@elaborar, exercitar@
@to work overtime@|@fazer hora extra@
@to worm@|@arrastar-se, serpentear@
@to worry@|@importunar, inquietar-se, perturbar, preocupar-se@
@to worship@|@adorar, reverenciar@
@to wound@|@ferir, magoar@
@to wrap@|@cobrir, dar um giro (gíria), embalar, empacotar@
@to wreak@|@dar vazão (a sentimentos), desabafar@
@to wreck@|@arruinar, destruir, naufragar@
@to wrench@|@deslocar@
@to wrestle@|@brigar, contorcer-se, debater, lutar@
@to wring@|@retorcer@
@to write@|@escrever@
@to write off@|@dar baixa@
@to writhe@|@contorcer, falsear, retorcer@
@to yack@|@tagarelar@
@to yank@|@empurrar@
@to yarn@|@contar uma lorota, inventar uma história, mentir@
@to yell@|@esgoelar@
@to yen@|@sentir saudades@
@to yield@|@capitular, entregar(-se), produzir, render(-se)@
@to yield to a sex call@|@dar (vulgar)@
@to zap@|@cozinhar (microondas), explodir bomba atômica@
@to zero in on@|@concentrar a atenção, focar, mirar, orientar-se@
@to zigzag@|@ziguezaguear@
@to zip@|@fechar o zíper, zunir@
@to zip out@|@sair às pressas@
@to zip up@|@fechar com zíper@
@to zonk out (EUA)@|@apagar, cair no sono, perder a consciência@
@toad@|@sapo@
@toast@|@brinde, torrada@
@toaster@|@torradeira@
@tobacco@|@fumo, tabaco@
@tocsin@|@sinal de alerta, toque de sino@
@today@|@atualmente, hoje@
@toddy@|@grogue@
@to-do (slang)@|@alvoroço, barraco (gíria)@
@toe@|@dedo (do pé)@
@together@|@bem de cabeça (informal), conjunto, junto@
@toil@|@faina, labuta, trabalho@
@toilet@|@banheiro, cuidados pessoais, lavatório, toalete, vaso sanitário@
@toilet bag@|@nécessaire@
@toilet paper@|@papel higiênico@
@toilet soap@|@sabonete@
@toilsome@|@cansativo@
@token@|@espécime, ícone, lembrança (objeto), símbolo@
@Tokyo@|@Tóquio@
@tolerance@|@tolerância@
@tolerant@|@tolerante@
@toll@|@pedágio, preço, taxa@
@toll call@|@chamada interurbana, DDD, ligação interurbana@
@toll road@|@estrada pedagiada@
@tomato@|@tomate@
@tomb@|@túmulo@
@tomboy@|@garota levada, garota sapeca@
@tombstone@|@lápide@
@tome@|@tomo@
@Tommy gun@|@metralhadora calibre .45@
@tomorrow@|@amanhã@
@tomorrow morning@|@amanhã de manhã@
@ton@|@tonelada@
@tone@|@aspecto, timbre, tom, tonicidade@
@tone colour@|@colorido tonal, timbrístico@
@tongs@|@alicate@
@tongue@|@idioma, língua@
@tongue-in-cheek@|@com ironia, jocosamente@
@tonic@|@tônico(a)@
@tonnage@|@tonelagem@
@tonsil@|@amígdala@
@too@|@muito, também@
@too much@|@demasiado@
@tool@|@ferramenta@
@tool (slang)@|@bruto (gíria)@
@toot@|@som de buzina@
@tooth@|@dente@
@toothache@|@dor de dente@
@toothbrush@|@escova de dentes@
@toothless@|@desdentado@
@toothpaste@|@pasta de dentes@
@top@|@ápice, lona (circo), pião, pico, ponta, top (roupa), topo@
@top (adj.)@|@máximo, superior@
@top floor@|@último andar@
@top management@|@alta direção@
@top sirloin cap@|@picanha@
@topaz@|@topázio@
@top-dressing@|@adubação de cobertura@
@topic@|@tema, tópico@
@topnotch@|@de primeira linha@
@topography@|@topografia@
@topping@|@cobertura, revestimento@
@topside (beef cut)@|@coxão mole@
@torch@|@archote@
@torment@|@tormento@
@tornado@|@tornado@
@toroid@|@toróide@
@toroidal@|@toroidal@
@torpedo@|@torpedo@
@torpedo boat@|@torpedeiro@
@torpid@|@adormecido, dormente, entorpecido@
@torpidity@|@torpidez@
@torpor@|@torpor@
@torrent@|@torrente@
@torrid@|@tórrido@
@torsion@|@torção, torcedura@
@tortoise@|@tartaruga@
@torture@|@tormento, tortura@
@torturer@|@torturador@
@torus@|@toro, toróide@
@tosh@|@baboseira, lero-lero@
@toss@|@arremesso, lançamento, queda, sacudida@
@toss up@|@jogar cara ou coroa@
@tossing@|@balanço@
@total@|@total@
@Total Cost of Ownership@|@custo total de propriedade@
@total disability@|@incapacidade total (seguro)@
@totalitarian@|@totalitário@
@totalitarianism@|@totalitarismo@
@totality@|@totalidade@
@totally@|@totalmente@
@tote@|@sacola@
@touch@|@ataque (doença), contato, tato, toque@
@touch screen@|@tela sensível ao toque@
@touchdown@|@aterrisagem, gol (futebol americano)@
@touched@|@combinado, perturbado (mentalmente), tingido@
@touchstone@|@critério, medida, padrão@
@tough@|@árduo, duro, resistente, rijo, rufião, vigoroso@
@tough guy@|@brutamontes, valentão@
@tour@|@excursão, viagem@
@tour conductor@|@guia de turismo@
@tourism@|@turismo@
@tourist@|@turista@
@tourmaline@|@turmalina@
@tournament@|@torneio@
@tourney@|@torneio@
@tout@|@camelô, mascate, palpiteiro@
@tow@|@reboque, toa@
@toward@|@em direção a@
@towards@|@na direção de@
@towel@|@toalha@
@tower@|@fortaleza, torre@
@tower silo@|@silo vertical@
@towering@|@crescente, elevado, eminente, feroz, intenso@
@town@|@cidade, urbe@
@town hall@|@prefeitura (edifício)@
@town house@|@câmara@
@township@|@câmara municipal, jurisdição, municipalidade@
@tow-truck@|@guincho (veículo)@
@toxic@|@tóxico@
@toy@|@brinquedo@
@traceability@|@rastreabilidade@
@track@|@pista@
@tract@|@panfleto, região, trato@
@traction@|@tração@
@trade@|@comércio, profissão@
@trade acceptance@|@aceite comercial@
@trade balance@|@balança comercial@
@trade mark (TM)@|@marca de fábrica, marca registrada@
@trade name@|@nome comercial@
@trade surplus@|@superávit comercial@
@trade union@|@sindicato@
@trade union movement@|@movimento sindical, sindicalismo@
@trade wind@|@monção (vento)@
@trademark@|@marca registrada@
@trademark argument@|@argumento da marca@
@trading@|@comércio, negócio@
@trading center@|@centro comercial, praça (comercial)@
@traditional@|@ortodoxo, tradicional@
@traffic@|@tráfego de dados, trânsito@
@traffic jam@|@engarrafamento de trânsito@
@tragedy@|@tragédia@
@tragic@|@trágico@
@tragicomic@|@tragicômico@
@trailing edge@|@bordo de fuga@
@train@|@trem@
@trainee@|@estagiário@
@trainer@|@treinador@
@training@|@preparação, treinamento@
@trait@|@atributo, característica, feição, traço@
@traitor@|@traidor@
@tralatitious@|@tradicional@
@tram@|@bonde elétrico@
@tramp@|@caminhada, navio charter, vagabundo(a)@
@trampoline@|@trampolim@
@tranche@|@fatia@
@tranquil@|@tranqüilo@
@tranquility@|@tranqüilidade@
@tranquilizer@|@calmante, tranqüilizante@
@transaction@|@operação, transação@
@transatlantic@|@transatlântico@
@transcendent@|@transcendente@
@transcendental@|@transcendental@
@transcendental signified@|@transcendental assinalado@
@transcript@|@cópia, transcrição, transcrito@
@transept@|@transepto@
@transfer@|@transferência, traslado@
@transfer deed@|@escritura de transmissão@
@transfer of funds@|@transferência de fundos@
@transfer of rights@|@transferência dos direitos@
@transferable@|@transferível@
@transferable credit@|@crédito transferível@
@transferee@|@beneficiário de transferência, endossatário@
@transfusion@|@transfusão@
@transgression@|@transgressão@
@transhipment@|@baldeação, transbordo@
@transient@|@transitório@
@transistor@|@transistor@
@transit@|@trânsito@
@transition@|@transição@
@transitory@|@transitório@
@translation@|@deslocamento, tradução@
@translator@|@tradutor@
@transmigration@|@transmigração@
@transmission@|@transmissão@
@transparency@|@slide, transparência@
@transparent@|@transparente@
@transpiration@|@transpiração@
@transplant@|@transplante@
@transplantation@|@transplante@
@transport@|@arrebatamento, transporte@
@transposing instrument@|@instrumento transpositor@
@transposition@|@inversão (de números), transposição@
@transverse@|@transversal@
@transvestite@|@travesti@
@trap@|@alçapão, armadilha, cilada, laço, ratoeira@
@trapeze@|@trapézio@
@trapeze line@|@linha trapézio@
@trappings@|@adornos, arreios@
@trash@|@lixo, refugo, sujeira@
@traumatic@|@traumático@
@traumatism@|@traumatismo@
@travail@|@faina, labor, labuta, trabalho de parto@
@travel@|@viagem@
@traveler@|@viajante@
@traveler's check@|@cheque de viagem@
@traveller@|@caminhante, passageiro, viajante@
@travelling@|@viagem@
@travelling wave type antenna@|@antena de onda progressiva@
@traverse@|@atravessado, contestação, parapeito, transversal@
@traverse board@|@rosa-dos-ventos@
@travesty@|@mascarada, paródia@
@trawl@|@arrastão (rede)@
@tray@|@bandeja@
@treacherous@|@desleal, traiçoeiro@
@treachery@|@perfídia, traição@
@treason@|@deslealdade, traição@
@treasonist@|@traidor@
@treasure@|@riqueza, tesouro@
@treasury@|@tesouraria, Tesouro (nacional)@
@treat@|@guloseima@
@treatise@|@tratado@
@treaty@|@aliança, tratado@
@treble@|@agudos (música), dual, soprano, triplicado@
@treble-clef@|@clave de Sol@
@tree@|@árvore@
@tree frog@|@perereca@
@treetop@|@topo da árvore@
@trefoil@|@trevo, trifólio@
@tremble@|@estremecimento, tremor@
@trembling@|@tremor@
@tremor@|@tremor@
@tremulous@|@trêmula (voz)@
@trench@|@fosso@
@trench coat@|@trench-coat@
@trend@|@direção, gosto popular, tendência@
@trendy@|@na moda@
@trepan@|@trépano@
@trespass on the case@|@ação de reparação@
@trespass to try little@|@ação de reintegração de posse@
@trespass vi et armis@|@ação de esbulho possessório@
@triad@|@tríade, trindade@
@triadic@|@triádico@
@trial@|@experiência, julgamento, provação, tentativa@
@trial (probability)@|@ensaio, lançamento (probabilidade)@
@trial balance@|@balancete@
@trial order@|@pedido experimental@
@triangle@|@triângulo@
@triaxial blend@|@mistura triangular@
@tribe@|@classe, tribo@
@tribulation@|@adversidade, contrariedade, tribulação@
@trick@|@artimanha, calote, fraude, peça, travessura, truque@
@trickster@|@trapaceiro@
@tricky@|@ardiloso, enganador@
@trifle@|@ninharia@
@trigger@|@gatilho@
@trill@|@garganteio@
@trillion@|@trilhão@
@trilogy@|@trilogia@
@trimming tool@|@ferramenta para desbastar@
@Trinity@|@Trindade (Pai-Filho-Esp.Santo)@
@trinket@|@badulaque@
@trip@|@viagem@
@tripe@|@contra-senso, tripa@
@tripe stew@|@dobradinha@
@triplet@|@tripleto@
@triplicate@|@triplicata@
@tripod@|@tripé@
@trite@|@banal, batido, trivial@
@triumph@|@triunfo@
@triumphal@|@triunfal@
@triumphant@|@triunfador, triunfante@
@triumvirate@|@triunvirato@
@trivet@|@tripé, trípode@
@trivia@|@futilidade, ninharia@
@trivial@|@trivial@
@Trojan horse@|@cavalo de Troia@
@trolley@|@bonde (elétrico), carrinho de chá (GB)@
@trombone@|@trombone@
@trompe l'oeil effect@|@efeito trompe l'oeil@
@troop@|@tropa@
@trooper@|@cavalariano, policial montado, soldado motorizado@
@trope@|@alegoria, tropo (literatura)@
@trophy@|@troféu@
@tropic@|@trópico@
@tropical@|@tropical@
@trot@|@trote@
@troubadour@|@trovador@
@trouble@|@embaraço, encrenca, incômodo, problema@
@trough@|@calha, tina@
@troupe@|@companhia (teatral), trupe@
@trousers@|@calças@
@trousers suit@|@terninho (GB)@
@trout@|@truta@
@trowel (mason)@|@colher@
@Troy@|@Tróia@
@truce@|@trégua@
@truck@|@caminhão, vagão@
@trucker@|@caminhoneiro@
@trucking@|@transporte rodoviário@
@trucking company@|@transportadora@
@truckle@|@cama-reserva, cama de baixo (de bicama)@
@truckle bed@|@catre@
@truckstop@|@parada de caminhoneiros, restaurante de estrada@
@trudge@|@caminhada penosa@
@truly@|@sinceramente, verdadeiramente@
@truly yours@|@atenciosamente@
@trumpet@|@trompete (piston)@
@trunk@|@baú, tora, tromba, tronco@
@trunk call@|@ligação interurbana@
@truss@|@amarrado, funda (hérnia), suporte@
@trust@|@cartel, custódia, encargo, fiança, guarda, truste, tutela@
@trust deed@|@escritura de fideicomisso@
@trust fund@|@fundo de fideicomisso@
@trust indenture@|@contrato de custódia@
@trust receipt@|@recibo de confiança, termo de responsabilidade@
@trustee@|@administrador, curador, depositário, fiduciário@
@truster@|@fiador@
@trustful@|@confiante@
@trusty@|@confiável, fidedigno@
@truth@|@verdade@
@truth-apt@|@suscetível de verdade@
@truthful@|@sincero, verdadeiro@
@truth-functional@|@verofuncional@
@truth-table@|@tabela-verdade@
@trying@|@difícil, penoso, tentativa@
@trying on@|@prova (de roupa)@
@T-shirt@|@camiseta@
@tsunami@|@maremoto, tsunami@
@tub@|@banho, cuba, tina, tonel@
@tuba@|@tuba@
@tube@|@bisnaga, canal, cano, conduto, metrô, tubo, válvula@
@tube baby@|@bebê-de-proveta@
@tubercle@|@tubérculo@
@tuberculosis@|@tuberculose@
@tubing@|@encanamento, serpentina, tubulação@
@tubular dress@|@tubinho (vestido), vestido tubo@
@Tuesday@|@terça-feira@
@tuft@|@tufo@
@tug@|@puxão, rebocador@
@tuition@|@mensalidade (escolar), reforço (escolar)@
@tulip@|@tulipa@
@tulle@|@tule@
@tumbler@|@acrobata, copo (grande)@
@tummy@|@barriga, pança@
@tumor@|@tumor@
@tumult@|@comoção, desordem, tumulto@
@tun@|@tonel@
@tuna@|@atum@
@tuneful@|@harmonioso@
@tuner@|@afinador, diapasão, receptor de rádio@
@tunic@|@túnica@
@tuning@|@afinação, sintonia@
@tuning fork@|@diapasão@
@tunnel@|@cano de chaminé, túnel@
@Tupi-Guarani@|@tupi-guarani@
@turbid@|@lodoso, turvo@
@turbine@|@turbina@
@tureen@|@terrina@
@turf@|@grama, prado (corridas), turfa, turfe@
@turgid@|@bombástico, inchado, intumescido, túrgido@
@Turk@|@turco@
@turkey@|@peru@
@Turkey@|@Turquia@
@Turkish@|@turco@
@turmoil@|@agitação, baderna@
@turn@|@giro, modo, passeio, rotação, turno, vez, volta@
@turn about@|@fazer meia-volta@
@turn down@|@inverter@
@turn in@|@virar para dentro@
@turn off@|@afastar(-se)@
@turn sour@|@azedar@
@turn to@|@recorrer a@
@turn-coat@|@vira-casaca@
@turner@|@torneiro@
@turning point@|@ponto de inflexão, virada@
@turnip@|@nabo@
@turnkey@|@carcereiro, guarda (de prisão)@
@turnoff@|@brochante (gíria), retorno (viário)@
@turn-on@|@excitante@
@turnover@|@circulação, giro, movimentação, rotatividade@
@turnpike@|@estrada pedagiada@
@turnstile@|@roleta@
@turnstile (door)@|@borboleta@
@turpentine@|@terebentina@
@turpitude@|@depravação@
@turquoise@|@turquesa@
@turret@|@torreão, torreta@
@turtle@|@tartaruga@
@turtledove@|@rola@
@tuxedo (EUA)@|@smoking@
@TV@|@televisão, TV@
@tv set@|@televisor@
@twaddle@|@lero-lero@
@twat@|@boceta (vulgar), xoxota (vulgar)@
@twelve@|@doze@
@twenty@|@vinte@
@twice@|@duas vezes@
@twice a day@|@duas vezes por dia@
@twiddle@|@giro, rodopio@
@twig@|@galho, ramo@
@twilight@|@crepúsculo@
@twin@|@gêmeo@
@twin beds@|@camas separadas (hotel)@
@twin set@|@twin-set@
@twine@|@barbante@
@twinkle@|@cintilação, piscadela@
@twinkling@|@cintilante, instante, piscante@
@twirl@|@giro, rodopio@
@twist@|@jeito, torção, trança@
@twit@|@bobo@
@two@|@dois (duas)@
@twofold@|@duplicado@
@twofold receipt@|@recibo em duas vias@
@two-sided@|@bilateral@
@two-way interactionism@|@interacionismo reflexivo@
@two-way street@|@rua de mão dupla@
@two-way thruway@|@via de mão dupla@
@tychism@|@tiquismo@
@tyke@|@bárbaro, rústico@
@tympan (percussion)@|@tímpano@
@tympanum@|@tímpano@
@type@|@tipo@
@type/token@|@tipo/espécime@
@typewriter@|@máquina de escrever@
@typhoid@|@febre tifóide, tifo, tifóide@
@typhus@|@tifo@
@typical@|@típico@
@typist@|@datilógrafo@
@typo@|@erro tipográfico@
@typographer@|@tipógrafo@
@tyrannical@|@tirânico@
@tyranny@|@tirania@
@tyrant@|@tirano@
@tyre (GB)@|@pneu, pneu(mático)@
@tyre fitter@|@borracheiro@
@tyro@|@calouro, iniciante, noviço@
@ubiquity@|@onipresença, ubiqüidade@
@udder@|@teta, úbere@
@UFO@|@OVNI@
@ufologist@|@ufologista@
@ufology@|@ufologia@
@ugliness@|@feiúra, maldade@
@ugly@|@feio, mau@
@UHF@|@UHF (Freqüência Ultra-Alta)@
@UID (User IDentification)@|@login, UID (identificação do usuário)@
@UK (United Kingdom)@|@Reino Unido (Grã-Bretanha)@
@Ukraine@|@Ucrânia@
@Ukrainian@|@ucraniano@
@ulcer@|@chaga, úlcera@
@ulterior@|@oculto, ulterior@
@ultimate@|@definitivo, final, supremo, último@
@ultimately@|@por fim@
@ultimatum@|@ultimato@
@ultimo@|@do mês passado, no mês passado@
@ultrasound@|@ultra-som@
@ultrasound scanning@|@ultra-sonografia@
@ultraviolet@|@ultravioleta@
@UMB (Upper Memory Blocks)@|@UMB (blocos de memória alta)@
@umber@|@marrom-chocolate, marrom-escuro@
@umbrella@|@guarda-chuva, guarda-sol@
@umlaut@|@trema (¨)@
@ump@|@árbitro (beisebol)@
@umpire@|@árbitro (beisebol)@
@unabashed@|@desavergonhado, descarado@
@unabated@|@intenso, sem parar, sem pausa@
@unable@|@impotente, incapaz@
@unable to copulate@|@brocha (vulgar)@
@unabridged@|@inteiro, não abreviado@
@unaccented@|@atônico, sem acento, sem ênfase@
@unacceptable@|@inaceitável@
@unaccessible@|@inacessível@
@unaccommodating@|@desobrigado, imprestável, não acomodado, não comprometido, não cooperativo, não obsequioso@
@unaccompanied@|@desacompanhado@
@unaccountable@|@inexplicável, irresponsável@
@unaccredited@|@desautorizado, sem licença@
@unaccustomed@|@desafeito@
@unalert@|@distraído@
@unalike@|@diferente, dissimilar@
@unalloyed@|@puro (metal)@
@unanimous@|@unânime@
@unassailable@|@inatacável, inviolável@
@unattackable@|@inatacável@
@unavailability@|@indisponível@
@unavailable@|@não disponível@
@unavailing@|@fútil, ocioso@
@unavoidable@|@inevitável@
@unaware@|@desatento, desprevenido, ignorante@
@unbecoming@|@descabido@
@unbelievable@|@inacreditável@
@unbeliever@|@descrente, incrédulo, infiel@
@unbiased@|@despreconceituoso, imparcial@
@unbounded quantifiers@|@quantificadores ilimitados@
@unbridgeable@|@inconectável@
@unburdened@|@livre do fardo, não sobrecarregado@
@unburied@|@insepulto@
@uncalled-for@|@arbitrário, dispensável, gratuito@
@uncannily@|@estranhamente@
@uncertainty@|@incerteza@
@unchangeable@|@imutável, inalterável@
@unclaimed@|@não reclamado@
@unclaimed balance@|@saldo inativo@
@uncle@|@tio@
@Uncle Tom@|@Pai Tomás (vide "Tom")@
@unclean@|@impuro@
@unclear@|@indefinido, obscuro@
@uncollected funds@|@depósitos a compensar, fundos não cobrados@
@uncollectible@|@incobrável@
@uncomfortable@|@desconfortável@
@uncommon@|@incomum@
@uncongenial@|@antipático, hostil, incompatível@
@unconnected@|@avulso@
@unconquerable@|@inconquistável@
@unconscious@|@desmaiado@
@uncontrollable@|@incontrolável@
@unconventional@|@incomum, não convencional@
@unction@|@unção@
@unctuous@|@untuoso@
@uncultured@|@inculto, ingênuo@
@undecided@|@indeciso@
@undeniable@|@inegável@
@under@|@sob@
@under control@|@disciplinado, sob controle@
@under no circunstances@|@de jeito algum, de modo nenhum@
@under protest@|@sob protesto@
@under the auspices of@|@sob o patrocínio de@
@underbred@|@mal-criado, sem educação@
@underbrush@|@arbustos (sob árvores maiores)@
@undercarriage@|@trem de pouso@
@undercharge@|@carga insuficiente (explosivo), preço reduzido@
@underdog@|@azarado, perdedor@
@underfed@|@subnutrido@
@underfired@|@queimada a menos@
@underglaze@|@baixo-esmalte@
@underground@|@oculto, porão, secreto, subterrâneo, túnel@
@underground (music)@|@alternativo(a)@
@underground tube (GB)@|@metrô, trem subterrâneo@
@underhanded@|@clandestino, furtivo@
@underinsured@|@subsegurado@
@underinvoicing@|@subfaturamento@
@underline@|@sublinha@
@underlying@|@fundamental, implícito, subjacente@
@underlying company@|@companhia subsidiária@
@underneath@|@abaixo, debaixo, por baixo, sob@
@underpants@|@cuecas@
@underscore@|@sublinha@
@undershirt@|@camiseta@
@undersigned@|@abaixo assinado, signatário@
@underskirt@|@anágua@
@understandable@|@compreensivo@
@understanding@|@acordo, compreensão, entendimento, percepção@
@understatement@|@meias-palavras@
@understood@|@compreendido, entendido@
@understructure@|@arcabouço, infra-estrutura@
@undertaker@|@agente funerário, papa-defunto (gíria)@
@undertone@|@gradação, semitom, significado implícito@
@undertow@|@corrente contrária, ressaca (marítima)@
@underway@|@a caminho, em ação, em movimento@
@underwear@|@roupa de baixo@
@underwood@|@matagal@
@underworld@|@submundo@
@underwriter@|@segurador, seguradora, subscritor de seguros@
@underwriting@|@subscrição@
@undeserved@|@imerecido, injusto@
@undesirable@|@inconveniente, indesejável@
@undeveloped@|@rudimentar, subdesenvolvido@
@undisputed@|@inconteste, inegável@
@undistinguished@|@insignificante, medíocre@
@undisturbed@|@impassível@
@undone@|@arruinado, desfeito, não feito@
@undoubtedly@|@indubitavelmente, sem dúvida@
@undreamed@|@não sonhado@
@undue influence@|@abuso de confiança@
@unduly@|@indevidamente, injustificadamente@
@undying@|@eterno, imortal@
@unease@|@distúrbio, incômodo@
@uneasiness@|@desassossego, desconforto, inquietação, mal-estar@
@uneasy@|@ansioso, incomodado, inquieto@
@unemployable@|@imprestável, não empregável@
@unemployed@|@desempregado, desocupado@
@unemployment@|@desemprego@
@unemployment compensation@|@salário-desemprego@
@unemployment insurance@|@seguro-desemprego@
@unencumbered@|@desonerado@
@uneven@|@ímpar@
@unevenness@|@desigualdade, disparidade@
@uneventful@|@corriqueiro, sem importância@
@unexpected@|@imprevisto, inesperado@
@unfailing@|@indefectível, infalível@
@unfair@|@injusto, parcial@
@unfair competition@|@concorrência desleal@
@unfaithful@|@desleal@
@unfamiliar@|@estranho, não familiar@
@unfathomable@|@insondável@
@unfit@|@desqualificado, impróprio, incapaz, inepto@
@unforeseen@|@imprevisto@
@unforgettable@|@inolvidável@
@unforgivable@|@imperdoável, indesculpável@
@unforgiving@|@implacável, inexorável@
@unfortunate@|@infausto, infeliz@
@unfriendly@|@hostil, inamistoso@
@unfurnished@|@não mobiliado, sem móveis@
@ungainly@|@desajeitado@
@unglazed@|@não esmaltada(o)@
@unguent@|@ungüento@
@ungulate@|@ungulado@
@unhappiness@|@infelicidade@
@unhappy@|@infeliz@
@unhealthy@|@doentio@
@unheard@|@inaudito, não ouvido@
@unhurt@|@ileso, incólume@
@unicorn@|@unicórnio@
@unidimensional@|@unidimensional@
@uniform@|@farda@
@uniformity@|@uniformidade@
@unilateral@|@unilateral@
@unimpeachable@|@inatacável, irrepreensível@
@unimportant@|@irrelevante, sem importância@
@uninhabitable@|@inabitável@
@uninjured@|@ileso, incólume, intacto@
@unintegrated@|@não integrada, segregada@
@Uninterruptible Power Supply@|@fonte ininterrupta de energia@
@union@|@enlace, nexo, sindicato de trabalhadores, união@
@union dues@|@contribuição sindical@
@Union Jack@|@bandeira inglesa@
@union leader@|@líder sindical@
@unionist@|@sindicalista@
@unique@|@único@
@uniqueness@|@singularidade@
@unison@|@concordância absoluta, harmonia@
@unit@|@mecanismo, unidade@
@unit of voltaic battery@|@pilha@
@unit set@|@conjunto singular@
@unitary@|@unitário@
@united@|@unido@
@unitteller@|@caixa-executivo@
@unity@|@união, unidade@
@unity formula@|@fórmula unitária@
@universal@|@universal@
@universalizability@|@universalizabilidade@
@universe@|@universo@
@university@|@universidade@
@unjust@|@injusto@
@unjustifiable@|@injustificável@
@unjustified@|@injustificado@
@unkempt@|@desalinhado, despenteado@
@unkind@|@áspero, descortês, mau, rude@
@unknowing@|@desconhecimento, ignorância@
@unknowingly@|@inadvertidamente, inconscientemente, sem intenção@
@unknown@|@anônimo, desconhecido@
@unlawful@|@ilegal, ilícito@
@unleavened@|@ázimo (pão), sem fermento@
@unless@|@a menos, a menos que, exceto@
@unlikable@|@antipático, desagradável@
@unlike@|@diferente de, diverso@
@unlikely@|@improvável@
@unlimited@|@ilimitado@
@unlisted@|@não listado@
@unloading@|@descarga, descarregamento@
@unlucky@|@infeliz@
@unmanageable@|@indócil, indomável, intratável@
@unmarried@|@solteiro@
@unmatchable@|@desigual, desproporcionado@
@unmatched@|@incomparável, inigualável@
@unmerciful@|@impiedoso, inclemente@
@unmoral@|@amoral@
@unmoved@|@impassível@
@unnamed@|@sem nome@
@unnatural@|@anômalo, não natural@
@unnecessary@|@desnecessário@
@unneeded@|@desnecessário@
@unnoticed@|@despercebido@
@unobliging@|@desatencioso, descortês@
@unobserved@|@despercebido, não observado@
@unobtrusive@|@discreto, modesto@
@unoccupied@|@desocupado@
@unofficial@|@oficioso@
@unofficially@|@não oficialmente@
@unpaid@|@a pagar, não pago@
@unpaid balance@|@saldo não pago@
@unparalleled@|@incomparável, inigualável@
@unpardonable@|@indesculpável@
@unperceived@|@despercebido@
@unpleasant@|@aborrecido, desagradável@
@unpleasantness@|@enfado@
@unplugged@|@desligado, fora da tomada@
@unprecedented@|@sem precedentes@
@unprejudiced@|@sem preconceitos@
@unpublished@|@inédito@
@unquestionable@|@autêntico, inquestionável@
@unquiet@|@inquieto@
@unquotable@|@irrepetível, não citável@
@unquoted securities@|@títulos não negociáveis@
@unreliable@|@não confiável@
@unrestricted@|@irrestrito@
@unromantic@|@não romântico@
@unruffled@|@imperturbável, tranqüilo@
@unruly@|@desobediente, indisciplinado, indócil, insubmisso@
@unsatisfactory@|@insatisfatório@
@unscheduled premium@|@prêmio não-programado (seguro)@
@unsecured@|@descoberto (finanças)@
@unseemly@|@impróprio, inadequado, inapropriado, inconveniente@
@unseen@|@despercebido, mundo espiritual@
@unshaken@|@inabalável@
@unsociable@|@insociável@
@unstable@|@instável@
@unsteady@|@flutuação constante de preços@
@unstoppable@|@incontrolável, que não pode ser separado@
