@English@|@Cheyenne@
@spicy: taste ~@|@éha'háeéno'e (vii)@
@spider@|@vé'ho'e (na)@
@spiders (same pron as whiteman)@|@vé'hó'e (na pl)@
@spiderweb: build a ~@|@amóneanené (vai)@
@spill@|@hée'o'sané (vai), oešeme (vai)@
@spill out guts of SB@|@né'to'êsen (vta)@
@spill ST@|@héa'hahtsé (vti), héevo'êhahtsé (vti), héhea'hahtsé (vti)@
@spill ST (liquid or another substance)@|@hée'o'tsé (vti)@
@spilled it: he ~@|@éhée'ö'tse (vti)@
@spin@|@néma'o'a'ó (vai)@
@spin a top@|@ahkó'hené (vai)@
@spin a top (variant)@|@ahkó'ôhéne (vai)@
@spin top@|@netó'ôhené (vai), netó'ôhenestôtse (ni nom)@
@spin top whirling game@|@netó'ôhenestôtse (ni)@
@spine@|@htâhtoono (ni poss)@
@spine (variant)@|@htâhtoónoná (mbp), htsêstâhtoono (ni poss)@
@spine: have a broken ~@|@é'êstâhtoónóna (vai)@
@spinster@|@he'e'he (na), ma'xêhe'e'he (na)@
@spinster (variant)@|@he'é'hé'e (na)@
@spiral (vii)@|@nonó'hono'e énéma'ó'evetováto@
@spirit@|@mâhta'sóoma (na), nésemóon (na), pa'ósovôtse sôhe (na), séot@
@spirit (variant)@|@nésemoo'o (na)@
@spirit beings@|@ma'heono@
@spirit guide@|@nésemóon (na)@
@spirit helper@|@nésemóon (na)@
@spirit helper (variant)@|@nésemoo'o  (na)@
@spirit helpers: summon ~@|@nésemá  (vai)@
@spirit: be a ~@|@pa'ósove (vai)@
@spirit: evil ~@|@aéstomema'heo'o (na), hávêsévema'hëö'o (na), mâsêhámâhta'sóoma (na)@
@spirit: evil ~ (variant)@|@hávêsévevonôhóha'ósanéhe (na)@
@spirit: familiar ~@|@nésemoo'o (na)@
@spirit: have a familiar ~@|@he-nésemóoname (vai)@
@spirit: have SB as a familiar ~@|@he-nésemóonamé'tov (vta ai+o)@
@Spirit: Holy ~@|@hóxe'emâhta'sóoma (na)@
@spirit: spring ~ (spirit of a spring)@|@ho'hamé'etane (na)@
@spirit: whirlwind ~@|@hevovetäso (na)@
@spirit: wind ~@|@háa'hávêháne (na)@
@spirits@|@mâhta'sóomaho (na pl), pa'ósovoto (na pl)@
@spirits: familiar ~@|@nésemóono (na pl)@
@spirits: whirlwind ~@|@hevovetâsono (na pl)@
@spiritual@|@ma'heóne- (pv), ová (fai)@
@spiritual power: have ~@|@ma'heóneve (vai)@
@spiritual songs@|@ma'heónenémeotôtse (ni pl)@
@spiritually: think ~@|@ma'heónetanó (vai)@
@spit@|@énotóhtá (vti), oese'haná (vai)@
@spit at you@|@nêsétsêstahe (vai)@
@spit out ST@|@oese'hano'tá (vti)@
@spit: his ~@|@he'haenoto (na poss)@
@spite of: in ~@|@ohtove- (pv), váhtome- (pv)@
@spiteful: be ~@|@éxo'eéstómané (vai), hotómo'eéstómané (vai)@
@spiteful: he is ~@|@ééxo'eéstómáne (vai)@
@spitefully@|@hetsevá- (pv)@
@spitefully: do ST ~@|@hetsévo'eétahe (vai)@
@splash (of a liquid)@|@he'néomehá (vii)@
@splash in water with loud noise@|@pónóomeše (vai)@
@splash ST (with water)@|@pónoomohá (vti)@
@splatter@|@péeše(ná) (vai)@
@spleen@|@hestôxo'hanôtse (na)@
@spleens@|@hestôxo'hanoto (na pl)@
@splinter in finger@|@tóhpeoséše (vai)@
@split@|@asenáotse (vai), nésovaotse (vii), ó'xe- (pv), ó'xeotse (vii), oó'xeotse (vii), taeváotse (vai)@
@split apart@|@vó'hovóestaotse (vii)@
@split half@|@ó'x (vai)@
@split hoofs: have ~@|@nésôhkonávêhahtá (vai)@
@split in thinking@|@nésovavetanó (vai)@
@split lip: have a ~@|@tovó'ahtse (vai)@
@split open@|@ó'x- (i)@
@split open SB@|@ó'xas (vta)@
@split SB (by tool)@|@ó'xevo'oh(n) (vta)@
@split ST@|@ó'xaxá (vti)@
@split wood@|@ó'xoemâhané (vai)@
@split: be ~@|@nésôhkoná (vai), ó'xahe (vai), onésóvátó (vii), onésóvávó (vii)@
@split: become ~ (of liquid or water)@|@tovó'óováotse (vii)@
@spoil SB@|@hó'xan (vta)@
@spoiled: it ~@|@éhoxeotse (vai)@
@spoilingly@|@totónêše- (pv)@
@spoke to him: he ~@|@ééestsêstovóho (vta)@
@spoken to: be ~@|@éestsêstóseoneve (vai)@
@sponge@|@hohpa (na)@
@sponges@|@hohpaho (na pl)@
@spook@|@méstae (na), séot@
@spook (variant)@|@méstaa'e (na)@
@spooks@|@méstaeo'o (na pl)@
@spoon@|@háméško (ni)@
@spoon: a large ~@|@ma'xêháméško (ni)@
@spoon: stirring ~@|@ma'xêháméško (ni)@
@spoons@|@hámêškonôtse (ni pl)@
@spotted@|@hohtâheve (vii)@
@spotted (white)@|@vovó'h- (i)@
@Spotted Bird@|@Vé'késôhvovó'haestse (pn)@
@Spotted Face@|@Hohtâhévéne (pn)@
@Spotted Hawk@|@Hohtâhéaénohe (pn)@
@Spotted Tailfeathers@|@Hohtâhévóto (pn)@
@spotted: be ~@|@vovó'hasé'hamé (vai)@
@spouse@|@vésevo (na poss)@
@spouse beat SB@|@taa'é'tov (vta)@
@spouse leave@|@po'évésé (vai)@
@spouse: have a ~@|@he-vésevooné'tov (vta ai+o)@
@spouse: the one who is his or her ~@|@tsévéstoemose@
@spouse: the one who is my ~@|@tsévéstoemo (na poss)@
@spouse: the one who is your ~@|@tsévéstoemôhtse (na poss)@
@sprained his ankle: he ~@|@énémonenáotse (vta)@
@spread@|@pano'ôhené (vai), táehné (vai), táehnétó (vii)@
@spread about: be ~@|@tsêho'ehá (vii)@
@spread apart ST@|@onésovan (vti)@
@spread on@|@pano' (vta)@
@spread on ST@|@pano'ohá (vti)@
@spread out@|@he'né- (i), he'néveneenahe (na)@
@spread stories@|@hátôxóvôhta'hané (vai)@
@spreader@|@he'né'haseo'o (ni)@
@spring (of water)@|@ho'háme'e (ni)@
@spring god (living spirit of the spring)@|@ho'hamé'etane (na)@
@spring up@|@ohaéšeotse (vai)@
@springs (of water)@|@ho'hámé'êstse (ni pl)@
@sprinkle (rain)@|@he'hemoo'kohó (vii)@
@sprinkle all of a sudden@|@he'hemoo'kôhóotse (vii)@
@sprinkle SB with water@|@he'hemóovot (vta)@
@sprinkle ST@|@péhpen (vti)@
@sprinkle ST by mouth@|@he'hémotóhtá (vti)@
@sprinkle ST/SB@|@he'heman (vta), he'néškoman (vta)@
@sprinkled@|@he'hem- (i)@
@sprinkling rain: it's ~@|@éhoo'kôhóóhtse (vii)@
@spur@|@oóxa'e'oo'o (ni)@
@spur (variant)@|@oóxa'e'óon (ni)@
@spur of the moment: on the ~@|@hóhnee- (pv)@
@spurs@|@oóxa'e'óonôtse (ni pl)@
@sputum: his ~@|@he'haenoto (na poss)@
@spy@|@émóom (vta)@
@spy on SB@|@nôhtsenôxéváen (vta)@
@squalor@|@xóxonetameto (p)@
@squash@|@mâhöö'o (na)@
@squash (lit cooking melon)@|@ho'oohémâhóó'o (na)@
@squash (variant)@|@mâhoón (na)@
@squash SB by stepping@|@péeoha'ov (vta)@
@squash: Hubbard ~@|@mo'ôhtáemâhoo'o@
@squashes (variant)@|@mâhóone (na pl)@
@squat@|@a'kón- (i), a'kónoo'e  (vai)@
@squat down@|@a'koeotse  (vai)@
@squeak@|@éškôse'šeme (vai)@
@squeeze@|@hévoe- (i)@
@squeeze ST by mouth@|@hé'hévóhtá (vti)@
@squeeze ST/SB@|@hahpan (vta)@
@Squint Eyes@|@Tótšêške'ematsénéhe (pn)@
@squirm@|@évo'evonehné (vai), momósevonehné (vai)@
@squirming: he is ~@|@éévo'evonëhne (vai)@
@squirrel@|@no'ee'e, no'kee'e (na)@
@squirrel: ground ~@|@méhnevôhkâho'hëso (na)@
@squirrel: little ~@|@no'kee'e (na dim)@
@squirrels@|@no'eeho (na pl), no'eeo'o (na alt pl)@
@ST (relational unknown)@|@hénová'étsénêse (pro in sg)@
@ST unknown@|@hénáá'énêse (pro in. sg indef)@
@stab@|@he'kôhová (vai), ováne'- (i), ováne' (vta), ováne'ôhoné (vai)@
@stab SB@|@ováne'oh(n) (vta)@
@stab SB quickly@|@ováne'eoestoh(n) (vta)@
@stab ST@|@he'kêhahtsé (vti)@
@stable@|@mo'éhno'hamémâhéó'o (ni)@
@stable: be ~@|@he'kono'tá (vii)@
@stack SB@|@hóne'h (vta), totóovo'h (vta)@
@stack ST@|@totóovo'tsé (vti)@
@stacked@|@tóovo'tá (vii), totóovo'tá (vii)@
@stacked it: he ~@|@éhóne'tsé (vti)@
@stacked: it's ~@|@éhóné'ta (vii)@
@staff@|@hó'ôhtóhe (ni)@
@staffs@|@hó'ôhtôheonôtse (ni pl)@
@stage coach (lit letters wagon)@|@môxe'êstóonéamó'eneo'o (ni)@
@stagecoach@|@hóxovéstaváamó'eneo'o (ni)@
@stagger@|@ováva'ó (vai), ováveohtsé (vai), ovávôhomo'he (vai)@
@stake@|@ma'kestsêstse (ni)@
@stake claim@|@neta'@
@stake claim on ST@|@neta'á (vti)@
@stake claim to SB@|@he-neta'óseoné'tov (vta), neta'ov (vta)@
@stake in@|@sé'ho'@
@stake out a place@|@netsêstomo'he (vai)@
@stake out SB@|@nêheta'ov (vta)@
@stake: teepee ~@|@ma'késtset (ni)@
@stakes@|@ma'késtsetôtse (ni pl)@
@stale@|@ná'som- (p)@
@stalk prey@|@nôhtseno'é (vai)@
@stalk SB@|@nôhtsenot (vta), nôhtsenôxéváen (vta)@
@stalked him: he ~@|@énôhtsenotóho  (vta)@
@stalked: he ~@|@énôhtseno'e (vai)@
@stalking: stand ~@|@nôhtseno'éóó'e (vai)@
@stammer@|@oé'tovenestse (vai)@
@stamp@|@pâhovaneo'o (na)@
@stamp (postage)@|@pâhoenéó'o (ni)@
@stand@|@nééhá (vii), néeotse (vai), néhov (vai), óé (fai), óó'e (fai)@
@stand (from sitting position) to be erect@|@totómôseóó'e (vai)@
@stand (position)@|@néé'é (vai), néétó (vii)@
@stand (process)@|@néhoveóó'é (vai)@
@stand (there)@|@amóeóó'e (vai)@
@stand all night@|@vóoneóó'e (vai)@
@stand and dance@|@némenéóó'e (vai)@
@stand and watch SB@|@vé'hoeóe'tov (vta)@
@stand around@|@évenéeotse (vai)@
@stand as metal (like a statue)@|@ma'kaetaévêstóonaóó'e (vai)@
@stand at door and sing praises to SB@|@nêhpenoneóé'tov (vta)@
@stand behind SB@|@hó'eóé'tov (vta)@
@stand beside SB@|@néé'tov (vta)@
@stand carrying a baby@|@pao'óvôheóó'e (vai)@
@stand crooked@|@vóhkeóó'e (vii)@
@stand eating@|@néhove'haná (vai), néhove'hanáóó'e (vai)@
@stand erect@|@he'koneóó'e (vai)@
@stand facing SB@|@nóhta'eóé'tov (vta)@
@stand firm@|@héenêseóó'e (vai)@
@stand first@|@ovóeóó'e (vai), vóeóó'e (vai), vovóeóó'e (vai)@
@stand ground@|@nêhešeóóhévá (vai)@
@stand holding SB@|@no'eóé'tov (vta ai+o)@
@stand important@|@ne'tâhéóó'e (vai)@
@stand in a circle@|@néma'óneeóé (vai), onéstâhkóneeóé (vai)@
@stand in a straight line@|@nó'ovóneeóó'e (vai), onó'eóó'e (vai)@
@stand in doorway singing@|@nêhpenonéóó'e (vai)@
@stand in front@|@náha'e'tá (vii), náheóó'e (vai), vovóeóó'e (vai)@
@stand in line@|@amóneeóeotse (vai), amóneeóó'e (vai)@
@stand in the way@|@nêhpeóó'e (vai), ta'omóeóó'e (vai)@
@stand leaning on a cane@|@hó'kôhtôheóó'e (vai)@
@stand looking around@|@tâhtaa'évoeóó'e (vai)@
@stand looking that way@|@tsêhetóeóó'e (vai)@
@stand looking: all ~@|@mâhóeóé (vai)@
@Stand Motionless Woman@|@Kóomeóó'e (pn)@
@stand moving around@|@évo'kó'eóó'e (vai)@
@stand moving feet around@|@évo'kó'oné'eóó'e (vai)@
@stand obscuring@|@ta'omeóó'e (vai)@
@stand obstructing@|@nêhpeóó'e (vai), novoeóó'e (vai), ta'omeóó'e (vai)@
@stand on either side of SB@|@hátsêstoveóe'tov (vta)@
@stand on the end@|@ho'óxeóó'e (vai)@
@stand out of sight@|@hóomeóó'e (vai)@
@stand single file@|@nó'ovóneeóó'e (vai)@
@stand so deep (of breastworks)@|@éstavâhoeóe (vii)@
@stand stalking@|@nôhtseno'éóó'e (vai)@
@stand still@|@koomenóó'e (vai), tó'omeóó'e (vai)@
@stand strong@|@he'kono'tá (vii)@
@stand stuck@|@he'keóó'e (vai)@
@stand thinking@|@oo'hetanónaóó'e (vai)@
@stand together@|@néšeóe (vai)@
@stand up@|@tovâháá'e (vai)@
@stand up against SB@|@tóo'eóe'tov (vta)@
@stand up for SB@|@hoonevót (vta)@
@stand up SB@|@nééh (vta), néhoveóéh (vta)@
@stand up ST@|@nééstsé (vti)@
@stand up to@|@néé'tá (vti)@
@stand up!@|@néhoveóó'êstse! (voc)@
@stand upon@|@táxeóó'e (vai)@
@stand warming by the fire@|@hovôhéóó'e (vai)@
@stand with bowed head@|@xama'a'eóó'e (vai)@
@stand with head covered@|@héva'kéóó'é (vai)@
@stand with head down@|@káva'éóó'e (vai)@
@stand with SB@|@véseóev (vta)@
@stand with wife@|@nâha'éváóó'e (vai)@
@stand wondering@|@nôhtovetanónáóó'e (vai)@
@standing@|@néhove- (pv)@
@standing (in standing position): he is ~@|@énéé'e (vai)@
@Standing Bull@|@Hotóá'ôhnéé'êstse (pn)@
@standing in a crowd: they are ~@|@émâheóeo'o@
@Standing in Lodge Woman@|@Hotómanéé'e (pn)@
@Standing In Water@|@Mâhpévôhnéé'êstse (pn)@
@Standing Medicine@|@Ma'hëö'o Ôhnéé'êstse (pn)@
@standing moving around: he's ~ (not staying still)@|@éévo'kó'eóó'e (vai)@
@Standing Plume@|@Ké'hásôhnéé'êstse (na)@
@Standing Sage@|@Vánâhéoeve (pn)@
@standing still: he's ~@|@éhe'kotseóó'e (vai)@
@Standing Tired@|@Kâhéóéso (pn)@
@standing up (in process of standing)@|@énéhoveóó'e (vai)@
@standing with unsheathed penis: he is ~@|@éé'êxôhoséóó'e (vai)@
@Standing Woman@|@Otséveóó'e (pn)@
@standing: be all ~@|@mâheóé (vai)@
@Stands@|@Ôh-néhovaestse (pn)@
@Stands Bad Woman@|@Ménoveóó'e (pn)@
@Stands Different@|@Anetâhéveóéso (pn)@
@Stands Different (variant)@|@Ánetâheveóó'e (pn)@
@Stands In Front@|@Náha'ë'ta (pn)@
@Stands In Sight Woman@|@Mé'eóó'e (pn)@
@Stands in Timber Woman@|@Háo'hóóvá'e (pn)@
@Stands In Water@|@Mâhpévâhnéé'êstse (pn)@
@staple@|@vóhka'étoéneoheo'o (toón?)@
@staple (lit bent nail)@|@vóhka'étoéneoheo'o (ni)@
@star@|@hotohke (na), htóhkame (na poss)@
@star design: have a ~@|@hotóhkevôhtâheve (vii)@
@star quilt@|@hotóhkono'ko (na)@
@star quilts@|@hotóhkonó'kono (na pl)@
@Star Woman@|@Hotóhké'e (pn)@
@star: sleepy morning ~@|@nomonevóóhe (na)@
@stare@|@hoháaóó'o (vai)@
@starry: be ~@|@hotóhkeve (vii)@
@stars (alt pron hetóhkeo'o)@|@hotóhkeo'o (na pl)@
@stars are hanging: the ~@|@éhoéséne hotóhkeo'o (vii)@
@stars are sparkling: the ~@|@éháa'xeo'o (vai), évó'ho'âšé'šeo'o hotóhkeo'o, hotóhkeo'o éháa'xeo'o (vai)@
@stars: bunch of ~@|@mano'otóhkeo'o (ni pl)@
@start@|@ase- (pv), ase(t)- (i), asétó (vii)@
@start a fire@|@ho'êhasené (vai)@
@start by wagon@|@asêtó'eöhtse (vai)@
@start engine@|@asévâho'hová (vai)@
@start fighting SB@|@aset (vta)@
@start fighting with SB@|@ašéševaen (vta)@
@start ST (motorized vehicle)@|@asévâho'tá (vii)@
@start the fire!@|@ho'êhasenêstse! (voc)@
@start to crawl@|@asevonehné (vai)@
@start to do ST@|@asêto'eétahe (vai)@
@start to grow@|@asêtóne'ó (vai)@
@start to make a fence@|@asêtóneanené (vai)@
@start to sing@|@asénóne (vai)@
@start to sing ST@|@aséhahtsé (vti)@
@start value of SB@|@asêtoem (vta)@
@start warring@|@ašéševaen (vta)@
@startle@|@heseoesta'xe (vai)@
@starve@|@ávooné (vai), ovávoone (vai)@
@starve SB@|@ávoonah (vta), ávoonot (vta)@
@station: filling ~@|@énâhenémâhéó'o (ni)@
@station: gas ~@|@amêške tsé'ôhkeénohe (ni)@
@statue: be a ~@|@ho'honáevêstóonaóó'e (vai)@
@stay for awhile@|@nenóvoo'e (vai)@
@stay for so many days@|@nêhestôhe-ene (vai)@
@stay for so many days over@|@nêhestôhe-ene (vai)@
@stay home@|@ovánôhéotse (vai)@
@stay in background@|@hoóometahe (vai)@
@stay permanently@|@tó'omoo'e (vai)@
@stay put@|@pâhpone'ó (vai)@
@stay up all night with SB@|@vóonoé'tov (vta)@
@stayed a long time: he ~@|@éa'enoo'e (vai)@
@stayed up a long time (ex two or three nights)@|@éháano'xe (vai)@
@stays in the background: he ~@|@éhoóometahe (vai)@
@steadfast: be ~@|@xanéhpahe (vai)@
@steady@|@tó'om- (i), tó'om (p)@
@steal a touch@|@nomáhtosé (vai)@
@steal from garden@|@nomáhto'é (vai)@
@steal horses@|@nomáhto'hamé (vai)@
@steal SB@|@nomáhtsé'tov (vta)@
@steal ST@|@nomáhtsé (vai)@
@steal ST from SB@|@nomáhtseh (vta ai+o)@
@steal ST to eat@|@nomáhtse'haná (vai)@
@steam boat@|@ho'êstásémo (ni)@
@steel (lit hardmetal)@|@he'konema'kaeta (ni)@
@steer@|@hotóhpa'éhe (na)@
@steering wheel@|@ama'éno'hamestôtse (ni)@
@steers@|@hotóhpa'éheo'o (na pl)@
@stench@|@hoxôhem (vta)@
@step@|@o'ne'é (fai)@
@step (measure of approx one yard)@|@ho'né'êstóva (obl)@
@step aside@|@no'héoohe (vai)@
@step by step@|@nonó'hovôse- (pv)@
@step on (ST)@|@táho'né'é'tov (vta ai+o)@
@step on and break ST@|@é'eohá'a (vti)@
@step on holding (ST) down@|@ho'né'šeóó'e (né'êš?) (vai)@
@step on SB@|@ho'né'šeotsé'tov (vta), táho'né'en (vta), táho'né'eotse (vai)@
@step on the fingers of SB@|@péese'ov (vta)@
@step on the foot of SB@|@péehahtá'ov (vta)@
@step on the nose of SB@|@péeeesé'ov (vta)@
@step over SB@|@ka'a'né'e'tov (vai), ka'o'né'e'tov (vta)@
@step: take a ~@|@asêto'ne'é (vai)@
@stepdaughter@|@htónâhemóone (na poss)@
@stepdaughter: his/her ~@|@hestónâhamóono (na poss)@
@stepfather: have a ~@|@héhamóoné'tov (vta), héhamóone (vai@
@stepfather: her ~@|@hešeho (na poss)@
@stepfather: his ~@|@hešeho (na poss)@
@stepfather: his/her ~@|@héhamóono (na poss)@
@stepladder@|@anovôho'one (ni)@
@stepmother: his/her ~@|@heškamóono (na poss)@
@stepson@|@e'hahamóon (na poss)@
@stepson: his/her ~@|@hee'hahamóono (na poss)@
@stereo@|@némenestôtse (ni nom)@
@stick@|@he'k- (i)@
@stick (esp. firewood stick)@|@kâhámáxe (ni)@
@stick (for handgame)@|@hotseo'o (ni)@
@stick all over to SB@|@mâhoe'tó'tov (vta)@
@stick around@|@néma'ó'he'keóó'e (vai)@
@stick finger in ST@|@tšêhešeéškôseotse (vai)@
@stick into SB@|@he'koh(n) (vta)@
@stick on@|@pâhonoo'tá (vii)@
@stick on SB by sewing@|@pâhoenót (vta)@
@stick on ST@|@pâhovan (vti)@
@stick on ST/SB@|@pâhoen (vti)@
@stick out@|@totšéškeóó'e (vai), tšéške- (pv), tšéškeóó'e (vai)@
@stick out lips (long lip)@|@tsêhe'êstâhtsená'ó (vai)@
@stick out lying@|@tsêhešeše(ná) (vai)@
@stick out tongue@|@oé'koetaneva'xe (vai)@
@stick SB (esp of an insect)@|@he'kov (vta)@
@stick ST with a tool@|@he'kohá (vti)@
@stick to@|@pâho- (i), pâho(n)- (i), pâhonoe'tov (vta)@
@stick to make an arrow@|@mó'kôhtse@
@stick to remove ashes from a fire or stove@|@ho'êstávónó'e (ni)@
@stick to SB@|@pâhoeotsé'tov (vta), pâhonoe'tó'tov (vta)@
@stick with@|@nêsót (vai)@
@stick with SB@|@nêsót (vta)@
@Stick Woman@|@Kâhamâxéhá'e (pn)@
@stickers@|@heškóvó'êstse (ni)@
@stickers (plants)@|@éseohtsévó'êstse (ni pl)@
@sticks@|@kâhamaxêstse (ni pl)@
@sticks (alt pl)@|@kâhamâxehôtse (ni pl)@
@sticky@|@nomá'kotseve (vii)@
@stiff@|@héne'h (p), héne'še- (pv), tó'om- (i)@
@stiff finger: have a ~@|@héne'šeosé (vai)@
@stiff from cold: be ~@|@tó'omose (vai)@
@stiff: be ~@|@héné'ho (vii)@
@stiffen to resist being moved@|@héenêseméohe (vai)@
@still@|@kánôhtsé'e (p), koom (i), váhtometo (p)@
@still: be ~@|@he'kotomá (vai), tó'omahe (vai)@
@still: he's standing ~@|@éhe'kotseóó'e (vai)@
@still: stand ~@|@he'keamóeóó'e (vai), tó'omeóó'e (vai)@
@still: water be ~@|@he'kotóomoehá (vii)@
@stillborn child@|@na'sohtsêstse (na)@
@stillborn children@|@na'sóhtseto (na pl)@
@sting@|@ane'hová (vai), vé'ohk- (i)@
@sting SB@|@ane'oh(n) (vta)@
@stinger@|@ane'hovahtôtse (ni)@
@stingy@|@vénâhéškosé (vai)@
@stingy: he is ~@|@événâhéškóse (vai)@
@stink (variant)@|@hoxoméa'xe (vai)@
@stink weed (used as snake repellant)@|@hoxoméeheséeo'ôtse (ni)@
@stinkbug@|@háméško (na)@
@stinkbug (variant form)@|@hámêškona (na)@
@stinkbugs@|@hámêškono (na pl)@
@stinks bad: it ~@|@éhoxeméehö'ta (vii)@
@stinks: he ~@|@éhoxeméa'xe (vai)@
@stinky armpits@|@hoxeméetsénóna (vai)@
@stinky feet: he has ~@|@éhoxeméé'êháhta (vai)@
@stinky feet: smell of ~@|@hoxemée'êhahtáméá'ha (vai)@
@stinky hair: have ~@|@hoxeméestséá'e (vai)@
@stir@|@vávâhkeoesta'xe (vai)@
@stir up trouble@|@pe'pe'ánová (vai)@
@stir up trouble for ST/SB@|@pe'pe'an (vti)@
@stirrup@|@ésêhahtáahtsestôtse (ni)@
@stirrups@|@ésêhahtáahtséstotôtse (ni pl)@
@stock inspector@|@hováheve'ho'e (na)@
@stocking cap@|@asêséohkêha'e (ni)@
@stocking: silk ~@|@séokáevôxeono@
@stoic: be ~@|@tó'oméné'ó (vai)@
@stoke ST@|@ho'êhahtsé (vti)@
@stoking the fire: he's ~@|@ého'êhasene (vti)@
@stole ST to eat: he ~@|@énomáhtse'häna (vai)@
@stole: he ~@|@énomáhtse (vai)@
@stomach@|@asé (mbp), matonêše (mbp), ohtá (mbp)@
@stomach ache: he has a ~@|@éónêxôhtáóhtse (vai)@
@stomach: have a flat ~@|@pâhonohtá (vai)@
@stomach: have an empty@|@pónohtá (vai)@
@stomachache@|@ónêxôhtáóhtse (vai)@
@stomp@|@poo'ôhené (vai)@
@stomp feet@|@po'poe'hahtáxe(ná) (vai)@
@stomp foot@|@póe'é'hahtáxe(ná?) (vai)@
@stomp on SB@|@o'hohtá'ov (vta)@
@stomp SB in the belly@|@pé'peno'âsé'ov (vta)@
@stone@|@ho'honáá'e (na), ho'honáhke (na dim)@
@Stone Forehead@|@Ho'honáeve'óhtanéhe (pn)@
@stone house@|@ho'honáemâhëö'o (ni)@
@stone: become ~@|@ho'honáeveotse (vai)@
@stone: small ~@|@ho'honáhke (na dim)@
@stonehearted@|@ho'honáevêstáhá (vai)@
@stones: little ~@|@ho'honáhkeo'o (na pl)@
@stood looking out: he ~@|@éhóoeóó'e (vai)@
@stooped: stand ~@|@tooxeóó'e (vai)@
@stooped: walk ~@|@tooxeohtsé (vai)@
@stop@|@éne- (pv), ma'êstó'heotse (vai), tó'h- (i), tó'hetanó (vai)@
@stop (combustion engine)@|@énévâho'tá (vii)@
@stop doing ST@|@éno'eéstomané (vai)@
@stop doing ST to SB@|@éno'eéh (vta)@
@stop eating@|@ééne'haná (vai)@
@stop engine@|@énevâho'hová (vai)@
@stop fighting (of others)@|@netanová (vai)@
@stop horses with reins@|@tó'ha'éeto'hamé (vai)@
@stop SB@|@tó'ha'ó'h (vta), tó'hahétsêstov (vta)@
@stop SB by pulling on reins@|@tó'ha'éet (vta)@
@stop SB by speaking@|@tó'hevam (vta)@
@stop SB by tool@|@tó'hoh(n) (vta)@
@stop SB suddenly by foot@|@tó'heoha'ov (vta)@
@stop SB with the foot@|@tó'ha'ov (vta)@
@stop sounding@|@énevone (vii)@
@stop ST@|@tó'ha'ó'tsé (vti), tó'han (vti)@
@stop ST by foot@|@tó'ha'á (vti)@
@stop while floating@|@tó'hóé'ó (vai)@
@stop while floating (variant)@|@tó'hoése (vai)@
@stop!@|@vóohe ?? (p)@
@stop! (stop the vehicle or stop running!)@|@éneoestse! (voc)@
@stop: be at a ~@|@néé'é (vai)@
@stop: make SB ~@|@too'hémaneh (vta)@
@stop: motion SB to ~@|@tó'hohóov (vta)@
@stop: persuade SB to ~@|@tó'hevam (vta)@
@stopped@|@tó'om- (i), tó'omahe (vai)@
@stopped (the engine): it ~@|@éénévâhó'ta (vii)@
@stopped and stood by him: he ~@|@éénêhoto (vta)@
@stopped doing ST: he ~@|@ééno'eéstómáne (vai)@
@stopped eating: he ~@|@ééne'häna (vai)@
@stopped riding on horseback: he ~@|@ééna'hasó'heohe (vai)@
@stopped running: he ~@|@ééneohe (vai)@
@stopped singing: he ~@|@éénenéméne (vai), éénenöne (vai)@
@stopped speaking: he ~@|@ééneéestse (vai)@
@stopped: become ~@|@tó'heotse (vii)@
@stopped: lie ~@|@tó'heše (vai)@
@stopper@|@nêhpo'ôheo'o (ni)@
@storage house@|@ho'senémâhéó'o (ni)@
@storage shed@|@ho'senémâhéó'o (ni)@
@storage shed (lit storage house)@|@ho'sanémâhéó'o (ni)@
@store@|@hohtóvamâhëö'o (ni), hóvoht- (i), hóvos- (i), hóvôsané (vai), hóvôse- (pv)@
@store (secondhand)@|@hóna'ovêhohtóvamâhëö'oéó (ni)@
@store ST@|@hóvohtsé (vti)@
@store ST (variant)@|@hóvôhtanené (vai)@
@store: hardware ~@|@hetóhkonéhohtóvámâhéó'o (ni)@
@store: variety ~@|@pé'ho'senéhohtóvamâhëö'o (ni)@
@storekeeper@|@hohtóvave'ho'e (na)@
@storeowner@|@hohtóvave'ho'e (na)@
@storeroom (lit where there is storing)@|@tsé'ôhkêho'sanéstove (vii cj)@
@stories@|@hóhta'heonôtse (ni pl), hósêstóonôtse (ni pl)@
@stories: old time ~@|@nésta'omeéhosêstóonôtse hós?@
@stories: old-time ~@|@nésta'omeé-hosêstóonôtse hós?@
@stories: spread ~@|@hátôxóvôhta'hané (vai)@
@stork@|@ne'potátse  (na), ne'potátse (na)@
@storm cloud arrive(?)@|@ho'óomaeotse (vii)@
@storm has ended: the ~@|@ééšeévaénoomaeöhtse (vii)@
@storm stop@|@énoomaeohtsé (vii)@
@story@|@hóhta'hëö'o (ni), hósêstoo'o (ni), htóhta'heo'o (ni poss), htósêstoo'o (ni poss)@
@story: start to tell a ~@|@asêtóhta'häne (vai)@
@story: tell a ~@|@énôhta'hané (vai), hóhta'häne (vai)@
@story: tell a difficult ~@|@hótoanávôhta'hané (vai)@
@story: tell a good ~@|@pêhévôhta'hané (vai)@
@story: tell outdated ~@|@noónôhta'hané (vai)@
@story: true ~@|@oné'seómôhta'heo'o (ni)@
@storybook@|@hóhta'heónevôxe'êstoo'o (ni)@
@story-telling: arrive at a point in ~@|@ho'óhta'hané (vai)@
