@English@|@Laotian@
@sixteen@|@ສິບຫົກ@
@sixth@|@ໂສທະສັນ@
@sixth grade@|@ສັກຫົກ@
@sixth month of the lunar year@|@ໄພສາກ, ໄພສາກຂະມາດ@
@sixth year@|@ປີມະເສງ@
@sixth year of the twelve-year cycle@|@ມະເສັງ@
@sixty (60)@|@ເລກຫົກສິບ@
@size@|@ຂະຫນາດ, ສັນຖິດ, ເຖົາ, ເຮັດໃຫ້ທໍ່ກັນ@
@sizzling sound@|@ຈ້າດ@
@skate@|@ປາຝາ@
@skein@|@ໄນ, ປອຍ@
@skeleton@|@ຂອນຜີ, ເຄົ້າໂຄງ, ອັດຖິສັນທານ@
@skepticism@|@ສົງກາ, ວິມັດ@
@sketch@|@ສັງເຂບ, ບົດລະຄອນກ້ອມ, ວາດຂຽນ, ຮູບຂຽນ, ຮູບແຕ້ມພໍເປັນຮ່າງ@
@skew@|@ເກ@
@skid (car)@|@ລື່ນ@
@skilful@|@ຊຳນິຊຳນານ, ຊ່າງເຮັດ, ໄນ່@
@skilful hand@|@ໄນ່ມື@
@skill@|@ກ່ຽວ, ສີມື, ສີໄມ້ລາຍມື, ຝີມື@
@skill archery@|@ທະນຸສິນ@
@skill knowledge@|@ຝີໄມ້ລາຍມື@
@skilled@|@ເຈນ, ເຈນຈົບ, ເຈນມື, ສະນັດ, ຊຳນິ, ຊຳນິຊຳນານ, ພິທູນ, ມືດີ@
@skilled worker@|@ຊ່າງ@
@skillful@|@ສັນທັດ@
@Skillful@|@ເປສະລະ@
@skim@|@ແຊ້ນ@
@skin@|@ສະນະ, ຖາກເກັດ, ເປືອກ, ຜິວ, ຜິວຫນັງ, ລອກ, ລອກຫນັງ, ລອກອອກ, ໜັງ@
@skin and flesh at the flank@|@ຍາບສ້ວງ@
@skin and youth@|@ເບນກັນລະຍານີ@
@skin covered with rash@|@ຄາຍກະຕົກກະໂຕ@
@skin disease@|@ຂີ້ກາກ, ປານດົງ@
@skin hole for hair@|@ຂຸມຂົນ@
@skin of sheep@|@ໜັງແກະ@
@skin pale yellowish@|@ຂາວເຫລືອງ@
@skin rosy white@|@ຂາວແດງ@
@skinny@|@ໂຊ, ໂຊບ, ຜອມເຫລືອແຕ່ກະດູກ, ຢອດຜອມ@
@skip a grade@|@ຂ້າມຊັ້ນ@
@skirt@|@ສິ້ນ, ໄຕຈີວອນ@
@skirt a town  go in procession around the district@|@ລຽບເມືອງ@
@skirt brocaded in silk@|@ສິ້ນຍົກ@
@skirt come undone@|@ສິ້ນເຄັ່ຍ@
@skirt with dark checks@|@ສິ້ນຕາມືດ@
@skull@|@ກະດອງ, ກະດອງຫົວ, ກະດານຫົວ, ກະໂບງຫົວ, ກະລາຫົວ, ກະໂຫລກ, ກະໂຫລກຫົວ, ຂະມອງ@
@Skull@|@ກະໂຫລກ@
@sky@|@ຄັກຄະນະ, ຄວງຟ້າ, ດາຣາບົດ, ທີຄັມພອນ, ທ້ອງຟ້າ, ນະພາ, ພະໂຍມຍານ, ຟ້າ, ຟ້າແຖນ, ເວຫະ@
@sky blue@|@ສີຟ້າ@
@sky heaven@|@ຄວງ, ຄ່ວງ@
@sky is covering@|@ຟ້າຄື້ມ@
@sky paradise@|@ສຸຣະບົດ@
@sky tassel@|@ຊໍ່@
@sky tassel used on the edge of the roof@|@ຊໍ່ພະສາດ@
@sky tassel used to top a temple roof@|@ຊໍ່ຟ້າ@
@sky-going@|@ນະພາຄະຕິ@
@sky-high@|@ສູງທຽມຟ້າ@
@skyscraper@|@ຕຶກຄ້ຳຟ້າ, ຕຶກຮະຟ້າ@
@skyscraping@|@ສູງທຽມຟ້າ@
@slab@|@ແທ່ງ@
@slab of wood@|@ປີກໄມ້, ປີກໄມ້@
@slack time@|@ຍາມອຶດວຽກເຮັດ@
@slacken@|@ຢ່ອນ@
@slam the door in one’s face@|@ປິດປະຕູໃສ່ຫນ້າ@
@slander@|@ການຫມັ້ນ, ສັບສໍ່, ໃສ່ຮ້າຍປ້າຍສີ, ຍຸຍົງສັບສໍ່, ທານຂວັນ, ທຸພາສິດ, ນິນທາ, ບໍລິພາດ, ເປສຸນ, ເປສຸນຍະວາດ, ເວົ້າພື້ນ@
@slanderous@|@ປາກເປັນ, ປາກເປັນ@
@slang@|@ກິນນອກກິນໃນ, ໂກ້ແທ້ໆ, ພາສາຕລາດ@
@slant@|@ເບນ@
@slanting@|@ເທ່@
@slap in the face@|@ການຕົບຫນ້າ@
@slap the face@|@ຕົບຫນ້າ@
@slaughter@|@ການຂ້າສັດ, ການຂ້າຟັນຢ່າງທາຣຸນ@
@slaughterer butcher for cattle@|@ໂຄຄາດ@
@slaughterhouse@|@ໂຮງຂ້າສັດ@
@slave@|@ຂະຍົມ, ຂີ້ຂ້າ, ຂີ້ຂ້າຫນ້າຂ້ອຍ, ຂ້ອຍຂ້າ, ທາສາ, ທາດຊະເລີຍ, ລູກຂ້ອຍຂ້າ@
@slave girl@|@ສາວໃຊ້, ນາງທາສີ@
@slavery@|@ຂ້ອຍຂ້າ@
@slay@|@ຂ້າຕາຍ@
@sled@|@ເຊີດ@
@sleep@|@ສະຍະ, ສະຍະນະ, ໄສຍາ, ນອນ, ບັນທົມ, ຜະທົມ@
@sleep bent over@|@ນອນຄູ້@
@sleep deeply@|@ນອນຫລັບ@
@sleep fitfully@|@ນອນຕາບໍ່ຫລັບ@
@sleep in the pagoda@|@ຈຳວັດ@
@sleep insufficiently@|@ນອນບໍ່ອິ່ມ@
@sleep long@|@ນອນດົນ@
@sleep on duty@|@ນອນຍາມ@
@sleep on one's side@|@ນອນຕະແຄງ@
@sleep or otherwise do what one wishes@|@ເສບການ@
@sleep out@|@ປະຣິວາດ@
@sleep outside@|@ນອນນອກ@
@sleep peacefully@|@ນອນຕາຫລັບ, ນອນນິ້ງ@
@sleep soundly@|@ນອນສະນິດ, ນອກດັກ@
@sleep soundy@|@ນິດທະເນ່ງ@
@sleep to rebuild strentgth@|@ນອນເອົາກຳລັງ@
@sleep together@|@ນອນກ່ອມກັນ@
@sleep two together@|@ນອນສອງ@
@sleep with a whore@|@ຟາດຕູດ@
@sleep with the eye's open@|@ນອນຕາບໍ່ຫລັບ@
@sleep(royal)@|@ບັນທົມ@
@sleeping@|@ການນອນ@
@sleeping mat@|@ເສື່ອປູນອນ@
@sleeping potion@|@ຢານອນຫລັບ@
@sleepy@|@ງ້ວງ, ສັບປະງົກ, ມ້ອຍຫລັບ@
@sleeve@|@ແຂນເສື້ອ@
@sleeveless undershirt@|@ເສື້ອກ້າມ@
@slender@|@ກີໂສ, ກ້ອງແກ້ງ, ຮຽວ@
@slice@|@ຈຽນ, ເສືອນ, ເຊືອດ, ຕ່ອນ, ເຖືອ, ປ່ຽງ, ປາດ, ເຝື່ອງ, ຟັນ@
@slice of a bamboo shoot@|@ບ້ອງຫນໍ່ໄມ້@
@slice straight or at an angle@|@ເຊີ້ມ@
@slide@|@ຕະເຫລີດ, ຕາດລາດ, ຖະລາ, ພະລາດ, ພະລິດ, ພະລາດ, ພະລືດ, ພະລາດ, ເລື່ອນ@
@slide back a curtain@|@ຮູດຜ້າກັ້ງ, ຮູດຜ້າມ່ານ@
@slide(as rocks)@|@ເກື່ອນ@
@sliding@|@ລຸດໆ, ລຸດໆ@
@sliding panel@|@ຝາເລື່ອນ@
@sliding wall@|@ຝາເຮືອນຊຸ້ດໄດ້, ຝາເລື່ອນ@
@slightly acid tomato@|@ເຂືອເຄືອ@
@slim@|@ກີໂສ@
@slimy@|@ເມືອກ@
@slingshot@|@ກະຖຸນ@
@slip@|@ຕະເຫລີດ, ຕາດລາດ, ຖະລາ, ພະລາດ, ພະລືດ, ພະລາດ@
@slip in quickly@|@ຜະລຸດເຂົ້າ@
@slip on and off@|@ຮູດເຂົ້າອອກ@
@slip out quickly@|@ຜະລຸດອອກ@
@slippers@|@ເກີບແຕະ, ບາທຸກາ@
@slippery@|@ມື່ນ@
@slippery road@|@ທາງມື່ນ@
@slipshod@|@ສາບສວຍ@
@slit eyes@|@ຕາຕີບ, ຕາທິບ@
@slogen motto device@|@ຄຳຂວັນ@
@sloop@|@ສະຫລຸບ, ສະຫຼຸບ@
@slope@|@ຄ່ອຍເພິ່ງບຸນ, ຄ້ອຍ, ນະຕິ, ບ່ອນຄ້ອຍ@
@sloping@|@ເປັນເນີນ@
@slot@|@ຊ່ອງ@
@slothful@|@ຂີ້ກຽດ@
@slow@|@ຊ້ານ້ຳກ້ຽງ, ເຍີ້ນ, ດົນ, ປຶ@
@Slow@|@ຊ້າ@
@slow down@|@ຊ້າລົງ, ຊັກຊ້າ, ຖ່ວງດຶງ@
@slow in accomplishment@|@ຊ້າການ@
@slow witted@|@ຕັນໃຈ@
@slowly@|@ກະດ້ວມກະດ້ຽມ, ກະຕ້ວມກະຕ້ຽມ, ເສື່ອຍ, ຊ້າໆ, ດົ້ວເດັ້ຍ, ຕ້ອຍໆ, ທ້ວຍໆ, ເທີບທາບ, ຢ່າງຊ້າ, ລ້ວຍໆ@
@slowness@|@ຄວາມຊ້າ@
@slow-speaking@|@ປາກຫນັກ, ປາກຫນັກ@
@slow-witted@|@ສະຫມອງບໍ່ໄວ, ສະໝອງບໍ່ໄວ@
@slug@|@ແມງລິ້ນຫມາ, ລີ້ນຫມາ@
@sluggishly@|@ເສື່ອຍ້າ, ເທີບທາບ@
@sluice gate@|@ປະຕູລະບາຍນ້ຳ@
@slum@|@ພົ້ນ@
@slvae@|@ຂີ້ຂ້າ@
@sly@|@ສະຫລອກກອກ, ສະຫຼອກກອກ, ສໍ້ຫລໍ້, ມີມາຍາ@
@slyly@|@ຢ່າງເລິກແລບ@
@smae as vices@|@ກອງມະໂຫຣະທຶກ@
@smal cymbals used to beat cadence@|@ສິ່ງ@
@small@|@ກະປຸກ, ກິ, ການເມືອງທະຫານ, ຂຽມ, ເຂືອເຄືອ, ຈິ, ຈິກິ, ຈຸນລະພົນ, ຈອດລອດ, ເຍົາວະ, ແຕງຂີ້ໄກ່, ນ້ອຍ, ເລັກ, ເລັກ, ອະນຸ, ອະນຸ@
@small and beautiful@|@ຕິກຫລິກ@
@small and lovable@|@ນ້ອຍອັອກປັອກ@
@small and narrow@|@ຊອກລອກ@
@Small and short@|@ປິ@
@small aquarium@|@ໂຖລ້ຽງສັດນໍ້າ@
@small area@|@ບ່ອນຮອມ@
@small arms@|@ປືນນ້ອຍ@
@small balance scale@|@ຜາງ@
@small ball@|@ກ້ອນນ້ອຍໆ@
@small basket for betel nuts@|@ດົ້ງກ້ອມ@
@small basket for fermented fish@|@ຕໍ້ປາແດກ@
@small basket used to measure paddy rice@|@ຈິ້ງ@
@small bird@|@ຈີ່ຈູ້@
@Small bird doesn?t know glue@|@ນົກນ້ອຍບໍ່ຮູ້ຈັກຕັງ@
@small bird with a striped collar@|@ນົກກົດຮ່ອຍ@
@small boat@|@ຍານນາວາ@
@small box@|@ຜະອົບ@
@small branch@|@ແໜງ@
@small bumps on the skin@|@ຝຶ່ນ@
@small but healthy@|@ນ້ອຍຫມາກພິກ@
@small cantalloupe@|@ແຕງຈິງ@
@small carp@|@ປາຊິວ@
@small carriage@|@ຍາກະ@
@small catfish@|@ປາກົດ@
@small change@|@ເງິນນ້ອຍ, ເງິນຫລຽນ, ເງິນຍ່ອຍ@
@small Chinese card@|@ໄພ້ຕ້ອງ@
@small cicada@|@ແມງອີ@
@small coconut@|@ພ້າວຫລອດ@
@small container for chewing betel@|@ງຽງ@
@small crab claw@|@ແງ່ມປູ@
@small cucumber@|@ໝາກແຕງຂີ້ໄກ່@
@small dip net@|@ຕ່ອງ@
@small domestic pepper@|@ຂີ້ຫມູ@
@small eagle@|@ຕັງບີ້@
@small earthen pot for cooking@|@ບິ້ງ@
@small elephant@|@ຊ້າງນອ້ຍ@
@small elephant but has tusk@|@ຊ້າງດໍ@
@small flying squirrel@|@ຕົວບ່າງນ້ອຍ@
@small green tree-frog@|@ຂຽດຂິກ@
@small gun@|@ປືນນ້ອຍ@
@small house for a guardian spirit@|@ສານເຈົ້າ, ສານພະພູມ@
@small household pannier@|@ກະເຕະ@
@small intestine@|@ລຳໃສ້ນ້ອຍ@
@small knife@|@ພ້າອີ່ກ້ອມ, ມີດນ້ອຍ@
@small lenghthy vista@|@ຈ່ອງປ່ອງ@
@small long bamboo trap for fish and small animals@|@ໄຊ@
@small lotus with a fine edible stem@|@ບົວແບ້@
@small man short man@|@ຄົນຕ່ຳ@
@small marsh turtle with a rough red shell@|@ເຕົ່າຫິນ@
@small member of the cat family@|@ເສືອຂ້ຽວ@
@small mountain@|@ພູນ້ອຍ@
@small palm tree whose pitch is edible@|@ຕາວແດງ, ຕາວນ້ອຍ@
@small part@|@ສ່ວນນ້ອຍ@
@small piece@|@ຍ່ອຍ@
@small pimple@|@ສີວສ້ຽນ@
@small plate@|@ຈານນ້ອຍ@
@small pond fish@|@ຄໍ່ກັ້ງ@
@small pox@|@ໝາກສຸກໝາກໄສ@
@small red ant@|@ແດງຊາຍ, ມົດແດງຊາຍ, ມົດແດງໄຟ@
@small roof@|@ແງບ@
@small round bells on the collar of an animal@|@ເຂາະຫລອດ@
@small scar@|@ແປ້ວ@
@small short white mushroom shaped like a ball@|@ຕໍ້ປໍ້@
@small size@|@ຂະຫນາດນ້ອຍ@
@small spade@|@ສຽມ@
@small spear@|@ໂດມອນ@
@small species@|@ແນວນ້ອຍ@
@small spittoon@|@ສຸພັນນະສີ@
@small spoon@|@ບ່ວງນ້ອຍ@
@small storehouse for paddy rice@|@ຊ່ອມ@
@small suspended bells@|@ກະດິງຫ້າວ@
@small swamp or lake turtle@|@ເຕົ່າສະກົນ@
@small tree@|@ກ້ວຍຫມູສີ, ສະເມັກ@
@small tree growing along watercourese@|@ໄຄ້ນຸ່ນ@
@small tree used for counterfeit@|@ຕັງຕຸ່ນ@
@small tree with long leaves which are used in salt water to make a sauce@|@ສະທອນ@
@small type@|@ເຕັນຊິວ@
@small unidentified bird@|@ນົກໄວ້@
@small water containers made of pottery@|@ແມ່ພາດ@
@small water-course@|@ຈັນເລົາ@
@small wild eggplant@|@ໝາກເຂືອຂື່ນ@
@small woven pannier of bamboo with round holes at the bottom@|@ກະປຸ່ມ@
@small yellow-green bird@|@ຈີ່ແຈບ@
@smaller kingfisher@|@ນົກເຕັນຊິວ@
@smaller than@|@ນ້ອຍກວ່າ, ນ້ອຍກວ່ານີ້@
@small-flowered blue lotus@|@ບົວແບ້ງ@
@small-mouted earthenware pot@|@ກະປຸກ@
@smallpox@|@ໄຂ້ທໍລະພິດ, ຝີດາດ, ພະຍາດຫມາກສຸກ@
@smaple for taste@|@ຈິຍເບີ່ງ@
@smart@|@ໂກ້, ຈີ້ມລິ້ມ, ສະຫລາດ, ສະຫຼາດ, ບໍ່ຄາບໍ່ຄ້າງ@
@smash@|@ທັບ, ທຸບ@
@smear@|@ຂຽນຢ່າງເປື່ອນເປີ, ຕະ, ວິເລປະນະ@
@smeared face@|@ໜ້າວາຍ@
@smell@|@ກິ່ນ, ສືບກິ່ນ, ສົ່ງກິ່ນ, ໄດ້ກິ່ນ, ດຸມ, ດົມ, ດົມເອົາ, ຖະລຸງ, ມີກິ່ນ@
@smell bad@|@ສະເອືອນ@
@smell fishy@|@ມີກິ່ນຄາວ@
@smell odor@|@ດົມກິ່ນ@
@smell of@|@ມີກິ່ນ@
@smell of alcohol@|@ມີກິ່ນເຫລົ້າ@
@smell of fish@|@ມີກິ່ນຄາວ@
@smell strongly of@|@ມີກິ່ນແຮງ@
@smile@|@ຍິ້ມ, ແຍ້ມ@
@smile back@|@ຍິ້ມຕອບ@
@smile cheerful@|@ຍິ້ມແຍ້ມ@
@smile drily@|@ຍິ້ມແຫ້ງ@
@smiling@|@ຍິ້ມແຍ້ມແຈ່ມໃສ@
@smirk@|@ທຳໃຫ້ຄືນ@
@smithy@|@ໂຮງຕີເຫລັກ@
@smock@|@ເສື້ອຫລົມ, ເສື້ອຫຼົມ@
@smock tobacco@|@ດູດຢາ@
@smoke@|@ຄວັນ, ສູບ, ຖຸນ, ທຸມະ, ນະພາໄລ, ລົນຄວັນ, ຮົມ@
@smoke a pipe@|@ສູບກອກ, ສູບກ້ອງ, ດູດກອກ@
@smoke opium@|@ສູບຝິ່ນ@
@smoke rising into the air@|@ທ່ວນໆ@
@smoke shell@|@ລູກຄວັນ@
@smoke signal@|@ສັນຍານຄວັນ@
@smoke stain@|@ຊີ່@
@smoke tobacco@|@ສູບຢາ, ຖຸນຢາ@
@smoked fish@|@ປາຢາງ@
@smoked meat@|@ຊິ້ນຢ້າງ, ເນື້ອຢ້າງ@
@smoker@|@ນັກສູບ@
@smokstack@|@ປ່ອງຄວັນ@
@smolder@|@ສຸມ@
@smolder in one's heart@|@ສຸມຢູ່ໃນອົກ@
@smolder in one's mind@|@ສຸມຢູ່ໃນໃຈ@
@smooth@|@ກ້ຽ', ສະເລັ່ຍ, ຖູສະໄບ, ນິ້ມນວນ, ແບນ, ແປນ, ມື່ນ, ຣຽບ, ລຽງ, ຮາບ, ຮາບພຽງ@
@smooth off@|@ຊ່ຽນ@
@smooth the hair back by hand@|@ເສີຍ, ເສີຍຜົມ, ເສີຍຫົວ@
@smooth with a plance@|@ໄສກົບ@
@smooth with a plane@|@ໄສກົບ@
@smoothly@|@ຮາບມື່ນ@
@smoothly black@|@ດຳອ່ຳຖ່ຳ@
@smsll container fo mseamed sticky rice@|@ຕິບເຂົ້າ@
@smuggle@|@ເມາະ, ລອບນຳ@
@smuggle in@|@ລັກລອບມາ@
@smuggled goods@|@ສິນຄ້າຫນີພາສີ, ສິນຄ້າໜີພາສີ@
@snack@|@ກິນບ່າຍ@
@snack served with alcohol@|@ເຄື່ອງແກ້ມ@
@snack served with liquor@|@ຂອງຫວ່າງ@
@snag@|@ຕໍໄມ້@
@snake@|@ກະບາສາ, ກ່ານຕາວ, ກ່ານຕາວ, ງູ, ງ້ຽວ, ສັບປະ, ຕຳຕານ, ພຸຊົງ, ລອກເຊືອກ@
@snake bones@|@ກະດູກງູ@
@snake stripes@|@ລາຍງູ@
@snake venom@|@ພິດງູ@
@snake zoo@|@ສວນສັດງູ@
@snall shell@|@ປໍ້ຫອຍປ່າ@
@snap at@|@ສວບ@
@snap the fingers at@|@ເຍີ້ຍຫຍັນ@
@snap up (in the teeth)@|@ງັບເອົາ@
@snapper@|@ກະພົງແດງ@
@snare@|@ບ້ວງບາດ, ບ້ວງແຮ້ວ@
@snare for small game@|@ແຮ້ວ@
@snare for small gane@|@ບ້ວງ@
@snatch@|@ຄຸບ, ສະມວຍ, ຊີງຍາດ, ຊ່ວງຊິງ, ແຍ່ງ, ແຍ່ງຊິງ@
@snatch at food@|@ສວບກິນ@
@snatch away@|@ຊີງເອົາ@
@snatch up@|@ກະຊາກ@
@sneak a glance at@|@ເສືອດຕາເບິ່ງ@
@sneak a look at@|@ເສືອກຕາ@
@sneak away@|@ລັກຫນີ@
@sneak off@|@ຜົກຫນີ@
@sneeze@|@ຈາມ@
@sniff@|@ສືບກິ່ນ, ດຸມ, ດົມ, ດົມເອົາ, ດົມກິ່ນ@
@sniff or dip snuff@|@ນັດຢານັດ@
@snipe@|@ນົກຂີ້ກະເດືອນ, ນົກສັເເດືອນນ້ອຍ@
@snood@|@ຜ້າມັດຫົວ@
@snot@|@ຂີ້ດັງ@
@snow storm@|@ພະຍຸທິມະ, ພາຍຸຫິມະ@
@Snow-clad@|@ປົກຄຸມໄປດ້ວຍຫິມະ, ປົກຄຸມໄປດ້ວຍຫິມະ@
@snowflake@|@ເກັດຫິມະ@
@snub@|@ການູດຫມິ່ນດູແຄນ@
@snub-nosed@|@ດັງແໝບ@
@so@|@ຈັ່ງ, ຈຶ່ງ, ສະນີ້, ສົມພໍ, ດັ່ງນີ້@
@so good@|@ດີປານຫຍັງ@
@so long as@|@ຕາບໃດ@
@so much difficult@|@ຍາກກໍ່ບໍ່ວ່າ@
@so much the better@|@ຊ້ຳດີ, ຍິ່ງດີ້ໃຫຍ່@
@so much the worse@|@ກໍ່ຊ່າງ@
@so nothing is visible@|@ດຳປິກ@
@so so@|@ຄ່ອຍຢູ່ຄ່ອຍກິນ@
@so that@|@ດຽວວ່າ, ດັ່ງນັ້ນ, ເພື່ອວ່າ@
@so then@|@ພອຍວ່າ@
@so what@|@ບໍ່ເປັນຫຍັງ@
@soak@|@ຈຸບ, ຈຸ່ມນ້ຳ, ແຊ່, ໂຊ່, ເຊື່ອມຊຶມ@
@soak in (a liquid@|@ຟູມ@
@soak into@|@ຊຶມ@
@soak raw silk in potash to bleach it@|@ດ່ອງໄຫມ, ດ່ອງໄໝ@
@soak up@|@ຊຶມຊັບ@
@soaked@|@ປຽກ@
@soaked and powdered rice@|@ເຂົ້າເບືອ@
@soaked sticky rice@|@ເຂົ້າຫນ່າ@
@soaking@|@ຮຶມ@
@soaking wet@|@ປຽກໂຊກ@
@soap@|@ສະບູ@
@soap bubble@|@ຟອງສະບູ@
@soap suds@|@ນ້ຳສະບູ@
@soapy water@|@ນ້ຳສະບູ@
@soar up@|@ຜະຍອງຂຶ້ນ@
@soaring@|@ນະພາຄະຕິ@
@sob@|@ສະອຶກສະອື້ນ, ສະອື້ນ, ສຽງສະອື້ນ, ຮ້ອງໄຫ້ສະອຶກສະອຶ້ນ@
@sober up@|@ແກ້ເມົາ, ສ່າງເມົາ@
@soccer@|@ສະຫນາມເຕະບານ, ສະໜາມເຕະບານ, ເຕະບານ@
@soccer field@|@ສະຫນາມເຕະບານ, ສະໜາມເຕະບານ@
@soccer football@|@ຟຸດເບນ@
@soccer football match@|@ແຂ່ງຂັນເຕະບານ@
@social circle@|@ວົງສະມາຄົມ@
@social circle society@|@ວົງສັງຄົມ@
@social class@|@ຊົນຊັ້ນ@
@social democratic@|@ປະຊາສັງຄົມ@
@social function reception@|@ສະໂມສອນສັນນິບາດ@
@social intercourse@|@ສະມາຄົມ@
@social life@|@ເສວະນາ@
@social science@|@ສັງຄົມສາດ@
@social welfare@|@ສັງຄົມສົງເຄາະ, ປະຊາສົ່ງຄາະ@
@social worker@|@ນາງສົງເຄາະ@
@socialish@|@ສັງຄົມນິຍົມ@
@socialism@|@ລັດທິສັງຄົມນິຍົມ@
@socially@|@ທາງສັງຄົມ@
@socialogy@|@ສັງຄົມວິທະຍາ@
@society@|@ສະມາຄົມ, ສັນນິບາດ, ສ່ວນຮ່ວມ@
@Society@|@ສັງຄົມ@
@Society news@|@ຂ່າວສັງຄົມ@
@sociology@|@ປະຊາຄົມວິທະຍາ@
@socks@|@ຖົງຕີນສັ້ນ, ລອງເທົ້າສັ້ນ@
@sod@|@ທອດຫຍ້າ@
@soda@|@ໂຊດາ, ນ້ຳໂສດາ@
@sodanum verbascifolium@|@ຊ້າງຫມູ, ຊ້າງໝູ@
@sodium@|@ໂຊດຽມ@
@sodomy@|@ຊຳເລົາຜິດທັມມະດາມະນຸດ@
@sofa@|@ເກົ້າອີ້ຍາວ, ເກົ້າອີ້ນອນ, ຕັ່ງ@
@soft@|@ຈວງ, ສຸຂຸມ, ເທັຽະ, ນິ້ມ, ນິ້ມນວນ, ນຸ່ມ, ນວນ, ບ່ອນຫລົ່ມ, ເບ່ມ, ປອດແປດ, ຜຸ່ຍ, ເມືອກເມົ້າ, ໜຸ່ມ@
@soft body@|@ຄີງອ່ອນ@
@soft boiled egg@|@ໄຂ່ລວກ@
@soft cake is made from sticky rice pastel wrapped by banana leaf and cooked by steam@|@ເຂົ້າຫນົມແຫນບ@
@soft down or fluff@|@ປຸຍ@
@soft drink@|@ໂຊດາ, ນ້ຳຫວານ@
@soft meal@|@ເນື້ອນຸ່ມ@
@soft palate@|@ໃບລີ້ນໄກ່@
@soft rice@|@ເຂົ້າອ່ອນ@
@soft satisfying@|@ໜຳໄຈ@
@soft-boiled eggs@|@ລວກໄຂ່@
@soft-boll an egg@|@ລວກໄຂ່@
@soften@|@ເຮັດໃຫ້ທຸເລົາລົງ@
@softly@|@ສະນິກະ, ເສື່ອຍ@
@soft-spoken@|@ພູດຈາອ່ອນຫວານ, ເວົ້າຈາອ່ອນຫວານ@
@soil@|@ຂີ້ດິນ, ດິນ, ທີ່ດິນເພາະປູກ, ແປດເປື້ອນ, ມັດຕິກາ@
@soil mixed with sand and clay@|@ດິນຂີ້ມອດ@
@solace@|@ເລົ່າໂລມ@
@Solanum sp@|@ແຂ້ງຫນາມ@
@solar@|@ສາວິດ@
@solar eclipse@|@ຣາຫູສູນຕາເວັນ@
@sold@|@ຂາຍແລ້ວ, ຊື້ແລ້ວ@
@solder@|@ຈອດເຫລັກ@
@soldier@|@ເສນາ, ທະຫານ, ພີຣະ, ພົນ, ພົນທະຫານ, ພົນດາບ@
@sole@|@ດຽວ, ທອກ@
@sole (foot)@|@ຝ່າຕີນ@
@sole survivor@|@ສະລອດສະລໍ@
@solemn@|@ສະງ່າຜ່າເຜີຍ, ຢ່າງມີພິທີ@
@solemn vow@|@ສັດຕະຍາທິຖານ@
@solicitation@|@ຄຳເຊີນຊວນ@
@solicited@|@ພະນິດ@
@solicitous@|@ສາທອນ@
@solicitous devotion@|@ຮັກອາໄສ@
@solid@|@ແຂງແກ່ນ, ເຂື່ອນແຂງ, ສະຖາພອນ, ສະຖິຣະ, ຕີບຕັນ, ຖິຣະ, ແນ່ນ, ໝັ້ນແກ່ນ@
@solidarity@|@ກຽວ, ຄວາມຖືກຕ້ອງປອງດອງ, ຈິດຫນື່ງໃຈດຽວ, ຈິດໜື່ງໃຈດຽວ, ສາມັກຄີ@
@solidified@|@ແຂງກະດ້າງ@
@solitary@|@ສະງັດຄົນ, ນິຣະໂຄດ, ປ່ຽວ, ປ່ຽວພອຍ@
@Solitary@|@ຮ້າ@
@solitary and secluded@|@ສອກຫລີກ, ສອກຫຼີກ@
@solitary monkey@|@ລິງທອກ@
@solitary person@|@ຄົນປ່ຽວ@
@solitude@|@ວິເວກ@
@solld@|@ແໜ້ນໜາ@
@soluble material@|@ສານລະລາຍ@
@solution@|@ການຕອບເລກໂຈດ, ຂໍ້ແກ້, ມະຕິ, ວິສາດຊະນາ@
@solve@|@ແກ້, ແກ້ໄຂ້, ສະເລີຍ, ຊຳລະຄວາມ@
@solve a problem@|@ແກ້ບັນຫາ, ສະເລີຍບັນຫາ@
@solve mistake@|@ແກ້ຜິດ@
@solvent financially@|@ບໍ່ມີຫນີ້ມີສິນ@
@somber@|@ກິມ, ຂຶມ, ຟ່າງ@
@some@|@ສອງສາມອັນ, ບາງ, ພ່ອງ, ລາງ, ລາງອັນ@
@some all (sentence final element of request)@|@ແດ່@
@some day@|@ສັກມື້ໜື່ງ, ບໍ່ມື້ໃດກໍ່ມື້ນຶ່ງ@
@some days@|@ບາງມື້@
@some groups@|@ບາງພວກ, ລາງພວກ@
@some kind@|@ລາງແນວ@
@some kinds@|@ບາງຢ່າງ@
@some of us@|@ພວກເຮົາບາງຄົນ@
@some out@|@ຢ້າງໄຟ@
@some people@|@ດ້າມຄົນ, ບາງຄົນ, ບາງພວກ, ລາງຄົນ, ລາງພ່ອງ@
@some place or places@|@ລງາບ່ອນ, ລາງແຫ່ງ, ລາງແຫ່ງລາງບ່ອນ@
@some points@|@ບາງຈຸດ@
@some time or another@|@ບໍ່ເວລາໃດກໍ່ເວລານຶ່ງ@
@some what@|@ພໍຫລ້າງ@
@some what as if it seems that@|@ຄ້າຍໆກັບວ່າ@
@some what past freshness (for fruit)@|@ຊຳລາ@
@some what recalcitrant@|@ສະລອກກອກ@
@some years@|@ບາງປີ@
@somebody@|@ບຸກຄົນໃດບຸກຄົນນຶ່ງ, ລາງຄົນ@
@someday@|@ມື້ໃດມື້ຫນຶ່ງ@
