@English@|@Hmong@
@roll something@|@dov@
@roll up@|@kauv, qaws@
@romp@|@dhia ua si lom zem@
@roof@|@ru tsev, ruv@
@roof house@|@vov tsev@
@roof of a house@|@ruv tsev@
@roofing@|@nqeeb@
@room@|@cha tsev, chav, ib chav, ib kem, kem, kem@
@roost@|@cooj qaib@
@rooster@|@lauv qaib@
@root@|@cag, hauvpaus@
@roots@|@nreej, nrhau@
@rope@|@hlua@
@rosy@|@liab tseb@
@rot@|@lwj@
@rotate@|@kiv mus, sib hloov@
@rotation@|@kev kiv mus, kev sib hloov@
@rotten@|@kab noj lawm, lwj@
@rough@|@ntxhib, tsis du@
@rough surface@|@xem@
@round@|@yeej, yeej yeej@
@round (1)@|@khaeej, kheej kheej, vij, vij@
@rounded@|@npawv@
@rouse@|@tsim dheev thaum hmo ntuj@
@rout@|@kov yeej, yeej@
@route@|@txojkev@
@routine@|@ua li niaj zaug ua@
@rove@|@loj leeb, ncig, yos@
@row@|@kev ua ib kab, nquam@
@royal@|@muaj koob muaj npe, noob nom noob tswv@
@RSVP@|@qhia paub seb puas tuaj tau@
@rub@|@mos, mos qhov muag, plhw, tshiav@
@rub eye@|@mos qhov muag@
@rub together@|@xuab@
@rubber@|@roj hmab@
@rudder@|@ko tw nkoj, ko tw nyoob hoom@
@rude@|@thab plaub, txhob txwm, ua tau yam dhuav plhu@
@rude (1)@|@tsis paub cai@
@rug@|@ntaub pua taw rooj@
@ruin@|@puas, rhuv, ua kom puas@
@rule@|@kav@
@ruler@|@pas ntsuas, tus pas ntsuas@
@rules@|@kevcai, txhooj lus tuav tsab cai@
@rumor@|@lus xaiv@
@run@|@dhia, khiav@
@run away@|@plau@
@runner@|@khiav@
@run-on@|@pheej tsis xaus@
@runway@|@tshav nyoob hoom@
@rupture@|@ib yam dab tsi tawg, kev sib tawg, tawg lawm@
@rural@|@hauv tebchaws, nyob deb nroog, pem yaj sab@
@rush@|@maj@
@rust@|@xeb@
@rut@|@neeg ua yam qub tag li xwb@
@sabbath@|@hnub caiv@
@sabotage@|@ua phem@
@sack@|@hnab, seev@
@sacred@|@dawb huv@
@sacrifice@|@txi, xyeem, xyeem@
@sacrifice (1)@|@kev txi dab, kev txi ntuj@
@sad@|@tu siab@
@saddle@|@eeb nees@
@sadness@|@kev tu siab@
@safe@|@kaj huv@
@safety@|@kev tsis muaj ntshai, kev xyuas xim, nyab xeeb@
@sag@|@hlauv@
@saga@|@dabneeg@
@sage@|@neeg txawj ntse txawj xav@
@said@|@hais@
@sailor@|@neeg tsav nkoj@
@saint@|@neeg dawb huv@
@salad@|@xam lav, zaub nyoos@
@salamander@|@nab qa dev@
@salary@|@nqi, nyiaj hli@
@sale@|@chaw muag khoom, kev muag khoom@
@saliva@|@aub ncaug, qaub ncaug@
@salt@|@ntsev@
@salt and pepper@|@ntsev thiab hwj txob@
@saltless@|@tsuag@
@salty@|@daw, qab ntsev@
@salute@|@kev hawm txog lwm tus@
@salvage@|@mus tshawb tsov los@
@salvation@|@kev dim lub txim@
@salvation army store@|@tsev muag khoom qub@
@salve@|@kua tshuaj@
@sambar@|@muas lwj@
@sambar deer@|@muaslwj@
@same@|@zoo tibyam, zoo tsis txawv@
@same time@|@txhij...@
@sample@|@ib qhov qauv, qauv@
@sand@|@hmoov zeb, suab puam@
@sandals@|@khau khiab, nkawm khau khiab@
@sandpaper@|@ntwav txhuam  ntoo@
@sane@|@meej pem@
@sanitary@|@huv@
@sap@|@kua ntoo, zia@
@sardine@|@ntses xas dis@
@sash@|@hlab se, siv@
@satan@|@dab ntxwg nyoog@
@satchel@|@xwb xab me@
@satiated@|@hi@
@satisfactory@|@tas siab@
@satisfied@|@pov chaw, tas siab, tas siab, tsau, yib@
@satisfy@|@txaus siab, ua kom txaus siab@
@saturate@|@ntub txaus@
@saturday@|@Hnub rau@
@sauce@|@kua nyeem@
@sauce pan@|@lauj lkaub@
@saucer@|@ntim@
@saucer and cup@|@phaj, thiab khob@
@sausage@|@hnyuv ntxwm, ntxwm@
@savage@|@limhiam, qus qus@
@save@|@cawm, khaws cia, khaws cia keep, tseg, tseg cia, tshaj, tshaj@
@save (1)@|@txuag@
@save money@|@tseg nyiaj@
@savior@|@cawmseej, tus cawmseej@
@savor@|@hnov qhov qab@
@savvy@|@txawj xav thiab ntse@
@saw@|@kaw, rab kaw@
@say@|@hais@
@say something bad@|@hnyos@
@say something that is not true@|@xev@
@say that...@|@hais tias...@
@scab@|@kaub, kaub puab@
@scald@|@hlab@
@scale@|@kev ntsuas raws seem, nplai ntses, teev@
@scale (1)@|@nce tau siab@
@scalp@|@tawv tob hau@
@scalpel@|@riam phais neeg@
@scan@|@luam theej duab, saib ceev ceev ib lwm@
@scar@|@caws pliav@
@scare@|@hem, tsis muaj txaus, ua kom ntshai@
@scared@|@hem, ua kom ntshai@
@scarf@|@phuam kauv caj db, phuam qhwv cajdab@
@scatter@|@nphoo@
@scent@|@ntxhiab@
@schedule@|@cais sijhawm, lub sijhawm@
@scheme@|@tswvyim, txwm@
@scholar@|@kws ntawv@
@school@|@tsev kawm tsawv, tsev qhia ntawv@
@school setting@|@kawm ntawv tshwj xeeb, qhov chaw, teem tseg@
@science (1)@|@zaj lus hais txog neeg, zaj lus hais txog tsiaj@
@science (2)@|@zaj lus hais txog dej, zaj lus hais txog ntoo@
@scientist@|@tus paub txo tsiaj, tus paub txog tibneeg@
@scientist (1)@|@tus paub txog dej, tus paub txog ntoo@
@scientist (2)@|@tus paub txog neeg@
@scissors@|@txiab@
@scold@|@cem, ncua, phob cem, sib ceg@
@scoop@|@yawm@
@scoop out@|@hais@
@scoot@|@mus ceev ceev, zaum swb@
@scooter@|@luv thij taw, maus taus taw, tsheb taw@
@scorch@|@hiav, kub nyiab sab nraum@
@score@|@teev cia, teev tseg, yam nws ua tau li cas@
@score (1)@|@qhab nias, sau hom luj tau@
@scorn@|@sib ntxub@
@scorpion@|@raub ris teb@
@scour@|@txhuam heev@
@scowl@|@hnya@
@scramble@|@nthee@
@scrap@|@seem@
@scrape off@|@kuam@
@scratch@|@kos, rheeb@
@scrawl@|@sau ntawv phem@
@scrawny@|@yuag@
@scream@|@quaj qw@
@screen@|@ntxaij, xaiv tib neeg ua haujlwm@
@screening@|@kev tshawb xyuas, tshawb xyuas, tuskws tshawb xyua@
@screw@|@ntsia hlau@
@screwdriver@|@tus tig ntsia hlau@
@scribe@|@tus sau@
@scrounge@|@nog@
@scrub@|@ntxhua, ntxuam@
@scruples@|@txoj cai@
@sculpture@|@duab puab@
@scythe@|@rab liag@
@sea@|@dej hiav txwv@
@sea lion@|@aub dej@
@seafood@|@nqaij hauv dej hiav txwv@
@seal@|@yeem@
@seal something shut@|@foob@
@seam@|@leeg, leej leeg@
@search@|@fawb, kev nrhiav, nrhiav, tshawb, txhawb nrhiav@
@search (1)@|@kev tshawb@
@search for@|@xawb@
@season of the year@|@caij@
@seat@|@chaw zaum, pob tw, rooj zaum@
@second@|@ib pliag, thib ob@
@second grade@|@qib ob@
@secondary school@|@tsev kawm ntawv theem nrab@
@secondary source@|@yam thib ob@
@secret (1)@|@lus qhia tsis tau@
@secretary@|@teem ntawv, tus tub teev ntawv, txais tos@
@secrete@|@paim@
@secretly@|@tsis pub paub@
@section@|@ib tshooj@
@secure@|@kaj siab lug, tsis muab teeb meem@
@secure tightly@|@zoj@
@security people@|@neeg saib kev ruaj ntseg@
@seduce@|@ntxias kom ua phem@
@see@|@pom@
@seed@|@noob, ntsia@
@seeding@|@yub@
@seedling@|@yub@
@seek@|@nrhiav@
@seek revenge@|@caub, rob caub@
@seem@|@khws li, ntsiv zoo li@
@seep@|@txia@
@segment@|@tej nplai, tej ntu@
@segregate@|@sib cais@
@segregation@|@cais, nyias ua nyias pab pawg@
@seize@|@rob, txeeb, txhav, txhom@
@seizure@|@dab peg, looj hlias, mob qaug dab peg, qaug dabpeg@
@seldom@|@mi ntsis@
@select@|@xaiv@
@self@|@kuv tus kheej@
@self-care skills@|@txawj tu tus kheej@
@self-centered@|@yus tus kheej@
@self-conscious@|@txhawj xeeb txog yus tus kheej@
@self-defense@|@tiv thaiv yus tus kheej@
@self-esteem@|@ntaus nqi rau yus tus kheej@
@self-help skills@|@txawj pab tus kheej@
@self-interest@|@txaus siab rau yus tus kheej@
@selfish@|@cuaj khaum, cuajkhaum, qia dub, tsis xam luag tej@
@self-starter@|@tsis tos lwm tus hais, yus pib yus tus kheej@
@self-sufficient@|@yus pab tau yus tus kheej@
@sell@|@muag@
@semester@|@nqe kawm rau hli@
@semi-monthly@|@ib hlis ob zaug@
@senator@|@neeg raug xaiv los sawv nce@
@send@|@fi, xa@
@send someone on an errand@|@txib@
@senile@|@tem, tsis nco qab@
@senior (1)@|@laus, los sis qib siab@
@sensation@|@nov ntawm nqaij tawv@
@sense@|@hnov, ntsuas zoj@
@sensible@|@paub tab paub xav@
@sensitive@|@noog tau, paub tau@
@sentence@|@kab lus@
@sentence (1)@|@lus txiav txim, ntawv kab, sob lus@
@separate@|@dhas, kem, kem teb, ncaim, quas@
@separate from@|@nrug@
@separate grain from chaff@|@tsoov@
@separate the fat from the meat@|@uas@
@separate tray@|@tsoov@
@separately@|@cais@
@september@|@cuaj hli ntuj@
@sequence@|@kev ua ib theem zuj zus, qib, theem@
@serenade@|@kwv txhiaj@
@serene@|@huam xeeb@
@serious@|@tiag tiag, tsis nyiam tso dag@
@seriously@|@tiag tiag@
@serpent@|@nab@
@servant@|@tub qhe@
@serve@|@pab, pab dejnum li cov tseem fwv@
@server@|@neeg rau zaub mov@
@service@|@kev pab, kev pab cuam@
@service coordinator@|@tus saib tes dej num, tus tuav kev pab@
@service station@|@chaw sam roj@
@sesame@|@noob hnav@
@session@|@sib ntsib@
@set@|@tej ntus ntawm zaj yeebyam@
@set a time to do something@|@teem caij@
@set a trap@|@caws ntxiab@
@set apart@|@kem@
@set aside@|@tsaws, txhawm, txhawm rau ib cag, txhawm rau ib cag@
@set down@|@tsaws@
@set in math@|@cov zauv uas tso muaj qauv@
@set into the ground@|@txhos@
@set out@|@npaj tawm mus@
@setting@|@qhov chaw kawm, thaj chaw zaj dabneeg@
@settle@|@nrhiav tautsev nyob, xav tib yam rau ib yam dabtsi@
@settle (1)@|@tsim neej@
@settled@|@yees@
@seven@|@xya@
@Seven AM.@|@Thaum xya teev.@
@seventeen@|@kaum xya@
@seventh@|@thib xya@
@seventh grade@|@qib xya@
@seventy@|@xya caum@
@sever@|@txiav tu ntsho@
@several@|@ob peb zaug@
@severe@|@hnyav, loj, nyaum@
@severe emotional disorder@|@kev ntsawv siab heev, kev tsiv siab heev@
@sew@|@xaws@
@sewage@|@quav@
@sewing machine@|@tshuab xaws qhob ncaws@
@sex@|@deev@
@sexual@|@hais txog sib deev@
@shabby@|@khaub hlab@
@shade@|@ntxoov ntxoo@
@shaded@|@duab ntxoo@
@shades of colors@|@vog@
@shadow@|@duab ntxoov ntxoo, duab txhav ntuj@
@shaft@|@ncej@
@shake@|@co, nchos, thawv@
@shaky@|@thawv@
@shall@|@yuav@
@shallow@|@ntiav@
@shallow basin@|@tais phiab@
@shaman@|@txiv neeb, txivneeb@
@shaman spirit@|@dab neeb@
@shame@|@kev txajmuag@
@shame-faced@|@txaj muag@
@shameless@|@plees@
@shampoo@|@suj npum, tsuaj zawv plaub hau@
@shao@|@Saub@
@shape@|@duab, hom, kho kom zoo li, lub cev, npawm, yam@
@share@|@sib faib@
@sharp@|@ntse@
@sharpen@|@hliav, hov@
@sharpen an arrow@|@zob@
@shatter@|@tawg@
@shatter-proof@|@tawg tsis tau@
@shave@|@chais, chais plaub@
@shawl@|@daim ntaub npog xwb pwg, txoj phuam@
@she@|@nws@
@She is making supper.@|@Nws tabtom ua ib pluas hmo.@
@shear@|@chais ya cov plaub, chais ya cov plaub, txiav kom ti ti@
@sheath@|@hnab riam, yuaj@
@shed@|@tsev me tso khoom, zeeg@
@sheep@|@yaj@
@sheet@|@daim ntawv ntaub, ntaub pua chaw@
@shelf@|@txee@
@shell@|@dhas, dhas, dhas pobkws, plav, plhaub@
@shell of animal@|@khaum@
@shelter@|@roos, tsev nkaum@
@shelve@|@muab cia saum txee@
@shepherd@|@tswv yaj@
@sheriff@|@thawj ceev xem@
@shift@|@ua haujlwm ntev li cas@
@shiftless@|@cis nkees@
@shifty@|@ntseeg tsis tau@
@shin@|@hlaub, roob hluab, roob qhib@
@shin leg@|@hlaub, roob hluab, roob qhib@
@shinbone@|@kav hlaub@
@shine@|@ci, ntsa@
@shingles@|@vuas, vuas ntoo@
@shining@|@ntsa, ua kom pom kev@
@shiny@|@ci ci@
@ship@|@nkoj@
@shirt@|@tsho@
@shive@|@tshee@
@shiver@|@no tshee, tshee@
@shock@|@kev poob siab, poob siab, tom@
@shoe repair shop@|@tsev kho khau@
@shoe store@|@tsev muag khau@
@shoes@|@khau, nkawm khau@
@shoestring@|@hlua khau@
@shoo@|@Mus!, Pais!@
@shook up@|@ntshai, poob sia@
@shoot@|@tua, tua phom, tua phom luv@
@shop@|@ncig yuav khoom@
@shoplift@|@nyiag khoom@
@shore@|@ntug dej@
@short@|@luv, qeg taub, qis, qis, qis taub, teem taub, tsis ntev@
@short (1)@|@tsis siab@
@short beans@|@taum suav@
@short order cook@|@neeg ua noj ceev@
@short term memory@|@cim (cov lus) tsis tau ntev@
@shortage@|@muaj tsis txaus, muaj tsis txawm peem@
@shortage (1)@|@txob txwm ntxiv nyiaj tsis yog@
@shortcut@|@mus txoj kev ceev tshaj@
@shorter@|@luv zog, qis zog@
@shorts@|@ris ceg lov, ris ceg luv@
@short-sighted@|@xav txog tsis teb@
@shot@|@kev txhaj tshuaj, tua phom@
@should@|@yuav tau ua@
@should do@|@tswmnyog ua@
@shoulder@|@xwb pwg@
@shoulder blades@|@duav pus@
@shout@|@qw nrov@
@shove@|@xyeeb@
@shovel@|@duav, duav yawm av, kaus, thawv, yawm@
@show@|@kev ua yeeb yam, qhia, taw kev@
@show respect@|@hawm@
@show up@|@tshwm@
@shower@|@da dej, da dej, los nag tshauv, nag tshauv@
@shower (1)@|@da dej saum tus kav hlau@
@shower bath@|@da dej saum tus kais dej@
@shower curtain@|@ntaub npog dab da dej@
@shred@|@muab dua tawm@
@shrewd@|@ntse heev@
@shriek@|@qw nrov@
@shrimp@|@cws@
@shrimp stir fry@|@cw kib@
@shrine@|@thaj neeb@
@shrink@|@ua kom nws me zog me zog@
@shrivel@|@ua kom nws me zog me zog@
@shrub@|@tsob nroj@
@shudder@|@tshee tshee@
@shut@|@npog@
@shy@|@txaj muag, txaj qhov muag@
@siblings@|@menyuam niam txiv ib plab@
@sick@|@mluas, tsis xis nyob@
@sickle@|@liag, vuv@
@sickly@|@muaj mob, ntsoo, ntsoo, ntsoos@
@sickness@|@muaj mob@
@side@|@phab tav, sab, tog@
@side door@|@qhov rooj txuas@
@sidestep@|@maim@
@sidewalk@|@txoj kev taug ko taw@
@sideways@|@ntsais@
@sieve@|@sab cib, suab sib@
@sift@|@tshau@
@sifter@|@vab tshaus@
@sigh@|@nroo, seev, xyu@
@sight@|@kev pom, txij li qhov muag pom, yam uas pom@
@sign@|@dim, kos, kos npe, piav tes, sau npe, xee npe@
@sign (1)@|@lus piav tes, sau yuas@
@sign language@|@lus piav tes, lus piav tes, piav tes@
@signature@|@kos npe@
@silent@|@ntsiag to, ntsiag twbto@
@silently@|@twj ywm@
@silk@|@ntaub lis loos, ntaub xo tshawj, tshawj@
@silly@|@ua dag@
@silver@|@nyiaj, nyiaj dawb@
@silver bar@|@nyiaj daim@
@silver necklace@|@xauv@
@silverware@|@diav nplooj thiab diav rawg, riam@
@silverware (1)@|@nyiaj npib nyiaj choj@
@similar@|@thooj, zoo sib thooj@
@similarity@|@kev zoo sib thooj@
@simmer@|@thaum dej tab tom pib npaus, xiv@
@simple@|@tsis myuab, yooj yim, yoojyim@
@simple directions@|@kev taw qhia yooj yim@
@simply@|@nyaij, yooj yim@
@sin@|@kev txhaum, txim, ua kev txhaum@
@since@|@txij, txij li thaum, txij thaum ntawd los@
@since then@|@txij thaum@
@sincere@|@hais tiag, ua tiag@
@sing@|@hais kwv txhia, hu nkauj, hu nkauj, hu plig, qwv nkauj, seev@
@singe@|@kub ciab me me@
@singing contest@|@sib lwv@
@single@|@hluas, ib leeg, nkaus, tib@
@single bed@|@txaj ib leeg pw@
@single-handedly@|@yus ua yus ib leeg@
@sinister@|@siab phem txaus ntshai@
@sink@|@dab ntxuav muag, tog@
@sinus@|@qhov ntswg@
@sip@|@hauv ib pas, hauv me me, ib pas@
@siren@|@tsib rov@
@sissy@|@tais caus@
@sister@|@muam, niam laus, phauj, phauj laug, vivncaus@
@sister (1)@|@niam hluas, tus muam nrog niam nrog txiv@
@sister-in-law@|@niam hluas, niam laus, niam tij, tis nyab@
@sisters@|@viv ncaus muam@
@sit@|@zaum@
@sit close to others@|@puab@
@Sit down@|@Zaum os@
@sit on eggs@|@puab qe@
@sit with knees bent@|@khooj@
@site@|@qhov chaws@
@situation@|@lub caij zoo li cas@
@six@|@rau@
@Six thirty in the morning.@|@Thaum rau teev peb caug.@
@sixteen@|@kaum rau@
@sixth@|@thib rau@
@sixth grade@|@qib rau@
@sixty@|@rau caum@
@sizable@|@loj tsawv@
@size@|@hom loj me, loj li cas los me li cas@
@sizzle@|@roj nrov@
@skate@|@caij khau log khau muaj log@
@skeleton@|@cev pob txha@
@skeptic@|@neeg ua tsis tseeg dabtsi li, xav tias ua tsis tau@
@skeptical@|@xav tias ua tsis tau@
@sketch@|@kos duab@
@ski@|@caij ski@
@ski cap@|@phuam qhwv pob ntseg@
@skid@|@nplua@
@skill@|@kev muaj cuabkav, paub, tswv yim, txawj@
@skilled@|@muaj cuabkav@
@skim@|@saib ceev ceev dhau plaws@
@skin@|@cev quaij, tawv, tawv, tawv nqaij@
@skinny@|@ntxaug, yuag@
@skip@|@hla@
@skirk@|@tiab@
@skirt@|@tiab@
@skull@|@txha taub hau@
@skunk@|@luj@
@sky@|@ntuj, saum ntsuab ntug@
@sky soldiers@|@cov fab@
@slacks@|@rwg@
@slam@|@ntsawm@
@slander@|@chib, hais lus phem@
@slant@|@ntxhab@
@slanted@|@zij@
@slap@|@ncuav, npuaj@
@slash@|@luaj@
@slaughter@|@tua neeg pov tseg txhuv, tua tsiaj@
@slave@|@qhev@
@slavery@|@kev ua nqev@
@sleazy@|@siab phem@
@sled@|@laub cab@
@sleek@|@nplias lees@
@sleep@|@pw, pw tsaug zog, pw tsaug zog@
@sleep talk@|@theeb cia ntawm no@
@sleepy@|@tsaug zog@
@sleet@|@los nag xyaw daus@
@sleeve@|@tes tsho@
@slender@|@yuag@
@slice@|@hlais, ib nplais@
@slice meat@|@suam@
@slide@|@ua luav luam, ua zawv zawg, zawv zawg@
@slight@|@me tsawv, tsis ntsej@
@slim@|@yuag@
@sling@|@pov, txawb@
@slingshot@|@hneev roj hmab@
@slip@|@daimrub tawm pw, luam, luam, ris hauv qab, tiab hauv qab@
@slip a knot@|@rhaus@
@slip down a hill@|@xaub@
@slip sideways off surface@|@npleem@
@slippers@|@khau khiab@
@slippery@|@npliag, nplua@
@slit@|@hlais@
@slither@|@nkag@
@sliver@|@pos, saus@
@slope@|@ntxhab@
@sloping@|@zij@
@sloppy@|@dog dig@
@slot@|@qhov@
@sloth@|@liaj npog muag@
@slouch@|@pheeb ai@
@slow@|@mam, qeeb@
@slow-developing@|@taj@
@slowly@|@maj mam, qeeb@
@slug@|@sib sib zog xuas nrig ntaus, sib zog ntaus@
@slumber@|@pw tsaug zog@
@slump down@|@nkaug mus@
@slur@|@tsis meej@
@slush@|@dej teev@
@slut@|@meb cab@
@sly@|@ntse@
@small@|@me@
@small intestine@|@hnyuv dawb@
@small of body@|@soob@
@small pocupine@|@nploos@
@small porcupine@|@nploos@
@small village@|@zos me@
@smaller@|@me mentsis@
@smaller than@|@me tshaj tsawg tshaj@
@smallest@|@me tshaj@
@smallpox@|@qhua taum@
@smart@|@ntse@
@smarts@|@ntsim ntxais@
@smash@|@mluav, tsoo, tsoo, ua kom tawg mos mos@
@smash in@|@hmlos@
@smear@|@pleev@
@smell@|@hnov ntxhiab, hnov pa tsw, ntxhiab, ntxhiab tsw, tsw@
@smell smoky@|@tsw nchauv@
@smile@|@luag ntxhis, ntxi hniav, nyav@
@smoke@|@haus luam yeeb, ncho, ncho pa, pa hluav taws@
@smoky@|@nchauv@
@smolestack@|@qhov tso pa@
@smooth@|@du, muag@
@smother@|@tsuam@
@smug@|@khav theeb@
@smuggle@|@nyiag nqa@
@snack@|@noj xob yem@
@snag@|@chob ntuag, kos@
@snail@|@qwj, qwj yeeg@
@snake@|@nab@
@snare@|@mag@
@snare to catch birds@|@tsig@
@snarl@|@nyooj@
@snatch@|@chua, txhavdawm@
@snatch away@|@txeeb@
@sneak@|@nka mus@
@sneakers@|@khau ntaub@
@sneer@|@ua qhov muag dub nciab@
@sneeze@|@txham, txhub@
@sniff@|@hnia@
@snip@|@txiav@
@snob@|@khav theeb@
@snooze@|@pw tsaug zog@
@snore@|@ua qaj@
@snow@|@daus, los daus, te@
@snow person@|@tibneeg daus@
@snow thrower@|@lub tshuab kaus daus@
@snowflake@|@paj daus@
@snowmobile@|@tsheb caij thaum los daus@
@snowshoes@|@txhais khau looj tsuj daus@
@snowstorm@|@los daus hlob@
@snowy@|@los daus@
@snub@|@txhob txwm@
@snug@|@zoo nyob@
@snuggle@|@puag rauv hauv xub ntiag@
@so@|@thiaj li, yog vim li ntawd@
@so much@|@ntau heev@
@so that@|@thiaj li@
@soak@|@ntxaum, raus dej@
@soak in water@|@tsau@
@soak through@|@thawm@
@soaked@|@ntub@
@soap@|@xum npum ntxuav cev, xum npum ntxuav cev, xum npum ntxuav tais diav@
@soap (1)@|@xum npum@
@soar@|@yuj siab@
@sob@|@ncia@
@sober@|@tsis haus cawv, yeeb tos yog tshuaj@
@soccer@|@ncaws pob@
@social@|@nyiam nrog lwm tus@
@social adjustment@|@kev yoog raws@
@social interaction@|@kev nrog tau lwm tus, kev sib fim@
@social worker@|@tus pab tibneeg@
@society@|@koom txoos@
@socks@|@nkawm vuam txwj, thom khwm@
@soda@|@dej qab zib@
@sodier@|@tub rog@
@sofa@|@rooj zaum ntev@
@soft@|@mos, phom, zooj@
@soft speaking@|@lus mos@
@soil@|@av, av, av liaj, av teb@
@soiled@|@nphob@
@solar@|@hnub ci@
@solar system@|@ntiajteb@
@solder@|@ham ua ke@
@soldiers@|@peeb zeej@
@sole@|@muaj ib tus xwb, xib taws@
@solicit@|@mus nug@
@solid@|@ruaj@
@solid knot@|@caus@
@solid rock mass@|@tsua@
@solitary@|@twm@
@solution@|@kev teb tau qhov teebmeem@
@solve@|@kho teebmeem@
@some@|@ib co, ib co, ib txhia, mentsis, puav, tej hom, tej lub@
@Some of us have been there.@|@Peb qee leej tau mus lawm.@
@someday@|@muaj ib hnub twg@
@someone@|@ib tug neeg@
@something@|@tej yam@
@sometime ago@|@thaum i@
@sometimes@|@qee zaus@
@somewhat angry@|@tsiv siab@
@son@|@menyuam tub, tub, tub ntxawg@
@son and father@|@txiv tub@
@song@|@kwv txhiaj, nkauj, txhiaj, txhiaj@
@song with a story@|@kwv txhia, txhiab@
@songs@|@chab, lus taum@
@son-in-law@|@vauv@
@son's father-in-law@|@yawg cuas@
@soon@|@sai@
@soot@|@nkhawb@
@soothe@|@ntxias kom zoo siab@
@sophomore (1)@|@los sis qib siab@
@sore@|@kev mob, kiav txhab, kiav txhab@
@sores@|@qhov ncauj tawm@
@sorrow@|@tu siab heev@
@sort@|@cai, muab faib kom nyias nyob nyias, yam@
@soul@|@ntsuj plig, plig@
@soul guardian of the tomb@|@plig zov rooj@
@soul of reincarnation@|@plig thawj thiab@
@sound@|@laus, suab@
@sound of a horse@|@nees hee@
@sound of fish jumping@|@nplhib nplhob@
@sound wave@|@kev suab tseeg@
@soup@|@kuazaub, zaub hau@
@sour@|@qaub, ua kom qaub@
@sour vegetable@|@zaub tsib@
@source@|@ntawm lub hauv paus pib@
@south@|@sab qab teb@
@South East Asia@|@Teb chaws qab teb Suav@
@South Pole@|@qab ntuj kawg@
@southwest@|@qab teb sab hnub poob@
@sow@|@maum npua, tseb@
@sow opium@|@tseb yeeb@
@soybean@|@taum pauv@
@space@|@chaw xeem, kev nrug, ntsuab ntug, qab ntug@
@spacious@|@muaj chaw ntau@
@spade@|@hlau@
@span@|@ntsua kev@
@spar@|@sib ntaus@
@spare@|@seem, tseg@
@spark@|@txaus siab nyiam, ua tejyam txaus siab@
@spark (1)@|@tis hluav taws@
@sparkle@|@txim taws@
@sparse@|@muaj tsis ntau@
@spasm@|@ceeb nkaus, huam cheej@
@spastic@|@ib cev txhav txhav, leeg nruj, leeg txhav@
@spatula@|@duav@
@spawn@|@ntses nteg qe, qe ntses@
@speak@|@hais lus@
@speak face to face@|@tabmeeg hais lus@
@speak on behalf of one's else@|@ua txiv lus@
@speak slowly@|@maj mam hais lus@
@speak with an accent@|@sis@
@spear@|@hmuv@
@special@|@luv nqi, tshwj xeeb@
@special education@|@kev kawm ntawv tshwj xeeb@
@specialist@|@kev paub ib yam twg zoo, tus kws@
@species of small birds@|@ntxuam@
@specific@|@meej@
@specimen@|@tshem me me@
@speckled red@|@liab vog@
@speckled white@|@dawb vog@
@speckled yellow@|@daj vog@
@spectacle@|@tej yam tshwm sim zoo heev@
@spectators@|@neeg saib@
@speculate@|@xav@
@speech@|@zaj lus hais@
@speech language clinician@|@tus kws qhia hais lus kom meej@
@speed@|@kev ceev, kev mus ceev@
@spell@|@hais ib tug ntawv zuj zus@
@spend@|@siv@
@spend money@|@phob nyiaj@
@spend time@|@siv sijhawm@
@sperm@|@phev@
@sphere@|@kheej@
@spice@|@txuj lom, txujlom@
@spices@|@txuj lom@
@spicy@|@ntsim@
@spider@|@kab, kab laug sab, kab laug tsov@
@spider web@|@sab kab@
@spike@|@ntsia hlau loj@
@spill over@|@txeej@
@spin@|@kiv, tig@
@spin thread@|@saws@
@spine@|@txha caj qaum@
@spinning wheel@|@log kiv@
@spiral@|@kauv, muab kauv@
@spirals@|@qwj@
@spirit@|@dab theeb kawv, ntsujplig, plig, plig, tus plig, tus xy@
@spirit (1)@|@dab, dab, dabevil, ntsuj, ntsuj plig@
@spirit invitation@|@txheev@
@spirit leader@|@dab ntxwg nyoog, ntxwg nyug@
@spirit of fireplace@|@dab qhovcub, dab qhovtxos@
@spirit of heavens@|@dab nruab ntug@
@spirit of one who has just die@|@nywj@
@spirit of the dead@|@xyw@
@spirit of the door@|@dab qhov rooj@
@spirit paper@|@xwmkab@
@Spirit paper@|@ntawv cim thaiv dab@
@spirit shelf@|@thaj@
@spirit that protects children@|@dab pog@
@spirit worshiping place@|@dab qhuas@
@spirits of ancestors@|@dab txwvkoob@
@spirits of the hunting@|@neem@
@spirits of the trees@|@neem@
@spirits of the wood@|@neem@
@spirits of wealth@|@dab xwmkab@
@spit@|@nti ncauj, nto qaub ncaug@
@spite@|@cuab@
@splash@|@ntov, txaws@
@splatter@|@txaws@
@spleen@|@po, txiav@
@splint@|@qhov fwj kom khov, qhov fwj kom txhob txav tau@
@splinter@|@ntshiv ntoo@
@split@|@phua, phua ntoo, tawg ua tej pab tej daim, txeev@
@split off from@|@ncau@
@split open@|@phua@
@split wood@|@txhib@
@spoil@|@ywj siab@
@spoiled@|@piam, puas@
@sponge@|@daim txhuam cev@
@sponsor@|@niam qhuav txiv@
@spontaneous@|@xav xwb ua lawm@
@spoon@|@diav, rab diav@
@sport@|@kis las@
@spot@|@tej teev, txais tej teev@
@spout@|@ciav dej, kais@
@sppech@|@hais lus@
@sprain@|@qis pob tsha, txhauj@
@spraun@|@qes@
