@English@|@Nepali@
@the bus already left@|@bas agi chuTyo@
@The curtain in a theatre@|@javanikä@
@the dark half of a lunar month@|@badi@
@the day after tomorrow@|@parsi@
@the day before yesterday@|@asti@
@the English language@|@belaayatii@
@the first bus in the morning@|@bi'aanako agillo bas@
@the king's palace@|@rajdarbar@
@the last rites after death@|@antyesti@
@the leaf of the betal nut@|@pan@
@the Lord@|@ishvar@
@The name of a caste of Newars@|@jyaapu@
@the National Bird of Nepal@|@danphe@
@the old days@|@vriddhavastha@
@the omnipotent@|@parampita@
@the open palms of the hands@|@anjali@
@the other side@|@pari@
@the planet Mars@|@mangal@
@the rice is undercooked@|@bhaat kããco cha@
@the seeds of cotton@|@jyaapu@
@the senior woman@|@adhaini@
@the shop facing the temple@|@mandirko agiltirako pasal@
@the soldiers advanced@|@sipaa'iharu agi sare@
@the southern flat land@|@madhes@
@the teachings of the Upanishad@|@upanisadvadi@
@the whistle@|@suselo@
@the whole party@|@dalbal@
@the work's finished long ago@|@kaam agi nai sakiyo@
@the world@|@jagat@
@then@|@uhile@
@theological part of the vedas@|@upanisad@
@theory@|@vad@
@there@|@tyahan@
@There Is No Food@|@kanah chinaah@
@therefore@|@tyasaile, yas kramma@
@these days@|@acel@
@these days it's very hot@|@acel dherai garmi cha@
@They went to the mosque@|@Tini haru mosque gayen@
@thick@|@baklo@
@thick mud@|@gadgad@
@thieve@|@khosuva@
@thigh@|@tighra@
@thin@|@patalo@
@things@|@saman@
@thinking@|@cintan@
@third@|@tesro@
@third eldest of brothers@|@sahinlo@
@third person@|@tritiya purus, tritiyapurusvacak@
@third pole@|@tesro dhrava@
@thirteen@|@tehra@
@Thirteen@|@terah@
@thirty@|@tis@
@thirty seven@|@saintis@
@thirty-eight@|@athtis@
@thirty-five@|@paintis@
@thirty-four@|@cauntis@
@thirty-nine@|@uncalis@
@thirty-one@|@ektis@
@thirty-six@|@chattis@
@thirty-three@|@tettis@
@thirty-two@|@battis@
@This@|@Yo@
@this and no other@|@yahi nai@
@this big one@|@yatro@
@this morning@|@aja bihana@
@this much@|@yati@
@this time@|@ahile@
@This Trail Goes To Namche?@|@yo Namche jaane baato ho?@
@This Trail Over Here@|@yo baato etah@
@this very@|@yahi@
@thither@|@uta@
@thorn@|@kando@
@thornless@|@niskantak@
@those@|@ti@
@those close to oneself@|@apas@
@though@|@taipani@
@thought@|@bhava, bhavana, bicar, man@
@thrashing@|@cutai@
@thread@|@dhago@
@threatening@|@dhamki@
@three@|@tin@
@three-legged iron@|@odhan@
@throat@|@ghanti, ghati@
@throne@|@gaddi@
@throughout life@|@ajivan@
@thumb@|@budhi aunlo@
@Thursday@|@bihivar, brihaspatibar, guruvar, vrihaspativar@
@thus@|@tyaso hunale@
@Tibet@|@tibbat@
@tiger@|@bagh@
@time@|@miti, tak, vela@
@tin@|@jasta, tin@
@title@|@padavi, upadhi@
@to accept@|@angikar garnu@
@to adopt@|@angalnu, apanaunu@
@to advance@|@agaaDi baDhnu, agadi badhnu, aghi sarnu, agi sarnu@
@to agree upon@|@kehi kurama mato milnu@
@to allow to do something@|@garna dinu@
@to amputate@|@anga-bhanga garnu@
@to appear@|@lagnu@
@to arrange@|@kehi kurako mato milnu@
@to arrest@|@kaid garnu@
@to arrive@|@aipugnu@
@to arrive at@|@pugnu@
@to ask for@|@kehi kurama anurodh garnu, magnu@
@to assist@|@madat dinu@
@to attend@|@kurnu@
@to bark@|@bhuknu@
@to be able@|@saknu@
@to be angry@|@risaunu@
@to be astonished@|@torika phul dekhnu@
@to be bewildered@|@almalinu@
@to be born@|@janmanu@
@to be called@|@kahalaunu@
@to be cautious@|@hosh garnu@
@to be confused@|@akamakka parnu@
@to be conscious@|@cetnu@
@to be cut@|@katinu@
@to be deceived@|@chakkinu@
@to be divided to pieces@|@tukrinu@
@to be fatt with eating@|@kandhinu@
@to be forward@|@tamsanu@
@to be frightened@|@attinu, bhadkinu@
@to be frozen@|@jamnu@
@to be hungry@|@bhok lagnu, bhokaunu@
@to be kindled@|@jalnu@
@to be known@|@jaatavya@
@to be left@|@chutnu@
@to be left over@|@ubranu@
@to be mischievous@|@itrinu@
@to be moved@|@osarinu@
@to be necessary@|@cahinu@
@to be opened@|@ughranu@
@to be pleased@|@ramaunu, ramnu@
@to be poured out@|@khaninu@
@to be published@|@chapinu@
@to be pure@|@cokhinu@
@to be quiet@|@cup lagnu@
@to be ready@|@bannu, tayar hunu@
@to be ripe@|@paknu@
@to be satisfied with eating@|@aghaunu@
@to be seen@|@dekhinu@
@to be selected@|@ukkinu@
@to be shot@|@golii khaanu@
@to be spoken@|@bolinu@
@to be startled@|@jhaskanu@
@to be stopped@|@rokinu@
@to be stormy@|@huri calnu@
@to be surprised@|@acamma laagnu, acamma lagnu, acamma parnu@
@to be the procedure complete@|@anga pugnu@
@to be withered@|@oilinu@
@to be worried@|@phikri garnu@
@to be written@|@lekhinu@
@to bear@|@behornu@
@to bear fruits@|@phalnu@
@to beat@|@cutnu@
@to beat severely@|@godnu@
@to become stiff by cold@|@kakrinu@
@to begin@|@thalnu@
@to bind@|@bandhnu@
@to bless@|@ashis dinu@
@to boil@|@umlanu@
@to boil while cooking@|@usinnu@
@to bow down@|@jhuknu@
@to break open@|@ukkaunu@
@to burn@|@balnu, dadhnu, jalnu@
@To burn@|@jaläunu@
@to bury@|@gadnu@
@to buy@|@kinnu@
@to call@|@bolaunu, daknu@
@to call by figure and word@|@angka ra aksharle bolaunu@
@to caress@|@cumnu@
@to carry@|@boknu, laijanu@
@to carve@|@kundnu@
@to catch@|@pakranu@
@to catch firmly@|@anthyaunu@
@to cause to be cut@|@kataunu@
@to cause to be dug@|@khanaunu@
@to cause to boil@|@umalnu@
@to cause to crack@|@carkaunu@
@to cause to decrease@|@ghataunu@
@to cause to descend@|@ohralnu@
@to cause to do@|@garaunu@
@to cause to drop@|@oiraunu@
@to cause to fall@|@khasaunu@
@to cause to fly@|@udaunu@
@to cause to get off@|@utarnu@
@to cause to go through@|@chiraunu@
@to cause to laugh@|@hansaunu@
@to cause to lick@|@cataunu@
@to cause to move@|@calaunu@
@to cause to play@|@khelaunu@
@to cause to ride@|@cadhaunu@
@to cause to run@|@daguraunu@
@to cause to sit@|@basalnu, basaunu@
@to cause to sprout@|@umarnu@
@to cause to stand@|@ubhyaunu@
@to cause to stick@|@adkaunu@
@to cause to taste@|@cakhaunu@
@to cause to weep@|@ruvaunu@
@to celebrate@|@manaunu@
@to chase@|@khednu@
@to cheat@|@thagnu@
@to chew@|@cabaun, cavaunu@
@to chime@|@bajnu@
@to chisel@|@kapnu@
@to choose@|@channu@
@to clean@|@majhnu@
@to clean teeth@|@dant majhnu, dant malnu, dant maskaunu@
@to climb@|@cadhnu@
@to climb up@|@uklanu@
@to close@|@banda garnu@
@to collect@|@jutaunu@
@to comb the hair@|@kapal kornu@
@to come@|@aunu@
@to come out@|@niskanu@
@to come to an end@|@tunginu@
@to comedown@|@orlanu, orlinu@
@to concentrate on one thing@|@ekohorinu@
@to confirm to make sure@|@pakka garnu@
@to confuse@|@almalaunu@
@to cook@|@pakaunu@
@to cool@|@selaunu@
@to count@|@gannu@
@to cover@|@chaunu, chopnu@
@to cover oneself up@|@odhnu@
@to cover up sombody else@|@odhaunu@
@to crack@|@carkanu@
@to crush@|@kucyaunu@
@to curse@|@sarapnu@
@to cut@|@katnu@
@to dance@|@nacnu@
@to dare@|@antnu@
@to deceive@|@chalnu@
@to decrease@|@ghatnu@
@to deep fry@|@tarnu@
@to defeat@|@haraunu@
@to develop@|@phastaunu@
@to die@|@khasnu@
@to dig@|@Khannu@
@to dig up@|@udhinnu@
@to discipline@|@ancetnu@
@to discuss@|@chalphal garnu@
@to do@|@garnu@
@to draw@|@tannu@
@To drink@|@Pivnu@
@to drive@|@hanknu@
@to drive a car@|@motar haknu@
@to drive away@|@dhapaunu@
@to drop@|@oirini@
@to earn@|@kamaunu@
@to eat@|@khanu@
@To Eat@|@Khannu@
@to end@|@anta garnu@
@to entangle@|@aljhaunu@
@to enter@|@bhitrinu, pasnu@
@to escape@|@umkanu@
@to establish@|@thapnu@
@to evade@|@panchaunu@
@to execute of fire victim@|@purashcaran@
@To execute of fire victim@|@purashcarya@
@to exort@|@puryaunu@
@to explain@|@bujhaunu@
@to fall@|@girnu, jharnu@
@to fall into someone's hands@|@hat aunu@
@to feed@|@khuvaunu@
@to feel@|@chamnu@
@to fetch@|@lyaunu@
@to fight@|@ladnu@
@to find time@|@bhyaunu@
@to finish@|@siddhyaunu@
@to fish@|@macha marnu@
@to fit into@|@atainu, ataunu@
@to fix a date@|@kayam garnu@
@to flee@|@bhagnu@
@to flow continually@|@oirinu@
@to fly@|@udnu@
@to fly up@|@akkasinu@
@to forbear@|@sahanu@
@to forget@|@bhulnu@
@to free@|@mukta garnu@
@to frighten@|@daraunu, tharkaunu@
@to fry@|@bhutnu@
@to fry hard to overparch@|@kharaunu@
@to gamble@|@juva khelnu@
@to get@|@paunu@
@to get caught up in@|@aljhanu@
@to get dirty@|@juthyaunu@
@to get drunk@|@matnu@
@to get fat@|@motaunu@
@to get frightened@|@hackanu@
@to get off@|@utranu, utrinu@
@to get stuck@|@adkanu@
@to get thin@|@dublaunu@
@to get tired@|@thaknu@
@to get up@|@uthnu@
@to get wet@|@bhijnu@
@to give@|@baksanu, dinu@
@to give a lecture@|@bhasan dinu@
@to give birth to@|@janmaunu@
@to glide@|@bagnu@
@to glitter@|@camkanu@
@to go@|@janu@
@to go abroad@|@pardesh lagnu@
@to go first@|@aghi laagnu, aghi lagnu, agi laagnu@
@to go out@|@nibhnu@
@to go shopping@|@kinamel garnu@
@to go through@|@chirnu@
@to go to school@|@skulma padhnu@
@to go to sleep@|@nidaunu@
@to graze@|@carnu@
@to grind teeth@|@kitnu@
@to grow@|@ubjanu@
@to grumble@|@ganaganaunu@
@to guess@|@adkalnu@
@to happen@|@parnu@
@to harness@|@jotnu@
@to heat@|@tataunu@
@to help@|@sagaunu, saghaunu@
@to hesitate@|@ankanaunu@
@to hide@|@dhaknu, luknu@
@to hinder@|@cheknu@
@to hit@|@kutnu@
@to hug@|@ãgaalo maarnu@
@to increase@|@badhaunu, badhnu@
@to instigate@|@uralnu@
@to intern@|@antarvasit garnu@
@to introduce@|@cinaunu@
@to join@|@jodnu@
@to join together@|@gansnu@
@to jump@|@uphranu@
@to keep@|@rakhnu@
@to kill@|@jaan maarnaa@
@to kindle@|@balnu@
@to kiss@|@mvain khanu@
@to know@|@jannu@
@to last@|@tiknu@
@to lead forward@|@agaaDi baDhaaunu, agadi badhaunu@
@to leak@|@cuhinu, cuhunu@
@to lean@|@aDesa laagnu, aRes laagnu@
@to lear@|@padhnu@
@to learn@|@siknu@
@to leave@|@chadnu, chodnu@
@to lend a hand@|@hat halnu@
@to lick@|@catnu@
@to lift@|@ukalnu@
@to lift up@|@ucalnu@
@to like@|@manparaunu@
@to live@|@jiunu@
@to lock@|@aglyaunu@
@to loiter@|@caharnu@
@to long@|@man aunu@
@to lose@|@gumaunu@
@to love@|@maya garnu@
@to make@|@banaunu@
@to make buttermilk@|@mohi parnu@
@to make friends@|@mit lagaunu@
@to make graze@|@caraunu@
@to make numbed@|@kakryaunu@
@to make others hear@|@sunaunu@
@to make plain@|@sammyaunu@
@to make ready@|@tayar garnu@
@to make sense of@|@arthyaunu@
@to make solid@|@jamaunu@
@to meet@|@bhet hunu, bhetnu@
@to mew@|@myaun garnu@
@to milk@|@duhunu@
@to mingle@|@misaunu@
@to mount@|@cadnu@
@to move@|@calnu, calnu, sarnu@
@to move about@|@ghumnu@
@to move restlessly@|@salvalaunu@
@to mshine@|@jhalkanu@
@to mutter prayers@|@japnu@
@to observe@|@barnu@
@to occupy@|@ogatnu, okatnu@
@to offer up@|@arpanu@
@to one side@|@ekatira@
@to open@|@kholnu, kholnu, ugharnu@
@To Open@|@Kolna@
@to part@|@bandnu@
@to pause@|@akamakaunu@
@to pay@|@tirnu@
@to pay homage@|@sraddaanjali dinu@
@to peel off potatoes@|@alu tachnu@
@to perform at all cost@|@garerai chadnu@
@to pinch@|@cimotnu@
@to pity@|@daya aunu@
@to play football@|@bhakundo khelnu, phutbal khelnu@
@to point at@|@aunlyaunu@
@to polish@|@camkaunu@
@to pour in@|@thuprai aunu@
@to pour out@|@khanyaunu@
@to practice polyandry@|@dherai logne hunu@
@to practice polygamy@|@dherai vivaha garnu@
@to pray@|@prarthana garnu@
@to press@|@thicnu@
@to pretend@|@topalnu@
@to prick@|@kotyaunu@
@to produce@|@ubjaunu@
@to prohibit@|@roknu@
@to publish@|@chapnu@
@to put@|@halnu@
@to put in@|@parnu@
@to put on clothes@|@launu@
@to quarrel@|@bajhnu@
@to rain@|@pani parnu@
@to raise@|@algyaunu@
@to rebuke@|@jhantnu@
@to recognise@|@thamyaunu@
@to recognize@|@cinnu@
@to reconcile@|@milaunu@
@to reel@|@larbarinu@
@to remain@|@rahanu@
@to request@|@anurodh garnu, kehi kurako anurodh garnu@
@to respect@|@mannu@
@to retreat@|@hatnu@
@to return@|@pharkanu@
@to rinse@|@pakhalnu@
@to rip up@|@cirnu, udharnu@
@to rise@|@udaunu@
@to roast@|@sekaunu@
@to rot@|@kuhunu@
@to run@|@dagurnu, dugurnu, kudnu@
@To run@|@Dauda@
@to run the household@|@ghar hernu@
@to run very fast@|@haninu@
@to save@|@bacaunu@
@to say good-bye@|@anmaunu@
@to say good-bye to the couple@|@anbhaunu@
@to scatter@|@charnu@
@to scratch@|@kornu@
@to search@|@khojnu@
@to see@|@dekhnu, hernu@
@to seize@|@gamarkyaunu@
@to sell@|@becnu, bepar garnu@
@to serve@|@halnu@
@to serve food@|@paskanu@
@to set@|@astaunu@
@to set fire to@|@jalaunu@
@to set off@|@bato lagnu@
@to settle@|@Basnu@
@to shine@|@talkanu, talkinu@
@to shoot with a gun@|@golii haannu@
@to shout@|@karaunu@
@to show@|@dekhaunu@
@to shrink@|@khumcinu@
@to sift@|@kelaunu@
@to sink@|@dubnu@
@To Sit@|@Basnu@
@to slaughter@|@marnu@
@to sleep@|@sutnu@
@to smile@|@muskaunu@
@to speak@|@bolnu@
@to spend@|@bitaunu@
@to spoil@|@bhandnu@
@to spread@|@phailanu, phailinu@
@to spread bedding@|@ochyaunu@
@to spring upon@|@jhamtanu@
@to sprout@|@umranu@
@to stand up@|@ubhinu@
@to start@|@shuru garnu@
@to start to do something@|@garna thalnu@
@to steal@|@cornu@
@to stick@|@tansnu@
@to stifle@|@ukusmukusaunu@
@to stitch@|@siunu@
@to stop@|@adinu, adnu@
@to stop to do something@|@garna chodnu@
@to strike@|@hannu@
@to suck@|@cusnu@
@to support@|@adaunu@
@to surge up@|@urlanu@
@to surprise@|@acamma paarnu@
@to survive@|@bancnu@
@to swing@|@maccinu@
@to take@|@linu@
@to take a chance@|@avasar paunu@
@to take along@|@sangai lanu@
@to take away@|@lanu@
@to take care of@|@palnu@
@to take out@|@jhiknu@
@to take revenge@|@ikh phernu@
@to take the plunge@|@dubulki marnu@
@to talk@|@bata marnu@
@to talk nonsense@|@ganathanaunu@
@to tap@|@dhakdhakyaunu@
@to taste@|@cakhnu@
@to teach@|@padhaunu@
@to tear@|@cyatnu@
@to tell a lie@|@dhantnu@
@to tell a story@|@katha halnu@
@to tell lies@|@chakyaunu@
@to tell off@|@gali garnu@
@to test@|@jancnu@
@to think@|@socnu, thannu@
@to throw away@|@phalnu, phyanknu@
@to throw up@|@chadnu@
@to thunder@|@garjanu@
@to tighten@|@kasnu@
@to till the ground@|@kheti garnu@
@to touch@|@chunu@
@to tremble@|@kamnu@
@to trust@|@bhar parnu@
@to try@|@koshish garnu@
@to try on clothes@|@laihernu@
@to uproot@|@ukhelnu@
@to use@|@calan garnu, lagaunu@
@to vomit@|@ukelnu@
@to wait@|@parkhanu, parkhinu@
@to wake up@|@biunjhanu, jagnu, uthaunu@
@To Walk@|@Hidnu@
@to walk speedily@|@tadkanu, tadkinu@
@to walk with long steps@|@lamkanu@
@to warn@|@cetauni@
@to weed@|@godnu@
@to weigh@|@jokhnu, taulanu@
@to whistle@|@suselnu@
@to win@|@jitnu@
@To Win@|@Jeetana@
@to wish@|@lahad aunu@
@to wither@|@oilaunu@
@to work@|@kam garnu@
@to wreath@|@unnu@
@to wrestle@|@kusti khelnu@
@tobacco@|@surti, tamakhu@
@today@|@aajur, aja@
@together@|@sangasangai@
@toilet@|@shaucalaya@
@told@|@kathit@
@tomato@|@golbhinda@
@tomato chutney@|@Raako acaar@
@tomorrow@|@bholi@
@Tomorrow@|@boli@
@tongue@|@jibro@
@too much@|@jyada@
@tooth@|@dant@
@tooth brush@|@dantko burus@
@tooth paste@|@dantmanjan@
@torrential@|@musaldhare@
@torso@|@anga@
@tortoise@|@kachuva@
@total@|@yogaphal@
@touchstone@|@mapdanda@
@touring@|@daudaha, paryatan@
@tourist paradise@|@paryatakharuko svarg@
@toward the front@|@agaaRi@
@towards@|@prati, taraph, tarph, tira@
@towel@|@tauliya@
@tower@|@dharahara@
@town@|@shahar@
@toxic@|@visakta, visalu@
@trace@|@khojkhabar@
@trade@|@vanijya@
@tradional@|@paramparagat@
@tradition@|@paripati@
@traditional@|@paramparik@
@Trail@|@baato@
@Trail Over There@|@yo baato ootah@
@training@|@talim@
@transaction@|@sancalan@
@transformation@|@parinati, rupantar@
@transition period@|@sankramankal@
@transitory@|@gatvar@
@translation@|@anuvad@
@translator@|@anuvakta@
@transportation@|@yatayat@
@travel@|@bhraman@
@traveller@|@paryatak, yatri@
@tray@|@kisti@
@treatment@|@cikitsa@
@tree@|@vriksha@
@tree plantation@|@vriksharopan@
@trend@|@pravriti@
@triangle@|@tribhuj@
@tribe@|@adijati@
@tribute@|@anjuli@
@tributory@|@kardata@
@triple@|@tebbar@
@triumph@|@vijaya@
@trouble@|@takaliph@
@true@|@asal, sanco, satya@
@trunks@|@sundha@
@truth@|@tathya, tattva@
@Tuesday@|@mangalvar, manglavar@
@tundra@|@him-marubhumi, thanda marubhumi@
@turmeric@|@besar@
@twelfth@|@bahraun@
@twelve@|@baarah, bahra@
@Twenty@|@bis@
@twenty-eight@|@atthais@
@twenty-five@|@paccis@
@twenty-four@|@caubis@
@twenty-nine@|@untis@
@twenty-one@|@ekkais@
@twenty-seven@|@sattais@
@twenty-six@|@chabbis@
@twenty-three@|@teis@
@twenty-two@|@bais@
@twice-born@|@dvija@
@two@|@dui@
@two and a half@|@aRaai, aRhaai@
@two hundred fifty@|@aRaai sae rupiyãã@
@two years ago@|@parar@
@ultimatum@|@anti@
@umbrella@|@chata@
@unable@|@lacar@
@unaccepted@|@amanya@
@unbroken@|@atut@
@uncared for@|@anatha@
@unceasing@|@anavarat@
@uncivilised@|@asabhya@
@uncooked@|@akchyataa@
@uncovered@|@nangge@
@uncultivated land@|@khoriya@
@undemocratic@|@gairaprajatantrik@
@under@|@muni@
@under it@|@tinma@
@underground@|@bhumigat@
@undermentioned@|@nimnalikhit@
@undesired@|@anicchit@
@undeveloped@|@avikasit@
@undigested@|@apaci@
@undying@|@amar@
@uneducated@|@ashikshit@
@unemployment@|@berojgar@
@unfathomable@|@agadha@
@unhealthy morbid@|@asvasth@
@unhusked Reis@|@dhan@
@unimaginable@|@akalpaniya@
@united@|@ekikrit, ektrit@
@United Nations Organization@|@sangyukta rastra sangh@
@universal@|@sarvatomukhi@
@universe@|@vishva, vishva@
@university@|@vishvavidyalaya@
@unknown@|@agyat, aparicit@
@unmasking@|@unmasking@
@unnatural@|@asvabhavik@
@unnecessary act@|@akarma@
@unparalleled@|@advittiya@
@unpublished@|@aprakashit@
@unsuccessful@|@asaphal@
@untimeliness@|@asamaya@
@untouchability@|@chuvachut@
@untouchable@|@achut, dalit@
@unusual@|@asadharan@
@up to@|@paryanta@
@upliftment@|@utthan@
@upper floor@|@mathlo tala@
@upper storey of a house@|@buingal@
@uprooting@|@unmulan@
@upward gradient@|@ukali@
@urbanization@|@shaharikaran@
@urgent@|@jaruri@
@usage@|@pratha@
@use@|@prayog, upayog@
@used@|@lagaeko@
@utility@|@upayogita@
@utilization@|@sadupayog@
@utterance@|@kathan@
@uvula@|@kilakile, ligalige@
@vagina@|@puti@
@validity@|@susangata, susangati@
@valley@|@bensi, khaldo, upatya@
@valuable@|@bahumulya@
@valuation@|@mulyangkan@
@value@|@adarsh, labh@
@vampire@|@camero@
@various@|@vibhinna@
@Veda@|@veda@
@vegetable curry@|@tarkari@
@vegetable stew@|@tihun@
@vegetables@|@sagapat, sagsabji@
@vein@|@naso@
@venom@|@bikha@
@verb@|@kriyapad@
@verse@|@shlok@
@very@|@asadhya, ekdam@
@very big@|@ajang, vishal@
@very early in the morning@|@ekabihana@
@Very fast@|@jaldä-jaldi@
@very good@|@bes@
@very large cooking vessel@|@khadukunlo@
@Very Little@|@ali ali@
@very much@|@ati@
@very necessary@|@atyavashyak@
@very strong@|@sudridha@
@vessel@|@jahaj@
@vice-chairman@|@upasabhapati@
@vice-president@|@uparastrapati@
@viewpoint@|@dristikon@
@village@|@gaun, gram@
@Village Development Committee@|@gaun vikas samiti@
@villager@|@gaunghar, gaunnivasi@
@violation@|@ullangghan@
@virtuous wife@|@sati@
@vision@|@dristi, najar@
@voice@|@avaj, mat@
@voluntarily@|@svatah@
@volunteer@|@svayamsevak@
@voyage@|@yatra@
@vulture@|@giddha@
@waist@|@kammar@
@wall@|@bhitte, garo, parkhal@
@walnut@|@okhar@
@war@|@ladain@
@warehouse@|@pasal@
@warm@|@tato@
@warm water@|@tato pani@
@warmth@|@garmi@
@warning@|@cetavani@
@wash and clean the face@|@mukh dhunu@
@wash clothes@|@luga dhunu@
@wasp@|@barulo@
@watch@|@ghadi, ghanta@
@water@|@jal@
@Water@|@Pani@
@water buffalo@|@bhainsi, rango@
@water mill@|@ghatta@
@water pipe@|@hukka@
@water power@|@jal-shakti@
@water tap@|@dhara@
@watermelon@|@tarbuja@
@watershed@|@jal-vibhajak@
@Water-sports@|@jal-bihär@
@watery@|@jallo@
@wave@|@taranga@
@way@|@bato@
@We go@|@sabagee jaun@
@We go far@|@sabagee jaun taro@
@We Go Now@|@ahile jaanes@
@weak@|@dublo@
@weakness@|@kamjori@
@weapon@|@hatiyar@
@weaponry@|@astrashastra@
@weather@|@mausam@
@Wednesday@|@budhavar@
@weeding@|@godamel@
@week@|@sata@
@weekday@|@bar@
@weighty@|@bhari@
@welcome@|@Swagatam!@
@welfare@|@bhalai@
@well@|@kuva, niko@
@well protected@|@surakshit@
@well-decorated@|@susajjit@
@west@|@pacchim, pashcim@
@Western menu@|@angreji khaanaa@
@Westerner@|@belaayatii@
@Westerners are generally rich@|@haru dhani hunchan@
@what@|@kun@
@What@|@Ke@
@what a peculiar person@|@kasto acammako maanche@
@what a surprise; he's arrived@|@ke acamma; u ta aaipugecha@
@What are the questions?@|@Prasna haru ke chhan ta?@
@What can I do?@|@Ma ke gharna sakchhu ta?@
@What did you do?@|@Timileyake ghareyaou?@
@what else are you looking for?@|@aja ke khojeko?@
@What is the last question?@|@Antim prasna ke ho?@
@What Is The Name Of This?@|@yesko nam keho?@
@What is this?@|@Yo ke ho?@
@What is written in the letter?@|@Chithhi ma ke lekheko chha?@
@What is your name?@|@Taapainko naam ke ho?, Timro naam ke ho?@
@What Is Your Name? (1)@|@tapainko nam keho?@
@What Time is it?@|@kati boyzho@
@What were the questions?@|@Prasna haru kata gaye?@
@What will be the answer?@|@Uttar ke huncha?@
@what?@|@Ke@
@what's the time?@|@kati bajyo?@
@wheat@|@gahun@
@wheat flour@|@anta@
@when it rains@|@pani pareka vela@
@When?@|@kahile@
@where@|@jahan@
@Where did you come from?@|@Timi kaha bata ayako?@
@Where did you sleep?@|@Timi kaha sutchhau?@
@where is it?@|@khoi@
@Where is my room?@|@mero kotha kanha chha@
@Where is the bar?@|@bar kanha chha@
@Where is the bathroom?@|@chabee gana du then?@
@Where is the beach?@|@samundrako kinara kanha chha@
@Where should I go?@|@Ma kaha jau?@
@Where was this cheese made?@|@Yo chij kahaan baneko ho?@
@where?@|@kahan@
@Where?@|@kahah@
@wherever@|@kahin@
@which@|@jun@
@Which is your favourite colour@|@Timro man parne rang kun ho?@
@which one?@|@kuncahin@
@Which way did you come?@|@Timi kun batoo auchhau?@
@whichever@|@jun, junsukai@
@whip@|@sacetak@
@white@|@seto@
@white clay used in walls@|@kamero@
@who has taken it?@|@kasle lagyo?@
@whole@|@gaihra, saglo, saglo, samagra, sara@
@Whom should I contact?@|@Ma kaslai samparka garu?@
@Why did she pay the money?@|@Unle paisa kina tireko ?@
@Why did they sit there?@|@Tiniharu tyaha kina baseko?@
@Why did you come?@|@Timi kina ayako?@
@Why did you sleep?@|@Timi kina suteko?@
@Why do you drive the car?@|@Timile gadi kina chalayako?@
@why?@|@kina@
@wicked@|@badamash, kharab@
@width@|@cauda, caudai@
@wielding@|@dharan@
@wife@|@bharya, joi, patni, shrimati, svasni@
@Wife@|@shri mati@
@wife's elder sister@|@jethi sasu@
@wife's younger brother@|@salo@
@wife's younger sister@|@sali@
@wild cat@|@van biralo@
@wild pig@|@bandel, banel@
@will@|@hridaya@
@Will you come with me?@|@Ke timi ma sanga auchhau?@
@willingness@|@rajikhush@
@wind@|@anil@
@Wind@|@howah@
@window@|@jhyal@
@wing@|@pakheta@
@wisdom@|@jaan@
@wish@|@akanksha, irada, tirsana@
@with@|@purvak, samet@
@with eyes shut@|@sammilit@
@without@|@kintu@
@without cause@|@akartha@
@without reason@|@avivekpurna, tyasai@
@wolf@|@bvanso@
@wollen blanket@|@uni kammal@
@woman@|@aimai, mahila, svasnimanche@
@woman's brother's daughter@|@bhadai@
@woman's brother's son@|@bhado@
@wonder@|@ashcarya@
@wooden sandal@|@kharau@
@wool@|@un@
@word@|@shabda@
@word used to express surprise@|@hatteri@
@work@|@kaj, kam, karma, karma, karya@
@worker@|@sarvahara@
@working committee@|@karya samiti@
@workshop@|@karkhana, karyashala@
@world@|@lok@
@world war@|@vishvayuddha@
@worm@|@kira, kiro@
@worthy@|@udarashaya@
@wound@|@ghau@
@wounded@|@atur@
@wrath@|@kop@
@wrathful@|@ugra@
@wrestling@|@kusti@
@writer@|@lekhak, sahityakar@
@writing@|@alekha@
@written@|@likhat, likhit@
@written consent of divorce@|@cod-patra@
@written message@|@cithi@
@wrong@|@galat@
@yam@|@tarul@
@yard@|@angan@
@year@|@sal, varsa@
@yearly@|@salinda@
@yellow@|@pahenlo@
@yellow raspberry@|@ainselu@
@yes@|@aa, an, cha, Hajur, huncha, ju@
@Yes@|@Ho@
@Yes; of course@|@Ho; bhaieehalcha ne@
@Yesterday@|@hijo@
@yoghurt@|@dahi@
@You@|@Tapaain(with respect), Timi(without respect)@
@You go@|@tapain jaun@
@you have no sense@|@ta laai kei gyaan-gun chaina@
@young@|@thito@
@young chicken@|@callo@
@young girl@|@balika@
@young man@|@javan, tarun, taruno@
@young woman@|@yuvati@
@younger brother@|@bhai@
@younger brother's wife@|@bhaibuhari@
@younger sister@|@bahini@
@younger sister's husband@|@bahinijvain@
@youngest of brothers@|@kancho@
@Your@|@Tapaainko, Timro(without respect)@
@youth@|@joban, yauvan, yuva@
@you've taken away all the good@|@sabai saamaan li.isakyau@
@Yugoslavia@|@yugoslabhiya@
@zonal administration@|@ancal prashasan@
@zonal assembly@|@ancal sabha@
@zonal commissioner@|@ancaladhish@
@zonal court@|@ancal adalat@
@zonal judge@|@ancal nyayadhish@
@zone@|@ancal@

