@English@|@Yupik@
@the oldest brother@|@anngarpa'ar@
@the one coming@|@ukna@
@the one down there@|@un'a@
@the one near the exit@|@ugna@
@the one other side@|@amna@
@the one out there@|@cakemna@
@the river of Kangirtulirmiut@|@Kangirtulirmiut Kuiga@
@the tracking stabilizer of a kayak@|@canguyalkun (1)@
@them (three or more)@|@ellait@
@them (two)@|@elkeg@
@themselves@|@ellmegneg@
@there@|@tawani@
@thermometer@|@nenglem cuqyut'i@
@these@|@makut@
@these days@|@maanerpag@
@they (three or more)@|@ellait@
@they (two)@|@elkeg@
@they are divorcing/breaking up@|@avvutuk@
@thimble@|@keniun@
@thing to be used in connection with traveling@|@ayaggsuukarar@
@things that are needed for a special purpose@|@piuqutkat@
@third top strut piece in bow of kayak@|@ayagarnilzngur@
@thirteen@|@qula-pingayun@
@thirty@|@cuinar-qula@
@this here@|@una@
@this morning@|@unuar@
@this way@|@kuaten, kwaten@
@thousand@|@tiisiss'ar@
@three@|@pingayun@
@three in playing card@|@ussarquralzria@
@three posts in a kiiyar@|@nanillrat@
@three-pronged bird spear@|@nuuyirit@
@throat@|@igyarer@
@thumb@|@mangner@
@thumb-guard with a strap that wraps around@|@nangnaalitar@
@thunder and lightening@|@kallug@
@Thursday@|@Cetamirin@
@tidal sandbar@|@ken'ar@
@tiny bay@|@taciqviuyuggar@
@tiny usually black sea anemone@|@tiiyar@
@to accidentally and suddenly become tied up@|@qilqer-@
@to accidentally shoot a gun@|@anqerri-@
@to accidentally tear on the seam@|@kelugarte-@
@to accidentally urinate a little in one's pants@|@qurremcuar(ar)-@
@to accidently urinate in one's pants@|@ang'ur-@
@to accompany@|@aapir-, nayur-@
@to accuse@|@pacike-@
@to act and think one is superior to others@|@pinagte-@
@to act boldly@|@talluite-@
@to act deliberately in an unacceptable manner@|@pissaqe-@
@to act foolishly@|@uswillugte-@
@to act mischievously@|@as'ercir-@
@to act protectively@|@uligui-@
@to act violently@|@culengciqe-@
@to add an ingredient of rendered seal blubber@|@kuucir- (1)@
@to add egg(s) to stew@|@qayurniqucir-@
@to add on to make something longer@|@usgute-@
@to add onto@|@usgukanir-@
@to add to what is being given@|@tapir-@
@to adhere@|@nepte-@
@to admonish@|@ellangcar-@
@to adopt a child@|@anglicar-@
@to advertise@|@mamarte-@
@to age an animal skin to remove fur or hair@|@meqcir-@
@to agree@|@naki-@
@to aide@|@ukisqir-@
@to aim at@|@qinrute-@
@to almost lose one's balance@|@iquyarpiar-@
@to always do everything precisely@|@pinqegcar(ar)-@
@to always think there is an abundance of game@|@ayinrurwar-@
@to anchor@|@kicir-@
@to angrily give up@|@taqlertur-@
@to answer@|@kiu-@
@to appear@|@uyangte-@
@to appear large@|@cugayunar-@
@to appear oily and milky@|@uquarqe-@
@to apply ointment@|@cupcir-@
@to approach one's destination@|@qanelzngaute-@
@to argue@|@qanemcugte-@
@to argue amongst two or more people@|@qanemcugute-@
@to arrive@|@tekite-@
@to arrive in time to receive@|@angute-@
@to ask a question@|@apte-@
@to ask for something@|@aptaci-@
@to ask for something from someone@|@elliitawaten@
@to ask questions@|@apqer-@
@to ask someone for advice@|@ellaatessur-@
@to ask to borrow@|@aptassaag-@
@to assign a chore@|@ellimer-@
@to assign a task to@|@ciqima-@
@to attempt to murder@|@carayar-@
@to await anxiously@|@neryuniur-@
@to babble (of babies)@|@qaningirte-@
@to bandage@|@cupkecir-, nemer-@
@to barbecue something over an open fire@|@asgir-@
@to bark@|@qilug-@
@to barter for food@|@qayuqcarniar-@
@to bat@|@kaug-@
@to bawl@|@qalzria-@
@to be (or have gotten) hurt@|@angqirte-@
@to be a certain way@|@ete-@
@to be a champion@|@iggayu-, pillgu-@
@to be a good day to go somewhere@|@ayegpagnarqe-@
@to be a good hunter@|@qarriimar-@
@to be a good worker@|@calillgu-@
@to be a great hunter@|@picu-@
@to be a gust of wind from above one is shelter@|@kalzwaguarte-@
@to be a nuisance@|@carwar-@
@to be a particular size@|@pita-@
@to be a show-off@|@luucitukuayaner-, ucurnangnaqe-@
@to be able to see (it) clearly@|@mecike-@
@to be able to withstand difficult emotional@|@castu-@
@to be about to have a younger sibling@|@kinginge-@
@to be absent@|@cataate-, piite-@
@to be abundant@|@nurnaate-@
@to be accurate@|@naker-@
@to be adept in arts and crafts@|@kenarte-@
@to be afloat@|@pugta-@
@to be afraid@|@alinge-@
@to be agitated@|@wiiwagcir-@
@to be alive@|@anerteqe-@
@to be all gone@|@nange-@
@to be all present@|@qaqite-@
@to be always stingy@|@qunutar-@
@to be amazed@|@ucuryug-@
@to be amazing@|@alangarnar-@
@to be an accident-prone@|@picurliqner-@
@to be approachable@|@nussuite-@
@to be arrogant@|@picugnga-@
@to be asphyxiated@|@anerniqe-, aneryakaunrir-@
@to be at peace@|@qinuite-@
@to be awesome@|@ucurnarqe-@
@to be baggy@|@qulungllugte-@
@to be barefoot@|@kamilqiir-@
@to be barely holding on@|@ataur-@
@to be barely visible@|@mecignaate-@
@to be barely visible due to weather@|@macugite-@
@to be better@|@utuma-@
@to be big@|@ange-@
@to be big and tall@|@kuki-@
@to be bitter in taste and hard to swallow@|@tumag-@
@to be blamed on@|@pacitngu-@
@to be blind@|@kiarcuite-, tangyuite-@
@to be bored@|@carkacug-@
@to be born@|@curte-@
@to be breezy@|@anuqsagar-@
@to be bright@|@tanqigcete-, tanqir-@
@to be broad@|@iqtu-@
@to be broke@|@pulug-@
@to be bruised@|@ceneg-@
@to be bunched together@|@tegulkaute-@
@to be busy@|@urenkaate-, urenkenrite-@
@to be calm@|@quunir-@
@to be camouflaged@|@akitniute-@
@to be capable of acting@|@piyugnga-@
@to be careful@|@ellake-, murilke-@
@to be careless@|@ellakenrite-@
@to be careless with one's belongings@|@cumiite-@
@to be carried away by current@|@cupuute-@
@to be caught@|@agaqer-@
@to be caught talking about someone@|@kellarte-@
@to be chapped@|@cii-@
@to be cheap@|@akikite-@
@to be clean@|@eprite-@
@to be clearly visible@|@mecignarqe-@
@to be close by@|@ukaqsig-@
@to be closed tightly@|@eqessngar-@
@to be closed tightly of plants@|@ulevyuare-@
@to be cloudy@|@qilagglir-@
@to be cold@|@imurnarqe-@
@to be cold (of objects)@|@nengller-@
@to be cold indoors or outdoors@|@nengllir-@
@to be cold physically@|@nengte-@
@to be comfortable@|@asqig-@
@to be comfortable because it is not wet@|@imurnaate-@
@to be confronted with misfortune@|@picirliqe-@
@to be confused@|@uunguc'irte-@
@to be constipated@|@anaqaunrir-@
@to be cooked@|@uu-@
@to be correct@|@elluar-@
@to be covered with snow@|@nevlug-@
@to be cowardly@|@alingtar-@
@to be crisp and crumbly@|@uravyunqegg-@
@to be crispy@|@ciilerte-, peqlirte-@
@to be crossed-eyed@|@naku-@
@to be cruel towards@|@ilalke-@
@to be crystal clear@|@ecuite-@
@to be curious@|@paqumiyug-@
@to be cute@|@ineqsunarqe-, pinimyug-@
@to be damp@|@arilla-@
@to be dangerous@|@arnarqe-@
@to be dark@|@taaleg-, taalegcete-@
@to be dark in color@|@miter-@
@to be deep@|@et'u-, ilutu-@
@to be demoted@|@caunrir-(1)@
@to be dented@|@ciite-@
@to be desirable@|@cucunarqe-@
@to be determined@|@kayumigte-@
@to be different@|@allakau-, ayuqenrite-@
@to be difficult to do@|@caperrnarqe-@
@to be dim@|@tanqiate-@
@to be dimmed@|@cungu-@
@to be disappointed@|@qacuwallag-@
@to be disgusted@|@uumiyug-@
@to be disgusted at@|@uumike-@
@to be disliked@|@cakaaruma-@
@to be dislocated causing pain@|@enllugte-@
@to be disobedient@|@inerciigalliqe-, inerciigate-@
@to be dissatisfied@|@ikgelke-@
@to be distant@|@yaqsig-@
@to be dizzy@|@aayalzngu-@
@to be doing heavy labor@|@makugte-@
@to be drafty@|@cupugte-@
@to be drowsy@|@qawara-@
@to be drunk@|@kemni-@
@to be dull@|@cingiite-, ipgiate-@
@to be dusty@|@apsir-@
@to be easily deceived@|@ukvektar-@
@to be easy to handle@|@qacignarqe-@
@to be embarrassed@|@kasnguyug-@
@to be embarrassing@|@kasngunarqe-@
@to be emotionally distressed@|@qakte-@
@to be employed@|@calliangqerr-@
@to be enjoyable@|@nunanir-@
@to be entertaining to look at@|@tangssunarqe-@
@to be enthusiastic@|@ilunge-@
@to be exasperated@|@makurte-@
@to be exhausted@|@mernur-@
@to be expensive or valuable@|@akitu-@
@to be far behind@|@kinguqsig-@
@to be fast@|@cuka-, pawig-@
@to be fat@|@uquri-@
@to be fearless@|@aarite-, alingite-@
@to be feasible@|@alegnarqe-@
@to be few in quantity@|@ikgete-@
@to be fine@|@canrite-@
@to be fleet-footed@|@uqila-@
@to be flimsy@|@camlate-@
@to be flying@|@tengaur-@
@to be foggy@|@nungu-@
@to be free (of cost)@|@akiite-@
@to be free of one's sins@|@kengluirute-@
@to be friendly@|@ilanir-@
@to be friends with@|@naruyake-@
@to be frightening@|@alingnarqe-@
@to be full in the belly@|@aqsi-@
@to be full of energy and always willing to work@|@qessaate-@
@to be fun@|@nunanirqe-@
@to be generous@|@irelkite-, ireltunrite-, irlessuite-, qunuyuite-@
@to be gentle and careful@|@munar-@
@to be going to do something@|@piciqiar-@
@to be gone for a long time@|@nulte-@
@to be good@|@pinir-@
@to be hanging@|@aga-@
@to be happy@|@mamcarte-, quss-, quswa-, quswayug-@
@to be hard@|@aswaate-, tegge-@
@to be hard to do@|@caperrnarqe-@
@to be hard to sew@|@ciqumqukegte-@
@to be heartbroken@|@iluteqe-@
@to be heavy@|@uqamaate-@
@to be helpless@|@nanikua-@
@to be high above@|@quleqsig-, qussig-@
@to be high in elevation@|@kertu-@
@to be homesick@|@nun'ir-@
@to be hot@|@maqerpag-, uqnarqe-@
@to be humble@|@aciqsig-@
@to be hungry@|@kaag-@
@to be idle after being busy hunting@|@caciirte-@
@to be ill@|@nangte-@
@to be important arcaqertur una kalikar@|@arcaqar- (1)@
@to be in a coma@|@ellakenrir-@
@to be in a fight@|@calluute-@
@to be in a hurry@|@patagtur-@
@to be in an accident@|@picurliqe-@
@to be in an improper place@|@akag-@
@to be in error@|@alarqiqe-@
@to be in full force@|@cakner-@
@to be in hurry to do something@|@qetugte-@
@to be in need@|@kepqe-, nuuqite-@
@to be in pain@|@kircir-@
@to be in shoked@|@nawakar-@
@to be in sorrow@|@nunanialliqe-@
@to be in the bottom under others@|@atliu-@
@to be in the light@|@kenurte-@
@to be in the way@|@carwar-(1)@
@to be inept@|@kukiyegte-@
@to be insane@|@uswiite-@
@to be intensely smokey@|@puyup'ag-@
@to be invisible@|@allaatenrite-, tangerrnaate-@
@to be itchy@|@paame-, pamyerte-@
@to be jealous@|@cikna-, qungyar-@
@to be just right@|@pitalqegg-@
@to be knowledgeable@|@lisnga-@
@to be late@|@kinguraute-@
@to be late for a date@|@tayimngurte-@
@to be lazy@|@qaaterte-@
@to be learned@|@puqig-@
@to be lethargic due to illness@|@uralate-@
@to be light in weight@|@uqgete-@
@to be likable@|@piniqnarqe-@
@to be like that@|@tawatna-@
@to be lit@|@kuma-@
@to be loaded with supplies@|@uciar-@
@to be long@|@take-, uyatu-@
@to be loose in fit@|@kallake-@
@to be lost@|@tamar-@
@to be loud@|@nepugte-@
@to be low in elevation@|@kerkite-@
@to be low in height@|@atgite-@
@to be mad@|@qenerte-@
@to be mentally stressed@|@eq'urte-@
@to be messy@|@tawalkaayanrurwarte-, ulevte-@
@to be mixed with@|@ila-@
@to be muddy@|@marayar-@
@to be murky@|@currlug-@
@to be murky or milky appearing@|@qayuri-@
@to be narrow@|@iqkite-, kapgete-@
@to be near@|@qante-@
@to be neat@|@kencig-@
@to be no fun@|@nunaniate-@
@to be noisy@|@nepugte-@
@to be nosey@|@tevviriyukar-@
@to be nosy@|@cumigte-@
@to be not good@|@piniate-@
@to be nothing of importance@|@caunrite-@
@to be nude@|@matangqa-@
@to be numerically complete@|@naa-@
@to be occupied@|@cungqerr-, qacigtenrite-@
@to be odorless@|@tepaate-@
@to be ok@|@canrite-@
@to be on skid row@|@akag-@
@to be on the move@|@eglerte-@
@to be on the way going to a meeting@|@katurcartur-@
@to be on the way over@|@kilngar-@
@to be or become moldy@|@mineg-@
@to be out of place@|@enllugte-@
@to be out of sight@|@ipinga-@
@to be over-disciplined@|@arcaumakiqe-@
@to be overly active as to annoy@|@arcaqar-@
@to be overly generous@|@ellrilkaar-@
@to be overly mischievous@|@anagute-@
@to be paresthetic@|@kakilacag-@
@to be partially exposed@|@uyangssuar-@
@to be persistent@|@ciumuu-@
@to be persistent when faced with difficulty@|@caprite-@
@to be physically or mentally discomforted@|@arenqialliqe-, arenqiallugte-, asqiallugte-@
@to be physically weak@|@nukgiate-@
@to be pleasant to listen to@|@niicunarqe-@
@to be plenty@|@amller-@
@to be pointed@|@cingig-@
@to be pointing toward here@|@kukugte-@
@to be poor@|@arrsiqe-@
@to be poor in visibility@|@kiarnaate-@
@to be populous@|@cugyag-@
@to be possessive@|@irleg-@
@to be precious@|@akitu-, qununarqe-@
@to be pregnant@|@aqsalli-, quming-@
@to be protective of young@|@kusgur-@
@to be proud@|@picugte-@
@to be quick to react to instructions@|@tupeg-@
@to be quiet@|@nepaate-@
@to be ready to spear@|@kakite-@
@to be really frozen@|@cicingqe-@
@to be refreshed@|@imasrir-, mernuirute-@
@to be related to@|@ilake-@
@to be repusive@|@cumanarqe-@
@to be respectfully shy@|@augtaryug-@
@to be resting on a foundation@|@tusnga-@
@to be restless@|@yuupiksagte-@
@to be rich@|@tukuu-@
@to be roomy@|@entu-@
@to be rough@|@frying pan@
@to be sad@|@amuteqe-@
@to be sane@|@uswingqerr-, uswitu-@
@to be scarce@|@nurnarqe-@
@to be seated (state)@|@aqumga-@
@to be secretive@|@aassaqe-@
@to be sensitive@|@keggsagar-@
@to be separated from others@|@awisnga-@
@to be set in the proper place@|@elkarte-@
@to be settled@|@ellgarte-@
@to be shaggy@|@qacu-@
@to be shallow@|@etgate-@
@to be shallow (of objects)@|@ilukite-@
@to be shameless@|@kasnguite-@
@to be sharp@|@ipeg-@
@to be sheltered@|@irlur-@
@to be shoot short@|@nuuqer-@
@to be short@|@nanite-, uyakite-@
@to be short of breath@|@anerneriucug-@
@to be short of money@|@akiicug-@
@to be short of something@|@nurute-@
@to be short of time to finish a project@|@tassigyugciur-@
@to be silvery calm@|@cawiguuyar-@
@to be skillful@|@canatu-@
@to be skillful and fast@|@qetumla-@
@to be skinny@|@kemgite-@
@to be slanted@|@cilignga-@
@to be sleepy@|@qawarni-@
@to be slippery@|@nepirag-, quasqinar-@
@to be sloppy@|@kenciate-@
@to be slow@|@cukaate-@
@to be slow in action@|@pamaate-@
@to be slow to respond to instructions@|@tupgiate-@
@to be small@|@angenrite-, mikte-@
@to be smooth@|@manig-@
@to be snobbish@|@ciugnga-@
@to be soaked@|@meci-@
@to be soaked from the rain@|@luvyuqnerar(ar)-@
@to be soaking@|@keni-@
@to be sociable@|@ilaliur-@
@to be soft@|@qetute-@
@to be soft and fluffy@|@neruvyinqegge-@
@to be soft and marshy@|@tumllug-@
@to be soiled@|@curyir-@
@to be something@|@cau-@
@to be sour@|@quulerte-@
@to be spawned out@|@qurrenkaulug-@
@to be splay-footed@|@caqvirnga-@
@to be spoiled@|@arinarte-@
@to be spring@|@kiapaur-@
@to be stained@|@kepyute-@
@to be stale@|@puyallerte-@
@to be standing@|@nekva-@
@to be startled@|@alingallag-@
@to be sticky@|@nepcanar-@
@to be stingy@|@ireltu-, qunu-@
@to be stingy to use something better for later@|@entuyug-@
@to be stinky@|@ilullugte@
@to be stormy@|@callug-@
@to be straight@|@nalqir-@
@to be strong@|@nuki-@
@to be stuffy@|@epsalzngunarqe-@
@to be such as to make one curious@|@paquminarqe-@
@to be suitable or comfortable to wear@|@atuyunarqe-@
@to be summer@|@kiag-@
@to be sunny@|@puqlanir-@
@to be surprised@|@alangar-@
@to be tall or high@|@astu-@
@to be thankful@|@quya-@
@to be the proper one@|@piu-@
@to be the same@|@allakaunrite-, ayuqe-@
@to be the same size or length@|@pitateke-@
@to be thick@|@amitenrite-, mamtu-, qecigtu-@
@to be thick in diameter@|@elleg-@
@to be thin@|@mamkite-, qeciite-@
@to be thin in thickness@|@amite-@
@to be thirsty@|@meqsug-@
@to be ticklish@|@qumciartar-@
@to be tight@|@cagnir-@
@to be time to get up@|@maketnari-@
@to be time to go to work@|@calinari-@
@to be too bright@|@qitngirnarqe-@
@to be too many@|@amllerpakar-@
@to be too small to fit@|@caltur-@
@to be too sour@|@quunaqite-@
@to be trapped by ice with nowhere to go@|@pamru-@
@to be true@|@piciu-@
@to be trustworthy@|@kemyunarqe-@
@to be unable to catch game@|@picuilliqe-@
@to be unable to do something@|@kalivte-@
@to be unable to fix or do something@|@pikaunrir-@
@to be unable to gain weight@|@uqamarikaunrir-@
@to be unable to hear@|@niicuite-@
@to be unable to reach@|@nuur-@
@to be unable to remember@|@enqakaunrir-@
@to be unable to smell@|@narkaunrir-@
@to be unafraid@|@alingyuite-@
@to be unaware of environment@|@caciirute-@
@to be unbearable@|@epsalzngunarqe-@
@to be unbearable to listen to@|@niitelzngunarqe-@
@to be uncomfortable@|@asqialliqe-, asqiate-@
@to be unconcered@|@aryussuite-@
@to be unfamiliar with something@|@nalluyurci-@
@to be unfavorable of wind@|@anuqekegcinrite-@
@to be unfeasible@|@arenqiate-@
@to be unfriendly@|@ilaniite-@
@to be ungrateful@|@quyatuite-@
@to be unhappy@|@nengamllugte-, quswayunrite-@
@to be unknowing@|@nallu-@
@to be unlikely@|@maluknar-@
@to be unobservant@|@murilkaate-@
@to be unoccupied@|@cuite-@
@to be unpleasant to listen to@|@niicunaate-@
@to be unpredictable@|@nallunarqe-@
@to be unsatisfied@|@cangimirte-@
@to be unskillful@|@kutakiqe-@
@to be unthankful@|@quyayuite-@
@to be unusually strange@|@allanarqe-@
@to be unwilling to do work@|@qessake-@
@to be unworthy to borrow things@|@navriskengarkarniite-, navriskengarnarqenrite-@
@to be unworthy to lend things@|@navritnarqenrite-@
@to be upside down@|@kanarte-@
@to be used for something@|@cakau-@
@to be useful@|@cakaute-@
@to be useless@|@cakaunrite-@
@to be vengeful (towards)@|@neka-@
@to be very dry and burns easily@|@ciqumqukegte-@
@to be very faint in visibility@|@errsuatyivlagte-@
@to be very talkative@|@cuqulaate-@
@to be visible@|@allaate-, tangerrnarqe-@
@to be weak because one is cold@|@kuuguuyar-@
@to be weaned@|@munrir-@
@to be weatherbound@|@capurau-@
@to be well sealed@|@umcig-@
@to be wet@|@mecunge-@
@to be what?@|@cau-@
@to be white@|@qater-@
@to be wide@|@kangtu-@
@to be wide awake@|@qawarniyalqaate-@
@to be wild@|@nuyurtar-, qinuyungqegg-@
@to be windy@|@anuqlir-@
@to be windy and dry@|@cupegpag-@
@to be windy from the ocean@|@qacar-@
@to be wounded@|@picurlag-@
@to be wrinkle@|@ungullugte-@
@to be wrinkled@|@imegglugte-, qacungllugte-, uyungllugte-@
@to beach the bow of boat or kayak@|@cin'garte-@
@to beachcomb@|@cenirte-@
@to beach-seine@|@nekvayar-@
@to beat one in a competition@|@anagte-@
@to become a man@|@angutngurte-@
@to become angry@|@qennge-@
@to become aware@|@elpenge-@
@to become aware of a shaman intending to kill@|@awulluksagute-@
@to become aware of life@|@ellange-@
@to become blind@|@kiarcuirute-@
@to become crooked@|@caqirte-@
@to become easily angry@|@qennga-@
@to become extinguished@|@qame-@
@to become feasible@|@alegnari-@
@to become frail@|@tautunrir-@
@to become good for nothing@|@cass'utngunrir-@
@to become hard@|@tegg'i-@
@to become hard of hearing@|@cucangiali-@
@to become heavy@|@uqamari-@
@to become loose@|@angi-@
@to become lopsided@|@irirte-@
@to become muddy@|@marayaurte-@
@to become numb@|@elpegiute-@
@to become physically weak@|@nukgiali-@
@to become purplish-blue from being short of breath@|@qiu-@
@to become red@|@kawiri-@
@to become red in the face@|@kawinge-@
@to become related@|@ilaksagute-@
@to become set a certain way@|@paste-@
@to become soft from moisture@|@angivkar-@
@to become soiled@|@mingug-@
@to become tan or dark@|@tungu-@
@to become tight@|@qelu-@
@to become unconscious@|@nalluyagute-@
@to become useless@|@cass'utngunrir-@
@to become very old and disabled@|@inglite-@
@to become visible@|@allaar-@
@to become wide awake@|@essgar-@
@to befree of work@|@cauranrite-@
@to begin a coiled grass basket@|@teryiri-@
@to begin to beat fast@|@nutlag-@
@to begin to blow@|@aqlatlag-@
@to begin to move@|@egleng-@
@to begin to travel@|@egleng-@
@to believe@|@ukver-@
@to bend@|@perte-@
@to bend and become curved@|@yurte-@
@to bend wood@|@perci-@
@to billow of smoke@|@pussiar(ar)-@
@to bit more than once@|@keggmar-@
@to bite@|@engug-, kegge-@
@to bleed@|@aunr(ar)-@
@to blend in with land formation@|@merinite-@
@to blend in with the background@|@akitniute-@
@to block view@|@cape-@
@to blow (it) out@|@cupqer-@
@to blow a horn@|@ur-@
@to blow a whistle@|@uur-@
@to blow away@|@tengte-@
@to blow on (it)@|@cupurar-@
@to blow one's nose@|@engeve-, engwe-@
@to blow out with one's breath@|@cupe-@
@to boast about what one does@|@piniteke-@
@to boil@|@qallate-, ulpeg-@
@to bore a hole@|@ukite-@
@to borrow@|@navr(ar)-@
@to bother@|@pistaar-, qinurqe-@
@to bow head and worship@|@ciktar-@
@to bow head down@|@cikte-@
@to bow one's head continually for some time@|@ciktaar(ar)-@
@to box@|@tengluar-@
@to brace a rifle on top of something@|@qaurtar-@
@to braid@|@tawigte-@
@to braid beach grass@|@tupig-@
@to braid half-dried fish@|@piirri-@
@to brake an ankle@|@cingillrirte-@
@to break@|@pillugte-@
@to break-up@|@tuvvar(ar)-@
@to break-up of shore-fast ice@|@tuwarrlugte-@
@to breath@|@aneryar-@
@to breath hard@|@aneryagpag-@
@to bring (here)@|@taate-@
@to bring an object from one place to another@|@agute-@
@to bring back@|@utrute-@
@to bring closer@|@taakanir-@
@to bring food to@|@payugte-@
@to bring something down from an elevation@|@atraute-@
@to bring things in@|@iterquri-@
@to bring torch of fire from one house@|@kenerci-@
@to bring up@|@tagute-@
@to bring up things from a lower elevation@|@massuute-@
@to bring very close by@|@ukaqvanir-@
@to brush stuff off (it)@|@ellev-@
@to build a boat@|@angyi-@
@to bulge@|@tetengte-@
@to bump into (it)@|@katgute-@
@to bump into something@|@puukaute-@
@to burn@|@legte-, ute, uute-@
@to burp@|@qertuniur-@
@to burp loudly@|@qertuniurpag-@
@to burp out fluids from the stomach@|@elciaqer-@
@to burst into flames@|@kenngallag-@
@to burst out laughing@|@englallag-@
@to bury the dead@|@qungi-@
@to call@|@tuqlur-@
@to carry@|@akuruar-, kewegte-@
@to carry a heavy load on one's back@|@atempag-@
@to carry a load on one's back@|@atmag-@
@to carry a person on one's back@|@amar-@
@to carry in a cupped kuspuk@|@manumig-@
@to carry in lifted up hem of kuspuk@|@kenirmiar-@
@to carry kalngag@|@tuskuar-@
@to carry something at one end@|@akigir-@
@to carry under the arm@|@unermig-@
@to carve (meat)@|@pilag-@
@to carve ivory or wood@|@caacungui-@
@to cast out@|@egte-@
@to catch a ball@|@akuqer-@
@to catch a person talking about one@|@terrigte-@
@to catch a walrus@|@kaugpagte-@
@to catch fish@|@neqte-@
@to catch game@|@pite-@
@to catch game for the first time@|@pillralir-@
@to catch in a set-net@|@napte-@
@to catch someone talking about you@|@terrigyukarte-@
@to catch two game animals with one gunshot@|@taplegci-@
@to cause one to die@|@tuqunarqe-@
@to cause to dry@|@kinercir-@
@to cave in@|@uste-@
@to celebrate certain fall-time dance@|@agayar-@
@to change@|@cimir-@
@to change (as in attitude)@|@allaurte-@
@to change one's behavior in an abnormal way@|@castuqsagte-@
@to change one's clothing@|@cimirii-@
@to change one's mind and quit@|@taq'i-@
@to charge in attack@|@curukar-@
@to check@|@ussar-@
@to check net@|@takui-@
@to check on@|@paqte-@
@to check outside periodically@|@curaqaqe-@
@to chew@|@tamua-@
@to chew making a crunchy sound@|@qangqur-@
@to chip@|@petgerrii-@
@to chip ivory@|@egturte-@
@to choke on food@|@tuvte-@
@to choke on liquid@|@qecuqite-@
@to chop firewood@|@eqiur-@
@to chop walrus tusks from skull@|@awamiqiur-@
@to chop wood using an adze@|@kep'uter-@
@to clap@|@qacangqi-@
@to clean@|@eprir-@
@to clean up@|@qungagte-@
@to clean-up perfectly@|@pinqegg-@
@to clear one's throat@|@erinkegcar-@
@to clear up after the weather has been wet@|@pakmallir-@
@to climb up on bed@|@taggiyarte-@
@to cling to seaweeds@|@neve-, newe-@
@to close of opening@|@quu-@
@to close one's eyes@|@qelzme-@
@to close or be closed@|@umeg-@
@to coincidently come upon@|@nall'arte-@
@to collapse@|@navte-@
@to combine with other items@|@awukur-@
@to come@|@taa-@
@to come in@|@iter-@
@to come in and out of view in the distance@|@irlurnite-@
@to come into view@|@Igwar, igwar-@
@to come off@|@agugar-@
@to come to know@|@nallunrir@
@to come to the surface and float@|@puglerte-@
@to come undone@|@engume-@
@to comfort@|@qarute-@
@to commence@|@ayagnir-@
@to commit a sin@|@kengliqe-@
@to commit adultery@|@acuniar-@
@to compete@|@aksagtaar-@
@to complain@|@egwurci-@
@to complete@|@taqute-@
@to compose a cooing song@|@inqurkiur-@
@to conclude@|@taqe-@
@to confess@|@kengluir-@
@to consider feasible@|@alke-@
@to consider more important@|@piknertuke-@
@to consider repulsive@|@kamake-@
@to constantly copy@|@ayuqnguitar-@
@to construct@|@naparte-@
@to continue on one's goal@|@egmir-@
@to continue on with@|@egmiute-@
@to coo a person@|@inqur-@
@to cook@|@ega-, kenir-@
@to cook dinner again@|@keniquutar-@
@to cook rare@|@uussiiqer-@
@to cook well in order to tenderize@|@qacngercetar-@
@to cool down@|@nengllar-@
@to copy@|@ayuqngui-@
@to cost@|@akingqerr-@
@to cough@|@quyer-@
@to count@|@naaqe-@
@to cover@|@cape-, caqu-, ciru-@
@to cover a sick person's head with a sealgut parka@|@cirukutaksuar(ar)-@
@to cover with snow@|@qanikcar-@
@to crack when bending@|@qayugarte-@
@to crawl@|@auqumiar-, aurre-@
@to crimp to make sealskin soles@|@ikug-@
@to criticize@|@cangaki-@
@to crouch@|@quner-@
@to crouch down@|@laawe-, uyunge-@
@to crust over@|@qetrar-@
@to cry@|@qia-@
@to cup something in hand@|@tumig-@
@to cut around the seal's neckline@|@kau-@
@to cut fish along vertebrae@|@ullirte-@
@to cut fish for drying@|@essgi-@
@to cut in half@|@aweg-@
@to cut off or get cut off@|@kepe-@
@to cut out a pattern@|@elirqe-@
@to cut out the pattern@|@lirqe-@
@to cut some off@|@kepute-@
@to cut through@|@essevte-@
@to cut up@|@ingqi-@
@to cut with a hacksaw@|@qelutnguyar-@
@to cut with scissors@|@nunur-@
@to cut with scissors any old way@|@nunukcagte-@
@to dance@|@assigte-@
@to dance and give away one's catch@|@aki'irte-@
@to dance as someone promises to give on credit@|@ciamciurte-@
@to dangle@|@aqevla-@
@to darken suddenly@|@talkarte-@
@to dash outside@|@anqerte-@
@to decrease in number@|@ikegli-@
@to defend@|@igur-@
@to denigrate@|@qacutaar-@
@to depend on@|@qagateke-@
@to descend@|@atr(ar)-, merug-@
@to descend toward the coast to the snow in spring@|@anuilite-@
@to desire@|@cucuke-@
@to desire for@|@piyugtuangarte-@
@to desire things that others have@|@ayuqniar-@
@to desire to do something@|@qemitagte-@
@to determine ownership@|@pikmayi-@
@to develop dark rain clouds with precipitation@|@kukvaguarte-@
@to develop water in the egg@|@emrii-@
@to diaper@|@makar-@
@to dice into little pieces@|@ingqis(rar)-@
@to dice into tiny pieces@|@ingqicuar-@
@to dice seal blubber heating it to get oil@|@ciwatugte-@
@to die@|@caunrir-, tuqu-@
@to die down@|@anuqaacagiurte-, anuqaarute-@
@to die suddenly@|@nalaqer-@
@to dig a hole@|@laag-@
