@English@|@Gbari@
@umbrella@|@gbeji  (n.)@
@unable to stand up@|@vugavuga  (a.)@
@uncircumcised person@|@bwolo  (n.)@
@uncle@|@yago(r)i  (n.)@
@underneath@|@laka  (n.)@
@underside@|@laka  (n.)@
@underskirt@|@yari  (n.)@
@unenthusiastic@|@febiyi   (n.)@
@unexpected catch@|@gbantsuku  (n.)@
@unexpected: be ~@|@de(de) ( v.)@
@unfair to@|@gnasnu  (n.)@
@unpredictable person@|@zamatariya  (n.)@
@unripe fruit@|@kpikpiri  (n.)@
@unripe palm fruits harvested for seeds@|@znimama n. (n.)@
@unscrew@|@kefa  (v.)@
@unscrew (bottle-top)@|@gù  (v.)@
@unstable person@|@bace (n.)@
@untie@|@lò      (v.), lo  (v.)@
@until dawn@|@rìfé  (adv.)@
@unwrap@|@là  (v.)@
@uproot@|@ji   (v.)@
@urinate@|@ce epa  (v.p.)@
@urine@|@èpá  (n.)@
@us@|@yi  (pron.)@
@used to dry produce@|@kapwe tasa   (n.)@
@usefulness@|@epma  (n.)@
@usual entrance for a bush-rat burrow (cf. ekpe)@|@eda  (n.)@
@usually in pl. "aba"@|@eba  (n.)@
@vagina@|@egni  (n.)@
@variegated locust@|@gadambo  (n.)@
@vein@|@edi  (n.)@
@venereal disease@|@epa  (n.)@
@very fast@|@bmii   (adv.)@
@village@|@epi  (n.), ezhi  (n.)@
@village square@|@bmabmi n. (n.)@
@vine (Abrus precatorius)@|@cembe  (n.)@
@vine used to tie guinea-corn bundles@|@bonu (n.)@
@violent madman@|@nyankei  (n.)@
@viper@|@egbna (n.)@
@vision@|@bawyedye (n.)@
@vision or spiritual experience@|@nuwari  (n.)@
@voice@|@bèrè (n.)@
@vomit@|@kpnamkpna  (n.)@
@vulture@|@gulu  (n.)@
@waist@|@eshni  (n.)@
@wait for@|@ka  (v.)@
@wake up@|@kureshin  (v.)@
@walk@|@da  (v.)@
@walking@|@dazna  (n.), ezna  (n.)@
@walking stick@|@butsi  (n.)@
@wall built around the base of a granary@|@dobwi keto  (n.)@
@wall of house@|@katempa  (n.)@
@want@|@ye  (v.)@
@war@|@ekun (n.)@
@warm (liquid)@|@bwálabwála  (a.)@
@warning (et. tu + egbe)@|@tugbe  (n.)@
@warthog@|@edyi  (n.), enyi  (n.)@
@wash@|@fu  (v.)@
@wash clothes@|@pwo  (v.)@
@wasp@|@myezinyi  (n.)@
@wasp (yellow wasp that lives in mango trees)@|@kpaga tente (n.)@
@wasp sp.@|@eda  (n.)@
@wasp species@|@vugovugo  (n.)@
@wasp-nest@|@myezinyi ºala  (n.)@
@water@|@nuwa  (n.)@
@waterleaf@|@nasara'ma  (n.)@
@waterleaf (amaranthus sp.)@|@alefo (n.)@
@water-monitor@|@nasha  (n.)@
@water-yam@|@shyama  (n.)@
@we@|@yi  (pron.)@
@weak@|@lugbalugba  (a.)@
@wealth@|@azeki  (n.), dukya  (n.)@
@wear cap@|@ku   (v.)@
@wear cloth@|@kpe  (v.)@
@wear on the waist@|@dna'shin (v.p.)@
@weaver-bird@|@egna  (n.), egna nogbe  (n.), egna nyugwe  (n.)@
@weed a farm@|@fa efa  (v.)@
@weed a particular place@|@faba  (v.)@
@weekly markets@|@gbadugu  (n.)@
@weep@|@tibwi  (v.)@
@weeping@|@ebwi (n.)@
@weevil@|@epwi  (n.)@
@wet season@|@dzungo  (n.)@
@What?@|@nyana  (int.)@
@What? (commonly shortened to nyana (q.v.))@|@nya yina  (int.)@
@wheel@|@kèkè  (n.)@
@When?@|@salena (int.)@
@where?@|@ena (int.)@
@Where?@|@bana (int.), bàyìná (int.), yina  (int.)@
@which day?@|@fela  (int.)@
@whichever day@|@fedege (adv.)@
@while@|@ke  (conj.)@
@whistle@|@bubo  (v.)@
@white@|@bubuì  (a.)@
@whiten@|@fna  (v.)@
@white-throated francolin@|@ekpe  (n.)@
@who cooks for the men@|@Lako  (p.n.)@
@whole@|@kungbiri  (a.)@
@Why?@|@eº«lena (int.)@
@wicked person@|@ezabyibyi  (n.)@
@wickedness@|@wyebyibyi  (n.)@
@wide@|@kapwe tasa   (n.)@
@wide: be too ~@|@gnapi  (a.)@
@wife@|@nyigo  (n.)@
@wild animal@|@efanya (n.)@
@wild cat@|@ºare kwasa  (n.)@
@Wild custard-apple@|@lagbangbyi (n.)@
@wild custard-apple (Annona senegalensis)@|@nyigbei   (n.)@
@wind@|@ese  (n.)@
@wing@|@bmina  (n.)@
@winnowing tray@|@fumta  (n.)@
@witch@|@sheri  (n.)@
@witchweed (Striga senegalensis)@|@gido  (n.)@
@with (an implement)@|@de  (conj.)@
@without cause@|@gbagada  (adv.)@
@without: be ~@|@tna  (v.)@
@wizard@|@sheri  (n.)@
@woman@|@nyigoza  (n.)@
@woman after giving birth@|@kokomi  (n.)@
@woman of Gbmunu group@|@Lako  (p.n.)@
@woman who brews beer@|@dedae (n.)@
@woman: old ~@|@nyigbango  (n.)@
@wood@|@cimwa  (n.)@
@wood used to fire pot@|@gnaya  (n.)@
@wooden spoon@|@kori  (n.)@
@wooden stick used to stir porridge@|@jembari  (n.)@
@woodpecker@|@bneko-bneko (n.)@
@work@|@sun tnutnu  (v.p.), tnutnu   (n.)@
@workplace@|@tnutnuba  (n.)@
@workshop for grind-stones with mortars@|@ta(m)kpa  (n.)@
@world@|@nyizhe (n.)@
@worn out@|@cakpacakpa (adv.)@
@wound@|@eti  (n.)@
@wound on thumb or leg@|@tigwu  (n.)@
@wound that will not heal@|@tinyari (n.)@
@wound: large ~@|@tsukpada  (n.)@
@wrestle@|@fiba  (v.)@
@wretched@|@saari  (a.)@
@wretched person@|@zasaari  (n.)@
@wring out@|@pì  (v.)@
@wrist@|@bwasnidna  (n.)@
@wrist-guard used by archers@|@magna  (n.)@
@write@|@ka  (v.)@
@writer or secretary@|@nyakai  (n.)@
@written message@|@kakae  (n.)@
@yam@|@kadun  (n.)@
@yam)@|@bi  (v.)@
@yam-heap@|@ego  (n.)@
@year@|@eye (n.)@
@year: this ~@|@yelo  (adv.)@
@yellow powder inside pods of locust tree@|@luku    (n.)@
@yesterday@|@esugo  (adv.)@
@yonder@|@ºa  (adv. )@
@Yoruba language@|@Yaji  (p.n.)@
@Yoruba person@|@Yaji  (p.n.)@
@you (pl.)@|@se  (pron.)@
@you (singular)@|@he  (pron.)@
@young creature@|@eºi  (n.)@
@young creatures@|@kpetekpete  (n.)@
@young leaf of river-reed@|@oku  (n.)@
@young leaves@|@bwasa  (n.)@
@young man@|@gbaafu  (n.)@
@young palm fronds used for thatching grass@|@tnawunri  (n.)@
@yourself@|@hedye  (pron.), sedye  (pron.)@
@zinc roof@|@nyasha  (n.)@
@zither (16-stringed raft-zither)@|@myentsna  (n.)@

