@Mam Todos Santos@|@English@
@tq'ab' ch'it@|@figure that is used to decorate the huipiles of San Ildefenso Ixtahuacan Guatemala@
@tq'ab' tz'u'n@|@name given to the instrument (a beating stick) used to extract the seeds from cotton (t'q'ab' means 'it's hands' - tq'u'n means 'sheepskin' so this name derives from the fact that cotton is beaten on a sheepskin to remove it's seeds)@
@tq'ab' tze'@|@branch@
@tq'ab' tzija@|@balcony, in Guatemalan banks this is a small opening in a glass partition through which paperwork or documentation as well as any payments etc are passed@
@tq'ab' wa'ya@|@my river branch@
@tq'ab' wexj@|@suspenders@
@tq'ab' xaq@|@stream, brook@
@tq'ab'al@|@care for a crop@
@tq'ab'tze'@|@figure in the form of an inverse v that is used to decorate the skirts of women of San Ildefenso Ixtahuacan Guatemala@
@tq'ab'yol@|@dialect@
@tq'ajq'ojil@|@its sound@
@tq'ama@|@he said, he says@
@tq'ama'n@|@he said (t 'third person singular' q'ama 'say' 'n 'directional suffix'@
@tq'ama'na@|@you say@
@tq'anal@|@abstract noun that means the yellow of something (The yellow of an egg is its yolk), yolk (the yellow part of an egg)@
@tq'anil@|@fertilizer that helps in the development of a crop, nutrient from the ground that makes it productive, maturity of a fruit@
@tq'apajil@|@youth (referring to a woman in her youth)@
@tq'aq'il yo'xh@|@cane rocket (it is known as a 'cohete de vara' or cane rocket because the fire-cracker is attached to the end of a reed or cane), pyrotecnic bombs or fire-crackers that are used especially in Maya ceremonies or parties@
@tq'asb'aqil@|@soot produced by something specific (such as from a specific type of wood)@
@tq'aynajil@|@rottenness@
@tq'aynaqil@|@refers to the rotten part of something (They fed their pigs the rotten corn)@
@tq'eqal@|@mole (brown raised spot on the skin), its blackness@
@tq'eqil@|@its blackness, the black of, the black part of something (we cut off the black part of the fruit seed)@
@tq'ij@|@date, specific date for the celebration of some saint's or holy day@
@tq'ij qman san jwan@|@The Day of Saint John@
@Tq'ij qman santa krus@|@The day of the holy cross@
@tq'ijil@|@hot sun that brings a torrential rain@
@tq'ijlal@|@abstract noun that refers to the specific date of some event (the date to sow seed), birthday, expression used by people when the sun is very hot and bright (because they believe that due to the hot bright sun it is going to rain)@
@tq'inamil@|@richness@
@tq'inimab'il@|@his or her wealth, its richness or abundance@
@tq'inimal@|@riches, richness@
@tq'ma@|@he said, he told@
@tq'nal@|@yolk (the yellow part of an egg)@
@tq'o'n@|@leave, put, give, gave, comes from the root aq'ol which means to leave or to give (depending upon which directional it is combined with the meaning changes) it can appear with okx or kyej or jax or kux among others (ma tzaj tq'o'n 'gave' - nkux tq'o'n 'puts' -  txi tq'on 'give' - xkyej t'q'o'n 'leave')@
@tq'o'tx@|@his or her cheeks@
@tq'ob'@|@branch@
@tq'ob' che'w@|@night dew, morning dew, the cold damp air of the night@
@tq'ob' pa'@|@knapsack, small woven net made of twine that is used to carry things (top closure cinches shut with a cord that can be used as handles for carrying)@
@tq'ob' tze'@|@branch of a tree@
@tq'ob'b'e@|@path, trail@
@tq'ojq'ojil@|@characteristic and distinctive sound of something@
@tq'olil@|@resin specific to a particular plant or tree@
@tq'opajil@|@youth (of women)@
@tq'oq' chej@|@fast-growing vine that belongs to the pasifloracea family whose leaves are round and fruit is similar to a passion fruit@
@tq'otjal qanb'aj@|@calf (of the leg)@
@tq'u'@|@nest@
@tq'u'sil@|@fine hair of some fruits (like the apricot and peach)@
@tq'ulanil@|@warmth@
@tq'uqb'il@|@specific place for someone to sit (This is dad's chair)@
@tq'uqb'il ajkal@|@office@
@tq'uqb'il kox@|@wheel chair@
@tq'uyinil@|@abstract noun that refers to the softness of something@
@tqal@|@Why?, what@
@tqal tb'iya@|@How are you called?,  What is your name?@
@tqamb'e@|@his or her footprints@
@tqan@|@handgrip, handle (of a knife or ax), her foot, his foot, its foot, its stem@
@tqan b'alun@|@tree that produces yellow trumpet-like flowers@
@tqan echaqlib'il@|@flagpole@
@tqan ja@|@pillar, posts, y shaped pole used to prop branches etc@
@tqan kjo'n@|@leaves stems and cob from the corn crop (or the stems by themselves)@
@tqan ploms@|@plant with small white flowers that look similar to a dove's foot@
@tqan ptz'an@|@corn stalks@
@tqan q'ab'aj@|@forearm@
@tqan q'an kyoq@|@thunder@
@tqan q'aq@|@to call@
@tqan q'aq'@|@flame, flames@
@tqan q'ij@|@by day, in the daytime@
@tqan tze'@|@forest@
@tqan wexj@|@leg (of a pair of pants)@
@tqanb'an@|@print, trail, track@
@tqanil@|@a detailed account of something that happened, a way of carrying out an activity or thing step by step (Would you like to learn basic Waltz steps?), announcement, detailed account, explanation (preface), information, his or her or its information, letter (like one receives in the mail), notice, report, story, message@
@tqanil jb'al@|@a ritual that is performed before the rains begin that involves prayer for abundant rain and a good harvest (Before the Holy Week the Maya priests perform the ritual of begging for rain in all of the hills)@
@tqanja@|@pillar, column, support@
@tqankchan@|@pillar, support@
@tqankchanil@|@support, pillar@
@tqantx'yan@|@wild geranium that produces red flowers and whose leaves are round and soft and spongy@
@tqaqpil@|@untie@
@tqaxjaw@|@June@
@tqek'@|@group@
@tqen@|@his foot@
@tqetan@|@he cut (the -n is present because a directional preceded this verb)@
@tqiky'@|@module@
@tqul@|@neck (of a piece of clothing)@
@tqul ja@|@beam that supports the frame of the roof of a house@
@tqul ja'@|@beams that are placed on the walls of a house that hold up the frame of the roof@
@tqul klo'j@|@huipil neckline (a huipil is a fancy embroidered blouse)@
@tqul nkolb'a@|@my huipil's neckline (a huipil is an embroidered blouse)@
@tqul nq'ab'e@|@my wristband, my bracelet@
@tqul q'ab'aj@|@bracelet, wrist, wrist band@
@tqul q'ob'aj@|@wrist@
@tradyoya@|@your radio@
@trakajlab'il@|@to stumble from one place to another@
@tranjer@|@barley@
@trasin@|@peach@
@trasni@|@peach@
@triy@|@wheat@
@trop ich'@|@type of weed that grows in cultivated fields@
@tsamel@|@ingredient@
@tsaqil@|@whiteness@
@tsasjil@|@the part of an object that is not heavy, the part of an object that is not heavy (like when something wet dries out it is lighter)@
@tsb'el@|@smoke or vapor emanating from some place@
@tsch'uxal@|@sesame seed@
@tsch'uxh chej@|@plant that grows wild known in Guatemala as tomate de caballo@
@tsekal@|@sellable@
@tsi'p@|@belt (any belt that is under the hood of a car)@
@tsib'il@|@smoke that emanates from a specific thing (The smoke of the - fire forest fire etc)@
@tsich'b'il amaq'@|@pipe (for tobacco)@
@tsil@|@wood that is burned for something specific@
@tsimel@|@masa mixed with achiote or another condiment that is used for recado@
@tsky'irb'il bi'b'aj@|@signature@
@tsmal@|@short soft hair that covers some parts of the human body@
@tsmal rit@|@wool@
@tsojil@|@disease that withers the plants and generally deteriorates them@
@tspa'jil@|@faded portion of something especially things made of cloth@
@tsqal@|@its whiteness, what they call the white threads that go between the black on belts that women use to tie their skirts with, the white part of an egg, clear@
@tst'eb'il@|@the thick layer that forms on a liquid (We removed the thick layer that formed on top of the soup)@
@tsu'majil@|@abstract noun that refers to the marrow of a specific bone (Marrow from beef or chicken etc)@
@tsu't qtanam@|@national flag@
@tsuq'e'nchej@|@medicinal plant belonging to the Chenopodiaceae family that has small serrated leaves and a very strong scent@
@tsuq'e'nchuxh@|@medicinal plant belonging to the Chenopodiaceae family that has small serrated leaves and a very strong scent@
@tta'wil@|@burning or irritation caused by a hot pepper, heat and irritation from a hot pepper@
@ttab'il nu'x@|@crib (for babies)@
@ttemb'il@|@place@
@tten@|@exist (t 'third person singular' ten 'exist'), form, it is, leave it be, structure@
@ttenb'il Dyos@|@sanctuary, a place that is usually over the main altar in the Catholic church where they keep the cup with the consecreted hosts@
@ttenkuxjo@|@naturally, natural@
@Ttja kye'yex kin@|@Your house looks nice@
@ttunpil@|@stem (of a fruit)@
@ttx'a'@|@wedge (Put a wedge under the table leg so the table won't wobble)@
@ttx'amil@|@sourness or bitterness of something (The lime left a sour taste in my mouth)@
@ttx'aqan xb'alan@|@remnant (cloth)@
@ttx'aqen@|@used, something old@
@ttx'aqi'n@|@old, something very worn, very old@
@ttx'attx'ajil@|@dirtiness@
@ttx'e'ma@|@he or she or it cut (ma chi kub' ttx'e'man xinaq tze' - The man cut the trees)@
@ttx'otx'il@|@material used in making something (I need to buy material to make a skirt), its material (what it is made of)@
@ttx'u'jil@|@anger, abstract noun that refers to the anger or annoyance of someone, someone's rage@
@ttx'u'k@|@corner (We will wait for them at the corner of our road)@
@ttx'ujil@|@someone who makes another angry (The boy got angry because his brothers didn't buy him candy)@
@ttxa'n@|@at the edge, relational noun meaning at the edge of or at the extremity of (functions with third persons only)@
@ttxa'nklab'@|@pavement, sidewalk@
@ttxa'xil@|@the green portion of something (The green of plantain leaves is different than the green of avocado leaves), damp part of the dirt@
@ttxa squky'@|@nit, the egg or young of a louse or similar insect@
@ttxa tz'a@|@river sand@
@ttxa xtx'o@|@lichens that form on stagnant water giving it a green cast@
@ttxal q'aq'@|@ember, live coal@
@ttxalaj q'ob'aj@|@top of the hand@
@ttxaman k'uxb'il@|@motor oil@
@ttxamanil@|@butter@
@ttxamil@|@its fatness, the fat of@
@ttxan ich'@|@species of vine known commonly as rat's chayote@
@ttxan tnam@|@at the edge of town@
@ttxko'n@|@invited@
@ttxlaj@|@abreast of, beside, on a par with, level, relational noun meaning at the side of (He left his shovel alongside the house)@
@ttxlaja@|@on your side, at your side@
@ttxo'w@|@sheet, bedsheet@
@ttxo'w tzib'aj@|@lip (of the mouth)@
@ttxolil mjeb'len@|@the wedding ceremony (where the party walks down the aisle)@
@ttxolil q'il@|@calendar (Mayan)@
@ttxolil qyol@|@Mam grammar (ttxolil 'its grammar' qyol 'our language')@
@ttxu'@|@female, his or her mother@
@ttxu'k'ak'ux@|@gas@
@ttxu'txjil@|@the delicious flavor of something (I love the rich flavor of peaches)@
@ttxu chi'l@|@framework (Thick pieces of bamboo are used for the framework of a wicker hamper)@
@ttxu chib'@|@goat@
@ttxu chmeky'@|@female chick of a duck or turkey@
@ttxu ich'@|@rat@
@ttxu kab'@|@honey bee@
@ttxub'aj@|@mama, mom@
@ttxub'il@|@step-mother@
@ttxuyila'@|@sea, ocean@
@ttz'ab'il@|@ingredient, something that isn't considered basic that is added to something else to complement it (She wears a green scarf to bring out the green in her blouse)@
@ttz'atupich'@|@herb that grows in cultivated fields (especially in corn fields) that can be used as animal feed (its has white flowers and its leaves stick to everything)@
@ttz'eyb'en@|@a burn@
@ttz'ib'in@|@he is writing, he wrote@
@ttz'ib'ina@|@you write@
@ttz'ilil@|@the dirtiness of something (the dirt didn't come out of my shirt)@
@ttz'is anmi@|@a ritual that is performed the day after someone is burried where all the dead ones belongings are gathered together and they bury a small piece behind the house or in a special place of the house (A lot of people attend this ritual)@
@ttz'u'xh k'lel@|@shepherd's purse herb@
@ttz'umil@|@skin or hide of a person or animal@
@ttz'umul@|@skin (especially of the face)@
@ttzajlen@|@since he she or it came (ma b'ant kab'e ab'q'i ttzajlen lq'et - Two years since I bought it - Tal meb'a qin we ntzajlene ojtxi' - I was small when I came to be an orphan)@
@ttzakaj@|@disability, his or her impediment, his or her disability, the physical impediment of a person or an animal (My son's impediment is that he has six digets on each hand)@
@ttzakin@|@it failed, he fails@
@ttze'l i'jb'aj@|@back, spine@
@ttze'yil@|@ingredient@
@ttzeyab'@|@crutch@
@ttzeyil@|@pole stick or rod that is used as the framework of something, primary material that is used in making something (They used two pounds of thread to make that dress)@
@ttzi@|@at the entrance of, his mouth, its mouth, relational noun meaning at the edge or entrance of (functions with third persons only)@
@ttzi'@|@at the entrance, beak, mouth@
@ttzi' a'@|@at the edge of a river or stream@
@ttzi' ch'opb'aj@|@buttox, anus@
@ttzi a'@|@shore or edge of a river or a lake@
@ttzi a'yil@|@to go on a prolonged fishing trip or to fish as a job@
@ttzi ja@|@door, door or entrance of a house@
@ttzi k'u'jb'aj@|@mouth of the stomach@
@ttzi kxo'pb'aj@|@anus@
@ttzi nxu'ke@|@my chest@
@ttzi pich'@|@plant with an herbaceous stem that produces a purple or white flower called Bird's Beak@
@ttzi tja xkuch@|@name of a place that is located in the municipality of San Ildefenso Ixtahuacan Huehuetenango@
@ttzi xho'pb'aj@|@anus@
@ttzi xukb'aj@|@chest@
@ttzik@|@his (or her) older brother@
@ttzipich'@|@type of a vine such as lobelia@
@ttzmal wi'b'aj@|@hair@
@ttzmal wib'aj@|@hair@
@ttzmal witzb'aj@|@eyebrow@
@ttzo'tz chej@|@plant belonging to the legume family that grows to be about ten inches tall (it's leaves are elongated and it produces spikes of inflorescence with tiny purplish flowers) @
@ttzo'tzq'e'n@|@plant belonging to the legume family that grows to be about ten inches tall (it's leaves are elongated and it produces spikes of inflorescence with tiny purplish flowers) @
@ttzotzil@|@material that is used to thicken some type of liquid (I added a little flour to thicken the pudding)@
@ttzqijil@|@the dry part of an object (Stand in the dry area if you don't want to get your shoes muddy)@
@ttzuwil@|@the bad odor of something specific (I can't get that fish smell off of my hands)@
@tu@|@in@
@tu'jajb'e@|@passport@
@tu'jak'as@|@promissory note@
@tu'jal@|@missal (small book that contains the texts for the celebration of mass with which the faithful can follow along with the mass it is also a liturgical book used by the priest that contains prayers and mass readings and indicates the order and way that mass should be celebrated), service book@
@tu'jal b'etb'il@|@airplane ticket@
@tu'jal k'u'l pwaq@|@bank documents@
@tu'jal pa@|@label, tag@
@tu'jal q'anb'il@|@prescription (like a doctor's prescription)@
@tu'jal xjal@|@resident card@
@tu'jalb'el@|@passport@
@tu'jil@|@specific content of a writing (What I am saying is written in the Bible), title deed to something@
@tu'jil chojb'il a'@|@receipt for a water bill payment@
@tu'jil chojb'il txaqb'il@|@receipt for an electricity payment@
@tu'jil chojb'il yolb'il@|@receipt for telephone bill payment@
@tu'jil pwaq@|@bank book (small book in which to keep account of savings deposits and withdrawals)@
@Tu'jil Tyol@|@Bible@
@tu'jina@|@you read@
@tu'n@|@about, because of, due to, by, so that, in order that, in order to, that, through, to, with (instrument), for, by it him or her, he or she it (a verb goes between 'he' and 'it' - he will do it or she did it or he knows it etc), can introduce a clause that complements the main verb (kub' t-ximina tu'n tewina - You thought 'about' hiding yourself), can introduce a clause that tells why or for what purpose something is done (Nkub' tq'aq' xjal tu'n tmeq't twa' - 'The person was making a fire so that he could heat his tortillas), can introduce and indicate the instrument with which something is done (Ma aq'nan Wan tu'n machit - 'John worked with a machete'), relational noun that indicates the cause or initiator of an event or action (Yolin kan tu'n anjel lu 'He was the angel that made the snake talk' or literally 'Talk snake by angel this'), relational noun that indicates the doer of the action (tzaj a' tu'na you brought water or literally 'arrive here water by you') @
@tu'n qamb'aj@|@travel a distance on foot@
@tu'n teka?@|@for what reason?@
@tu'n teqa@|@why?@
@tu'n tok@|@to (he or she or we or them etc depending upon the verb possession), for (he or she or we etc depending upon the verb possession), that (he or she or we etc depending upon the verb possession)@
@tu'na@|@by you (you were the agent for an action), you it (a verb goes between 'you' and 'it' as in - you will do it or you did it or you know it etc)@
@tu'natzun@|@relational noun that introduces a sentence or clause of reason@
@tu'nj@|@because, reason clause meaning for the reason of or because etc@
@tu'nts@|@in order to@
@tu'ntsji@|@for that reason, thus, therefor, accordingly@
@tu'ntzan@|@functions as a clause of purpose and can only take the third person singular mark of Juego A an example of it is use would be We are here to reach our objectives, so that, to be able to, for that reason@
@tu'ntzan ttzqij@|@so it will dry@
@tu'ntzun@|@so, for that reason, then@
@tu'ntzunju@|@so, for that reason, and that is why@
@tu'nwitlo@|@in order to, so that@
@tu'nxtib'@|@soft, easy@
@tub'chil@|@the flower of a specific plant (such as the flower of a rose bush or the basil flower)@
@tub'ech@|@maya ceremony that is performed to plead for blessings and show appreciation for blessings@
@tub'echil onin@|@the white flower of a creeping plant (called ronron) with segmented leaves @
@tub'echil q'oq'@|@chilacayote flower@
@tub'echil winte@|@edible flower (flor de izote) from a yucca plant@
@tub'lil@|@to sic dogs on someone@
@tuch'@|@heel (of a shoe), work land badly@
@tuch'pi@|@do a poor job of working land@
@tuj@|@by, for, from, in, in it, into, inside, to, relational noun meaning in or inside of (functions with third persons only)@
@tuj b'anq'ob'@|@right (tuj b'a'n q'ob' - on the right)@
@tuj ewaj@|@on the quiet, secretly@
@tuj jun q'ij@|@by day@
@tuj kywitz xjal@|@in the people's heads@
@tuj nintnam@|@in town@
@tuj q'ab'aj@|@palm of the hand@
@tuj qanb'aj@|@sole of the foot@
@tuj seman sik'@|@last week@
@tuj tnam@|@country, town@
@Tuj tnam lu' at qe xjal b'a'n kynab'il@|@In this town there are good people (In town this there are plural people good their thought)@
@tuj tq'ab'@|@wristband (the snug part of a long sleeved jacket that encircles the wrist)@
@tuj tqan@|@hem@
@tuj twi' tnam@|@in town@
@tuj umxaq@|@the crater of the Siete orejas volcano located East of the San Martin Sacatepequez municipality in Guatemala@
@tuj wexj@|@underpants@
@tuj xa@|@inside, interior@
@tuj xhkyimb'aj@|@earring@
@tuj xhkyin@|@bush whose small rose colored flowers are in the form of an earring@
@tuj xhkyinb'aj@|@earring@
@tuj xhnayaj@|@to the left@
@tuj xochjo@|@in that well @
@tuja@|@interior of a house@
@tujchaq@|@in each@
@tujchaq junjun tnam@|@in each town@
@tujchaq kakab' or@|@every two hours (literally in each two hours)@
@tujolo ja@|@from house to house (Nxi' te tat oksil k'u'jb'aj tujolo ja - Father is going to preach from house to house)@
@tujxa@|@interior (inside the house)@
@tujxa tja Dyos@|@Inside the house of God@
@tujxix@|@in the middle of, in the center of (The men went into the city to find food)@
@tuk@|@short@
@tuk'@|@the moment in which a bird pecks, with (when  the relational noun uk' is used as a commitative and is possessed by the third person singular he or she it has the meaning of 'he or she did it with')@
@tuk'a@|@horn, antler, with@
@tuk'al@|@his or her companion, with@
@tuk'alq'a@|@with him (q'a is the classifier for a young man)@
@tuk'atx'otx@|@planet@
@tuk'atx'otx'@|@planet@
@tuk'axjo@|@sufficient, enough (Tuk'axjo jlu' - It is enough with this- or-this will suffice)@
@tuk'b'il@|@beak, mouth@
@tuk'chil@|@to peck (If there is one weak chicken the other chicken's will peck them to death)@
@tuk'e@|@and, his or her companion or friend, with, with him or her@
@tuk'e tkyaqil kyk'u'je@|@with all your heart@
@tuk'e tkyaqil kynab'ile@|@with all your mind@
@tuk'il@|@to peck, to accompany, with, relational noun that introduces the companion with whom the action is done or the instrument with which an action is realized, his friend, with him@
@tuk'il tkyaqil kyipune@|@with all your strength@
@tuk'ila@|@with you, your friend@
@tuk'jil@|@beat, pound (The boy ran so hard his heart was pounding), throb@
@tuk'pil@|@to trip@
@tuk'u@|@with@
@tuk-@|@thrown (something short - a positional root meaning that something short was thrown)@
@tukjb'il@|@blood pressure gauge@
@tukru@|@owl@
@tuky'e@|@relational noun that introduces the companion with whom the action is done or the instrument with which an action is realized@
@tuky'i'l@|@companion@
@tuky'il@|@relational noun that introduces the companion with whom an action is carried out@
@tuky'ilxjo@|@sufficient@
@tul@|@wheel, a child's toy that consists of a metal or wooden rim (called a hoop) and stick that is used to roll the hoop, small plant with small soft leaves and yellow flowers, he came, he arrived@
@tula@|@you come@
@tulia@|@when you came@
@tulihu@|@when he came@
@tulil@|@to chill, to cool@
@tulin@|@round object, wheel@
@tulix@|@flute@
@tumel@|@knowledge, its form, its shape@
@tumen@|@to inform@
@tumpil@|@to remove or throw someone out by pushing or shoving them@
@tun@|@maya percussion instrument made of wood@
@tunaj@|@to carry something hanging in the hand (in other words something that hangs down from the hand when being carried like a purse or carrying a chicken by its neck etc), this word implies that what is being carried doesn't weigh much and doesn't need to be carried carefully@
@tunb'al@|@to hang something in such a way that it balances@
@tunil@|@to carry something hanging in the hand (in other words something that hangs down from the hand when being carried like a purse or carrying a chicken by its neck etc), this word implies that what is being carried doesn't weigh much and doesn't need to be carried carefully@
@tunin@|@its point, its peak@
@tunk-@|@a person with just one arm or leg sitting or standing (tunk- is a positional root)@
@tunkpi@|@fell@
@tunkpit@|@chop down trees (the passive suffix -et marks this as a passive even though it lost the 'e' due to vowel dropping when the causitive suffix -pi was added to tunk so - They went to chop down trees)@
@tunli@|@for something to be dangling, to be standing in a distracted way waiting for something@
@tunpi@|@to lower something that is hanging in the air@
@tuns@|@plant that belongs for the cactus family with fragile thick leaves that grow one on top of another and produces a purple or yellow fruit@
@tuntil@|@brain@
@tuntzun@|@relational noun that introduces a sentence or clause of reason@
@tununun@|@move an object carrying it by a handle or by flanges@
@tuq'ajlab'il@|@to walk around with an angry look on one's face@
@tuq'li@|@to be still and have an angry look on one's face @
@tuqb'al@|@to kill someone or an animal by breaking their neck@
@tuqeb'il@|@to suddenly fall over dead with a broken neck@
@tuqli@|@for an animal or person to die with a broken neck@
@tut@|@generic name given to various spiny palms that produce an edible round fruit@
@tutje' chej@|@belt attached to the back shank of a saddle that ends in an eyelet which is placed around the tail of the animal and keeps the saddle from slipping forward@
@tutz'-@|@sitting (tutz'- is a positional root)@
@tutz'ajlab'il@|@to go from one place to another squatted down@
@tutz'b'ajal@|@easy to seat@
@tutz'b'al@|@to sit, for someone to squat down on their heels (because there isn't a place to sit)@
@tutz'b'il@|@bench or chair@
@tutz'bil@|@chair, place or instrument for sitting@
@tutz'e'@|@sit down,  to make sit or to place or situate something (The child placed his book on the desk)@
@tutz'eb'il@|@to be seated, to be sitting on one's heels without a place to sit, to be seated on something@
@tutz'l@|@positional adjective meaning seated, sitting@
@tutz'li@|@seated, to be seated on something@
@tutz'pil@|@to knock over someone who is sitting on a chair or squatting@
@tutz'utz'un@|@to slowly fall from a squatting position@
@tuxjab'@|@insole (for a shoe)@
@tuya@|@his or her friend@
@tuyol@|@phrase@
@twa'lil q'uq'@|@national shield@
@twa'n@|@consume, ate, eaten, eat@
@twa chej@|@tortilla or tamal that is given to the owner of a horse that has been loaned in order to carry a specific load (similar to renting a truck to bring home a purchase but in this case it is a horse)@
@twa chemaj@|@thread that forms the woven work@
@twa txoqtxoq@|@shrubby plant with a woody stem and alternating lanceolate leaves with clusters of white flowers and a berry-like fruit that Mockingbirds eat@
@twab'il@|@shuttle of the back strap loom that is used to weave the weft thread (that holds everything together) through the warp thread, crop (part of a bird's digestive system it is a muscular pouch near the gullet or throat)@
@twab'il wakax@|@pasture land@
@twachib@|@blackberry bush, gooseberry bush@
@twajxaqi'n@|@eighth@
@twajxaqin@|@eighth@
@twajxaqlajin@|@eighteenth@
@twajxaqlajin xnaq'tzanjtz@|@eighteenth student@
@twajxqin pix@|@an eighth@
@twamo's@|@bread (buns etc)@
@twaqaqi'n@|@sixth (He was the sixth person in line)@
@twaqaqin@|@sixth@
@twaqaqlajin@|@sixteenth@
@twatb'il@|@his or her bed@
@twaxjaw@|@August@
@twe'@|@height, stature@
@twe'b'il tib'aja'@|@anchor@
@tweb'ilu'j@|@music stand, lectern@
@twexa@|@your pants@
@twi'@|@above (it or him or her), relational noun meaning on or on top of, economic worth of something, value, price, his or her head, point of anything solid, voice@
@twi' chimb'al@|@Mam name for the mountain range of the Cuchumatanes@
@twi' chmek'@|@plant belonging to the aloe family that puts off a bad odor@
@twi' imaj@|@nipple of the breast@
@twi' imixh@|@nipple of the breast@
@twi' ja@|@roof of the house@
@twi' njaye@|@our ceiling (the ceiling of our house)@
@twi' nq'ab'@|@my fingers@
@twi' pomb'il che'w@|@name of a hill located in San Ildefonso Ixtahuacan Guatemala@
@twi' q'abaj@|@fingers@
@twi' saqb'aqin@|@name of a hill that is located in the east of the Cajola municipality@
@twi' tim@|@teats (of a mammal)@
@twi' tja k'utz@|@name of a hill located in San Ildefonso Ixtahuacan meaning 'the house of the buzzard'@
@twi' tja yoq'an@|@name of a hill that is located in San Ildefonso Ixtahuacan known as El cerro del padre in Spanish@
@twi'a'@|@head of water@
@twi'chnab'@|@music@
@twi'ja@|@ceiling, flat roof, wood that is placed as a ceiling of a house and where items can be stored@
@twi'k'u'j@|@salary@
@twi'pan@|@last (he came in last in the race)@
@twi'qob'aj@|@finger@
@twi'yal@|@waistband@
@twi aq'untl@|@contract@
@twi npe'ne@|@my yard, my courtyard, my patio@
@twi nqane@|@my toes@
@twi nxky'aqe@|@my nails (fingernails or toenails)@
@twi pe'n@|@patio, yard, courtyard@
@twi qq'ab'@|@our fingers@
@twi witz@|@on the top, on the summit, on the hill@
@twib'il qanb'aj@|@socks (boys)@
@twib'il tqan qya@|@stocking (girls), anklet (girls)@
@twinaq@|@countryman, persons that belong to the same place and the same ethnicity@
@twinqin@|@twentieth@
@twitx'otx@|@floor, to the floor@
@twitz@|@understand (used as an idiom), edge, than, fruit, its fruit, grain, in front of (twitz njaye in front of my house), it is on (or he or she is on), on, on the surface of, its face, dot or point (ie period at the end of a sentence), relational noun used in comparison of two things whether singular or plural (an example B'a'nxch'intl ja lu twitz juntl - This house is better than that one)@
@twitz awal@|@harvest, crop@
@twitz chemaj@|@width of the surface of a woven work@
@twitz eb'aj@|@his tooth, tooth, tooth in its possessed form is always preceeded by twitz@
@twitz ixil@|@band-aid@
@twitz ja@|@covered entrance to a building, outer walls of a house or building, in front of the house@
@twitz q'ijlal@|@world, life, nature@
@twitz qanb'aj@|@calf (of the leg), instep, shin, upper part of the foot between the toes and the union with the leg@
@twitz te@|@cutting edge, blade@
@twitz tx' otx'@|@floor, on the ground, on the earth@
@twitz tx'otx' b'ix kya'j@|@land and sky@
@twitz weye@|@my tooth@
@twitz xaq@|@ravine, gorge, large fragment of rock (that is found in nature)@
@twitz xjab'@|@a buckle (for a belt or a shoe etc)@
@twitz xnaq'tzb'il@|@in the classroom@
@twitza@|@your face@
@twitza ja@|@front of the house@
@twitzb'il@|@picture, painting@
@twitzb'ilal@|@image (religious)@
@twitzju@|@relational noun used in comparison of two things whether singular or plural (an example - mas nim b'et toj toxin maj twitzju tuj tkab' maj tqan 'farther walk in third time than in second time' or as we would say 'he walked farther on this third trip than he did on his second trip)@
@twitzqanb'aj@|@apron, shin, shinbone@
@twitzte b'alin@|@dandelion with white flowers@
@twitzteb'alin@|@dandelion@
@twitzxix@|@certain, true, word that is used to indicate that (or ask whether) something is really true@
@twuqi'n@|@sixth (He was the sixth person in line)@
@twuqin@|@seventh@
@twuqlajin@|@seventeenth@
@twutz@|@his her or its eye, his her or its face (the face of the ground)@
@twutza@|@your face@
@twuxjaw@|@July@
@tx'a@|@excrement, residue@
@tx'a'@|@bark, bite, gum, wedge@
@tx'a'b'j@|@chewing gum@
@tx'a'k@|@pimple, spot, carbuncle, pox, smallpox@
@tx'a'l@|@this word emphasizes the biting of something rather than the chewing itself, to bark, to bite, to chew, to chew gum, to press@
@tx'a'n@|@to bite@
@tx'a'y@|@frayed, threadbare@
@tx'ab'aj@|@chewing gum, gum@
@tx'ab'an@|@bug bite, something chewed once, leguminous plant from Central America called Chipilin that has been considered as one of the 16 most important species of edible leaves in the world it has yellow flowers and its seeds are encased in pods (the leaves are used to make tamales and are added to soup or used to cure a hangover)@
@tx'ab'il@|@pincers@
@tx'ab'j@|@gum or something sticky@
@tx'aj@|@a word indicating that something has to be done by washings a quantifing number has to be used with this word (for example My shirt didn't come clean because I only washed it one time - jun tx'aj means 'one washing')@
@tx'aj-@|@wash@
@tx'ajb'en@|@to put liquid on something to wash it, to put liquid on something to cleanse it@
@tx'ajb'il@|@rocks on which ladies wash their laundry, soap (for doing laundry), washing machine, water that is used for washing or bathing@
@tx'ajb'il laq@|@kitchen sink@
@tx'ajb'il q'ob'aj@|@wash basin, sink for washing hands@
@tx'ajb'il steb'aj@|@toothbrush@
@tx'ajet@|@to clean and put in order, to wash it@
@tx'aji'n@|@laundry day, day to wash clothes@
@tx'ajil@|@bathing, to take a bath, to wash, to bathe yourself, to wash the hands@
@tx'ajinj@|@dirty clothing to wash@
@tx'ajo'n@|@washed@
@tx'ajob'il@|@for to wash, in order to wash@
@tx'ajol@|@rock on which women wash their clothes (located in or at the edge of a stream), person in charge of doing the laundry, to wash, to wash (with water), to wash your hands, to menstruate@
@tx'am@|@acidic, sour, spoiled or rotten food@
@tx'amil@|@the sour or tart part of something@
