@English@|@Maxakali@
@The man followed the jaguar's tracks@|@Tik te hãmgãy yõg putat tux@
@The man got to his feet and straightened up@|@Tik künïhã'xip tu' yoa@
@The man guarded well because he's wide awake@|@Tik te pënãmaih pa ka'ok tu@
@The man hid the money@|@Tik te tay:mak xaptop@
@The man hunted armadillo@|@Tik te koxut xak@
@The man hunted for meat@|@Tik te xogyïn xak@
@The man is a hypocrite@|@Tik pa maih pãyã' kuxa kummuk@
@The man is exhausted because he is ill@|@Tik teknõg 'üpakut tu@
@The man is located at someone's back@|@Tik te' xãmpa' xip@
@The man killed a monkey@|@tik te koktix putex@
@The man killed a rattlesnake@|@Tik te kãyãnãgxap putex@
@The man killed a wild duck@|@Tik te puxap putex@
@The man killed the monkeys@|@tik te koktix kix@
@The man lives alone@|@Tik hok xip@
@The man loves his wife deeply.@|@Tik te' xetut mõ'yãy xe'ëgnãg@
@The man made a two-stringed bow@|@Tik te' mïy hãpxapkup@
@The man pierced it with an arrow@|@Tik te pox hã' xuhmïy@
@The man planted a field@|@Tik te hãmxa mïy, Tik te hãpxa mïy@
@The man played an accordion@|@Tik te anmõg kãyãhã@
@The man played on a harmonica.@|@Tik te anmõg hã' kãyãhã.@
@The man rested the sack on the ground@|@Tik te xagok y:mmãhã hãm kopa@
@The man said: "Nephew/Grandson come here!"@|@Tik te:_Ügnix mü!@
@The man saw a wild dog@|@Tik te kokexkata penãhã@
@The man scatter it around@|@Tik te hãpxummãhã@
@The man sells dried beans@|@Tik te pëyõg nõmenax@
@The man shook with fear@|@Tik te yãy pu xu'ux@
@The man shot with a rifle.@|@Tik te kupukkox hã' mãn.@
@The man sits@|@tik yüm@
@The man stood on guard@|@Tik te penãnã'xip@
@The man took away money@|@Tik te tayümak paha@
@The man trampled on it@|@Tik te' tonnok@
@The man trembled@|@Tik te yãy pu xu'ux@
@The man wanted to see it@|@Tik te' penãp-tup hu hãm müy.@
@The man was on top of the hill@|@Tik te yïktix xox tu' xip@
@The man was sick and breathed with difficulty@|@Tik pakut tu xitxüy@
@The man wears shoes@|@Tik te pataxax tat@
@The man went alongside the river@|@Tik te kõnãgkox yïka' mõg@
@The man went to the Post@|@Tik mõg nõpox ha@
@The man woke up yawning@|@Tik te:--Õ kaxïy@
@The man wore a coat@|@Tik te kayak mõ'tat@
@The man's eyelids were sore@|@Tik pa xax xüy@
@The man's shirt is new@|@Tik yõg kãmïn tup@
@The man's thumb was sore.@|@Tik ïptut xüy@
@The man's upper arm is strong@|@Tik yïpkoxuk ka'ok@
@The Maxakalí all gathered together@|@Tikmü'ün te yãykotïnnãhã@
@The Maxakalí are afraid because of Kotkuphi@|@Kotkuphi ha tikmü'Ün kuxãnõg@
@The Maxakalí are afraid of the spirits@|@Tikmü'ün te yãmïy kutuk@
@The Maxakali are close by@|@Tikmü'ün te hãmhümnãg@
@The Maxakalí are destitute nowadays@|@Tikmü'ün te hãmhok nõmhã@
@The Maxakalí are infested with headlice@|@Tikmü'ün kut xohix punethok@
@The Maxakalí are tilling a field@|@Tikmü'ün te hãpxaha@
@The Maxakalí ate until they were satisfied@|@Tikmü'ün te hãpxop mãhã tu mõ@
@The Maxakalí bathe in the river@|@Tikmü'ün te kõnãgkox kopa tat@
@The Maxakalí bought good tasting food@|@Tikmü'ün te hãpxop xuxpex pop@
@The Maxakalí built his house upstream.@|@Tikmü'ün pet mãkpa.@
@The Maxakalí built homes at the base of the rock.@|@Tikmü'ün te mïkax kaka' pet.@
@The Maxakalí called his son@|@Tikmü'ün tek-tok pit xãnãhã@
@The Maxakalí called: "Open the door!"@|@Ha tikmü'ün teü--Hãpxõn!@
@The Maxakalí came in order to hear@|@Tikmü'ün nün nüy xupax@
@The Maxakalí came together@|@Tikmü'ün te yãy tu nü'nãhã@
@The Maxakalí carried the sap@|@Tikmü'ün te gãg tat@
@The Maxakalí carry cow's milk@|@Tikmü'ün te xok hep tat@
@The Maxakalí cleared away the weeds@|@Tikmü'ün te hãpxux xit@
@The Maxakalí cleared the land.@|@Tikmü'ün te hãm nuhnõg@
@The Maxakalí cleared the river of brush and leaves@|@Tikmü'ün te kõnãgkox xaxit@
@The Maxakalí danced and danced@|@Tikmü'ün te hãmyã hïynãg@
@The Maxakalí danced in the village square@|@Tikmü'ün te hãpxep tu' hãmyã@
@The Maxakalí did wrong@|@Tikmü'ün te hãmgãyãgpãy@
@The Maxakalí drink cow's milk@|@Tikmü'ün te münüytut hep xo'op@
@The Maxakalí enjoy the coconut palm@|@Tikmü'ün te kutatak putup pax@
@The Maxakalí fear the spirits@|@Tikmü'ün te yãmïy yïpkutuk@
@The Maxakalí folded the cloth@|@Tikmü'ün te hãmmüy topixxax@
@The Maxakalí from Mãkpa went fishing.@|@Mãkpa yõg tikmü'ün te mãpxõn.@
@The Maxakalí have few clothes@|@Tikmü'ün yõg topixxax kutõgnãg@
@The Maxakalí have gone to the town@|@Tikmü'ün mõg kõmën ha@
@The Maxakalí have no money@|@Tikmü'ün te tayümak hok xip@
@The Maxakalí have sore feet in cold weather@|@Hãm ãxi ïhã tikmü'ün pata xüy@
@The Maxakalí have very little rice@|@Tikmü'ün yõg xuxnãg kutïgnãg@
@The Maxakalí help each other@|@Tikmü'ün te' nõy tehe@
@The Maxakalí helped the outsiders@|@Tikmü'ün te ãyuhuk mõ'nïynãm@
@The Maxakali know the acurá fish@|@Tikmü'ün te kanaxax yümmüg@
@The Maxakalí lack money@|@Tikmü'ün te tayümak hok@
@The Maxakalí lie on beds.@|@Tikmü'ün te mïpxap yïmü' pip.@
@The Maxakalí like alligator meat@|@Tikmü'ün te mã'ãy yïn putup.@
@The Maxakalí like dogs@|@Tikmü'ün te kokex putup@
@The Maxakalí like leather@|@Tikmü'ün te xokxopxax putup@
@The Maxakalí looked at the view@|@Tikmü'ün te hãmpenãhã@
@The Maxakalí looked up toward the sky@|@Tikmü'ün te yõkãnãm pexkox ha@
@The Maxakalí love sugar@|@Tikmü'ün te axok putup@
@The Maxakalí made a big feast.@|@Tikmü'ün te ãmuk xexka mïy.@
@The Maxakalí man led the blind man@|@Tik te' nõy pahok mõgãhã@
@The Maxakalí man smoked@|@Tik te kohok gõy@
@The Maxakalí mourned for Grandpa's death@|@Tikmü'ün potaha yãyã xok tu@
@The Maxakalí removed the bean husks@|@Tikmü'ün te pëyõg xax mõy@
@The Maxakali saw a pit viper@|@Tik te kãyã xoktupnãg penãhã@
@The Maxakalí shouted@|@Tikmü'ün te: -Ãhup!@
@The Maxakalí skinned the game animal@|@Tikmü'ün te xokxop koxok@
@The Maxakalí slave away@|@Tikmü'ün hãm tapax@
@The Maxakalí stayed together in the house@|@Tikmü'ün te mïptut kopa ãti@
@The Maxakalí suck out the juice of the orange@|@Tikmü'ün te nanüy hep xup@
@The Maxakalí tie things up@|@Tikmü'ün te hãpxop mõ'kuknïn@
@The Maxakalí went beyond the town@|@Tikmü'ün te kõmën künãpa' mõg@
@The Maxakalí went to the curve of the river@|@Tikmü'ün mõg konãgkox kuyüm ha@
@The Maxakalí were afraid and fled@|@Tikmü'ün kuxãnõg tu' xupaha@
@The Maxakalí work like the outsiders@|@Tikmü'ün hãm ãyuhuk putuk@
@The Maxakalí're afraid because the enemies came@|@Tikmü'ün kuxãnõg ügãyxop nünha@
@The Maxakalí're afraid of the wild canine spirit@|@Tikmü'ün te kokexkata yïpkutuk@
@The Maxakalí's offspring get married@|@Tikmü'ün kutok te yãytaha@
@The men blew tobacco smoke@|@Tik xop te kohokgõyyã'ãy@
@The men cleared off the land@|@Tik xop te hãm xit@
@The men fish with bait.@|@Tik xop te mãpxïnnãhã.@
@The men fought each other@|@Tik xop te yãykix@
@The men hunted wild pig@|@Tik xop te xapupnãg xak@
@The men leveled out the land@|@Tik xop te hãm nuhut@
@The men renovated the ritual house@|@Tik xop te kuxex tupmãhã@
@The men sit@|@tik mãm@
@The men till their fields with a hoe@|@Tik xop te taxunna hã hãpxaha@
@The men went downstream@|@Tik xop mõg kõnãgkox kukpa@
@The men were on the lookout@|@Tik xop te penãnã'pip@
@The men work in their fields at midmorning.@|@Mãyõn xup ïhã tik xop te hãpxa@
@The men worked intensively@|@Tik xop hãm ka'ok@
@The monkey is sitting up in the tree@|@Koktix te mïm yïmü yüm@
@The mother took a burrowing flea out of her child@|@Atut tek-tok pata tu ãpxüg xut@
@The mouse steals food@|@Xetxox te hãpxop xupxet@
@The mug was full@|@Yã kãnex nü'xip@
@The old house collapsed@|@Mïptut hittap xakux@
@The old man is knowledgeable@|@Tik kutut te hãmyümmüg@
@The old woman has backache@|@Ün kutut xãm xüy@
@The older Maxakalí bear pock marks@|@Tikmü'ün hittap te pakanet tat@
@The other agreed: "Uh huh."@|@Ha: __Hu'u. Kaxïy.@
@The other asked@|@Ha:- Ãxuxet'ax te xïy@
@The others asked: "Did you hit it?"@|@Axa:__Ok yãg? Kaxïy@
@The outsider bought goats@|@Ãyuhuk te münüynãgtut pop@
@The outsider built an outhouse@|@Ãyuhuk te' yõn pet mïy@
@The outsider children waved their hands@|@Ãyuhuk kutok te yïm hã no'ok@
@The outsider donated clothes to him@|@Ãyuhuk te topixxax ühok tu' hõ@
@The outsider drove the truck@|@Ãyuhuk te kamïyãm mõgãhã@
@The outsider had red hair@|@Ãyuhuk xe ãta@
@The outsider has a long nose@|@Ãyuhuk xupup tox@
@The outsider has the door key@|@Ãyuhuk te pipkup hãpxõn'ax xuk@
@The outsider is mute@|@Ãyuhuk yïyhok@
@The outsider longs for lobster.@|@Ãyuhuk te kuxhip xak@
@The outsider made a yoke@|@Ãyuhuk te moxkup mïy@
@The outsider played his radio@|@Ãyuhuk te kãnëy xaktux kax@
@The outsider rounded up the cows@|@Ãyuhuk te münüytut papuk@
@The outsider sells buckshot@|@Ãyuhuk te kupukxap nõmenax@
@The outsider took a snapshot of the children@|@Ãyuhuk te kakxop hetanat xut@
@The outsider uses oxen to till the land@|@Ãyuhuk te mox hã hãpxaha@
@The outsider was mounted on a horse@|@Ãyuhuk te kãmãnok yïmük yïm@
@The outsider watches over a flock of geese@|@Ãyuhuk te puxaptut penãhã@
@The outsider waves a flag@|@Ãyuhuk te topaxax mahap@
@The outsider wears gold@|@Ãyuhuk te pipkup yãnãm tat@
@The outsider woman is fat@|@Ãyuhuk hex top@
@The outsider woman kisses her child@|@Ãyuhuk hex tek-tok hax@
@The outsider woman mixed the batter@|@Ãyuhuk hex te pohot mïy@
@The outsider woman raises chickens@|@Ãyuhuk hex te xokakkak nõkini'@
@The outsider women are called 'comadre'@|@Ãyuhuk hex te 'ãxet'ax kõmãn@
@The outsider wore socks@|@Ãyuhuk te nãgkupxax tat@
@The outsider wrapped himself up in a cape@|@Ãyuhuk te kap mõ'xex@
@The outsider's beard is black@|@Ãyuhuk yïnnut müny@
@The outsiders butchered a pig@|@Ãyuhuk te kapat putex@
@The outsiders carry cow's milk in a bottle@|@Ãyuhuk te gahap hã xok hep tat@
@The outsider's eyebrows were@|@Ha ãyuhuk kaxnut punethok@
@The outsides can't make clay pots@|@Ãyuhuk te nax mïyhok@
@The oven bird makes his nest out of clay@|@Putuxnãg te hãm hã' pet@
@The owner sent him@|@Üxuxyã te mõ'kutnãhã@
@The parakeet chirped@|@Ãpkahnãg kax@
@The pit viper is a poisonous snake@|@Kãyãnox gãy@
@The praying mantis was up in a tree@|@Kaxõy te mïm yïmüg yüm@
@The rat stole it@|@Xetxox te' xupxet@
@The relatives quarreled and separated@|@üxape xopte yãykix tu yãy xata@
@The relatives surrounded the house@|@Axape xop te mïptut kuyüm@
@The religious pole has stripes@|@Topa kup ku'ïn@
@The rice is used up there is no more@|@Xuxnãg nõg ap xip'ah@
@The roots strengthen trees.@|@Mïmyïpxatit te' kup ka'ogãhã.@
@the seed sprouted@|@tu' xokax mõ'ka'ok@
@The sheep's shepherd found it@|@Kahnën yõg xuxyã te' tipihi@
@The shepherd guards the sheep well@|@Kahnën xuxyã te' xex maih@
@The sick man frothed at the mouth@|@Tik pakut te yïy konnop@
@The sick man had skin lesions@|@Tik pakut yã' xax kunut@
@The sick people moaned@|@Ha mõnãyxop te:--Oooo!@
@The sloth hangs from a branch@|@Xü'üy te mïmmãg tu' xup@
@The small intestine is inside the abdomen@|@Amãg te' textop kopa' yïm@
@The snail is at the water's edge@|@Xa'ãm te hãpkux tu' xip@
@The snake bit a Maxakalí@|@Kãyã te tikmü'ün putop@
@The snake drags itself on the ground@|@Kãyã te hãmyïküy@
@The snake entered a hole in the ground@|@Kãyã te hãpkox tu' mõ'nãhã@
@The snake had five young ones@|@Kãyãk-tok xohi@
@The soccer team from Pradinho won the game@|@Pananïy yõg mõ'motxop te gãyõg@
@The soldier carried a gun@|@Xonat te kupukkox tat@
@The spider hung from the branch@|@Xaktakak te mïmmãg tu' xup@
@The spirits rap on the wall of the ritual house@|@Yãmïy te kuxex to'ok@
@The squirrel stores food@|@Xoktux te hãpxop xex@
@The stranger sneered@|@Ha' puknõg te yïxix kummuk@
@The strangers eat oysters@|@Puknõg xop te kupxat mãhã@
@The strangers were outside@|@Puknõg xop te hãptopa' pip@
@The stream was deep@|@Kõnãgkox xet@
@The stream was shallow@|@Ha kõnãgkox putïynãg@
@The sun has set@|@Mãyõn mõ'nãhã@
@The sun is hot lately@|@Mãyõn pukpex nõmhã@
@The sun is hot.@|@Mãyõn ka'ok.@
@The sun ripened the fruit@|@Ha mãyõn te mïnta tapmãhã@
@The sun was at high noon@|@Mãyõn te pexkox yãykote' yüm@
@The sun's light is bright@|@Yã mãyõn yãnãm maih@
@The sweet potatoes are almost cooked@|@Kõmïy puk kõmnãg@
@The symbolic pole is in front of the ritual house@|@Xunnïm kup te kuxex keppa' xip@
@The syrup fermented@|@Ha xanop nohot@
@The teenagers took away a papaya@|@Kakxop tuktup te xupxak xut@
@The termite eats wood.@|@Mïpkut te mïm mãhã.@
@The termites eat the wood@|@Xokãnïn te mïm mãhã@
@The things are heavy so they are burdensome@|@Hãpxop xohix putux yïy mõ'yüm@
@The tired children drag themselves along@|@Kakxop teknõg te hãmmügmõg@
@The toad is clever@|@Konnokaxax te hãmyümmüg@
@The tomato is tasty@|@Tõmãn xuxpex@
@The trail was crooked@|@Putat kohe@
@The two men fought with clubs@|@Tik tix te yãykix kakix@
@The vicious people reduced the city to rubble@|@Gãyxop te kõmën koxyõynãm@
@The wild cat is fierce.@|@Mëõgnãg gãy.@
@The wind howled: Hooo.@|@Ha ãmuh te: -Hoooo.@
@The woman attached the net to the wood frame@|@Ün te tutkup tu' hïy tuhut@
@The woman bent over@|@Ün künãkoho@
@The woman bought a kind of banana@|@Ün te tepta ka'õgnãg pop@
@The woman burned the back of her hand@|@Ün te' yïmxãm puk@
@The woman discarded the leaves@|@An te mïxux kuyut@
@The woman got clay to make ceramics@|@Ün te putõy paha nüy nax nïã@
@The woman had long eyelashes@|@An pa xe tox@
@The woman lives alone@|@An hok yüm@
@The woman lost some money@|@Ün te tayümak xaxok@
@The woman made a clay pot@|@An te nax mïy@
@The woman made a clay pot andsmoothed the outside@|@Ün te nax mïy tu' xãm yot@
@The woman made her husband happy@|@An te' yïpxox hittupmãhã@
@The woman mixed meat with the manioc flour@|@Ün te xogyïn xix kotyõn tet@
@The woman planted melon seeds@|@Ün te kehex xap xok@
@The woman planted rice@|@Ün te xuxnãg xok@
@The woman roasted meat@|@Ün te mõ xogyïn hap@
@The woman roasted meat and it smelled delicious@|@Ante xogyïn mõ'hap ha' hax max@
@The woman saw a snail@|@Ïn te ïnhip penãhã@
@The woman shook out the cloth@|@Ün te topixxax tuhuk@
@The woman shook the cloth out@|@Ün te topixxax nuhuk@
@The woman smiles because she is happy@|@Ün yïxix ühittup tu@
@The woman took a watermelon away@|@Ün te totxuxpex putmõg@
@The woman touched his clothes@|@An te' yõg topixxax ãpit@
@The woman washed the shirt@|@Ën te kamïn pix@
@The woman went far@|@Hãptox ha' mõg ühün@
@The woman went for firewood@|@Ün mõg nüy mõ'kuk@
@The woman wove a net@|@Ün te' xap tuhut@
@The woman's hair is long@|@Ün xe tox@
@The woman's house is dirty inside@|@Ün pet kopa xux putux@
@The woman's long hair is lovely@|@Ün xetox maih@
@The woman's tears fell to the ground@|@Ün pa hep te hãm tu' nãhã@
@The women carried it on their heads@|@Ün xop te' tatpaha'mõg@
@The women cooked sweet potatoes@|@An xop te kõmïy kutet@
@The women fish with a net.@|@An xop te mãpxamut.@
@The women went fishing@|@Ün xop te mãpxamut@
@The women went to the river@|@Ün xop mõg kõnãg kox ha@
@The young Maxakalí jumped over the puddle@|@Tikmü'ün kutok te puxhep ãtex.@
@then@|@kopxix, tehomi@
@Then a priest came.@|@Ha ãmãnex nün.@
@Then all the men stood up@|@Ha tik xop xohik-nïhã'pip@
@Then he planted beans@|@Ha ta pëyõg xok@
@Then he punctured it@|@Ha' tapxak@
@Then he scratched himself@|@Ha xukoho@
@Then he shot his gun@|@Ha:-Tao!@
@Then he spoke@|@Ha' yïy@
@Then I went to get potatoes@|@Ha tak mõg kõmïy hah@
@Then my relative sat at the foot of the rock@|@Hak xape yüm mïkax kaka@
@Then she wove the fiber long@|@Ha tut xit xap ha' tox@
@Then the ancestors took the honey from the hive@|@Ha mõnãyxop te puk üm küy@
@Then the bullet struck him@|@Ha: -Tenep. Kaxïy@
@Then the cows ate them@|@Ha münüytut te' mãhã@
@Then the earth quaked@|@Ha hãm te yãynuhuk@
@Then the horned screamer spirits came@|@Ha Ãpihi xop nün.@
@Then the jackfruit crashed to the ground@|@Ha yak xexka nü'nãnãm@
@Then the niece/granddaughter@|@Ha' putixix hittup@
@Then the vultures ate the corpse@|@Ha kuptap te' xokxax mãhã@
@Then there was a stranger called Thomas@|@Ha tik puknõg üm ãxet'ax Tõmën@
@then they were shelled@|@Pëyõg nak yï' koxuk@
@there@|@õnte@
@There are a great many outsiders@|@Yã ãyuhuk xohix punethok@
@There are a lot of grasshoppers lately@|@Hõnhã kunut punethok@
@There are a lot of mosquitoes today@|@Hõnhã kummãyõy punethok@
@There are a lot of toads@|@Kotnok kaxax punethok@
@There are gnats here@|@Kumyãmnãg pip@
@There are lots of biting insects around@|@Kumãyyõynãg pip punethok@
@There are lots of outsiders@|@Ha ãyuhuk pip xohix@
@there are lots of shrubs@|@Tex tihi ha mïxux punethok.@
@There are lots of veins on the leaves@|@Mïxux yõg kãyãmi punethok.@
@There are many papaya trees@|@Xupxakkup xohix punethok@
@There are numerous grasshoppers in the pasture@|@xanakoxtap punethok mïxux kopa@
@There are three rooms@|@Yã hãm'ãta kox xohix te tikoxy@
@There they were; and the ancestors sat down@|@Õnte' pip ha' mãm mõnãyxop.@
@There was a lot of paper@|@Yã tappetxax punethok@
@There was a lot of tobacco smoke@|@Kohok gõy punethok@
@There was a storm yesterday@|@Hõmã texgãy@
@There was fog when the sun came up@|@Mãyõn xupep ïhã texgõy@
@There was lots of food@|@Ha xit'ax punethok@
@There was lots of sand on the shore@|@Konãgkux tu' pip ãmot punethok@
@There was manioc@|@Apip kohot@
@There was only one@|@Üxohix teü üm@
@There was wasp honey.@|@Ha' xip ãmãn hep.@
@There were Ãmõm spirits.@|@Ha Ãmõm pip.@
@There were lots of beetles@|@Yã ïnyõnxit punethok@
@There were lots of fish.@|@Apip punethok mãhãm.@
@there were many ancestors@|@mõnãyxop xohi' mãm@
@There were seven brothers@|@ütaknõy xop xohix te 7 tihi ãx@
@therefore@|@yïy@
@Therefore I stood up.@|@Yïk-nïhãkxip@
@Therefore seek God first@|@Yïy Topa xax hãmãxap@
@These clothes are rather nice.@|@Nü topixxax maih miax.@
@These things are heavy@|@NÜ hãpxop putux@
@They allowed him to leave@|@Tu' tux hok pu mõg@
@They also made bows@|@Amïy hãpxapkup kama@
@They came; hoping to get meat@|@Tu' nün puyïy xogyïn pop@
@They forbade him to leave@|@Tu' tux hok pu mõg hok@
@they heard children's voices@|@Ha:--Hex hex hex@
@They led Paul before Felix@|@Tu Paot mõgãhã Penix keppa@
@They prepared a lot of food.@|@Ha ãmuk punethok.@
@They rejected the large beams@|@Ha mïm xexka putup nõg@
@they say@|@axa, ãxa, ãxa hearnay@
@They screamed.@|@Ha:__Iei.@
@They stoned him@|@Tu mïkax xexka tux nüy putex@
@They were delighted and hugged each other@|@Tu' hittup tu' yãy kep müg@
@thigh@|@paxikoxuk@
@thin@|@kumnak@
@thing@|@hãpxop@
@think@|@hãmpe'paxex, pe'ãpaxex, pe'paxex@
@think about something@|@hãmpe'panõm@
@This beetle is large@|@Nü kotap xexka@
@This book is yours@|@Nï tappet õgnï@
@This coffee is weak/lukewarm@|@Nü kapex pu'uk@
@This horse is black@|@Nü kãmãnok münïy@
@This is a fish net.@|@Nühü mãpxamut'ax.@
@This is a house key@|@Nühü pipkup mõhãmyïnnïn'ax@
@This is a mud stove@|@Nük hãpkox ãmuk'ax@
@This is a peninsula@|@Nühü kõnãgkox kohe@
@This is its egg@|@Nühü' xu'uk@
@This is wood.@|@Nühü mïhïm.@
@This is your index finger@|@Nühü ãyïpkutok koxuk@
@This land belongs to the Maxakalí@|@Nühü tikmü'ün yõg hahãm@
@This log is lightweight@|@Nü mïpkup tunnep@
@this one@|@nühü@
@This will all happen again@|@Üxohix xe nün putup@
@thorn@|@xãpxox@
@those that want to cause trouble for me@|@nõm tek kummugãptup@
@Those who can command do so@|@Üxat'ax xop te' xat@
@three@|@tikoxyuk@
@throat@|@mãykox, xitkox@
@throw@|@mõ'yõn, yõn@
@thumb@|@ïptut, yïpkutoktut@
@thunder storm@|@texgãy, textïnnãhã@
@thus@|@hu, yüy@
@Thus he's sleeping when the other arrived@|@Hu mõ'yõn ïhã mõktu' nõy xupep@
@tick@|@xaptit@
@Ticks attach themselves to cattle@|@Xapit te münüytut tu' xup@
@tie up@|@hïy, mõ'kuknïn@
@tied it up with a vine@|@Tute kokex hïy yã' tox hã' hï@
@till a field@|@hãpxaha, xaha@
@time of ripe@|@hãmyãxatamuk@
@time of ripe berry@|@hãmyãxatamuk@
@tin can@|@kãnëy@
@tired@|@tuknõg, yãynõynãg@
@to@|@ha, pu, tu@
@to ambush@|@gox@
@to assist@|@nõ tehe@
@to bend down@|@hãm müy@
@to bow@|@nü/ktettex@
@to build a fence@|@hãmpak@
@to buy@|@paha@
@to carry a liquid@|@heptat@
@to cause@|@-gãhã@
@to cause a perfume@|@haxyãhã@
@to commit a sin@|@hãmgãyãgpãy@
@to cool off@|@ãxi@
@to dig in the ground@|@hãpkot@
@to donate@|@hok hõm@
@to drizzle@|@ãtix@
@to eat@|@xit@
@to eat a lot@|@hi ka'ok@
@to embrace@|@müg@
@to find@|@xipihix@
@to fold over@|@hãmmüy@
@to forbid@|@tux hok pu ... hok@
@to forgive@|@xaxogãhã@
@to full@|@yãyhi@
@to judge@|@hãmpe'paxex üpa kopa@
@to keep@|@xix@
@to kick@|@yõn@
@to know@|@hãmyümmüg@
@to live@|@hi@
@to open up@|@hãpxõn@
@to play on the ground@|@hãmãnuxxop@
@to regain consciousness@|@hi tapax@
@to remain@|@hit@
@to satisfy@|@hi@
@to say farewell@|@aneo@
@to scatter about@|@hãpxummãhã@
@to smell@|@hax@
@to smoke@|@göy, gõy yãhã@
@to think about something@|@hãmpe'panõm@
@to till a field@|@hãpxaha@
@toad@|@humnãg, konnokaxax, kotnokkaxax@
@tobacco@|@kohok@
@today@|@hõnhã@
@Today is Sunday@|@Hõnhã yã yenomïy@
@Today it is half moon.@|@Hõnhã mãyõn xexka.@
@Today the men summoned the hawk spirit@|@Hõnhã tik xopte Mõgmõkaxop kax@
@Today there is a lot of dust@|@Hõnhã hãpkõnõn punethok@
@toe@|@patak-tok@
@together@|@ïgãnãhã, ka'mãm, nümütik@
@tolerate@|@nõã'tot, tot@
@tomato@|@tõmãn@
@tomorrow@|@hãptup putut@
@Tomorrow I will go again@|@Hãptup ïhãk mõg putup üxehe@
@tongue-tied@|@yïy kïy ka'ok@
@tooth@|@xox@
@Topa turned into a bee@|@Topa te yãyhã puhuk@
@torment@|@hãpkutex'ex, kute'ex, xüygãhã@
@torn clothes@|@kanet@
@toss@|@yõn@
@toss back and forth@|@yãytux@
@touch@|@ãpit@
@trade@|@nõy yãnãn@
@traditions@|@mõnãyxop yõg hãpxopmã'ax@
@trail@|@putahat@
@trample@|@tonnok@
@transform into something@|@yãyhã@
@transverse beam@|@mïptut koxuk@
@travel@|@hãpkumep@
@tree@|@kup@
@tree root@|@mïmyïpxatit@
@tree toad@|@ïno'at@
@tree with fibrous bark@|@katamak@
@tremble with fear@|@yãy pu xu'ux@
@trembling@|@UAK@
@tremors@|@xu'ux@
@tripe@|@xokmãg@
@truck@|@kamïyãm@
@true@|@xe'e@
@truth@|@hãpxe'e@
@turtle@|@kegmaih, kugmax@
@twins@|@kutonnix@
@twisted fiber for mesh objects@|@tutxit@
@two@|@tix@
@two-stringed bow@|@hãpxapkup@
@tyrant flycatcher (bird)@|@xoxmetmet@
@ugly@|@kummuk@
@umbrella@|@xunnïm yïmãg kox@
@uncle (mother's brother)@|@xuxyã, yãyã@
@Uncle ate peanuts@|@Yãyã te künãmãtix mãhã@
@Uncle gave us (excluding you) meat@|@Ügmü'ã hõm xogy6in Yãyã te@
@Uncle's leg hurts because he has a boil@|@Yãyã te patakup xüy xutnãg ha@
@unrelated@|@puknõg@
@untie@|@ko'a@
@until@|@mõktu, nüktu@
@until reach specified place@|@tu mõktu@
@until reach the goal here@|@tu nüktu@
@upper arm@|@yïpkoxuk@
@upper leg@|@paxikoxuk@
@upright@|@hãmyok@
@upstream@|@mãkpa@
@urban area@|@ïxiptuxexka@
@urge@|@pu@
@urinate@|@xux@
@use a timbó vine to fish@|@yakax@
@use up@|@nõg@
@utensil for water@|@kõnãg tat'ax@
@valley@|@hãpxahit@
@variant of "hãmyãkuhmõy"@|@hãmyãykuhmõy@
@variant of "hi ka'ok"@|@hix ka'ok@
@variant of "hi"@|@hix@
@variant of gõy yãhã@|@gõyãhã@
@variant of hïy@|@hix@
@vertical beam@|@müptut mãykup@
@very close@|@yükãgnãg@
@very small@|@kutügnãg@
@vile@|@yã'ïgã@
@village@|@xiptuxexka@
@voice@|@yïxupep@
@void@|@xux@
@vulture@|@kuptap, xakuxux@
@wag@|@mahap@
@wail@|@potaha@
@wailing@|@a, Ë@
@wait@|@hip, nãy@
@Wait! Don't go!@|@Nãy! Mõg hok!@
@walk@|@hãpkumep@
@walking stick@|@kuptõy@
@want@|@putup, putup xüy@
@wash@|@pix@
@wasp@|@ãmãn, tuhup@
@wasp honey@|@ãmãn hep@
@watch out@|@mõ'xip@
@water@|@kõnã'ãg@
@waterfall@|@ïmok@
@watermelon@|@totxuxpex@
@wave@|@mahap, no'ok@
@we@|@müg, ügmüg, yümü'ãte, yümüg@
@We (excl.) bought food@|@Ügmü'ãte hãpxop pop@
@We (incl.) look on to criticize@|@Yümmüg ãte hãmpenã kummuk@
@We all traveled@|@Yümü'ãte hãpkumep@
@We are eating@|@Ügmüg xit@
@We are going@|@Yümüg mõg@
@we Maxakalí@|@tikmü'ün@
@We men went fishing and used sap to numb the fish@|@Tikmüg mõg yakax üm xit putup@
@We went and we are tired@|@Yümüg mõg hak müg tuknõg@
@We went to stay there@|@Ümüg mõg nüy pihip@
@we would be rich@|@kopxix tahix xop@
@weak@|@pu'uk@
@wealthy@|@putexop xexka@
@wealthy person@|@ãptexop@
@wear@|@mõ'tat@
@wear a belt@|@künãy hïy@
@weeds@|@hãpxux@
@weep@|@potaha@
@weigh down@|@mõ'yüm@
@well@|@kõnãgkox@
@What are you thinking about?@|@Xatep-tep pe'ãpaxex@
@What did he do?@|@Pute(p) mün mïy?@
@What do they think about it?@|@Putep-tep pe'paxex?@
@what?@|@pute, pute üm@
@what's new?@|@ãmãhïy@
@wheat@|@xuxnãg xetox@
