@English@|@Tanacross@
@my clothes fit me@|@shch'el' sheghíhchaagh@
@my collarbone@|@sht'ek tth'en'@
@my cousin@|@shtlee@
@my daughter@|@shtthé'e, shyaats'é'e@
@my dog@|@shlïig'@
@my dog is panting@|@shliig' éhtthek@
@my dog is scratching over@|@shlïig' nah'âaz xoots'ét@
@my ear@|@sdzaagh'@
@my elbow@|@sts'és@
@my esophagus@|@shthéeg'@
@my eye@|@shdaagh'@
@my eyebrow@|@shnaxdzaaxá'@
@my eyelash@|@shnaxts'eh xá'@
@my eyes are bloodshot@|@shdaagh' t'êl@
@my eyes are wide open@|@dhegket@
@my face@|@shnée@
@my family@|@shehlâad@
@my father@|@shtá'@
@my father-in-law@|@stsêey@
@my father's name is Charley@|@shtá' Charley miisí'@
@my favorite@|@shaa dint'eh@
@my finger@|@shinlaats'ógh'@
@my finger poked through it@|@shinlaats'ógh maa ittets@
@my fingernail@|@shinlagey'@
@my foot@|@shké'@
@my foot cramped up@|@shké' níxeeldélneyh@
@my forearm@|@shtth'íil'@
@my forehead@|@shintaagez, shints'etadaag@
@my friend@|@shtlee@
@my friend has left@|@shtlee natétshah@
@my friend is entertaining me@|@shtlee shnidilhshaa@
@my gall bladder@|@shtl'éts@
@my girlfriend@|@wu'él natihdaag@
@my gloves disappeared@|@shjeyy' k'éxdálneyh@
@my grandchild@|@shchâay, shtthûuy@
@my grandmother@|@stsuu@
@my grandmother lost it@|@stsuu yexúhshaak@
@my grandpa's name's Charley@|@stsey Charely mighinsí'@
@my gums@|@shxutthen'@
@my hair@|@shtthixá'@
@my hand@|@shinlá'@
@my hands are dirty@|@shinlá' gés nlee@
@my head@|@shtthí@
@my hearing@|@sdzii@
@my heart@|@sdzeey'@
@my hip@|@shk'eyy'@
@my house@|@shshax@
@my husband@|@shkéy'@
@my incisor@|@shinchetthxú'@
@my inner ear@|@sdzii@
@my intestines@|@shts'iig'@
@my jaw@|@shyeetth'enn'@
@my jugular@|@shk'oth tth'éegh'@
@my kidney@|@sts'edz@
@my knee@|@shgót@
@my kneecap@|@stsídahgót@
@my land@|@shnénn'@
@my lap@|@sdzehdíi@
@my leg@|@shxol'@
@my life@|@shsheey'@
@my lips@|@shdaamel'@
@my liver@|@shthét@
@my lower leg@|@sdzaad'@
@my lungs@|@sdzehdóg'@
@my maternal great uncle@|@stsêey@
@my mind@|@shiiní'@
@my molar@|@shxostl'axú'@
@my mother@|@snaa@
@my mother-in-law@|@shkéy' wunaa@
@my mother's mother@|@laan él stsuu@
@my mouth@|@shthaa@
@my mustache@|@shdaayáan'@
@my name is@|@shuusí'@
@my navel@|@sts'uuk'ée@
@my neck@|@shk'oth@
@my nephew@|@shhaaz@
@my nose@|@shintsii@
@my nose is bleeding@|@shintsii del@
@my nose is frozen@|@shintsii et-tenh@
@my nostril@|@shindíig@
@my older brother@|@shundaagh@
@my older sister@|@shaadeh@
@my older sister's boiling rice@|@shaadeh sâay ehmeets@
@my own@|@stsen@
@my palm@|@shintl'áa'@
@my pants@|@shehtlé'@
@my parents@|@shchox iin, shnaa iin@
@my pelvic bone@|@shk'éyy' tth'en'@
@my pelvis@|@shk'éyy'@
@my pinky finger@|@shinlaats'ógh' gáay'@
@my pubic hair@|@shtl'exxá'@
@my pupil@|@shnaxtl'ëdz@
@my rations@|@ch'ekéen' ég'eh@
@my rectum@|@shtthel@
@my relative@|@shudelken@
@my relatives@|@shehlâad@
@my ribs@|@shshäaddh'@
@my scalp@|@shtthits'ëdl'@
@my shin@|@sdzaad'@
@my shoulder@|@shxëddh'@
@my shoulder blade@|@shgaanchënn'@
@my siblings@|@sh'él ts'enindêg iin@
@my sinus@|@shinchit'ah@
@my sister in-law@|@shxeh@
@my sister-in-law@|@shtlee@
@my skin@|@shthéth@
@my skin is chapped@|@shthéth dét-ts'iits@
@my skull@|@shtthitth'en nn'@
@my sleeve@|@shmäad'@
@my spinal cord@|@shnehts'uu@
@my spouse@|@wu'él dhíhdaay@
@my upper back@|@shinxaan'@
@my younger brother is playing@|@shchel lii chox él délxos@
@my younger sister@|@shdéedz'@
@nagoonberry@|@naaxeey jêg@
@nail@|@ch'etsol'@
@narrow@|@dints'eeg@
@Native people@|@Dendeey Shuh Iin@
@Native person@|@Dendeh Shuh@
@near me@|@shaaxáh@
@nearby area above@|@nandóg@
@needle for beading@|@natl'és tl'ankaan@
@neighbors@|@aasheg' deltth'îiy iin@
@net@|@tehmíil@
@never@|@k'á@
@next door@|@na'asheg'@
@next to@|@k'eddh@
@night@|@teddh@
@nine@|@nilk'eden wuk'et@
@nipple@|@sht'uutthí'@
@no@|@éna'@
@no one@|@ch'ekól, kól@
@no one around me@|@shxghendah ch'ekól@
@noise is being made@|@shaxeh'aa@
@noon@|@dzeen taandîidz, dzeen tl'êd@
@northern flicker@|@ntsiil@
@northern harrier@|@kechents'êeg@
@northern lights@|@yaadiimeey@
@northern pike@|@uljaaddh@
@northern pintail@|@dzehndeedh@
@northern shoveller@|@daaleel@
@northern shrike@|@jîiz maay@
@Northway Village@|@K'ehtthîig@
@no-see-um@|@ch'etjog, xolgodz@
@not heavy@|@ndzâag@
@not in a good mood@|@tnetgetth@
@not long@|@k'á níntthógh@
@not very long ago@|@xnihk'ôdl dá'a@
@not yet@|@k'á tth'ihtáh@
@nothing at all@|@ts'iidee@
@nothing bothers him@|@shée' k'et'êey maa xúltsii@
@nothing there@|@díi t'êey kól@
@November@|@Demee Sa'@
@now@|@k'ah dú'@
@now he can light his fire@|@k'ôd ch'ah dekónn' dáhk'aal@
@oar@|@tach'íit'ôgh@
@obey him!@|@wuk'éetáa xghúhthet dé'@
@obsidian@|@mehts'eyh@
@occasionally@|@xatáatah@
@ocean@|@yaatuu chox@
@ochre@|@tseyh@
@October@|@nén' tenh k'et@
@old man@|@ch'etey@
@old Mansfield Village@|@Ch'enaa Ndêdh@
@old moose with curved horns@|@tl'ach'aakáal@
@old person@|@ch'endaaddh'@
@old time bark house@|@ch'elahts'eyh shax@
@old time fur coat@|@daa eek@
@old time mittens with fur in@|@deshoz jeyh@
@old time potlatch tripod@|@leghaas neltl'uun@
@old time skin pants@|@ch'ethéth thetl@
@old time willow ball@|@ch'uxeel@
@old time women's skin bag@|@tthel théth@
@old time wooden ladle@|@ts'ekaal@
@old woman@|@ts'est'é'@
@olden days@|@yaniidá'a@
@older boy@|@tsiil@
@oldsquaw@|@haháalá'@
@old-time stone adze@|@ttheetthil@
@on@|@k'et@
@on the land@|@nén' k'et@
@once@|@ts'ehlóx@
@one@|@ts'éhlêg@
@only@|@shée'@
@only one@|@ts'éhlêg shée@
@only that@|@êy shée'@
@open your mouth@|@thaaxdédhílts'aax@
@opening@|@ndú'@
@opposite@|@nilchitsedz'@
@orphan@|@tiitaay@
@osprey@|@xtth'ek@
@other person@|@nâan@
@otter@|@ntsíith@
@ouch@|@amah@
@our firewood is used up@|@neetsëdz' k'ét'áxdálneyh@
@our language@|@aòneg, nee'aandeg, neò@
@ours@|@neetsen@
@outdoors@|@nah'ôg@
@outer bark@|@ch'elaht'ûudz@
@outer birch bark@|@k'ii ts'edl'@
@outhouse@|@tsáa' shax@
@outside@|@nah'ôg@
@outside surface@|@wuk'et@
@over@|@wuteth@
@over there@|@ya'én'@
@overflow ice@|@geetth@
@overflow on ice@|@takaatú'@
@owl@|@mesiin, ts'uudzaagh@
@pacifier@|@ch'etsídáhk'ah@
@pack@|@ghahxeel, ghihxeel, ghinxeel, ts'axeel, xiyaxeel, yaaxeel@
@packsack@|@xeel@
@paddle@|@taat'ôgh, tach'et'ox, tach'iht'ox, tach'int'ox@
@paddle (1)@|@tach'aht'ox, tach'axet'ox, tayits'et'ox@
@padlock@|@ch'eldlíi'@
@pail@|@nadh'aay@
@paint@|@tseyh@
@pants@|@ch'ehtlé, thetl@
@pants pocket@|@ch'etlé' t'ah@
@pants pockets@|@ch'etlé' t'ah@
@paper@|@dináhtl'aa@
@parka@|@xey eek@
@part of@|@xáan'@
@partly cloudy@|@xah xú' k'oth xúnlee@
@partly dried meat@|@wuká'éegey@
@partner@|@nehlég'@
@pass mountain@|@teth@
@pass trail@|@laateth Tey@
@patchy fog over water@|@taashíits@
@path@|@tey@
@peak of a house@|@shax tthit'aag@
@pear@|@ch'edzaagh'@
@peeled birch bark@|@ch'elaats'eyh@
@pencil@|@ch'etnetl'edz'@
@peninsula@|@ldaa@
@people@|@dendeey, dendeey iin, koxt'een, koxt'een iin, koxt'een iin@
@people are gathered together@|@nilshíixatdeetl@
@person@|@dendeh@
@personal potlatch gift@|@jáay'@
@photograph@|@ch'eshïig'@
@pick@|@nahtseyh, nehtseyh, nektseyh, nihtseyh, ts'enehtseyh, xnehtseyh@
@pick out only short wood@|@tsets dink'odl shee t'ih'eh@
@pick up@|@ni'idháhdlah, ni'idhíhdlah, ni'idhíndlah, nidáh'a, nidahchúuth, nidáhkaa, nidáhtaa, nidáhtee, nidéedlah, nidekchúuth, nidéktee, nidíh'aa, nidihchúuth, nidíhkaa, nidíhtaa, nidín'aa, nidínkaa, nidíntaa, nidzihchúuth, nidzíhtee, nidzíi'aa, nidzíidlah, nidzíikaa, nidzíitaa, nixiydihch, nixiydíhtee, nixiydíi'aa, nixiydíidlah, nixiydíikaa, nixiydíitaa, niydihchúut, niydíhtee, niydíikaa, niydíitaa, niyidín'aa@
@picked it up something flat@|@nidekchúuth@
@picked up it a living animal@|@nidektee@
@picked up s.t. in a container@|@nidihkaa@
@picture@|@ch'eshiig'@
@pitch@|@dzéex@
@pity@|@teejuh@
@place is bad@|@tidaxdintthet@
@placenta@|@ts'enîin él'@
@planning wood@|@eksees@
@plants@|@nesheegh@
@plants are growing@|@tl'ox nesheegh@
@plate@|@tth'áak@
@play@|@dalxos, degxos, delxos, dilxos, dzelxos, xdelxos@
@playing cards@|@galdás@
@please remind me of it@|@meshexghuhndéyh de'@
@pliers@|@ch'iitl'eg@
@plover@|@theen ch'enelzhaay@
@pocket@|@ch'et'ah@
@pocket knife@|@seey tsêdl@
@point@|@ldaachíi@
@point of an island@|@ldaachíi@
@poke@|@ahts'ok, ekts'ok, ihts'ok, ts'ehts'ok, xiyehts'ok, yihts'ok@
@pole that skin is held@|@ch'ejeeyh@
@poles@|@dints'eeg@
@police@|@nach'udah'é'e@
@pond@|@menh@
@pool@|@tl'aas k'ée@
@poor quality@|@ts'antleeg@
@poor thing!@|@teejuh@
@poplar@|@t'áath@
@popped@|@deltétl@
@poque@|@shos tsaadh'@
@porcupine@|@ts'iit@
@Porcupine Creek@|@Ts'induul Ndiig@
@porcupine quill@|@ch'ox@
@porcupine quills are sharp@|@ts'iit ch'ox dehk'e@
@possessions@|@xuudlaay@
@possible@|@súle'@
@pot@|@ts'íitsiy tth'áak@
@potato@|@tsaath@
@potato chips@|@tsaath ttheel'@
@potatoes@|@teediiz@
@potlatch@|@xtíitl@
@potlatch food@|@ch'aa@
@pour@|@de'ihdiil, de'indiil, dedhahdiil, dets'indiil, dexiyindiil, deyindiil@
@pour the tea into the cup@|@ldîil tuutiil shíi dé'índiil@
@pray@|@xets'axnindeyh, xexaxnindeyh, xexnahdeyh, xexnedeyh, xexnihdeyh, xexnindeyh@
@preacher@|@giihii@
@prepared@|@u'ekshuu@
@prepared to act@|@u'egshuu@
@probably@|@êy gha súu', k'ént'eh, súle'@
@proud@|@daa súu' él'eh@
@prune@|@jêg chox@
@puddle@|@tuu tl'adéedlah@
@pull@|@ghahluuth, ghihluuth, ghinluuth, ts'aaluuth, xiyaaluuth, yaaluuth@
@punched through it@|@wuch'anekch'etth@
@punk@|@lts'iis@
@puppy@|@liigaay@
@puppy is walking ahead of him@|@lii gaay yittheh aahaal@
@pus@|@xeth@
@push@|@me'ektset, me'ihtset, yi'ehtset, yits'ehtset@
@push (1)@|@me'ahtset, xiye'ehtset@
@pussy willow@|@dahliigaay@
@put down@|@nádáh'aa, nádih'aa, nadin'aa, nádzín'aa, náydín'aa@
@put down (1)@|@nádíhtaa, nádíntaa, náxíydín'aa, náydíntaa@
@put down (2)@|@nádáhtaa, nádíhkaa, nádzíntaa, náxíydíntaa@
@put down (3)@|@nádáhkaa, nádínkaa, nádzínkaa, náydínkaa@
@put down (4)@|@naadindlah, nádíhdlah, náxíydínkaa, náydídlah@
@put down (5)@|@nádáhdlah, nádekchúuth, nádzíndlah, náxíydíndlah@
@put down (6)@|@nádahchúut, nádichúuth, nádzinchúuth, náydinchúuth@
@put down (7)@|@nádektee, nádiltee, náxíydinchúuth, náydintee@
@put down (8)@|@nádahtee, nádzintee, náxíydintee@
@put it away@|@staninleeyh@
@put it out@|@nayitnéhdek@
@put it there!@|@naa nínínleeyh@
@put on your clothes@|@na'it-tl'uh@
@put out the fire@|@kón' natnihdeex@
@put that stuff away right away@|@k'ah du t'êey stâninleeyh@
@quickly@|@xaltey, xen@
@quicksand@|@leet'ot@
@quills@|@ch'ox@
@quiver@|@k'aath@
@rabbit@|@gah@
@rabbit snare@|@gah gaal@
@rabbits are easily frightened@|@gah sh_ée' t'êey neljíit@
@rack@|@dahdzel@
@rack poles@|@dints'eeg@
@raft@|@xïith@
@rain@|@chaa@
@rain water@|@chaa tü'@
@rain water is dripping@|@chaa tú' dél'eetl@
@rainbow@|@saamíil@
@raised him@|@yitnelshaa@
@raisins@|@jêg gaay@
@rapidly moving water@|@tanint'eyh@
@rare@|@shí' éltel@
@rare (hard to find)@|@mexuntsîin@
@raspberry@|@danch'ög'@
@rations@|@xkéen'@
@raven@|@taatsáa'@
@raw meat@|@shí' éhtsel@
@rawhide stripes@|@xeyh@
@reach for it@|@unindiiyh@
@really@|@lá'a@
@really?@|@lá'á@
@rear@|@nandîidz@
@receded@|@tuu natet-tseth@
@recently it rained@|@xnihk'ôdl dá'a ghihchaa@
@red currant@|@daníhdûuy@
@red fox@|@naageddh@
@red necked grebe@|@ts'el@
@red-breasted merganser@|@tsoth@
@redpoll@|@diits ney@
@red-throated loon@|@ttheechaagh@
@regularly@|@xdiitndeyh@
@relative@|@wude'egken@
@relatives of mine@|@xuu'ude'egken iin@
@religious cross@|@jeliis@
@remember@|@me'aldéyh, me'egndéyh, me'ilndéyh, mets'elndéyh, xiy'e'eldéyh, ye'eldéyh@
@remove it@|@staninleeyh@
@rendered fat@|@ch'echaadz'@
@rendering@|@echees@
@rennet@|@wutsäag@
@resemble@|@eltsii@
@respected person@|@diichâagh@
@rest@|@na'alshéyh, na'egshéyh, na'elshéyh, na'ilshéyh, nats'elshéyh, naxelshéyh@
@return@|@na'ithshah, nanatdeetl, nanishshah, nanitshah, nats'itdeetl, naxitdeetl@
@rice@|@nindaa gaay, saay@
@rich@|@elxee@
@ridge@|@xak'íig@
@ridge pole@|@taandîidz deenii'aay, tthiindîidz denin'aay@
@ridge-line on mountain@|@ch'aak'iig@
@rifle@|@k'á'@
@right away@|@k'ah dú' t'êey@
@right here@|@jah deh@
@right side@|@xunsuu ts'ey@
@right there@|@esheg' deh@
@ring@|@laatth'aax@
@ring around sun@|@kelahdzemiil@
@ripe berries@|@nit-sii'@
@ripe blueberries@|@nit-síi'@
@ripples made by fish@|@luug täaddh'@
@river bank@|@meth@
@river mouth@|@taacheeg@
@road@|@tey@
@robber@|@ch'ene'îiy@
@Robertson River@|@Nihtsiil Ndiig@
@robin@|@súus@
@rock@|@tthee@
@rock outcrop@|@tthee dzönn'@
@rock ptarmigan@|@ddhel k'aal@
@rocks are laying down there@|@tthee xahshóg eedlah@
@roe@|@luug k'úu'@
@rom inland@|@yandêdz@
@roof@|@shax tthit'aag@
@roots@|@tsaath@
@rope@|@tl'uul@
@rope is coiled@|@tl'uul nétxots@
@rosehip@|@nchuuth@
@rotten ice@|@luut el'uh@
@rotten spruce@|@tatníitthôgh@
@rough and dry@|@det-ts'iits@
@round "hoop" of dipnet@|@éth dámaadh@
@round whitefish@|@xeltii@
@round-the-world man@|@yaamaagh telch'eegh@
@ruffed grouse@|@tsáa' ts'uug@
@rump@|@ch'inchenn'@
@rusted metal@|@ts'íitsiiy wu'at-tl'iidz@
@rusty blackbird@|@ch'ak ney@
@sack@|@saak@
@Salcha@|@Sahcheeg@
@saliva@|@séek@
@salmonberry@|@nkáatl@
@salt@|@lsel@
@saltshaker@|@lsel tiil@
@Sam Creek on the south side@|@Taak'etth Ndiig@
@Sam Lake@|@Ch'inchedl Mënn'@
@same amount@|@nilk'enel'aa@
@sand@|@thaayh@
@sandbar@|@thaayh téel@
@sandhill crane@|@deel@
@satisfied@|@ts'anedhegtek@
@saucer@|@ch'eketl'aagh'@
@save it until later@|@tthé' de'ukah xúh dhíndlah@
@saw the firewood@|@tsets intl'eyh@
@Sawmill Creek@|@Maa Ch'et-tl'eeg Ndîig@
@say it again@|@tëyy' xú' dínih@
@scarf@|@ttheet'aal@
@scattered about@|@nilch'edûug tah@
@scaup@|@naltthogh@
@school@|@xáxdeldiix shax@
@scissors@|@létdeldôdz@
@scorching it@|@ekts'étl@
@scraped skin ready for tanning@|@ghinttháa'a@
@scraper rock@|@tthee ch'ithogh@
@scraper tool for removing@|@náhtthel@
@scraper tool for tanning skins@|@ch'itthogh'@
@scraps of food@|@shí' duul'@
@screaming@|@ihsel@
@screams@|@delts'ux@
@seam in sewing@|@ch'ekáa' k'ée@
@Sears Creek@|@T'ees K'en' Chox Ndiig@
@seed@|@natnalsheegh, wunihtth'eey'@
@seldom@|@nilch'eduug tah, xaatáa tah@
@semipalmated plover@|@theen ch'enelzhaay@
@September@|@wunenh ch'et'äa' dit-tsiig@
@settled@|@nixunin'aa@
@settlement@|@keey@
@seven@|@nilk'etaag wuk'ed@
@sew quickly but be careful@|@xaltey na'it-tl'úh sudélgha@
@sewing kit@|@t'ahxúdlâay@
@sewing needle@|@tl'ankaan@
@shade from the sun@|@saa naat'aagh@
@shadow of the sun@|@saa naat'aagh@
@shale@|@tthee ch'ithogh@
@shallow hole in the ground@|@xosk'ée@
@shaman@|@deshen@
@share it@|@nilts'i'alsheeyh@
@sharp-shinned hawk@|@keech'otl@
@sharp-tailed grouse@|@ch'ehtêeg@
@shavings@|@ch'esees@
@she asks you@|@nudehket@
@she cherishes him@|@maa yidint'eyh@
@she cuts the fish@|@luug et'aatth@
@she definitely said that@|@lá'a ch'e le' sítnih@
@she dressed expensive clothes@|@ch'el' diitl'eddh shíi ét-tluu@
@she drove me crazy@|@sh'él stadaxdénín'aa@
@she dug it out of the ground@|@xáyelé'@
@she fixed it@|@shaa tth'iitaxdéníneeyh@
@she had a baby@|@ts'enîin nadihtee@
@she has a fire burning@|@kón' déhk'én'@
@she hit him@|@yíhgót@
@she ignores me@|@shch'áa tét-taatth@
@she is@|@sínt'eh@
@she is angry with me@|@sts'í' ts'ani'elt'eh@
@she is bashful@|@unétshaa@
@she is begging for food@|@shí' gha dach'udelkét@
@she is carry around her sewing@|@nâynettl'ú'u nateleek@
@she is chipping it@|@yehch'ék@
@she is conscious@|@xó xatndéyh@
@she is drifting along@|@tayahteel@
@she is jumping up and down@|@ya'ehshék@
@she is lying@|@dadelshék@
@she is making him@|@yech'ehdlox@
@she is mean@|@wushíi xnét-thet@
@she is pointing at me@|@sts'í' ts'utéh'ah@
@she is pregnant@|@ts'enîin él nt'eh@
@she is present@|@jah deh na'ethet@
@she is pretty@|@ninsuu@
@she is putting on make-up@|@na'etnetmenh@
@she is raising him@|@yetnelsheex@
@she is scattering it@|@naytetdek@
@she is scraping a hide@|@ch'ethéth étthox@
@she is separating the stomach@|@ch'emet ehketl@
@she is sewing moccasins@|@kentsiith nâanetl'ú@
@she is Silas' younger sister@|@Silas wudéedz' sínt'eh@
@she is skating on the ice@|@luu k'et nátéljeyh@
@she is sliding down@|@xda'eljeyh@
@she is smart@|@ndaxdinshaa@
@she is standing right here@|@jah deh na'ethet@
@she is too lazy to bring@|@tsets ts'í' ts'axdetdîig@
@she is walking backwards@|@chenent'aagh ts'í' áahaal@
@she is walking slowly@|@xá' tah aahaal@
@she left in a huff@|@stá'etdzá'@
@she moves@|@nindah@
@she overslept@|@xeelach'uhté'@
@she pointed at him@|@yits'í' tsutéh'ah@
@she prayed@|@xexnindeyh@
@she prays for the well-being@|@dets'inkeey gha dach'udelkét@
@she promised him@|@yidátl'áxdin'aa@
@she pulled a rope@|@tl'uul teelúunin'aa@
@she pulled it out@|@xáyínluuth@
@she raised her grandchild@|@dechâay nelshaa@
@she rasied him@|@yinelshaa@
@she respects my grandfathers@|@stsey iin dihcháax@
@she rushed at him@|@yits'í' tét-tets@
@she scorched it@|@laadéluut@
@she seldom visits me@|@xaatáa tah shee sh'él éedaax@
@she shrieked away from me@|@shch'áa ésel@
@she slapped me@|@shneekét@
@she stayed with us@|@nee'él ghindá'@
@she walked around on the hill@|@xak'íig lóoníhshah@
@she went away in ange@|@stá'ilch'éex@
@she went away in anger@|@stá'ilch'éex@
@she went to a place@|@xuts'í' téeshaay nídét-'ii@
@Sheep Creek@|@Demee Ndaag@
@she's combing it@|@yenehseel@
@she's digging in the ground@|@nén' egot@
@she's going to make a potlatch@|@ldîil téhtsii, xtéetíitl@
@she's skinny because he's sick@|@ehts'iik dá'a ts'enh nelgeyh@
@shí' gha dach'udelkét@|@she is begging for food@
@shine the light on me@|@shenihdzeeyh@
@shiny beads@|@nat-tl'êdz nihkón'@
@shirt@|@dlaat eek, eek@
@shock@|@edzíi'@
@shooting star@|@sén' tsáan'@
@shore@|@taamâagh@
@short@|@dink'odl, nink'odl@
@short distance@|@xnink'odl@
@short time ago@|@nihkodl dáa'@
@short-eared owl@|@ch'enishchek@
@shortening@|@xee@
@shoveler@|@daaleel, daalemets@
@shrew@|@tsudaakeey@
@shrike@|@jîiz maay@
@sickness@|@ts'iik@
@side@|@wuts'ey@
@side by side@|@nilk'eddh@
@Silas at home@|@Silas shax gha naxaldek@
@Silas' dog is sleeping too@|@Silas lïig' chí eetee@
@silverberry@|@nihmá'@
@similar@|@k'eh@
@similar to each other@|@nilk'eh@
@simple@|@shée' k'et'êey@
@sinew@|@tth'éex@
@sister's child@|@sh'aaz@
@sit beside me@|@shk'eddh didhindah@
@sit by the edge of the cliff@|@xdáag dídhíndah@
@six@|@nilk'etaag@
@skeleton@|@dendeh tth'ënn'@
@skin blanket@|@ch'ethéth ts'ed'@
@skin stretcher@|@ch'eshítadi'aay@
@skirt@|@ch'etl'áh théth@
@sled brake@|@kexnats'él@
@sled cover@|@xetl théth@
@sled handlebars@|@xetl tíi@
@sled runner@|@xetl keetl'aad@
@sled stanchion@|@xetl dzaad'@
@sleet@|@ch'et-suux@
@slept deeply@|@shíi nehté'@
@slippers@|@kentsiith@
@slope of a hill@|@teyh k'iig@
@sloping ridge@|@xuk'iig@
@slowly@|@xá' tah@
@small@|@gaay@
@small amount@|@xá' xuh@
@small creek@|@ndá'@
@small falcon that flies fast@|@ttheetsen@
@snow fleas@|@shétth kadel@
@snow is slushy@|@shétth nitdzeex@
@snow on trees fell off@|@dahshêddh na'ál'uuk@
@snowshoe@|@aayh, ch'ed@
@snowshoe awl@|@ch'ed@
@snowshoe drill@|@xnídeltâadh@
@snowy owl@|@shétth ch'emaa@
@soaked through with grease@|@xee tlok@
@sockeye salmon@|@luug delt'el@
@soft mud@|@leet'ot@
@soft white sticky pitch@|@dzéex tl'ey'@
@solar halo@|@kelahdziimiil@
@sole of my foot@|@shkeetl'áa'@
@somebody gave him@|@wudaagh' tsetl ni'it-'aa@
@someone home alone@|@kón' k'ée éedah@
@someone who looks pitiful@|@teejuh kadilht'eh@
@someone will bury something@|@chaatsah@
@something cheap@|@diitlog@
@something fell in a gap@|@nilk'ée dálneyh@
@something fermented@|@nit-tsiidl@
@something funny is happening@|@maa tsaa xal'eh@
@something inexpensive@|@diitl'og@
@something is disliked@|@shaa ts'í' néet'ey@
@something is making noise@|@xédáxdetdéyh@
@something really crooked@|@net-tth'aagh@
@something slimy@|@ch'etl'ëey'@
@something which is divided@|@nildze'alshaay@
@sorry song sung at potlatch@|@dzeteex ch'eliik@
@sour@|@tnít-tthúuk@
@sour fish@|@luug nitsidl'@
@space between my fingers@|@shinlaagez@
@spewed out@|@xá'átshos@
@spherical object@|@ch'exëez'@
@spirit of someone deceased@|@mink'âadz@
@split and dried whitefish@|@tsalkeyh@
@sprout@|@xanihshaa@
@spruce bark house@|@ch'elaats'eyh shax@
@spruce roots@|@xeyh@
@squirrel@|@dlêg@
@star@|@sén'@
@start the car up@|@natet-leg nadihk'aayh@
@starting it up@|@dekk'aayh@
@stay away from him@|@wuch'á' énn' xedilda'@
@steel@|@ch'itsiy@
@stepped in the ditch and fell@|@xosk'ée xu'éddh él xu'althet@
@stern of a boat@|@ts'eyh tl'á'@
@stick used for stirring fire@|@gés@
@stinging nettles@|@guu xoz'@
@stored my food@|@nîinekchúut@
@straighten up@|@naxahsú'@
@strips of meat@|@nat-ttheg@
@strong (bitter) tea@|@ldîil tatnínts'îig@
@stuffed it in@|@yeltthúux@
@stump of branch@|@ch'ethuchenn'@
@sucker fish@|@tats'aht'ôl@
@summer@|@sheen@
@sun@|@saa@
@sun is shining@|@xesadin'aa@
@surf scoter@|@taatsáa' ndêl, taatsáa' ndêl@
@t is rancid@|@tnít-tthúuk@
@table knife@|@seey tthí'@
@take a sip from this@|@wuts'enh ch'ilts'eex@
@take care of it@|@wuk'ánihtá'@
@take only that one@|@êy shée' unindiih@
@take some rations along@|@xkéen'@
@talk a little bit@|@xá' xuh xunhéeyh@
@talk slowly@|@xá' tah xninhéeyh@
@Tanana River@|@Tthiitú'@
@tea pot lid@|@ldîil tiil daadîid@
@teapot@|@ldîil tiil@
@telling a joke@|@tsáa dadedlih@
@tent@|@taathéth@
@that boat is ours@|@naa ts'eyh neets'en sínt'eh@
@that dog of ours is old@|@nâan neeliig' átshaan sínt'eh@
@that is a shirt@|@êy eek sínt'eh@
@that is enough@|@k'ôd xúu' shee@
@that one@|@nâan@
@that one too@|@êy chíh chích'ah le'@
@that sound is bothering me@|@sh'él nádájéhlaay@
@that way is okay@|@xú' dé' t'êey@
@that which is divided@|@nildze'elsheeg@
@that which is struck@|@ch'elxel@
@that's actually what I said@|@xúu' ch'e lé' díhney@
@that's adequate@|@êy t'o xúu' shee'@
@that's all now@|@k'ôd xú'ushee@
@that's correct@|@láan ch'e lé'@
@that's fine@|@dú' kah@
@that's it!@|@xúu shee!@
@that's my relative@|@wude'egken sínt'eh@
@that's okay@|@êy t'o@
@that's right@|@xú' ch'e le'@
@that's the way we came@|@xuhndíig ch'e ts'enindedl@
@thawing@|@ta'udeelet@
@the baby is crying@|@ts'enîin gaay etsax@
@the baby is sleeping@|@ts'enîin eeteen gha dadehxeetl@
@the bank is crumbling@|@meth níideex@
@the bannock really tastes good@|@léets xunsúu t'êey mexaldéyh@
@the berries shriveled up@|@jêg natelts'uuts@
@the best@|@ch'etth'íh shíi nsuu@
@the bird flew away@|@tsuugaay stanínínt'ek@
@the black one@|@dat-sey@
@the boat landed@|@ts'eyh kétl'á'eeláat@
@the bottom of my moccasin@|@shkentsiith keetl'aa@
@the boy is dragging wood@|@tsiil tsets nadatluuth@
@the boy is gathering wood@|@tsiil tsets nehtseyh@
@the brown one@|@deltthogh@
@the cache is completely empty@|@dahtsaa shíi díi t'êey kól@
@the car is broken down@|@aalel etxotl@
@the car is running@|@natet-leg deek'én'@
@the caribou are eating moss@|@wudzih ch'inshu' eldiil@
@the clothes are drying@|@ch'el' nadeltthayh@
@the cup is empty@|@tuutii wushíi ch'ekôl@
@the dog bit me@|@lii shíi'él@
@the dog is jumping around@|@lii ya'etkeyh@
@the dog is licking its plate@|@lii detth'áag' éhtth'eex@
@The dog is running@|@lii atdetth@
@the dogs are barking@|@lii iin xehttheh@
@the dogs are fighting@|@lii iin le'etxaa@
@the door is closed@|@nidátníntaa@
