@English@|@Czech@
@vanities@|@marnivosti@
@vanity@|@domýšlivost, ješitnost, marnivost@
@vanity plate@|@poznávací značka@
@vanquish@|@porazit, potlačit, přemoci, zdolat, zvítězit@
@vanquished@|@přemožený@
@vanquisher@|@přemožitel@
@vanquishes@|@přemáhá@
@vanquishing@|@přemožení@
@vans@|@dodávky@
@vantage@|@výhoda@
@vantage point@|@hledisko@
@Vanuatu@|@Vanuatu@
@vapid@|@nudný@
@vapidity@|@nudnost@
@vapidly@|@nudně@
@vapidness@|@nudnost@
@vapor@|@výpar@
@vapor trail@|@čára za tryskovým letadlem@
@vaporing@|@vypařování@
@vaporisation@|@měnění na kouř, odpařování@
@vaporise@|@vypařovat@
@vaporised@|@odpařoval, vypařoval@
@vaporization@|@vypařování@
@vaporize@|@vypařovat@
@vaporized@|@odpařoval, vypařoval@
@vaporizer@|@odpařovač, rozprašovač@
@vaporous@|@mlhavý, párový, výpary@
@vapors@|@výpary@
@vapory@|@mlžný@
@vapour@|@lehká mlha, pára, výpar@
@vaquero@|@kovboj@
@Varanasi@|@Varanásí@
@variability@|@proměnlivost@
@variable@|@proměnlivý, proměnná, proměnný, variabilní@
@variableness@|@proměnlivost@
@variables@|@proměnné@
@variably@|@proměnně@
@Varian@|@Varian@
@variance@|@odchylka@
@variances@|@odchylky@
@variant@|@varianta@
@variantly@|@alternativně@
@variants@|@varianty@
@variate@|@náhodná veličina@
@variation@|@variace@
@variational@|@variační@
@variations@|@variace@
@varicolored@|@pestrobarevný@
@varicose@|@křečový, varikózní@
@varicose veins@|@křečové žíly@
@varied@|@pestrost, rozličný, rozmanitý@
@variegate@|@zpestřit@
@variegated@|@pestrobarevný, různobarevný, zpestřený@
@variegation@|@zpestření@
@varies@|@liší se@
@varietal@|@rozmanitý@
@varieties@|@odrůdy@
@variety@|@odrůda, rozmanitost@
@variety is the spice of life@|@různorodost je kořením života@
@variety show@|@varietní přestavení@
@variety store@|@smíšené zboží@
@various@|@proměnlivý, rozmanitý, různý@
@variously@|@různě@
@varlet@|@darebák, ničema, pacholek@
@varmint@|@otrava@
@varnish@|@lak@
@varnishes@|@natírá@
@varsity@|@univerzitní@
@vary@|@kolísat, lišit se, obměňovat, odlišit, odlišovat se, změnit, zpestřit@
@varying@|@lišící se, měnivý, proměnný@
@varyings@|@odlišnosti@
@vascular@|@cévní@
@vase@|@váza@
@vasectomy@|@vasektomie, vázektomie@
@Vaseline@|@vazelína@
@vases@|@vázy@
@vasomotor@|@vazomotorický@
@Vasquez@|@Vasquez@
@vassal@|@nevolník, poddaný, vazal@
@vassalage@|@nevolnictví@
@Vassar@|@Vassar@
@vast@|@nekonečný, obrovský, ohromný, rozlehlý, rozsáhlý@
@vaster@|@rozsáhlejší@
@vastest@|@nejrozsáhlejší@
@vastly@|@nesmírně, rozsáhle@
@vastness@|@rozsáhlost@
@vat@|@káď, nádrž@
@Vatican@|@město - Vatikán, Vatikán@
@Vatican City@|@město Vatikán@
@Vaticanization@|@vatikanizace@
@Vaticanizations@|@vatikanizace@
@Vaticanize@|@vatikanizovat@
@vats@|@otevřené nádoby na tekutiny@
@vaudeville@|@estráda, kabaret, varieté@
@vaudevillian@|@kabaretní@
@Vaughan@|@Vaughan@
@Vaughn@|@Vaughn@
@vault@|@klenba, trezor@
@vault over@|@přeskočit@
@vaulter@|@skokan o tyči@
@vaulting@|@druh běhu koně, klenutí, překlenutí@
@vaulting horse@|@běžící kůň@
@vaults@|@trezory@
@vaunt@|@chvástat se@
@vaunted@|@chlubivý@
@veal@|@telecí maso, telecí@
@vector@|@vektor@
@vectorization@|@vektorizace@
@vectorizing@|@vztahující se k vektorům@
@vectors@|@vektory@
@Veda@|@ženské křestní jméno@
@veejay@|@video diskžokej@
@veer@|@otočení, prudce zatočit, stočení@
@veered@|@prudce zatočený@
@veering@|@prudké zatočení@
@veers@|@prudce zatáčí@
@veg@|@hovorově zelenina, zelenina@
@veg out@|@nečinně trávit čas@
@Vega@|@Vega@
@vegan@|@vegetarián@
@Vegas@|@Vegas@
@vegetable@|@zelenina, zeleninový@
@vegetables@|@zelenina@
@vegetarian@|@vegetarián, vegetariánka@
@vegetarian dishes@|@bezmasá jídla@
@vegetarianism@|@vegetariánství@
@vegetarians@|@vegetariáni@
@vegetate@|@bujet, růst jako rostlina, vegetovat, vést pasivní existenci@
@vegetated@|@porostlý vegetací@
@vegetates@|@roste jako rostlina@
@vegetating@|@rostoucí jako rostlina@
@vegetation@|@rostlinstvo, vegetace@
@vegetational@|@vegetační@
@vegetative@|@vegetativní@
@veggie@|@vegetarián@
@veggies@|@vegetariáni@
@vehemence@|@prudkost@
@vehemency@|@prudkost@
@vehement@|@prudký@
@vehemently@|@prudce, vehementně@
@vehicle@|@prostředek, vozidlo, vozu, vůz@
@vehicles@|@vozidla, vozy@
@vehicular@|@automobilový, dopravní@
@veil@|@zahalit, závoj@
@veiled@|@zahalený@
@veiling@|@závoj@
@veils@|@zakrývá závojem, závoje@
@vein@|@žíla@
@veined@|@žilnatý@
@veining@|@žilkování@
@veins@|@žíly@
@velar@|@velára@
@Velasquez@|@Velasquez@
@Velazquez@|@Velazquez@
@Velcro@|@suchý zip@
@veld@|@druh stepi na jihu Afriky@
@veldt@|@druh stepi na jihu Afriky@
@Vella@|@Vella@
@vellum@|@pergamen@
@velocipede@|@kolo@
@velocities@|@rychlosti@
@velocity@|@rychlost@
@velodrome@|@velodrom@
@velour@|@látka podobná sametu, samet, velur@
@velours@|@aksamit, látky podobné sametu, samet, velur@
@velum@|@membrána houby, vélum@
@velvet@|@samet@
@velveteen@|@aksamit, látka podobná sametu, velvetin@
@velvety@|@sametově, sametový@
@venal@|@prodejný@
@venality@|@prodejnost@
@venally@|@prodejně@
@venation@|@žilkování@
@vend@|@prodávat@
@vender@|@prodávající, prodejce@
@vendetta@|@krevní msta@
@vendible@|@prodejný@
@vending@|@prodávání@
@vending machine@|@automat@
@vendor@|@obchodník, prodejce@
@vendors@|@prodejci@
@veneer@|@dýha, pozlátko@
@venerability@|@ctihodnost@
@venerable@|@ctihodný@
@venerate@|@uctívat@
@veneration@|@uctívání@
@venereal@|@pohlavní, venerický@
@venereal disease@|@pohlavní choroba@
@Venetia@|@Benátsko@
@venetian@|@benátský@
@Venetian blind@|@druh žaluzie@
@Veneto@|@část Itálie@
@Venezuela@|@Venezuela@
@Venezuelan@|@Venezuelan@
@vengeance@|@msta, pomsta@
@vengeful@|@mstivý@
@vengefully@|@mstivě@
@venial@|@drobný@
@Venice@|@Benátky, Venice@
@venison@|@jelení, maso z jelena, srnci, srnčí, zvěřina@
@Venn@|@Venn@
@Venn diagram@|@množinový diagram, Vennův diagram@
@venom@|@jed@
@venomous@|@jedovatý@
@venomously@|@jedovatě@
@venous@|@žilní@
@vent@|@odplynovat, odvzdušnit, otvor, průduch, ventil, ventilovat, větrací otvor, větrání, větrat, výfuk, vzduchovod@
@vented@|@s větráním, ventilovaný@
@ventilate@|@provětrat, větrat@
@ventilated@|@větraný@
@ventilates@|@větrá@
@ventilating@|@větrající@
@ventilation@|@větrání@
@ventilator@|@ventilátor, větrák@
@venting@|@ventilace, větrání@
@ventral@|@břišní@
@ventrally@|@ventrálně@
@ventricle@|@jedna z dutin v mozku, srdeční komora@
@ventricles@|@srdeční komory@
@ventricular@|@dutinový@
@ventriloquism@|@břichomluvectví@
@ventriloquist@|@břichomluvec@
@ventriloquy@|@břichomluvectví@
@vents@|@větrací otvory@
@Ventura@|@Ventura@
@venture@|@odvážit se, podnik, riskovat, vystavit riziku@
@venture capital@|@rizikový kapitál@
@ventured@|@podniknutý@
@venturer@|@podnikatel@
@venturers@|@podnikatelé@
@ventures@|@podniky@
@venturesome@|@odvážný@
@venturesomely@|@odvážně@
@venturesomeness@|@odvážnost@
@venturing@|@cestování do nebezpečí@
@venturings@|@cesty do nebezpečí@
@venturous@|@hazardní@
@venturously@|@hazardně@
@venturousness@|@hazard@
@venue@|@místo@
@venues@|@místa činu@
@Venus@|@Venus, Venuše@
@Venus flytrap@|@hmyzožravá rostlina@
@Vera@|@Vera@
@veracious@|@pravdomluvný@
@veraciously@|@pravdomluvně@
@veracity@|@pravdomluvnost@
@Veracruz@|@město - Mexiko@
@veranda@|@veranda@
@verandah@|@veranda@
@verandas@|@verandy@
@verb@|@sloveso@
@verbal@|@slovní@
@verbal noun@|@slovesné podstatné jméno@
@verbalise@|@verbalizovat@
@verbalization@|@formulace, verbalizace, vyjádření@
@verbalize@|@verbalizovat, vyjádřit slovy@
@verbalized@|@vyjádřený slovy@
@verbalizes@|@vyjadřuje slovy@
@verbalizing@|@vyjadřující slovy@
@verbally@|@slovně@
@verbatim@|@doslovný@
@verbena@|@druh subtropické rostliny@
@verbiage@|@mnohomluvnost, upovídanost@
@verbose@|@mnohomluvný@
@verbosely@|@mnohomluvně, upovídaně@
@verboseness@|@upovídanost@
@verbosity@|@mnohomluvnost, upovídanost@
@verboten@|@zakázaný@
@verbs@|@slovesa@
@verdant@|@zelenající se, zelený@
@verdantly@|@zelenavě@
@Verde@|@Verde@
@Verdi@|@Verdi@
@verdict@|@rozsudek, verdikt@
@verdigris@|@měděnka@
@verdure@|@svěží zeleň, zeleň, zelené listoví@
@verge@|@pokraj@
@verger@|@kostelník@
@verges@|@krajnice@
@Vergil@|@římský poeta@
@verging@|@hraničící, přecházející@
@verifiability@|@ověřitelnost@
@verifiable@|@ověřitelnost@
@verification@|@ověření, verifikace@
@verifications@|@ověření@
@verified@|@ověřený@
@verifier@|@ověřovatel, přezkušovač@
@verifiers@|@ověřovatelé@
@verifies@|@ověřuje@
@verify@|@ověřit, prošetřit@
@verifying@|@ověřující@
@verisimilitude@|@pravděpodobnost@
@veritable@|@opravdový@
@veritably@|@opravdově@
@verity@|@pravda@
@Verlag@|@německy nakladatelství@
@Vermeer@|@Vermeer@
@vermicelli@|@nudle, těstoviny užší než špagety@
@vermiculite@|@vermikulit@
@vermiform@|@červovitý tvar@
@vermiform appendix@|@slepé střevo@
@vermilion@|@rumělka, rumělková barva, rumělkový@
@vermillion@|@rumělka, rumělková barva@
@vermin@|@havěť, otravný člověk@
@verminous@|@škodlivý@
@Vermont@|@Vermont@
@Vermonter@|@obyvatel Vermontu@
@vermouth@|@vermut@
@Vern@|@mužské křestní jméno@
@Verna@|@Verna@
@vernacular@|@argot, dialekt, dialektický, domorodý, hantýrka, hovorový, krajový, lidový, mateřština, národní jazyk, nářečí, nářeční výraz, nářeční, slang, žargon@
@vernal@|@jarní@
@Verne@|@Jules Verne (1828-1905), Verne@
@vernier@|@vernier@
@Vernon@|@Vernon@
@Verona@|@Verona@
@verruca@|@bradavice@
@Versailles@|@město - Francie@
@versatile@|@mnohostranný, univerzální@
@versatility@|@univerzálnost@
@verse@|@básnit, poezie, verš@
@versed@|@být zručný, zběhlý, zkušený@
@verses@|@verše@
@versicle@|@veršík@
@versification@|@veršování@
@versifier@|@osoba vymýšlející verše@
@versify@|@básnit, veršovat@
@version@|@verze@
@versions@|@verze@
@verso@|@zadní strana@
@versus@|@proti@
@vertebra@|@obratel@
@vertebrae@|@obratel, obratle@
@vertebral@|@obratlový@
@vertebrate@|@obratlovec@
@vertebrates@|@obratlovci@
@vertex@|@vrchol@
@vertical@|@kolmý, svislý, vertikální@
@verticality@|@svislost, vertikálnost@
@vertically@|@svisle, vertikálně@
@verticalness@|@svislost@
@vertices@|@vrcholy@
@vertiginous@|@působící závrať, závrativý, závratný@
@vertigo@|@závrať@
@verve@|@elán, verva@
@very@|@hodně, moc, velice, velmi@
@very high frequency@|@velmi vysoká frekvence@
@very low frequency@|@velmi nízká frekvence@
@vesicle@|@malý puchýř, měchýřek, puchýřek@
@vesicular@|@puchýřovitý@
@vesiculate@|@puchýřkovatět, tvořit puchýřky@
@vesper@|@večernice@
@Vespucci@|@italský mořeplavec@
@vessel@|@nádoba, plavidlo@
@vessels@|@nádoby, plavidla@
@vest@|@nátělník, tílko, tričko@
@vestal@|@cudná žena, panenský@
@vestal virgin@|@panna@
@vested@|@nezadatelný, právně zaručený@
@vestibular@|@vestibulární, vestibulový@
@vestibule@|@vestibul@
@vestige@|@stopa@
@vestiges@|@stopy@
@vestigial@|@nevyvinuté zvíře, pozůstatkový, zbytkový@
@vestigially@|@nevyvinutě@
@vestment@|@roucho@
@vest-pocket@|@kapesní@
@vestry@|@místnost v kostele, sakristie@
@vestryman@|@člen farní rady@
@vests@|@uděluje, vesty@
@Vesuvius@|@Vesuv@
@vet@|@prohlédnout, veterinář@
@vetch@|@druh popínavé rostliny@
@veteran@|@veterán, vysloužilec@
@veterans@|@veteráni@
@Veterans Day@|@11. listopadu, den veteránů@
@veterinarian@|@veterinář@
@veterinarians@|@veterináři@
@veterinary@|@veterinářský@
@veterinary surgeon@|@veterinář@
@veto@|@veto, vetovat, zákaz@
@vetoed@|@vetovaný@
@vetoer@|@vetující@
@vetoes@|@veta@
@vets@|@zvěrolékaři@
@vetted@|@prověřil, zkontroloval@
@vetting@|@lustrování, prověřování@
@vex@|@otravovat, rozčilovat, soužit, sužovat, trápit@
@vexation@|@otravování, trápení@
@vexatious@|@otravný@
@vexatiously@|@otravně@
@vexed@|@otravovaný, ožehavý, rozmrzelý@
@vexes@|@otravuje@
@vexing@|@otravování@
@via@|@prokov, přes, skrz@
@viability@|@uskutečnitelnost, životaschopnost@
@viable@|@realizovatelný, uskutečnitelný, životaschopný@
@viably@|@uskutečnitelně, životaschopně@
@viaduct@|@viadukt@
@vial@|@lahvička, nádobka@
@vials@|@lahvičky, nádobky@
@viand@|@vynikající jídlo@
@viands@|@lahůdky, vynikající jídla@
@vibe@|@vibrace@
@vibes@|@vibrace, vibrafon@
@vibraharp@|@vibrafon@
@vibrancy@|@živost@
@vibrant@|@chvějivý, plný života, pulsující, sytý, vibrující, zářivý, zvučný@
@vibrantly@|@živě@
@vibraphone@|@vibrafon@
@vibraphonist@|@vibrafonista@
@vibrate@|@chvět se, chvět, kmitat, rezonovat, vibrovat@
@vibrated@|@chvějící se, vibroval, vibrující@
@vibrating@|@vibrační, vibrující@
@vibration@|@chvění, kmit, kmitání, otřes, vibrace, záchvěv@
@vibrational@|@vibrační@
@vibrationally@|@vibračně@
@vibrations@|@kmity, otřesy, vibrace, záchvěvy@
@vibrato@|@způsob zpěvu@
@vibrator@|@vibrátor@
@vibratory@|@kmitavý, vibrační@
@viburnum@|@druh keřů, kalina@
@vicar@|@farář, vikář@
@vicarage@|@fara@
@vicarious@|@zastupující@
@vicariously@|@zprostředkovaně@
@vicariousness@|@zprostředkovanost@
@vice@|@neřest, svěrák, zlozvyk@
@vice admiral@|@viceadmirál@
@vice presidency@|@viceprezidentství@
@vice squad@|@mravnostní policie@
@vice versa@|@naopak@
@vice-admiral@|@viceadmirál@
@vice-chancellor@|@vicekancléř@
@vicegerent@|@místodržitel@
@vicennial@|@opakující se po 20 letech@
@vice-presidency@|@vice-prezidentství@
@vice-president@|@místopředseda, viceprezident@
@vice-presidential@|@týkající se viceprezidenta@
@viceregal@|@místokrálovský@
@viceroy@|@místokrál@
@vices@|@neřesti@
@Vichy@|@město ve Francii@
@vichyssoise@|@druh polévky@
@vicinity@|@blízké okolí, blízkost, sousedství@
@vicious@|@zlý@
@vicious circle@|@bludný kruh@
@vicious cycle@|@bludný kruh@
@viciously@|@zle, zlomyslně@
@viciousness@|@krutost@
@vicissitude@|@proměnlivost@
@vicissitudes@|@proměnlivosti@
@Vickers@|@Vickers@
@Vicksburg@|@město v USA@
@Vicky@|@ženské křestní jméno@
@victim@|@oběť@
@victimisation@|@diskriminace, obětování@
@victimise@|@diskriminovat, obětovat, pronásledovat@
@victimised@|@diskriminovaný, pronásledovaný@
@victimization@|@pronásledování@
@victimize@|@pronásledovat@
@victimized@|@pronásledovaný@
@victimizer@|@pronásledovatel@
@victimizers@|@pronásledovatelé@
@victimizes@|@pronásleduje@
@victimizing@|@pronásledující@
@victimless@|@bez oběti@
@victims@|@oběti@
@victor@|@vítěz@
@Victoria@|@hl.m. - Seychely, Victoria@
@Victorian@|@Victorian@
@victories@|@vítězství@
@victorious@|@vítězný@
@victoriously@|@vítězně@
@victors@|@vítězi@
@victory@|@vítězství@
@Victrola@|@značka gramofonů@
@victual@|@jídlo@
@victualer@|@hostinský@
@victuals@|@potraviny@
@vicuna@|@druh přežvýkavce@
@Vida@|@Vida@
@Vidal@|@Vidal@
@videlicet@|@jinými slovy@
@video@|@video@
@video camera@|@video kamera, videokamera@
@video display terminal@|@terminál s obrazovkou@
@video game@|@videohra@
@video jockey@|@video žokej@
@video recorder@|@video, videomagnetofon, videorekordér@
@videocassette@|@videokazeta@
@videocassette recorder@|@video, videorekordér@
@videoconferencing@|@videokonference@
@videodisc@|@videodisk@
@videodisk@|@videodisk@
@videophone@|@video, videotelefon@
@videotape@|@obrazový telefon, videokazeta@
@videotape recorder@|@video, videorekordér@
@videotaped@|@nahraný@
@videotapes@|@videokazety@
@vie@|@soupeřit@
@Vienna@|@hl.m. - Rakousko, Vídeň@
@Viennese@|@vídeňský@
@Vientiane@|@hl.m. - Laos@
@vier@|@soupeř@
@vies@|@soupeří@
@Vietnam@|@Vietnam@
@Vietnamese@|@vietnamský@
@view@|@hledisko, názor, pohled, prohlédnout, prohlídnout, prohlížet, vidět, výhled, vyhlídka@
@View@|@View, Zobrazení@
@viewable@|@pozorovatelný, zobrazitelný@
@viewed@|@pozorovaný, viděl, viděný@
@viewer@|@divák, kukátko, prohlížeč@
@viewers@|@diváci@
@viewfinder@|@hledáček@
@viewing@|@prohlídka, prohlížení@
@viewpoint@|@hledisko, pohled, pozorovací místo, stanovisko, výhled@
@viewpoints@|@hlediska@
@views@|@pohledy@
@vigesimal@|@vztahující se ke dvaceti@
@vigil@|@bdění@
@vigilance@|@bdělost@
@vigilance committee@|@civilní stráž@
@vigilant@|@bdělý, ostražitý@
@vigilante@|@stráž@
@vigilantes@|@členové dobrovolné hlídky@
@vigilantism@|@dobrovolné hlídkování@
@vigilantist@|@člen dobrovolné hlídky@
@vigilantly@|@bděle, ostražitě@
@vignette@|@fotografie s neostrými okraji, medailonek, viněta, vinětka@
@vignettes@|@medailonky@
@VIGOR@|@druh borosilikátového skla@
@vigorous@|@energický, rázný, silný@
@vigorously@|@důrazně, rázně@
@vigour@|@síla@
@Vikings@|@Vikingové@
@Vila@|@Vila@
@vile@|@hanebný, odporný, sprostý@
@vilely@|@odporně@
@vileness@|@odpornost@
@viler@|@hnusnější, odpornější@
@vilest@|@nejodpornější@
@vilification@|@hanění, pomlouvání, urážení@
@vilifications@|@urážení@
@vilified@|@uražený@
@vilifies@|@uráží@
@vilify@|@pomlouvat, ponižovat, urazit, urážet@
@vilifying@|@urážení@
@villa@|@vila, vilka@
@village@|@ves, vesnice@
@villager@|@venkovan, vesničan@
@villagers@|@vesničané@
@villages@|@vesnice@
@villain@|@darebák, lotr, lump, mizera, ničema, padouch, uličník@
@villainous@|@mizerný, ničemný, podlý, zlotřilý@
@villainously@|@podle@
@villainousness@|@podlost@
@villains@|@ničemové@
@villainy@|@darebáctví, ničemně, ničemnost@
@villas@|@letní sídla@
@villein@|@nevolník@
@villeinage@|@nevolnictví@
@villi@|@klk, výrůstek ve střevě@
@villous@|@klkatý@
@villus@|@klk, výrůstek ve střevě@
@Vilnius@|@hl.m. - Litva, Vilnius@
@vim@|@elán, vitalita@
@vinaigrette@|@octový nálev@
@Vince@|@Vince@
@Vincent@|@Vincent@
@Vinci@|@Vinci@
@vincible@|@porazitelný, přemožitelný@
@vincible ignorance@|@zaviněná neznalost@
@vindicate@|@obhájit, očistit, ospravedlnit, rehabilitovat, uhájit, uchránit, za pravdu - dávat@
@vindicated@|@pomstěný, potvrzený@
@vindication@|@očištění, omluva, ospravedlnění, prokázání, rehabilitace@
@vindicator@|@obhájce@
@vindictive@|@mstivý, obhajující, pomstychtivý@
@vindictively@|@ospravedlnitelně@
@vindictiveness@|@mstivost, ospravedlnitelnost, pomstychtivost@
@vine@|@víno@
@vinegar@|@ocet@
@vinegary@|@kyselý@
@vines@|@révy@
@vineyard@|@vinohrad@
@vineyards@|@vinice@
@viniculture@|@vinohradnictví@
@vino@|@víno@
@vinous@|@opilý vínem, opilý, podroušený, vinný, vínový@
@vinous fermentation@|@kvašení vína@
@Vinson@|@Vinson@
@vintage@|@vinobraní@
@vintner@|@vinař@
@vinyl@|@vinyl@
@viol@|@viola@
@viola@|@viola@
@violable@|@narušitelný, porušitelný@
@violate@|@porušit@
@violated@|@porušený@
@violates@|@porušuje@
@violating@|@porušující@
@violation@|@porušení@
@violations@|@porušení@
@violator@|@hanobitel, narušitel, osoba porušující zákony, rušitel@
@violators@|@osoby porušující zákony@
@violence@|@násilí@
@violent@|@násilný, prudký@
@violently@|@násilně@
@violet@|@fialka, fialový@
@violets@|@fialky@
@violin@|@housle@
@violinist@|@houslista@
@violinists@|@houslisté@
@violins@|@housle@
@violist@|@houslista@
@violoncellist@|@cellista, violoncellista@
@violoncello@|@violoncello@
@VIP@|@velmi důležitá osoba@
@viper@|@zmije@
@viperous@|@zmijí, zmijovitý@
@viperous venom@|@zmijí jed@
@vipers@|@zmije@
@virago@|@čertice, dračice, saň, silná a agresivní žena@
@viral@|@virový@
@vireo@|@druh hmyzožravého ptáka@
@Virgil@|@Virgil@
@virgin@|@panic, panna@
@Virgin Islands@|@Panenské ostrovy@
@Virgin Islands of the United States@|@Panenské Ostrovy@
@Virgin Mary@|@panna Marie@
@virginal@|@nedotčený, panenský@
@Virginia@|@Virginia@
@Virginia Beach@|@město - USA@
@Virginia reel@|@druh tance@
@virginity@|@panenství@
@virgins@|@panny@
@Virgo@|@Panna, Virgo@
@virgule@|@lomítko@
@virile@|@mužný, schopný sexu, silný@
@virility@|@mužnost, mužskost, potence, síla@
@virologist@|@virolog@
@virology@|@virologie@
@virtual@|@myšlený, skutečný, virtuální@
@virtual reality@|@virtuální realita@
@virtually@|@doslova, fakticky, prakticky, skutečně, virtuálně, vlastně@
@virtue@|@ctnost, cudnost, přednost@
@virtues@|@přednosti@
@virtuosi@|@virtuos@
@virtuosic@|@virtuozní@
@virtuosity@|@bravura, bravurnost, dovednost, virtuozita@
@virtuoso@|@virtuos@
@virtuosos@|@virtuosové@
@virtuous@|@ctnostně, ctnostný, čestný, mravný@
@virtuously@|@čestně@
@virtuousness@|@ctnost@
@virulence@|@jedovatost, prudkost@
@virulent@|@jedovatý, prudký@
@virulently@|@jedovatě, prudce@
@virus@|@vir, virus@
@viruses@|@viry@
@visa@|@vízum@
@visage@|@vizáž, vzhled@
@Visakhapatnam@|@město - Indie@
@visas@|@víza@
@visavis@|@naproti sobě, naproti, proti sobě, tváří v tvář, vzhledem ke@
@vis-a-vis@|@přímo, tváří v tvář@
@vis-á-vis@|@naproti sobě, naproti, proti sobě, tváří v tvář, vzhledem ke@
@viscera@|@vnitřnosti@
@visceral@|@viscerální, vnitřní@
@viscerally@|@vnitřně@
@viscid@|@lepkavý, vazký, viskózní@
@viscometer@|@viskozimetr@
@viscose@|@viskóza@
@viscosity@|@lepkavost, vazkost, viskozita@
@viscount@|@vikomt@
@viscountcy@|@vikomství@
@viscountess@|@vikomtesa, vikomtka@
@viscounts@|@vikomti@
@viscous@|@lepkavý@
@viscus@|@vnitřní orgán@
@vise@|@svěrák@
@visibility@|@viditelnost@
@visible@|@viditelný@
@visibly@|@viditelně@
@vision@|@představa, vidění, vize, zrak@
@visionary@|@vizionář, vizionářský@
@visions@|@vize@
@visit@|@návštěva, navštěvovat, navštívit, prohlídka, prohlížet@
@visit rate@|@návštěvnost@
@visitable@|@navštívitelný@
@visitant@|@návštěvník@
@visitation@|@návštěva@
@visitations@|@návštěvy@
@visited@|@navštívený@
@visiting@|@hostující, navštěvující@
@visiting card@|@navštívenka, vizitka@
@visiting hours@|@návštěvní hodiny@
@visiting nurse@|@opatrovnice@
@visitor@|@host, návštěvník@
@visitors@|@návštěvníci@
@visits@|@navštěvuje@
@visor@|@hledí@
@visors@|@hledí@
@vista@|@výhled, vyhlídka@
@vistas@|@výhledy@
@Vistula@|@Visla@
@visual@|@vizuální, zrakový@
@visual aid@|@vizuální pomůcka@
@visual aids@|@vizuální pomůcky@
@visual arts@|@vizuální umění@
@visualisation@|@vizualizace@
@visualise@|@představit si@
@visualization@|@představa, vizualizace, znázornění, zviditelnění@
@visualize@|@vizualizovat, zviditelnit@
@visualized@|@vizualizovaný@
@visualizes@|@vizualizuje@
@visualizing@|@vizualizující@
@visually@|@vizuálně@
@vita@|@životopis@
@vitae@|@životopis@
@vital@|@důležitý, osudný, podstatný, smrtelný, vitální, zásadní, životně důležitý, životní, životodárný@
@vital signs@|@známky života@
@vital statistics@|@demografická křivka@
@vitality@|@vitalita, životnost@
@vitalization@|@oživení@
@vitalize@|@oživit@
@vitally@|@vitálně@
@vitals@|@životně důležité orgány@
@vitamin@|@vitamin, vitamín, vitaminový@
@vitamin A@|@vitamín A@
@vitamin B@|@vitamín B@
@vitamin B complex@|@vitamín B komplex@
@vitamin B1@|@vitamín B1@
@vitamin B12@|@vitamín B12@
@vitamin C@|@vitamín C@
@vitamin D@|@vitamín D@
@vitamin E@|@vitamín E@
@vitamin K@|@vitamín K@
@vitamins@|@vitamíny@
@vitiate@|@pokazit, zkazit (morálně), znehodnotit@
@vitiation@|@pokažení@
@viticulture@|@vinařství, vinohradnictví@
@viticulturist@|@vinař@
@Vito@|@Vito@
@vitreous@|@skelný@
@vitreous body@|@průhledná výplň oka@
@vitreous humor@|@průhledná výplň oka@
@vitrification@|@zeskelnění@
@vitrified@|@sklovitý, zeskelnatělý@
@vitrify@|@zeskelnatět@
@vitrine@|@vitrína@
@vitriol@|@kyselina sírová, vitriol@
@vitriolic@|@žíravý@
@vittles@|@potraviny@
@vituperate@|@hanět, hanit, spílat, tupit@
@vituperation@|@urážení@
@vituperative@|@hanlivý, nadávající, urážlivý, uřážející@
@viva@|@sláva!, ústní zkouška, vivat@
@viva voce@|@ústní pohovor@
@vivace@|@vivace, živě@
@vivacious@|@čiperný@
@vivaciously@|@čiperně@
@vivaciousness@|@čipernost@
@vivacity@|@temperament@
@vivarium@|@vivárium@
@Vivian@|@Vivian@
@vivid@|@čilý, intenzivní, jasný, pronikavý, svěží, živý@
@vividly@|@živě@
@vividness@|@svěžest, živost@
@vivify@|@oživit@
@viviparous@|@živorodý@
@vivisect@|@provést vivisekci, rozříznout živé tělo@
@vivisection@|@rozříznutí živého těla, vivisekce@
@vivisectional@|@vivisekční@
@vivisectionist@|@vivisektor@
@vixen@|@divoká lstivá žena, liška@
@vixenish@|@lstivý@
@vixenishly@|@lstivě@
@vizier@|@vezír@
@vizir@|@vezír@
@vizor@|@část helmice rytíře@
@Vladimir@|@město - Rusko@
@Vladivostok@|@město - Rusko@
@V-neck@|@výstřih do V@
@vocable@|@slovo, slůvko@
@vocabularies@|@slovní zásoby@
@vocabulary@|@slovní zásoba, slovníček@
@vocabulary book@|@slovníček@
@vocal@|@hlasový@
@vocal cords@|@hlasivky@
@vocalic@|@týkající se samohlásky, vokální@
@vocalise@|@vyjádřit, vyslovit@
@vocalist@|@zpěvák@
@vocalization@|@vokalizace@
@vocalize@|@vokalizovat, vyjádřit@
@vocally@|@hlasově, ústně@
@vocals@|@zpěv@
@vocation@|@zaměstnání@
@vocational@|@profesní, týkající se zaměstnání@
@vocational school@|@odborné učiliště@
@vocationally@|@majíce vliv na zaměstnání@
@vocations@|@zaměstnání@
@vocative@|@pátý pád, vokativ@
@vociferate@|@hlučet, hulákat@
@vociferation@|@halas, hlučení, hluk, křik, pokřik, rámus@
@vociferous@|@hlučný@
@vociferously@|@hlasitě, hlučně@
@vociferousness@|@hlučnost@
@vodka@|@vodka@
@Vogel@|@Vogel@
