@English@|@Japanese@
@sesame (seeds)@|@goma@
@sesame and salt@|@gomashio@
@sesame oil@|@gomaabura@
@session@|@kaigi, sesshon@
@session (of a legislature)@|@kaiki@
@set@|@futa, kasane, kumi, setto, soroi, to, tsui@
@set (math)@|@shuugou@
@set fire to@|@houka, tenka@
@set meal@|@teishoku@
@set of staggered shelves@|@chigaidana@
@set of teeth@|@hanami, hanarabi@
@set of three@|@mikumi, mitsugumi, sankumi, sanpukutsui@
@set one's teeth on edge@|@hanoukuyouna@
@set terms@|@kirikoujou@
@setback@|@satetsu, zasetsu@
@set-back@|@teiton@
@setting@|@haikei, settingu@
@setting (e.g. of novel)@|@bamen@
@setting (of a hen)@|@subiki@
@setting (of music)@|@sakkyoku@
@setting (of the sun)@|@iri@
@setting an example@|@suihan@
@setting hen@|@sudori@
@setting off (on a trip)@|@tabidachi@
@setting out again@|@denaoru@
@setting out at night@|@yodachi@
@setting prices@|@nebumi@
@setting sail@|@debune, defune, idebune@
@setting sun@|@banshou, irihi, sekiyou, shayou, yuuhi@
@setting to work@|@kikou, shieki@
@settle@|@chinkou@
@settled@|@ikketsu, ittei, sumi@
@settlement@|@bensai, kaiketsu, kaisai, kecchaku, kessai, kyoudoujuutaku, matomari, matome, nyuushoku, seisan, shimatsu, sokai, teijuu@
@settlement (of affairs)@|@atoshimatsu@
@settlement date@|@kijitsu@
@settlement day@|@kanjoubi@
@settlement of accounts@|@kessan@
@settlement out of court@|@jidan, naisai@
@settler@|@kaitakusha@
@settling@|@shuushuu@
@settling on@|@sakutei@
@Setuhiro (pn@|@setsuhiro@
@setup@|@settoappu@
@set-up@|@taisei@
@seven@|@nanatsu, sebun, shichi@
@seven days@|@nanoka, nanuka@
@Seven Deities of Good Luck@|@shichifukujin@
@seven lives@|@shichishou@
@seven to three (chances)@|@shichibusanbu@
@seven-and-five-syllable meter@|@shichigochou@
@Seven-Eleven@|@sebun'irebun@
@sevenfold@|@nanae@
@seven-ply@|@nanae@
@seven-stringed koto@|@shichigenkin@
@seventeen@|@juunana, juushichi, sevunti-n@
@seventh anniversary of a death@|@shichikaiki, shichinenki@
@seventh sign of Chinese zodiac@|@uma@
@seventy@|@nanajuu, shichijuu@
@seventy percent polished rice@|@shichibudzuki@
@seven-week mourning period@|@chuuin@
@several@|@iku, kukutaru@
@several (a-no)@|@bekko, machimachi@
@several (boats)@|@suuseki@
@several (objects)@|@suuko@
@several (pref)@|@sho@
@several animals@|@suuhiki@
@several boats@|@suusekinofune@
@several day period@|@suujitsukan@
@several days later@|@suujitsugo@
@several hundreds@|@suuhyaku@
@several million years@|@suuokunen@
@several months@|@suukagetsu@
@several people@|@suumei, suunin@
@several seconds@|@suubyou@
@several sheets (flat objects)@|@suumai@
@several tables inside each other@|@nesutote-buru@
@several volumes (books)@|@suusatsu@
@several years@|@suunen@
@severally@|@betsubetsuni, kuchiguchini, sorezore, wakarewakareni@
@severance@|@setsudan@
@severe@|@genjuu, gentaru, hanahadashii, hidoi, kibishii, kyouretsu, omoi, omotai, rinretsu, rinrintaru, ririshii, setsujitsu, shibia, teitai@
@severe (an)@|@genkaku, karetsu, tsuuretsu@
@severe (intense) cold@|@kokkan@
@severe criticism@|@kokuhyou@
@severe earthquake@|@gekishin, kyoushin@
@severe fight@|@gekisen@
@severe heat@|@gekisho@
@severe punishment@|@genbatsu, genka, genkei, kokkei@
@severe winter@|@gentou@
@severely@|@genni, hishihishi, sanzan, shitatakani@
@severely criticised@|@tsurushiage@
@severely wounded person@|@juushousha@
@severing of connections@|@enkiri@
@severity@|@gekijin, gekijin, gekiretsu, genkoku, genshuku, kakoku, kokuretsu, shiretsu@
@severity (quake)@|@kando@
@severity cruelty@|@kakoku@
@sewage@|@gesui, osui@
@sewer@|@gesuidou, koukyo@
@sewer pipe@|@benkan, gesuikan@
@sewerage@|@gesui, haieki@
@sewing@|@nui, nuimono, saihou, shitate, shitatemono@
@sewing box@|@haribako@
@sewing kit@|@so-ingusetto@
@sewing needle@|@nuibari@
@sex@|@bouji, sei, seibetsu, seiteki@
@sex appeal@|@iroke@
@sex change@|@seitenkan@
@sex difference@|@seisa@
@sex education@|@seikyouiku@
@sex life@|@seiseikatsu@
@sex urge@|@seitekishoudou@
@sexism@|@joseisabetsu@
@sextant@|@rokubungi@
@sextuplets@|@mutsugo@
@sexual@|@seiteki@
@sexual attraction to children@|@rorikon@
@sexual desire@|@jouyoku, seiyoku@
@sexual drive@|@seitekishoudou@
@sexual fluids@|@aieki@
@sexual frigidity@|@fukanshou@
@sexual harassment (abbr)@|@sekuhara@
@sexual intercourse@|@kousetsu, majiwari, seikou, sekkusu@
@sexual intercourse (X)@|@omanko, omeko@
@sexual love@|@seiai@
@sexual maniac@|@irokichigai@
@sexual maturation@|@seiseijuku@
@sexual organ@|@seishokuki@
@sexual passion@|@inshin, shikijou@
@sexual union@|@kougou@
@sexually flattering clothing@|@bodikon@
@sexually transmitted disease@|@karyuubyou@
@sexy@|@iroppoi, kannouteki, seiteki@
@sexy (an)@|@sekushi-@
@SF@|@esuefu@
@SFX (from tokushu satsuei)@|@tokusatsu@
@shabby@|@boro-, iyashii, misuborashii, wabishii@
@shabby clothes@|@akui, heii@
@shack@|@karigoya@
@shackles@|@ashikase, ashikase, kase, sokubaku@
@shad (type of fish)@|@kohada@
@shade@|@kage, kage, kage, kasa, meian, shakou, she-do@
@shade (of colour)@|@noutan@
@shade of difference@|@kinshousa@
@shade of tree@|@kokage@
@shades of evening@|@yain@
@shades of night@|@yaan, yashoku@
@shades of the dead@|@meikyou@
@shading@|@in'ei, she-dingu@
@shading off@|@bokashi@
@shadow@|@an'ei, anei, bikou, hikage, in'ei, kage, kage, kumori, shado-, shadou@
@shadow cabinet@|@shado-kyabinetto@
@shadow figure@|@kageboushi@
@shadow picture@|@kagee@
@shadow pitching@|@shado-picchingu@
@shadow stripe@|@shado-sutoraipu@
@shadow warrior (Kurosawa film)@|@kagemusha@
@shadowboxing@|@shado-bokushingu@
@shadowing@|@shadouingu@
@shadows or forms moving in firelight@|@hokage@
@shadowy@|@soubou@
@shady glasses@|@kuromegane@
@shaft@|@enchuu, jiku, shafuto, shinbou@
@shaggy carpet@|@shagi-ka-petto@
@shaggy dog@|@bou, mukuinu@
@shaggy hair@|@bou, mukuge@
@shake@|@she-ku, yurasu, yusaburu, yusuburu@
@shake hands@|@she-kuhando@
@shake someone awake@|@yuriokosu, yusuriokosu@
@shaker@|@she-ka-@
@shakes@|@okan@
@shake-up@|@koutetsu@
@shaking@|@buruburu, douyou@
@shaking or tapping (i.e. one's foot) unconsciously@|@binbouyusuri@
@shaking with excitement@|@mushaburui@
@Shakyamuni@|@shaka@
@shale oil@|@she-ruoiru@
@shallot@|@esharotto, sharotto@
@shallow@|@asai, uwacchoushi@
@shallow bowl@|@ban@
@shallow cleverness@|@sarudzie@
@shallow learning@|@koujinogaku@
@shallow sea@|@senkai@
@shallow thinker@|@fukakumono@
@shallow view@|@senken, senken@
@shallowness@|@senpaku@
@shallows@|@asase, se@
@sham@|@ese, esemono, ganbutsu, giji, giji, magai, manegoto, nise, nisesaku@
@sham examination@|@mogishiken@
@shaman@|@sha-man@
@shamanism@|@sha-manizumu@
@shame@|@akahaji, chijoku, fumeiyo, fumenboku, fumenmoku, haji, kyoushuku, shuuchishin@
@shameful@|@asamashii, mittomonai, nasakenai, niganigashii@
@shameful sight@|@shuutai@
@shameless@|@atsukamashii, zubutoi, zuuzuushii@
@shameless (an)@|@kouganmuchi@
@shameless person@|@surekkarashi@
@shamelessly@|@shaashaa@
@shamelessly demanding one's rights (sl)@|@obaharu@
@shamelessness@|@atsukawa@
@shamisen@|@samisen, shamisen@
@shampoo@|@senpatsu, shanpu-@
@shampooing in the morning@|@asashan@
@Shanghai (China)@|@shanhai@
@Shangri-la@|@shangurira@
@Shangti@|@joutei@
@shank@|@shanku@
@Shannon@|@shanon@
@Shaolin (in Ch)@|@shorin@
@shape@|@kakkou, kakkou, kasa, kata, katachi, katachidzukuru, keijou, keitai, mehana, monokage, sugata, tatazumai@
@shape (suf)@|@jou@
@shape of the mouth@|@kuchimoto@
@Shape up!@|@iikagennishinasai@
@shaped charge@|@shikouseibakuyaku@
@shapeless@|@bukakkou@
@shapely@|@sukkiri@
@shape-of-the-mind fist@|@keiiken@
@shape-up@|@she-puappu, sheipuappu@
@share@|@bun, haitou, kabu, kyouyuu, shea, wakemae, wakemae, warimae@
@share an umbrella@|@aiaigasa@
@share index)@|@nikkei@
@share of expenses@|@buntankin@
@shared@|@shea-do@
@shareholder@|@kabunushi@
@sharers of a room@|@doubou@
@shares@|@kuchikazu, kuchisuu@
@shareware@|@sheauxea@
@sharing@|@atamawari, bunpai, buntan, shearingu, wake, wakedori@
@sharing a room@|@doubou@
@sharing a theater box@|@warikomi@
@sharing living quarters@|@zakkyo@
@sharing one's lot with another@|@ichirentakushou@
@sharing the bed@|@doukin@
@sharing with@|@tomoni@
@shark@|@fuka, same, wanizame@
@shark skin@|@sha-kusukin@
@sharp@|@hyoujin, ikasu, pittari, setsuzentaru, sha-pu, shinratsu, surudoi, togatta, togetogeshii@
@sharp & able person@|@kiremono@
@sharp (music)@|@eikigou@
@sharp drop@|@kyuuraku@
@sharp eye@|@issekigan@
@sharp fall@|@kyuuraku@
@sharp high voice@|@kangoe@
@sharp lookout@|@gentan@
@sharp pain@|@gekitsuu, gekitsuu@
@sharp parting remark@|@sutekotoba, sutezerifu@
@sharp pencil@|@sha-pupenshiru@
@sharp practice@|@kankei@
@sharp rise@|@boutou, kyuutou@
@sharp sighted@|@mezatoi@
@sharp sword@|@wazamono@
@sharp sword (literary)@|@kaitou@
@sharp) taste@|@karami@
@sharpen@|@saku, togu@
@sharpened sword@|@sanjakunoshuusui@
@sharpened tube for testing rice in bags@|@sashi@
@sharpener@|@sha-puna-@
@sharply@|@kakuzento@
@sharpness@|@eiri@
@sharpness (an)@|@eibin@
@sharpness (of a sword)@|@kireaji@
@sharpshooter@|@sogekihei@
@shave@|@tei@
@shave (leather)@|@saku@
@shaved ice@|@koori, koorimizu, koorisui@
@shaven head@|@bouzuatama, enro@
@shaver@|@she-ba-@
@shaving@|@she-bingu@
@shaving cream@|@she-bingukuri-mu@
@shaving foam@|@she-bingufo-mu@
@shaving lotion@|@she-binguro-shon@
@shavings@|@kezurikuzu@
@shawl@|@sho-ru@
@she@|@aitsu, anohito, anokata, doushi, kanojo, senpou@
@sheaf@|@taba@
@shear@|@kai, sendan@
@shear stability@|@sendan'anteisei@
@shearing@|@sendan, sensai@
@shearing machine@|@sensaiki@
@sheath@|@shi-su@
@sheath of tendon@|@kenshou@
@sheath silhouette@|@shi-sushiruetto@
@shed@|@karigoya, koya, naya@
@shed leaves@|@rakuyou@
@shedding@|@dappi@
@she-devil@|@kijo@
@sheep@|@hitsuji, muton@
@sheep bend (knot)@|@hitoetsugi@
@sheep breeder@|@bokuyousha@
@sheep farming@|@bokuyou@
@sheepman@|@bokuyousha@
@sheep's clothing@|@bakenokawa@
@sheer@|@tannaru@
@sheer cliff@|@byoubuiwa@
@sheet@|@shi-to, shi-tsu, shikifu@
@sheet feeder@|@shi-tofi-da@
@sheet metal@|@bankin, nobegane@
@sheet pile@|@shi-topairu@
@sheeting@|@shikifu@
@sheet-like waterfall@|@shirataki@
@sheik dollar@|@she-kudara-@
@shell@|@dangan, houdan, kai, kai, kaigara, kara, kawa, koki-ru, koukaku, koura, sheru, tama@
@shell (i.e. of a pea)@|@saya@
@shell gathering (at low tide)@|@shiohigari@
@shell money (ancient)@|@baika@
@shell mound@|@kaidzuka@
@shellfish@|@kai, kai, kairui@
@shellfish poison@|@kaidoku@
@shellfish removed from the shell@|@mukimi@
@shelling@|@hougeki@
@shell-script@|@sherusukuriputo@
@shelter@|@hogo, sheruta-, shinogiba, toku@
@shelter of the mountains@|@yamakage@
@sheltered trench@|@fukushagou@
@shelve@|@mokusatsu@
@shelves@|@tana@
@shelving@|@nigiritsubushi, tanaage@
@sheol@|@meifu@
@shepherd@|@bokudou, bokujin, bokuyousha, hitsujikai, kainushi, shepa-do@
@shepherdess@|@hitsujikai@
@shepherd's check@|@shepa-dochekku@
@sherbert@|@koorigashi@
@sherbet@|@sha-betto@
@sheriff@|@sherifu@
@Sherlockian@|@sha-rokkian@
@Sherpa@|@sherupa@
@sherry@|@sheri-, sheri-shu@
@Shia (sect of Islam) (Arab: Shi'a)@|@shi-a@
@shield@|@shi-rudo, tate, toku@
@shield method@|@shi-rudokouhou@
@shift@|@koutai, shifuto@
@shift (of workmen)@|@koutaiin@
@shift arithmetic unit (computer)@|@shifutoenzankikou@
@shift down@|@shifutodaun@
@shift dress@|@shifutodoresu@
@shift in (SI)@|@shifutoin@
@shift key@|@shifutoki-@
@shift out (SO)@|@shifutoauto@
@shift system@|@koutaisei@
@shifting gears@|@hensoku@
@shin@|@benkeinonakidokoro, mukouzune, sune@
@shin guards@|@suneate@
@Shinagawa Prince Hotel (abbr)@|@shinapuri@
@shinbone@|@keikotsu@
@Shinchou (magazine & publisher)@|@shinchou@
@shine up@|@migakiageru@
@Shingon@|@shingon@
@Shingon (archaic) (Budd.)@|@shingon@
@shining@|@shainingu@
@shinkansen@|@shinkansen@
@Shinto@|@shintou@
@Shinto and Buddhism and Confucianism@|@sankyou@
@Shinto Festival of Origins January 3@|@genshisai@
@Shinto fire-purification ceremony@|@kiribi@
@Shinto flute@|@hichiriki@
@Shinto god@|@ujigami@
@Shinto or Buddhist prayer@|@gandate, gangake@
@Shinto or Buddhist prayer (read)@|@ganmon@
@Shinto paper offerings@|@taima@
@Shinto priest@|@kannushi, shinkan@
@Shinto ritual prayer@|@norito@
@Shinto shrine@|@jinguu, jinja, omiya, yashiro@
@Shinto-Buddhist amalgamation@|@ryoubushintou@
@ship@|@fune, fune, senpaku, shippu@
@ship air system@|@shippueahoushiki@
@Ship American Policy@|@shippuamerikan@
@ship-borne plane@|@kansaiki@
@shipbuilding@|@zousen@
@shipmates@|@doushuu@
@shipment@|@shidashi@
@shipowner@|@senshu@
@shipper@|@ninushi@
@shipping@|@fune, hassou, shukka, unsou, unsou@
@shipping company@|@unsougaisha@
@shipping expenses@|@unchin@
@shipping out@|@ishutsu@
@ship's arrival@|@iribune, irifune, nyuusen@
@ship's bottom@|@funazoko, sentei@
@ship's captain@|@senchou@
@ship's draft@|@saikakissui@
@ship's harbor charges@|@nyuukouryou@
@ship's lamp@|@sentou@
@ship's log@|@koukainisshi@
@ship's outfit@|@gisou@
@ship's side@|@gensoku@
@shipwreck@|@kainan, nanpa, nanpasen, nansen, sounan@
@Shirokiya (department store)@|@shirokiya@
@shirring@|@sha-ringu@
@shirt@|@shatsu, waishatsu@
@shirt blouse@|@shatsuburausu@
@shish-kebabs@|@shishikababu@
@shit@|@baba, daiben, kuso, unchi, unko@
@Shitamachi@|@shitamachi@
@shiver@|@zokuzoku, zotto@
@shivering@|@furue, miburui@
@shivering with cold or fear@|@buruburu@
@shoal@|@asase, se, tooasa@
@shock@|@dageki, kyougaku, shindou, shingai, shintou, shokku, shougeki@
@shock (grain)@|@tabanetsumu@
@shock absorber@|@kanshouki, shokkuabuso-ba-@
@shock action@|@shoudoukoui@
@shock theory@|@shokkuseori-@
@shock troops@|@kakutousenbutai@
@shock wave@|@shougekiha@
@shocked speechless@|@otaota@
@shocker@|@shokka-@
@shocking@|@shokkingu@
@shoe last@|@kutsugata@
@shoe polish@|@kutsuzumi@
@shoe polishing@|@kutsumigaki@
@shoe rack (in genkan)@|@getabako@
@shoe repair@|@kutsunaoshi@
@shoe sole@|@kutsuzoko@
@shoe store@|@kutsuya, kutsuzure@
@shoe stretcher@|@kutsugata@
@shoehorn@|@kutsubera@
@shoelace@|@kutsuhimo@
@shoemaker@|@kutsuya@
@shoe-making@|@seika@
@shoes@|@dosoku, hangutsu, hanka, kutsu, shu-zu@
@shoeshine@|@kutsumigaki, shu-shain@
@Shogakukan (publisher)@|@shougakukan@
@shogi@|@kifu, yose@
@shogi player@|@kishi@
@shogun@|@shougun, uesama, uezama@
@shogunate@|@bakufu, kyuubaku@
@shogunate administrator@|@bugyou@
@shogunate control@|@tenryou@
@shogunate government@|@kougi@
@shogunate marital union with the Imperial Family@|@koubugattai@
@shogunate-licensed trading ship@|@shuinsen@
@shogun's envoy@|@joushi@
@shogun's harem@|@oooku@
@shoogi pieces@|@koma@
@shoot@|@shinme, shu-to@
@shooter@|@ite, shashu@
@shooting@|@hassha, neraiuchi, shageki, sogeki@
@shooting down (aircraft)@|@gekitsui@
@shooting from a high level@|@kuusatsu@
@shooting into@|@uchikomi@
@shooting lying prone@|@fukusha@
@shooting on horseback@|@kisha@
@shooting script@|@shu-tingusukuriputo@
@shooting star@|@nagareboshi@
@shooting straight out@|@chokushutsu@
@shooting the sun@|@tensoku@
@shooting to death@|@shasatsu@
@shooting wildly@|@mousha@
@shoot-out@|@kettou@
@shoots@|@shitamoe@
@shop@|@baiten, ho, mise, shouho, shouten, tenpo, tentou@
@shop assistant@|@ten'in@
@shop boy@|@decchi@
@shop front@|@tentou@
@shop in shop@|@shopuinshoppu@
@shop manager@|@tenchou@
@shop of long standing@|@rouho, shinise@
@shopkeeper@|@akindo, akiudo, akyuudo, shounin, tenshu@
@shoplifter@|@manbiki@
@shoplifting@|@manbiki@
@shopping@|@kaimono, shoppingu@
@shopping bag@|@kaimonobukuro, shoppingubaggu@
@shopping bag lady@|@shoppingubagguredi-@
@shopping cart@|@shoppinguka-to@
@shopping centre@|@shoppingusenta-@
@shopping district@|@hankagai, shoutengai@
@shopping mall@|@shoppingumo-ru@
@shopping street@|@shougyougai, shoutengai@
@shops serving food & drink@|@inshokuten@
@shoran@|@sho-ran@
@shordarvision@|@sho-da-bijon@
@shore@|@engan, enkai, kishi, migiwa, nagisa, riku, rikujou@
@shore radar television@|@sho-da-bijon@
@short@|@chikai, hikui, mijikai, sho-to, sokkenai@
@short (build)@|@kogara@
@short (e.g. story@|@tanpen@
@short (person)@|@segahikui@
@short bound@|@sho-tobaundo@
@short circuit@|@rouden, sho-tosa-kitto@
@short coat@|@hanten@
@short course@|@koushuu@
@short curriculum vitae@|@ryakureki@
@short cut@|@chikamichi, chokuro, sho-tokatto, sugumichi@
@short distance@|@kinkyori, tankyori@
@short hair@|@sho-tohea, sho-tohea-@
@short hole (golf)@|@sho-toho-ru@
@short interval of leisure@|@shoukan@
@short iron (golf)@|@sho-toaian@
@short life@|@tanmei@
@short mane@|@oshikiri@
@short metal truncheon@|@jitte@
@short mustache@|@chobihige@
@short night@|@byakuya@
@short of money@|@funyoi@
@short order@|@sho-too-da-@
@short pants@|@sho-topantsu@
@short period@|@keikoku@
@short play@|@sungeki@
@short range@|@tankyori@
@short relief@|@sho-toriri-fu@
@short rest@|@ippuku, shoukei@
@short short (story)@|@sho-tosho-to@
@short skirt@|@sho-tosuka-to@
@short sleeves@|@hansode@
@short small pieces of vegetables@|@sengiri@
@short split entrance curtain@|@kirinoren@
@short stay@|@sho-tosutei@
@short story@|@sho-tosuto-ri-, tanpenshousetsu@
@short sword@|@tantou, wakizashi@
@Short Take-Off and Landing@|@esuto-ru@
@short temper@|@kanpeki@
@short term@|@tanki@
@short time@|@hantoki, ichiji, ittoki, jungetsu, sho-totaimu, tanjikan@
@short wave@|@tanpa@
@short way@|@chikamichi, chikamichi@
@short while@|@zanji@
@shortage@|@fujuubun, fusoku, futtei, kesson, ketsubou, tarazumae@
@shortage of stock@|@shinausu@
@shortcake@|@sho-toke-ki@
@short-circuit appeal@|@sho-tosa-kittoapi-ru@
@shortcomings@|@moushibun@
@shortcut@|@benpou, chikamichi, shoukei@
@shortened form@|@tanshukukei@
@shortening@|@sho-toningu, tanshuku@
@shortening of time@|@jitan@
@shortest@|@saitan@
@shorthand@|@sokki@
@shorthanded@|@hitodebusoku@
@short-lived@|@hakanai@
@short-lived magazine@|@sangouzasshi@
@shortness of breath@|@ikigire@
@short-range navigation aid@|@sho-ran@
@shorts@|@sho-topantsu, sho-tsu@
@short-scale@|@sho-tosuke-ru@
@shortsightedness@|@kingan, kinshi, makkura, makura@
@shortstop@|@sho-tosutoppu, yuugeki, yuugekishu@
@short-story writer@|@issekiwa@
@short-term hand-luggage storage@|@tenimotsuichijiazukarisho@
@shot@|@dangan, shotto, tama@
@shotgun@|@sandanjuu, shottogan@
@shotgun bride@|@shottoganburaido@
@shotgun marriage@|@shottoganmarijji@
@shotgun wedding@|@shottogan'uxedingu@
@shots@|@yobouchuusha@
@Shouchuu with tonic water@|@chuuhai@
@Shoudensha (publisher)@|@shoudensha@
@should (suf. to verbs)@|@beki@
@should be read@|@hitsudoku@
@should not@|@bekarazu@
@shoulder@|@kata, kenbu, shoruda-@
@shoulder (top of)@|@katasaki@
@shoulder bag@|@shoruda-baggu@
@shoulder blade@|@kariganebone@
@shoulder carrying pole@|@tenbin, tenbinbou@
@shoulder of a road@|@roken@
@shoulder pad@|@shoruda-paddo@
@shoulder reinforcement@|@kataate@
@shoulder strap@|@kenshou@
@shoulder width (breadth)@|@katahaba@
@shoulder-blade@|@katakoukotsu, kenkoukotsu@
@shouldering another's debt@|@katagawari@
@shoulders@|@katami, souken@
@shout@|@issei, kakegoe, kansei, kyoukan, sakebi, sakebigoe, zekkyou@
@shout of joy@|@kansei@
@shouts of encouragement@|@reisei@
@shovel@|@shaberu, shoberu, sukoppu@
@show@|@chinretsu, furi, kyoshoku, kyouran, mibae, mie, misemono, sho-, shou, teisai@
@show a liking for@|@shi@
@show biz@|@sho-bizu@
@show business@|@sho-bijinesu@
@show girl@|@sho-ga-ru@
@show manager@|@kougyoushi@
@show of courage@|@tsukegenki, tsuyogari@
@Showa era@|@shouwanenkan@
@Showa period (1926-1989 CE)@|@shouwajidai@
@showbiz star@|@okkake@
@showboat@|@sho-bo-to@
@showcase@|@sho-ke-su@
@showdown@|@taiketsu@
@shower@|@hitoame, shawa-, tooriame@
@shower (rain)@|@yuudachi@
@shower in late autumn or early winter@|@shigure@
@showering (arrows) upon@|@uchuu@
@showing off@|@kazarike@
@showing others@|@taken@
@showing signs of@|@yoji@
@showing underwear@|@panchira@
@showman@|@kougyounushi, kougyoushi, sho-man@
@showmanship@|@sho-manshippu@
@showroom@|@sho-ru-mu, shouru-mu@
@showy@|@akudoi, hanayaka, hanayaka, itate, reireishii@
@showy (an)@|@hade@
@showy clothes@|@dategi@
@shred@|@danpen@
@shredded tobacco@|@kizami, kizamitabako@
@shredder@|@shuredda, shuredda-@
@shrew@|@jajauma@
@shrewd@|@chakkari, eigo, gacchiri, josainai, kuenai@
@shrewd businessman@|@kiremono@
@shrewdness@|@ratsuwan@
@shriek@|@himei@
@shrike@|@mozu@
@shrike (type of bird)@|@mozu@
@shrill@|@kandakai, ketatamashii, kinkin, konbashitta@
@shrill voice@|@kiiroikoe@
@shrimp@|@ebi, ebi, ebi, shurinpu@
@shrine@|@ichidou@
@shrine (this)@|@tousha@
@shrine annex@|@betsuden@
@shrine building@|@den'u@
@shrine fence@|@igaki, imigaki@
@shrine maiden@|@fujo, fusha, kannagi, miko@
@shrine of evil deity@|@inshi@
@Shrine of the God of War@|@hachimanguu@
@shrine parishioner@|@ujiko@
@shrine visit@|@miyamairi, omairi, omiyamairi@
@shrine visitors' register@|@ujikochou@
@shrink back@|@hekieki@
@shrinkage@|@kinshuku@
@shrinking@|@shuushuku@
@Shroedinger@|@shure-dinga-@
@shroud@|@ooi@
@shrub@|@teiboku@
@shrubbery@|@teiboku@
@shudder@|@ritsuzen, zokuzoku@
@shuddering@|@miburui@
@Shueisha (publisher)@|@shuueisha@
@shuffle@|@shaffuru@
@shuffling@|@shaffuringu, warawara@
@Shugendou@|@shugendou@
@shut@|@shatto@
@shut mouth@|@heikou@
@shut oneself away@|@tojikomoru@
@shut up@|@tojikomeru@
@shutdown@|@heisa, kyuugyou, shattodaun@
@shutout@|@shattoauto@
@shutter@|@shatta-@
@shutter chance@|@shatta-chansu@
@shutting in@|@fuujikomeru@
@shutting one's eyes to@|@kanka@
@shuttle@|@shatoru, shitaitoire@
@shuttle bus@|@shatorubasu@
@shuttle loop@|@shatoruru-pu@
@shuttlecock@|@hane, shatorukokku@
@shy@|@hanikamiya, hazukashii, hikkomijian, kamoku, shai, tereya@
@shy face@|@okumen@
@shyness@|@hitomishiri, shuuchi, shuuchishin, uchiki@
@sialon@|@saiaron@
@Siam@|@shamu@
@sibilant@|@shion@
@sibling argument@|@kyoudaigenka@
@siblings (hon)@|@gokyoudai@
@siblings (hum)@|@kyoudai@
@sick and wounded prisoners@|@shoubyouhoryo@
@sick and wounded soldiers@|@shoubyouhei@
@sick in bed@|@neko@
@sick of@|@akiaki@
@sick person@|@byounin@
@sickbed@|@byoushou, toko@
@sickle@|@tou@
@sickly@|@hiyowai@
@sickness@|@byouki, furei@
@sickness bag@|@shikkunesubaggu@
@sickness in the stomach@|@hakike@
@sickness incurred in line of duty@|@koumushippei@
@sickroom@|@byoushitsu@
@side@|@gawa, hata, hen, hou, katawara, katawara, kawa, kiwa, saido, soba, soku, sokumen, waki, waki, yoko, yokoai, yokobara, yokoppara@
@side (transverse) wave@|@yokonami@
@side arms@|@guntou@
@side brake@|@saidobure-ki@
@side business@|@saidobijinesu@
@side by side@|@heikou@
@side car@|@sokusha@
@side dish@|@fukushoku, fukushokubutsu, kuchitori, ninozen, okazu@
@side door@|@kugurido@
@side effect@|@fuzuigenshou@
@side entrance@|@naigenkan, uchigenkan@
@side gate@|@kirido, kugurido@
@side glance@|@yokome@
@side issues@|@edaha, shiyou@
@side job@|@fukugyou, saidojobu@
@side job (at home)@|@naishoku@
@side light@|@saidoraito@
@side line@|@fukusanbutsu, kengou, kengyou, naishoku, yogyou@
@side line (at a game)@|@sokusen@
@side lobe@|@saidoro-bu@
@side mirror@|@saidomira-@
@side notes@|@bouchuu@
@side of face@|@yokotsura, yokottsura@
@side of well@|@idobata@
@side pocket@|@saidopoketto@
@side reader@|@saidori-da-@
@side show@|@yokyou@
@side street@|@uradoori, yokochou, yokomichi@
@side stroke@|@sobaei@
@side table@|@saidote-buru@
@side vents@|@saidobentsu@
@side view@|@sokumenkan, sokumenzu@
@side walk@|@saidouxo-ku@
@side wall@|@sokuheki@
@side work@|@saidowa-ku@
@sidearm throw@|@saidosuro-@
@sideboards@|@hoohige, saidobo-do@
@sideburns@|@hoohige, momiage@
@sidecar@|@saidoka-@
@sidelight@|@sokumen@
@sideline@|@fukugyou, saidorain@
@side-out@|@saidoauto@
@sideshow@|@ainote@
@sidestroke@|@saidosutoro-ku@
@sidestroke (swim.)@|@yokooyogi@
@sidetrack@|@sokusen@
@sidewalk@|@hodou, jindou@
@sidewalk cafe@|@kafeterasu@
@siding@|@sokusen@
@siding (on a house)@|@shitamiita@
@siege@|@houi, koujou@
@siesta@|@gosui, hirune, hirune, karine, kasui, shiesuta, utatane@
@sieve@|@zaru@
@sigh@|@tansoku, toiki@
@sigh (of admiration or lamentation)@|@tansei@
@sight@|@joukei, mokushi@
@sight (signs) of an airplane@|@kiei@
@sight error@|@higame@
@sightseeing@|@kankou, kenbutsu, saitoshi-ingu@
@sight-seeing area@|@kankouchi@
@sightseer@|@kenbutsunin, kensha@
@sigma@|@shiguma@
@sigmoid function@|@shigumoidokansuu@
@sign@|@aizu, ato, chou, chouin, choukou, fugou, hyou, hyouchou, hyougou, hyoushiki, kanban, sain, zenchou, zenpyou@
@sign and seal@|@rakkan@
@sign curtain hung at shop entrance@|@noren@
@sign for another@|@daisho@
@sign language@|@sainrenge-ji, shuwa@
@sign maker@|@kanban'ya@
@sign of addition@|@kagou@
@sign of life@|@hitoke@
@sign of mourning@|@moshou@
@sign of multiplication@|@jougou@
@sign of the times@|@sesou@
@sign of victory@|@kachimi@
