@English@|@Koine Greek@
@Roman officer@|@ῥαβδοῦχος -ου -ὁ@
@Rome@|@Ῥώμη -ης -ἡ@
@room@|@μονή -ῆς -ἡ -@
@rooster@|@ἀλέκτωρ -ορος -ὁ@
@root up@|@ἐκριζόω@
@rope@|@σχοινίον -ου -τό@
@rotten@|@σαπρός -ά -όν@
@rough@|@τραχύς -εῖα -ύ@
@rough water@|@κλύδων -ῶνος -ὁ@
@roughly the western third of Asia Minor@|@Ἀσία -ας -ἡ@
@round about@|@πέριξ@
@roused out of sleep@|@ἔξυπνος -ον@
@row@|@ἐλαύνω@
@royal@|@βασίλειος -ον, βασιλικός -ή -όν@
@rub to pieces@|@ψώχω@
@rue@|@πήγανον -ου -τό@
@Rufus@|@Ῥοῦφος -ου -ὁ@
@ruin@|@ἀπώλεια -ας -ἡ, ὄλεθρος -ου -ὁ@
@ruined@|@ναυαγέω@
@rule@|@ἄρχω, βασιλεία -ας -ἡ., ἡγεμονία -ας -ἡ, κανών -όνος -ὁ@
@rule over@|@κυριεύω@
@ruler@|@ἀρχή -ῆς -ἡ, βασιλεύς -έως -ὁ, ἐπίσκοπος -ου -ὁ@
@ruler of the universe@|@παντοκράτωρ -ορος -ὁ@
@ruler of this world@|@κοσμοκράτωρ -ορος -ὁ@
@rumor@|@ἦχος -ου -ὁ@
@run aground@|@ἐποκέλλω@
@rush@|@βάλλω@
@rush into@|@εἰσπηδάω@
@rust@|@βρῶσις -εως -ἡ, ἰός -οῦ -ὁ@
@Ruth@|@Ῥούθ -ἡ@
@sack-cloth@|@σάκκος -ου -ὁ@
@sacred@|@ἅγιος -ία -ον, ἱερός -ά -όν@
@sacred song@|@ὕμνος -ου -ὁ@
@sacrifice@|@προσφορά -άς -ἡ, σφαγή -ῆς -ἡ@
@sacrificed to an image@|@εἰδωλόθυτος -ον@
@sacrilegious@|@ἱερόσυλος -ον@
@sad-countenanced@|@σκυθρωπός -ή -όν@
@safe@|@ἀσφαλής -ές@
@safely@|@ἀσφαλῶς@
@safety@|@ἀσφάλεια -ας -ἡ@
@sail along@|@παραλέγομαι@
@sail away@|@ἐκπλέω@
@Sala@|@Σαλά -ὁ@
@Salamis@|@Σαλαμίς -ῖνος -ἡ@
@Salathiel@|@Σαλαθιήλ -ὁ@
@Salem@|@Σαλήμ -ἡ@
@Salmon@|@Σαλμών -ὁ@
@Salmone@|@Σαλμώνη -ης -ἡ@
@Salome@|@Σαλώμη -ης -ἡ@
@salt@|@ἅλας -ατος -τό, ἅλς -ἁλός -ὁ@
@saltine@|@ἁλυκός -ή -όν@
@saltless@|@ἄναλος -ον@
@salty@|@ἁλυκός -ή -όν@
@salutation@|@ἀσπασμός -οῦ -ὁ@
@salute@|@ἀσπάζομαι@
@salvation@|@σωτηρία -ας -ἡ, σωτήριος -ον@
@Samaria@|@Σαμάρεια -ας -ἡ@
@same@|@αὐτός -αὐτή -αὐτό@
@Samos@|@Σάμος -ου -ἡ@
@Samothrace@|@Σαμοθρᾴκη -ης -ἡ@
@Samson@|@Σαμψών -ὁ@
@Samuel@|@Σαμουήλ -ὁ@
@sanctification@|@ἁγιασμός -οῦ -ὁ@
@sanctify@|@ἁγιάζω@
@sand@|@ἄμμος -ου -ἡ@
@sanity@|@σωφροσύνη -ης -ἡ@
@Sapphira@|@Σαπφείρη -ης -ἡ@
@Sarah@|@Σάρρα -ας -ἡ@
@Sardis@|@Σάρδεις -εων -αἱ@
@sardonyx@|@σαρδόνυξ -υχος -ὁ@
@Satan@|@Σατᾶν -ὁ, Σατανᾶς -ᾶ -ὁ@
@satisfaction@|@πλησμονή -ῆς -ἡ@
@satisfactory@|@ἀρεστός -ή -όν@
@satisfied@|@ἀρκέω, αὐτάρκης -ες -@
@satisfy@|@ἐμπίπλημι, χορτάζω@
@Saturn@|@Ῥεμφάν -ὁ@
@Saul@|@Σαούλ -ὁ, Σαῦλος -ου -ὁ@
@save@|@θησαυρίζω@
@saving@|@σωτήριος -ον@
@saw through@|@πρίζω@
@say@|@λαλέω@
@scaly substance@|@λεπίς -ίδος -ἡ@
@scarcely@|@μόγις@
@scare@|@πτοέω@
@scatter@|@σπείρω@
@Sceva@|@Σκευᾶς -ᾶ -ὁ@
@scheming@|@μεθοδεία -ας -ἡ@
@scoff@|@χλευάζω@
@scoff at@|@ἐκμυκτηρίζω@
@scorch@|@καυματίζω@
@scorn@|@καταφρονέω@
@scourge@|@δέρω, μαστιγόω, μαστίζω, ῥαβδίζω, φραγελλόω@
@scourge severely@|@διχοτομέω@
@scrapings@|@περίψημα -ατος -τό@
@sculpture@|@χάραγμα -ατος -τό@
@sea-coast@|@αἰγιαλός -οῦ -ὁ -@
@seamless@|@ἄραφος -ον@
@sear@|@καυτηριάζω@
@search for@|@ἀναζητέω, ἐπιζητέω, ζητέω@
@search out@|@ἐξετάζω@
@season@|@χρόνος -ου -ὁ, ὥρα -ας -ἡ@
@seat@|@θρόνος -ου -ὁ@
@second@|@δεύτερος -α -ον@
@second-first@|@δευτερόπρωτος -ον@
@secret@|@ἀπόκρυφος -ον, ἄρρητος -ον, κρυπτός -ή -όν@
@secret slanderer@|@ψιθυριστής -οῦ -ὁ@
@secret slandering@|@ψιθυρισμός -οῦ -ὁ@
@secretly@|@κρυφῇ, λάθρᾳ@
@secular@|@βέβηλος -ον@
@Secundus@|@Σεκοῦνδος -ου -ὁ@
@securely@|@ἀσφαλῶς@
@security@|@ἀσφάλεια -ας -ἡ, ἔγγυος -ου -ὁ -ἡ@
@sedition@|@ταραχή -ῆς -ἡ@
@seduce@|@ἀφίστημι@
@see@|@βλέπω@
@see clearly@|@διαβλέπω@
@see dimly@|@μυωπάζω@
@See! Lo! Behold! Look!@|@ἴδε ! ! ! !, ἰδού ! ! ! !@
@seed@|@σπέρμα -ατος -τό, σπορά -ᾶς -ἡ@
@seed for sowing@|@σπόρος -ου -ὁ@
@seeing that@|@εἴγε, ἐπείπερ@
@seek to catch@|@θηρεύω@
@seek to entrap@|@ἐνεδρεύω@
@seem@|@δοκέω, φαίνω@
@seize@|@περιέχω@
@select@|@ἐκλεκτός -ή -όν, ἐπισκέπτομαι@
@selecting@|@ἐκλογή -ῆς -ἡ@
@Seleucia@|@Σελεύκεια -ας -ἡ@
@self@|@ψυχή -ῆς -ἡ@
@self-condemned@|@αὐτοκατάκριτος -ον@
@self-control@|@ἐγκράτεια -ας -ἡ -, σωφρονισμός -οῦ -ὁ -@
@self-controlled@|@ἐγκρατής -ές, σώφρων -ον -@
@self-discipline@|@σωφρονισμός -οῦ -ὁ -@
@selfish@|@φίλαυτος -ον@
@self-mastery@|@ἐγκράτεια -ας -ἡ -@
@self-satisfied@|@αὐθάδης -ες -@
@self-sufficiency@|@αὐτάρκεια -ας -ἡ -@
@self-sufficient@|@αὐτάρκης -ες -@
@sell@|@ἀποδίδωμι@
@Semein@|@Σεμεΐ -ὁ@
@send@|@ἀγγαρεύω, ἀποστέλλω@
@send away@|@ἀπολύω, ἀποστέλλω, ἀποτάσσομαι@
@send by letter to.@|@ἐπιστέλλω@
@send forth@|@βρύω@
@send rain@|@βρέχω@
@senseless@|@ἄλογος -ον, ἄφρων -ονος -ον@
@sensibly@|@φρονίμως@
@sensuous@|@ψυχικός -ή -όν@
@sentinel@|@φύλαξ -ακός -ὁ@
@separate@|@ἀφορίζω, διΐστημι@
@separation@|@διαστολή -ῆς -ἡ, μερισμός -οῦ -ὁ@
@sepulcher@|@μνημεῖον -ου -τό@
@Sergius@|@Σέργιος -ου -ὁ@
@Serug@|@Σερούχ -ὁ@
@servant@|@διάκονος -οῦ -ὁ -ἡ, λειτουργός -ου -ὁ@
@serve@|@ἀρέσκω, διακονέω, θεραπεύω, παρατίθημι, ὑπηρετέω@
@serve publicly@|@λειτουργέω@
@service@|@διακονία -ας -ἡ, λατρεία -ας -ἡ@
@service rendered only while the master watches@|@ὀφθαλμοδουλεία -ας -ἡ@
@serviceable@|@εὔχρηστος -ον@
@set@|@δύνω, ἐπιδύω@
@set apart@|@ἅγιος -ία -ον@
@set foot on@|@ἐμβατεύω@
@set forth@|@ἀποδείκνυμι, ἐκτίθημι@
@set free@|@ἐλευθερόω@
@set on fire@|@ἀνάπτω, ἐμπρήθω@
@set on the bow@|@ἀρτέμων -ονος -ὁ@
@set sail@|@ἀνάγω@
@set up@|@ἀνίστημι@
@Seth@|@Σήθ -ὁ@
@settle accounts@|@συναίρω@
@settle in@|@κατοικέω@
@seven@|@ἑπτά -οἱ -αἱ -τά@
@seven thousand@|@ἑπτακισχίλιοι -αι -α@
@seven times@|@ἑπτάκις@
@seventh@|@ἕβδομος -η -ον@
@seventy@|@ἑβδομήκοντα@
@seventy times@|@ἑβδομηκοντάκις@
@sever@|@καταργέω@
@severe@|@αὐστηρός -ά -όν@
@severe agony@|@ὠδίν -ῖνος -ἡ@
@severely@|@ἀποτόμως@
@severity@|@ἀποτομία -ας -ἡ, ἀφειδία -ας -ἡ@
@shame@|@αἰδώς -οῦς -ἡ, αἰσχύνη -ης -ἡ, ἀσχημοσύνη -ῆς -ἡ, ἐντροπή -ῆς -ἡ@
@shameless persistence@|@ἀναίδεια -ας -ἡ@
@shamelessness@|@ἀναίδεια -ας -ἡ@
@shape@|@εἶδος -ους -τό, κτίζω, μορφή -ῆς -ἡ, μορφόω@
@share@|@μερίζω, μετέχω@
@share in@|@ἀντιλαμβάνομαι@
@shared@|@κοινός -ή -όν@
@sharing@|@μετοχή -ῆς -ἡ@
@sharing in@|@μετάληψις -εως -ἡ@
@Sharon@|@Ασσαρών -ῶνος -ὁ@
@sharp@|@ὀξύς -εῖα -ύ@
@sharper@|@τομώτερος@
@sharply@|@ἀποτόμως@
@shatter@|@θραύω@
@she@|@αὐτός -αὐτή -αὐτό, κἀκεῖνος -η -ο, οὗτος -αὕτη -τοῦτο@
@sheath@|@θήκη -ῆς -ἡ@
@Shechem@|@Συχέμ -ἡ@
@shed@|@ἐκχέω@
@sheet@|@ὀθόνη -ης -ἡ@
@Shem@|@Σήμ -ὁ@
@shine@|@ἀνατέλλω@
@shine upon@|@ἐπιφαίνω@
@shining@|@λαμπρός -ά -όν@
@shoot@|@κλῆμα -ατος -τό@
@shore@|@χεῖλος -ους -τό@
@short@|@βραχύς -εῖα -ύ@
@shorten@|@κολοβόω@
@shout@|@ἀναφωνέω, ἐπιφωνέω, κραυγάζω, φωνέω@
@show@|@ἀλαζονεία -ας -ἡ, δείκνυμι, φαντασία -ας -ἡ@
@show clearly@|@ἀναδείκνυμι@
@shriek@|@κράζω@
@shrine@|@ναός -οῦ -ὁ@
@shun@|@ἀποτρέπω, περιΐστημι, φεύγω@
@shut in@|@συγκλείω@
@shut up@|@κλείω@
@sick@|@ἄρρωστος -ον, ἀσθενέω, ἀσθενής -ές@
@Sidon@|@Σιδών -ῶνος -ἡ@
@Sidonian@|@Σιδώνιος -ία -ιον@
@sign@|@ἔνδειγμα -ατος -τό, ἔνδειξις -εως -ἡ, χάραγμα -ατος -τό@
@Silas@|@Σίλας -ᾶ -ὁ@
@silence@|@ἐπιστομίζω, ἡσυχία -ας -ἡ, σιγή -ῆς -ἡ, φιμόω@
@silken@|@σηρικός -ή -όν@
@Siloam@|@Σιλωάμ -ὁ@
@Silvanus@|@Σιλουανός -οῦ -ὁ@
@silver@|@ἀργύριον -ου -τό@
@silver as a metal@|@ἄργυρος -ου -ὁ@
@Simeon or Simon@|@Συμεών -ὁ@
@similar@|@παρόμοιος -α -ον, σύμμορφος -ον@
@similar to@|@ὅμοιος -οία -οιον@
@similarly@|@παραπλησίως@
@similitude@|@ὁμοίωμα -ατος -τό@
@Simon@|@Σίμων -ωνος -ὁ@
@simple@|@ἄκακος -ον, ἀκέραιος -ον, ἁπλοῦς -ῆ -οῦν@
@simplicity@|@ἁπλότης -τητος -ἡ, ἀφελότης -τητος -ἡ@
@simply@|@ἁπλῶς@
@sin@|@ἁμάρτημα -ατος -τό, ὀφείλημα -ατος -τό, παράπτωμα -ατος -τό, πταίω@
@Sinai@|@Σινᾶ -τό@
@since@|@ἄρα, ἐπεί, ἐπειδή, ἐπειδήπερ, ὅτι@
@since indeed@|@ἐπείπερ@
@sincere@|@εἰλικρινής -ές@
@sincerely@|@ἁγνῶς, ἁπλῶς, γνησίως@
@sincerity@|@ἁπλότης -τητος -ἡ, ἀφελότης -τητος -ἡ, εἰλικρίνεια -ας -ἡ@
@sinful@|@ἁμαρτωλός -ον, ἄνομος -ον@
@sing hymns to@|@ὑμνέω@
@single@|@ἁπλοῦς -ῆ -οῦν@
@sink@|@βυθίζω@
@sinner@|@ὀφειλέτης -ου -ὁ@
@sinning@|@ἁμαρτωλός -ον@
@sir@|@κύριος -ου -ὁ@
@sit@|@καθέζομαι@
@sit down together@|@συγκαθίζω@
@six@|@ἕξ -οἱ -αἱ -τά@
@six hundred@|@ἑξακόσιοι -αι -α@
@sixth@|@ἕκτος -η -ον@
@sixty@|@ἑξήκοντα -οἱ -αἱ -τά@
@skill@|@τέχνη -ης -ἡ@
@skilled in music@|@μουσικός -ή -όν@
@skillful@|@ἐπιστήμων -ον@
@skin@|@δέρμα -ατος -τό@
@slack@|@ἄτακτος -ον@
@slacken@|@παρίημι@
@slander@|@μωμάομαι@
@slanderous@|@βλάσφημος -ον, διάβολος -ον, κατάλαλος -ον@
@slaughter@|@κοπή -ῆς -ἡ, σφαγή -ῆς -ἡ, φόνος -ου -ὁ@
@slavery@|@δουλεία -ας -ἡ@
@slay@|@διαχειρίζομαι@
@slaying@|@ἀναίρεσις -εως -ἡ@
@sleep@|@ὕπνος -ου -ὁ@
@sleeplessness@|@ἀγρυπνία -ας -ἡ@
@sleight@|@κυβεία -ας -ἡ@
@slothful@|@ὀκνηρός -ά -όν@
@slow@|@βραδύς -εῖα -ύ@
@slowness@|@βραδυτής -τῆτος -ἡ@
@sluggish@|@νωθρός -ά -όν@
@slumber@|@νυστάζω@
@small@|@μικρός -ά -όν, ὀλίγος -η -ον@
@small residue@|@κατάλειμμα -ατος -τό@
@smaller@|@ἐλάσσων -ον@
@smallest@|@ἐλάχιστος -ίστη -ιστον@
@smite@|@παίω, πλήσσω@
@smite off@|@ἀφαιρέω@
@smoke@|@καπνός -οῦ -ὁ@
@smooth@|@λεῖος -α -ον@
@Smyrna@|@Σμύρνα -ης -ἡ@
@snake@|@ἔχιδνα -ης -ἡ@
@snatch@|@ἁρπάζω@
@snow@|@χιών -όνος -ἡ@
@so@|@δή, οὕτως@
@so and so@|@δεῖνα -ὁ -ἡ -τό@
@so great@|@τηλικοῦτος -αύτη -οῦτο, τοσοῦτος -τοσαύτη -τοσοῦτο@
@so let it be@|@ἀμήν@
@so that@|@ἵνα, ὅπως, ὡς, ὥστε@
@so to speak@|@ἔπος -ους -τό@
@sober@|@νηφαλέος -α -ον, νήφω@
@soberly@|@σωφρόνως@
@sobriety@|@σωφροσύνη -ης -ἡ@
@Sodom@|@Σόδομα -ων -τά@
@soft@|@μαλακός -ή -όν@
@soil@|@γῆ -γῆς -ἡ@
@solace@|@παρηγορία -ας -ἡ@
@solemnly charge@|@μαρτύρομαι@
@solid@|@στερεός -ά -όν@
@solitary@|@μόνος -η -ον@
@Solomon@|@Σολομών -ῶνος -ὁ@
@solution@|@ἐπίλυσις -εως -ἡ@
@some one@|@τις -τι@
@somewhere@|@πού@
@song@|@ᾠδή -ῆς -ἡ@
@soon@|@εὐθέως, ὀλίγος -η -ον, ταχέως@
@Sopater@|@Σώπατρος -ου -ὁ@
@sorcerer@|@φάρμακος -οῦ -ὁ@
@sorcery@|@φαρμακεία -ας -ἡ@
@sorrow@|@πένθος -ους -τό@
@Sosipater@|@Σωσίπατρος -ου -ὁ@
@Sosthenes@|@Σωσθένης -ου -ὁ@
@sound@|@ἁπλοῦς -ῆ -οῦν, ὁλόκληρος -ον, ὑγιής -ές@
@sound when struck@|@ἠχέω@
@soundless@|@ἄφωνος -ον@
@soundness@|@ἀδιαφθορία -ας -ἡ@
@sour wine@|@ὄξος -ους -τό@
@sovereignty@|@βασιλεία -ας -ἡ.@
@sowing@|@καταβολή -ῆς -ἡ@
@sown@|@σπόριμος -ον@
@sown fields@|@σπόριμος -ον@
@spacious@|@εὐρύχωρος -ον@
@Spain@|@Σπανία -ας -ἡ@
@sparingly@|@φειδομένως@
@sparrow@|@στρουθίον -ου -τό@
@speak@|@ἐρεῶ, λέγω@
@speak truth@|@ἀληθεύω@
@speaking another language@|@ἑτερόγλωσσος -ον@
@speaking lies@|@ψευδολόγος -ον@
@spear@|@λόγχη -ης -ἡ@
@specially chosen@|@περιούσιος -ον@
@spectacle@|@θέατρον -ου -τό, θεωρία -ας -ἡ@
@speech@|@διάλεκτος -ου -ἡ, λαλιά -ας -ἡ, λόγος -ου -ὁ, στόμα -ατος -τό@
@speechless@|@ἄφωνος -ον, ἐνεός -ά -όν@
@speed@|@τάχος -ους -τό@
@speedily@|@ταχύ@
@spend time@|@χρονοτριβέω@
@sphere of duty@|@ἐπαρχία -ας -ἡ@
@spice@|@ἄρωμα -ατος -τό@
@spikenard@|@νάρδος -ου -ἡ@
@spirit@|@πνεῦμα -ατος -τό, φάντασμα -ατος -τό@
@spiritual@|@πνευματικός -ή -όν@
@spiritual defect@|@ῥυτίς -ίδος -ἡ@
@spiritually@|@πνευματικῶς@
@spittle@|@πτύσμα -ατος -τό@
@splendid@|@ἔνδοξος -ον@
@splendor@|@λαμπρότης -τητος -ἡ@
@spoil@|@ἀκροθίνιον -ίου -τό, ἁρπαγή -ῆς -ἡ, ἁρπαγμός -οῦ -ὁ, φθείρω@
@spoil taken from a foe@|@σκῦλον -ου -τό@
@spoiling@|@κατατομή -ῆς -ἡ@
@spoken in a kindly spirit@|@εὔφημος -ον@
@spontaneous@|@ἑκούσιος -ία -ιον@
@sport@|@παίζω@
@spot@|@σπιλόω@
@spread@|@σπείρω@
@spread a report@|@διέρχομαι@
@spread the news of@|@διαγγέλλω@
@spring@|@πηγή -ῆς -ἡ@
@spring up@|@ἐπιγίνομαι@
@sprinkle with salt@|@ἁλίζω@
@sprinkling@|@ῥαντισμός -οῦ -ὁ@
@spurious wheat@|@ζιζάνιον -ου -τό@
@squall@|@λαῖλαψ -απος -ἡ@
@square@|@τετράγωνος -ον@
@stab@|@νύσσω@
@Stachys@|@Στάχυς -υος -ὁ@
@staff@|@ῥάβδος -ου -ἡ@
@stain@|@μολύνω@
@staining@|@μολυσμός -οῦ -ὁ@
@stand@|@ἵστημι@
@stand empty@|@σχολάζω@
@standing@|@στάσις -εως -ἡ@
@state@|@ἕξις -εως -ἡ@
@stature@|@ἡλικία -ας -ἡ@
@stay@|@διατρίβω, ἑδραίωμα -ατος -τό, καταμένω@
@steadfast@|@βέβαιος -α -ον, ἑδραῖος -αία -αῖον, στερεός -ά -όν@
@steadfastness@|@στερέωμα -ατος -τό, στηριγμός -οῦ -ὁ, ὑπομονή -ῆς -ἡ@
@steam@|@ἀτμίς -ίδος -ἡ@
@steer@|@εὐθύνω@
@Stephanas@|@Στεφανᾶς -ᾶ -ὁ@
@Stephen@|@Στέφανος -ου -ὁ@
@stern@|@σκληρός -ά -όν@
@stewardship@|@οἰκονομία -ας -ἡ@
@still@|@ἔτι@
@stimulate@|@ἐπεγείρω, προκαλέομαι@
@stir@|@κινέω@
@stir up@|@ἀνασείω, συγκινέω, συγχέω, ταράσσω@
@stirring@|@κίνησις -εως -ἡ@
@Stoic@|@Στωϊκός -ή -όν@
@stomach@|@γαστήρ -γαστρός -ἡ@
@stone to death@|@καταλιθάζω@
@stony@|@πετρώδης -ες@
@stoop down@|@κύπτω@
@stop the growth of@|@ἀποπνίγω@
@store@|@θησαυρός -οῦ -ὁ@
@storehouse@|@ἀποθήκη -ης -ἡ@
@storm@|@σεισμός -οῦ -ὁ@
@straight@|@εὐθύς -εῖα -ύ, ὀρθός -ή -όν@
@straightness@|@εὐθύτης -ητος -ἡ@
@strain after@|@ἐπιποθέω@
@strange@|@παράδοξος -ον@
@strangle@|@ἀπάγχω, πνίγω@
@strangled@|@πνικτός -ή -όν@
@strap@|@ἱμάς -άντος -ὁ@
@strength@|@βραχίων -ονος -ὁ, ἰσχύς -ύος -ἡ, κράτος -ους -τό@
@strengthen@|@ἐνδυναμόω, ἐνισχύω, στηρίζω@
@strenuous@|@ἐκτενής -ές@
@strenuously@|@ἐκτενῶς@
@strenuousness@|@ἐκτένεια -ας -ἡ@
@strict@|@ἀκριβέστατος, αὐστηρός -ά -όν@
@strictly@|@ἀκριβῶς (.)@
@strictness@|@ἀκρίβεια -ας -ἡ@
@strife@|@ἔρις -ιδος -ἡ, μάχη -ης -ἡ, πόλεμος -ου -ὁ@
@strife-loving@|@φιλόνεικος -ον -@
@strike@|@ῥαπίζω, τύπτω@
@strike upon@|@ἐπιβάλλω@
@strike with panic@|@θορυβέω@
@strip@|@ἐρημόω@
@strip off@|@ἐκδύω@
@stripe@|@μώλωψ -ωπος -ὁ, πληγή -ῆς -ἡ@
@strive@|@μάχομαι@
@strive against@|@ἀνταγωνίζομαι@
@strong@|@βίαιος -α -ον, ἰσχυρός -ά -όν, κραταιός -ά -όν@
@strong defense@|@ὀχύρωμα -ατος -τό@
@strong desire@|@ἡδονή -ῆς -ἡ, ὄρεξις -εως -ἡ@
@stronger@|@κρείσσων -ον, κρείττων -ον@
@struggle@|@πάλη -ης -ἡ@
@stubble@|@καλάμη -ῆς -ἡ@
@stubborn@|@σκληροτράχηλος -ον@
@stumbling-block@|@σκάνδαλον -ου -τό@
@stung@|@κατανύσσομαι@
@stupid@|@μωρός -ά -όν@
@stupor@|@κατάνυξις -εως -ἡ@
@subdue@|@αἰχμαλωτίζω, δαμάζω, θανατόω@
@subject to@|@ὑποτάσσω@
@subject to a husband@|@ὕπανδρος -ον@
@subjection@|@ὑποταγή -ῆς -ἡ@
@submerge@|@βαπτίζω@
@submission@|@ὑποταγή -ῆς -ἡ@
@substance@|@ὕπαρξις -εως -ἡ, ὑπόστασις -εως -ἡ@
@subterranean@|@καταχθόνιος -ον@
@such@|@τοιόσδε -τοιάδε -τοιόνδε, τοιοῦτος -τοιαύτη -τοιοῦτο@
@such a one@|@δεῖνα -ὁ -ἡ -τό@
@such as@|@οἵος -α -ον@
@such as old women tell@|@γραώδης -ες@
@suck@|@θηλάζω@
@sudden@|@αἰφνίδιος -ον@
@suddenly@|@ἄφνω, ἐξαίφνης, ἐξάπινα@
@suffer@|@πάσχω, ὑποφέρω@
@suffer birth-pangs@|@ὠδίνω@
@suffer inflammation@|@ἐμπρήθω@
@suffer need@|@ὑστερέω@
@suffer violence@|@βίαζομαι@
@suffering@|@κακοπάθεια -ας -ἡ, πάθημα -ατος -τό, πάθος -ους -τό@
@sufferings@|@μάστιξ -ιγος -ἡ@
@sufficiency@|@ἱκανότης -ητος -ἡ@
@sufficient@|@ἀρκετός -ή -όν, ἐπιούσιος -ον, ἱκανός -ή -όν@
@suggest to@|@ὑποτίθημι@
@suitable@|@ἀνήκω, εὔθετος -ον, εὔκαιρος -ον@
@suitable for food@|@βρώσιμος -ον@
@suitable to a sacred character@|@ἱεροπρεπής -ές@
@sulfur@|@θεῖον -ου -τό@
@sulfurous@|@θειώδης -ες@
@summarize@|@ἀνακεφαλαιόω@
@summer@|@θέρος -ους -τό@
@summon@|@μεταπέμπω, προσφωνέω, φωνέω@
@summoned@|@κλητός -ή -όν@
@summons@|@κλῆσις -εως -ἡ@
@sumptuous@|@λιπαρός -ά -όν@
@sumptuously@|@λαμπρῶς@
@sunlight@|@ἥλιος -ου -ὁ@
@superb@|@μεγαλοπρεπής -ές@
@superior to@|@ἐπάνω@
@superiority@|@ὑπεροχή -ῆς -ἡ@
@supernatural appearance@|@ὀπτασία -ας -ἡ@
@superstition@|@δεισιδαιμονία -ας -ἡ@
@supervisor@|@ἐπίσκοπος -ου -ὁ@
@supplicate@|@γονυπετέω@
@supplication@|@δέησις -εως -ἡ, ἱκετηρία -ας -ἡ@
@supply@|@ἐπιχορηγία -ας -ἡ@
@support@|@ἑδραίωμα -ατος -τό@
@suppose@|@νομίζω, οἴμαι, ὑπολαμβάνω, ὑπονοέω@
@suppress@|@σβέννυμι@
@surely@|@ἦ@
@surface@|@πρόσωπον -ου -τό@
@surpass@|@διαφέρω, προέχω, ὑπερέχω@
@surpassing excellence@|@ὑπερβολή -ῆς -ἡ@
@surround@|@κυκλόω, περικυκλόω@
@survey@|@περιβλέπομαι@
@Susannah@|@Σουσάννα -ης -ἡ@
@suspend@|@κρεμάννυμι@
@suspicion@|@ὑπόνοια -ας -ἡ@
@sustenance@|@χόρτασμα -ατος -τό@
@swathe@|@συστέλλω@
@swear falsely@|@ἐπιορκέω@
@swearing by@|@νή@
@sweat@|@ἱδρώς -ῶτος -ὁ@
@sweet@|@γλυκύς -εῖα -ύ@
@sweet wine@|@γλεῦκος -ους -τό@
@swift@|@ὀξύς -εῖα -ύ, ταχινός -ή -όν, ταχύς -εῖα -ύ@
@swimming-place@|@κολυμβήθρα -ας -ἡ@
@swine@|@χοῖρος -ου -ὁ@
@Sychar@|@Συχάρ -ἡ@
@sympathizing@|@συμπαθής -ές@
@synagogue@|@συναγωγή -ῆς -ἡ@
@Syntyche@|@Συντύχη -ῆς -ἡ@
@Syracuse@|@Συράκουσαι -ῶν -αἱ@
@Syria@|@Συρία -ας -ἡ@
@Syrian@|@Σύρος -ου -ὁ@
@Syrophoenician@|@Συροφοινίκισσα -ης -ἡ@
@Syrtis@|@Σύρτις -εως -ἡ@
@tabernacle@|@κατασκηνόω, σκηνή -ῆς -ἡ@
@Tabitha@|@Ταβηθά -ἡ@
@tack@|@περιέρχομαι@
@tackle@|@σκευή -ῆς -ἡ, σκεῦος -ους -τό@
@taint@|@μωραίνω@
@take@|@λαμβάνω@
@take an oath@|@ὀμνύω@
@take away@|@ἀπάγω@
@take care@|@στέλλω@
@take counsel@|@βουλεύω@
@take heed@|@σκοπέω@
@take hold of@|@ἐπιλαμβάνομαι@
@take leave of@|@ἀποτάσσομαι@
@take my ease@|@ἀναπαύω@
@take off@|@ἐκδύω@
@take the roof off@|@ἀποστεγάζω@
@taking down@|@καθαίρεσις -εως -ἡ@
@taking rest@|@κοίμησις -εως -ἡ@
@talk@|@λαλιά -ας -ἡ@
@talk of@|@διαλαλέω@
@talk with@|@ὁμιλέω@
@talking foolishly@|@φλύαρος -ον@
@Tamar@|@Θάμαρ -ἡ@
@tardiness@|@βραδυτής -τῆτος -ἡ@
@tarry@|@ἐπιμένω, χρονίζω@
@Tarsus@|@Ταρσός -οῦ -ἡ@
@tasteless@|@ἄναλος -ον@
@taught@|@διδακτός -ή -όν@
@taught by God@|@θεοδίδακτος -ον@
@taverns@|@ταβέρναι -ῶν -αἱ@
@tax@|@τέλος -ους -τό@
@teach@|@ὑποδείκνυμι@
@teacher@|@ἐπιστάτης -ου -ὁ, καθηγητής -ου -ὁ, ῥαββί@
@teaching@|@διδασκαλία -ας -ἡ, διδαχή -ῆς -ἡ@
@team@|@ζεῦγος -ους -τό@
@temperate@|@νηφαλέος -α -ον, σώφρων -ον -@
@tempest@|@θύελλα -ης -ἡ@
@tempestuous@|@τυφωνικός -ή -όν@
@temple-warden@|@νεωκόρος -ου -ὁ -ἡ@
@temporary@|@πρόσκαιρος -ον@
@tempt@|@ἐκπειράζω, πειράζω@
@temptation@|@πειρασμός -οῦ -ὁ@
@ten@|@δέκα@
@ten thousand@|@μυριάς -άδος -ἡ, μυρίοι -ίαι -ία@
@tend@|@ποιμαίνω@
@tender@|@ἁπαλός -ή -όν@
@tender-hearted@|@εὔσπλαγχνος -ον -@
@tenderly loving@|@φιλόστοργος -ον@
@tenth@|@δέκατος -η -ον@
@Terah@|@Θάρα -ὁ@
@terribly@|@δεινῶς@
